,COFA FP Equity_DX_SI_QTY,COFA FP Equity_DX_SHORT_INTEREST_VALUE,COFA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,COFA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,COFA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,COFA FP Equity_DX_SI_MV,COFA FP Equity_DX_DSS,COFA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,COFA FP Equity_DX_SUPPLY_SI_QTY,COFA FP Equity_DX_BROKER_SI_QTY,COFA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,COFA FP Equity_DX_BROKER_SI_MV_NEW_x,COFA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,COFA FP Equity_DX_SUPPLY_SI_QTY_INC_x,COFA FP Equity_DX_BROKER_SI_MV_INC_x,COFA FP Equity_DX_SUPPLY_SI_MV_NEW,COFA FP Equity_DX_BROKER_SI_QTY_ADD,COFA FP Equity_DX_BROKER_SI_QTY_NEW,COFA FP Equity_DX_SUPPLY_SI_MV_DEC,COFA FP Equity_DX_BROKER_SI_QTY_INC,COFA FP Equity_DX_SUPPLY_SI_QTY_DEC,COFA FP Equity_DX_BROKER_SI_MV_NEW_y,COFA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,COFA FP Equity_DX_BROKER_SI_MV_INC_y,COFA FP Equity_DX_SUPPLY_SI_QTY_INC_y,COFA FP Equity_DX_BROKER_SI_MV_ADD,COFA FP Equity_DX_SUPPLY_SI_QTY_ADD,COFA FP Equity_DX_BROKER_SI_QTY_DEC,COFA FP Equity_DX_SUPPLY_SI_MV,COFA FP Equity_DX_BROKER_SI_MV_DEC,COFA FP Equity_DX_SUPPLY_SI_MV_RMV,COFA FP Equity_DX_BROKER_SI_MV_RMV,COFA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,COFA FP Equity_DX_UTILIZATION_QUANTITY,COFA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,COFA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,COFA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,COFA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,COFA FP Equity_DX_ACTIVE_UTILIZATION_MV,COFA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,COFA FP Equity_DX_BROKER_SI_CON_RATIO,COFA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,COFA FP Equity_DX_DEMAND_SUPPLY_RATIO
2014-07-11,702000.0,6957084.0,0.45,1.27,0.45,8.09,0.0,2001895.97,702000.0,202000.0,6957084.0,,,,,,,,,,,,,,,,,,8.07,,,,5.93,5.93,11130340.0,110305855.15,,126.62,5.99,28.73,0.5905,71.27,0.0593
2014-07-14,702000.0,6932522.36,0.45,1.25,0.45,8.08,0.0,1994828.37,702000.0,202000.0,6932522.36,,,,,,,,,,,,,,,,,,8.04,,,,4.63,4.63,14456173.0,142760317.06,,163.58,4.69,28.78,0.5901,71.22,0.0463
2014-07-15,1052000.0,10352100.68,0.67,1.87,0.67,12.24,0.0,511700.79,1052000.0,52000.0,10352100.68,,,500000.0,,,,,1.7,,150000.0,,,,500000.0,,,150000.0,12.24,1.73,,,6.71,6.71,14615686.0,143824194.9,,165.46,6.89,4.84,0.9078,95.16,0.0671
2014-07-16,104000.0,1050692.3,0.07,0.18,0.07,1.21,0.0,525346.15,104000.0,52000.0,1050692.3,,,52000.0,,,,,11.65,,1000000.0,,,,52000.0,,,,1.2,,,,44.26,0.68,131000.0,1323468.18,,1.44,45.44,,1.0,100.0,0.0068
2014-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,1.2,,104000.0,,,,,,,52000.0,0.0,0.59,,,0.0,0.0,15246253.0,152696412.59,,174.85,0.0,,0.0,,0.0
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15168332.0,151252618.58,,173.14,0.0,,0.0,,0.0
2014-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15214211.0,150113157.37,,172.91,0.0,,0.0,,0.0
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15214211.0,152242422.01,,172.4,0.0,,0.0,,0.0
2014-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15150961.0,150946876.03,,172.64,0.0,,0.0,,0.0
2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,14943112.0,148353274.99,,169.82,0.0,,0.0,,0.0
2014-07-25,2000.0,19575.84,0.0,0.0,0.0,0.02,0.0,19575.84,2000.0,2000.0,19575.84,,,,,,2000.0,,,,,,,,,0.02,2000.0,,0.02,,,,0.33,0.01,598000.0,5853174.82,,6.81,0.33,,1.0,100.0,0.0001
2014-07-28,3538.0,34784.39,0.0,0.01,0.0,0.04,0.0,34784.39,3538.0,3538.0,34784.39,,,,,,1538.0,,,,,,,,,0.02,1538.0,,0.04,,,,0.59,0.02,598000.0,5879328.41,,6.69,0.59,43.88,0.5075,56.12,0.0002
2014-07-29,3538.0,34536.81,0.0,0.01,0.0,0.04,0.0,34536.81,3538.0,3538.0,34536.81,,,,,,,,,,,,,,,,,,0.04,,,,0.59,0.02,598000.0,5837482.66,,6.74,0.59,43.69,0.508,56.31,0.0002
2014-07-30,3538.0,33794.08,0.0,0.01,0.0,0.04,0.0,33794.08,3538.0,3538.0,33794.08,,,,,,,,,,,,,,,,,,0.04,,,,0.59,0.02,598000.0,5711945.4,,6.68,0.58,44.08,0.507,55.92,0.0002
2014-07-31,4487.0,43251.17,0.0,0.01,0.0,0.05,0.0,43251.17,4487.0,4487.0,43251.17,,,949.0,0.01,,,,,949.0,,,,0.01,949.0,,,,0.05,,,,0.74,0.04,598000.0,5764252.59,,6.52,0.75,44.73,0.5056,55.27,0.0004
2014-08-01,10335.0,99259.72,0.01,0.02,0.01,0.11,0.0,51238.57,10335.0,5335.0,99259.72,,,848.0,0.01,,,,,848.0,,,,0.01,848.0,,5000.0,,0.11,,,,0.78,0.09,1322730.0,12703803.53,,14.48,0.78,32.34,0.3753,48.29,0.0009
2014-08-04,10036.0,96124.7,0.01,0.02,0.01,0.11,0.0,77198.59,9824.0,8060.0,94094.17,,,,,,5000.0,,0.03,,2275.0,,,,,0.05,1764.0,2275.0,0.11,0.02,,,0.43,0.09,2289615.0,21929907.8,,25.14,0.43,19.88,0.335,49.85,0.0009
2014-08-05,9060.0,87806.81,0.01,0.01,0.01,0.1,0.0,87806.81,9060.0,9060.0,87806.81,,,1000.0,0.01,,,,0.02,1000.0,1764.0,,,0.01,1000.0,,,,0.1,,,,0.68,0.08,1321730.0,12809811.32,,14.52,0.68,22.15,0.5009,66.2,0.0008
2014-08-06,15176.0,146683.01,0.01,0.02,0.01,0.17,0.0,146683.01,15176.0,15176.0,146683.01,,,6116.0,0.07,,,,,6116.0,,,,0.07,6116.0,,,,0.17,,,,1.14,0.14,1312111.0,12682155.66,,14.53,1.14,39.74,0.3978,47.2,0.0014
2014-08-07,13568.0,130191.52,0.01,0.02,0.01,0.15,0.0,130191.52,13568.0,13568.0,130191.52,,,,,,,,0.02,,1608.0,,,,,,,1608.0,0.15,0.02,,,1.03,0.13,1305506.0,12526960.98,,14.42,1.03,40.98,0.3867,44.44,0.0013
2014-08-08,10149.0,93922.39,0.01,0.01,0.01,0.11,0.0,93922.39,10149.0,10149.0,93922.39,,,,,,,,0.04,,3419.0,,,,,,,3419.0,0.11,0.04,,,0.77,0.09,1308082.0,12105447.88,,14.32,0.77,21.15,0.4388,59.82,0.0009
2014-08-11,10149.0,95875.41,0.01,0.03,0.01,0.11,0.0,95875.41,10149.0,10149.0,95875.41,,,,,,,,,,,,,,,,,,0.11,,,,0.77,0.1,1305981.0,12337320.28,,13.83,0.77,20.54,0.44,59.99,0.001
2014-08-12,32298.0,301157.07,0.02,0.11,0.02,0.35,0.0,94632.58,30149.0,10149.0,281119.09,,,,,,,,,,,,,,,,20000.0,,0.33,,,,0.28,0.28,10596724.0,98807304.7,,113.84,0.28,18.42,0.4418,62.16,0.003
2014-08-13,20597.0,192593.62,0.01,0.08,0.01,0.22,0.0,192593.62,20597.0,20597.0,192593.62,,,16448.0,0.18,,,,0.28,16448.0,26000.0,,,0.18,16448.0,,,6000.0,0.22,0.06,,,3.45,0.19,577116.0,5396361.62,,6.15,3.46,9.57,0.8269,90.43,0.0019
2014-08-14,20597.0,190611.83,0.01,0.08,0.01,0.22,0.0,190611.83,20597.0,20597.0,190611.83,,,,,,,,,,,,,,,,,,0.22,,,,3.45,0.19,577116.0,5340833.11,,6.18,3.41,9.64,0.8257,90.36,0.0019
2014-08-15,20597.0,190611.83,0.01,0.09,0.01,0.22,0.0,190611.83,20597.0,20597.0,190611.83,,,,,,,,,,,,,,,,,,0.22,,,,3.45,0.19,577116.0,5340833.11,,6.1,3.45,9.74,0.8242,90.26,0.0019
2014-08-18,20382.0,188087.3,0.01,0.09,0.01,0.22,0.0,188087.3,20382.0,20382.0,188087.3,,,,,,,,0.0,,215.0,,,,,,,215.0,0.22,0.0,,,3.41,0.2,576659.0,5321471.73,,6.11,3.4,9.76,0.8238,90.24,0.002
2014-08-19,21382.0,197689.47,0.01,0.1,0.01,0.23,0.0,197689.47,21382.0,21382.0,197689.47,,,,0.01,,,,0.02,1000.0,2000.0,,,0.01,,,3000.0,,0.23,,,,100.0,0.21,0.0,0.0,,0.0,100.0,14.04,0.7586,85.96,0.0021
2014-08-20,21968.0,202723.08,0.01,0.1,0.01,0.23,0.0,202723.08,21968.0,21968.0,202723.08,,,586.0,0.01,,,,,586.0,,,,0.01,586.0,,,,0.23,,,,100.0,0.21,0.0,0.0,,0.0,100.0,13.58,0.7652,86.42,0.0021
2014-08-21,26902.0,251548.94,0.02,0.15,0.02,0.28,0.0,205413.25,21968.0,21968.0,205413.25,,,,,,,,,,,,,,,,,,0.23,,,,100.0,0.21,0.0,0.0,,0.0,100.0,22.36,0.6528,77.64,0.0026
2014-08-22,34140.0,328784.29,0.02,0.18,0.02,0.37,0.0,167213.87,17363.0,17363.0,167213.87,,,,,,,,0.04,,4605.0,,,,,,,4605.0,0.19,0.05,,,100.0,0.17,0.0,0.0,,0.0,100.0,17.54,0.7107,82.46,0.0033
2014-08-25,24042.0,232587.27,0.02,0.13,0.02,0.26,0.0,119128.18,12314.0,12314.0,119128.18,,,,,,,,0.05,,5049.0,,,,,,,5049.0,0.14,0.05,,,100.0,0.12,0.0,0.0,,0.0,100.0,25.13,0.6237,74.87,0.0023
2014-08-26,18814.0,182175.09,0.01,0.1,0.01,0.21,0.0,93924.65,9700.0,9700.0,93924.65,,,,,,,,0.03,,2614.0,,,,,,,2614.0,0.11,0.03,,,100.0,0.09,0.0,0.0,,0.0,100.0,32.11,0.564,67.89,0.0018
2014-08-27,7690.0,73318.41,0.0,0.04,0.0,0.08,0.0,44219.87,4638.0,4638.0,44219.87,,,,0.01,,,,0.07,1000.0,6062.0,,,0.01,,,1000.0,6062.0,0.05,0.07,,,0.8,0.04,577659.0,5507547.7,,6.4,0.79,9.06,0.8353,90.94,0.0007
2014-08-28,4000.0,38102.03,0.0,0.02,0.0,0.04,0.0,38102.03,1000.0,4000.0,9525.51,,,,,,,,0.04,,3638.0,,,,,,,638.0,0.01,0.01,,,0.17,0.01,577659.0,5502494.9,,6.31,0.17,,1.0,100.0,0.0004
2014-08-29,5000.0,47540.07,0.0,0.03,0.0,0.05,0.0,47540.07,2000.0,5000.0,19016.03,,,1000.0,0.01,,,,,1000.0,,,,0.01,1000.0,,,,0.02,,,,0.36,0.02,552187.0,5250201.2,,6.03,0.36,,1.0,100.0,0.0005
2014-09-01,5000.0,46927.77,0.0,0.03,0.0,0.05,0.0,46927.77,2000.0,5000.0,18771.11,,,,,,,,,,,,,,,,,,0.02,,,,0.36,0.02,551587.0,5176949.98,,6.02,0.36,,1.0,100.0,0.0005
2014-09-02,5000.0,46490.42,0.0,0.03,0.0,0.05,0.0,46490.42,2000.0,5000.0,18596.17,,,,,,,,,,,,,,,,,,0.02,,,,0.37,0.02,544951.0,5067000.46,,5.85,0.37,,1.0,100.0,0.0005
2014-09-03,5000.0,47671.27,0.0,0.03,0.0,0.05,0.0,47671.27,2000.0,5000.0,19068.51,,,,,,,,,,,,,,,,,,0.02,,,,0.37,0.02,541018.0,5158203.09,,5.74,0.37,,1.0,100.0,0.0005
2014-09-04,9000.0,88878.49,0.01,0.05,0.01,0.1,0.0,88878.49,6000.0,9000.0,59252.33,,,,,,4000.0,,,,,,,,,0.04,4000.0,,0.07,,,,0.47,0.06,1269352.0,12535343.48,,13.92,0.47,43.53,0.5084,56.47,0.0009
2014-09-05,9000.0,88799.77,0.01,0.05,0.01,0.1,0.0,88799.77,6000.0,9000.0,59199.85,,,,,,,,,,,,,,,,,,0.07,,,,0.47,0.06,1264483.0,12476199.76,,14.28,0.47,44.47,0.5061,55.53,0.0009
2014-09-08,9000.0,86989.14,0.01,0.05,0.01,0.1,0.0,86989.14,6000.0,9000.0,57992.76,,,,,,,,,,,,,,,,,,0.07,,,,0.48,0.06,1243918.0,12023038.98,,14.06,0.48,44.92,0.5052,55.08,0.0009
2014-09-09,9058.0,86995.12,0.01,0.05,0.01,0.1,0.0,86995.12,6000.0,9058.0,57625.38,,,,,,58.0,,,,,,,,,0.0,,,0.07,,,,0.56,0.06,1070017.0,10276689.68,,11.83,0.56,44.18,0.4995,55.16,0.0009
2014-09-10,9058.0,86519.73,0.01,0.05,0.01,0.1,0.0,86519.73,6000.0,9058.0,57310.49,,,,,,,,,,,,,,,,,,0.07,,,,0.56,0.06,1070017.0,10220532.91,,11.75,0.56,44.15,0.4998,55.21,0.0009
2014-09-11,4058.0,38406.04,0.0,0.02,0.0,0.04,0.0,38406.04,4000.0,4058.0,37857.11,,,,,,,,0.02,,2000.0,,,,,,,5000.0,0.04,0.05,,,0.55,0.04,728460.0,6894347.91,,7.95,0.55,1.43,0.9718,98.57,0.0004
2014-09-12,4058.0,38335.05,0.0,0.02,0.0,0.04,0.0,38335.05,4000.0,4058.0,37787.14,,,,,,,,,,,,,,,,,,0.04,,,,0.55,0.04,728460.0,6881604.2,,7.88,0.55,1.43,0.9718,98.57,0.0004
2014-09-15,4000.0,38067.04,0.0,0.02,0.0,0.04,0.0,38067.04,4000.0,4000.0,38067.04,,,,,,,,,,,,,,,,,58.0,0.04,0.0,,,0.55,0.04,728460.0,6932579.04,,7.87,0.55,,1.0,100.0,0.0004
2014-09-16,4000.0,36807.47,0.0,0.02,0.0,0.04,0.0,36807.47,4000.0,4000.0,36807.47,,,,,,,,,,,,,,,,,,0.04,,,,0.55,0.04,728460.0,6703192.23,,7.93,0.55,,1.0,100.0,0.0004
2014-09-17,4000.0,36667.52,0.0,0.02,0.0,0.04,0.0,36667.52,4000.0,4000.0,36667.52,,,,,,,,,,,,,,,,,,0.04,,,,0.55,0.04,728460.0,6677704.81,,7.66,0.55,,1.0,100.0,0.0004
2014-09-18,8000.0,73894.84,0.01,0.04,0.01,0.08,0.0,36947.42,4000.0,4000.0,36947.42,,,,,,,,,,,,,,,,,,0.04,,,,0.55,0.04,728460.0,6728679.66,,7.63,0.55,,1.0,100.0,0.0008
2014-09-19,8000.0,74174.75,0.01,0.04,0.01,0.09,0.0,0.0,8000.0,0.0,74174.75,,,4000.0,,,,,,,,,,,4000.0,,,4000.0,0.09,0.04,,,1.09,0.08,724463.0,6717107.52,,7.65,1.12,,1.0,100.0,0.0008
2014-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.09,,8000.0,,,,,,,,0.0,,,,0.0,0.0,9829081.0,90961749.93,,105.15,0.0,,0.0,,0.0
2014-09-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9780423.0,91110298.83,,104.67,0.0,,0.0,,0.0
2014-09-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9792697.0,91909893.74,,105.4,0.0,,0.0,,0.0
2014-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9825807.0,89986039.13,,105.53,0.0,,0.0,,0.0
2014-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10033461.0,91624473.19,,106.56,0.0,,0.0,,0.0
2014-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10033548.0,91713031.33,,106.37,0.0,,0.0,,0.0
2014-09-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10033150.0,91358352.61,,106.39,0.0,,0.0,,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10027260.0,90427633.68,,105.89,0.0,,0.0,,0.0
2014-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10026112.0,87610924.86,,104.67,0.0,,0.0,,0.0
2014-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10027051.0,90601162.56,,104.21,0.0,,0.0,,0.0
2014-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10027052.0,92092187.97,,105.4,0.0,,0.0,,0.0
2014-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10261437.0,93167783.09,,108.62,0.0,,0.0,,0.0
2014-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10238230.0,91345104.81,,107.68,0.0,,0.0,,0.0
2014-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10211564.0,87980964.59,,106.06,0.0,,0.0,,0.0
2014-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10175342.0,87668882.47,,104.39,0.0,,0.0,,0.0
2014-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10176053.0,87229957.51,,103.74,0.0,,0.0,,0.0
2014-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10143823.0,84735473.22,,102.92,0.0,,0.0,,0.0
2014-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10153938.0,87040385.93,,102.16,0.0,,0.0,,0.0
2014-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10145068.0,86165699.36,,103.15,0.0,,0.0,,0.0
2014-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10255500.0,88808034.54,,100.09,0.0,,0.0,,0.0
2014-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9074708.0,77947891.56,,89.05,0.0,,0.0,,0.0
2014-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9108970.0,78799922.14,,89.32,0.0,,0.0,,0.0
2014-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9109361.0,79281383.29,,89.69,0.0,,0.0,,0.0
2014-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9111028.0,79853752.22,,90.02,0.0,,0.0,,0.0
2014-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9113842.0,80037853.52,,90.3,0.0,,0.0,,0.0
2014-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9125204.0,79499087.83,,90.31,0.0,,0.0,,0.0
2014-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9125204.0,79499087.83,,90.05,0.0,,0.0,,0.0
2014-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9125204.0,78621085.86,,89.9,0.0,,0.0,,0.0
2014-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9125158.0,79019779.32,,89.64,0.0,,0.0,,0.0
2014-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9125158.0,79339051.16,,89.86,0.0,,0.0,,0.0
2014-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9217845.0,81757495.87,,91.32,0.0,,0.0,,0.0
