,MLARD FP Equity_PX_LAST
2007-02-12,60.0
2007-02-14,50.05
2007-03-08,79.85
2007-03-22,72.0
2007-04-11,52.7
2007-06-20,47.5
2007-07-06,84.12
2007-09-21,39.0
2007-09-25,46.8
2007-10-12,49.5
2007-10-30,45.0
2007-11-29,59.3
2008-04-28,11.89
2008-09-19,100.0
2008-10-22,13.54
2008-11-21,94.99
2008-12-12,25.01
2008-12-31,44.28
2009-01-13,23.31
2009-03-24,20.01
2009-05-11,4.61
2009-05-13,5.07
2009-09-07,106.2
2010-04-28,100.0
2010-08-02,85.0
2011-01-26,29.67
2011-03-23,35.0
2011-05-10,35.0
2011-06-22,31.5
2011-08-23,62.95
2011-09-30,31.5
2011-10-07,32.01
2012-02-29,38.0
2013-04-10,60.5
2013-04-11,60.5
2013-05-29,60.0
2014-02-21,15.3
2014-03-03,24.62
2014-03-13,52.71
2014-09-05,63.77
2014-10-02,20.0
2014-11-12,23.01
2014-11-28,72.14
2014-12-02,71.42
2014-12-15,30.78
2014-12-23,25.11
2015-01-07,44.46
2015-01-22,28.89
2015-03-09,30.55
2015-03-11,31.0
2015-03-12,30.55
2015-05-26,40.0
2015-06-04,60.0
2015-06-05,60.0
2015-06-08,60.0
2015-06-22,60.0
2016-07-12,58.0
2016-08-29,56.0
2016-08-31,56.0
2016-09-16,51.0
2016-11-25,54.0
2017-01-05,43.74
2017-06-30,50.0
2017-10-09,49.99
2017-11-20,66.51
2017-12-21,65.01
2018-01-17,65.0
2018-02-14,65.0
2018-02-20,103.0
2018-02-22,149.0
2018-02-26,196.0
2018-02-28,256.0
2018-03-01,338.0
2018-03-02,406.0
2018-03-05,406.0
2018-03-20,446.0
2018-03-22,490.0
2018-03-26,535.0
2018-03-27,545.0
2018-03-28,545.0
2018-04-11,202.0
2018-05-02,53.5
2018-07-31,1070.0
2018-08-17,100.0
2018-08-22,160.0
2018-08-23,117.0
2018-08-24,140.0
2018-08-28,185.0
2018-08-29,222.0
2018-08-30,268.0
2018-08-31,322.0
2018-09-03,354.0
2018-09-13,124.0
2018-09-14,124.0
2018-09-18,196.0
2018-09-20,256.0
2018-09-25,175.0
2018-10-02,125.0
2018-10-04,199.0
2018-10-09,145.0
2018-10-11,172.0
2018-10-15,189.0
2018-12-03,126.0
2018-12-11,62.0
2018-12-12,62.0
2019-01-31,107.0
2019-02-18,81.0
2019-03-21,128.0
2019-03-22,140.0
2019-04-24,154.0
2019-04-30,222.0
2019-05-06,200.0
2019-05-07,199.0
2019-05-08,199.0
2019-06-17,120.0
2019-08-07,199.0
2019-08-22,130.0
2019-09-04,132.0
2019-09-05,132.0
2019-11-14,101.0
2019-12-27,102.0
2020-04-27,100.0
2020-06-01,110.0
2020-06-10,90.5
2020-11-06,193.0
2020-11-12,193.0
2020-12-02,96.0
2021-01-06,266.0
2021-01-12,145.0
2021-01-15,160.0
2021-01-19,160.0
2021-02-03,180.0
2021-02-04,147.0
2021-02-05,135.0
2021-02-18,135.0
2021-03-26,179.0
2021-03-29,179.0
2021-05-26,133.0
2021-06-15,133.0
2021-07-26,174.0
2021-08-12,180.0
2021-08-13,180.0
2021-09-23,136.0
2021-09-27,177.0
2021-10-08,132.0
2021-10-15,130.0
2021-10-19,121.0
2021-10-26,121.0
2021-10-29,111.0
2021-11-04,113.0
2021-11-08,111.0
2021-11-23,180.0
2021-11-24,180.0
2021-11-25,179.0
2021-11-29,123.0
2021-11-30,111.0
2021-12-03,111.0
2021-12-08,180.0
2021-12-13,111.0
2021-12-22,180.0
2021-12-23,160.0
2021-12-27,121.0
2021-12-29,136.0
2022-03-03,121.0
2022-03-07,150.0
2022-03-08,163.0
2022-03-09,163.0
2022-05-11,163.0
2022-06-09,163.0
2022-06-10,170.0
2022-06-27,180.0
2022-06-30,180.0
2022-07-01,180.0
2022-07-19,180.0
2022-08-09,180.0
2022-09-23,162.0
2022-09-28,178.0
2022-09-29,195.0
2022-10-06,195.0
2022-10-07,210.0
2022-10-14,230.0
2022-10-17,248.0
2022-10-28,280.0
2022-10-31,338.0
2022-11-01,332.0
2022-11-04,406.0
2022-11-08,442.0
2022-11-09,446.0
2022-11-10,490.0
2022-11-11,510.0
2022-11-14,490.0
2022-11-15,535.0
2022-11-16,535.0
2022-11-28,535.0
2022-11-29,535.0
2022-11-30,535.0
2022-12-01,585.0
2022-12-02,545.0
2022-12-05,545.0
2022-12-06,498.0
2022-12-07,498.0
2022-12-08,498.0
2022-12-09,498.0
2022-12-12,498.0
2022-12-13,498.0
2022-12-14,498.0
2022-12-15,498.0
2022-12-16,498.0
2022-12-19,498.0
2022-12-20,498.0
2022-12-21,498.0
2022-12-22,498.0
2022-12-23,498.0
2022-12-27,498.0
2022-12-28,498.0
2022-12-29,498.0
2022-12-30,498.0
2023-01-02,530.0
2023-01-03,530.0
2023-01-04,530.0
2023-01-05,530.0
2023-01-06,530.0
2023-01-09,530.0
2023-01-10,530.0
2023-01-11,530.0
2023-01-12,530.0
2023-01-13,530.0
2023-01-16,530.0
2023-01-17,530.0
2023-01-18,530.0
2023-01-19,530.0
2023-01-20,530.0
2023-01-23,530.0
2023-01-24,530.0
2023-01-25,530.0
2023-01-26,530.0
2023-01-27,530.0
2023-01-30,530.0
2023-01-31,530.0
2023-02-01,530.0
2023-02-02,530.0
2023-02-03,530.0
2023-02-06,530.0
2023-02-07,530.0
2023-02-08,530.0
2023-02-09,530.0
2023-02-10,530.0
2023-02-13,530.0
2023-02-14,530.0
2023-02-15,530.0
2023-02-16,530.0
2023-02-17,530.0
2023-02-20,530.0
2023-02-21,530.0
2023-02-22,530.0
2023-02-23,530.0
2023-02-24,530.0
2023-02-27,530.0
2023-02-28,530.0
2023-03-01,530.0
2023-03-02,530.0
2023-03-03,530.0
2023-03-06,530.0
2023-03-07,530.0
2023-03-08,530.0
2023-03-09,530.0
2023-03-10,530.0
2023-03-13,530.0
2023-03-14,530.0
2023-03-15,530.0
2023-03-16,530.0
2023-03-17,530.0
2023-03-20,530.0
2023-03-21,530.0
2023-03-22,530.0
2023-03-23,530.0
2023-03-24,530.0
2023-03-27,530.0
2023-03-28,298.0
2023-03-29,298.0
2023-03-30,298.0
2023-03-31,212.0
2023-04-03,212.0
2023-04-04,212.0
2023-04-05,172.0
2023-04-06,172.0
2023-04-11,172.0
2023-04-12,172.0
2023-04-13,172.0
2023-04-14,172.0
2023-04-17,172.0
2023-04-18,172.0
2023-04-19,172.0
2023-04-20,172.0
2023-04-21,172.0
2023-04-24,172.0
2023-04-25,172.0
2023-04-26,172.0
2023-04-27,172.0
2023-04-28,172.0
2023-05-02,172.0
2023-05-03,172.0
2023-05-04,172.0
2023-05-05,172.0
2023-05-08,172.0
2023-05-09,172.0
2023-05-10,172.0
2023-05-11,172.0
2023-05-12,172.0
2023-05-15,172.0
2023-05-16,172.0
2023-05-17,172.0
2023-05-18,172.0
2023-05-19,172.0
2023-05-22,172.0
2023-05-23,172.0
2023-05-24,172.0
2023-05-25,172.0
2023-05-26,172.0
2023-05-29,172.0
2023-05-30,172.0
2023-05-31,172.0
2023-06-01,172.0
2023-06-02,172.0
2023-06-05,180.0
2023-06-06,200.0
2023-06-07,200.0
2023-06-08,200.0
2023-06-09,200.0
2023-06-12,200.0
2023-06-13,200.0
2023-06-14,200.0
2023-06-15,200.0
2023-06-16,200.0
2023-06-19,200.0
2023-06-20,200.0
2023-06-21,200.0
2023-06-22,200.0
2023-06-23,200.0
2023-06-26,200.0
2023-06-27,200.0
2023-06-28,200.0
2023-06-29,200.0
2023-06-30,200.0
2023-07-03,200.0
2023-07-04,200.0
2023-07-05,200.0
2023-07-06,200.0
2023-07-07,200.0
2023-07-10,200.0
2023-07-11,200.0
2023-07-12,200.0
2023-07-13,200.0
2023-07-14,200.0
2023-07-17,200.0
2023-07-18,200.0
2023-07-19,200.0
2023-07-20,200.0
2023-07-21,200.0
2023-07-24,200.0
2023-07-25,200.0
2023-07-26,200.0
2023-07-27,200.0
2023-07-28,200.0
2023-07-31,200.0
2023-08-01,200.0
2023-08-02,200.0
2023-08-03,200.0
2023-08-04,200.0
2023-08-07,200.0
2023-08-08,200.0
2023-08-09,200.0
2023-08-10,200.0
2023-08-11,200.0
2023-08-14,200.0
2023-08-15,200.0
2023-08-16,200.0
2023-08-17,200.0
2023-08-18,200.0
2023-08-21,200.0
2023-08-22,200.0
2023-08-23,200.0
2023-08-24,200.0
2023-08-25,200.0
2023-08-28,200.0
2023-08-29,200.0
2023-08-30,200.0
2023-08-31,200.0
2023-09-01,200.0
2023-09-04,200.0
2023-09-05,200.0
2023-09-06,200.0
2023-09-07,200.0
2023-09-08,200.0
2023-09-11,200.0
2023-09-12,200.0
2023-09-13,200.0
2023-09-14,200.0
2023-09-15,200.0
2023-09-18,200.0
2023-09-19,200.0
2023-09-20,200.0
2023-09-21,200.0
2023-09-22,200.0
2023-09-25,200.0
2023-09-26,200.0
2023-09-27,200.0
2023-09-28,200.0
2023-09-29,200.0
2023-10-02,200.0
2023-10-03,200.0
2023-10-04,200.0
2023-10-05,200.0
2023-10-06,200.0
2023-10-09,200.0
2023-10-10,200.0
2023-10-11,200.0
2023-10-12,200.0
2023-10-13,200.0
2023-10-16,200.0
2023-10-17,200.0
2023-10-18,200.0
2023-10-19,200.0
2023-10-20,200.0
2023-10-23,200.0
2023-10-24,200.0
2023-10-25,200.0
2023-10-26,200.0
2023-10-27,200.0
2023-10-30,200.0
2023-10-31,200.0
2023-11-01,200.0
2023-11-02,200.0
2023-11-03,200.0
2023-11-06,200.0
2023-11-07,200.0
2023-11-08,200.0
2023-11-09,200.0
2023-11-10,200.0
2023-11-13,200.0
2023-11-14,200.0
2023-11-15,200.0
2023-11-16,200.0
2023-11-17,200.0
2023-11-20,200.0
2023-11-21,200.0
2023-11-22,200.0
2023-11-23,200.0
2023-11-24,200.0
2023-11-27,200.0
2023-11-28,200.0
2023-11-29,200.0
2023-11-30,200.0
2023-12-01,200.0
2023-12-04,200.0
2023-12-05,200.0
2023-12-06,200.0
2023-12-07,200.0
2023-12-08,200.0
2023-12-11,200.0
2023-12-12,200.0
2023-12-13,200.0
2023-12-14,200.0
2023-12-15,154.0
2023-12-18,154.0
2023-12-19,154.0
2023-12-20,171.0
2023-12-21,171.0
2023-12-22,171.0
2023-12-27,171.0
2023-12-28,171.0
2023-12-29,171.0
2024-01-02,171.0
2024-01-03,171.0
2024-01-04,187.0
2024-01-05,187.0
2024-01-08,187.0
2024-01-09,187.0
2024-01-10,187.0
2024-01-11,187.0
2024-01-12,187.0
2024-01-15,187.0
2024-01-16,187.0
2024-01-17,187.0
2024-01-18,187.0
2024-01-19,187.0
2024-01-22,180.0
2024-01-23,180.0
2024-01-24,180.0
2024-01-25,180.0
2024-01-26,180.0
2024-01-29,180.0
2024-01-30,180.0
2024-01-31,180.0
2024-02-01,180.0
2024-02-02,180.0
2024-02-05,180.0
2024-02-06,180.0
2024-02-07,180.0
2024-02-08,180.0
2024-02-09,180.0
2024-02-12,180.0
2024-02-13,180.0
2024-02-14,180.0
2024-02-15,180.0
2024-02-16,180.0
2024-02-19,180.0
2024-02-20,180.0
2024-02-21,180.0
2024-02-22,180.0
2024-02-23,180.0
2024-02-26,180.0
2024-02-27,180.0
2024-02-28,180.0
2024-02-29,180.0
2024-03-01,180.0
2024-03-04,180.0
2024-03-05,180.0
2024-03-06,180.0
2024-03-07,180.0
2024-03-08,180.0
2024-03-11,180.0
2024-03-12,180.0
2024-03-13,180.0
2024-03-14,180.0
2024-03-15,180.0
2024-03-18,180.0
2024-03-19,180.0
2024-03-20,180.0
2024-03-21,139.0
2024-03-22,139.0
2024-03-25,139.0
2024-03-26,139.0
2024-03-27,139.0
2024-03-28,139.0
2024-04-02,139.0
2024-04-03,139.0
2024-04-04,139.0
2024-04-05,139.0
2024-04-08,139.0
2024-04-09,139.0
2024-04-10,139.0
2024-04-11,139.0
2024-04-12,139.0
2024-04-15,139.0
2024-04-16,139.0
2024-04-17,139.0
2024-04-18,139.0
2024-04-19,139.0
2024-04-22,139.0
2024-04-23,139.0
2024-04-24,139.0
2024-04-25,139.0
2024-04-26,139.0
2024-04-29,139.0
2024-04-30,139.0
2024-05-02,139.0
2024-05-03,139.0
2024-05-06,139.0
2024-05-07,139.0
2024-05-08,139.0
2024-05-09,139.0
2024-05-10,139.0
2024-05-13,139.0
2024-05-14,139.0
2024-05-15,139.0
2024-05-16,139.0
2024-05-17,139.0
2024-05-20,139.0
2024-05-21,139.0
2024-05-22,139.0
2024-05-23,139.0
2024-05-24,139.0
2024-05-27,139.0
2024-05-28,139.0
2024-05-29,139.0
2024-05-30,139.0
2024-05-31,139.0
2024-06-03,139.0
2024-06-04,139.0
2024-06-05,139.0
2024-06-06,139.0
2024-06-07,139.0
2024-06-10,139.0
2024-06-11,139.0
2024-06-12,139.0
2024-06-13,139.0
2024-06-14,139.0
2024-06-17,139.0
2024-06-18,139.0
2024-06-19,139.0
2024-06-20,139.0
2024-06-21,139.0
2024-06-24,139.0
2024-06-25,139.0
2024-06-26,139.0
2024-06-27,139.0
2024-06-28,139.0
2024-07-01,139.0
2024-07-02,139.0
2024-07-03,139.0
2024-07-04,139.0
2024-07-05,139.0
2024-07-08,139.0
2024-07-09,139.0
2024-07-10,139.0
2024-07-11,139.0
2024-07-12,139.0
2024-07-15,152.0
2024-07-16,168.0
2024-07-17,168.0
2024-07-18,185.0
2024-07-19,185.0
2024-07-22,200.0
2024-07-23,210.0
2024-07-24,222.0
2024-07-25,244.0
2024-07-26,244.0
2024-07-29,244.0
2024-07-30,244.0
2024-07-31,244.0
2024-08-01,244.0
2024-08-02,244.0
2024-08-05,244.0
2024-08-06,244.0
2024-08-07,244.0
2024-08-08,244.0
2024-08-09,244.0
2024-08-12,244.0
2024-08-13,244.0
2024-08-14,244.0
2024-08-15,244.0
2024-08-16,244.0
2024-08-19,244.0
2024-08-20,244.0
2024-08-21,244.0
2024-08-22,244.0
2024-08-23,244.0
2024-08-26,244.0
2024-08-27,244.0
2024-08-28,244.0
2024-08-29,244.0
2024-08-30,244.0
2024-09-02,244.0
2024-09-03,244.0
2024-09-04,244.0
2024-09-05,244.0
2024-09-06,244.0
2024-09-09,244.0
2024-09-10,244.0
2024-09-11,244.0
2024-09-12,244.0
2024-09-13,244.0
2024-09-16,244.0
2024-09-17,244.0
2024-09-18,244.0
2024-09-19,244.0
2024-09-20,244.0
2024-09-23,244.0
2024-09-24,244.0
2024-09-25,240.0
2024-09-26,240.0
2024-09-27,240.0
2024-09-30,240.0
2024-10-01,240.0
2024-10-02,240.0
2024-10-03,240.0
2024-10-04,240.0
2024-10-07,240.0
2024-10-08,240.0
2024-10-09,240.0
2024-10-10,240.0
2024-10-11,240.0
2024-10-14,240.0
2024-10-15,240.0
2024-10-16,240.0
2024-10-17,240.0
2024-10-18,240.0
2024-10-21,240.0
2024-10-22,240.0
2024-10-23,240.0
2024-10-24,240.0
2024-10-25,240.0
2024-10-28,240.0
2024-10-29,240.0
2024-10-30,240.0
2024-10-31,240.0
2024-11-01,240.0
2024-11-04,240.0
2024-11-05,240.0
2024-11-06,240.0
2024-11-07,240.0
2024-11-08,240.0
2024-11-11,240.0
2024-11-12,240.0
2024-11-13,240.0
2024-11-14,240.0
2024-11-15,240.0
2024-11-18,240.0
2024-11-19,240.0
2024-11-20,240.0
2024-11-21,240.0
2024-11-22,240.0
2024-11-25,240.0
2024-11-26,240.0
2024-11-27,240.0
2024-11-28,240.0
2024-11-29,240.0
2024-12-02,240.0
2024-12-03,240.0
2024-12-04,240.0
2024-12-05,240.0
2024-12-06,240.0
2024-12-09,240.0
2024-12-10,240.0
2024-12-11,240.0
2024-12-12,240.0
2024-12-13,240.0
2024-12-16,240.0
2024-12-17,240.0
2024-12-18,240.0
2024-12-19,240.0
2024-12-20,240.0
2024-12-23,240.0
2024-12-24,240.0
2024-12-27,240.0
2024-12-30,240.0
2024-12-31,240.0
2025-01-02,240.0
2025-01-03,240.0
2025-01-06,240.0
2025-01-07,240.0
2025-01-08,240.0
2025-01-09,240.0
2025-01-10,240.0
2025-01-13,240.0
2025-01-14,240.0
2025-01-15,240.0
2025-01-16,240.0
2025-01-17,240.0
2025-01-20,240.0
2025-01-21,240.0
2025-01-22,240.0
2025-01-23,240.0
2025-01-24,240.0
2025-01-27,240.0
2025-01-28,240.0
2025-01-29,240.0
2025-01-30,240.0
2025-01-31,240.0
2025-02-03,240.0
2025-02-04,240.0
2025-02-05,240.0
2025-02-06,240.0
2025-02-07,240.0
2025-02-10,240.0
2025-02-11,240.0
2025-02-12,240.0
2025-02-13,240.0
2025-02-14,240.0
2025-02-17,240.0
2025-02-18,240.0
2025-02-19,240.0
2025-02-20,240.0
2025-02-21,240.0
2025-02-24,240.0
2025-02-25,240.0
2025-02-26,240.0
2025-02-27,200.0
2025-02-28,200.0
2025-03-03,200.0
2025-03-04,200.0
2025-03-05,238.0
2025-03-06,238.0
2025-03-07,238.0
2025-03-10,238.0
2025-03-11,238.0
2025-03-12,238.0
2025-03-13,238.0
2025-03-14,238.0
2025-03-17,238.0
2025-03-18,238.0
2025-03-19,238.0
2025-03-20,238.0
2025-03-21,180.0
2025-03-24,200.0
2025-03-25,200.0
2025-03-26,200.0
2025-03-27,200.0
2025-03-28,200.0
2025-03-31,200.0
2025-04-01,200.0
2025-04-02,200.0
2025-04-03,200.0
2025-04-04,200.0
2025-04-07,200.0
2025-04-08,200.0
2025-04-09,200.0
2025-04-10,200.0
2025-04-11,200.0
2025-04-14,200.0
2025-04-15,200.0
2025-04-16,200.0
2025-04-17,200.0
2025-04-22,200.0
2025-04-23,200.0
2025-04-24,200.0
2025-04-25,200.0
2025-04-28,200.0
2025-04-29,200.0
2025-04-30,200.0
2025-05-02,200.0
2025-05-05,200.0
2025-05-06,200.0
2025-05-07,200.0
2025-05-08,200.0
2025-05-09,200.0
2025-05-12,200.0
2025-05-13,200.0
2025-05-14,200.0
2025-05-15,200.0
2025-05-16,200.0
2025-05-19,200.0
2025-05-20,200.0
2025-05-21,200.0
2025-05-22,200.0
2025-05-23,200.0
2025-05-26,200.0
2025-05-27,200.0
2025-05-28,200.0
2025-05-29,200.0
2025-05-30,200.0
2025-06-02,200.0
2025-06-03,200.0
2025-06-04,200.0
2025-06-05,200.0
2025-06-06,200.0
2025-06-09,200.0
2025-06-10,200.0
2025-06-11,200.0
2025-06-12,200.0
2025-06-13,200.0
2025-06-16,170.0
2025-06-17,170.0
2025-06-18,170.0
2025-06-19,170.0
2025-06-20,170.0
2025-06-23,170.0
2025-06-24,170.0
2025-06-25,170.0
2025-06-26,170.0
2025-06-27,170.0
2025-06-30,170.0
2025-07-01,170.0
2025-07-02,170.0
2025-07-03,170.0
2025-07-04,170.0
2025-07-07,170.0
2025-07-08,170.0
2025-07-09,170.0
2025-07-10,170.0
2025-07-11,170.0
2025-07-14,170.0
2025-07-15,170.0
2025-07-16,170.0
2025-07-17,170.0
2025-07-18,170.0
2025-07-21,170.0
2025-07-22,170.0
2025-07-23,170.0
2025-07-24,170.0
2025-07-25,170.0
2025-07-28,170.0
2025-07-29,170.0
2025-07-30,170.0
2025-07-31,170.0
2025-08-01,170.0
2025-08-04,170.0
2025-08-05,170.0
2025-08-06,170.0
2025-08-07,170.0
2025-08-08,170.0
2025-08-11,170.0
2025-08-12,170.0
2025-08-13,170.0
2025-08-14,170.0
2025-08-15,170.0
2025-08-18,170.0
2025-08-19,170.0
2025-08-20,170.0
2025-08-21,170.0
2025-08-22,170.0
2025-08-25,170.0
2025-08-26,170.0
2025-08-27,170.0
2025-08-28,170.0
2025-08-29,170.0
