,ETL FP Equity_DX_SI_QTY,ETL FP Equity_DX_SHORT_INTEREST_VALUE,ETL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ETL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ETL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ETL FP Equity_DX_SI_MV,ETL FP Equity_DX_DSS,ETL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ETL FP Equity_DX_SUPPLY_SI_QTY,ETL FP Equity_DX_BROKER_SI_QTY,ETL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ETL FP Equity_DX_BROKER_SI_MV_NEW_x,ETL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ETL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ETL FP Equity_DX_BROKER_SI_MV_INC_x,ETL FP Equity_DX_SUPPLY_SI_MV_NEW,ETL FP Equity_DX_BROKER_SI_QTY_ADD,ETL FP Equity_DX_BROKER_SI_QTY_NEW,ETL FP Equity_DX_SUPPLY_SI_MV_DEC,ETL FP Equity_DX_BROKER_SI_QTY_INC,ETL FP Equity_DX_SUPPLY_SI_QTY_DEC,ETL FP Equity_DX_BROKER_SI_MV_NEW_y,ETL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ETL FP Equity_DX_BROKER_SI_MV_INC_y,ETL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ETL FP Equity_DX_BROKER_SI_MV_ADD,ETL FP Equity_DX_SUPPLY_SI_QTY_ADD,ETL FP Equity_DX_BROKER_SI_QTY_DEC,ETL FP Equity_DX_SUPPLY_SI_MV,ETL FP Equity_DX_BROKER_SI_MV_DEC,ETL FP Equity_DX_SUPPLY_SI_MV_RMV,ETL FP Equity_DX_BROKER_SI_MV_RMV,ETL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ETL FP Equity_DX_UTILIZATION_QUANTITY,ETL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ETL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ETL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ETL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ETL FP Equity_DX_ACTIVE_UTILIZATION_MV,ETL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ETL FP Equity_DX_BROKER_SI_CON_RATIO,ETL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ETL FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-07-05,1107020.0,8165533.47,0.87,2.03,0.51,13.23,0.0,7088978.59,272407.0,961069.0,2009311.91,,94854.0,47.0,0.01,1.14,,,0.04,921.0,2935.0,,94854.0,0.01,47.0,,,,3.27,,,,4.97,4.97,5211654.0,38441884.66,,62.56,4.97,12.32,0.4752,66.45,0.2019
2006-07-06,1111505.0,8348548.57,0.88,2.12,0.52,13.31,0.0,7209688.48,183228.0,959880.0,1376231.2,,,,0.0,,,,0.0,39.0,326.0,,,0.0,,,6000.0,1228.0,2.23,0.01,1.14,,3.56,3.56,4960889.0,37261391.32,94854.0,60.03,3.59,12.7,0.4714,66.08,0.2161
2006-07-07,1094210.0,8138136.11,0.86,2.11,0.51,13.11,0.0,7008096.84,183542.0,942271.0,1365085.11,,,314.0,,,,,,,,,,,314.0,,,17610.0,2.23,0.21,,,3.57,3.57,4954031.0,36845375.71,,59.8,3.59,12.68,0.4852,67.09,0.213
2006-07-10,1120017.0,8233931.82,0.88,2.44,0.52,13.4,0.0,7116743.91,183567.0,968052.0,1349513.59,,,25.0,0.31,,,,,26000.0,,,,0.31,25.0,,,218.0,2.2,0.01,,,3.58,3.58,4937489.0,36298509.55,,59.19,3.59,12.37,0.4953,67.98,0.2187
2006-07-11,842731.0,6148927.89,0.67,1.84,0.39,10.08,0.0,5987698.67,22097.0,820634.0,161229.22,,,,,,,,1.94,,161471.0,,,,,,,147418.0,0.26,1.76,,,0.43,0.43,5099615.0,37208984.71,,60.86,0.43,16.38,0.6259,77.26,0.1645
2006-07-12,1050068.0,7629555.61,0.83,2.27,0.49,12.52,0.0,6164150.94,333477.0,848382.0,2422968.15,,90969.0,64.0,0.31,1.08,15092.0,,,26131.0,,,90969.0,0.31,64.0,0.18,220348.0,13476.0,3.95,0.16,,,6.07,6.07,5162604.0,37510308.2,,61.4,6.04,15.62,0.4136,60.86,0.1911
2006-07-13,1045712.0,7514553.35,0.83,2.32,0.48,12.44,0.0,6065972.2,242404.0,844130.0,1741930.66,,,,0.11,,,,0.0,9371.0,104.0,,,0.11,,,,13623.0,2.85,0.17,1.08,,4.72,4.72,4895051.0,35176149.73,90969.0,57.89,4.68,16.58,0.4055,59.94,0.2035
2006-07-14,1031055.0,7402905.34,0.81,2.28,0.48,12.26,0.0,5956486.39,242276.0,829602.0,1739525.34,,,,,,,,0.0,,129.0,,,,,,,14528.0,2.84,0.17,,,4.72,4.72,4885306.0,35076167.51,,57.65,4.69,15.42,0.413,60.83,0.2011
2006-07-17,1017086.0,7290136.43,0.8,2.38,0.47,12.09,0.0,5888434.13,236381.0,821527.0,1694300.91,,,106.0,,,,,0.07,,6000.0,,,,106.0,,,8075.0,2.77,0.1,,,4.59,4.59,4918755.0,35256010.83,,57.97,4.55,15.03,0.4221,61.67,0.1973
2006-07-18,1333957.0,9487751.21,1.05,3.13,0.62,15.76,0.0,8097352.56,236310.0,1138470.0,1680751.7,,,,3.86,,,,0.0,331724.0,72.0,,,3.86,,,,14781.0,2.74,0.18,,,4.57,4.57,4939324.0,35130875.49,,57.89,4.52,11.48,0.5409,71.88,0.2577
2006-07-19,1318029.0,9455277.87,1.04,3.11,0.61,15.58,0.0,8054815.6,195219.0,1122810.0,1400462.27,,,,,,,,0.46,,41091.0,,,,,,,15659.0,2.28,0.19,,,3.59,3.59,5243161.0,37613394.07,,61.62,3.57,11.54,0.5367,71.55,0.2424
2006-07-20,1335137.0,9790851.86,1.05,3.21,0.62,15.85,0.0,8358263.56,195356.0,1139781.0,1432588.31,,,137.0,0.21,,,,,16971.0,,,,0.21,137.0,,,,2.34,,,,3.92,3.92,4784938.0,35088997.71,,56.89,3.95,12.66,0.5226,70.36,0.2681
2006-07-21,1336743.0,9876394.62,1.06,3.6,0.62,15.88,0.0,8430868.55,195648.0,1141095.0,1445526.07,,,292.0,0.02,,,,,1313.0,,,,0.02,292.0,,,,2.35,,,,3.87,3.87,4854783.0,35869088.29,,58.13,3.89,12.74,0.5209,70.21,0.2647
2006-07-24,1258032.0,9256278.28,0.99,3.26,0.58,14.95,0.0,7814697.44,195927.0,1062105.0,1441580.85,,,279.0,,,,,,,,,,,279.0,,,78990.0,2.35,0.92,,,3.83,3.83,4913250.0,36150439.16,,58.72,3.84,13.54,0.4993,68.4,0.2462
2006-07-25,1247799.0,9196288.13,0.99,3.33,0.58,14.86,0.0,7200386.88,270814.0,976985.0,1995901.24,,,75000.0,,,,,0.0,,113.0,,,,75000.0,,,85120.0,3.27,1.01,,,5.33,5.33,4812875.0,35470925.38,,57.58,5.37,10.52,0.4932,68.24,0.2455
2006-07-26,1477053.0,10876835.37,1.17,4.21,0.68,17.58,0.0,8869310.18,272618.0,1204435.0,2007525.19,,,,2.73,,,,0.0,227450.0,196.0,,,2.73,,,2000.0,,3.25,,,,4.86,4.86,5334605.0,39283370.56,,63.81,4.84,8.78,0.4862,67.96,0.2634
2006-07-27,1602661.0,11831277.05,1.27,4.68,0.74,19.13,0.0,9817821.82,272742.0,1329919.0,2013455.23,,,124.0,1.51,,,,,125610.0,,,,1.51,124.0,,,126.0,3.29,0.0,,,4.81,4.81,5399278.0,39858930.8,,64.73,4.84,8.18,0.5156,70.33,0.2826
2006-07-28,1523553.0,11228597.2,1.2,4.63,0.71,18.19,0.0,9218921.42,272683.0,1250870.0,2009675.79,,,,,,,,0.0,,59.0,,,,,,,79049.0,3.28,0.92,,,4.8,4.8,5409176.0,39865668.28,,64.83,4.81,8.56,0.4973,68.87,0.2681
2006-07-31,1309245.0,9713366.22,1.03,4.55,0.61,15.64,0.0,7690055.22,272718.0,1036527.0,2023311.0,,,35.0,,,,,,,,,,,35.0,,,214343.0,3.3,2.57,,,4.79,4.79,5417571.0,40193280.19,,65.09,4.82,10.02,0.4368,63.68,0.2301
2006-08-01,1250690.0,9393971.42,0.99,4.61,0.58,14.96,0.0,7345397.79,272741.0,977948.0,2048566.12,,,23.0,,,,,,,,,,,23.0,,,58578.0,3.32,0.71,,,4.78,4.78,5437183.0,40838850.34,,65.7,4.8,10.54,0.4217,62.26,0.219
2006-08-02,1251608.0,9316450.61,0.99,4.48,0.58,14.98,0.0,7283957.38,273053.0,978555.0,2032493.23,,,312.0,0.01,,,,,607.0,,,,0.01,312.0,,,,3.32,,,,4.83,4.83,5381941.0,40060935.61,,64.96,4.86,10.52,0.4206,62.18,0.2213
2006-08-03,1148360.0,8653532.08,0.91,4.23,0.53,13.79,0.0,6597892.45,272792.0,875568.0,2055639.63,,,,0.01,,,,0.0,806.0,261.0,,,0.01,,,,103793.0,3.35,1.22,,,4.75,4.75,5470949.0,41226647.3,,66.43,4.79,11.53,0.3851,58.68,0.1999
2006-08-04,1057418.0,8039552.08,0.83,4.0,0.49,12.76,0.0,5965194.4,272834.0,784584.0,2074357.68,,,42.0,,,,,,,,,,,42.0,,,90983.0,3.38,1.08,,,4.67,4.67,5567560.0,42330174.6,,68.07,4.73,12.6,0.3506,54.97,0.1811
2006-08-07,1053097.0,8019613.53,0.83,3.98,0.49,12.75,0.0,5940196.68,273059.0,780038.0,2079416.86,,,226.0,0.09,,,,,6503.0,,,,0.09,226.0,,,11049.0,3.39,0.12,,,4.69,4.69,5550795.0,42270779.14,,68.08,4.74,12.63,0.3578,55.73,0.1808
2006-08-08,1053041.0,8070840.46,0.83,4.05,0.49,12.78,0.0,5978458.81,273002.0,780038.0,2092373.98,,,,,,,,0.0,,57.0,,,,,,,,3.41,,,,4.62,4.62,5635422.0,43191662.88,,69.35,4.68,12.67,0.3567,55.61,0.1782
2006-08-09,1083087.0,8301122.54,0.86,4.14,0.5,13.17,0.0,5978458.81,303049.0,780038.0,2322663.72,,,30046.0,,,,,,,,,,,30046.0,,,,3.79,,,,5.14,5.14,5588773.0,42834130.14,,69.01,5.2,12.32,0.3369,53.97,0.1838
2006-08-10,1074998.0,8245717.18,0.85,4.14,0.5,13.07,0.0,5921877.99,302960.0,772038.0,2323839.18,,,85.0,,,,,0.08,,6396.0,,,,85.0,,6223.0,8000.0,3.78,0.1,,,5.1,5.1,5637008.0,43238381.54,,69.64,5.15,12.38,0.3339,53.63,0.181
2006-08-11,1074998.0,8225943.27,0.85,4.06,0.5,13.08,0.0,5907676.84,302960.0,772038.0,2318266.43,,,,,,,,0.0,,0.0,,,,,,,,3.79,,,,5.06,5.06,5686390.0,43512566.13,,70.52,5.1,12.4,0.3336,53.59,0.1795
2006-08-14,1075816.0,8311358.45,0.85,4.04,0.5,13.12,0.0,5971573.56,302860.0,772956.0,2339784.89,,,,0.01,,,,0.0,918.0,99.0,,,0.01,,,,,3.82,,,,5.05,5.05,5694087.0,43990420.38,,70.97,5.11,12.47,0.3331,53.52,0.1794
2006-08-15,1075864.0,8305132.67,0.85,4.01,0.5,13.12,0.0,5966834.22,302908.0,772956.0,2338298.45,,,48.0,,,,,,,,,,,48.0,,,,3.81,,,,5.04,5.04,5707862.0,44061843.47,,71.13,5.08,12.43,0.3331,53.53,0.179
2006-08-16,1186742.0,9379349.06,0.94,4.45,0.55,14.63,0.0,6986186.19,308808.0,883942.0,2440646.77,,,6008.0,1.41,,,,0.0,110986.0,108.0,,,1.41,6008.0,,,,3.97,,,,5.14,5.14,5695427.0,45013488.93,,71.61,5.26,11.43,0.3558,56.02,0.1977
2006-08-17,1186975.0,9461247.27,0.94,4.25,0.55,14.71,0.0,7045804.53,317467.0,883942.0,2530494.57,,,8659.0,,,,,,,,,,,8659.0,,,,4.13,,,,5.28,5.28,5694113.0,45387148.91,,72.8,5.37,11.48,0.353,55.72,0.1974
2006-08-18,1173073.0,9472710.89,0.93,4.08,0.54,14.61,0.0,7025439.34,317498.0,870010.0,2563835.98,,,31.0,0.09,,15653.0,,,6008.0,,,,0.09,31.0,0.2,,35593.0,4.17,0.44,,,5.27,5.27,5705093.0,46069338.03,,73.51,5.37,11.68,0.3268,53.08,0.1948
2006-08-21,1199331.0,9567089.23,0.95,4.17,0.56,14.95,0.0,7149030.64,317562.0,896203.0,2533198.92,,,64.0,0.57,,,,,41846.0,,,,0.57,64.0,,,15653.0,4.14,0.2,,,4.84,4.84,6240319.0,49779159.13,,80.42,4.89,11.72,0.3357,53.83,0.1829
2006-08-22,1201525.0,9614059.2,0.95,4.17,0.56,14.99,0.0,7098988.82,337313.0,887202.0,2699025.95,,,19751.0,,,,,,,,,,,19751.0,,,9001.0,4.39,0.09,,,5.15,5.15,6210879.0,49696642.49,,79.96,5.21,11.67,0.3391,54.2,0.1835
2006-08-23,1213652.0,9666445.25,0.96,4.49,0.56,15.12,0.0,7162954.35,339551.0,899331.0,2704441.76,,,2240.0,0.16,,,,0.0,12129.0,2.0,,,0.16,2240.0,,,,4.4,,,,5.12,5.12,6291919.0,50113616.22,,80.67,5.18,11.95,0.3413,54.42,0.183
2006-08-24,1222091.0,9741153.05,0.97,4.55,0.57,15.23,0.0,7236667.49,339434.0,907887.0,2705591.11,,,,0.11,,,,0.0,8556.0,116.0,,,0.11,,,,,4.41,,,,5.12,5.12,6286768.0,50111136.77,,80.58,5.19,11.81,0.3373,54.01,0.1844
2006-08-25,1240010.0,9883983.43,0.98,4.62,0.57,15.44,0.0,7379194.98,340333.0,925768.0,2712756.94,,,899.0,0.03,,15641.0,,,2240.0,,,,0.03,899.0,0.2,,,4.41,,,,5.13,5.13,6289190.0,50130442.27,,80.63,5.19,11.65,0.3284,53.26,0.187
2006-08-28,1239920.0,9883266.05,0.98,4.78,0.57,15.45,0.0,7379171.07,341701.0,925765.0,2723661.12,,,1455.0,,,,,0.0,,86.0,,,,1455.0,,,3.0,4.43,0.0,,,5.16,5.16,6285142.0,50098176.11,,80.58,5.21,11.65,0.3283,53.25,0.1871
2006-08-29,1240788.0,9920616.12,0.98,4.86,0.58,15.45,0.0,7408864.2,341695.0,926639.0,2731993.64,,,,0.01,,,,0.0,874.0,6.0,,,0.01,,,,,4.42,,,,5.15,5.15,6288382.0,50278229.49,,80.72,5.19,11.65,0.3284,53.26,0.1871
2006-08-30,1234724.0,9917555.83,0.97,4.91,0.57,15.41,0.0,7393556.01,343129.0,920489.0,2756082.34,,,1433.0,0.0,,,,,9.0,,,,0.0,1433.0,,,6158.0,4.48,0.08,,,5.17,5.17,6287920.0,50505860.16,,81.28,5.22,11.72,0.3297,53.39,0.1862
2006-08-31,1234918.0,9919114.08,1.59,4.89,0.57,15.42,0.0,7394045.98,343262.0,920550.0,2757150.63,,,133.0,0.0,,,,,60.0,,,,0.0,133.0,,,,4.48,,,,5.27,5.27,6173814.0,49589337.42,,79.9,5.3,11.76,0.3293,53.35,0.1895
2006-09-01,947677.0,7786254.73,1.22,3.75,0.44,11.67,0.0,7445292.79,70393.0,906178.0,578359.32,,,11657.0,0.02,,,,3.72,1348.0,284526.0,,,0.02,11657.0,,,15720.0,0.9,0.2,,,1.08,1.08,6475586.0,53204374.59,,84.46,1.05,15.78,0.5494,71.61,0.1448
2006-09-04,1232174.0,10123724.25,1.59,4.87,0.57,15.53,0.0,7445292.79,354890.0,906178.0,2915828.85,,,,,,,,0.0,,30.0,,,,,,284526.0,,4.72,,,,5.34,5.34,6288465.0,51666960.71,,82.78,5.4,12.06,0.333,53.5,0.1855
2006-09-05,1698543.0,13695117.65,2.19,5.97,0.79,21.78,0.0,11069357.97,354555.0,1372882.0,2858728.0,,,,6.29,,,,0.0,466704.0,335.0,,,6.29,,,,,4.66,,,,5.18,5.18,6487693.0,52309372.73,,84.89,5.2,8.56,0.4749,67.21,0.2482
2006-09-06,1729783.0,14000031.87,2.23,5.31,0.8,22.18,0.0,11013644.7,397879.0,1360798.0,3220241.31,,,,,,,,0.01,,676.0,,,,,,44000.0,12084.0,5.23,0.14,,,5.79,5.79,6474331.0,52400122.08,,84.8,5.81,10.45,0.4534,65.3,0.2517
2006-09-07,1702242.0,13651881.64,2.19,5.07,0.79,21.81,0.0,10652327.2,402906.0,1328230.0,3231282.64,,,5027.0,,,,,,,,,,,5027.0,,,32568.0,5.27,0.42,,,5.9,5.9,6427969.0,51551936.79,,83.87,5.92,10.58,0.4533,65.27,0.2492
