,ALMAR FP Equity_DX_SI_QTY,ALMAR FP Equity_DX_SHORT_INTEREST_VALUE,ALMAR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMAR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMAR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMAR FP Equity_DX_SI_MV,ALMAR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMAR FP Equity_DX_SUPPLY_SI_QTY,ALMAR FP Equity_DX_BROKER_SI_QTY,ALMAR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMAR FP Equity_DX_SUPPLY_SI_MV,ALMAR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMAR FP Equity_DX_UTILIZATION_QUANTITY,ALMAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMAR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMAR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMAR FP Equity_DX_BROKER_SI_CON_RATIO,ALMAR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMAR FP Equity_PX_LAST
2020-08-27,,,,,,,,,,,,,,,,,,,,3.18
2020-08-28,,,,,,,,,,,,,,,,,,,,3.2
2020-08-31,,,,,,,,,,,,,,,,,,,,3.17
2020-09-01,,,,,,,,,,,,,,,,,,,,3.23
2020-09-02,,,,,,,,,,,,,,,,,,,,3.19
2020-09-03,,,,,,,,,,,,,,,,,,,,3.05
2020-09-04,,,,,,,,,,,,,,,,,,,,3.18
2020-09-07,,,,,,,,,,,,,,,,,,,,3.16
2020-09-08,,,,,,,,,,,,,,,,,,,,3.15
2020-09-09,,,,,,,,,,,,,,,,,,,,3.17
2020-09-10,,,,,,,,,,,,,,,,,,,,3.12
2020-09-11,,,,,,,,,,,,,,,,,,,,3.13
2020-09-14,,,,,,,,,,,,,,,,,,,,3.13
2020-09-15,,,,,,,,,,,,,,,,,,,,3.1
2020-09-16,,,,,,,,,,,,,,,,,,,,3.05
2020-09-17,,,,,,,,,,,,,,,,,,,,3.1
2020-09-18,,,,,,,,,,,,,,,,,,,,3.09
2020-09-21,,,,,,,,,,,,,,,,,,,,3.09
2020-09-22,,,,,,,,,,,,,,,,,,,,2.96
2020-09-23,,,,,,,,,,,,,,,,,,,,3.09
2020-09-24,,,,,,,,,,,,,,,,,,,,2.98
2020-09-25,,,,,,,,,,,,,,,,,,,,3.08
2020-09-28,,,,,,,,,,,,,,,,,,,,2.91
2020-09-29,,,,,,,,,,,,,,,,,,,,2.91
2020-09-30,,,,,,,,,,,,,,,,,,,,2.95
2020-10-01,,,,,,,,,,,,,,,,,,,,2.96
2020-10-02,,,,,,,,,,,,,,,,,,,,2.96
2020-10-05,,,,,,,,,,,,,,,,,,,,2.96
2020-10-06,,,,,,,,,,,,,,,,,,,,2.97
2020-10-07,,,,,,,,,,,,,,,,,,,,3.08
2020-10-08,,,,,,,,,,,,,,,,,,,,3.07
2020-10-09,,,,,,,,,,,,,,,,,,,,3.05
2020-10-12,,,,,,,,,,,,,,,,,,,,3.0
2020-10-13,,,,,,,,,,,,,,,,,,,,3.03
2020-10-14,,,,,,,,,,,,,,,,,,,,3.04
2020-10-15,,,,,,,,,,,,,,,,,,,,3.04
2020-10-16,,,,,,,,,,,,,,,,,,,,2.95
2020-10-19,,,,,,,,,,,,,,,,,,,,2.93
2020-10-20,,,,,,,,,,,,,,,,,,,,3.04
2020-10-21,,,,,,,,,,,,,,,,,,,,2.94
2020-10-22,,,,,,,,,,,,,,,,,,,,2.84
2020-10-23,,,,,,,,,,,,,,,,,,,,2.95
2020-10-26,,,,,,,,,,,,,,,,,,,,2.9
2020-10-27,,,,,,,,,,,,,,,,,,,,2.82
2020-10-28,,,,,,,,,,,,,,,,,,,,2.44
2020-10-29,,,,,,,,,,,,,,,,,,,,2.38
2020-10-30,,,,,,,,,,,,,,,,,,,,2.47
2020-11-02,,,,,,,,,,,,,,,,,,,,2.5
2020-11-03,,,,,,,,,,,,,,,,,,,,2.5
2020-11-04,,,,,,,,,,,,,,,,,,,,2.52
2020-11-05,,,,,,,,,,,,,,,,,,,,2.68
2020-11-06,,,,,,,,,,,,,,,,,,,,2.68
2020-11-09,,,,,,,,,,,,,,,,,,,,2.66
2020-11-10,,,,,,,,,,,,,,,,,,,,2.72
2020-11-11,,,,,,,,,,,,,,,,,,,,2.9
2020-11-12,,,,,,,,,,,,,,,,,,,,2.92
2020-11-13,,,,,,,,,,,,,,,,,,,,2.81
2020-11-16,,,,,,,,,,,,,,,,,,,,2.87
2020-11-17,,,,,,,,,,,,,,,,,,,,2.83
2020-11-18,,,,,,,,,,,,,,,,,,,,2.9
2020-11-19,,,,,,,,,,,,,,,,,,,,2.85
2020-11-20,,,,,,,,,,,,,,,,,,,,2.95
2020-11-23,,,,,,,,,,,,,,,,,,,,2.98
2020-11-24,,,,,,,,,,,,,,,,,,,,2.96
2020-11-25,,,,,,,,,,,,,,,,,,,,2.92
2020-11-26,,,,,,,,,,,,,,,,,,,,2.93
2020-11-27,,,,,,,,,,,,,,,,,,,,2.98
2020-11-30,,,,,,,,,,,,,,,,,,,,2.87
2020-12-01,,,,,,,,,,,,,,,,,,,,2.9
2020-12-02,,,,,,,,,,,,,,,,,,,,2.99
2020-12-03,,,,,,,,,,,,,,,,,,,,3.0
2020-12-04,,,,,,,,,,,,,,,,,,,,3.06
2020-12-07,,,,,,,,,,,,,,,,,,,,3.09
2020-12-08,,,,,,,,,,,,,,,,,,,,3.12
2020-12-09,,,,,,,,,,,,,,,,,,,,3.26
2020-12-10,,,,,,,,,,,,,,,,,,,,3.23
2020-12-11,,,,,,,,,,,,,,,,,,,,3.11
2020-12-14,,,,,,,,,,,,,,,,,,,,3.19
2020-12-15,,,,,,,,,,,,,,,,,,,,3.18
2020-12-16,,,,,,,,,,,,,,,,,,,,3.08
2020-12-17,,,,,,,,,,,,,,,,,,,,3.15
2020-12-18,,,,,,,,,,,,,,,,,,,,3.13
2020-12-21,,,,,,,,,,,,,,,,,,,,3.09
2020-12-22,,,,,,,,,,,,,,,,,,,,3.05
2020-12-23,,,,,,,,,,,,,,,,,,,,3.06
2020-12-24,,,,,,,,,,,,,,,,,,,,3.12
2020-12-28,,,,,,,,,,,,,,,,,,,,3.1
2020-12-29,,,,,,,,,,,,,,,,,,,,3.08
2020-12-30,,,,,,,,,,,,,,,,,,,,3.15
2020-12-31,,,,,,,,,,,,,,,,,,,,3.11
2021-01-04,,,,,,,,,,,,,,,,,,,,3.22
2021-01-05,,,,,,,,,,,,,,,,,,,,3.11
2021-01-06,,,,,,,,,,,,,,,,,,,,3.11
2021-01-07,,,,,,,,,,,,,,,,,,,,3.15
2021-01-08,,,,,,,,,,,,,,,,,,,,3.15
2021-01-11,,,,,,,,,,,,,,,,,,,,3.06
2021-01-12,,,,,,,,,,,,,,,,,,,,3.17
2021-01-13,,,,,,,,,,,,,,,,,,,,3.11
2021-01-14,,,,,,,,,,,,,,,,,,,,3.16
2021-01-15,,,,,,,,,,,,,,,,,,,,3.17
2021-01-18,,,,,,,,,,,,,,,,,,,,3.15
2021-01-19,,,,,,,,,,,,,,,,,,,,3.16
2021-01-20,,,,,,,,,,,,,,,,,,,,3.13
2021-01-21,,,,,,,,,,,,,,,,,,,,3.11
2021-01-22,,,,,,,,,,,,,,,,,,,,3.09
2021-01-25,,,,,,,,,,,,,,,,,,,,3.07
2021-01-26,,,,,,,,,,,,,,,,,,,,3.08
2021-01-27,,,,,,,,,,,,,,,,,,,,3.06
2021-01-28,,,,,,,,,,,,,,,,,,,,3.1
2021-01-29,,,,,,,,,,,,,,,,,,,,3.24
2021-02-01,,,,,,,,,,,,,,,,,,,,3.43
2021-02-02,,,,,,,,,,,,,,,,,,,,3.41
2021-02-03,,,,,,,,,,,,,,,,,,,,3.4
2021-02-04,,,,,,,,,,,,,,,,,,,,3.43
2021-02-05,,,,,,,,,,,,,,,,,,,,3.43
2021-02-08,,,,,,,,,,,,,,,,,,,,3.41
2021-02-09,,,,,,,,,,,,,,,,,,,,3.36
2021-02-10,,,,,,,,,,,,,,,,,,,,3.39
2021-02-11,,,,,,,,,,,,,,,,,,,,3.34
2021-02-12,,,,,,,,,,,,,,,,,,,,3.32
2021-02-15,,,,,,,,,,,,,,,,,,,,3.4
2021-02-16,,,,,,,,,,,,,,,,,,,,3.44
2021-02-17,,,,,,,,,,,,,,,,,,,,3.46
2021-02-18,,,,,,,,,,,,,,,,,,,,3.6
2021-02-19,,,,,,,,,,,,,,,,,,,,3.45
2021-02-22,,,,,,,,,,,,,,,,,,,,3.44
2021-02-23,,,,,,,,,,,,,,,,,,,,3.44
2021-02-24,,,,,,,,,,,,,,,,,,,,3.44
2021-02-25,,,,,,,,,,,,,,,,,,,,3.44
2021-02-26,,,,,,,,,,,,,,,,,,,,3.34
2021-03-01,,,,,,,,,,,,,,,,,,,,3.35
2021-03-02,,,,,,,,,,,,,,,,,,,,3.34
2021-03-03,,,,,,,,,,,,,,,,,,,,3.38
2021-03-04,,,,,,,,,,,,,,,,,,,,3.35
2021-03-05,,,,,,,,,,,,,,,,,,,,3.3
2021-03-08,,,,,,,,,,,,,,,,,,,,3.44
2021-03-09,,,,,,,,,,,,,,,,,,,,3.42
2021-03-10,,,,,,,,,,,,,,,,,,,,3.36
2021-03-11,,,,,,,,,,,,,,,,,,,,3.36
2021-03-12,,,,,,,,,,,,,,,,,,,,3.4
2021-03-15,,,,,,,,,,,,,,,,,,,,3.38
2021-03-16,,,,,,,,,,,,,,,,,,,,3.38
2021-03-17,,,,,,,,,,,,,,,,,,,,3.35
2021-03-18,,,,,,,,,,,,,,,,,,,,3.35
2021-03-19,,,,,,,,,,,,,,,,,,,,3.3
2021-03-22,,,,,,,,,,,,,,,,,,,,3.32
2021-03-23,,,,,,,,,,,,,,,,,,,,3.35
2021-03-24,,,,,,,,,,,,,,,,,,,,3.39
2021-03-25,,,,,,,,,,,,,,,,,,,,3.44
2021-03-26,,,,,,,,,,,,,,,,,,,,3.41
2021-03-29,,,,,,,,,,,,,,,,,,,,3.3
2021-03-30,,,,,,,,,,,,,,,,,,,,3.3
2021-03-31,,,,,,,,,,,,,,,,,,,,3.3
2021-04-01,,,,,,,,,,,,,,,,,,,,3.42
2021-04-06,,,,,,,,,,,,,,,,,,,,3.4
2021-04-07,,,,,,,,,,,,,,,,,,,,3.31
2021-04-08,,,,,,,,,,,,,,,,,,,,3.23
2021-04-09,,,,,,,,,,,,,,,,,,,,3.23
2021-04-12,,,,,,,,,,,,,,,,,,,,3.32
2021-04-13,,,,,,,,,,,,,,,,,,,,3.28
2021-04-14,,,,,,,,,,,,,,,,,,,,3.26
2021-04-15,,,,,,,,,,,,,,,,,,,,3.2
2021-04-16,,,,,,,,,,,,,,,,,,,,3.37
2021-04-19,,,,,,,,,,,,,,,,,,,,3.3
2021-04-20,,,,,,,,,,,,,,,,,,,,3.28
2021-04-21,,,,,,,,,,,,,,,,,,,,3.2
2021-04-22,,,,,,,,,,,,,,,,,,,,3.29
2021-04-23,,,,,,,,,,,,,,,,,,,,3.2
2021-04-26,,,,,,,,,,,,,,,,,,,,3.29
2021-04-27,,,,,,,,,,,,,,,,,,,,3.28
2021-04-28,,,,,,,,,,,,,,,,,,,,3.5
2021-04-29,,,,,,,,,,,,,,,,,,,,3.57
2021-04-30,,,,,,,,,,,,,,,,,,,,3.5
2021-05-03,,,,,,,,,,,,,,,,,,,,3.44
2021-05-04,,,,,,,,,,,,,,,,,,,,3.44
2021-05-05,,,,,,,,,,,,,,,,,,,,3.43
2021-05-06,,,,,,,,,,,,,,,,,,,,3.37
2021-05-07,,,,,,,,,,,,,,,,,,,,3.47
2021-05-10,,,,,,,,,,,,,,,,,,,,3.36
2021-05-11,,,,,,,,,,,,,,,,,,,,3.3
2021-05-12,,,,,,,,,,,,,,,,,,,,3.4
2021-05-13,,,,,,,,,,,,,,,,,,,,3.4
2021-05-14,,,,,,,,,,,,,,,,,,,,3.4
2021-05-17,,,,,,,,,,,,,,,,,,,,3.4
2021-05-18,,,,,,,,,,,,,,,,,,,,3.35
2021-05-19,,,,,,,,,,,,,,,,,,,,3.34
2021-05-20,,,,,,,,,,,,,,,,,,,,3.3
2021-05-21,,,,,,,,,,,,,,,,,,,,3.3
2021-05-24,,,,,,,,,,,,,,,,,,,,3.33
2021-05-25,,,,,,,,,,,,,,,,,,,,3.4
2021-05-26,,,,,,,,,,,,,,,,,,,,3.4
2021-05-27,,,,,,,,,,,,,,,,,,,,3.26
2021-05-28,,,,,,,,,,,,,,,,,,,,3.39
2021-05-31,,,,,,,,,,,,,,,,,,,,3.25
2021-06-01,,,,,,,,,,,,,,,,,,,,3.25
2021-06-02,,,,,,,,,,,,,,,,,,,,3.25
2021-06-03,,,,,,,,,,,,,,,,,,,,3.25
2021-06-04,,,,,,,,,,,,,,,,,,,,3.26
2021-06-07,,,,,,,,,,,,,,,,,,,,3.3
2021-06-08,,,,,,,,,,,,,,,,,,,,3.3
2021-06-09,,,,,,,,,,,,,,,,,,,,3.3
2021-06-10,,,,,,,,,,,,,,,,,,,,3.3
2021-06-11,,,,,,,,,,,,,,,,,,,,3.3
2021-06-14,,,,,,,,,,,,,,,,,,,,3.3
2021-06-15,,,,,,,,,,,,,,,,,,,,3.18
2021-06-16,,,,,,,,,,,,,,,,,,,,3.26
2021-06-17,,,,,,,,,,,,,,,,,,,,3.21
2021-06-18,,,,,,,,,,,,,,,,,,,,3.21
2021-06-21,,,,,,,,,,,,,,,,,,,,3.2
2021-06-22,,,,,,,,,,,,,,,,,,,,3.13
2021-06-23,,,,,,,,,,,,,,,,,,,,3.13
2021-06-24,,,,,,,,,,,,,,,,,,,,3.2
2021-06-25,,,,,,,,,,,,,,,,,,,,3.1
2021-06-28,,,,,,,,,,,,,,,,,,,,3.23
2021-06-29,,,,,,,,,,,,,,,,,,,,3.23
2021-06-30,,,,,,,,,,,,,,,,,,,,3.3
2021-07-01,,,,,,,,,,,,,,,,,,,,3.42
2021-07-02,,,,,,,,,,,,,,,,,,,,3.42
2021-07-05,,,,,,,,,,,,,,,,,,,,3.31
2021-07-06,,,,,,,,,,,,,,,,,,,,3.3
2021-07-07,,,,,,,,,,,,,,,,,,,,3.2
2021-07-08,,,,,,,,,,,,,,,,,,,,3.21
2021-07-09,,,,,,,,,,,,,,,,,,,,3.21
2021-07-12,,,,,,,,,,,,,,,,,,,,3.2
2021-07-13,,,,,,,,,,,,,,,,,,,,3.25
2021-07-14,,,,,,,,,,,,,,,,,,,,3.2
2021-07-15,,,,,,,,,,,,,,,,,,,,3.0
2021-07-16,,,,,,,,,,,,,,,,,,,,2.95
2021-07-19,,,,,,,,,,,,,,,,,,,,2.94
2021-07-20,,,,,,,,,,,,,,,,,,,,3.0
2021-07-21,,,,,,,,,,,,,,,,,,,,3.0
2021-07-22,,,,,,,,,,,,,,,,,,,,2.94
2021-07-23,,,,,,,,,,,,,,,,,,,,3.0
2021-07-26,,,,,,,,,,,,,,,,,,,,3.13
2021-07-27,,,,,,,,,,,,,,,,,,,,3.14
2021-07-28,,,,,,,,,,,,,,,,,,,,3.3
2021-07-29,,,,,,,,,,,,,,,,,,,,3.29
2021-07-30,,,,,,,,,,,,,,,,,,,,3.21
