,SK FP Equity_DX_SI_QTY,SK FP Equity_DX_SHORT_INTEREST_VALUE,SK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SK FP Equity_DX_SI_MV,SK FP Equity_DX_DSS,SK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SK FP Equity_DX_SUPPLY_SI_QTY,SK FP Equity_DX_BROKER_SI_QTY,SK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SK FP Equity_DX_BROKER_SI_MV_NEW_x,SK FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SK FP Equity_DX_SUPPLY_SI_QTY_INC_x,SK FP Equity_DX_BROKER_SI_MV_INC_x,SK FP Equity_DX_SUPPLY_SI_MV_NEW,SK FP Equity_DX_BROKER_SI_QTY_ADD,SK FP Equity_DX_BROKER_SI_QTY_NEW,SK FP Equity_DX_SUPPLY_SI_MV_DEC,SK FP Equity_DX_BROKER_SI_QTY_INC,SK FP Equity_DX_SUPPLY_SI_QTY_DEC,SK FP Equity_DX_BROKER_SI_MV_NEW_y,SK FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SK FP Equity_DX_BROKER_SI_MV_INC_y,SK FP Equity_DX_SUPPLY_SI_QTY_INC_y,SK FP Equity_DX_BROKER_SI_MV_ADD,SK FP Equity_DX_SUPPLY_SI_QTY_ADD,SK FP Equity_DX_BROKER_SI_QTY_DEC,SK FP Equity_DX_SUPPLY_SI_MV,SK FP Equity_DX_BROKER_SI_MV_DEC,SK FP Equity_DX_SUPPLY_SI_MV_RMV,SK FP Equity_DX_BROKER_SI_MV_RMV,SK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SK FP Equity_DX_UTILIZATION_QUANTITY,SK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SK FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SK FP Equity_DX_ACTIVE_UTILIZATION_MV,SK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SK FP Equity_DX_BROKER_SI_CON_RATIO,SK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SK FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-04-26,355145.0,26175369.08,2.2,15.86,2.09,32.1,1.0,21261641.78,95090.0,288476.0,7008449.64,,,458.0,0.33,,,,,3530.0,,,,0.33,458.0,,,13.0,8.88,0.0,,,67.26,27.9,46296.0,3412169.36,,0.0,130.34,14.51,0.4923,67.96,1.0419
2006-05-03,350820.0,26510509.93,2.18,17.27,2.06,31.86,1.0,21438283.58,95542.0,283698.0,7219848.18,,,452.0,0.13,,,,,1050.0,,,,0.13,452.0,,,5827.0,9.1,0.52,,,66.94,28.05,47179.0,3565188.27,,0.0,130.41,15.06,0.5031,68.63,1.03
2006-05-10,319049.0,23849485.96,1.98,17.45,1.88,28.93,1.0,20347364.29,75270.0,272199.0,5626567.73,,,,0.09,,,,1.95,1000.0,20272.0,,,0.09,,,,12499.0,7.12,1.07,,,22.09,22.09,265439.0,19842042.14,,25.31,21.95,16.45,0.5539,72.35,0.9364
2006-05-17,337264.0,24110969.64,3.11,18.65,1.98,30.51,1.0,18581940.78,105761.0,259924.0,7560843.32,,,,1.0,,,,0.08,11001.0,797.0,,,1.0,,,31288.0,23277.0,9.69,2.07,,,88.75,30.23,13409.0,958608.07,,0.0,199.93,13.79,0.429,62.89,0.9639
2006-05-24,292040.0,20167898.57,2.69,15.02,1.72,26.18,1.0,14682083.75,112354.0,212603.0,7759019.57,,,5916.0,0.84,,9064.0,,0.92,9817.0,7772.0,,,0.84,5916.0,0.8,8449.0,66202.0,9.91,5.95,,,98.56,32.45,1637.0,113049.07,,0.0,224.75,16.89,0.3134,51.53,0.8435
2006-05-31,294941.0,20568388.13,2.72,14.7,1.74,26.58,1.0,14946934.35,113526.0,214332.0,7916996.38,,,1173.0,0.14,,14874.0,,,1202.0,,,,0.14,1173.0,1.3,,14347.0,10.13,1.24,,,98.67,29.9,1526.0,106419.12,,0.0,225.73,16.83,0.2942,49.55,0.7769
2006-06-07,289120.0,20197070.87,2.66,14.93,1.7,25.56,1.0,12556595.52,142920.0,179747.0,9983969.87,,,50164.0,,,1546.0,,2.01,,21589.0,,,,50164.0,0.14,819.0,36131.0,12.43,3.42,,,51.01,36.46,137252.0,9588020.1,,6.16,66.85,21.44,0.2436,39.88,0.7376
2006-06-14,179744.0,12369833.93,1.65,8.53,1.06,15.68,1.0,7698181.82,101431.0,111861.0,6980397.82,,,,0.15,,,,3.66,2392.0,41489.0,,,0.15,,,,70279.0,8.75,6.36,,,25.85,25.85,290906.0,20019911.15,,25.15,25.82,25.22,0.2166,29.72,0.4581
2006-06-21,170213.0,11788659.15,1.55,7.97,1.0,15.39,1.0,7038233.91,101319.0,101623.0,7017179.39,,,,0.32,,,,0.01,3412.0,112.0,,,0.32,,,,13650.0,8.76,0.68,,,25.88,25.88,290214.0,20099721.68,,25.42,25.63,26.02,0.2071,30.32,0.4347
2006-06-28,170349.0,11791278.23,1.55,8.27,1.0,15.39,1.0,7092528.37,100724.0,102466.0,6971949.99,,,,0.26,,,,0.05,2991.0,595.0,,,0.26,,,,2147.0,8.73,0.21,,,25.74,25.74,290579.0,20113401.52,,25.36,25.6,25.95,0.2031,30.4,0.4353
2006-07-03,178814.0,12241590.52,1.63,8.21,1.05,15.84,1.0,7594326.38,100724.0,110931.0,6895556.07,,,,0.93,,,,,10834.0,,,,0.93,,,,2369.0,8.63,0.4,,,25.7,25.7,291196.0,19935252.23,,25.22,25.49,22.7,0.1961,29.19,0.4563
2006-07-04,177823.0,12209238.72,1.62,8.18,1.05,15.78,1.0,7535517.72,100924.0,109752.0,6929391.63,,,200.0,,,,,,,,,,,200.0,,,1179.0,8.69,0.1,,,25.74,25.74,291146.0,19989939.52,,25.2,25.65,22.74,0.1981,29.5,0.4535
2006-07-05,177826.0,12223641.73,1.62,7.38,1.05,15.78,1.0,7544486.17,100800.0,109755.0,6928925.39,,,,0.0,,,,0.01,3.0,124.0,,,0.0,,,,0.0,8.67,0.0,,,25.73,25.73,291028.0,20005072.4,,25.21,25.59,22.78,0.1979,29.43,0.4538
2006-07-06,195231.0,13342117.0,1.78,8.08,1.15,17.21,1.0,8690134.24,100800.0,127160.0,6888687.73,,,,1.54,,,,,18008.0,,,,1.54,,,,602.0,8.6,0.06,,,25.71,25.71,291204.0,19900926.79,,25.05,25.55,26.74,0.2094,29.36,0.498
2006-07-07,190371.0,12987185.97,1.73,7.95,1.12,16.83,1.0,8301126.62,101419.0,121681.0,6918844.86,,,619.0,,,,,,,,,,,619.0,,,5479.0,8.74,0.48,,,25.88,25.88,290473.0,19816184.56,,25.12,25.81,27.71,0.2199,30.01,0.4858
2006-07-10,305023.0,20845319.41,2.77,12.56,1.79,26.61,1.0,16151034.09,101419.0,236333.0,6930990.28,,,,9.81,,,,,114652.0,,,,9.81,,,,,8.7,,,,25.83,25.83,291258.0,19904617.16,,25.04,25.78,17.42,0.3635,55.86,0.7768
2006-07-11,294656.0,19995690.96,2.68,11.71,1.73,25.73,1.0,15376315.55,101419.0,226585.0,6882408.57,,,,0.11,,,,,1252.0,,,,0.11,,,,11000.0,8.66,0.95,,,25.85,25.85,290897.0,19740600.94,,24.99,25.74,17.95,0.3477,54.06,0.7511
2006-07-12,307117.0,20853568.17,2.79,11.59,1.81,26.81,1.0,15661853.54,109808.0,230657.0,7456079.0,,,,0.02,,6385.0,,,187.0,,,,0.02,,0.56,8389.0,2500.0,9.44,0.23,,,28.0,28.0,282395.0,19174918.3,,24.38,27.91,20.06,0.3223,51.04,0.7831
2006-07-13,299581.0,20329907.05,2.72,10.97,1.76,26.16,1.0,15140701.69,109816.0,223113.0,7452238.54,,,8.0,,,,,,,,,,,8.0,,,7544.0,9.4,0.64,,,27.99,27.99,282542.0,19173621.15,,24.13,28.04,20.47,0.3379,52.32,0.7635
2006-07-14,362605.0,24244922.78,3.3,13.22,2.13,31.44,1.0,17372457.86,135513.0,259821.0,9060829.89,,,61.0,3.4,,,,0.05,40000.0,619.0,,,3.4,61.0,,26255.0,3292.0,11.49,0.29,,,34.52,34.52,257023.0,17185374.69,,21.73,34.59,24.03,0.3682,54.35,0.9238
2006-07-17,373037.0,24480818.19,3.4,13.66,2.19,32.12,1.0,17739745.2,135449.0,270317.0,8888936.87,,,1.0,0.88,,,,0.01,11000.0,65.0,,,0.88,1.0,,,504.0,11.31,0.05,,,34.52,34.52,256971.0,16863904.47,,21.39,34.59,23.19,0.3696,54.63,0.9506
2006-07-18,368719.0,24874503.87,3.36,13.06,2.17,31.83,1.0,17998781.62,134649.0,266799.0,9083684.52,,,14.0,,,,,0.06,,813.0,,,,14.0,,,3519.0,11.39,0.3,,,34.27,34.27,258269.0,17423331.16,,21.63,34.5,23.41,0.3763,55.14,0.9384
2006-07-19,384004.0,26273550.85,3.5,12.85,2.26,33.31,1.0,18086619.79,152385.0,264347.0,10426180.58,,,361.0,,,,,0.33,,3870.0,,,,361.0,,21246.0,2452.0,13.08,0.21,,,36.82,36.82,261467.0,17889570.22,,22.31,36.96,23.01,0.382,55.77,0.9279
2006-07-20,397321.0,26994375.28,3.62,13.28,2.34,34.49,1.0,18829908.57,152899.0,277151.0,10388106.81,,,519.0,1.1,,,,0.0,12803.0,5.0,,,1.1,519.0,,,,13.15,,,,36.95,36.95,260872.0,17723897.47,,22.4,36.98,22.38,0.393,57.11,0.9602
2006-07-21,398167.0,26924700.09,3.62,13.56,2.34,34.5,1.0,18809631.58,152736.0,278160.0,10328256.72,,,47.0,0.09,,,,0.02,1009.0,210.0,,,0.09,47.0,,,,13.06,,,,36.91,36.91,261024.0,17650867.39,,22.25,36.98,22.19,0.395,57.35,0.9623
2006-07-24,423078.0,28930105.09,3.85,14.69,2.49,36.67,1.0,20734479.66,140623.0,303224.0,9615811.19,,,72.0,2.15,,,,1.02,25064.0,12185.0,,,2.15,72.0,,,,12.08,,,,33.88,33.88,274473.0,18768484.14,,23.48,33.96,20.87,0.4144,59.65,1.0192
2006-07-25,418147.0,28526156.04,3.81,14.76,2.46,36.3,1.0,20648064.13,136249.0,302667.0,9294961.42,,,246.0,,,,,0.4,,4620.0,,,,246.0,,,557.0,11.7,0.05,,,32.83,32.83,278731.0,19015140.61,,23.91,32.86,20.02,0.419,60.28,1.0076
2006-07-26,401079.0,27601926.21,3.65,14.21,2.36,34.8,1.0,20832321.52,119136.0,302711.0,8198841.33,,,,0.0,,,,1.88,44.0,21643.0,,,0.0,,,4530.0,,10.22,,,,30.32,30.32,273852.0,18846268.93,,23.48,30.34,20.83,0.4149,59.69,1.0206
2006-07-27,396944.0,27539193.62,3.61,13.42,2.34,34.56,1.0,21000799.73,115012.0,302701.0,7979306.24,,,406.0,,,,,0.39,,4530.0,,,,406.0,,,10.0,9.96,0.0,,,29.16,29.16,279409.0,19384846.6,,24.16,29.18,20.12,0.4174,60.1,1.0064
2006-07-28,398972.0,27679892.27,3.63,13.72,2.35,34.82,1.0,21139902.68,115035.0,304706.0,7980901.94,,,23.0,0.18,,,,,2005.0,,,,0.18,23.0,,,,10.0,,,,29.17,29.17,279294.0,19376868.13,,24.32,29.13,20.07,0.415,59.91,1.0118
2006-07-31,393582.0,27368789.19,3.58,13.72,2.32,34.34,1.0,20807002.69,115132.0,299219.0,8006015.11,,,97.0,0.39,,,,,4513.0,,,,0.39,97.0,,,10000.0,10.01,0.87,,,29.19,29.19,279305.0,19422228.83,,24.23,29.23,20.37,0.3992,58.19,0.9978
2006-08-01,395696.0,27041926.37,3.6,14.08,2.33,34.47,1.0,20589863.9,115999.0,301285.0,7927389.76,,,48.0,0.18,,,,,2066.0,,,,0.18,48.0,,819.0,,9.99,,,,29.43,29.43,278213.0,19013119.82,,23.97,29.41,20.16,0.4009,58.42,1.0038
2006-08-02,402884.0,27790474.62,3.67,14.72,2.37,34.99,1.0,20981296.52,120302.0,304170.0,8298293.5,,,,0.19,,,,0.03,2885.0,223.0,,,0.19,,,4525.0,,10.37,,,,30.6,30.6,272843.0,18820396.11,,23.39,30.7,20.89,0.3975,57.88,1.0248
2006-08-03,415475.0,28476551.63,3.78,15.79,2.44,36.25,1.0,22015583.78,115854.0,321209.0,7940603.92,,,78.0,1.47,,,,0.39,17039.0,4525.0,,,1.47,78.0,,,,10.11,,,,29.39,29.39,278369.0,19079341.0,,23.93,29.69,19.41,0.4087,59.42,1.0539
2006-08-04,427178.0,29432142.33,3.89,16.32,2.51,37.13,1.0,22409334.89,123517.0,325249.0,8510199.32,,,,0.32,,,,0.03,4040.0,288.0,,,0.32,,,7950.0,,10.68,,,,31.3,31.3,271097.0,18678315.57,,23.35,31.39,20.52,0.3979,58.01,1.0825
2006-08-07,414645.0,28336903.99,3.77,15.74,2.44,36.03,1.0,21346047.73,123883.0,312350.0,8466183.55,,,366.0,,,,,,,,,,,366.0,,,12899.0,10.63,1.07,,,31.39,31.39,270735.0,18502072.14,,23.15,31.46,21.08,0.3874,56.79,1.0508
2006-08-08,399346.0,27418897.7,3.64,15.18,2.35,34.72,1.0,20415903.08,123584.0,297350.0,8485215.96,,,,,,,,0.02,,299.0,,,,,,,15000.0,10.66,1.28,,,31.32,31.32,270959.0,18603910.15,,23.33,31.35,21.9,0.3748,55.23,1.0122
2006-08-09,412122.0,28279640.29,3.75,15.65,2.42,35.82,1.0,21273031.78,123696.0,310014.0,8487968.09,,,112.0,1.11,,,,,13000.0,,,,1.11,112.0,,,336.0,10.65,0.02,,,31.35,31.35,270814.0,18583144.08,,23.37,31.31,21.23,0.3863,56.65,1.0446
2006-08-10,412258.0,28272515.91,3.75,15.99,2.43,35.81,1.0,21260656.54,123832.0,310014.0,8492357.19,,,135.0,,,,,,,,,,,135.0,,,,10.64,,,,33.4,33.4,246952.0,16935885.65,,21.18,33.43,21.21,0.3864,56.66,1.1119
2006-08-11,413690.0,28453291.03,3.77,16.41,2.43,35.96,1.0,21411945.76,123964.0,311314.0,8526151.87,,,132.0,0.11,,,,,1300.0,,,,0.11,132.0,,,,10.68,,,,33.41,33.41,247084.0,16994254.05,,21.17,33.52,21.2,0.3858,56.58,1.1149
2006-08-14,413690.0,28684484.34,3.77,17.17,2.43,36.03,1.0,21585925.59,125841.0,311314.0,8725577.59,,,,,,,,,,,,,,,,1877.0,,10.91,,,,33.74,33.74,247176.0,17138717.64,,21.5,33.67,21.28,0.3849,56.47,1.109
2006-08-15,413690.0,29691826.62,3.77,17.58,2.43,36.28,1.0,22343980.55,125840.0,311314.0,9031930.82,,,,,,,,0.0,,0.0,,,,,,,,11.2,,,,33.74,33.74,247173.0,17740380.14,,22.27,33.46,21.64,0.382,56.08,1.1091
2006-08-16,413690.0,30616599.86,3.77,20.18,2.43,36.7,1.0,23039899.85,125882.0,311314.0,9316345.15,,,42.0,,,,,,,,,,,42.0,,,,11.46,,,,33.72,33.72,247421.0,18311271.13,,22.63,33.61,21.86,0.3767,55.44,1.1082
2006-08-17,413690.0,31689997.38,3.77,19.84,2.43,37.2,1.0,23847663.33,125913.0,311314.0,9645344.68,,,31.0,,,,,,,,,,,31.0,,,,11.85,,,,33.73,33.73,247422.0,18953328.65,,23.41,33.62,22.32,0.3709,54.7,1.1081
2006-08-18,422129.0,32252198.79,3.84,19.09,2.48,38.28,1.0,24430298.13,123964.0,319753.0,9471302.78,,,,,,8439.0,,0.18,,1949.0,,,,,0.77,,,11.8,,,,33.17,33.17,249728.0,19080132.14,,23.67,33.26,21.98,0.3529,53.14,1.1296
2006-08-21,413690.0,31524859.3,3.77,18.89,2.43,37.57,1.0,23723392.03,123964.0,311314.0,9446560.61,,,,,,,,,,,,,,,,,8439.0,11.82,0.77,,,33.22,33.22,249150.0,18986242.58,,23.66,33.32,22.47,0.3665,54.16,1.1087
2006-08-22,417528.0,30833976.65,3.8,19.71,2.46,37.91,1.0,23273623.34,124611.0,315152.0,9202383.23,,,,0.36,,,,0.08,3838.0,819.0,,,0.36,,,1466.0,,11.81,,,,33.4,33.4,248486.0,18350413.67,,23.51,33.45,22.26,0.368,54.34,1.1191
2006-08-23,421528.0,30961105.3,3.84,20.4,2.48,37.87,1.0,23441618.78,125400.0,319152.0,9210592.43,,,,0.48,,,,0.0,5000.0,30.0,,,0.48,,,819.0,1000.0,11.62,0.2,,,31.44,31.44,273443.0,20084306.42,,25.19,31.56,21.68,0.3783,55.66,1.0569
2006-08-24,421058.0,31010623.57,3.83,20.48,2.48,37.68,1.0,23505318.83,124928.0,319152.0,9200858.75,,,,,,,,0.05,,472.0,,,,,,,,11.46,,,,31.32,31.32,273944.0,20175781.64,,25.0,31.44,21.43,0.3804,55.95,1.0556
2006-08-25,384028.0,28528666.31,3.5,19.05,2.26,34.61,1.0,21095113.37,123079.0,283964.0,9143290.91,,,,,,2554.0,,0.17,,1849.0,,,,,0.23,,37742.0,11.38,3.24,,,30.87,30.87,275567.0,20471317.16,,25.37,30.98,23.01,0.3445,51.55,0.9633
2006-08-28,375360.0,27854770.57,3.42,19.08,2.21,33.91,1.0,20518998.28,121878.0,276506.0,9044340.71,,,9.0,0.0,,,,0.1,16.0,1210.0,,,0.0,9.0,,,7474.0,11.3,0.63,,,30.57,30.57,276808.0,20541409.14,,25.53,30.68,23.23,0.3498,52.31,0.9415
2006-08-29,374260.0,27683502.64,2.66,19.74,2.2,33.78,1.0,20378803.71,121778.0,275506.0,9007752.86,,,0.0,0.0,,,,0.01,0.0,100.0,,,0.0,0.0,,,1000.0,11.27,0.1,,,30.54,30.54,276923.0,20483617.27,,25.6,30.56,23.25,0.3492,52.23,0.9387
2006-08-30,409160.0,30297674.08,2.91,23.05,2.41,36.96,1.0,21051315.04,147888.0,284291.0,10950880.89,,,,0.93,,,,0.0,10000.0,6.0,,,0.93,,,26115.0,1215.0,13.65,0.11,,,34.5,34.5,280797.0,20792589.67,,26.01,34.41,22.74,0.3611,53.69,0.9545
2006-08-31,403497.0,30119941.37,2.87,23.11,2.37,36.49,1.0,20798366.05,147893.0,278622.0,11039805.72,,,6.0,,,,,0.0,,1.0,,,,6.0,,,5669.0,13.69,0.5,,,34.5,34.5,280793.0,20960425.23,,26.05,34.45,23.11,0.3601,53.49,0.9412
2006-09-01,398773.0,30053838.0,2.83,22.86,2.35,36.19,1.0,20652559.93,146947.0,274031.0,11074775.2,,,6.0,,,,,0.08,,952.0,,,,6.0,,,4591.0,13.7,0.38,,,34.28,34.28,281661.0,21227600.83,,26.37,34.19,23.48,0.364,53.71,0.9304
2006-09-04,398603.0,30231964.54,2.83,22.76,2.35,36.33,1.0,20783826.2,147604.0,274031.0,11194995.76,,,7.0,,,,,0.0,,169.0,,,,7.0,,819.0,,13.88,,,,34.45,34.45,280900.0,21304804.13,,26.6,34.28,23.62,0.3624,53.48,0.9302
2006-09-05,375797.0,27602177.06,2.67,20.13,2.21,34.07,1.0,20127494.85,124816.0,274031.0,9167697.8,,,133.0,,,,,2.16,,22921.0,,,,133.0,,,,11.51,,,,29.11,29.11,303971.0,22326578.88,,28.26,28.94,18.12,0.3849,57.28,0.8764
2006-09-06,373945.0,27346730.17,2.66,16.15,2.2,33.61,1.0,19894308.33,124922.0,272039.0,9135590.06,,,140.0,,,,,0.0,,34.0,,,,140.0,,,1992.0,11.4,0.18,,,27.21,27.21,334105.0,24433216.88,,30.66,27.1,18.15,0.3891,57.7,0.8146
2006-09-07,379654.0,27309576.92,2.7,16.28,2.23,34.04,1.0,19970704.48,125039.0,277630.0,8994405.93,,,118.0,0.2,,3574.0,,0.0,2017.0,2.0,,,0.2,118.0,0.32,,,11.3,,,,27.24,27.24,333912.0,24019226.58,,30.24,27.2,17.72,0.3853,57.56,0.8272
2006-09-08,401223.0,28845079.43,2.85,16.57,2.36,35.88,1.0,21507403.91,124240.0,299159.0,8931972.17,,,40.0,1.88,,,,0.08,21529.0,839.0,,,1.88,40.0,,,,11.21,,,,27.15,27.15,333422.0,23970669.86,,30.19,27.08,16.72,0.3997,59.26,0.8767
2006-09-11,417473.0,30163322.2,2.96,17.0,2.46,37.31,1.0,22792157.76,124196.0,315453.0,8973428.14,,,,1.54,,,,0.01,17114.0,45.0,,,1.54,,,,820.0,11.19,0.08,,,27.14,27.14,333369.0,24086627.3,,30.15,27.07,15.98,0.4194,61.24,0.9124
