,DCAM FP Equity_DX_SI_QTY,DCAM FP Equity_DX_SHORT_INTEREST_VALUE,DCAM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DCAM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DCAM FP Equity_DX_SI_MV,DCAM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DCAM FP Equity_DX_SUPPLY_SI_QTY,DCAM FP Equity_DX_BROKER_SI_QTY,DCAM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DCAM FP Equity_DX_SUPPLY_SI_QTY_INC_x,DCAM FP Equity_DX_BROKER_SI_MV_INC_x,DCAM FP Equity_DX_BROKER_SI_QTY_ADD,DCAM FP Equity_DX_SUPPLY_SI_MV_DEC,DCAM FP Equity_DX_BROKER_SI_QTY_INC,DCAM FP Equity_DX_SUPPLY_SI_QTY_DEC,DCAM FP Equity_DX_BROKER_SI_MV_INC_y,DCAM FP Equity_DX_SUPPLY_SI_QTY_INC_y,DCAM FP Equity_DX_BROKER_SI_MV_ADD,DCAM FP Equity_DX_SUPPLY_SI_QTY_ADD,DCAM FP Equity_DX_BROKER_SI_QTY_DEC,DCAM FP Equity_DX_SUPPLY_SI_MV,DCAM FP Equity_DX_BROKER_SI_MV_DEC,DCAM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DCAM FP Equity_DX_UTILIZATION_QUANTITY,DCAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DCAM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DCAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DCAM FP Equity_DX_ACTIVE_UTILIZATION_MV,DCAM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DCAM FP Equity_DX_BROKER_SI_CON_RATIO,DCAM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DCAM FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-05-22,70600.0,340292.0,0.15,0.27,0.34,170146.0,35300.0,35300.0,170146.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.81,0.5,50.19,2.0
2025-05-23,70600.0,336550.2,0.16,0.27,0.34,168275.1,35300.0,35300.0,168275.1,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.72,0.5,50.28,2.0
2025-05-26,45700.0,219908.4,0.11,0.17,0.22,169863.6,10400.0,35300.0,50044.8,,,,0.12,,24900.0,,,,,,0.05,,100.0,29.46,0.0,0.0,0.0,100.0,22.59,0.6502,77.41,1.2946
2025-05-27,45700.0,221599.3,0.12,0.17,0.22,171169.7,10400.0,35300.0,50429.6,,,,,,,,,,,,0.05,,100.0,29.46,0.0,0.0,0.0,100.0,22.62,0.6499,77.38,1.2946
2025-05-28,70600.0,342833.6,0.19,0.27,0.34,171416.8,35300.0,35300.0,171416.8,24900.0,,,,,,,24900.0,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.96,0.5,50.04,2.0
2025-05-29,70600.0,340998.0,0.2,0.27,0.34,170499.0,35300.0,35300.0,170499.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.87,0.5,50.13,2.0
2025-05-30,70600.0,340998.0,0.2,0.27,0.34,170499.0,35300.0,35300.0,170499.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-06-02,70600.0,339586.0,0.2,0.27,0.34,169793.0,35300.0,35300.0,169793.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.9,0.5,50.1,2.0
2025-06-03,70600.0,343680.8,0.2,0.27,0.34,171840.4,35300.0,35300.0,171840.4,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.7,0.5,50.3,2.0
2025-06-04,35300.0,172970.0,0.1,0.13,0.17,172970.0,0.0,35300.0,0.0,,,,0.17,,35300.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.0
2025-06-05,70600.0,343963.2,0.21,0.27,0.35,171981.6,35300.0,35300.0,171981.6,,,,,,,,,,35300.0,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.86,0.5,50.14,2.0
2025-06-06,35300.0,172617.0,0.11,0.13,0.17,172617.0,0.0,35300.0,0.0,,,,0.17,,35300.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.0
2025-06-09,70600.0,345234.0,0.22,0.27,0.35,172617.0,35300.0,35300.0,172617.0,,,,,,,,,,35300.0,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-06-10,70600.0,345375.2,0.22,0.26,0.34,172687.6,35300.0,35300.0,172687.6,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.99,0.5,50.01,2.0
2025-06-11,70600.0,345022.2,0.22,0.25,0.34,172511.1,35300.0,35300.0,172511.1,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-06-12,30800.0,149226.0,0.1,0.11,0.15,99807.0,10200.0,20600.0,49419.0,,,,0.12,,25100.0,,,,,14700.0,0.05,0.07,100.0,100.0,0.0,0.0,0.0,100.0,33.31,0.5557,66.69,3.0196
2025-06-13,62800.0,303324.0,0.2,0.22,0.3,151662.0,31400.0,31400.0,151662.0,21200.0,0.05,,,10800.0,,0.05,21200.0,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,49.92,0.5,50.08,2.0
2025-06-16,62800.0,304077.6,0.21,0.22,0.31,152038.8,31400.0,31400.0,152038.8,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,49.94,0.5,50.06,2.0
2025-06-17,62800.0,303638.0,0.22,0.22,0.3,151819.0,31400.0,31400.0,151819.0,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,49.96,0.5,50.04,2.0
2025-06-18,62800.0,303575.2,0.21,0.22,0.3,151787.6,31400.0,31400.0,151787.6,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,49.99,0.5,50.01,2.0
2025-06-19,62800.0,301251.6,0.22,0.21,0.3,150625.8,31400.0,31400.0,150625.8,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-06-20,62800.0,301565.6,0.22,0.21,0.3,150782.8,31400.0,31400.0,150782.8,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-06-23,62800.0,301440.0,0.22,0.21,0.3,150720.0,31400.0,31400.0,150720.0,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,49.99,0.5,50.01,2.0
2025-06-24,62800.0,304140.4,0.23,0.21,0.3,152070.2,31400.0,31400.0,152070.2,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,49.78,0.5,50.22,2.0
2025-06-25,42400.0,205131.2,0.16,0.14,0.2,102565.6,21200.0,21200.0,102565.6,,,,0.05,,10200.0,,,,,10200.0,0.1,0.05,100.0,67.52,0.0,0.0,0.0,100.0,49.97,0.5,50.03,1.3503
2025-06-26,70000.0,338800.0,0.27,0.23,0.34,169400.0,35000.0,35000.0,169400.0,13800.0,0.07,,,13800.0,,0.07,13800.0,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.99,0.5,50.01,2.0
2025-06-27,70000.0,341670.0,0.26,0.23,0.34,170835.0,35000.0,35000.0,170835.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.79,0.5,50.21,2.0
2025-06-30,70000.0,340900.0,0.26,0.23,0.34,170450.0,35000.0,35000.0,170450.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-07-01,70000.0,340410.0,0.26,0.23,0.34,170205.0,35000.0,35000.0,170205.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.96,0.5,50.04,2.0
2025-07-02,70000.0,340900.0,0.25,0.22,0.34,170450.0,35000.0,35000.0,170450.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.96,0.5,50.04,2.0
2025-07-03,70000.0,344540.0,0.25,0.22,0.34,172270.0,35000.0,35000.0,172270.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.73,0.5,50.27,2.0
2025-07-04,70000.0,342300.0,0.24,0.22,0.34,171150.0,35000.0,35000.0,171150.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.84,0.5,50.16,2.0
2025-07-07,70000.0,343350.0,0.25,0.22,0.34,171675.0,35000.0,35000.0,171675.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.92,0.5,50.08,2.0
2025-07-08,70000.0,343350.0,0.24,0.22,0.34,171675.0,35000.0,35000.0,171675.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-07-09,70000.0,344680.0,0.24,0.21,0.35,172340.0,35000.0,35000.0,172340.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.9,0.5,50.1,2.0
2025-07-10,70000.0,347060.0,0.24,0.21,0.35,173530.0,35000.0,35000.0,173530.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.83,0.5,50.17,2.0
