,LCEZ FP Equity_PX_LAST
2024-06-12,12.38
2024-06-13,12.156
2024-06-14,11.916
2024-06-17,12.006
2024-06-18,12.088
2024-06-19,12.036
2024-06-20,12.206
2024-06-21,12.112
2024-06-24,12.192
2024-06-25,12.16
2024-06-26,12.148
2024-06-27,12.09
2024-06-28,12.036
2024-07-01,12.114
2024-07-02,12.048
2024-07-03,12.194
2024-07-04,12.276
2024-07-05,12.266
2024-07-08,12.28
2024-07-09,12.14
2024-07-10,12.296
2024-07-11,12.368
2024-07-12,12.506
2024-07-15,12.36
2024-07-16,12.282
2024-07-17,12.108
2024-07-18,12.09
2024-07-19,11.994
2024-07-22,12.174
2024-07-23,12.234
2024-07-24,12.086
2024-07-25,11.996
2024-07-26,12.13
2024-07-29,12.026
2024-07-30,12.068
2024-07-31,12.158
2024-08-01,11.932
2024-08-02,11.584
2024-08-05,11.448
2024-08-06,11.444
2024-08-07,11.668
2024-08-08,11.634
2024-08-09,11.672
2024-08-12,11.65
2024-08-13,11.736
2024-08-14,11.824
2024-08-15,12.018
2024-08-16,12.034
2024-08-19,12.108
2024-08-20,12.074
2024-08-21,12.146
2024-08-22,12.172
2024-08-23,12.218
2024-08-26,12.206
2024-08-27,12.202
2024-08-28,12.236
2024-08-29,12.338
2024-08-30,12.346
2024-09-02,12.386
2024-09-03,12.256
2024-09-04,12.12
2024-09-05,12.048
2024-09-06,11.848
2024-09-09,11.934
2024-09-10,11.838
2024-09-11,11.92
2024-09-12,12.042
2024-09-13,12.122
2024-09-16,12.098
2024-09-17,12.156
2024-09-18,12.098
2024-09-19,12.294
2024-09-20,12.138
2024-09-23,12.152
2024-09-24,12.244
2024-09-25,12.296
2024-09-26,12.542
2024-09-27,12.622
2024-09-30,12.506
2024-10-01,12.348
2024-10-02,12.336
2024-10-03,12.206
2024-10-04,12.31
2024-10-07,12.302
2024-10-08,12.296
2024-10-09,12.396
2024-10-10,12.344
2024-10-11,12.404
2024-10-14,12.488
2024-10-15,12.282
2024-10-16,12.196
2024-10-17,12.288
2024-10-18,12.338
2024-10-21,12.224
2024-10-22,12.22
2024-10-23,12.164
2024-10-24,12.234
2024-10-25,12.23
2024-10-28,12.318
2024-10-29,12.22
2024-10-30,11.97
2024-10-31,11.868
2024-11-01,12.014
2024-11-04,11.944
2024-11-05,11.984
2024-11-06,11.784
2024-11-07,11.854
2024-11-08,11.816
2024-11-11,11.934
2024-11-12,11.718
2024-11-13,11.688
2024-11-14,11.908
2024-11-15,11.764
2024-11-18,11.73
2024-11-19,11.662
2024-11-20,11.634
2024-11-21,11.688
2024-11-22,11.806
2024-11-25,11.832
2024-11-26,11.726
2024-11-27,11.652
2024-11-28,11.696
2024-11-29,11.796
2024-12-02,11.85
2024-12-03,11.922
2024-12-04,11.992
2024-12-05,12.08
2024-12-06,12.152
2024-12-09,12.15
2024-12-10,12.092
2024-12-11,12.122
2024-12-12,12.15
2024-12-13,12.114
2024-12-16,12.09
2024-12-17,12.072
2024-12-18,12.128
2024-12-19,11.928
2024-12-20,11.926
2024-12-23,11.904
2024-12-24,11.952
2024-12-27,11.994
2024-12-30,11.918
2024-12-31,11.98
2025-01-02,12.034
2025-01-03,11.908
2025-01-06,12.178
2025-01-07,12.22
2025-01-08,12.132
2025-01-09,12.214
2025-01-10,12.11
2025-01-13,12.032
2025-01-14,12.048
2025-01-15,12.236
2025-01-16,12.38
2025-01-17,12.5
2025-01-20,12.564
2025-01-21,12.558
2025-01-22,12.644
2025-01-23,12.66
2025-01-24,12.67
2025-01-27,12.558
2025-01-28,12.554
2025-01-29,12.64
2025-01-30,12.792
2025-01-31,12.758
2025-02-03,12.628
2025-02-04,12.702
2025-02-05,12.702
2025-02-06,12.92
2025-02-07,12.83
2025-02-10,12.942
2025-02-11,12.992
2025-02-12,13.026
2025-02-13,13.182
2025-02-14,13.156
2025-02-17,13.196
2025-02-18,13.216
2025-02-19,13.046
2025-02-20,13.052
2025-02-21,13.076
2025-02-24,13.094
2025-02-25,13.06
2025-02-26,13.302
2025-02-27,13.184
2025-02-28,13.12
2025-03-03,13.292
2025-03-04,12.962
2025-03-05,13.208
2025-03-06,13.226
2025-03-07,13.1
2025-03-10,12.904
2025-03-11,12.722
2025-03-12,12.86
2025-03-13,12.766
2025-03-14,12.912
2025-03-17,13.01
2025-03-18,13.096
2025-03-19,13.152
2025-03-20,13.05
2025-03-21,13.0
2025-03-24,12.98
2025-03-25,13.076
2025-03-26,12.904
2025-03-27,12.84
2025-03-28,12.728
2025-03-31,12.532
2025-04-01,12.692
2025-04-02,12.644
2025-04-03,12.298
2025-04-04,11.79
2025-04-07,11.28
2025-04-08,11.604
2025-04-09,11.28
2025-04-10,11.772
2025-04-11,11.734
2025-04-14,12.04
2025-04-15,12.206
2025-04-16,12.186
2025-04-17,12.132
2025-04-22,12.154
2025-04-23,12.462
2025-04-24,12.504
2025-04-25,12.582
2025-04-28,12.612
2025-04-29,12.694
2025-04-30,12.724
2025-05-02,12.968
2025-05-05,13.028
2025-05-06,12.944
2025-05-07,12.886
2025-05-08,12.974
2025-05-09,13.04
2025-05-12,13.214
2025-05-13,13.27
2025-05-14,13.176
2025-05-15,13.256
2025-05-16,13.304
2025-05-19,13.346
2025-05-20,13.45
2025-05-21,13.486
2025-05-22,13.4
2025-05-23,13.22
2025-05-26,13.37
2025-05-27,13.434
2025-05-28,13.338
2025-05-29,13.356
2025-05-30,13.348
2025-06-02,13.3
2025-06-03,13.314
2025-06-04,13.382
2025-06-05,13.4
2025-06-06,13.438
2025-06-09,13.436
2025-06-10,13.458
2025-06-11,13.412
2025-06-12,13.332
2025-06-13,13.15
2025-06-16,13.26
2025-06-17,13.124
2025-06-18,13.082
2025-06-19,12.938
2025-06-20,12.994
2025-06-23,12.982
2025-06-24,13.156
2025-06-25,13.036
2025-06-26,12.992
2025-06-27,13.134
2025-06-30,13.112
2025-07-01,13.116
2025-07-02,13.144
2025-07-03,13.184
2025-07-04,13.098
2025-07-07,13.184
2025-07-08,13.232
2025-07-09,13.364
2025-07-10,13.408
2025-07-11,13.252
2025-07-14,13.246
2025-07-15,13.238
2025-07-16,13.108
2025-07-17,13.266
2025-07-18,13.256
2025-07-21,13.212
2025-07-22,13.16
2025-07-23,13.268
2025-07-24,13.344
2025-07-25,13.32
2025-07-28,13.26
2025-07-29,13.352
2025-07-30,13.378
2025-07-31,13.27
2025-08-01,13.056
2025-08-04,13.148
2025-08-05,13.13
2025-08-06,13.11
2025-08-07,13.31
2025-08-08,13.362
2025-08-11,13.334
2025-08-12,13.338
2025-08-13,13.46
2025-08-14,13.518
2025-08-15,13.562
2025-08-18,13.522
2025-08-19,13.654
2025-08-20,13.684
2025-08-21,13.628
2025-08-22,13.706
2025-08-25,13.594
2025-08-26,13.458
2025-08-27,13.45
2025-08-28,13.422
2025-08-29,13.318
