,ECRP FP Equity_DX_SI_QTY,ECRP FP Equity_DX_SHORT_INTEREST_VALUE,ECRP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ECRP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ECRP FP Equity_DX_SI_MV,ECRP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ECRP FP Equity_DX_SUPPLY_SI_QTY,ECRP FP Equity_DX_BROKER_SI_QTY,ECRP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ECRP FP Equity_DX_BROKER_SI_MV_NEW_x,ECRP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ECRP FP Equity_DX_BROKER_SI_MV_INC_x,ECRP FP Equity_DX_BROKER_SI_QTY_ADD,ECRP FP Equity_DX_BROKER_SI_QTY_NEW,ECRP FP Equity_DX_SUPPLY_SI_MV_DEC,ECRP FP Equity_DX_BROKER_SI_QTY_INC,ECRP FP Equity_DX_SUPPLY_SI_QTY_DEC,ECRP FP Equity_DX_BROKER_SI_MV_NEW_y,ECRP FP Equity_DX_BROKER_SI_MV_INC_y,ECRP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ECRP FP Equity_DX_BROKER_SI_MV_ADD,ECRP FP Equity_DX_SUPPLY_SI_QTY_ADD,ECRP FP Equity_DX_BROKER_SI_QTY_DEC,ECRP FP Equity_DX_SUPPLY_SI_MV,ECRP FP Equity_DX_BROKER_SI_MV_DEC,ECRP FP Equity_DX_SUPPLY_SI_MV_RMV,ECRP FP Equity_DX_BROKER_SI_MV_RMV,ECRP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ECRP FP Equity_DX_UTILIZATION_QUANTITY,ECRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ECRP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ECRP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ECRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ECRP FP Equity_DX_ACTIVE_UTILIZATION_MV,ECRP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ECRP FP Equity_DX_BROKER_SI_CON_RATIO,ECRP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ECRP FP Equity_DX_DEMAND_SUPPLY_RATIO,ECRP FP Equity_PX_LAST
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.954
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.004
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.977
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.032
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.154
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.173
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.188
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.315
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.351
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.359
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.335
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.419
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.447
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.468
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.473
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.507
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.51
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.419
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.36
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.349
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.205
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.189
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.285
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.437
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.413
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.422
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.461
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.406
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.354
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.383
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.415
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.438
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.422
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.486
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.418
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.368
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.434
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.418
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.403
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.372
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.358
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.377
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.446
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.525
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.622
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.603
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.606
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.592
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.657
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.615
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.687
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.667
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.66
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.659
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.669
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.666
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.746
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.658
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.656
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.707
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.681
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.717
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.721
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.737
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.522
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.51
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.359
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.333
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.35
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.404
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.452
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.284
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.31
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.367
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.349
2017-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60544.8,,0.0,0.0,0.0,0.0,0.0,0.0,50.454
2017-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60538.8,,0.0,0.0,,0.0,,0.0,50.449
2017-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60549.6,,0.0,0.0,,0.0,,0.0,50.458
2017-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60625.2,,0.0,0.0,,0.0,,0.0,50.521
2017-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60690.0,,0.0,0.0,,0.0,,0.0,50.575
2017-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60757.2,,0.0,0.0,,0.0,,0.0,50.631
2017-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60843.6,,0.0,0.0,,0.0,,0.0,50.703
2017-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60936.0,,0.0,0.0,,0.0,,0.0,50.78
2017-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60912.0,,0.0,0.0,,0.0,,0.0,50.76
2017-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60770.4,,0.0,0.0,,0.0,,0.0,50.642
2017-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60820.8,,0.0,0.0,,0.0,,0.0,50.684
2017-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60912.0,,0.0,0.0,,0.0,,0.0,50.76
2017-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60856.8,,0.0,0.0,,0.0,,0.0,50.714
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60874.8,,0.0,0.0,,0.0,,0.0,50.729
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61018.8,,0.0,0.0,,0.0,,0.0,50.849
2017-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61056.0,,0.0,0.0,,0.0,,0.0,50.88
2017-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61122.0,,0.0,0.0,,0.0,,0.0,50.935
2017-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61089.6,,0.0,0.0,,0.0,,0.0,50.908
2017-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61124.4,,0.0,0.0,,0.0,,0.0,50.937
2017-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61062.0,,0.0,0.0,,0.0,,0.0,50.885
2017-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61155.6,,0.0,0.0,,0.0,,0.0,50.963
2017-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61182.0,,0.0,0.0,,0.0,,0.0,50.985
2017-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61189.2,,0.0,0.0,,0.0,,0.0,50.991
2017-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61153.2,,0.0,0.0,,0.0,,0.0,50.961
2017-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61112.4,,0.0,0.0,,0.0,,0.0,50.927
2017-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61102.8,,0.0,0.0,,0.0,,0.0,50.919
2017-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61111.2,,0.0,0.0,,0.0,,0.0,50.926
2017-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61107.6,,0.0,0.0,,0.0,,0.0,50.923
2017-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61120.8,,0.0,0.0,,0.0,,0.0,50.934
2017-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61120.8,,0.0,0.0,,0.0,,0.0,50.934
2017-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61161.6,,0.0,0.0,,0.0,,0.0,50.968
2017-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61168.8,,0.0,0.0,,0.0,,0.0,50.974
2017-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61147.2,,0.0,0.0,,0.0,,0.0,50.956
2017-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61204.8,,0.0,0.0,,0.0,,0.0,51.004
2017-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61267.2,,0.0,0.0,,0.0,,0.0,51.056
2017-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61210.8,,0.0,0.0,,0.0,,0.0,51.009
2017-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61207.2,,0.0,0.0,,0.0,,0.0,51.006
2017-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61161.6,,0.0,0.0,,0.0,,0.0,50.968
2017-09-04,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61171.2,,0.0,0.0,,0.0,,0.0,50.976
2017-09-05,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61254.0,,0.0,0.0,,0.0,,0.0,51.045
2017-09-06,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61148.4,,0.0,0.0,,0.0,,0.0,50.957
2017-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61305.6,,0.0,0.0,,0.0,,0.0,51.088
2017-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61264.8,,0.0,0.0,,0.0,,0.0,51.054
2017-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61254.0,,0.0,0.0,,0.0,,0.0,51.045
2017-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61078.8,,0.0,0.0,,0.0,,0.0,50.899
2017-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61096.8,,0.0,0.0,,0.0,,0.0,50.914
2017-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61099.2,,0.0,0.0,,0.0,,0.0,50.916
2017-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61023.6,,0.0,0.0,,0.0,,0.0,50.853
2017-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61012.8,,0.0,0.0,,0.0,,0.0,50.844
2017-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,60993.6,,0.0,0.0,,0.0,,0.0,50.828
2017-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61082.4,,0.0,0.0,,0.0,,0.0,50.902
2017-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61027.2,,0.0,0.0,,0.0,,0.0,50.856
2017-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61030.8,,0.0,0.0,,0.0,,0.0,50.859
2017-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61160.4,,0.0,0.0,,0.0,,0.0,50.967
2017-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1200.0,61132.8,,0.0,0.0,,0.0,,0.0,50.944
