,ALCUR FP Equity_DX_SI_QTY,ALCUR FP Equity_DX_SHORT_INTEREST_VALUE,ALCUR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCUR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCUR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCUR FP Equity_DX_SI_MV,ALCUR FP Equity_DX_DSS,ALCUR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCUR FP Equity_DX_SUPPLY_SI_QTY,ALCUR FP Equity_DX_BROKER_SI_QTY,ALCUR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCUR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCUR FP Equity_DX_BROKER_SI_MV_INC_x,ALCUR FP Equity_DX_BROKER_SI_QTY_ADD,ALCUR FP Equity_DX_SUPPLY_SI_MV_DEC,ALCUR FP Equity_DX_BROKER_SI_QTY_INC,ALCUR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCUR FP Equity_DX_BROKER_SI_MV_INC_y,ALCUR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCUR FP Equity_DX_BROKER_SI_MV_ADD,ALCUR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCUR FP Equity_DX_BROKER_SI_QTY_DEC,ALCUR FP Equity_DX_SUPPLY_SI_MV,ALCUR FP Equity_DX_BROKER_SI_MV_DEC,ALCUR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCUR FP Equity_DX_UTILIZATION_QUANTITY,ALCUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCUR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCUR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCUR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCUR FP Equity_DX_BROKER_SI_CON_RATIO,ALCUR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCUR FP Equity_DX_DEMAND_SUPPLY_RATIO
2019-07-02,14500.0,95265.0,0.29,15.91,0.29,0.1,0.0,95265.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-03,14500.0,92800.0,0.29,15.63,0.29,0.09,0.0,92800.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-04,14500.0,88450.0,0.29,16.62,0.29,0.09,0.0,88450.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-05,14500.0,92075.0,0.29,15.72,0.29,0.09,0.0,92075.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-08,14500.0,92075.0,0.29,15.35,0.29,0.09,0.0,92075.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-09,14500.0,91640.0,0.29,15.61,0.29,0.09,0.0,91640.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-10,14500.0,88595.0,0.29,15.96,0.29,0.09,0.0,88595.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-11,14500.0,90625.0,0.29,15.16,0.29,0.09,0.0,90625.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-12,14500.0,87725.0,0.29,15.1,0.29,0.09,0.0,87725.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-15,14500.0,91205.0,0.29,15.01,0.29,0.09,0.0,91205.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-16,14500.0,87000.0,0.29,15.25,0.29,0.09,0.0,87000.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-17,14500.0,87580.0,0.29,14.86,0.29,0.09,0.0,87580.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-18,14500.0,87000.0,0.29,15.35,0.29,0.09,0.0,87000.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-19,14500.0,87000.0,0.29,14.5,0.29,0.09,0.0,87000.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-22,14500.0,86130.0,0.29,14.5,0.29,0.09,0.0,86130.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-23,14500.0,87145.0,0.29,13.72,0.29,0.09,0.0,87145.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-24,14500.0,87435.0,0.29,13.62,0.29,0.09,0.0,87435.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-25,14500.0,87000.0,0.29,14.02,0.29,0.09,0.0,87000.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-26,14500.0,87000.0,0.29,14.32,0.29,0.09,0.0,87000.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-29,14500.0,89900.0,0.29,18.74,0.29,0.09,0.0,89900.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-30,14500.0,85405.0,0.29,17.7,0.29,0.09,0.0,85405.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-31,14500.0,88450.0,0.29,17.59,0.29,0.09,0.0,88450.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-01,14500.0,86420.0,0.29,17.52,0.29,0.09,0.0,86420.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-02,14500.0,85260.0,0.29,18.33,0.29,0.09,0.0,85260.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-05,14500.0,84100.0,0.29,19.08,0.29,0.08,0.0,84100.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-06,14500.0,87000.0,0.29,18.52,0.29,0.09,0.0,87000.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-07,14500.0,82650.0,0.29,18.65,0.29,0.08,0.0,82650.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-08,14500.0,86565.0,0.29,17.71,0.29,0.09,0.0,86565.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-09,14500.0,86565.0,0.29,18.03,0.29,0.09,0.0,86565.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-12,14500.0,86565.0,0.29,18.56,0.29,0.09,0.0,86565.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-13,14500.0,85840.0,0.29,19.03,0.29,0.09,0.0,85840.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-14,14500.0,83375.0,0.29,19.12,0.29,0.08,0.0,83375.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-15,14500.0,81200.0,0.29,19.18,0.29,0.08,0.0,81200.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-16,14500.0,85260.0,0.29,20.36,0.29,0.09,0.0,85260.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-19,14500.0,85260.0,0.29,20.95,0.29,0.09,0.0,85260.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-20,14500.0,81490.0,0.29,21.08,0.29,0.08,0.0,81490.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-21,14500.0,85260.0,0.29,21.04,0.29,0.09,0.0,85260.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-22,14500.0,85405.0,0.29,23.09,0.29,0.09,0.0,85405.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-23,14500.0,84680.0,0.29,22.98,0.29,0.08,0.0,84680.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-26,14500.0,85260.0,0.29,23.75,0.29,0.09,0.0,85260.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-27,14500.0,84970.0,0.29,23.74,0.29,0.09,0.0,84970.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-28,14500.0,84970.0,0.29,24.83,0.29,0.09,0.0,84970.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-29,14500.0,84100.0,0.29,25.0,0.29,0.08,0.0,84100.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-08-30,14500.0,83085.0,0.29,27.48,0.29,0.08,0.0,83085.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-02,14500.0,82940.0,0.29,27.54,0.29,0.08,0.0,82940.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-03,14500.0,82940.0,0.29,30.24,0.29,0.08,0.0,82940.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-04,14500.0,82650.0,0.29,30.76,0.29,0.08,0.0,82650.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-05,14500.0,81925.0,0.29,29.74,0.29,0.08,0.0,81925.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-06,14500.0,82505.0,0.29,32.26,0.29,0.08,0.0,82505.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-09,14500.0,81200.0,0.29,32.38,0.29,0.08,0.0,81200.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-10,14500.0,80475.0,0.29,36.55,0.29,0.08,0.0,80475.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-11,14500.0,79750.0,0.29,43.88,0.29,0.08,0.0,79750.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-12,14500.0,77720.0,0.29,35.07,0.29,0.08,0.0,77720.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-13,14500.0,76705.0,0.29,35.97,0.29,0.08,0.0,76705.0,0.0,14500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,200.0,584.0,0.0,0.0,,0.0,,0.0
2020-09-11,6000.0,18000.0,0.31,0.64,0.12,0.02,0.0,18000.0,0.0,6000.0,0.0,,,6000.0,,,,,,0.02,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-14,6000.0,17580.0,0.31,0.66,0.12,0.02,0.0,17580.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-15,6000.0,17460.0,0.31,2.04,0.12,0.02,0.0,17460.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-16,6000.0,17460.0,0.31,2.19,0.12,0.02,0.0,17460.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-17,6000.0,17520.0,0.31,2.2,0.12,0.02,0.0,17520.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-18,6000.0,17760.0,0.31,2.23,0.12,0.02,0.0,17760.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-21,6000.0,17160.0,0.31,2.27,0.12,0.02,0.0,17160.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-22,6000.0,17580.0,0.31,2.28,0.12,0.02,0.0,17580.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-23,6000.0,16860.0,0.31,2.22,0.12,0.02,0.0,16860.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-24,6000.0,16140.0,0.31,2.21,0.12,0.02,0.0,16140.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-25,6000.0,17340.0,0.31,2.35,0.12,0.02,0.0,17340.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-09-28,6000.0,17100.0,0.31,2.6,0.12,0.02,0.0,17100.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-14,29943.0,118873.71,1.54,0.98,0.6,0.12,0.0,118873.71,0.0,29943.0,0.0,,,29943.0,,,,,,0.12,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-15,29943.0,115579.98,1.54,0.94,0.6,0.12,0.0,115579.98,0.0,29943.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-18,29943.0,119772.0,1.54,0.98,0.6,0.12,0.0,119772.0,0.0,29943.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-02-23,5000.0,20550.0,0.26,0.19,0.1,0.02,0.0,20550.0,0.0,5000.0,0.0,,,5000.0,,,,,,0.02,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-02-24,5000.0,20700.0,0.26,0.19,0.1,0.02,0.0,20700.0,0.0,5000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-02-25,5000.0,20950.0,0.26,0.23,0.1,0.02,0.0,20950.0,0.0,5000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-02-26,5000.0,20250.0,0.26,0.24,0.1,0.02,0.0,20250.0,0.0,5000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-03-01,5000.0,20500.0,0.26,0.24,0.1,0.02,0.0,20500.0,0.0,5000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-04-19,329.0,1184.4,0.02,0.07,0.01,0.0,0.0,1184.4,0.0,329.0,0.0,,,329.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-04-20,329.0,1174.53,0.02,0.07,0.01,0.0,0.0,1174.53,0.0,329.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-04-21,329.0,1154.79,0.02,0.07,0.01,0.0,0.0,1154.79,0.0,329.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.645
2021-04-22,329.0,1171.24,0.02,0.07,0.01,0.0,0.0,1171.24,0.0,329.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.645
2021-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,329.0,0.0,0.0,0.0,0.0,200.0,722.0,0.0,0.0,,0.0,,0.0
2021-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,200.0,718.0,0.0,0.0,,0.0,,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,545984.84,0.56,0.0,,0.0,,0.0
2021-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,540370.6,0.54,0.0,,0.0,,0.0
2021-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,519317.2,0.52,0.0,,0.0,,0.0
2021-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,499667.36,0.5,0.0,,0.0,,0.0
2021-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,489842.44,0.49,0.0,,0.0,,0.0
2021-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,481421.08,0.48,0.0,,0.0,,0.0
2021-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,474403.28,0.47,0.0,,0.0,,0.0
2021-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,474403.28,0.47,0.0,,0.0,,0.0
2021-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,472999.72,0.47,0.0,,0.0,,0.0
2021-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,456157.0,0.46,0.0,,0.0,,0.0
2021-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,461771.24,0.46,0.0,,0.0,,0.0
2021-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,458964.12,0.46,0.0,,0.0,,0.0
2021-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,491246.0,0.49,0.0,,0.0,,0.0
2021-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,505281.6,0.51,0.0,,0.0,,0.0
2021-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,526335.0,0.53,0.0,,0.0,,0.0
2021-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,519317.2,0.52,0.0,,0.0,,0.0
2021-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,517913.64,0.52,0.0,,0.0,,0.0
2021-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,140356.0,491246.0,0.49,0.0,,0.0,,0.0
