,EEUE FP Equity_DX_SI_QTY,EEUE FP Equity_DX_SHORT_INTEREST_VALUE,EEUE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEUE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEUE FP Equity_DX_SI_MV,EEUE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEUE FP Equity_DX_SUPPLY_SI_QTY,EEUE FP Equity_DX_BROKER_SI_QTY,EEUE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEUE FP Equity_DX_BROKER_SI_QTY_ADD,EEUE FP Equity_DX_BROKER_SI_MV_ADD,EEUE FP Equity_DX_SUPPLY_SI_MV,EEUE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEUE FP Equity_DX_UTILIZATION_QUANTITY,EEUE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEUE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEUE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEUE FP Equity_DX_ACTIVE_UTILIZATION_MV,EEUE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEUE FP Equity_DX_BROKER_SI_CON_RATIO,EEUE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEUE FP Equity_DX_DEMAND_SUPPLY_RATIO,EEUE FP Equity_PX_LAST
2016-09-09,,,,,,,,,,,,,,,,,,,,,,,148.023
2016-09-12,,,,,,,,,,,,,,,,,,,,,,,146.594
2016-09-13,,,,,,,,,,,,,,,,,,,,,,,145.006
2016-09-14,,,,,,,,,,,,,,,,,,,,,,,144.969
2016-09-15,,,,,,,,,,,,,,,,,,,,,,,145.833
2016-09-16,,,,,,,,,,,,,,,,,,,,,,,144.588
2016-09-19,,,,,,,,,,,,,,,,,,,,,,,146.195
2016-09-20,,,,,,,,,,,,,,,,,,,,,,,146.089
2016-09-21,,,,,,,,,,,,,,,,,,,,,,,146.799
2016-09-22,,,,,,,,,,,,,,,,,,,,,,,147.539
2016-09-23,,,,,,,,,,,,,,,,,,,,,,,148.035
2016-09-26,,,,,,,,,,,,,,,,,,,,,,,146.898
2016-09-27,,,,,,,,,,,,,,,,,,,,,,,145.894
2016-09-28,,,,,,,,,,,,,,,,,,,,,,,146.63
2016-09-29,,,,,,,,,,,,,,,,,,,,,,,146.853
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,147.159
2016-10-03,,,,,,,,,,,,,,,,,,,,,,,147.156
2016-10-04,,,,,,,,,,,,,,,,,,,,,,,148.692
2016-10-05,,,,,,,,,,,,,,,,,,,,,,,147.833
2016-10-06,,,,,,,,,,,,,,,,,,,,,,,147.252
2016-10-07,,,,,,,,,,,,,,,,,,,,,,,145.872
2016-10-10,,,,,,,,,,,,,,,,,,,,,,,147.05
2016-10-11,,,,,,,,,,,,,,,,,,,,,,,146.171
2016-10-12,,,,,,,,,,,,,,,,,,,,,,,145.679
2016-10-13,,,,,,,,,,,,,,,,,,,,,,,144.343
2016-10-14,,,,,,,,,,,,,,,,,,,,,,,146.07
2016-10-17,,,,,,,,,,,,,,,,,,,,,,,145.044
2016-10-18,,,,,,,,,,,,,,,,,,,,,,,146.727
2016-10-19,,,,,,,,,,,,,,,,,,,,,,,147.88
2016-10-20,,,,,,,,,,,,,,,,,,,,,,,148.191
2016-10-21,,,,,,,,,,,,,,,,,,,,,,,148.329
2016-10-24,,,,,,,,,,,,,,,,,,,,,,,148.315
2016-10-25,,,,,,,,,,,,,,,,,,,,,,,147.962
2016-10-26,,,,,,,,,,,,,,,,,,,,,,,147.293
2016-10-27,,,,,,,,,,,,,,,,,,,,,,,147.585
2016-10-28,,,,,,,,,,,,,,,,,,,,,,,147.012
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,146.169
2016-11-01,,,,,,,,,,,,,,,,,,,,,,,144.582
2016-11-02,,,,,,,,,,,,,,,,,,,,,,,142.891
2016-11-03,,,,,,,,,,,,,,,,,,,,,,,142.856
2016-11-04,,,,,,,,,,,,,,,,,,,,,,,141.762
2016-11-07,,,,,,,,,,,,,,,,,,,,,,,144.018
2016-11-08,,,,,,,,,,,,,,,,,,,,,,,144.569
2016-11-09,,,,,,,,,,,,,,,,,,,,,,,145.639
2016-11-10,,,,,,,,,,,,,,,,,,,,,,,146.613
2016-11-11,,,,,,,,,,,,,,,,,,,,,,,145.694
2016-11-14,,,,,,,,,,,,,,,,,,,,,,,145.972
2016-11-15,,,,,,,,,,,,,,,,,,,,,,,146.789
2016-11-16,,,,,,,,,,,,,,,,,,,,,,,146.242
2016-11-17,,,,,,,,,,,,,,,,,,,,,,,147.226
2016-11-18,,,,,,,,,,,,,,,,,,,,,,,146.492
2016-11-21,,,,,,,,,,,,,,,,,,,,,,,146.957
2016-11-22,,,,,,,,,,,,,,,,,,,,,,,147.174
2016-11-23,,,,,,,,,,,,,,,,,,,,,,,147.209
2016-11-24,,,,,,,,,,,,,,,,,,,,,,,147.488
2016-11-25,,,,,,,,,,,,,,,,,,,,,,,148.034
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,146.778
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,147.325
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,147.853
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,147.125
2016-12-02,,,,,,,,,,,,,,,,,,,,,,,146.704
2016-12-05,,,,,,,,,,,,,,,,,,,,,,,147.594
2016-12-06,,,,,,,,,,,,,,,,,,,,,,,149.032
2016-12-07,,,,,,,,,,,,,,,,,,,,,,,150.424
2016-12-08,,,,,,,,,,,,,,,,,,,,,,,152.217
2016-12-09,,,,,,,,,,,,,,,,,,,,,,,153.678
2016-12-12,,,,,,,,,,,,,,,,,,,,,,,153.082
2016-12-13,,,,,,,,,,,,,,,,,,,,,,,154.671
2016-12-14,,,,,,,,,,,,,,,,,,,,,,,153.99
2016-12-15,,,,,,,,,,,,,,,,,,,,,,,155.6
2016-12-16,,,,,,,,,,,,,,,,,,,,,,,155.32
2016-12-19,,,,,,,,,,,,,,,,,,,,,,,155.665
2016-12-20,,,,,,,,,,,,,,,,,,,,,,,156.194
2016-12-21,,,,,,,,,,,,,,,,,,,,,,,155.875
2016-12-22,,,,,,,,,,,,,,,,,,,,,,,155.471
2016-12-23,,,,,,,,,,,,,,,,,,,,,,,156.008
2016-12-27,,,,,,,,,,,,,,,,,,,,,,,155.781
2016-12-28,,,,,,,,,,,,,,,,,,,,,,,156.35
2016-12-29,,,,,,,,,,,,,,,,,,,,,,,155.716
2016-12-30,,,,,,,,,,,,,,,,,,,,,,,156.043
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,157.855
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,157.907
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,157.786
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,158.007
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,158.015
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,157.141
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,157.13
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,157.76
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,156.604
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,158.156
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,156.81
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,156.516
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,156.578
2017-01-19,,,,,,,,,,,,,,,,,,,,,,,156.748
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,156.771
2017-01-23,,,,,,,,,,,,,,,,,,,,,,,156.041
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,156.446
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,158.421
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,158.738
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,158.342
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,156.667
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,155.521
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,156.854
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,156.514
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,157.359
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,156.256
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,156.807
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,157.163
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,158.689
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,158.663
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,159.951
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,159.915
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,160.525
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,160.214
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,160.149
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,160.309
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,161.43
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,161.501
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,161.788
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,160.126
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,159.869
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,160.133
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,162.25
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,162.776
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,162.529
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,161.693
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,161.321
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,161.187
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,161.618
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,161.495
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,162.257
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,161.741
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,162.377
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,163.834
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,164.316
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,163.683
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,163.194
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,162.205
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,163.663
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,163.401
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,163.38
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,163.766
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,164.019
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,165.426
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,166.149
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,164.916
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,165.15
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,165.23
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,165.586
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,165.902
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,165.876
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,165.853
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,166.072
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,165.448
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,163.582
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,163.979
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,164.271
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,164.354
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,168.042
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,168.424
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,169.08
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,168.889
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,168.494
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,169.988
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,169.574
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,171.022
2017-05-05,6000.0,1032894.0,2.4,1.04,1.03,1032894.0,0.0,6000.0,0.0,6000.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.84,0.5,50.16,0.0,172.149
2017-05-08,6000.0,1032234.0,2.34,1.04,1.03,1032234.0,0.0,6000.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,172.039
2017-05-09,6000.0,1036578.0,2.53,1.04,1.03,1036578.0,0.0,6000.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,172.763
2017-05-10,6000.0,1038858.0,2.53,1.04,1.04,1038858.0,0.0,6000.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,173.143
2017-05-11,6000.0,1035912.0,2.54,1.04,1.04,1035912.0,0.0,6000.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,172.652
2017-05-12,6000.0,1037904.0,2.66,1.04,1.04,1037904.0,0.0,6000.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.95,0.5,50.05,0.0,172.984
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,173.249
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,173.465
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,170.804
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,170.501
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,171.605
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,171.358
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,171.949
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,172.039
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,171.966
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,171.077
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,171.631
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,171.29
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,171.049
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,171.899
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,172.328
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,171.861
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,170.927
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,170.907
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,170.906
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,171.509
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,170.077
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,170.821
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,170.459
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,169.806
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,170.955
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,172.428
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,171.263
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,170.995
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,171.037
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,170.345
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,171.055
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,169.771
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,169.654
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,167.459
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,166.788
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,168.858
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,168.167
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,168.363
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,167.476
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,167.299
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,167.875
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,166.827
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,167.173
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,169.867
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,170.168
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,170.148
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,168.314
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,169.572
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,168.949
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,167.095
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,166.69
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,167.565
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,168.282
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,168.089
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,166.294
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,166.154
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,167.245
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,166.504
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,166.769
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,168.365
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,168.18
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,168.444
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,167.273
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,165.695
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,163.958
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,165.695
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,165.877
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,166.936
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,166.521
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,165.109
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,164.36
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,165.806
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,164.974
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,165.309
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,164.881
2017-08-28,,,,,,,,,,,,,,,,,,,,,,,163.827
2017-08-29,,,,,,,,,,,,,,,,,,,,,,,162.394
2017-08-30,,,,,,,,,,,,,,,,,,,,,,,163.533
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,164.719
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,165.797
2017-09-04,,,,,,,,,,,,,,,,,,,,,,,164.873
2017-09-05,,,,,,,,,,,,,,,,,,,,,,,164.676
2017-09-06,,,,,,,,,,,,,,,,,,,,,,,164.833
2017-09-07,,,,,,,,,,,,,,,,,,,,,,,165.119
2017-09-08,,,,,,,,,,,,,,,,,,,,,,,165.473
2017-09-11,,,,,,,,,,,,,,,,,,,,,,,167.275
2017-09-12,,,,,,,,,,,,,,,,,,,,,,,168.103
2017-09-13,,,,,,,,,,,,,,,,,,,,,,,168.161
2017-09-14,,,,,,,,,,,,,,,,,,,,,,,168.161
2017-09-15,,,,,,,,,,,,,,,,,,,,,,,167.698
2017-09-18,,,,,,,,,,,,,,,,,,,,,,,168.121
2017-09-19,,,,,,,,,,,,,,,,,,,,,,,168.397
2017-09-20,,,,,,,,,,,,,,,,,,,,,,,168.277
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,168.735
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,168.81
2017-09-25,,,,,,,,,,,,,,,,,,,,,,,169.378
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,169.335
2017-09-27,,,,,,,,,,,,,,,,,,,,,,,170.089
2017-09-28,,,,,,,,,,,,,,,,,,,,,,,170.336
2017-09-29,,,,,,,,,,,,,,,,,,,,,,,171.156
2017-10-02,,,,,,,,,,,,,,,,,,,,,,,171.872
2017-10-03,,,,,,,,,,,,,,,,,,,,,,,172.56
2017-10-04,,,,,,,,,,,,,,,,,,,,,,,172.068
2017-10-05,,,,,,,,,,,,,,,,,,,,,,,172.464
2017-10-06,,,,,,,,,,,,,,,,,,,,,,,171.962
2017-10-09,,,,,,,,,,,,,,,,,,,,,,,172.289
2017-10-10,,,,,,,,,,,,,,,,,,,,,,,172.414
2017-10-11,,,,,,,,,,,,,,,,,,,,,,,172.171
2017-10-12,,,,,,,,,,,,,,,,,,,,,,,172.456
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,172.969
2017-10-16,,,,,,,,,,,,,,,,,,,,,,,173.22
2017-10-17,,,,,,,,,,,,,,,,,,,,,,,172.659
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,173.111
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,172.057
2017-10-20,,,,,,,,,,,,,,,,,,,,,,,172.552
2017-10-23,,,,,,,,,,,,,,,,,,,,,,,173.069
2017-10-24,,,,,,,,,,,,,,,,,,,,,,,172.191
2017-10-25,,,,,,,,,,,,,,,,,,,,,,,171.359
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,173.099
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,174.022
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,174.134
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,174.65
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,175.413
2017-11-02,,,,,,,,,,,,,,,,,,,,,,,174.64
2017-11-03,,,,,,,,,,,,,,,,,,,,,,,175.227
2017-11-06,,,,,,,,,,,,,,,,,,,,,,,175.426
2017-11-07,,,,,,,,,,,,,,,,,,,,,,,174.581
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,174.461
2017-11-09,,,,,,,,,,,,,,,,,,,,,,,172.247
2017-11-10,,,,,,,,,,,,,,,,,,,,,,,172.023
2017-11-13,,,,,,,,,,,,,,,,,,,,,,,170.835
2017-11-14,,,,,,,,,,,,,,,,,,,,,,,169.717
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,168.957
2017-11-16,,,,,,,,,,,,,,,,,,,,,,,170.164
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,169.737
2017-11-20,,,,,,,,,,,,,,,,,,,,,,,170.808
2017-11-21,,,,,,,,,,,,,,,,,,,,,,,171.588
2017-11-22,,,,,,,,,,,,,,,,,,,,,,,171.072
2017-11-23,,,,,,,,,,,,,,,,,,,,,,,171.086
2017-11-24,,,,,,,,,,,,,,,,,,,,,,,170.867
2017-11-27,,,,,,,,,,,,,,,,,,,,,,,170.094
2017-11-28,,,,,,,,,,,,,,,,,,,,,,,171.101
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,171.297
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,170.684
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,169.537
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,171.236
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,170.996
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,170.722
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,170.938
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,172.092
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,172.031
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,173.428
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,172.898
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,172.13
