,EBBB FP Equity_DX_SI_QTY,EBBB FP Equity_DX_SHORT_INTEREST_VALUE,EBBB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EBBB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EBBB FP Equity_DX_SI_MV,EBBB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EBBB FP Equity_DX_SUPPLY_SI_QTY,EBBB FP Equity_DX_BROKER_SI_QTY,EBBB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EBBB FP Equity_DX_BROKER_SI_MV_NEW_x,EBBB FP Equity_DX_SUPPLY_SI_QTY_INC_x,EBBB FP Equity_DX_BROKER_SI_MV_INC_x,EBBB FP Equity_DX_BROKER_SI_QTY_ADD,EBBB FP Equity_DX_BROKER_SI_QTY_NEW,EBBB FP Equity_DX_SUPPLY_SI_MV_DEC,EBBB FP Equity_DX_BROKER_SI_QTY_INC,EBBB FP Equity_DX_SUPPLY_SI_QTY_DEC,EBBB FP Equity_DX_BROKER_SI_MV_NEW_y,EBBB FP Equity_DX_BROKER_SI_MV_INC_y,EBBB FP Equity_DX_SUPPLY_SI_QTY_INC_y,EBBB FP Equity_DX_BROKER_SI_MV_ADD,EBBB FP Equity_DX_SUPPLY_SI_QTY_ADD,EBBB FP Equity_DX_BROKER_SI_QTY_DEC,EBBB FP Equity_DX_SUPPLY_SI_MV,EBBB FP Equity_DX_BROKER_SI_MV_DEC,EBBB FP Equity_DX_BROKER_SI_MV_RMV,EBBB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EBBB FP Equity_DX_UTILIZATION_QUANTITY,EBBB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EBBB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EBBB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EBBB FP Equity_DX_ACTIVE_UTILIZATION_MV,EBBB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EBBB FP Equity_DX_BROKER_SI_CON_RATIO,EBBB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EBBB FP Equity_DX_DEMAND_SUPPLY_RATIO,EBBB FP Equity_PX_LAST
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.366
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.402
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.406
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.413
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.398
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.379
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.415
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.387
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.371
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.38
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.371
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.403
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.432
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.456
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.515
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.491
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.519
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.506
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.537
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.509
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.563
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.542
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.537
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.521
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.529
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.517
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.547
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.44
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.487
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.508
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.522
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.51
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.522
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.515
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.528
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.437
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.35
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.315
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.296
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.337
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.373
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.402
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.348
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.35
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.38
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.372
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.475
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.45
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.445
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.487
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.513
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.533
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.572
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.598
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.607
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.579
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.602
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.626
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.613
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.61
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.673
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.681
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.699
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.679
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.689
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.664
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.634
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.67
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.663
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.631
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.651
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.644
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.664
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.647
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.703
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.669
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.689
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.691
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.678
2017-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.701
2017-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.719
2017-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.71
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.703
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.686
2017-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.699
2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.72
2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.664
2017-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.751
2017-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.734
2017-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.732
2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.649
2017-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.69
2017-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.693
2017-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.643
2017-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.662
2017-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.672
2017-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.634
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.649
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.657
2017-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.691
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.685
2017-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.732
2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.661
2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.646
2017-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.687
2017-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.688
2017-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.722
2017-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.678
2017-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.689
2017-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.728
2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.698
2017-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.713
2017-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.756
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.774
2017-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.825
2017-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.856
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.846
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.841
2017-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.821
2017-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.823
2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.789
2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.784
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.837
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.962
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.952
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.967
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.998
2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
2017-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.006
2017-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.024
2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.029
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.962
2017-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.82
2017-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.845
2017-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.888
2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.85
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.803
2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.892
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.837
2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.864
2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.902
2017-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.859
2017-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.858
2017-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.839
2017-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.877
2017-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.895
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.846
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.844
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.895
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.885
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.948
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.957
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.944
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.935
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.931
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.944
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.914
2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.883
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.864
2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.829
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.799
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.813
2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.805
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.799
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.739
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.761
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.763
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.78
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.796
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.82
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.839
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.83
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.822
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.74
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.736
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.743
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.768
