,CAPE FP Equity_DX_SI_QTY,CAPE FP Equity_DX_SHORT_INTEREST_VALUE,CAPE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CAPE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CAPE FP Equity_DX_SI_MV,CAPE FP Equity_DX_DSS,CAPE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CAPE FP Equity_DX_SUPPLY_SI_QTY,CAPE FP Equity_DX_BROKER_SI_QTY,CAPE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CAPE FP Equity_DX_SUPPLY_SI_QTY_INC_x,CAPE FP Equity_DX_BROKER_SI_MV_INC_x,CAPE FP Equity_DX_BROKER_SI_QTY_ADD,CAPE FP Equity_DX_SUPPLY_SI_MV_DEC,CAPE FP Equity_DX_BROKER_SI_QTY_INC,CAPE FP Equity_DX_SUPPLY_SI_QTY_DEC,CAPE FP Equity_DX_BROKER_SI_MV_INC_y,CAPE FP Equity_DX_SUPPLY_SI_QTY_INC_y,CAPE FP Equity_DX_BROKER_SI_MV_ADD,CAPE FP Equity_DX_SUPPLY_SI_QTY_ADD,CAPE FP Equity_DX_BROKER_SI_QTY_DEC,CAPE FP Equity_DX_SUPPLY_SI_MV,CAPE FP Equity_DX_BROKER_SI_MV_DEC,CAPE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CAPE FP Equity_DX_UTILIZATION_QUANTITY,CAPE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CAPE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CAPE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CAPE FP Equity_DX_ACTIVE_UTILIZATION_MV,CAPE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CAPE FP Equity_DX_BROKER_SI_CON_RATIO,CAPE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CAPE FP Equity_DX_DEMAND_SUPPLY_RATIO,CAPE FP Equity_PX_LAST
2015-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.93
2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.6
2015-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.64
2015-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.43
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.31
2015-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.38
2015-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.99
2015-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.15
2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0
2015-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.73
2015-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.6
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.34
2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.01
2015-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.85
2015-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.13
2015-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.25
2015-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.41
2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.44
2015-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.92
2015-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.65
2015-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.5
2015-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.71
2015-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.31
2015-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.51
2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.74
2015-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.78
2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.93
2015-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.98
2015-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.2
2015-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.55
2015-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.85
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.59
2015-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.71
2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.49
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0
2015-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.59
2015-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.03
2015-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.47
2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.34
2015-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.79
2015-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.4
2015-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.5
2015-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.72
2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.58
2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.88
2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.13
2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.3
2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.16
2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.09
2015-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.87
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.93
2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.67
2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.87
2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.47
2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.87
2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.82
2015-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.84
2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.67
2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.3
2015-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.33
2015-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.1
2015-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.42
2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.53
2015-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.64
2015-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.47
2015-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.3
2015-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.99
2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.33
2015-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.71
2015-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.33
2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.9
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.48
2015-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.81
2015-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.85
2015-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.84
2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.84
2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.36
2015-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.68
2015-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.13
2015-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.06
2015-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.43
2015-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.94
2015-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.5
2015-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.32
2015-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.55
2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.93
2015-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.79
2015-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.39
2015-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.14
2015-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.06
2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.62
2015-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.94
2015-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.65
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.73
2015-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.62
2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.18
2015-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.97
2015-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.94
2015-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.58
2015-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.86
2015-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.9
2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.8
2015-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.22
2015-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.77
2015-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.59
2015-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.93
2015-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0
2015-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.28
2015-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.38
2015-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.63
2015-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.29
2015-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.59
2015-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.07
2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.22
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.91
2015-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.15
2015-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.98
2015-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.62
2015-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.9
2015-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.67
2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.23
2015-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.24
2015-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.38
2015-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.89
2015-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.48
2015-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.99
2015-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.37
2015-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.37
2015-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.74
2015-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.6
2015-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.59
2015-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.27
2015-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.32
2015-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.17
2015-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.69
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.37
2015-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.25
2015-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.41
2015-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.42
2015-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.77
2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.68
2015-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.13
2015-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.96
2015-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.6
2015-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.46
2015-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.46
2015-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.03
2015-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.22
2015-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.94
2015-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.08
2015-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.25
2015-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.67
2015-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.01
2015-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.27
2015-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.57
2015-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.33
2015-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.94
2015-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.96
2015-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.3
2015-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.5
2015-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.64
2015-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.49
2015-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.01
2015-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.14
2015-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.68
2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.61
2015-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.15
2015-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.27
2015-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.3
2015-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.02
2015-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.13
2015-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.09
2015-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.72
2015-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.28
2015-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.6
2015-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.41
2015-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.64
2015-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.48
2015-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.52
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.61
2015-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.64
2015-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.58
2015-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.46
2015-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.22
2015-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.67
2015-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.5
2015-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.54
2015-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.88
2015-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.03
2015-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.43
2015-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.05
2015-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.62
2015-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.85
2015-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.31
2015-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.59
2015-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.96
2016-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.53
2016-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.25
2016-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.49
2016-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.58
2016-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.27
2016-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.22
2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.12
2016-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.03
2016-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.45
2016-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.71
2016-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.74
2016-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.43
2016-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.16
2016-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.29
2016-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.75
2016-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.83
2016-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.42
2016-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.92
2016-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.81
2016-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.05
2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.05
2016-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.12
2016-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.25
2016-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.43
2016-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.65
2016-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.38
2016-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.22
2016-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.31
2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.74
2016-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.57
2016-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.75
2016-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.83
2016-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.11
2016-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.32
2016-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.2
2016-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.11
2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.97
2016-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.41
2016-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.5
2016-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.01
2016-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.31
2016-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.47
2016-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.12
2016-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.95
2016-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.99
2016-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.71
2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.08
2016-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.82
2016-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.31
2016-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.72
2016-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.7
2016-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.81
2016-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.21
2016-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.37
