,ALVIR FP Equity_PX_LAST
2023-12-05,7.5
2023-12-06,7.5
2023-12-07,7.5
2023-12-08,7.5
2023-12-11,7.5
2023-12-12,7.5
2023-12-13,7.5
2023-12-14,7.5
2023-12-15,7.5
2023-12-18,7.5
2023-12-19,7.5
2023-12-20,7.5
2023-12-21,7.5
2023-12-22,7.5
2023-12-27,7.5
2023-12-28,7.5
2023-12-29,7.5
2024-01-02,7.5
2024-01-03,7.5
2024-01-04,7.5
2024-01-05,7.5
2024-01-08,7.5
2024-01-09,7.5
2024-01-10,7.5
2024-01-11,7.5
2024-01-12,7.5
2024-01-15,7.5
2024-01-16,7.5
2024-01-17,7.5
2024-01-18,7.5
2024-01-19,7.5
2024-01-22,7.5
2024-01-23,7.5
2024-01-24,7.5
2024-01-25,7.5
2024-01-26,7.5
2024-01-29,7.2
2024-01-30,7.2
2024-01-31,7.2
2024-02-01,7.2
2024-02-02,7.2
2024-02-05,7.2
2024-02-06,7.2
2024-02-07,7.2
2024-02-08,7.2
2024-02-09,7.2
2024-02-12,7.2
2024-02-13,7.2
2024-02-14,7.25
2024-02-15,7.25
2024-02-16,7.25
2024-02-19,7.25
2024-02-20,7.25
2024-02-21,7.25
2024-02-22,7.25
2024-02-23,7.25
2024-02-26,7.25
2024-02-27,7.25
2024-02-28,7.25
2024-02-29,7.5
2024-03-01,7.5
2024-03-04,7.5
2024-03-05,7.5
2024-03-06,8.0
2024-03-07,8.0
2024-03-08,8.0
2024-03-11,8.0
2024-03-12,8.0
2024-03-13,8.25
2024-03-14,8.25
2024-03-15,8.25
2024-03-18,8.25
2024-03-19,8.25
2024-03-20,8.25
2024-03-21,8.25
2024-03-22,8.25
2024-03-25,7.519
2024-03-26,7.519
2024-03-27,7.519
2024-03-28,7.519
2024-04-02,7.5
2024-04-03,7.5
2024-04-04,7.6
2024-04-05,7.6
2024-04-08,7.6
2024-04-09,7.6
2024-04-10,7.6
2024-04-11,7.6
2024-04-12,7.6
2024-04-15,7.6
2024-04-16,7.6
2024-04-17,7.6
2024-04-18,7.6
2024-04-19,8.0
2024-04-22,8.2
2024-04-23,8.2
2024-04-24,8.2
2024-04-25,8.2
2024-04-26,8.2
2024-04-29,8.2
2024-04-30,8.2
2024-05-02,8.2
2024-05-03,8.0
2024-05-06,8.0
2024-05-07,8.0
2024-05-08,8.0
2024-05-09,8.0
2024-05-10,8.0
2024-05-13,8.0
2024-05-14,8.0
2024-05-15,8.2
2024-05-16,8.2
2024-05-17,8.2
2024-05-20,8.2
2024-05-21,8.2
2024-05-22,8.45
2024-05-23,8.45
2024-05-24,8.45
2024-05-27,8.45
2024-05-28,8.45
2024-05-29,8.45
2024-05-30,8.45
2024-05-31,8.45
2024-06-03,8.45
2024-06-04,8.45
2024-06-05,8.45
2024-06-06,8.45
2024-06-07,8.45
2024-06-10,8.45
2024-06-11,8.45
2024-06-12,8.45
2024-06-13,8.45
2024-06-14,8.45
2024-06-17,8.45
2024-06-18,8.45
2024-06-19,8.45
2024-06-20,8.45
2024-06-21,8.45
2024-06-24,8.45
2024-06-25,8.4
2024-06-26,8.4
2024-06-27,8.4
2024-06-28,8.4
2024-07-01,8.4
2024-07-02,8.4
2024-07-03,8.4
2024-07-04,8.4
2024-07-05,8.4
2024-07-08,8.4
2024-07-09,8.4
2024-07-10,8.4
2024-07-11,8.4
2024-07-12,8.4
2024-07-15,8.4
2024-07-16,8.4
2024-07-17,8.4
2024-07-18,8.4
2024-07-19,8.4
2024-07-22,8.4
2024-07-23,8.4
2024-07-24,8.4
2024-07-25,8.4
2024-07-26,8.4
2024-07-29,8.4
2024-07-30,8.4
2024-07-31,8.4
2024-08-01,8.4
2024-08-02,8.4
2024-08-05,8.4
2024-08-06,8.4
2024-08-07,8.4
2024-08-08,8.4
2024-08-09,8.4
2024-08-12,8.4
2024-08-13,8.4
2024-08-14,8.4
2024-08-15,8.4
2024-08-16,8.4
2024-08-19,8.4
2024-08-20,8.4
2024-08-21,8.4
2024-08-22,8.4
2024-08-23,8.4
2024-08-26,8.4
2024-08-27,8.4
2024-08-28,8.4
2024-08-29,8.4
2024-08-30,8.4
2024-09-02,8.4
2024-09-03,8.4
2024-09-04,8.4
2024-09-05,8.4
2024-09-06,8.4
2024-09-09,8.4
2024-09-10,8.4
2024-09-11,8.4
2024-09-12,8.4
2024-09-13,8.4
2024-09-16,8.4
2024-09-17,8.4
2024-09-18,8.4
2024-09-19,8.4
2024-09-20,8.4
2024-09-23,8.4
2024-09-24,8.4
2024-09-25,8.4
2024-09-26,8.4
2024-09-27,8.4
2024-09-30,8.4
2024-10-01,8.4
2024-10-02,8.4
2024-10-03,8.4
2024-10-04,8.4
2024-10-07,8.4
2024-10-08,8.4
2024-10-09,8.4
2024-10-10,8.4
2024-10-11,8.4
2024-10-14,8.4
2024-10-15,8.4
2024-10-16,8.4
2024-10-17,8.4
2024-10-18,8.4
2024-10-21,8.4
2024-10-22,8.4
2024-10-23,8.4
2024-10-24,8.4
2024-10-25,8.4
2024-10-28,8.4
2024-10-29,8.4
2024-10-30,8.4
2024-10-31,8.4
2024-11-01,8.4
2024-11-04,8.4
2024-11-05,8.4
2024-11-06,8.4
2024-11-07,8.4
2024-11-08,8.4
2024-11-11,8.4
2024-11-12,8.4
2024-11-13,8.4
2024-11-14,8.4
2024-11-15,8.4
2024-11-18,8.4
2024-11-19,8.4
2024-11-20,8.4
2024-11-21,8.4
2024-11-22,8.4
2024-11-25,8.4
2024-11-26,8.4
2024-11-27,8.4
2024-11-28,8.4
2024-11-29,8.4
2024-12-02,8.4
2024-12-03,8.4
2024-12-04,8.4
2024-12-05,8.4
2024-12-06,8.4
2024-12-09,8.4
2024-12-10,8.4
2024-12-11,8.4
2024-12-12,8.4
2024-12-13,8.4
2024-12-16,8.4
2024-12-17,8.4
2024-12-18,8.4
2024-12-19,8.4
2024-12-20,8.4
2024-12-23,8.4
2024-12-24,8.4
2024-12-27,8.4
2024-12-30,8.4
2024-12-31,8.4
2025-01-02,8.4
2025-01-03,8.4
2025-01-06,8.4
2025-01-07,8.4
2025-01-08,8.4
2025-01-09,8.4
2025-01-10,8.4
2025-01-13,7.4
2025-01-14,7.4
2025-01-15,7.4
2025-01-16,7.4
2025-01-17,7.4
2025-01-20,7.4
2025-01-21,7.4
2025-01-22,7.4
2025-01-23,7.4
2025-01-24,7.4
2025-01-27,7.4
2025-01-28,7.4
2025-01-29,7.4
2025-01-30,7.4
2025-01-31,7.4
2025-02-03,7.4
2025-02-04,7.4
2025-02-05,7.4
2025-02-06,7.4
2025-02-07,7.4
2025-02-10,7.95
2025-02-11,7.95
2025-02-12,7.95
2025-02-13,7.95
2025-02-14,7.95
2025-02-17,7.95
2025-02-18,8.1
2025-02-19,8.1
2025-02-20,8.1
2025-02-21,8.1
2025-02-24,8.1
2025-02-25,8.1
2025-02-26,8.1
2025-02-27,8.1
2025-02-28,8.1
2025-03-03,8.1
2025-03-04,8.1
2025-03-05,8.1
2025-03-06,8.1
2025-03-07,8.1
2025-03-10,8.1
2025-03-11,8.1
2025-03-12,8.1
2025-03-13,8.1
2025-03-14,8.75
2025-03-17,8.0
2025-03-18,8.0
2025-03-19,8.0
2025-03-20,8.0
2025-03-21,8.0
2025-03-24,8.0
2025-03-25,8.0
2025-03-26,8.0
2025-03-27,8.0
2025-03-28,8.15
2025-03-31,8.15
2025-04-01,8.15
2025-04-02,8.15
2025-04-03,8.15
2025-04-04,8.15
2025-04-07,8.15
2025-04-08,8.15
2025-04-09,8.05
2025-04-10,8.05
2025-04-11,8.05
2025-04-14,8.05
2025-04-15,8.05
2025-04-16,8.05
2025-04-17,8.05
2025-04-22,8.05
2025-04-23,8.05
2025-04-24,8.05
2025-04-25,8.05
2025-04-28,8.05
2025-04-29,8.05
2025-04-30,8.05
2025-05-02,8.05
2025-05-05,8.05
2025-05-06,8.05
2025-05-07,8.05
2025-05-08,8.05
2025-05-09,8.05
2025-05-12,8.05
2025-05-13,8.1
2025-05-14,8.1
2025-05-15,8.1
2025-05-16,8.1
2025-05-19,8.1
2025-05-20,8.1
2025-05-21,8.1
2025-05-22,8.1
2025-05-23,8.1
2025-05-26,8.1
2025-05-27,8.1
2025-05-28,8.1
2025-05-29,8.1
2025-05-30,8.1
2025-06-02,8.1
2025-06-03,8.1
2025-06-04,8.1
2025-06-05,8.1
2025-06-06,8.1
2025-06-09,8.1
2025-06-10,8.1
2025-06-11,8.1
2025-06-12,8.1
2025-06-13,8.1
2025-06-16,8.1
2025-06-17,8.1
2025-06-18,8.1
2025-06-19,8.1
2025-06-20,8.1
2025-06-23,8.1
2025-06-24,8.05
2025-06-25,8.05
2025-06-26,8.05
2025-06-27,8.0
2025-06-30,8.05
2025-07-01,7.95
2025-07-02,7.9
2025-07-03,7.9
2025-07-04,7.9
2025-07-07,7.9
2025-07-08,7.5
2025-07-09,7.7
2025-07-10,7.7
2025-07-11,7.7
2025-07-14,7.7
2025-07-15,7.7
2025-07-16,7.7
2025-07-17,7.7
2025-07-18,7.7
2025-07-21,7.7
2025-07-22,7.75
2025-07-23,7.7
2025-07-24,7.7
2025-07-25,7.7
2025-07-28,7.7
2025-07-29,7.7
2025-07-30,7.7
2025-07-31,7.7
2025-08-01,7.7
2025-08-04,7.7
2025-08-05,7.7
2025-08-06,7.7
2025-08-07,7.7
2025-08-08,7.7
2025-08-11,7.75
2025-08-12,7.75
2025-08-13,7.65
2025-08-14,7.75
2025-08-15,7.75
2025-08-18,7.75
2025-08-19,7.75
2025-08-20,7.65
2025-08-21,7.75
2025-08-22,7.75
2025-08-25,7.65
2025-08-26,7.65
2025-08-27,7.65
2025-08-28,7.65
2025-08-29,7.65
