,UNIC FP Equity_PX_LAST
2020-11-19,11.838
2020-11-20,11.968
2020-11-23,12.066
2020-11-24,12.133
2020-11-25,12.095
2020-11-26,12.163
2020-11-27,12.314
2020-11-30,12.25
2020-12-01,12.329
2020-12-02,12.222
2020-12-03,12.297
2020-12-04,12.408
2020-12-07,12.583
2020-12-08,12.641
2020-12-09,12.73
2020-12-10,12.706
2020-12-11,12.753
2020-12-14,12.982
2020-12-15,12.883
2020-12-16,12.951
2020-12-17,13.008
2020-12-18,13.169
2020-12-21,13.243
2020-12-22,13.556
2020-12-23,13.666
2020-12-24,13.69
2020-12-28,13.613
2020-12-29,13.21
2020-12-30,13.353
2020-12-31,13.374
2021-01-04,13.345
2021-01-05,13.4
2021-01-06,13.654
2021-01-07,14.082
2021-01-08,14.382
2021-01-11,14.3
2021-01-12,14.385
2021-01-13,14.399
2021-01-14,14.565
2021-01-15,14.42
2021-01-18,14.467
2021-01-19,14.57
2021-01-20,14.84
2021-01-21,14.794
2021-01-22,14.681
2021-01-25,14.869
2021-01-26,14.816
2021-01-27,14.628
2021-01-28,14.339
2021-01-29,14.313
2021-02-01,14.494
2021-02-02,14.948
2021-02-03,15.008
2021-02-04,15.246
2021-02-05,15.331
2021-02-08,15.633
2021-02-09,15.964
2021-02-10,16.049
2021-02-11,15.975
2021-02-12,15.829
2021-02-15,15.898
2021-02-16,15.71
2021-02-17,15.265
2021-02-18,14.933
2021-02-19,15.222
2021-02-22,14.649
2021-02-23,14.084
2021-02-24,14.242
2021-02-25,14.047
2021-02-26,13.864
2021-03-01,14.309
2021-03-02,14.08
2021-03-03,13.807
2021-03-04,13.365
2021-03-05,12.764
2021-03-08,13.22
2021-03-09,13.35
2021-03-10,13.523
2021-03-11,13.764
2021-03-12,13.671
2021-03-15,13.858
2021-03-16,13.898
2021-03-17,13.624
2021-03-18,13.651
2021-03-19,13.559
2021-03-22,13.741
2021-03-23,13.592
2021-03-24,13.333
2021-03-25,13.154
2021-03-26,13.279
2021-03-29,13.169
2021-03-30,13.316
2021-03-31,13.56
2021-04-01,13.797
2021-04-06,13.787
2021-04-07,13.496
2021-04-08,13.597
2021-04-09,13.539
2021-04-12,13.41
2021-04-13,13.51
2021-04-14,13.661
2021-04-15,13.75
2021-04-16,13.658
2021-04-19,13.428
2021-04-20,13.27
2021-04-21,13.507
2021-04-22,13.79
2021-04-23,13.712
2021-04-26,13.886
2021-04-27,13.936
2021-04-28,13.872
2021-04-29,13.553
2021-04-30,13.576
2021-05-03,13.33
2021-05-04,12.909
2021-05-05,13.067
2021-05-06,12.632
2021-05-07,12.866
2021-05-10,12.63
2021-05-11,12.498
2021-05-12,12.412
2021-05-13,12.315
2021-05-14,12.512
2021-05-17,12.439
2021-05-18,12.634
2021-05-19,12.37
2021-05-20,12.681
2021-05-21,12.736
2021-05-24,12.755
2021-05-25,12.696
2021-05-26,12.804
2021-05-27,12.883
2021-05-28,12.958
2021-05-31,12.836
2021-06-01,12.743
2021-06-02,12.806
2021-06-03,12.817
2021-06-04,12.96
2021-06-07,13.034
2021-06-08,13.082
2021-06-09,13.302
2021-06-10,13.335
2021-06-11,13.539
2021-06-14,13.657
2021-06-15,13.513
2021-06-16,13.567
2021-06-17,13.877
2021-06-18,13.838
2021-06-21,13.805
2021-06-22,13.878
2021-06-23,13.89
2021-06-24,14.139
2021-06-25,14.119
2021-06-28,14.368
2021-06-29,14.37
2021-06-30,14.488
2021-07-01,14.372
2021-07-02,14.514
2021-07-05,14.494
2021-07-06,14.535
2021-07-07,14.418
2021-07-08,14.223
2021-07-09,14.39
2021-07-12,14.349
2021-07-13,14.342
2021-07-14,14.099
2021-07-15,13.896
2021-07-16,13.887
2021-07-19,13.787
2021-07-20,14.011
2021-07-21,14.164
2021-07-22,14.267
2021-07-23,14.258
2021-07-26,14.077
2021-07-27,13.725
2021-07-28,14.086
2021-07-29,14.16
2021-07-30,14.114
2021-08-02,14.154
2021-08-03,14.147
2021-08-04,14.362
2021-08-05,14.587
2021-08-06,14.497
2021-08-09,14.557
2021-08-10,14.589
2021-08-11,14.357
2021-08-12,14.499
2021-08-13,14.455
2021-08-16,14.227
2021-08-17,14.127
2021-08-18,14.288
2021-08-19,14.097
2021-08-20,14.202
2021-08-23,14.46
2021-08-24,14.58
2021-08-25,14.662
2021-08-26,14.619
2021-08-27,14.779
2021-08-30,14.776
2021-08-31,14.735
2021-09-01,14.9
2021-09-02,15.065
2021-09-03,15.045
2021-09-06,15.11
2021-09-07,15.021
2021-09-08,14.892
2021-09-09,14.969
2021-09-10,14.881
2021-09-13,14.751
2021-09-14,14.836
2021-09-15,14.692
2021-09-16,14.78
2021-09-17,14.862
2021-09-20,14.683
2021-09-21,14.808
2021-09-22,14.863
2021-09-23,14.968
2021-09-24,14.945
2021-09-27,14.843
2021-09-28,14.415
2021-09-29,14.384
2021-09-30,14.432
2021-10-01,14.262
2021-10-04,13.885
2021-10-05,14.054
2021-10-06,14.021
2021-10-07,14.357
2021-10-08,14.121
2021-10-11,14.234
2021-10-12,14.255
2021-10-13,14.38
2021-10-14,14.635
2021-10-15,14.699
2021-10-18,14.601
2021-10-19,14.799
2021-10-20,14.727
2021-10-21,14.764
2021-10-22,14.729
2021-10-25,14.886
2021-10-26,14.952
2021-10-27,14.783
2021-10-28,14.838
2021-10-29,15.042
2021-11-01,15.214
2021-11-02,15.253
2021-11-03,15.275
2021-11-04,15.424
2021-11-05,15.355
2021-11-08,15.469
2021-11-09,15.532
2021-11-10,15.517
2021-11-11,15.395
2021-11-12,15.493
2021-11-15,15.507
2021-11-16,15.564
2021-11-17,15.575
2021-11-18,15.528
2021-11-19,15.594
2021-11-22,15.416
2021-11-23,14.93
2021-11-24,15.15
2021-11-25,15.264
2021-11-26,14.845
2021-11-29,14.932
2021-11-30,14.714
2021-12-01,14.786
2021-12-02,14.244
2021-12-03,13.986
2021-12-06,13.984
2021-12-07,14.735
2021-12-08,14.802
2021-12-09,14.748
2021-12-10,14.41
2021-12-13,14.306
2021-12-14,14.093
2021-12-15,14.007
2021-12-16,14.34
2021-12-17,14.523
2021-12-20,14.309
2021-12-21,14.611
2021-12-22,14.756
2021-12-23,14.817
2021-12-24,14.856
2021-12-27,14.766
2021-12-28,14.699
2021-12-29,14.54
2021-12-30,14.766
2021-12-31,14.676
2022-01-03,14.647
2022-01-04,14.342
2022-01-05,14.168
2022-01-06,13.775
2022-01-07,13.644
2022-01-10,13.416
2022-01-11,13.782
2022-01-12,13.639
2022-01-13,13.443
2022-01-14,13.103
2022-01-17,13.295
2022-01-18,13.015
2022-01-19,12.906
2022-01-20,13.177
2022-01-21,12.754
2022-01-24,11.982
2022-01-25,12.199
2022-01-26,12.533
2022-01-27,12.345
2022-01-28,12.171
2022-01-31,12.749
2022-02-01,13.007
2022-02-02,12.745
2022-02-03,12.393
2022-02-04,12.36
2022-02-07,12.53
2022-02-08,12.519
2022-02-09,12.835
2022-02-10,12.861
2022-02-11,12.664
2022-02-14,12.556
2022-02-15,12.66
2022-02-16,12.497
2022-02-17,12.368
2022-02-18,12.013
2022-02-21,11.857
2022-02-22,11.92
2022-02-23,11.79
2022-02-24,11.849
2022-02-25,12.246
2022-02-28,12.573
2022-03-01,12.515
2022-03-02,12.482
2022-03-03,12.353
2022-03-04,12.103
2022-03-07,12.016
2022-03-08,11.823
2022-03-09,12.118
2022-03-10,11.947
2022-03-11,11.962
2022-03-14,11.548
2022-03-15,11.561
2022-03-16,12.012
2022-03-17,12.203
2022-03-18,12.645
2022-03-21,12.576
2022-03-22,12.771
2022-03-23,12.791
2022-03-24,12.714
2022-03-25,12.628
2022-03-28,12.626
2022-03-29,12.895
2022-03-30,12.917
2022-03-31,12.808
2022-04-01,12.934
2022-04-04,13.2
2022-04-05,13.17
2022-04-06,12.735
2022-04-07,12.674
2022-04-08,12.71
2022-04-11,12.472
2022-04-12,12.611
2022-04-13,12.581
2022-04-14,12.538
2022-04-19,12.441
2022-04-20,12.36
2022-04-21,12.128
2022-04-22,11.858
2022-04-25,11.814
2022-04-26,11.673
2022-04-27,11.704
2022-04-28,11.621
2022-04-29,11.827
2022-05-02,11.631
2022-05-03,11.753
2022-05-04,11.44
2022-05-05,11.447
2022-05-06,11.057
2022-05-09,10.458
2022-05-10,10.293
2022-05-11,10.475
2022-05-12,10.398
2022-05-13,10.826
2022-05-16,10.786
2022-05-17,10.803
2022-05-18,10.713
2022-05-19,10.748
2022-05-20,10.748
2022-05-23,10.857
2022-05-24,10.468
2022-05-25,10.539
2022-05-26,10.74
2022-05-27,11.003
2022-05-30,11.138
2022-05-31,10.959
2022-06-01,10.876
2022-06-02,11.055
2022-06-03,10.946
2022-06-06,11.093
2022-06-07,11.083
2022-06-08,11.189
2022-06-09,11.052
2022-06-10,10.639
2022-06-13,10.236
2022-06-14,10.211
2022-06-15,10.375
2022-06-16,9.969
2022-06-17,10.116
2022-06-20,10.205
2022-06-21,10.308
2022-06-22,10.302
2022-06-23,10.437
2022-06-24,10.71
2022-06-27,10.813
2022-06-28,10.7
2022-06-29,10.545
2022-06-30,10.432
2022-07-01,10.54
2022-07-04,10.549
2022-07-05,10.666
2022-07-06,10.929
2022-07-07,11.21
2022-07-08,11.292
2022-07-11,11.118
2022-07-12,11.037
2022-07-13,10.881
2022-07-14,10.775
2022-07-15,10.976
2022-07-18,11.091
2022-07-19,11.075
2022-07-20,11.377
2022-07-21,11.423
2022-07-22,11.329
2022-07-25,11.252
2022-07-26,11.141
2022-07-27,11.35
2022-07-28,11.602
2022-07-29,11.565
2022-08-01,11.619
2022-08-02,11.668
2022-08-03,11.947
2022-08-04,11.839
2022-08-05,11.877
2022-08-08,11.997
2022-08-09,11.747
2022-08-10,11.947
2022-08-11,12.024
2022-08-12,12.091
2022-08-15,12.228
2022-08-16,12.189
2022-08-17,11.987
2022-08-18,12.081
2022-08-19,11.911
2022-08-22,11.785
2022-08-23,11.708
2022-08-24,11.839
2022-08-25,11.934
2022-08-26,11.713
2022-08-29,11.46
2022-08-30,11.363
2022-08-31,11.29
2022-09-01,11.067
2022-09-02,11.249
2022-09-05,11.172
2022-09-06,11.16
2022-09-07,11.151
2022-09-08,11.418
2022-09-09,11.534
2022-09-12,11.589
2022-09-13,11.346
2022-09-14,11.26
2022-09-15,11.202
2022-09-16,10.914
2022-09-19,10.864
2022-09-20,10.903
2022-09-21,11.027
2022-09-22,10.623
2022-09-23,10.533
2022-09-26,10.61
2022-09-27,10.627
2022-09-28,10.677
2022-09-29,10.418
2022-09-30,10.575
2022-10-03,10.485
2022-10-04,10.817
2022-10-05,10.743
2022-10-06,10.922
2022-10-07,10.655
2022-10-10,10.443
2022-10-11,10.309
2022-10-12,10.221
2022-10-13,10.221
2022-10-14,10.237
2022-10-17,10.408
2022-10-18,10.445
2022-10-19,10.397
2022-10-20,10.462
2022-10-21,10.345
2022-10-24,10.362
2022-10-25,10.589
2022-10-26,10.752
2022-10-27,10.676
2022-10-28,10.701
2022-10-31,10.807
2022-11-01,10.81
2022-11-02,10.645
2022-11-03,10.433
2022-11-04,10.226
2022-11-07,10.26
2022-11-08,10.45
2022-11-09,10.27
2022-11-10,10.766
2022-11-11,10.848
2022-11-14,10.804
2022-11-15,11.01
2022-11-16,10.774
2022-11-17,10.695
2022-11-18,10.715
2022-11-21,10.703
2022-11-22,10.683
2022-11-23,10.793
2022-11-24,10.83
2022-11-25,10.778
2022-11-28,10.581
2022-11-29,10.65
2022-11-30,10.621
2022-12-01,10.896
2022-12-02,10.823
2022-12-05,10.802
2022-12-06,10.511
2022-12-07,10.397
2022-12-08,10.515
2022-12-09,10.63
2022-12-12,10.644
2022-12-13,10.861
2022-12-14,10.89
2022-12-15,10.414
2022-12-16,10.292
2022-12-19,10.212
2022-12-20,10.1
2022-12-21,10.3
2022-12-22,10.266
2022-12-23,10.019
2022-12-27,9.999
2022-12-28,10.005
2022-12-29,10.008
2022-12-30,9.968
2023-01-02,10.249
2023-01-03,10.231
2023-01-04,10.309
2023-01-05,10.2
2023-01-06,10.245
2023-01-09,10.402
2023-01-10,10.26
2023-01-11,10.414
2023-01-12,10.446
2023-01-13,10.529
2023-01-16,10.594
2023-01-17,10.554
2023-01-18,10.635
2023-01-19,10.48
2023-01-20,10.508
2023-01-23,10.785
2023-01-24,10.773
2023-01-25,10.567
2023-01-26,10.8
2023-01-27,10.85
2023-01-30,10.659
2023-01-31,10.776
2023-02-01,10.832
2023-02-02,11.238
2023-02-03,11.279
2023-02-06,11.135
2023-02-07,11.109
2023-02-08,11.205
2023-02-09,11.086
2023-02-10,10.951
2023-02-13,11.05
2023-02-14,10.996
2023-02-15,11.173
2023-02-16,11.175
2023-02-17,10.932
2023-02-20,10.957
2023-02-21,10.8
2023-02-22,10.808
2023-02-23,10.878
2023-02-24,10.876
2023-02-27,10.813
2023-02-28,10.794
2023-03-01,10.713
2023-03-02,10.68
2023-03-03,11.022
2023-03-06,11.093
2023-03-07,11.012
2023-03-08,10.954
2023-03-09,10.89
2023-03-10,10.63
2023-03-13,10.407
2023-03-14,10.582
2023-03-15,10.56
2023-03-16,10.571
2023-03-17,10.731
2023-03-20,10.55
2023-03-21,10.693
2023-03-22,10.707
2023-03-23,10.577
2023-03-24,10.53
2023-03-27,10.699
2023-03-28,10.61
2023-03-29,10.65
2023-03-30,10.79
2023-03-31,11.001
2023-04-03,10.984
2023-04-04,10.948
2023-04-05,10.719
2023-04-06,10.709
2023-04-11,10.81
2023-04-12,10.802
2023-04-13,10.715
2023-04-14,10.828
2023-04-17,10.937
2023-04-18,11.0
2023-04-19,10.848
2023-04-20,10.834
2023-04-21,10.792
2023-04-24,10.802
2023-04-25,10.694
2023-04-26,10.518
2023-04-27,10.546
2023-04-28,10.589
2023-05-02,10.45
2023-05-03,10.482
2023-05-04,10.477
2023-05-05,10.617
2023-05-08,10.672
2023-05-09,10.67
2023-05-10,10.718
2023-05-11,10.776
2023-05-12,10.823
2023-05-15,10.914
2023-05-16,10.873
2023-05-17,10.929
2023-05-18,11.114
2023-05-19,11.12
2023-05-22,11.234
2023-05-23,11.193
2023-05-24,10.991
2023-05-25,11.134
2023-05-26,11.322
2023-05-29,11.336
2023-05-30,11.349
2023-05-31,11.318
2023-06-01,11.421
2023-06-02,11.606
2023-06-05,11.623
2023-06-06,11.741
2023-06-07,11.658
2023-06-08,11.553
2023-06-09,11.571
2023-06-12,11.682
2023-06-13,11.83
2023-06-14,11.845
2023-06-15,11.797
2023-06-16,11.831
2023-06-19,11.778
2023-06-20,11.67
2023-06-21,11.505
2023-06-22,11.478
2023-06-23,11.415
2023-06-26,11.424
2023-06-27,11.388
2023-06-28,11.532
2023-06-29,11.574
2023-06-30,11.68
2023-07-03,11.66
2023-07-04,11.687
2023-07-05,11.67
2023-07-06,11.434
2023-07-07,11.505
2023-07-10,11.537
2023-07-11,11.624
2023-07-12,11.69
2023-07-13,11.751
2023-07-14,11.718
2023-07-17,11.756
2023-07-18,11.771
2023-07-19,11.914
2023-07-20,11.788
2023-07-21,11.788
2023-07-24,11.818
2023-07-25,11.898
2023-07-26,11.794
2023-07-27,11.969
2023-07-28,11.926
2023-07-31,11.951
2023-08-01,11.929
2023-08-02,11.67
2023-08-03,11.61
2023-08-04,11.454
2023-08-07,11.392
2023-08-08,11.275
2023-08-09,11.253
2023-08-10,11.328
2023-08-11,11.211
2023-08-14,11.328
2023-08-15,11.253
2023-08-16,11.185
2023-08-17,10.978
2023-08-18,10.91
2023-08-21,10.943
2023-08-22,11.072
2023-08-23,11.175
2023-08-24,11.07
2023-08-25,11.088
2023-08-28,11.198
2023-08-29,11.32
2023-08-30,11.299
2023-08-31,11.392
2023-09-01,11.497
2023-09-04,11.48
2023-09-05,11.531
2023-09-06,11.481
2023-09-07,11.377
2023-09-08,11.404
2023-09-11,11.387
2023-09-12,11.345
2023-09-13,11.315
2023-09-14,11.426
2023-09-15,11.321
2023-09-18,11.24
2023-09-19,11.154
2023-09-20,11.161
2023-09-21,10.902
2023-09-22,10.945
2023-09-25,10.927
2023-09-26,10.827
2023-09-27,10.926
2023-09-28,10.95
2023-09-29,11.058
2023-10-02,11.085
2023-10-03,10.918
2023-10-04,10.873
2023-10-05,10.836
2023-10-06,11.016
2023-10-09,11.007
2023-10-10,11.214
2023-10-11,11.175
2023-10-12,11.224
2023-10-13,11.062
2023-10-16,11.129
2023-10-17,11.101
2023-10-18,11.0
2023-10-19,10.836
2023-10-20,10.559
2023-10-23,10.539
2023-10-24,10.635
2023-10-25,10.5
2023-10-26,10.392
2023-10-27,10.346
2023-10-30,10.272
2023-10-31,10.359
2023-11-01,10.447
2023-11-02,10.602
2023-11-03,10.725
2023-11-06,10.69
2023-11-07,10.837
2023-11-08,10.806
2023-11-09,10.889
2023-11-10,10.838
2023-11-13,10.932
2023-11-14,11.083
2023-11-15,11.203
2023-11-16,11.038
2023-11-17,11.09
2023-11-20,11.154
2023-11-21,11.137
2023-11-22,11.291
2023-11-23,11.224
2023-11-24,11.197
2023-11-27,11.202
2023-11-28,11.194
2023-11-29,11.374
2023-11-30,11.424
2023-12-01,11.542
2023-12-04,11.554
2023-12-05,11.617
2023-12-06,11.684
2023-12-07,11.671
2023-12-08,11.751
2023-12-11,11.81
2023-12-12,11.814
2023-12-13,11.834
2023-12-14,11.94
2023-12-15,12.07
2023-12-18,12.001
2023-12-19,12.071
2023-12-20,12.101
2023-12-21,12.008
2023-12-22,12.018
2023-12-27,12.037
2023-12-28,12.109
2023-12-29,12.033
2024-01-02,11.948
2024-01-03,11.832
2024-01-04,11.806
2024-01-05,11.774
2024-01-08,11.895
2024-01-09,12.044
2024-01-10,12.027
2024-01-11,11.996
2024-01-12,12.102
2024-01-15,12.075
2024-01-16,12.114
2024-01-17,11.978
2024-01-18,12.089
2024-01-19,12.083
2024-01-22,12.327
2024-01-23,12.377
2024-01-24,12.491
2024-01-25,12.575
2024-01-26,12.492
2024-01-29,12.529
2024-01-30,12.55
2024-01-31,12.355
2024-02-01,12.296
2024-02-02,12.473
2024-02-05,12.498
2024-02-06,12.535
2024-02-07,12.647
2024-02-08,12.701
2024-02-09,12.793
2024-02-12,12.928
2024-02-13,12.716
2024-02-14,12.759
2024-02-15,12.811
2024-02-16,12.834
2024-02-19,12.772
2024-02-20,12.582
2024-02-21,12.381
2024-02-22,12.647
2024-02-23,12.689
2024-02-26,12.709
2024-02-27,12.733
2024-02-28,12.697
2024-02-29,12.777
2024-03-01,12.882
2024-03-04,12.844
2024-03-05,12.654
2024-03-06,12.802
2024-03-07,12.862
2024-03-08,12.881
2024-03-11,12.848
2024-03-12,12.974
2024-03-13,12.949
2024-03-14,12.866
2024-03-15,12.749
2024-03-18,12.875
2024-03-19,12.842
2024-03-20,12.834
2024-03-21,13.08
2024-03-22,13.029
2024-03-25,12.987
2024-03-26,13.05
2024-03-27,13.029
2024-03-28,13.152
2024-04-02,12.952
2024-04-03,12.954
2024-04-04,12.953
2024-04-05,12.795
2024-04-08,12.837
2024-04-09,12.79
2024-04-10,12.854
2024-04-11,12.893
2024-04-12,12.9
2024-04-15,12.809
2024-04-16,12.622
2024-04-17,12.5
2024-04-18,12.533
2024-04-19,12.362
2024-04-22,12.377
2024-04-23,12.619
2024-04-24,12.634
2024-04-25,12.404
2024-04-26,12.728
2024-04-29,12.692
2024-04-30,12.562
2024-05-02,12.537
2024-05-03,12.616
2024-05-06,12.705
2024-05-07,12.785
2024-05-08,12.772
2024-05-09,12.834
2024-05-10,12.862
2024-05-13,12.902
2024-05-14,12.929
2024-05-15,13.068
2024-05-16,13.166
2024-05-17,13.128
2024-05-20,13.17
2024-05-21,13.122
2024-05-22,13.15
2024-05-23,13.126
2024-05-24,13.059
2024-05-27,13.112
2024-05-28,13.044
2024-05-29,12.975
2024-05-30,12.833
2024-05-31,12.612
2024-06-03,12.701
2024-06-04,12.68
2024-06-05,12.867
2024-06-06,12.932
2024-06-07,13.003
2024-06-10,13.078
2024-06-11,13.047
2024-06-12,13.234
2024-06-13,13.181
2024-06-14,13.187
2024-06-17,13.149
2024-06-18,13.203
2024-06-19,13.217
2024-06-20,13.253
2024-06-21,13.227
2024-06-24,13.235
2024-06-25,13.189
2024-06-26,13.202
2024-06-27,13.232
2024-06-28,13.298
2024-07-01,13.227
2024-07-02,13.254
2024-07-03,13.299
2024-07-04,13.276
2024-07-05,13.335
2024-07-08,13.344
2024-07-09,13.324
2024-07-10,13.338
2024-07-11,13.426
2024-07-12,13.537
2024-07-15,13.555
2024-07-16,13.58
2024-07-17,13.415
2024-07-18,13.291
2024-07-19,13.131
2024-07-22,13.204
2024-07-23,13.377
2024-07-24,13.138
2024-07-25,13.01
2024-07-26,12.919
2024-07-29,12.972
2024-07-30,12.962
2024-07-31,13.176
2024-08-01,12.985
2024-08-02,12.357
2024-08-05,12.099
2024-08-06,12.154
2024-08-07,12.392
2024-08-08,12.403
2024-08-09,12.469
2024-08-12,12.478
2024-08-13,12.639
2024-08-14,12.607
2024-08-15,12.871
2024-08-16,12.906
2024-08-19,12.984
2024-08-20,12.981
2024-08-21,12.975
2024-08-22,12.99
2024-08-23,12.963
2024-08-26,12.993
2024-08-27,12.973
2024-08-28,12.924
2024-08-29,13.164
2024-08-30,13.133
2024-09-02,13.194
2024-09-03,13.041
2024-09-04,12.843
2024-09-05,12.696
2024-09-06,12.519
2024-09-09,12.666
2024-09-10,12.727
2024-09-11,12.69
2024-09-12,12.893
2024-09-13,13.031
2024-09-16,13.011
2024-09-17,13.143
2024-09-18,13.032
2024-09-19,13.281
2024-09-20,13.158
2024-09-23,13.291
2024-09-24,13.292
2024-09-25,13.291
2024-09-26,13.366
2024-09-27,13.485
2024-09-30,13.47
2024-10-01,13.263
2024-10-02,13.458
2024-10-03,13.432
2024-10-04,13.464
2024-10-07,13.617
2024-10-08,13.664
2024-10-09,13.779
2024-10-10,13.823
2024-10-11,13.916
2024-10-14,13.99
2024-10-15,13.95
2024-10-16,13.911
2024-10-17,14.029
2024-10-18,14.05
2024-10-21,13.966
2024-10-22,13.994
2024-10-23,13.97
2024-10-24,13.915
2024-10-25,14.027
2024-10-28,14.047
2024-10-29,14.059
2024-10-30,13.975
2024-10-31,13.723
2024-11-01,13.827
2024-11-04,13.76
2024-11-05,13.829
2024-11-06,14.251
2024-11-07,14.356
2024-11-08,14.281
2024-11-11,14.633
2024-11-12,14.52
2024-11-13,14.733
2024-11-14,14.585
2024-11-15,14.352
2024-11-18,14.36
2024-11-19,14.359
2024-11-20,14.411
2024-11-21,14.579
2024-11-22,14.888
2024-11-25,14.999
2024-11-26,14.982
2024-11-27,14.72
2024-11-28,14.82
2024-11-29,14.842
2024-12-02,15.0
2024-12-03,14.99
2024-12-04,15.12
2024-12-05,14.905
2024-12-06,14.836
2024-12-09,15.12
2024-12-10,14.928
2024-12-11,15.0
2024-12-12,15.066
2024-12-13,15.039
2024-12-16,14.912
2024-12-17,15.04
2024-12-18,15.04
2024-12-19,14.632
2024-12-20,14.698
2024-12-23,14.535
2024-12-24,14.914
2024-12-27,14.662
2024-12-30,14.581
2024-12-31,14.743
2025-01-02,14.628
2025-01-03,14.637
2025-01-06,15.04
2025-01-07,14.875
2025-01-08,14.95
2025-01-09,14.789
2025-01-10,14.758
2025-01-13,14.465
2025-01-14,14.67
2025-01-15,14.77
2025-01-16,14.98
2025-01-17,14.958
2025-01-20,14.95
2025-01-21,14.919
2025-01-22,15.1
2025-01-23,15.04
2025-01-24,15.098
2025-01-27,14.974
2025-01-28,15.017
2025-01-29,15.074
2025-01-30,15.372
2025-01-31,15.401
2025-02-03,15.41
2025-02-04,15.422
2025-02-05,15.366
2025-02-06,15.382
2025-02-07,15.45
2025-02-10,15.45
2025-02-11,15.419
2025-02-12,15.442
2025-02-13,15.45
2025-02-14,15.35
2025-02-17,15.65
2025-02-18,15.65
2025-02-19,15.72
2025-02-20,15.65
2025-02-21,15.495
2025-02-24,14.989
2025-02-25,15.035
2025-02-26,15.298
2025-02-27,15.13
2025-02-28,14.995
2025-03-03,14.73
2025-03-04,14.271
2025-03-05,14.177
2025-03-06,14.217
2025-03-07,13.854
2025-03-10,13.85
2025-03-11,13.469
2025-03-12,13.623
2025-03-13,13.545
2025-03-14,13.583
2025-03-17,13.903
2025-03-18,13.693
2025-03-19,13.891
2025-03-20,14.005
2025-03-21,13.985
2025-03-24,14.179
2025-03-25,14.018
2025-03-26,14.027
2025-03-27,14.061
2025-03-28,13.5
