,TRV FP Equity_PX_LAST
2025-05-22,28.134
2025-05-23,27.5
2025-05-26,27.783
2025-05-27,27.851
2025-05-28,27.675
2025-05-29,27.65
2025-05-30,27.692
2025-06-02,27.433
2025-06-03,27.38
2025-06-04,27.572
2025-06-05,27.334
2025-06-06,27.302
2025-06-09,27.335
2025-06-10,27.6
2025-06-11,27.48
2025-06-12,27.17
2025-06-13,26.692
2025-06-16,26.917
2025-06-17,26.578
2025-06-18,26.414
2025-06-19,26.002
2025-06-20,26.088
2025-06-23,26.055
2025-06-24,26.414
2025-06-25,26.211
2025-06-26,26.03
2025-06-27,26.592
2025-06-30,26.784
2025-07-01,26.895
2025-07-02,27.073
2025-07-03,27.152
2025-07-04,26.845
2025-07-07,27.01
2025-07-08,27.2
2025-07-09,27.275
2025-07-10,27.518
2025-07-11,27.214
2025-07-14,26.989
2025-07-15,26.92
2025-07-16,26.819
2025-07-17,26.806
2025-07-18,26.693
2025-07-21,26.646
2025-07-22,26.655
2025-07-23,27.227
2025-07-24,27.087
2025-07-25,27.303
2025-07-28,27.068
2025-07-29,26.928
2025-07-30,26.809
2025-07-31,26.27
2025-08-01,25.706
2025-08-04,25.789
2025-08-05,25.81
2025-08-06,25.761
2025-08-07,26.041
2025-08-08,26.099
2025-08-11,25.825
2025-08-12,25.89
2025-08-13,26.17
2025-08-14,26.272
2025-08-15,26.29
2025-08-18,26.25
2025-08-19,26.82
2025-08-20,26.824
2025-08-21,26.577
2025-08-22,26.929
2025-08-25,26.735
2025-08-26,26.597
2025-08-27,26.778
2025-08-28,26.9
2025-08-29,26.551
