,ALJXR FP Equity_DX_SI_QTY,ALJXR FP Equity_DX_SHORT_INTEREST_VALUE,ALJXR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALJXR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALJXR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALJXR FP Equity_DX_SI_MV,ALJXR FP Equity_DX_DSS,ALJXR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALJXR FP Equity_DX_SUPPLY_SI_QTY,ALJXR FP Equity_DX_BROKER_SI_QTY,ALJXR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALJXR FP Equity_DX_BROKER_SI_MV_NEW_x,ALJXR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALJXR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALJXR FP Equity_DX_BROKER_SI_MV_INC_x,ALJXR FP Equity_DX_SUPPLY_SI_MV_NEW,ALJXR FP Equity_DX_BROKER_SI_QTY_ADD,ALJXR FP Equity_DX_BROKER_SI_QTY_NEW,ALJXR FP Equity_DX_SUPPLY_SI_MV_DEC,ALJXR FP Equity_DX_BROKER_SI_QTY_INC,ALJXR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALJXR FP Equity_DX_BROKER_SI_MV_NEW_y,ALJXR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALJXR FP Equity_DX_BROKER_SI_MV_INC_y,ALJXR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALJXR FP Equity_DX_BROKER_SI_MV_ADD,ALJXR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALJXR FP Equity_DX_BROKER_SI_QTY_DEC,ALJXR FP Equity_DX_SUPPLY_SI_MV,ALJXR FP Equity_DX_BROKER_SI_MV_DEC,ALJXR FP Equity_DX_SUPPLY_SI_MV_RMV,ALJXR FP Equity_DX_BROKER_SI_MV_RMV,ALJXR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALJXR FP Equity_DX_UTILIZATION_QUANTITY,ALJXR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALJXR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALJXR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALJXR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALJXR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALJXR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALJXR FP Equity_DX_BROKER_SI_CON_RATIO,ALJXR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALJXR FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,147718.0,7622248.8,5.09,1.69,2.39,8.29,1.0,1182775.2,134652.0,22922.0,6948043.2,,,,,,,,0.5,,19361.0,,,,,,,,7.56,,,,81.71,81.71,30139.0,1555172.4,,1.69,81.71,35.87,0.4714,58.25,0.8964
2006-03-22,141993.0,6335727.66,4.89,1.48,2.29,7.55,1.0,1022779.64,127537.0,22922.0,5690700.94,,,,,,,,1.33,,17530.0,,,,,,10415.0,,6.78,,,,88.96,88.96,15820.0,705888.4,,0.84,88.96,32.75,0.4889,61.51,0.9905
2006-03-29,131673.0,5661939.0,4.54,1.49,2.13,7.07,1.0,852346.0,118720.0,19822.0,5104960.0,,,,,,,,0.4,,8817.0,,,,,,,3100.0,6.38,0.15,,,81.76,81.76,26486.0,1138898.0,,1.42,81.76,23.61,0.5549,70.4,0.9068
2006-04-05,141417.0,6738520.05,4.87,1.67,2.29,6.83,1.0,72237.4,141351.0,1516.0,6735375.15,,,20632.0,,,,,,,,,,,20632.0,,2000.0,5845.0,6.82,0.25,,0.75,79.46,79.46,36542.0,1741226.3,,1.76,79.46,24.59,0.4184,56.89,0.795
2006-04-12,149510.0,6950719.9,5.15,2.39,2.42,7.24,1.0,361180.81,149583.0,7769.0,6954113.67,0.3,,10231.0,,,,6253.0,0.1,,2000.0,0.3,,,10231.0,,,,7.25,,,,87.02,87.02,22320.0,1037656.8,,1.08,87.0,19.51,0.6859,80.49,0.8697
2006-04-19,144929.0,6630501.75,4.99,2.57,2.34,6.65,1.0,286440.75,144504.0,6261.0,6611058.0,,,,,,,,0.62,,5079.0,,,,,,,1508.0,6.63,0.09,,,85.87,85.87,23778.0,1087843.5,,1.09,85.87,24.21,0.633,75.79,0.8612
2006-04-26,141228.0,6496488.0,4.87,3.65,2.28,5.87,1.0,269606.0,141030.0,5861.0,6487380.0,,,1.0,,,,,0.72,,3475.0,,,,1.0,,,400.0,5.86,0.04,,,85.56,85.56,23794.0,1094524.0,,0.99,85.56,25.87,0.6165,74.13,0.8568
2006-05-03,148660.0,6169390.0,5.12,4.9,2.4,6.3,1.0,243231.5,148833.0,5861.0,6176569.5,,,7803.0,,,,,,,,,,,7803.0,,,,6.31,,,,69.19,69.19,66288.0,2750952.0,,2.83,69.07,25.87,0.6165,74.13,0.6911
2006-05-10,144317.0,6436538.2,6.09,6.82,2.33,6.38,1.0,261400.6,144295.0,5861.0,6435557.0,,,,,,,,0.0,,4537.0,,,,,,,,6.38,,,,68.65,68.65,65892.0,2938783.2,,2.92,68.6,25.87,0.6165,74.13,0.6866
2006-05-17,152250.0,6272700.0,6.42,7.04,2.46,6.36,1.0,327993.2,150333.0,7961.0,6193719.6,,,6037.0,,,2100.0,,,,,,,,6037.0,0.09,,,6.28,,,,85.72,69.7,25042.0,1031730.4,,0.0,0.0,26.38,0.4037,54.58,0.7059
2006-05-24,168231.0,5930142.75,7.09,7.43,2.72,6.11,1.0,807753.75,150789.0,22915.0,5315312.25,,,457.0,0.43,,2658.0,,,12296.0,,,,0.43,457.0,0.09,,,5.47,,,,74.88,74.88,50584.0,1783086.0,,1.62,77.15,19.21,0.4488,62.82,0.8354
2006-05-31,159866.0,6554506.0,6.74,6.99,2.58,6.34,1.0,451779.0,154671.0,11019.0,6341511.0,,8226.0,,0.12,0.33,,,0.0,2500.0,4344.0,,8226.0,0.12,,,,14396.0,6.13,0.52,,,63.86,63.86,87545.0,3589345.0,,3.41,64.27,27.72,0.3133,42.74,0.66
2006-06-07,175145.0,6513642.55,7.39,8.12,2.83,6.55,1.0,521366.61,167369.0,14019.0,6224453.11,,,12698.0,0.09,,,,,3000.0,,,,0.09,12698.0,,,,6.26,,,,65.23,65.23,89214.0,3317868.66,,3.32,65.35,35.43,0.3168,38.76,0.6826
2006-06-14,183101.0,5364859.3,7.72,8.33,2.96,5.51,1.0,484006.7,173107.0,16519.0,5072035.1,,,5738.0,0.01,,,,,2500.0,,,,0.01,5738.0,,,,5.21,,,,65.31,65.31,91960.0,2694428.0,,2.82,64.89,35.14,0.3252,40.71,0.6908
2006-06-21,171109.0,5354000.61,7.21,7.15,2.76,5.35,1.0,537218.01,159971.0,17169.0,5005492.59,,,,0.04,,,,0.21,650.0,13136.0,,,0.04,,,,,5.01,,,,46.71,46.71,182517.0,5710956.93,,5.68,46.86,33.29,0.3358,43.93,0.4996
2006-06-28,198586.0,5822541.52,8.37,9.11,3.21,5.88,1.0,430095.08,188349.0,14669.0,5522392.68,,,,,,,,0.63,,12273.0,,,,,,40650.0,2500.0,5.58,0.1,,,62.97,55.27,110776.0,3247952.32,,0.0,208.82,15.77,0.5568,72.45,0.5827
2006-07-03,196295.0,5321557.45,8.28,9.15,3.17,5.41,1.0,356577.83,187575.0,13153.0,5085158.25,,,822.0,,,,,0.33,,1595.0,,,,822.0,,,1516.0,5.17,0.04,,,62.31,54.74,113451.0,3075656.61,,0.0,210.71,16.12,0.5886,74.56,0.5728
2006-07-04,194748.0,5043973.2,8.21,8.54,3.15,5.25,1.0,327712.7,186461.0,12653.0,4829339.9,,,294.0,,,150.0,,0.11,,1408.0,,,,294.0,0.0,,650.0,5.04,0.03,,,65.17,56.78,99644.0,2580779.6,,0.0,246.75,14.87,0.6125,76.36,0.593
2006-07-05,191896.0,4555611.04,8.09,8.58,3.1,4.95,1.0,241032.22,186109.0,10153.0,4418227.66,,,694.0,,,,,0.04,,1046.0,,,,694.0,,,2500.0,4.81,0.08,,,59.39,59.39,127252.0,3020962.48,,3.34,59.03,10.39,0.6679,80.59,0.6124
2006-07-06,191404.0,4593696.0,8.07,8.48,3.09,4.53,1.0,243672.0,185607.0,10153.0,4454568.0,,,1027.0,,,,,0.32,,1529.0,,,,1027.0,,,,4.39,,,,60.35,60.35,121927.0,2926248.0,,2.97,59.7,11.43,0.6533,79.54,0.6224
2006-07-07,189503.0,4386994.45,7.99,7.55,3.06,4.52,1.0,235041.95,183726.0,10153.0,4253256.9,,,,,,,,0.02,,1880.0,,,,,,,,4.38,,,,62.54,62.54,110067.0,2548051.05,,2.6,62.78,10.96,0.6592,79.97,0.645
2006-07-10,183945.0,4157157.0,7.76,7.19,2.97,4.29,1.0,106333.0,183555.0,4705.0,4148343.0,,,301.0,,,,,0.08,,472.0,,,,301.0,,,5448.0,4.28,0.13,,,65.67,65.67,95945.0,2168357.0,,2.26,65.42,9.65,0.8104,89.5,0.6581
2006-07-11,184328.0,3928029.68,7.77,6.89,2.98,4.16,1.0,100263.55,183977.0,4705.0,3920549.87,,,445.0,,,,,0.1,,23.0,,,,445.0,,,,4.15,,,,66.19,66.19,93957.0,2002223.67,,2.12,66.21,9.74,0.809,89.41,0.6632
2006-07-12,141671.0,3228682.09,5.97,5.05,2.29,3.05,1.0,107226.95,141260.0,4705.0,3219315.4,,,,,,,,1.1,,42716.0,,,,,,,,3.05,,,,52.67,52.67,126945.0,2893076.55,,2.75,52.52,4.72,0.8369,91.27,0.5282
2006-07-13,144851.0,3215692.2,6.11,5.02,2.34,3.32,1.0,104451.0,144470.0,4705.0,3207234.0,,,3837.0,,,,,0.0,,627.0,,,,3837.0,,,,3.31,,,,54.89,54.89,118705.0,2635251.0,,2.69,55.15,4.33,0.8478,91.9,0.5504
2006-07-14,145482.0,3171507.6,6.13,4.8,2.35,3.25,1.0,102569.0,145095.0,4705.0,3163071.0,,,626.0,,,,,,,,,,,626.0,,,,3.24,,,,54.99,54.99,118739.0,2588510.2,,2.64,55.11,4.36,0.8457,91.78,0.5514
2006-07-17,146627.0,3109958.67,6.18,4.8,2.37,3.22,1.0,99793.05,146239.0,4705.0,3101729.19,,,1144.0,,,,,,,,,,,1144.0,,,,3.21,,,,56.55,56.55,112354.0,2383028.34,,2.47,56.49,4.31,0.8452,91.75,0.567
2006-07-18,149179.0,3226741.77,6.29,4.49,2.41,3.19,1.0,184741.83,144941.0,8541.0,3135073.83,,,352.0,,,3836.0,,0.11,,1650.0,,,,352.0,0.08,,,3.1,,,,55.92,55.92,114236.0,2470924.68,,2.44,55.96,44.91,0.4567,50.38,0.5756
2006-07-19,143539.0,3521011.67,6.05,3.98,2.32,3.15,1.0,203010.28,139547.0,8276.0,3423087.91,,,,,,,,0.04,,5394.0,,,,,,,265.0,3.06,0.0,,,56.29,56.29,108348.0,2657776.44,,2.34,56.69,43.15,0.4555,51.77,0.579
2006-07-20,139661.0,3888162.24,5.89,3.28,2.26,3.46,1.0,130987.2,139261.0,4705.0,3877026.24,,,1059.0,,,,,0.0,,1345.0,,,,1059.0,,,3571.0,3.45,0.08,,,59.84,59.84,93473.0,2602288.32,,2.23,60.77,5.02,0.8408,91.49,0.6001
2006-07-21,119931.0,3515177.61,5.06,2.6,1.94,3.34,1.0,137903.55,119564.0,4705.0,3504420.84,,,,,,,,0.11,,19697.0,,,,,,,,3.33,,,,53.91,53.91,102212.0,2995833.72,,2.78,54.57,4.69,0.8534,92.21,0.5408
2006-07-24,131393.0,3677690.07,5.54,2.64,2.12,3.83,1.0,131692.95,131052.0,4705.0,3668145.48,,,11896.0,,,,,0.0,,408.0,,,,11896.0,,,,3.82,,,,59.19,59.19,90366.0,2529344.34,,2.58,59.73,29.49,0.5525,68.21,0.5934
2006-07-25,131489.0,3629096.4,5.54,2.56,2.12,3.67,1.0,129858.0,131136.0,4705.0,3619353.6,,,376.0,,,,,0.16,,292.0,,,,376.0,,,,3.66,,,,58.76,58.76,92042.0,2540359.2,,2.58,58.64,29.49,0.5513,68.12,0.5892
2006-07-26,133057.0,3459482.0,5.61,2.59,2.15,3.65,1.0,382330.0,132667.0,14705.0,3449342.0,,,2786.0,,,10000.0,,0.1,,1255.0,,,,2786.0,0.27,,,3.64,,,,57.76,57.76,97039.0,2523014.0,,2.68,57.61,29.72,0.55,67.92,0.5792
2006-07-27,129945.0,3443542.5,5.48,2.49,2.1,3.51,1.0,389682.5,129052.0,14705.0,3419878.0,,,219.0,,,,,0.15,,3834.0,,,,219.0,,,,3.49,,,,58.04,58.04,93290.0,2472185.0,,2.52,58.05,28.42,0.5593,69.16,0.5844
2006-07-28,130742.0,3421518.14,5.51,2.53,2.11,3.55,1.0,384829.85,129994.0,14705.0,3401942.98,,,1013.0,,,,,0.0,,70.0,,,,1013.0,,,,3.53,,,,57.92,57.92,94426.0,2471128.42,,2.53,58.28,28.84,0.5563,68.76,0.5826
2006-07-31,130166.0,3429874.1,5.49,2.55,2.1,3.53,1.0,387476.75,129315.0,14705.0,3407450.25,,,49.0,,,,,0.03,,728.0,,,,49.0,,,,3.5,,,,57.99,57.99,93669.0,2468178.15,,2.5,58.37,28.55,0.5584,69.04,0.5837
2006-08-01,130154.0,3538887.26,5.49,2.55,2.1,3.53,1.0,399828.95,129324.0,14705.0,3516319.56,,,39.0,,,,,0.0,,30.0,,,,39.0,,,,3.51,,,,57.84,57.84,94263.0,2563010.97,,2.52,58.2,28.68,0.5569,68.87,0.5821
2006-08-02,134323.0,3868502.4,5.66,2.61,2.17,3.65,1.0,423504.0,134013.0,14705.0,3859574.4,,,4689.0,,,,,,,,,,,4689.0,,,,3.64,,,,57.19,57.19,100299.0,2888611.2,,2.7,57.37,29.59,0.5486,67.87,0.5733
2006-08-03,137579.0,3804059.35,5.8,2.62,2.22,3.81,1.0,402445.75,137924.0,14555.0,3813598.6,,,4099.0,,,,,0.0,,189.0,,,,4099.0,,,150.0,3.82,0.0,,,57.52,57.52,101872.0,2816760.8,,2.82,57.55,31.04,0.5524,67.52,0.5737
2006-08-04,133841.0,3627091.1,5.64,2.52,2.16,3.67,1.0,394440.5,133678.0,14555.0,3622673.8,,,175.0,,,,,0.15,,4420.0,,,,175.0,,,,3.67,,,,56.83,56.83,101558.0,2752221.8,,2.84,56.35,30.08,0.5599,68.5,0.569
2006-08-07,133191.0,3506919.03,5.62,2.49,2.15,3.64,1.0,383233.15,132894.0,14555.0,3499099.02,,,87.0,,,,,0.04,,872.0,,,,87.0,,,,3.63,,,,57.01,57.01,100224.0,2638897.92,,2.75,56.86,29.63,0.5638,68.98,0.5713
2006-08-08,130893.0,3337771.5,5.52,2.45,2.11,3.54,1.0,371152.5,130283.0,14555.0,3322216.5,,,114.0,,,,,0.1,,2724.0,,,,114.0,,,,3.53,,,,56.58,56.58,99993.0,2549821.5,,2.7,56.67,29.02,0.5691,69.62,0.5684
2006-08-09,134293.0,3706486.8,5.66,2.57,2.17,3.42,1.0,401718.0,134055.0,14555.0,3699918.0,,,3772.0,,,,,,,,,,,3772.0,,,,3.42,,,,57.06,57.06,100868.0,2783956.8,,2.6,56.8,29.85,0.5598,68.59,0.5716
2006-08-10,128130.0,3378788.1,5.4,2.43,2.07,3.35,1.0,383815.35,128794.0,14555.0,3396297.78,,,7927.0,,,,,,,,,,,7927.0,,,,3.36,,0.34,,56.13,56.13,100656.0,2654298.72,13188.0,2.61,56.33,31.55,0.5477,66.93,0.5584
2006-08-11,124408.0,3240828.4,5.25,2.36,2.01,3.21,1.0,379157.75,124576.0,14555.0,3245204.8,,,,,,,,0.15,,4218.0,,,,,,,,3.21,,,,55.53,55.53,99767.0,2598930.35,,2.58,55.51,30.52,0.5561,68.02,0.5545
2006-08-14,122966.0,3197116.0,5.18,2.38,1.99,3.16,1.0,378430.0,122961.0,14555.0,3196986.0,,,,,,,,0.06,,1614.0,,,,,,,,3.16,,,,55.11,55.11,100174.0,2604524.0,,2.6,54.82,30.28,0.5579,68.26,0.5511
2006-08-15,122384.0,3221146.88,5.16,2.51,1.98,3.14,1.0,383087.6,122327.0,14555.0,3219646.64,,,,,,,,0.02,,634.0,,,,,,,,3.14,,,,54.82,54.82,100799.0,2653029.68,,2.59,54.75,30.28,0.5576,68.24,0.5485
2006-08-16,121047.0,3169010.46,5.1,2.55,1.96,3.18,1.0,381049.9,120834.0,14555.0,3163434.12,,,,,,,,0.0,,1493.0,,,,,,,,3.17,,,,54.56,54.56,100640.0,2634755.2,,2.63,54.67,29.94,0.5608,68.63,0.5466
2006-08-17,121348.0,3275182.52,5.12,2.7,1.96,3.17,1.0,387171.55,121391.0,14345.0,3276343.09,,,557.0,,,,,,,,,,,557.0,,,210.0,3.17,0.01,,,54.84,54.84,99983.0,2698541.17,,2.61,54.87,30.35,0.5772,69.65,0.5482
2006-08-18,123656.0,3283066.8,5.21,2.89,2.0,3.26,1.0,380859.75,124015.0,14345.0,3292598.25,,,2624.0,,,,,,,,,,,2624.0,,,,3.27,,,,55.18,55.18,100739.0,2674620.45,,2.64,55.31,31.04,0.5719,68.96,0.5502
2006-08-21,121728.0,3494810.88,5.13,2.9,1.97,3.19,1.0,411844.95,121848.0,14345.0,3498256.08,,,,,,,,0.07,,2167.0,,,,,,,,3.2,,,,54.67,54.67,101012.0,2900054.52,,2.66,54.56,30.66,0.5748,69.34,0.5462
2006-08-22,128697.0,4168495.83,5.43,3.1,2.08,3.47,1.0,464634.55,129704.0,14345.0,4201112.56,,,7856.0,,,,,,,,,,,7856.0,,,,3.5,,,,56.21,56.21,101058.0,3273268.62,,2.72,56.27,32.27,0.5629,67.73,0.5577
2006-08-23,132942.0,4960066.02,5.61,3.02,2.15,4.31,1.0,535211.95,132932.0,14345.0,4959692.92,,11981.0,,,0.39,,,0.0,,8753.0,,11981.0,,,,,,4.31,,,,56.63,56.63,101818.0,3798829.58,,2.9,59.77,30.24,0.5781,69.76,0.5663
2006-08-24,143338.0,5131500.4,6.04,2.96,2.32,4.86,1.0,513551.0,144799.0,14345.0,5183804.2,,,12400.0,,,,,0.0,,533.0,,,,12400.0,,,,4.91,,,,57.78,57.78,105807.0,3787890.6,,3.25,60.19,33.34,0.5555,66.66,0.572
2006-08-25,140199.0,4970054.55,5.91,2.82,2.27,4.69,1.0,508530.25,151927.0,14345.0,5385812.15,,,7128.0,,,,,,,,,,,7128.0,,,,5.08,,,,61.53,61.53,94969.0,3366651.05,,2.93,63.47,32.41,0.5619,67.59,0.5678
2006-08-28,138998.0,5258294.34,5.86,2.73,2.25,4.64,1.0,542671.35,150459.0,14345.0,5691863.97,,,40.0,,,,,0.06,,1508.0,,,,40.0,,,,5.02,,,,61.24,61.24,95227.0,3602437.41,,2.9,63.39,32.17,0.5636,67.83,0.5658
2006-08-29,143682.0,5656760.34,6.06,2.9,2.32,4.9,1.0,564762.65,156279.0,14345.0,6152704.23,,,6068.0,,,,,0.0,,249.0,,,,6068.0,,,,5.33,,,,61.83,61.83,96459.0,3797590.83,,3.08,63.39,33.62,0.5536,66.38,0.5685
2006-08-30,143530.0,5967977.4,6.05,2.94,2.32,5.62,1.0,1012265.1,143639.0,24345.0,5972509.62,,,659.0,0.46,,,,0.0,10000.0,13298.0,,,0.46,659.0,,,,5.63,,,,62.7,62.7,85456.0,3553260.48,,3.38,62.49,17.94,0.7056,82.06,0.6265
2006-08-31,148396.0,5935840.0,6.26,3.37,2.4,5.88,1.0,973800.0,149636.0,24345.0,5985440.0,,,6113.0,,,,,0.0,,116.0,,,,6113.0,,,,5.93,,,,63.51,63.51,85988.0,3439520.0,,3.49,62.98,18.73,0.6956,81.27,0.6298
2006-09-01,145734.0,5638448.46,6.14,3.53,2.35,5.72,1.0,941908.05,146135.0,24345.0,5653963.15,,,90.0,,,,,0.23,,4590.0,,,,90.0,,1000.0,,5.74,,,,63.33,63.33,84611.0,3273599.59,,3.41,62.71,17.46,0.6506,78.65,0.6316
2006-09-04,142211.0,5379842.13,6.0,3.74,2.3,5.58,1.0,920971.35,141814.0,24345.0,5364823.62,,,,,,,,0.18,,4322.0,,,,,,,,5.56,,,,62.86,62.86,83799.0,3170116.17,,3.31,62.69,17.49,0.6502,78.62,0.6303
2006-09-05,141990.0,5328884.7,5.99,3.73,2.29,5.5,1.0,913667.85,147616.0,24345.0,5540028.48,,,5802.0,,,,,,,,,,,5802.0,,,,5.72,,,,65.87,65.87,76497.0,2870932.41,,3.03,65.39,16.74,0.66,79.41,0.6336
2006-09-06,150122.0,5516983.5,6.33,3.95,2.43,5.64,1.0,1120213.5,146772.0,30482.0,5393871.0,,,,0.23,,,,0.2,6137.0,843.0,,,0.23,,,,,5.51,,,,69.05,69.05,65781.0,2417451.75,,2.47,69.08,33.35,0.5152,63.48,0.7063
2006-09-07,146064.0,5475939.36,6.16,3.95,2.36,5.46,1.0,1017366.13,145744.0,27137.0,5463942.56,,,88.0,,,,,0.07,,1116.0,,,,88.0,,,3345.0,5.44,0.13,,,69.17,69.17,64974.0,2435875.26,,2.43,69.14,24.96,0.5754,71.54,0.6932
2006-09-08,146468.0,5507196.8,6.18,3.95,2.37,5.5,1.0,1020351.2,146531.0,27137.0,5509565.6,,,1860.0,,,,,0.04,,1073.0,,,,1860.0,,,,5.5,,,,68.62,68.62,67015.0,2519764.0,,2.47,68.97,26.27,0.6126,73.73,0.6859
2006-09-11,145933.0,5297367.9,6.15,3.73,2.36,5.47,1.0,985073.1,145961.0,27137.0,5298384.3,,,,,,,,0.03,,570.0,,,,,,,,5.47,,,,68.17,68.17,68168.0,2474498.4,,2.59,67.89,26.37,0.6117,73.63,0.6815
2006-09-12,143252.0,5055363.08,6.04,3.49,2.31,5.35,1.0,957664.73,142523.0,27137.0,5029636.67,,,129.0,,,,,0.16,,3567.0,,,,129.0,,,,5.32,,,,68.06,68.06,66872.0,2359912.88,,2.46,68.37,25.58,0.6193,74.42,0.6841
2006-09-13,145923.0,5078120.4,6.15,3.41,2.36,5.15,1.0,944367.6,145911.0,27137.0,5077702.8,,,3505.0,,,,,0.03,,117.0,,,,3505.0,,,,5.15,,,,68.28,68.28,67792.0,2359161.6,,2.42,68.07,26.3,0.6124,73.7,0.6828
