,ALVIN FP Equity_DX_SI_QTY,ALVIN FP Equity_DX_SHORT_INTEREST_VALUE,ALVIN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVIN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVIN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVIN FP Equity_DX_SI_MV,ALVIN FP Equity_DX_DSS,ALVIN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVIN FP Equity_DX_SUPPLY_SI_QTY,ALVIN FP Equity_DX_BROKER_SI_QTY,ALVIN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVIN FP Equity_DX_BROKER_SI_QTY_ADD,ALVIN FP Equity_DX_SUPPLY_SI_MV_DEC,ALVIN FP Equity_DX_SUPPLY_SI_QTY_DEC,ALVIN FP Equity_DX_BROKER_SI_MV_ADD,ALVIN FP Equity_DX_SUPPLY_SI_QTY_ADD,ALVIN FP Equity_DX_BROKER_SI_QTY_DEC,ALVIN FP Equity_DX_SUPPLY_SI_MV,ALVIN FP Equity_DX_BROKER_SI_MV_DEC,ALVIN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVIN FP Equity_DX_UTILIZATION_QUANTITY,ALVIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVIN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVIN FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVIN FP Equity_DX_BROKER_SI_CON_RATIO,ALVIN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALVIN FP Equity_DX_DEMAND_SUPPLY_RATIO,ALVIN FP Equity_PX_LAST
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2023-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83
2023-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2023-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86
2023-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81
2023-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81
2023-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78
2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74
2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2023-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.901
2023-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2023-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2023-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2023-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2023-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2023-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76
2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2023-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2023-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2023-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2023-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2023-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2023-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2023-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2023-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.001
2023-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2023-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2023-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2023-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2023-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.001
2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
2023-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06
2023-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2023-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36
2023-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2023-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48
2023-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56
2023-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62
2023-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62
2023-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63
2023-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.698
2023-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66
2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63
2023-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67
2023-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.571
2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.625
2023-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.625
2023-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.625
2023-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
2023-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.579
2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
2023-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66
2023-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.581
2023-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56
2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52
2023-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52
2023-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46
2023-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46
2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48
2023-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.539
2023-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42
2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.449
2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.499
2024-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.493
2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2024-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.495
2024-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2024-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2024-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2024-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2024-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
2024-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.699
2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2024-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2024-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2024-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2024-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.399
2024-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2024-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2024-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.001
2024-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.002
2024-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2024-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2024-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.049
2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2024-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2024-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2024-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2024-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2024-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2024-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2024-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2024-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2024-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2024-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2024-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2024-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2024-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65
2024-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56
2024-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2024-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2024-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2024-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2024-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15
2024-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2024-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11
2024-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2024-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2024-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2024-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2024-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
2024-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
2024-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16
2024-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2024-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2024-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2024-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2024-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2024-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2024-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81
2024-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2024-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18
2024-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17
2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12
2024-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
2024-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
2024-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2024-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2024-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2024-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2024-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2024-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76
2024-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68
2024-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65
2024-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79
2024-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06
2024-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2024-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2024-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24
2024-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2024-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2024-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36
2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2024-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2024-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2024-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2024-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2024-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2024-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83
2024-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68
2024-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79
2024-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82
2024-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04
2024-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68
2024-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2024-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2024-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12
2024-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12
2024-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2024-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2024-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
2024-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2024-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94
2024-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2024-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16
2024-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2024-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32
2024-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36
2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35
2024-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31
2024-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2024-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2024-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35
2024-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38
2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46
2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32
2024-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31
2024-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31
2024-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31
2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28
2024-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28
2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2024-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2024-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2024-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14
2024-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22
2024-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26
2024-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26
2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26
2024-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26
2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2024-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26
2024-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2024-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27
2024-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27
2024-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27
2024-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2024-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2024-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2024-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16
2024-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16
2024-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12
2024-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12
