,GOAI FP Equity_DX_SI_QTY,GOAI FP Equity_DX_SHORT_INTEREST_VALUE,GOAI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GOAI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GOAI FP Equity_DX_SI_MV,GOAI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GOAI FP Equity_DX_SUPPLY_SI_QTY,GOAI FP Equity_DX_BROKER_SI_QTY,GOAI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GOAI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GOAI FP Equity_DX_SUPPLY_SI_QTY_INC_x,GOAI FP Equity_DX_BROKER_SI_MV_INC_x,GOAI FP Equity_DX_SUPPLY_SI_MV_NEW,GOAI FP Equity_DX_BROKER_SI_QTY_ADD,GOAI FP Equity_DX_SUPPLY_SI_MV_DEC,GOAI FP Equity_DX_BROKER_SI_QTY_INC,GOAI FP Equity_DX_SUPPLY_SI_QTY_DEC,GOAI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GOAI FP Equity_DX_BROKER_SI_MV_INC_y,GOAI FP Equity_DX_SUPPLY_SI_QTY_INC_y,GOAI FP Equity_DX_BROKER_SI_MV_ADD,GOAI FP Equity_DX_SUPPLY_SI_QTY_ADD,GOAI FP Equity_DX_BROKER_SI_QTY_DEC,GOAI FP Equity_DX_SUPPLY_SI_MV,GOAI FP Equity_DX_BROKER_SI_MV_DEC,GOAI FP Equity_DX_SUPPLY_SI_MV_RMV,GOAI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GOAI FP Equity_DX_UTILIZATION_QUANTITY,GOAI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GOAI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GOAI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GOAI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GOAI FP Equity_DX_ACTIVE_UTILIZATION_MV,GOAI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GOAI FP Equity_DX_BROKER_SI_CON_RATIO,GOAI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GOAI FP Equity_DX_DEMAND_SUPPLY_RATIO,GOAI FP Equity_PX_LAST
2018-11-12,47400.0,2213106.0,27.43,1.94,2.26,1340003.0,18700.0,28700.0,873103.0,,,,,,,,,,,,,,,0.88,,,100.0,5.84,0.0,0.0,,0.0,100.0,38.97,0.353,39.15,0.1481,46.69
2018-11-13,10000.0,468370.0,5.79,0.41,0.49,468370.0,0.0,10000.0,0.0,,,,,,0.88,,18700.0,,,,,,18700.0,0.0,0.88,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,46.837
2018-11-14,10000.0,464370.0,5.75,0.41,0.49,464370.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,46.437
2018-11-15,10000.0,465010.0,5.96,0.41,0.49,465010.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,46.501
2018-11-16,10000.0,462750.0,5.9,0.41,0.49,462750.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,46.275
2018-11-19,10000.0,457400.0,5.9,0.41,0.49,457400.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.74
2018-11-20,10000.0,449000.0,5.9,0.41,0.48,449000.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,44.9
2018-11-21,10000.0,454570.0,5.52,0.41,0.48,454570.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.457
2018-11-22,10000.0,450610.0,5.52,0.41,0.48,450610.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.061
2018-11-23,10000.0,455270.0,5.9,0.41,0.47,455270.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.527
2018-11-26,10000.0,460620.0,5.9,0.41,0.48,460620.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,46.062
2018-11-27,10000.0,463640.0,5.67,0.41,0.48,463640.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,46.364
2018-11-28,10000.0,466260.0,5.62,0.41,0.49,466260.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,46.626
2018-11-29,10000.0,468730.0,5.6,0.41,0.49,468730.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,46.873
2018-11-30,10000.0,469710.0,5.6,0.41,0.49,469710.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,46.971
2018-12-03,10000.0,476500.0,5.61,0.41,0.49,476500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,47.65
2018-12-04,10000.0,472570.0,4.7,0.41,0.5,472570.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,47.257
2018-12-05,10000.0,464010.0,4.64,0.41,0.5,464010.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,46.401
2018-12-06,10000.0,451320.0,4.66,0.41,0.49,451320.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.132
2018-12-07,10000.0,453260.0,4.96,0.4,0.47,453260.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.326
2018-12-10,10000.0,445630.0,4.59,0.4,0.48,445630.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,44.563
2018-12-11,10000.0,452880.0,5.57,0.4,0.47,452880.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.288
2018-12-12,10000.0,460770.0,5.57,0.4,0.48,460770.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,46.077
2018-12-13,10000.0,455850.0,4.96,0.4,0.48,455850.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.585
2018-12-14,10000.0,455880.0,4.96,0.4,0.48,455880.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,45.588
2018-12-17,10000.0,449370.0,5.39,0.4,0.48,449370.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0313,44.937
2018-12-18,20000.0,885100.0,8.53,0.79,0.92,442550.0,10000.0,10000.0,442550.0,,,,,,,,,,,,,10000.0,,0.45,,,3.13,3.08,310000.0,13719050.0,,13.94,3.13,48.78,0.5003,51.22,0.0615,44.255
2018-12-19,20000.0,884600.0,8.5,0.79,0.91,442300.0,10000.0,10000.0,442300.0,,,,,,,,,,,,,,,0.45,,,3.13,3.06,310000.0,13711300.0,,13.82,3.13,49.07,0.5002,50.93,0.0611,44.23
2018-12-20,20000.0,858480.0,8.7,0.75,0.91,429240.0,10000.0,10000.0,429240.0,,,,,,,,,,,,,,,0.44,,,3.13,2.97,310000.0,13306440.0,,13.71,3.13,48.79,0.5003,51.21,0.0595,42.924
2018-12-21,20000.0,848800.0,9.04,0.75,0.89,424400.0,10000.0,10000.0,424400.0,,,,,,,,,,,,,,,0.44,,,3.13,2.97,310000.0,13156400.0,,13.69,3.13,49.53,0.5,50.47,0.0595,42.44
2018-12-24,20000.0,848800.0,8.52,0.75,0.88,424400.0,10000.0,10000.0,424400.0,,,,,,,,,,,,,,,0.42,,,3.13,2.97,310000.0,13156400.0,,13.18,3.13,48.45,0.5005,51.55,0.0595,
2018-12-25,20000.0,848800.0,8.53,0.75,0.87,424400.0,10000.0,10000.0,424400.0,,,,,,,,,,,,,,,0.42,,,3.13,2.97,310000.0,13156400.0,,13.12,3.13,48.41,0.5005,51.59,0.0595,
2018-12-26,20000.0,848800.0,8.53,0.75,0.86,424400.0,10000.0,10000.0,424400.0,,,,,,,,,,,,,,,0.42,,,3.13,2.97,310000.0,13156400.0,,13.15,3.13,49.21,0.5001,50.79,0.0595,
2018-12-27,20000.0,844840.0,8.53,0.75,0.86,422420.0,10000.0,10000.0,422420.0,,,,,,,,,,,,,,,0.42,,,3.13,2.97,310000.0,13095020.0,,13.15,3.13,49.21,0.5001,50.79,0.0595,42.242
2018-12-28,20000.0,854840.0,7.85,0.75,0.87,427420.0,10000.0,10000.0,427420.0,,,,,,,,,,,,,,,0.42,,,3.13,2.97,310000.0,13250020.0,,13.11,3.13,48.78,0.5003,51.22,0.0595,42.742
2018-12-31,20000.0,863440.0,7.87,0.75,0.87,431720.0,10000.0,10000.0,431720.0,,,,,,,,,,,,,,,0.42,,,3.13,2.97,310000.0,13383320.0,,13.15,3.13,48.78,0.5003,51.22,0.0595,43.172
2019-01-01,20000.0,863440.0,7.93,0.75,0.88,431720.0,10000.0,10000.0,431720.0,,,,,,,,,,,,,,,0.43,,,3.13,2.97,310000.0,13383320.0,,13.38,3.13,49.25,0.5001,50.75,0.0595,
2019-01-02,20000.0,867760.0,7.93,0.75,0.89,433880.0,10000.0,10000.0,433880.0,,,,,,,,,,,,,,,0.43,,,3.13,2.97,310000.0,13450280.0,,13.39,3.13,48.78,0.5003,51.22,0.0595,43.388
2019-01-03,20000.0,852800.0,7.0,0.75,0.89,426400.0,10000.0,10000.0,426400.0,,,,,,,,,,,,,,,0.43,,,3.13,2.97,310000.0,13218400.0,,13.45,3.13,48.78,0.5003,51.22,0.0595,42.64
2019-01-04,10000.0,434240.0,3.5,0.38,0.43,0.0,10000.0,0.0,434240.0,,,,,,,,,,,,,,10000.0,0.43,0.46,,3.13,2.97,310000.0,13461440.0,,13.44,3.13,48.6,1.0,100.0,0.0297,43.424
2019-01-07,10000.0,439900.0,3.65,0.38,0.43,0.0,10000.0,0.0,439900.0,,,,,,,,,,,,,,,0.43,,,3.13,2.97,310000.0,13636900.0,,13.42,3.13,,1.0,100.0,0.0297,43.99
2019-01-08,10000.0,443850.0,3.65,0.38,0.43,0.0,10000.0,0.0,443850.0,,,,,,,,,,,,,,,0.43,,,3.13,2.97,310000.0,13759350.0,,13.45,3.13,,1.0,100.0,0.0297,44.385
2019-01-09,10000.0,447550.0,3.6,0.38,0.44,0.0,10000.0,0.0,447550.0,,,,,,,,,,,,,,,0.44,,,3.13,2.97,310000.0,13874050.0,,13.64,3.13,,1.0,100.0,0.0297,44.755
2019-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.44,,10000.0,,,,,,,0.0,,,0.0,0.0,336474.0,15099270.75,,14.92,0.0,,0.0,,0.0,44.875
2019-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15175313.87,,15.04,0.0,,0.0,,0.0,45.101
2019-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15116094.45,,15.16,0.0,,0.0,,0.0,44.925
2019-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15351626.25,,15.2,0.0,,0.0,,0.0,45.625
2019-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15407144.46,,15.11,0.0,,0.0,,0.0,45.79
2019-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15410509.2,,15.35,0.0,,0.0,,0.0,45.8
2019-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15728477.13,,15.41,0.0,,0.0,,0.0,46.745
2019-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15674641.29,,15.73,0.0,,0.0,,0.0,46.585
2019-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15570334.35,,15.65,0.0,,0.0,,0.0,46.275
2019-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15464345.04,,15.55,0.0,,0.0,,0.0,45.96
2019-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15711653.43,,15.57,0.0,,0.0,,0.0,46.695
2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15898396.5,,15.48,0.0,,0.0,,0.0,47.25
2019-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15706606.32,,15.4,0.0,,0.0,,0.0,46.68
2019-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15708288.69,,15.89,0.0,,0.0,,0.0,46.685
2019-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15725448.86,,15.79,0.0,,0.0,,0.0,46.736
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15930361.53,,15.71,0.0,,0.0,,0.0,47.345
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,15928679.16,,15.91,0.0,,0.0,,0.0,47.34
2019-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,16022891.88,,15.91,0.0,,0.0,,0.0,47.62
2019-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,16155462.64,,15.91,0.0,,0.0,,0.0,48.014
2019-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,336474.0,16275247.38,,15.95,0.0,,0.0,,0.0,48.37
2019-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,12919447.66,,13.12,0.0,,0.0,,0.0,47.59
2019-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,12896372.37,,13.1,0.0,,0.0,,0.0,47.505
2019-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,13059256.77,,12.89,0.0,,0.0,,0.0,48.105
2019-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,13181691.54,,13.06,0.0,,0.0,,0.0,48.556
2019-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,13264219.64,,13.16,0.0,,0.0,,0.0,48.86
2019-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,13287837.88,,13.26,0.0,,0.0,,0.0,48.947
2019-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,13394255.69,,13.31,0.0,,0.0,,0.0,49.339
2019-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,13430090.25,,13.38,0.0,,0.0,,0.0,49.471
2019-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,271474.0,13372266.29,,13.41,0.0,,0.0,,0.0,49.258
