,ARTO FP Equity_DX_SI_QTY,ARTO FP Equity_DX_SHORT_INTEREST_VALUE,ARTO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ARTO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ARTO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ARTO FP Equity_DX_SI_MV,ARTO FP Equity_DX_DSS,ARTO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ARTO FP Equity_DX_SUPPLY_SI_QTY,ARTO FP Equity_DX_BROKER_SI_QTY,ARTO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ARTO FP Equity_DX_BROKER_SI_QTY_ADD,ARTO FP Equity_DX_BROKER_SI_MV_ADD,ARTO FP Equity_DX_BROKER_SI_QTY_DEC,ARTO FP Equity_DX_SUPPLY_SI_MV,ARTO FP Equity_DX_BROKER_SI_MV_DEC,ARTO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ARTO FP Equity_DX_UTILIZATION_QUANTITY,ARTO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ARTO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ARTO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ARTO FP Equity_DX_ACTIVE_UTILIZATION_MV,ARTO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ARTO FP Equity_DX_BROKER_SI_CON_RATIO,ARTO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ARTO FP Equity_DX_DEMAND_SUPPLY_RATIO,ARTO FP Equity_PX_LAST
1990-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,350.633
1990-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,354.749
1990-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,352.157
1990-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,350.633
1990-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,343.163
1990-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,343.01
1990-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,343.01
1990-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,343.01
1990-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,343.01
1990-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,348.346
1990-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,343.773
1990-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,343.468
1990-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,343.01
1990-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,339.961
1990-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,343.925
1990-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,343.01
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,349.87
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,332.339
1990-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,336.76
1990-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,325.326
1990-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,317.094
1990-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,320.143
1990-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,315.569
1990-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,319.381
1990-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,315.569
1990-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,314.045
1990-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,312.52
1990-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,312.52
1990-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,313.283
1990-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,308.709
1990-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,312.52
1990-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,306.423
1990-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,317.856
1990-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,317.094
1990-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,317.094
1990-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,319.381
1990-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,319.228
1990-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1990-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,331.272
1990-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,324.716
1990-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,333.863
1990-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1990-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,317.094
1990-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,312.825
1990-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,312.825
1990-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,312.825
1990-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,313.13
1990-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,322.43
1990-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,309.472
1990-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,304.746
1990-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,304.746
1990-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,289.653
1990-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,269.682
1990-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,267.548
1990-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,262.975
1990-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,259.468
1990-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,251.693
1990-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,228.674
1990-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,251.541
1990-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,259.011
1990-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,262.212
1990-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,252.303
1990-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,259.773
1990-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,252.303
1990-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,253.065
1990-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,251.541
1990-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,251.541
1990-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,251.541
1990-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,256.114
1990-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,256.114
1990-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,236.296
1990-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,236.296
1990-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,236.296
1990-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,230.198
1990-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,236.601
1990-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,237.82
1990-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,237.82
1990-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,237.82
1990-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,234.771
1990-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,228.674
1990-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,237.82
1990-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,228.674
1990-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,236.296
1990-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,236.296
1990-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,230.198
1990-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,230.198
1990-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,230.198
1990-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,237.058
1990-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,237.82
1990-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,236.296
1990-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,230.503
1990-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,233.247
1990-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,230.198
1990-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,235.534
1990-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,228.674
1990-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,233.247
1990-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,226.387
1990-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,220.289
1990-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,213.429
1990-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,210.38
1990-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,212.666
1990-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,213.429
1990-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,218.764
1990-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,225.32
1990-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,210.38
1990-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,211.142
1990-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,207.483
1990-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,209.617
1990-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,207.483
1990-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,211.142
1990-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,214.953
1990-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,223.49
1990-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,214.953
1990-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,208.855
1990-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,207.483
1990-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,202.757
1990-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,200.775
1990-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,200.47
1990-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,190.561
1990-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,190.866
1990-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,187.512
1990-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,180.805
1991-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,185.988
1991-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,180.652
1991-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,180.652
1991-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,180.042
1991-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,180.652
1991-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,187.817
1991-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,180.347
1991-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,181.414
1991-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,182.177
1991-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,181.414
1991-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,181.414
1991-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,190.561
1991-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,198.184
1991-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,206.111
1991-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,201.233
1991-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,198.184
1991-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,198.336
1991-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,192.238
1991-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,198.184
1991-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,199.708
1991-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,200.013
1991-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,204.129
1991-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,195.44
1991-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,195.135
1991-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,199.708
1991-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,199.708
1991-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,199.556
1991-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,204.282
1991-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,210.38
1991-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,210.38
1991-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,207.178
1991-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,210.38
1991-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,216.63
1991-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,225.167
1991-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,231.723
1991-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,248.187
1991-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,246.967
1991-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,246.663
1991-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,246.663
1991-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,246.663
1991-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,239.345
1991-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,232.18
1991-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,234.924
1991-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,241.327
1991-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1991-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,240.869
1991-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,240.869
1991-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,240.107
1991-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,240.107
1991-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,239.345
1991-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1991-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,251.541
1991-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,246.205
1991-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,246.205
1991-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1991-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1991-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,243.766
1991-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1991-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,251.236
1991-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,242.699
1991-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,243.614
1991-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1991-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1991-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,250.016
1991-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,243.918
1991-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,236.601
1991-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,236.296
1991-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,243.309
1991-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,233.704
1991-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,236.296
1991-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,233.247
1991-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,233.247
1991-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,240.107
1991-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,240.412
1991-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,233.247
1991-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,231.723
1991-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,228.978
1991-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,229.436
1991-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,228.674
