,ALNSE FP Equity_DX_SI_QTY,ALNSE FP Equity_DX_SHORT_INTEREST_VALUE,ALNSE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNSE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNSE FP Equity_DX_SI_MV,ALNSE FP Equity_DX_DSS,ALNSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNSE FP Equity_DX_SUPPLY_SI_QTY,ALNSE FP Equity_DX_BROKER_SI_QTY,ALNSE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNSE FP Equity_DX_BROKER_SI_MV_NEW_x,ALNSE FP Equity_DX_BROKER_SI_QTY_ADD,ALNSE FP Equity_DX_BROKER_SI_QTY_NEW,ALNSE FP Equity_DX_SUPPLY_SI_MV_DEC,ALNSE FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNSE FP Equity_DX_BROKER_SI_MV_NEW_y,ALNSE FP Equity_DX_BROKER_SI_MV_ADD,ALNSE FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNSE FP Equity_DX_BROKER_SI_QTY_DEC,ALNSE FP Equity_DX_SUPPLY_SI_MV,ALNSE FP Equity_DX_BROKER_SI_MV_DEC,ALNSE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNSE FP Equity_DX_UTILIZATION_QUANTITY,ALNSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNSE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNSE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNSE FP Equity_DX_BROKER_SI_CON_RATIO,ALNSE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNSE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNSE FP Equity_PX_LAST
2007-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2007-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41
2007-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56
2007-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56
2007-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2007-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79
2007-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65
2007-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65
2007-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2007-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54
2007-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54
2007-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54
2007-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46
2007-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46
2007-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2007-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2007-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.57
2007-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2007-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.66
2007-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65
2007-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62
2007-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65
2007-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2007-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.67
2007-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75
2007-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2007-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79
2007-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.77
2007-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74
2007-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85
2007-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2007-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18
2007-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32
2007-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2007-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24
2007-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08
2007-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96
2007-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92
2007-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2007-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79
2007-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65
2007-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2007-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91
2007-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2007-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82
2007-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82
2007-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2007-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2007-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35
2007-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2007-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68
2007-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65
2007-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
2007-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35
2007-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
2007-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3
2007-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07
2007-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49
2007-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22
2007-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22
2007-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.11
2007-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08
2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02
2007-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48
2007-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23
2007-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03
2007-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.13
2007-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06
2007-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2007-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72
2007-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2007-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2007-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36
2007-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.16
2007-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3
2007-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15
2007-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17
2007-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63
2007-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66
2007-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2007-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58
2007-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58
2007-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2007-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51
2007-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55
2007-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2007-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.09
2007-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35
2007-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2007-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2007-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2007-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16
2007-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2007-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2007-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2007-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2007-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.17
2007-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2007-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01
2007-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94
2007-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95
2007-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.97
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.88
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.92
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.92
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.97
2007-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2007-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75
2007-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2007-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2007-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2007-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.41
2007-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62
2007-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2007-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94
2007-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94
2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89
2007-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85
2007-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2007-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.56
2007-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93
2007-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.91
2007-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96
2007-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.87
2007-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.04
2007-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24
2007-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23
2007-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2007-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82
2007-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2007-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2007-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24
2007-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.16
2007-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2007-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.17
2007-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.81
2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09
2007-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99
2007-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.17
2007-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.97
2007-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2007-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2007-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2007-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02
2007-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2007-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88
2007-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88
2007-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2007-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2007-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2007-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2007-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2007-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2007-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.07
2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2007-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2007-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45
2007-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.72
2007-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65
2007-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36
2007-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32
2007-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2007-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97
2007-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72
2007-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2007-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69
2007-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2007-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2007-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2007-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52
2007-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2007-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26
2007-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38
2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29
2007-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75
2007-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2007-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39
2007-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38
2007-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2007-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09
2007-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2007-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2007-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2007-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2007-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2007-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.71
2007-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.68
2007-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66
2007-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2007-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
