,GDS FP Equity_DX_SI_QTY,GDS FP Equity_DX_SHORT_INTEREST_VALUE,GDS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GDS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GDS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GDS FP Equity_DX_SI_MV,GDS FP Equity_DX_DSS,GDS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GDS FP Equity_DX_SUPPLY_SI_QTY,GDS FP Equity_DX_BROKER_SI_QTY,GDS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GDS FP Equity_DX_BROKER_SI_MV_NEW_x,GDS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GDS FP Equity_DX_SUPPLY_SI_QTY_INC_x,GDS FP Equity_DX_BROKER_SI_MV_INC_x,GDS FP Equity_DX_SUPPLY_SI_MV_NEW,GDS FP Equity_DX_BROKER_SI_QTY_ADD,GDS FP Equity_DX_BROKER_SI_QTY_NEW,GDS FP Equity_DX_SUPPLY_SI_MV_DEC,GDS FP Equity_DX_BROKER_SI_QTY_INC,GDS FP Equity_DX_SUPPLY_SI_QTY_DEC,GDS FP Equity_DX_BROKER_SI_MV_NEW_y,GDS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GDS FP Equity_DX_BROKER_SI_MV_INC_y,GDS FP Equity_DX_SUPPLY_SI_QTY_INC_y,GDS FP Equity_DX_BROKER_SI_MV_ADD,GDS FP Equity_DX_SUPPLY_SI_QTY_ADD,GDS FP Equity_DX_BROKER_SI_QTY_DEC,GDS FP Equity_DX_SUPPLY_SI_MV,GDS FP Equity_DX_BROKER_SI_MV_DEC,GDS FP Equity_DX_SUPPLY_SI_MV_RMV,GDS FP Equity_DX_BROKER_SI_MV_RMV,GDS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GDS FP Equity_DX_UTILIZATION_QUANTITY,GDS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GDS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GDS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GDS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GDS FP Equity_DX_ACTIVE_UTILIZATION_MV,GDS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GDS FP Equity_DX_BROKER_SI_CON_RATIO,GDS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GDS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,953372.0,9031537.41,3.95,4.6,2.44,24.38,1.0,5303649.97,455402.0,559855.0,4314139.91,,,18660.0,0.42,,,,,11626.0,,,,0.42,18660.0,,,52061.0,11.63,1.26,,,11.14,11.14,3632905.0,34415440.56,,92.12,11.21,25.84,0.4072,57.6,0.2332
2006-03-22,886699.0,8866589.59,3.67,4.24,2.27,23.0,1.0,4674188.92,481003.0,467440.0,4809812.79,,,7532.0,0.16,,15000.0,,0.06,2964.0,3420.0,,,0.16,7532.0,0.4,21489.0,110378.0,12.49,2.77,,,11.19,11.19,3816748.0,38165756.46,,98.18,11.29,28.67,0.4124,57.04,0.2063
2006-03-29,1006195.0,9879934.81,4.16,4.62,2.58,26.25,1.0,5703555.05,488603.0,580863.0,4797644.38,,,200.0,2.81,,10016.0,,0.0,106179.0,1598.0,,,2.81,200.0,0.26,8997.0,2772.0,12.75,0.04,,,11.93,11.93,3607052.0,35418023.95,,93.1,12.05,24.43,0.4398,61.31,0.2457
2006-04-05,843540.0,8403308.48,3.49,4.19,2.16,22.17,1.0,4071630.79,513287.0,408718.0,5113342.58,,,4307.0,0.66,,23536.0,,0.33,25175.0,14014.0,,,0.66,4307.0,0.68,34392.0,220855.0,13.52,5.8,,,12.66,12.66,3542356.0,35288795.11,,92.23,12.79,28.23,0.3027,45.55,0.208
2006-04-12,2311602.0,21125002.64,6.15,12.25,4.31,58.84,2.0,12515657.64,1202168.0,1369525.0,10986234.73,5.44,,94808.0,15.7,,127313.0,210000.0,3.55,623494.0,125939.0,5.44,,15.7,94808.0,3.12,720012.0,,30.47,,,,35.78,33.84,2157459.0,19716338.31,,0.0,562.11,13.87,0.1366,26.61,0.6507
2006-04-19,2160531.0,19387047.42,5.75,10.73,4.03,54.18,2.0,11374968.13,1157619.0,1267649.0,10387638.24,,,,,,,,1.5,,44548.0,,,,,,,101876.0,28.76,3.22,,,36.41,34.33,2021739.0,18141628.08,,0.0,552.16,14.59,0.1366,26.09,0.6406
2006-04-26,2700302.0,24555396.88,7.19,10.74,5.03,65.78,2.0,14933467.72,1261447.0,1642200.0,11471062.02,,,77326.0,13.12,,2200.0,,1.88,567259.0,71664.0,,,13.12,77326.0,0.05,98166.0,194908.0,30.62,5.09,,,36.02,36.02,2240801.0,20376890.39,,54.51,35.97,18.52,0.2183,40.17,0.771
2006-05-03,2462872.0,22220398.05,6.55,10.13,4.59,59.56,2.0,13502791.73,1103970.0,1496627.0,9960181.78,,3643.0,4895.0,1.52,0.09,,,5.96,73303.0,242774.0,,3643.0,1.52,4895.0,,76759.0,218875.0,26.64,5.38,,,34.6,34.6,2086723.0,18826725.74,,50.42,34.57,13.57,0.249,45.31,0.7719
2006-05-10,2353025.0,21618546.66,6.26,11.03,4.38,57.5,1.0,13448228.54,1035580.0,1463744.0,9514448.23,,,58770.0,0.73,,,,3.44,25000.0,147611.0,,,0.73,58770.0,,20451.0,57884.0,25.33,1.33,,,29.8,29.8,2440034.0,22417946.63,,59.62,29.82,13.27,0.2404,44.43,0.677
2006-05-17,1943492.0,19002986.55,5.17,6.96,3.62,50.87,1.0,12127729.54,766797.0,1240339.0,7497552.38,,,74398.0,4.93,,40000.0,,7.9,180412.0,343838.0,,,4.93,74398.0,1.05,657.0,443817.0,20.13,9.92,,,24.59,24.59,2351059.0,22988076.38,,61.58,24.63,19.66,0.2247,39.14,0.6233
2006-05-24,1662098.0,16264081.67,4.42,5.37,3.1,43.35,1.0,9037599.3,826477.0,923592.0,8087302.57,,,61590.0,4.4,,,,0.84,173697.0,30910.0,,,4.4,61590.0,,29000.0,490443.0,21.57,12.75,,,13.34,13.34,5370446.0,52551276.97,,139.91,13.36,20.15,0.2249,38.12,0.2682
2006-05-31,1585107.0,15903983.23,4.22,5.27,2.95,41.89,1.0,9094387.41,766107.0,906413.0,7686643.79,,,106326.0,0.7,,192352.0,,5.82,23361.0,228972.0,,,0.7,106326.0,5.1,62277.0,232893.0,20.26,5.98,,,20.93,11.15,2894892.0,29045555.8,,0.0,458.56,29.63,0.2052,30.08,0.2306
2006-06-07,1718998.0,17280102.13,4.57,6.84,3.2,45.16,1.0,10145623.18,801023.0,1009271.0,8052225.34,,,2710.0,2.9,,3.0,,,111185.0,,,,2.9,2710.0,0.0,32205.0,8329.0,21.02,0.26,,,21.23,11.47,2971505.0,29870837.47,,0.0,482.86,26.73,0.194,30.48,0.2461
2006-06-14,1564387.0,15630541.8,4.16,6.13,2.92,40.99,1.0,9292316.42,767346.0,930024.0,7666922.4,,,1371.0,0.38,,,,0.98,16297.0,35848.0,,,0.38,1371.0,,800.0,95544.0,20.1,2.52,,,11.01,11.01,6203443.0,61981578.16,,162.62,11.0,23.6,0.1745,28.35,0.2244
2006-06-21,1589951.0,15970753.74,4.23,6.58,2.96,41.84,1.0,8326523.69,862031.0,828938.0,8658936.55,,,126607.0,0.13,,,,1.13,3489.0,43699.0,,,0.13,126607.0,,11777.0,104576.0,22.69,2.72,,,12.35,12.35,6115456.0,61428586.04,,161.11,12.34,25.56,0.1836,29.49,0.2279
2006-06-28,1438276.0,14792362.5,3.83,8.86,2.68,38.74,1.0,7902964.14,757731.0,768413.0,7793102.04,,,1731.0,0.11,,,,2.59,835.0,106031.0,,,0.11,1731.0,,,61360.0,20.42,1.32,,,10.91,10.91,6188799.0,63650480.33,,166.9,10.9,26.59,0.2009,31.41,0.2071
2006-07-03,1264996.0,13130679.53,3.37,8.78,2.36,35.0,1.0,6297109.76,789924.0,606657.0,8199424.27,,,23486.0,1.23,,,,0.0,41419.0,11451.0,,,1.23,23486.0,,20159.0,203175.0,21.81,5.12,,,11.52,11.52,6065403.0,62958984.09,,166.45,11.59,17.05,0.1828,32.4,0.1845
2006-07-04,1255992.0,13108982.37,3.34,9.55,2.34,34.8,1.0,6294125.93,783339.0,603050.0,8175830.05,,,241.0,0.01,,,,0.2,498.0,7626.0,,,0.01,241.0,,800.0,4105.0,21.65,0.11,,,11.43,11.43,6067565.0,63328112.44,,167.06,11.47,17.08,0.181,32.0,0.1833
2006-07-05,1491715.0,15540848.64,3.97,11.83,2.78,41.25,1.0,9555280.71,706647.0,917180.0,7361925.08,,,7805.0,8.69,,,,2.35,317497.0,84498.0,,,8.69,7805.0,,,3366.0,19.51,0.09,,,10.3,10.3,6150772.0,64079409.74,,169.1,10.35,17.66,0.2281,40.01,0.2175
2006-07-06,1484030.0,15404256.1,3.95,12.33,2.77,40.83,1.0,9501960.66,699890.0,915409.0,7264869.85,,,275.0,0.27,,,,0.26,9929.0,7032.0,,,0.27,275.0,,,11700.0,19.22,0.31,,,10.2,10.2,6164879.0,63991546.63,,168.75,10.23,17.72,0.2243,39.52,0.2162
2006-07-07,1444828.0,15421116.7,3.85,12.18,2.69,39.96,1.0,9379727.4,685915.0,878801.0,7320992.71,,,,,,,,0.3,,13976.0,,,,,,,36608.0,18.96,1.0,,,9.98,9.98,6188166.0,66048297.82,,172.27,9.92,17.36,0.2262,39.84,0.2102
2006-07-10,1442606.0,15457847.19,3.84,12.0,2.69,40.62,1.0,9347683.28,692439.0,872374.0,7419639.35,,,8735.0,,,,,0.0,,2210.0,,,,8735.0,,,6428.0,19.49,0.15,,,10.16,10.16,6124459.0,65624953.26,,172.33,10.16,17.64,0.2243,39.44,0.2116
2006-07-11,1279642.0,13838385.41,3.41,10.75,2.38,36.19,1.0,7966348.62,663932.0,736652.0,7179935.4,,,,,,,,0.73,,28507.0,,,,,,,135721.0,18.76,3.71,,,9.74,9.74,6154199.0,66553127.84,,174.35,9.72,19.94,0.2068,34.82,0.1877
2006-07-12,1287074.0,13923659.71,3.43,11.09,2.4,36.94,1.0,7053264.2,756337.0,651989.0,8182108.42,,,104211.0,0.03,,9801.0,,0.34,536.0,12606.0,,,0.03,104211.0,0.28,800.0,95000.0,21.69,2.6,,,11.14,11.14,6036074.0,65298685.5,,172.2,11.18,21.62,0.1865,29.29,0.1895
2006-07-13,1248008.0,13515302.55,3.32,10.99,2.33,35.71,1.0,6618340.59,758018.0,611140.0,8208955.88,,,2117.0,0.0,,,,0.05,125.0,436.0,,,0.0,2117.0,,,40974.0,21.67,1.23,,,11.12,11.12,6059693.0,65623444.94,,172.73,11.15,22.56,0.1927,30.23,0.1831
2006-07-14,1249339.0,13472609.13,3.32,11.17,2.33,35.75,1.0,6805994.8,759745.0,631132.0,8192930.36,,,1727.0,0.57,,,,,19991.0,,,,0.57,1727.0,,,,21.72,,,,11.15,11.15,6056099.0,65307698.43,,172.26,11.2,22.54,0.1928,30.28,0.1833
2006-07-17,1246490.0,13323183.48,3.32,11.11,2.32,35.74,1.0,6635265.81,767324.0,620782.0,8201588.81,,,902.0,0.37,,,,0.0,12841.0,621.0,,,0.37,902.0,,7298.0,23191.0,21.97,0.61,,,11.28,11.28,6034117.0,64496023.16,,171.01,11.38,22.53,0.1858,29.42,0.1833
2006-07-18,1360753.0,14544490.44,3.85,12.0,2.54,38.59,1.0,7838038.81,770550.0,733311.0,8236070.11,,,6265.0,3.43,,,,0.23,122357.0,3039.0,,,3.43,6265.0,,,9828.0,21.83,0.29,,,11.24,11.24,6084319.0,65032610.26,,171.54,11.29,20.35,0.2022,33.06,0.1985
2006-07-19,1461843.0,15814323.4,4.14,12.54,2.72,41.75,1.0,7002278.63,943973.0,647276.0,10211968.25,,,151074.0,0.24,,,,0.11,8212.0,7127.0,,,0.24,151074.0,,29477.0,94247.0,26.91,2.48,,,13.94,13.94,5825780.0,63023709.78,,164.89,14.03,21.57,0.2085,33.81,0.2159
2006-07-20,1466442.0,15646223.97,4.15,12.3,2.73,42.05,1.0,6928579.9,947913.0,649381.0,10113771.36,,,5422.0,0.07,,,,0.0,2105.0,1483.0,,,0.07,5422.0,,,,27.14,,,,14.03,14.03,5809491.0,61984447.63,,164.4,14.17,21.65,0.2085,33.86,0.217
2006-07-21,1465949.0,15607459.52,4.15,12.74,2.73,41.8,1.0,6918476.01,945745.0,649826.0,10069024.77,,,2432.0,0.0,,,,0.21,445.0,4600.0,,,0.0,2432.0,,,,26.91,,,,13.97,13.97,5822082.0,61985723.32,,164.12,14.09,21.53,0.208,33.77,0.2166
2006-07-24,1459545.0,15478121.94,4.13,12.72,2.72,41.64,1.0,6802803.98,948353.0,641486.0,10057054.34,,,2618.0,0.06,,,,0.0,2000.0,10.0,,,0.06,2618.0,,,10340.0,27.0,0.28,,,14.01,14.01,5820835.0,61728548.21,,163.79,14.15,21.69,0.2085,34.11,0.2156
2006-07-25,1451315.0,15202881.87,4.11,13.15,2.7,41.24,1.0,6830289.98,949239.0,652041.0,9943512.18,,,1917.0,0.0,,19599.0,,0.08,230.0,1031.0,,,0.0,1917.0,0.56,,9274.0,26.91,0.27,,,14.02,14.02,5819611.0,60961857.75,,162.37,14.22,21.86,0.2079,34.01,0.2144
2006-07-26,1429151.0,14807391.7,4.05,13.84,2.66,39.9,1.0,6261963.5,932862.0,604380.0,9665355.89,,,19.0,0.12,,,,1.16,5000.0,26397.0,,,0.12,19.0,,10000.0,52661.0,25.97,1.64,,,13.87,13.87,5793885.0,60030272.97,,159.43,14.01,20.17,0.2069,34.68,0.2125
2006-07-27,1424853.0,14817135.47,4.03,14.0,2.66,39.65,1.0,6212867.92,935736.0,597445.0,9730777.19,,,3703.0,,,,,0.02,,828.0,,,,3703.0,,,6935.0,25.98,0.2,,,13.91,13.91,5792108.0,60232493.37,,159.44,14.01,20.15,0.2094,35.01,0.2118
2006-07-28,1400373.0,14343861.21,3.96,14.03,2.61,38.93,1.0,5872635.86,935334.0,573338.0,9580519.67,,,17.0,,,,,0.03,,418.0,,,,17.0,,,24107.0,25.93,0.66,,,13.91,13.91,5787154.0,59277159.55,,157.95,14.1,19.52,0.2081,35.05,0.2083
2006-07-31,1398278.0,14221202.79,3.96,14.02,2.61,38.53,1.0,5774419.91,930669.0,567761.0,9465379.97,,,4358.0,0.13,,,,0.35,7316.0,9024.0,,,0.13,4358.0,,,12893.0,25.58,0.38,,,13.79,13.79,5817919.0,59171213.38,,157.56,13.97,20.29,0.2073,34.81,0.2072
2006-08-01,1343721.0,13620263.9,4.78,13.2,2.5,36.74,1.0,5174666.59,931676.0,510512.0,9443681.38,,,3350.0,,,,,0.15,,2343.0,,,,3350.0,,,57249.0,25.41,1.64,,,13.76,13.76,5837802.0,59173298.5,,157.26,13.91,18.7,0.2211,36.98,0.1985
2006-08-02,1274836.0,12994870.96,4.53,12.33,2.38,34.83,1.0,4695289.0,905980.0,460622.0,9234986.46,,,1307.0,,,,,0.75,,27003.0,,,,1307.0,,,49890.0,24.7,1.39,,,13.58,13.58,5767095.0,58786114.73,,155.7,13.69,17.16,0.2204,37.06,0.191
2006-08-03,1164597.0,11866728.24,4.14,10.58,2.17,32.06,1.0,3597056.49,902987.0,353014.0,9201038.07,,,,,,,,0.0,,2993.0,,,,,,,107608.0,24.8,2.88,,,13.62,13.62,5726842.0,58353986.56,,155.11,13.78,19.52,0.2495,41.83,0.1757
2006-08-04,1291269.0,13167297.24,4.59,11.8,2.41,35.29,1.0,4731693.6,918829.0,464020.0,9369461.01,,,5842.0,2.97,,,,,111006.0,,,,2.97,5842.0,,10000.0,,25.06,,,,13.77,13.77,5751674.0,58650831.98,,155.37,13.89,16.92,0.2169,36.75,0.1936
2006-08-07,1436953.0,14537916.74,5.11,13.12,2.68,39.05,1.0,5437641.98,981123.0,537466.0,9926201.13,,,44460.0,3.47,,,,0.28,130664.0,9901.0,,,3.47,44460.0,,27734.0,57218.0,26.62,1.6,,,14.66,14.66,5712840.0,57797848.84,,153.27,14.8,17.35,0.2113,37.19,0.2147
2006-08-08,1461261.0,14817242.47,5.19,13.59,2.72,39.55,1.0,5429645.74,1003315.0,535466.0,10173652.5,,,26827.0,,,,,0.21,,5995.0,,,,26827.0,,1359.0,2000.0,27.12,0.06,,,14.96,14.96,5704970.0,57848614.17,,152.96,15.06,16.9,0.2067,36.13,0.2178
2006-08-09,1426562.0,15215289.71,5.07,13.5,2.66,39.1,1.0,5829565.14,1005091.0,546571.0,10720004.28,,,66263.0,0.17,,14000.0,,1.51,800.0,65287.0,,,0.17,66263.0,0.39,800.0,3695.0,27.55,0.11,,,15.1,15.1,5653162.0,60294959.2,,156.72,14.95,16.36,0.2007,35.0,0.2143
2006-08-10,1436370.0,15177642.74,5.11,12.71,2.68,40.09,1.0,5775433.47,1016906.0,546571.0,10745306.55,,,19445.0,,,,,0.01,,7631.0,,,,19445.0,,,,28.38,,,,15.52,15.52,5535874.0,58495734.26,,153.92,15.57,16.74,0.2017,35.11,0.2192
2006-08-11,1449075.0,15195976.69,5.15,12.93,2.7,40.44,1.0,5889011.83,1014147.0,561571.0,10635028.67,,,1618.0,0.36,,,,0.12,15000.0,4376.0,,,0.36,1618.0,,,,28.28,,,,15.46,15.46,5544916.0,58147724.76,,153.32,15.58,16.41,0.1987,34.57,0.2209
2006-08-14,1199528.0,12830365.75,4.26,11.5,2.24,33.43,1.0,6006663.72,764661.0,561571.0,8178950.64,,,513.0,,,,,6.99,,250000.0,,,,513.0,,,,21.22,,,,11.65,11.65,5796245.0,61997671.84,,162.29,11.56,17.66,0.1562,20.99,0.1828
2006-08-15,1136128.0,11974791.64,4.04,10.98,2.12,31.81,1.0,5234818.58,765823.0,496662.0,8071776.12,,,4113.0,0.16,,,,0.03,7505.0,2951.0,,,0.16,4113.0,,,72414.0,21.4,1.99,,,11.67,11.67,5795661.0,61086279.82,,161.02,11.73,19.04,0.1663,22.87,0.1732
2006-08-16,1097146.0,11576458.96,3.9,10.81,2.04,30.5,1.0,5240494.21,744006.0,496662.0,7850327.05,,,3249.0,,,,,1.21,,40066.0,,,,3249.0,,15000.0,,20.59,,,,11.21,11.21,5890661.0,62154895.8,,163.39,11.19,18.79,0.166,22.82,0.1654
2006-08-17,1094636.0,11629198.52,3.89,10.74,2.04,30.53,1.0,5276439.84,741109.0,496662.0,7873396.9,,,,,,,,0.05,,2897.0,,,,,,,,20.61,,,,11.2,11.2,5875567.0,62420873.32,,163.85,11.18,18.83,0.166,22.68,0.1654
2006-08-18,1110238.0,11689223.7,3.95,11.13,2.07,30.95,1.0,5399390.01,740448.0,512832.0,7795862.07,,,27.0,0.18,,10006.0,,0.02,6164.0,688.0,,,0.18,27.0,0.28,,,20.63,,,,11.2,11.2,5869385.0,61796258.3,,162.73,11.25,18.44,0.1607,22.24,0.168
2006-08-21,1070334.0,11232397.59,3.81,11.46,1.99,29.69,1.0,4938886.69,745100.0,470626.0,7819297.01,,,4666.0,,,,,0.0,,14.0,,,,4666.0,,,42206.0,20.58,1.19,,,11.24,11.24,5881862.0,61725977.67,,162.44,11.24,19.4,0.1636,21.94,0.1615
2006-08-22,1041804.0,10932995.44,3.7,11.17,1.94,29.01,1.0,4642947.66,744724.0,442426.0,7815351.16,,,,,,,,0.0,,376.0,,,,,,,28200.0,20.69,0.79,,,11.25,11.25,5875661.0,61660902.56,,162.52,11.29,20.16,0.1643,21.35,0.1574
2006-08-23,1053057.0,10950805.61,3.74,11.5,1.96,28.72,1.0,4621509.78,754552.0,444416.0,7846633.44,,,9828.0,0.06,,,,,1990.0,,,,0.06,9828.0,,,,19.94,,,,11.13,11.13,6027695.0,62682377.31,,158.98,11.14,19.22,0.1624,21.51,0.1553
2006-08-24,1031236.0,10661037.04,3.67,11.47,1.92,27.95,1.0,4354672.77,755922.0,421225.0,7814809.07,,,1382.0,,,,,0.0,,12.0,,,,1382.0,,,23191.0,19.86,0.66,,,11.14,11.14,6031976.0,62359265.54,,158.18,11.15,19.84,0.1656,21.41,0.1519
2006-08-25,1000541.0,10465668.3,3.56,10.89,1.86,27.05,1.0,4150207.48,749683.0,396769.0,7841691.25,,,1311.0,,,,,0.2,,7551.0,,,,1311.0,,,24456.0,19.6,0.68,,,11.04,11.04,6043575.0,63215851.51,,159.58,10.94,21.01,0.1742,22.31,0.1473
2006-08-28,993014.0,10409631.22,3.53,10.91,1.85,26.99,1.0,4094659.29,748320.0,390605.0,7844537.17,,,25.0,,,,,0.0,,1388.0,,,,25.0,,,6164.0,19.69,0.17,,,11.05,11.05,6023471.0,63143230.41,,159.49,10.99,21.13,0.1771,22.58,0.1466
2006-08-29,981256.0,10342440.42,3.49,11.05,1.83,26.71,1.0,3998792.52,747775.0,379392.0,7881550.16,,,5.0,,,,,0.01,,550.0,,,,5.0,,,11213.0,19.69,0.3,,,11.05,11.05,6021714.0,63468878.94,,160.06,10.96,21.55,0.1828,22.95,0.145
2006-08-30,903827.0,9522895.75,3.21,10.94,1.68,25.15,1.0,3997347.35,670346.0,379392.0,7062894.86,,,,,,,,1.86,,77429.0,,,,,,,,18.57,,,,9.96,9.96,6063120.0,63882202.75,,167.94,9.96,22.29,0.1825,23.87,0.1342
2006-08-31,904015.0,9497328.1,3.21,11.8,1.68,25.17,1.0,3985785.97,670534.0,379392.0,7044442.18,,,193.0,,,,,0.0,,5.0,,,,193.0,,,,18.59,,,,9.96,9.96,6063371.0,63700075.54,,167.74,9.98,22.22,0.1825,23.93,0.1342
2006-09-01,894459.0,10054516.5,3.18,12.24,1.67,25.22,1.0,4264704.28,660978.0,379392.0,7429981.93,,,,,,,,0.19,,9556.0,,,,,,,,18.37,,,,9.85,9.85,6047098.0,67974772.02,,175.09,9.5,23.69,0.1839,23.72,0.1333
2006-09-04,877080.0,9885888.69,3.12,9.6,1.63,25.43,1.0,4167654.79,653235.0,369756.0,7362850.03,,,160.0,,,,,0.01,,7903.0,,,,160.0,,,9636.0,18.93,0.25,,,9.78,9.78,6028922.0,67954179.59,,175.99,9.71,23.46,0.1854,23.67,0.1313
