,MLASO FP Equity_PX_LAST
2025-07-31,69.5
2025-08-01,69.5
2025-08-04,69.5
2025-08-05,69.5
2025-08-06,69.5
2025-08-07,69.5
2025-08-08,69.5
2025-08-11,69.5
2025-08-12,69.5
2025-08-13,69.5
2025-08-14,69.5
2025-08-15,69.5
2025-08-18,69.5
2025-08-19,69.5
2025-08-20,69.5
2025-08-21,69.5
2025-08-22,69.5
2025-08-25,69.5
2025-08-26,69.5
2025-08-27,69.5
2025-08-28,69.5
2025-08-29,69.5
