,SBT FP Equity_DX_SI_QTY,SBT FP Equity_DX_SHORT_INTEREST_VALUE,SBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SBT FP Equity_DX_SI_MV,SBT FP Equity_DX_DSS,SBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SBT FP Equity_DX_SUPPLY_SI_QTY,SBT FP Equity_DX_BROKER_SI_QTY,SBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SBT FP Equity_DX_BROKER_SI_MV_NEW_x,SBT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SBT FP Equity_DX_SUPPLY_SI_QTY_INC_x,SBT FP Equity_DX_BROKER_SI_MV_INC_x,SBT FP Equity_DX_SUPPLY_SI_MV_NEW,SBT FP Equity_DX_BROKER_SI_QTY_ADD,SBT FP Equity_DX_BROKER_SI_QTY_NEW,SBT FP Equity_DX_SUPPLY_SI_MV_DEC,SBT FP Equity_DX_BROKER_SI_QTY_INC,SBT FP Equity_DX_SUPPLY_SI_QTY_DEC,SBT FP Equity_DX_BROKER_SI_MV_NEW_y,SBT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SBT FP Equity_DX_BROKER_SI_MV_INC_y,SBT FP Equity_DX_SUPPLY_SI_QTY_INC_y,SBT FP Equity_DX_BROKER_SI_MV_ADD,SBT FP Equity_DX_SUPPLY_SI_QTY_ADD,SBT FP Equity_DX_BROKER_SI_QTY_DEC,SBT FP Equity_DX_SUPPLY_SI_MV,SBT FP Equity_DX_BROKER_SI_MV_DEC,SBT FP Equity_DX_SUPPLY_SI_MV_RMV,SBT FP Equity_DX_BROKER_SI_MV_RMV,SBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SBT FP Equity_DX_UTILIZATION_QUANTITY,SBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SBT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SBT FP Equity_DX_ACTIVE_UTILIZATION_MV,SBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SBT FP Equity_DX_BROKER_SI_CON_RATIO,SBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SBT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,221000.0,400450.32,1.02,1.04,0.52,0.44,0.0,400450.32,12341.0,221000.0,22361.8,,,,,,,,0.0,,234.0,,,,,,,,0.02,,,,1.31,1.31,931105.0,1687155.2,,1.88,1.3,9.58,0.8268,90.42,0.2342
2006-03-22,221000.0,451211.63,1.02,0.83,0.52,0.45,0.0,451211.63,13944.0,221000.0,28469.21,,,1603.0,,,,,,,,,,,1603.0,,,,0.03,,,,1.42,1.42,966913.0,1974128.48,,2.24,1.26,10.56,0.8111,89.44,0.2253
2006-03-29,221000.0,428651.05,1.02,0.79,0.52,0.45,0.0,428651.05,13629.0,221000.0,26434.77,,,,,,,,0.0,,315.0,,,,,,,,0.03,,,,1.4,1.4,957608.0,1857374.1,,2.17,1.27,10.1,0.8184,89.9,0.2275
2006-04-05,221000.0,453091.68,1.02,0.86,0.52,0.51,0.0,453091.68,12786.0,221000.0,26213.71,,,,,,,,0.0,,843.0,,,,,,,,0.03,,,,1.34,1.34,944375.0,1936146.86,,2.27,1.28,9.49,0.8283,90.51,0.2309
2006-04-12,201000.0,386439.28,0.93,0.89,0.47,0.46,0.0,386439.28,12559.0,201000.0,24145.73,,,,,,,,0.0,,227.0,,,,,,,20000.0,0.03,0.05,,,1.31,1.31,947493.0,1821634.41,,2.21,1.28,,1.0,100.0,0.2094
2006-04-19,201000.0,384729.38,0.93,0.97,0.47,0.46,0.0,384729.38,12025.0,201000.0,23016.77,,,,,,,,0.0,,534.0,,,,,,,,0.03,,,,1.27,1.27,937943.0,1795294.65,,2.1,1.29,,1.0,100.0,0.2116
2006-04-26,201000.0,376179.83,0.93,1.05,0.47,0.46,0.0,376179.83,11802.0,201000.0,22087.93,,,,,,,,0.0,,223.0,,,,,,,,0.03,,,,1.24,1.24,940302.0,1759814.18,,2.11,1.26,,1.0,100.0,0.2111
2006-05-03,48000.0,84525.62,0.22,0.31,0.11,0.11,0.0,84525.62,11130.0,48000.0,19599.38,,,,,,,,0.0,,671.0,,,,,,,153000.0,0.03,0.35,,,1.18,1.18,934378.0,1645393.29,,2.01,1.23,,1.0,100.0,0.0508
2006-05-10,114000.0,208506.73,0.53,1.05,0.27,0.25,0.0,208506.73,11342.0,114000.0,20744.59,,,212.0,,,66000.0,,,,,,,,212.0,0.14,,,0.02,,,,6.42,1.19,165310.0,302353.05,,0.0,0.0,43.42,0.5087,56.58,0.1198
2006-05-17,114000.0,204627.54,0.53,1.34,0.27,0.25,0.0,204627.54,11320.0,114000.0,20319.16,,,,,,,,0.0,,22.0,,,,,,,,0.02,,,,6.55,1.19,161425.0,289754.39,,0.0,0.0,43.26,0.5091,56.74,0.1203
2006-05-24,114000.0,187171.16,0.53,1.46,0.27,0.25,0.0,187171.16,0.0,114000.0,0.0,,,,,,,,0.02,,11320.0,,,,,,,,0.0,,,,0.0,0.0,144922.0,237940.52,,0.0,0.0,43.03,0.5097,56.97,0.1239
2006-05-31,133223.0,219865.82,0.61,1.95,0.31,0.27,0.0,210062.68,17627.0,127283.0,29090.88,,,,,,13283.0,,,,,,,,,0.03,17627.0,,0.04,,,,10.41,1.87,151670.0,250309.99,,0.0,0.0,36.36,0.4312,53.78,0.1411
2006-06-07,132956.0,202459.31,0.61,2.05,0.31,0.27,0.0,193820.72,16858.0,127283.0,25670.59,,,,,,,,0.0,,769.0,,,,,,,,0.03,,,,1.8,1.8,919843.0,1400694.79,,1.7,1.98,36.31,0.4371,54.47,0.1419
2006-06-14,102855.0,150497.97,0.47,1.76,0.24,0.21,0.0,142696.16,15812.0,97523.0,23136.2,,,,,,,,0.0,,1047.0,,,,,,,29760.0,0.03,0.06,,,1.71,1.71,911167.0,1333224.24,,1.71,1.83,16.85,0.5535,71.53,0.111
2006-06-21,103036.0,153392.39,0.48,1.91,0.24,0.21,0.0,145185.04,16367.0,97523.0,24365.98,,,555.0,,,,,,,,,,,555.0,,,,0.03,,,,10.6,10.6,138084.0,205569.26,,0.28,10.6,16.97,0.5503,71.25,0.6671
2006-06-28,102909.0,175089.51,0.47,1.81,0.24,0.21,0.0,165925.76,5386.0,97523.0,9163.75,,,,,,,,0.02,,10981.0,,,,,,,,0.01,,,,3.38,0.58,153807.0,261687.43,,0.0,0.0,17.23,0.5316,69.61,0.1102
2006-07-03,84982.0,140973.78,0.39,1.3,0.2,0.18,0.0,131519.9,5699.0,79283.0,9453.88,,,313.0,,,,,,,,,,,313.0,,,18240.0,0.01,0.03,,,3.62,0.61,151738.0,251713.05,,0.0,0.0,15.56,0.7372,84.44,0.0911
2006-07-04,135184.0,224252.18,0.62,2.17,0.32,0.28,0.0,214463.21,55901.0,129283.0,92732.29,,,202.0,,,50000.0,,,,,,,,202.0,0.1,50000.0,,0.11,,,,5.95,5.95,883137.0,1465006.21,,1.4,7.24,36.89,0.4299,53.31,0.144
2006-07-05,135241.0,218594.26,0.62,2.24,0.32,0.28,0.0,208964.16,55958.0,129283.0,90446.66,,,57.0,,,,,,,,,,,57.0,,,,0.11,,,,5.9,5.9,892300.0,1442252.39,,1.37,7.26,37.03,0.4313,53.39,0.1426
2006-07-06,135133.0,220718.85,0.62,2.26,0.32,0.27,0.0,211163.78,55850.0,129283.0,91222.33,,,,,,,,0.0,,109.0,,,,,,,,0.11,,,,5.89,5.89,892496.0,1457754.13,,1.37,7.24,36.39,0.4319,53.84,0.1425
2006-07-07,135171.0,218481.11,0.62,2.28,0.32,0.27,0.0,208964.16,55888.0,129283.0,90333.52,,,38.0,,,,,,,,,,,38.0,,,,0.11,,,,5.89,5.89,892864.0,1443164.0,,1.37,7.24,36.67,0.432,53.69,0.1425
2006-07-10,135137.0,218426.16,0.62,2.3,0.32,0.27,0.0,208964.16,55854.0,129283.0,90278.57,,,,,,,,0.0,,34.0,,,,,,,,0.11,,,,5.88,5.88,893538.0,1444253.41,,1.37,7.24,36.42,0.4326,53.9,0.1423
2006-07-11,135148.0,212695.41,0.62,2.35,0.32,0.27,0.0,203465.1,55865.0,129283.0,87920.13,,,12.0,,,,,,,,,,,12.0,,,,0.11,,,,5.89,5.89,891896.0,1403662.56,,1.37,7.24,36.51,0.4343,54.04,0.1426
2006-07-12,134984.0,217030.55,0.62,2.35,0.32,0.27,0.0,207864.34,35701.0,129283.0,57400.93,,,,,,,,0.04,,20165.0,,,,,,,,0.07,,,,3.8,3.8,903608.0,1452842.86,,1.4,4.64,35.83,0.4343,54.45,0.1437
2006-07-13,135136.0,206928.51,0.62,2.41,0.32,0.27,0.0,197966.04,35853.0,129283.0,54900.31,,,153.0,,,,,,,,,,,153.0,,,,0.07,,,,3.89,3.89,885727.0,1356279.39,,1.29,4.82,36.49,0.4363,54.28,0.1466
2006-07-14,114931.0,172078.51,0.53,2.04,0.27,0.23,0.0,163622.13,35648.0,109283.0,53373.37,,,,,,,,0.0,,206.0,,,,,,,20000.0,0.06,0.04,,,3.78,3.78,906843.0,1357755.42,,1.3,4.68,24.78,0.4889,64.5,0.1219
2006-07-17,114881.0,167117.18,0.53,2.13,0.27,0.23,0.0,158973.78,35598.0,109283.0,51784.34,,,,,,,,0.0,,50.0,,,,,,,,0.06,,,,3.77,3.77,908538.0,1321648.54,,1.26,4.68,24.43,0.494,65.06,0.1217
2006-07-18,114760.0,166941.16,0.53,2.09,0.27,0.23,0.0,158973.78,35477.0,109283.0,51608.33,,,,,,,,0.0,,121.0,,,,,,,,0.06,,,,3.75,3.75,909917.0,1323654.57,,1.26,4.66,23.91,0.4975,65.51,0.1214
2006-07-19,114769.0,165977.91,0.53,2.11,0.27,0.22,0.0,158044.11,35486.0,109283.0,51319.54,,,9.0,,,,,,,,,,,9.0,,,,0.06,,,,3.81,3.81,897044.0,1297297.08,,1.26,4.66,23.92,0.498,65.55,0.1231
2006-07-20,114763.0,164016.65,0.53,2.09,0.27,0.22,0.0,156184.76,35480.0,109283.0,50707.2,,,,,,,,0.0,,6.0,,,,,,,,0.06,,,,3.8,3.8,897715.0,1282993.74,,1.24,4.67,23.84,0.4997,65.72,0.123
2006-07-21,114683.0,163902.32,0.53,2.15,0.27,0.22,0.0,156184.76,35400.0,109283.0,50592.87,,,,,,,,0.0,,80.0,,,,,,,,0.06,,,,3.79,3.79,897947.0,1283325.31,,1.24,4.66,23.63,0.5012,65.91,0.1229
2006-07-24,114666.0,165828.95,0.53,2.12,0.27,0.22,0.0,158044.11,35383.0,109283.0,51170.58,,,,,,,,0.0,,18.0,,,,,,,,0.06,,,,3.79,3.79,897549.0,1298027.41,,1.26,4.65,23.6,0.5002,65.83,0.1229
2006-07-25,114745.0,165943.2,0.53,2.12,0.27,0.22,0.0,158044.11,35462.0,109283.0,51284.83,,,79.0,,,,,,,,,,,79.0,,,,0.06,,,,3.8,3.8,897046.0,1297299.97,,1.26,4.66,23.81,0.4987,65.64,0.1231
2006-07-26,114754.0,164980.0,0.53,2.24,0.27,0.22,0.0,157114.43,35471.0,109283.0,50996.09,,,9.0,,,,,,,,,,,9.0,,,,0.06,,,,3.78,3.78,903739.0,1299291.21,,1.25,4.66,23.83,0.4992,65.68,0.1222
2006-07-27,114655.0,169714.53,0.53,2.31,0.27,0.22,0.0,161762.79,35372.0,109283.0,52358.31,,,,,,,,0.0,,99.0,,,,,,,,0.06,,,,3.77,3.77,902998.0,1336634.94,,1.29,4.63,23.65,0.4975,65.57,0.1222
2006-07-28,114753.0,175716.82,0.53,2.46,0.27,0.23,0.0,167340.82,35470.0,109283.0,54313.83,,,98.0,,,,,,,,,,,98.0,,,,0.06,,,,3.79,3.79,900724.0,1379243.71,,1.33,4.63,24.09,0.4911,64.88,0.1226
2006-07-31,114904.0,174970.55,0.53,2.48,0.27,0.23,0.0,166411.15,35621.0,109283.0,54242.03,,,151.0,,,,,,,,,,,151.0,,,,0.06,,,,3.8,3.8,900602.0,1371395.47,,1.32,4.66,24.73,0.4875,64.38,0.1227
2006-08-01,114925.0,170114.19,0.53,2.5,0.27,0.23,0.0,161762.79,35642.0,109283.0,52757.97,,,21.0,,,,,,,,,,,21.0,,,,0.06,,,,3.8,3.8,901950.0,1335083.67,,1.29,4.68,24.7,0.4905,64.67,0.1226
2006-08-02,114684.0,183416.1,0.53,2.5,0.27,0.23,0.0,174778.19,35401.0,109283.0,56617.43,,,,,,,,0.0,,241.0,,,,,,,,0.07,,,,3.85,3.85,884479.0,1414562.52,,1.36,4.69,23.97,0.4874,64.56,0.1247
2006-08-03,115027.0,182007.59,0.53,1.85,0.27,0.23,0.0,172918.84,35744.0,109283.0,56557.85,,,343.0,,,,,,,,,,,343.0,,,,0.07,,,,18.82,3.89,154211.0,244008.56,,0.0,120.51,25.44,0.4793,63.41,0.125
2006-08-04,114990.0,180970.83,0.53,1.78,0.27,0.23,0.0,171989.17,35707.0,109283.0,56195.54,,,,,,,,0.0,,37.0,,,,,,,,0.07,,,,18.69,3.88,155385.0,244544.33,,0.0,120.41,25.25,0.4809,63.62,0.1248
2006-08-07,114967.0,180934.63,0.53,1.71,0.27,0.23,0.0,171989.17,35684.0,109283.0,56159.34,,,,,,,,0.0,,23.0,,,,,,,,0.07,,,,18.64,3.87,155781.0,245167.55,,0.0,120.31,25.15,0.4816,63.71,0.1248
2006-08-08,114967.0,180934.63,0.53,1.79,0.27,0.23,0.0,171989.17,35684.0,109283.0,56159.34,,,,,,,,,,,,,,,,,,0.07,,,,18.62,3.87,155912.0,245373.72,,0.0,120.31,25.15,0.4816,63.71,0.1247
2006-08-09,114958.0,181898.42,0.53,1.95,0.27,0.23,0.0,172918.84,35675.0,109283.0,56448.67,,,,,,,,0.0,,9.0,,,,,,,,0.07,,,,18.7,3.87,155120.0,245446.88,,0.0,120.2,25.14,0.4811,63.67,0.1248
2006-08-10,114981.0,181934.81,0.53,2.55,0.27,0.23,0.0,172918.84,35698.0,109283.0,56485.06,,,23.0,,,,,,,,,,,23.0,,,,0.07,,,,73.99,4.59,12547.0,19853.16,,0.0,120.3,25.24,0.4806,63.59,0.1477
2006-08-11,114999.0,180006.7,0.53,2.72,0.27,0.23,0.0,171059.5,35716.0,109283.0,55905.87,,,18.0,,,,,,,,,,,18.0,,,,0.07,,,,73.94,4.59,12585.0,19699.16,,0.0,120.52,25.27,0.4814,63.66,0.1478
2006-08-14,114882.0,180800.86,0.53,2.77,0.27,0.23,0.0,171989.17,15599.0,109283.0,24549.65,,,,,,,,0.04,,20117.0,,,,,,,,0.03,,,,55.88,2.06,12319.0,19387.6,,0.0,160.6,25.05,0.4822,63.8,0.1516
2006-08-15,84684.0,134716.17,0.39,2.13,0.2,0.18,0.0,126124.21,5401.0,79283.0,8591.97,,,,,,,,0.02,,10198.0,,,,,,,30000.0,0.01,0.06,,,0.69,0.69,771888.0,1227927.34,,1.45,0.77,15.02,0.7448,84.98,0.1089
2006-08-16,84714.0,139087.87,0.39,2.17,0.2,0.18,0.0,130170.97,5431.0,79283.0,8916.9,,,30.0,,,,,,,,,,,30.0,,,,0.01,,,,0.7,0.7,771962.0,1267447.57,,1.49,0.76,15.42,0.7391,84.58,0.109
2006-08-17,84903.0,140120.46,0.39,2.16,0.2,0.18,0.0,130845.44,5620.0,79283.0,9275.02,,,189.0,,,,,,,,,,,189.0,,,,0.01,,,,0.72,0.72,772316.0,1274598.89,,1.5,0.78,15.49,0.7382,84.51,0.1091
2006-08-18,84945.0,138021.89,0.39,2.15,0.2,0.18,0.0,128822.05,5662.0,79283.0,9199.83,,,41.0,,,,,,,,,,,41.0,,,,0.01,,,,0.73,0.73,772411.0,1255042.96,,1.48,0.8,15.29,0.741,84.71,0.1092
2006-08-21,84852.0,139314.45,0.39,2.13,0.2,0.18,0.0,130170.97,5569.0,79283.0,9143.48,,,,,,,,0.0,,92.0,,,,,,,,0.01,,,,0.72,0.72,772195.0,1267830.13,,1.49,0.78,15.42,0.7391,84.58,0.1091
2006-08-22,84917.0,137976.39,0.39,2.1,0.2,0.18,0.0,128822.05,5634.0,79283.0,9154.34,,,64.0,,,,,,,,,,,64.0,,,,0.01,,,,0.72,0.72,772346.0,1254937.34,,1.48,0.79,15.29,0.741,84.71,0.1092
2006-08-23,84866.0,137171.57,0.39,2.1,0.2,0.18,0.0,128147.59,5583.0,79283.0,9023.98,,,,,,,,0.0,,51.0,,,,,,,,0.01,,,,0.6,0.6,922079.0,1490385.12,,1.78,0.65,15.22,0.7419,84.78,0.0915
2006-08-24,77307.0,126269.02,0.36,1.92,0.18,0.16,0.0,117288.89,5498.0,71809.0,8980.13,,,,,,,,0.0,,84.0,,,,,,,7474.0,0.01,0.01,,,3.32,0.59,160103.0,261503.48,,0.0,0.0,7.35,0.8638,92.65,0.0835
2006-08-25,77375.0,122430.71,0.36,1.96,0.18,0.16,0.0,113623.61,5566.0,71809.0,8807.1,,,68.0,,,,,,,,,,,68.0,,,,0.01,,,,3.35,0.6,160761.0,254372.65,,0.0,0.0,7.14,0.8674,92.86,0.0835
2006-08-28,77184.0,121471.89,0.36,1.96,0.18,0.16,0.0,113012.73,5375.0,71809.0,8459.15,,,,,,,,0.0,,191.0,,,,,,,,0.01,,,,3.24,0.58,160598.0,252748.53,,0.0,0.0,7.1,0.8681,92.9,0.0834
2006-08-29,77149.0,124042.03,0.36,2.01,0.18,0.16,0.0,115456.25,5339.0,71809.0,8584.17,,,,,,,,0.0,,36.0,,,,,,,,0.01,,,,3.23,0.58,160188.0,257554.15,,0.0,0.0,7.24,0.8656,92.76,0.0834
2006-08-30,11993.0,18976.56,0.06,0.3,0.03,0.02,0.0,9191.6,6184.0,5809.0,9784.96,,,844.0,,,,,,,,,,,844.0,,,66000.0,0.01,0.14,,,0.65,0.65,940364.0,1487941.0,,1.75,0.65,,1.0,100.0,0.0127
2006-08-31,11834.0,18926.32,0.05,0.31,0.03,0.02,0.0,9290.43,6025.0,5809.0,9635.89,,,,,,,,0.0,,158.0,,,,,,,,0.01,,,,0.64,0.64,938505.0,1500967.24,,1.76,0.64,,1.0,100.0,0.0125
2006-09-01,11995.0,18877.69,0.06,0.31,0.03,0.02,0.0,9142.18,6186.0,5809.0,9735.5,,,160.0,,,,,,,,,,,160.0,,,,0.01,,,,0.65,0.65,941312.0,1481433.28,,1.74,0.65,,1.0,100.0,0.0127
2006-09-04,11740.0,18975.73,0.05,0.31,0.03,0.02,0.0,9389.27,5931.0,5809.0,9586.46,,,,,,,,0.0,,254.0,,,,,,,,0.01,,,,0.63,0.63,935999.0,1512884.45,,1.78,0.63,,1.0,100.0,0.0125
2006-09-05,11647.0,19717.14,0.05,0.3,0.03,0.02,0.0,9834.02,5838.0,5809.0,9883.12,,,,,,,,0.0,,93.0,,,,,,,,0.01,,,,0.63,0.63,928015.0,1571031.33,,1.85,0.63,,1.0,100.0,0.0125
2006-09-06,11879.0,20210.95,0.05,0.28,0.03,0.02,0.0,9883.44,6070.0,5809.0,10327.51,,,232.0,,,,,,,,,,,232.0,,,,0.01,,,,0.64,0.64,936603.0,1593537.59,,1.87,0.64,,1.0,100.0,0.0126
2006-09-07,12033.0,20063.5,0.06,0.28,0.03,0.02,0.0,9685.77,6224.0,5809.0,10377.73,,,153.0,,,,,,,,,,,153.0,,,,0.01,,,,0.66,0.66,937963.0,1563934.47,,1.87,0.65,,1.0,100.0,0.0127
2006-09-08,11883.0,19914.49,0.05,0.27,0.03,0.02,0.0,9735.19,6074.0,5809.0,10179.3,,,,,,,,0.0,,149.0,,,,,,,,0.01,,,,0.64,0.64,936634.0,1569686.48,,1.85,0.64,,1.0,100.0,0.0126
2006-09-11,12008.0,19817.51,0.06,0.27,0.03,0.02,0.0,9586.94,6199.0,5809.0,10230.58,,,124.0,,,,,,,,,,,124.0,,,,0.01,,,,0.66,0.66,939082.0,1549822.71,,1.82,0.66,,1.0,100.0,0.0127
2006-09-12,11918.0,19668.98,0.06,0.27,0.03,0.02,0.0,9586.94,6109.0,5809.0,10082.04,,,,,,,,0.0,,90.0,,,,,,,,0.01,,,,0.65,0.65,939914.0,1551195.8,,1.82,0.65,,1.0,100.0,0.0126
2006-09-13,11981.0,19569.11,0.06,0.27,0.03,0.02,0.0,9488.1,6172.0,5809.0,10081.01,,,64.0,,,,,,,,,,,64.0,,,,0.01,,,,0.65,0.65,936810.0,1530134.19,,1.8,0.65,,1.0,100.0,0.0127
2006-09-14,11889.0,19519.98,0.05,0.43,0.03,0.02,0.0,9537.52,6080.0,5809.0,9982.46,,,,,,,,0.0,,92.0,,,,,,,,0.01,,,,0.65,0.65,936268.0,1537213.76,,1.81,0.65,,1.0,100.0,0.0126
2006-09-15,11919.0,19569.24,0.06,0.48,0.03,0.02,0.0,9537.52,6110.0,5809.0,10031.72,,,30.0,,,,,,,,,,,30.0,,,,0.01,,,,0.65,0.65,936608.0,1537771.99,,1.81,0.65,,1.0,100.0,0.0126
2006-09-18,11951.0,19520.11,0.06,0.54,0.03,0.02,0.0,9488.1,6142.0,5809.0,10032.01,,,32.0,,,,,,,,,,,32.0,,,,0.01,,,,0.65,0.65,936931.0,1530331.83,,1.8,0.65,,1.0,100.0,0.0127
2006-09-19,11590.0,20015.03,0.05,0.54,0.03,0.02,0.0,10031.69,5781.0,5809.0,9983.34,,,,,,,,0.0,,361.0,,,,,,,,0.01,,,,0.62,0.62,927794.0,1602228.2,,1.88,0.62,,1.0,100.0,0.0124
2006-09-20,11996.0,20410.01,0.06,0.5,0.03,0.02,0.0,9883.44,6187.0,5809.0,10526.57,,,406.0,,,,,,,,,,,406.0,,,,0.01,,,,0.66,0.66,937621.0,1595269.62,,1.88,0.66,,1.0,100.0,0.0127
2006-09-21,11848.0,20359.79,0.05,0.48,0.03,0.02,0.0,9982.27,6039.0,5809.0,10377.51,,,,,,,,0.0,,147.0,,,,,,,,0.01,,,,0.64,0.64,935353.0,1607324.95,,1.89,0.64,,1.0,100.0,0.0126
2006-09-22,11967.0,20360.67,0.06,0.49,0.03,0.02,0.0,9883.44,6158.0,5809.0,10477.23,,,118.0,,,,,,,,,,,118.0,,,,0.01,,,,0.65,0.65,937303.0,1594728.57,,1.87,0.65,,1.0,100.0,0.0127
