,ALKKO FP Equity_DX_SI_QTY,ALKKO FP Equity_DX_SHORT_INTEREST_VALUE,ALKKO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALKKO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALKKO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALKKO FP Equity_DX_SI_MV,ALKKO FP Equity_DX_DSS,ALKKO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALKKO FP Equity_DX_SUPPLY_SI_QTY,ALKKO FP Equity_DX_BROKER_SI_QTY,ALKKO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALKKO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALKKO FP Equity_DX_BROKER_SI_MV_INC_x,ALKKO FP Equity_DX_BROKER_SI_QTY_ADD,ALKKO FP Equity_DX_SUPPLY_SI_MV_DEC,ALKKO FP Equity_DX_BROKER_SI_QTY_INC,ALKKO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALKKO FP Equity_DX_BROKER_SI_MV_INC_y,ALKKO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALKKO FP Equity_DX_BROKER_SI_MV_ADD,ALKKO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALKKO FP Equity_DX_BROKER_SI_QTY_DEC,ALKKO FP Equity_DX_SUPPLY_SI_MV,ALKKO FP Equity_DX_BROKER_SI_MV_DEC,ALKKO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALKKO FP Equity_DX_UTILIZATION_QUANTITY,ALKKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALKKO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALKKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALKKO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALKKO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALKKO FP Equity_DX_BROKER_SI_CON_RATIO,ALKKO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALKKO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALKKO FP Equity_PX_LAST
2015-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2015-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2015-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2015-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2015-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2015-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2015-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2015-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2015-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2015-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77
2015-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2015-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83
2015-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
2015-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69
2015-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63
2015-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2015-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2015-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2015-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69
2015-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2015-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79
2016-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2016-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2016-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81
2016-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79
2016-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81
2016-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2016-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2016-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67
2016-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2016-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2016-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64
2016-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2016-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2016-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97
2016-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2016-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2016-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2016-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2016-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2016-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61
2016-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61
2016-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2016-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2016-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78
2016-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78
2016-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2016-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2016-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2016-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2016-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2016-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2016-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2016-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57
2016-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2016-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2016-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2016-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2016-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2016-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2016-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2016-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51
2016-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23
2016-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2016-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2016-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2016-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61
2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2016-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2016-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63
2016-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2016-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69
2016-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
2016-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2016-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2016-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2016-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2016-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36
2016-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2016-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2016-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2016-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43
2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43
2016-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2016-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2016-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2016-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2016-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2016-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2016-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2016-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2016-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2016-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
2016-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2016-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
2016-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
2016-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2016-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2016-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
2016-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2016-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24
2016-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2016-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
2016-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21
2016-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21
2016-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2016-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2016-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2016-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2016-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17
2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2016-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18
2016-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18
2016-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
2016-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2016-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2016-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
2016-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2016-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2016-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2016-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2016-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2016-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2016-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2016-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2016-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2016-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2016-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2016-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2016-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05
2016-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2016-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2016-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2016-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2016-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2016-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2016-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2016-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32
2016-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2016-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53
2016-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2016-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2016-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2016-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2016-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2016-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2016-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2016-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2016-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2016-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2016-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2016-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2016-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2016-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2016-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2016-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2016-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2016-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2016-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2016-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2016-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2016-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2016-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
2016-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2016-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2016-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2016-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2016-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2016-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2016-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
2016-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2016-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
