,CHIP FP Equity_DX_SI_QTY,CHIP FP Equity_DX_SHORT_INTEREST_VALUE,CHIP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CHIP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CHIP FP Equity_DX_SI_MV,CHIP FP Equity_DX_DSS,CHIP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CHIP FP Equity_DX_SUPPLY_SI_QTY,CHIP FP Equity_DX_BROKER_SI_QTY,CHIP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CHIP FP Equity_DX_BROKER_SI_MV_NEW_x,CHIP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CHIP FP Equity_DX_SUPPLY_SI_QTY_INC_x,CHIP FP Equity_DX_BROKER_SI_MV_INC_x,CHIP FP Equity_DX_SUPPLY_SI_MV_NEW,CHIP FP Equity_DX_BROKER_SI_QTY_ADD,CHIP FP Equity_DX_BROKER_SI_QTY_NEW,CHIP FP Equity_DX_SUPPLY_SI_MV_DEC,CHIP FP Equity_DX_BROKER_SI_QTY_INC,CHIP FP Equity_DX_SUPPLY_SI_QTY_DEC,CHIP FP Equity_DX_BROKER_SI_MV_NEW_y,CHIP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CHIP FP Equity_DX_BROKER_SI_MV_INC_y,CHIP FP Equity_DX_SUPPLY_SI_QTY_INC_y,CHIP FP Equity_DX_BROKER_SI_MV_ADD,CHIP FP Equity_DX_SUPPLY_SI_QTY_ADD,CHIP FP Equity_DX_BROKER_SI_QTY_DEC,CHIP FP Equity_DX_SUPPLY_SI_MV,CHIP FP Equity_DX_BROKER_SI_MV_DEC,CHIP FP Equity_DX_SUPPLY_SI_MV_RMV,CHIP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CHIP FP Equity_DX_UTILIZATION_QUANTITY,CHIP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CHIP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CHIP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CHIP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CHIP FP Equity_DX_ACTIVE_UTILIZATION_MV,CHIP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CHIP FP Equity_DX_BROKER_SI_CON_RATIO,CHIP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CHIP FP Equity_DX_DEMAND_SUPPLY_RATIO,CHIP FP Equity_PX_LAST
2008-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2008-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23
2008-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2008-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18
2008-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2008-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23
2008-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2008-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95
2008-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79
2008-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71
2008-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2008-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.69
2008-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67
2008-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81
2008-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61
2008-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2008-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41
2008-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47
2008-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31
2008-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2008-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41
2008-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2008-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
2008-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96
2008-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97
2008-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2008-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2008-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01
2008-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84
2008-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2008-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2008-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38
2008-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48
2008-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72
2008-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2008-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81
2008-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02
2008-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99
2008-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2008-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99
2008-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2008-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81
2008-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2008-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67
2008-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76
2008-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2008-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84
2008-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2008-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2008-08-12,10000.0,58106.64,0.48,0.57,0.06,,58106.64,0.0,10000.0,0.0,,,,,,10000.0,,,,,,,,,0.06,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.32
2008-08-13,30000.0,173492.46,1.4,1.71,0.19,,173492.46,0.0,30000.0,0.0,,,,0.13,,,,,20000.0,,,,0.13,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.29
2008-08-14,30000.0,174871.57,1.43,1.71,0.19,,174871.57,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.34
2008-08-15,30000.0,173216.63,1.55,1.71,0.19,,173216.63,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.28
2008-08-18,30000.0,167424.36,1.5,1.71,0.19,,167424.36,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.07
2008-08-19,30000.0,166045.25,1.58,1.71,0.18,,166045.25,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.02
2008-08-20,30000.0,169906.76,1.49,1.71,0.18,,169906.76,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.16
2008-08-21,30000.0,163287.02,1.49,1.71,0.18,,163287.02,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.92
2008-08-22,30000.0,166045.25,1.49,1.71,0.18,,166045.25,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.02
2008-08-25,30000.0,165217.78,1.51,1.71,0.18,,165217.78,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.99
2008-08-26,30000.0,166872.71,1.49,1.71,0.18,,166872.71,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.05
2008-08-27,30000.0,166872.71,1.59,1.71,0.18,,166872.71,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-08-28,30000.0,166872.71,1.63,1.71,0.18,,166872.71,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-08-29,30000.0,167148.54,1.66,1.71,0.15,,167148.54,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.06
2008-09-01,30000.0,167148.54,1.79,1.71,0.18,,167148.54,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-09-02,30000.0,167148.54,1.91,1.71,0.18,,167148.54,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-09-03,30000.0,159149.68,1.91,1.71,0.18,,159149.68,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.77
2008-09-04,30000.0,151978.29,1.9,1.71,0.17,,151978.29,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.51
2008-09-05,30000.0,148944.24,1.82,1.71,0.17,,148944.24,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.4
2008-09-08,30000.0,161356.26,1.83,1.71,0.16,,161356.26,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.85
2008-09-09,30000.0,158873.86,1.75,1.71,0.18,,158873.86,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.76
2008-09-10,30000.0,157494.74,1.8,1.71,0.17,,157494.74,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.71
2008-09-11,30000.0,157494.74,1.79,1.71,0.17,,157494.74,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-09-12,30000.0,157494.74,1.83,1.71,0.17,,157494.74,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-09-15,30000.0,147840.95,1.83,1.71,0.15,,147840.95,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.36
2008-09-16,30000.0,142324.5,1.83,1.71,0.16,,142324.5,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.16
2008-09-17,30000.0,141221.21,1.74,1.71,0.15,,141221.21,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.12
2008-09-18,30000.0,137083.87,1.88,1.71,0.15,,137083.87,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.97
2008-09-19,30000.0,152805.76,1.8,1.71,0.15,,152805.76,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.54
2008-09-22,30000.0,152805.76,1.57,1.71,0.17,,152805.76,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-09-23,30000.0,147565.13,1.6,1.71,0.16,,147565.13,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.35
2008-09-24,30000.0,145910.19,1.63,1.71,0.16,,145910.19,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.29
2008-09-25,30000.0,148392.59,1.6,1.71,0.16,,148392.59,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.38
2008-09-26,30000.0,144531.08,1.62,1.71,0.16,,144531.08,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.24
2008-09-29,30000.0,138738.8,1.62,1.71,0.16,,138738.8,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.03
2008-09-30,30000.0,140393.74,1.52,1.71,0.15,,140393.74,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.09
2008-10-01,30000.0,140393.74,1.67,1.71,0.15,,140393.74,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-10-02,30000.0,144531.08,1.67,1.71,0.15,,144531.08,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.24
2008-10-03,30000.0,147289.3,1.61,1.71,0.16,,147289.3,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.34
2008-10-06,30000.0,138738.8,1.55,1.71,0.16,,138738.8,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,5.03
2008-10-07,30000.0,137359.69,1.44,1.71,0.15,,137359.69,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.98
2008-10-08,30000.0,131015.77,1.44,1.71,0.15,,131015.77,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.75
2008-10-09,30000.0,129360.83,1.42,1.71,0.14,,129360.83,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.69
2008-10-10,30000.0,129360.83,1.39,1.71,0.14,,129360.83,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-10-13,30000.0,131843.23,1.39,1.71,0.11,,131843.23,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.78
2008-10-14,30000.0,132119.06,1.37,1.71,0.11,,132119.06,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.79
2008-10-15,30000.0,132119.06,1.29,1.71,0.11,,132119.06,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-10-16,30000.0,131843.23,1.3,1.71,0.11,,131843.23,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.78
2008-10-17,30000.0,131843.23,1.23,1.71,0.11,,131843.23,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-10-20,30000.0,126326.78,1.35,1.71,0.11,,126326.78,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.58
2008-10-21,30000.0,127154.25,1.37,1.71,0.1,,127154.25,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.61
2008-10-22,58350.0,246242.06,2.43,3.33,0.27,,246242.06,0.0,58350.0,0.0,,,,0.16,,,,,28350.0,,,,0.16,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.59
2008-10-23,58350.0,239804.36,2.34,3.33,0.27,,239804.36,0.0,58350.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.47
2008-10-24,58350.0,229611.34,2.34,3.33,0.26,,229611.34,0.0,58350.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.28
2008-10-27,58350.0,229611.34,2.29,3.33,0.25,,229611.34,0.0,58350.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2008-10-28,58350.0,236585.51,2.32,3.33,0.26,,236585.51,0.0,58350.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.41
2008-10-29,58350.0,224783.06,2.39,3.33,0.26,,224783.06,0.0,58350.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.19
2008-10-30,58350.0,234439.61,2.54,3.33,0.26,,234439.61,0.0,58350.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.37
2008-10-31,58350.0,252679.77,2.69,3.33,0.26,,252679.77,0.0,58350.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,4.71
