,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_y,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity
2006-04-19,12307013.0,191377166.16,4.98,18.68,2.95,252.62,1.0,158106933.3,3729411.0,10167483.0,57993284.69,,,874.0,1.22,,,,2.27,117045.0,97041.0,,,1.22,874.0,,30000.0,191253.0,75.87,4.05,,,31.22,31.22,8214650.0,127739886.03,,166.6,31.29,13.6,0.3055,51.79,1.0304
2006-04-26,12968930.0,212635894.72,5.24,21.69,3.11,273.76,1.0,174379754.33,4647466.0,10635640.0,76198891.59,,,167414.0,10.52,,84950.0,,0.0,436308.0,12937.0,,,10.52,167414.0,1.78,763578.0,53101.0,98.39,0.0,,,38.18,38.18,7523995.0,123361866.3,,159.19,38.2,15.76,0.2827,48.88,1.0655
2006-05-03,15527384.0,236441848.67,6.28,25.38,3.72,318.73,1.0,200325674.63,4938261.0,13155597.0,75196926.93,,,140136.0,45.43,,76376.0,,1.93,2473807.0,28618.0,,,45.43,140136.0,1.51,179277.0,30227.0,100.6,0.87,,,38.96,38.96,7735489.0,117791465.68,,156.07,39.2,13.71,0.3071,52.04,1.225
2006-05-10,16900234.0,257216891.52,6.93,27.81,4.05,346.46,1.0,212465866.19,6468663.0,13959903.0,98451263.41,,,899523.0,32.64,,,,0.87,1517800.0,32419.0,,,32.64,899523.0,,663298.0,713493.0,130.29,15.81,,,76.26,52.18,2013699.0,30647942.34,,0.0,144.6,13.26,0.2522,45.65,1.3632
2006-05-17,14594644.0,196323881.53,5.98,22.19,3.5,273.91,1.0,153491435.96,7637484.0,11410496.0,102737723.78,,444178.0,451883.0,32.47,7.95,,,12.48,2161670.0,536617.0,,444178.0,32.47,451883.0,,809377.0,4711077.0,141.06,103.43,,,89.22,61.94,923130.0,12417737.96,,0.0,159.49,17.19,0.1589,30.22,1.1836
2006-05-24,15460924.0,208358472.05,6.34,19.64,3.71,276.37,1.0,148302543.17,9234662.0,11004565.0,124450522.12,,9698.0,1103892.0,5.6,0.17,18500.0,,5.44,480890.0,229338.0,,9698.0,5.6,1103892.0,0.32,712927.0,905320.0,162.79,21.94,,,93.35,70.58,657904.0,8866214.74,,0.0,162.94,17.79,0.1506,27.94,1.1816
2006-05-31,16387149.0,220840703.11,6.72,19.85,3.93,289.8,1.0,172925997.03,8073388.0,12831711.0,108800663.4,,145434.0,61153.0,38.66,2.57,,,25.65,2271525.0,1437861.0,,145434.0,38.66,61153.0,,70000.0,444379.0,141.19,8.83,,,56.1,44.66,6316924.0,85129752.45,,0.0,173.61,13.4,0.1636,32.66,0.9064
2006-06-07,13747589.0,176960285.97,5.64,16.34,3.3,232.9,1.0,134066085.44,6661936.0,10415249.0,85753080.02,,20400.0,96455.0,,0.33,,,27.93,,1507907.0,,20400.0,,96455.0,,,2416462.0,111.4,48.45,0.35,,37.25,37.24,11222520.0,144457355.28,20400.0,187.66,37.25,15.53,0.2074,39.05,0.7686
2006-06-14,15887359.0,188916445.45,6.51,15.64,3.81,257.82,1.0,151259032.01,7282906.0,12720473.0,86600970.88,,,403668.0,49.53,,,,23.32,3266578.0,1293078.0,,,49.53,403668.0,,1537810.0,961354.0,116.19,18.19,0.46,,45.22,45.17,8824151.0,104927901.55,27429.0,139.1,45.51,14.34,0.2931,50.37,0.9853
2006-06-21,16595613.0,205283921.52,6.8,14.81,3.98,271.49,1.0,163365887.01,8295032.0,13206865.0,102607640.83,,,1344070.0,11.88,,,,15.44,746003.0,995913.0,,,11.88,1344070.0,,663968.0,259611.0,134.57,2.69,,,50.66,50.65,8080043.0,99948276.28,,129.28,51.0,14.4,0.2361,43.5,1.0134
2006-06-28,18667034.0,235595389.03,7.65,16.3,4.48,307.66,1.0,178678842.33,8853751.0,14157340.0,111742599.88,,,764984.0,17.56,,,,11.08,979931.0,678876.0,,,17.56,764984.0,,472611.0,29456.0,145.41,1.3,,,56.03,56.03,6948484.0,87696352.36,,113.52,56.16,13.17,0.2264,41.95,1.1813
2006-07-03,18390710.0,245820765.95,7.54,15.53,4.41,312.94,1.0,185957981.08,8747204.0,13912166.0,116920139.96,,,133809.0,3.9,,,,3.13,204836.0,292030.0,,,3.9,133809.0,,51673.0,450010.0,148.77,1.3,,,56.49,56.49,6738581.0,90071734.2,,112.79,56.88,13.58,0.2278,42.24,1.1876
2006-07-04,18796108.0,251977186.01,7.7,16.23,4.51,321.05,1.0,186517935.1,8738288.0,13913209.0,117143890.68,,,,3.59,,,,0.0,203834.0,8915.0,,,3.59,,,,202791.0,149.13,2.94,,,56.58,56.58,6705924.0,89898390.62,,113.7,56.74,13.23,0.2204,41.19,1.217
2006-07-05,19088476.0,249454255.78,7.82,16.94,4.58,325.19,1.0,179775492.29,10465073.0,13756591.0,136760891.59,,,1844821.0,0.01,,,,1.98,18700.0,118037.0,,,0.01,1844821.0,,,175318.0,178.4,3.12,,,66.94,66.94,5167891.0,67535637.91,,87.56,67.08,13.37,0.2238,41.56,1.221
2006-07-06,18872114.0,249589252.28,7.74,16.91,4.53,317.45,1.0,180165267.87,9455474.0,13622780.0,125051421.67,,,48471.0,0.86,,,,18.73,156809.0,1058070.0,,,0.86,48471.0,,,290620.0,158.57,5.32,,,60.31,60.31,6221976.0,82287460.62,,104.2,60.35,13.54,0.2327,42.73,1.2038
2006-07-07,12435066.0,163969397.12,5.1,11.0,2.98,210.2,1.0,94673423.12,9380388.0,7179817.0,123690261.48,,,38192.0,,,,,1.88,,113396.0,,,,38192.0,,118.0,6442963.0,158.32,108.13,,,60.05,60.05,6239853.0,82279011.18,,105.1,60.1,18.23,0.1328,20.84,0.7961
2006-07-10,13584740.0,181154919.83,5.57,11.81,3.26,229.78,1.0,110939955.98,9242210.0,8319346.0,123246511.27,,,11832.0,23.85,,,,2.52,1415621.0,150009.0,,,23.85,11832.0,,,276092.0,156.1,4.78,,,59.15,59.15,6382214.0,85107956.83,,107.96,59.12,17.7,0.1435,22.56,0.8695
2006-07-11,13113492.0,163034289.95,5.38,11.17,3.14,219.5,1.0,103147675.24,9490644.0,8296575.0,117993010.99,,,130220.0,3.93,,,,0.25,301537.0,14861.0,,,3.93,130220.0,,133074.0,324307.0,159.34,6.02,,,60.83,60.83,6112363.0,75992326.19,,101.26,61.14,18.52,0.1472,23.85,0.8404
2006-07-12,19379740.0,240635583.88,7.94,15.1,4.65,316.25,1.0,178372551.08,9513722.0,14365347.0,118130586.29,,,94821.0,100.68,,,,8.83,6248271.0,341616.0,,,100.68,94821.0,,269873.0,179500.0,153.83,3.87,,,61.99,61.99,5833553.0,72434430.61,,93.14,62.29,16.16,0.2597,45.85,1.2627
2006-07-13,18791330.0,226987301.94,7.7,14.66,4.51,305.11,1.0,166153671.51,9565411.0,13755168.0,115544074.57,,,55578.0,1.05,,,,0.42,65165.0,16778.0,,,1.05,55578.0,,12889.0,675344.0,153.93,11.79,,,62.2,62.2,5812543.0,70211818.59,,91.92,62.61,16.77,0.2651,46.33,1.222
2006-07-14,19188684.0,225160294.0,7.87,14.98,4.6,306.79,1.0,163133601.68,9829127.0,13902625.0,115335117.57,,,150043.0,2.06,,,,1.3,270528.0,47327.0,,,2.06,150043.0,,161000.0,123070.0,155.08,2.14,,,63.64,63.64,5614700.0,65882970.54,,86.97,64.07,16.8,0.2678,46.6,1.2425
2006-07-17,18124606.0,205846045.91,7.43,14.11,4.35,286.48,1.0,153622365.07,9005774.0,13526346.0,102281007.83,,,58444.0,,,,,14.29,,881797.0,,,,58444.0,,,376279.0,139.84,7.97,,,58.9,58.9,6284790.0,71378057.59,,95.45,59.43,18.01,0.2853,48.62,1.1853
2006-07-18,11708137.0,132696788.5,4.8,8.91,2.81,183.25,1.0,78182076.72,9156630.0,6898181.0,103778713.43,,,116701.0,1.03,,,,2.03,71505.0,115803.0,,,1.03,116701.0,,149958.0,6699670.0,139.72,106.05,,,59.55,59.55,6220065.0,70496497.42,,92.49,60.17,16.71,0.1544,28.6,0.7614
2006-07-19,10896097.0,128026002.31,4.47,8.21,2.61,169.29,1.0,74802767.61,8480698.0,6366349.0,99645759.56,,,24089.0,0.55,,19247.0,,11.57,40000.0,700021.0,,,0.55,24089.0,0.29,,591079.0,128.41,9.26,,,55.42,55.42,6820719.0,80141484.28,,101.3,55.9,14.07,0.1625,31.21,0.7121
2006-07-20,10703684.0,129293687.67,4.39,8.11,2.57,168.86,1.0,74576370.37,8377026.0,6173866.0,101189140.42,,,35734.0,1.63,,,,0.79,81387.0,139406.0,,,1.63,35734.0,,,273870.0,129.91,4.02,,,54.95,54.95,6868816.0,82970923.9,,104.78,55.35,14.63,0.1695,31.93,0.7021
2006-07-21,11080329.0,128973127.2,4.54,8.56,2.66,174.46,1.0,76017658.46,8427180.0,6530823.0,98090928.35,,,62041.0,5.31,,773.0,,0.17,372183.0,11887.0,,,5.31,62041.0,0.01,,16000.0,131.26,0.25,,,55.41,55.41,6781505.0,78935553.9,,103.53,55.91,14.52,0.1624,30.75,0.7286
2006-07-24,11143839.0,131986493.86,4.57,8.96,2.67,175.36,1.0,78379092.23,8406111.0,6617677.0,99561122.33,,,17560.0,2.54,,,,0.8,144634.0,45059.0,,,2.54,17560.0,,6430.0,57780.0,129.72,0.98,,,55.2,55.2,6823250.0,80813877.9,,103.41,55.64,13.92,0.1601,30.54,0.7317
2006-07-25,12018757.0,143575266.28,4.93,9.78,2.88,190.61,1.0,91060371.26,8255103.0,7622709.0,98614907.63,,,17723.0,16.49,,,,1.95,1031126.0,168732.0,,,16.49,17723.0,,,26094.0,128.85,0.36,,,54.08,54.08,7009260.0,83732150.58,,107.34,54.55,21.72,0.1635,27.98,0.7874
2006-07-26,11562424.0,136127407.51,4.74,9.54,2.77,182.47,1.0,81370276.21,9078749.0,6911449.0,106886459.52,,,625164.0,4.19,,,,0.31,264900.0,12834.0,,,4.19,625164.0,,211317.0,976160.0,141.18,15.53,,,58.56,58.56,6424249.0,75634344.63,,97.76,59.09,14.12,0.1537,29.4,0.7458
2006-07-27,11758663.0,141760286.72,4.82,10.1,2.82,185.87,1.0,84978462.65,9178831.0,7048752.0,110658304.81,,,99272.0,2.33,,,,0.52,159312.0,22627.0,,,2.33,99272.0,,23437.0,22009.0,142.55,0.34,,,58.45,58.45,6523889.0,78650810.49,,99.41,58.92,14.39,0.1509,28.82,0.7488
2006-07-28,12050395.0,145655680.71,4.94,10.39,2.89,189.62,1.0,88189206.3,9401143.0,7296075.0,113633609.78,,,170781.0,3.0,,,,0.68,277916.0,52674.0,,,3.0,170781.0,,104205.0,30593.0,146.66,0.44,,,58.73,58.73,6605417.0,79841076.54,,101.98,58.99,14.35,0.1495,28.26,0.7528
2006-07-31,12202265.0,145863214.18,5.0,10.8,2.93,194.39,1.0,87099844.99,9514648.0,7286384.0,113736026.8,,,196284.0,0.07,,,,0.26,3390.0,88838.0,,,0.07,196284.0,,6059.0,13081.0,149.65,0.0,,,60.14,60.14,6306331.0,75384505.2,,96.82,60.72,14.57,0.1461,27.54,0.7713
2006-08-01,12453825.0,145937865.51,5.1,11.15,2.99,196.5,1.0,85178217.63,9948087.0,7268810.0,116574834.05,,,144347.0,1.47,,,,0.67,106000.0,12262.0,,,1.47,144347.0,,301354.0,123574.0,154.66,2.25,,,62.31,62.31,6017476.0,70514689.52,,91.12,62.93,14.2,0.1434,27.5,0.78
2006-08-02,12912168.0,154146548.73,5.29,11.73,3.1,203.98,1.0,91693225.3,9818373.0,7680732.0,117212563.54,,,46124.0,7.14,,,,3.72,441101.0,237013.0,,,7.14,46124.0,,61176.0,29179.0,152.17,0.46,,,61.57,61.57,6128896.0,73167276.48,,92.62,62.16,13.66,0.135,26.66,0.8097
2006-08-03,12675003.0,148529699.36,5.2,11.34,3.04,200.79,1.0,89814569.63,9738757.0,7664460.0,114121838.81,,,178376.0,0.43,,5000.0,,3.76,23013.0,257992.0,,,0.43,178376.0,0.08,,44284.0,151.6,0.45,,,61.54,61.54,6085303.0,71309507.78,,92.07,62.22,13.26,0.1375,27.16,0.801
2006-08-04,12506065.0,148218717.92,5.13,11.24,3.0,197.57,1.0,88535358.7,9772672.0,7470237.0,115823235.73,,,39660.0,0.01,,,,1.33,948.0,75745.0,,,0.01,39660.0,,70000.0,195171.0,151.44,3.29,,,61.6,61.59,6093132.0,72214258.7,,92.03,62.2,13.86,0.1387,27.59,0.7882
2006-08-07,13418480.0,155135608.51,5.5,12.29,3.22,211.7,1.0,94771817.98,9977089.0,8197304.0,115348517.35,,,163630.0,11.57,,,,1.45,740236.0,94577.0,,,11.57,163630.0,,135364.0,13169.0,154.56,0.09,,,62.93,62.93,5876478.0,67939959.7,,88.51,63.59,16.26,0.1368,25.67,0.8464
2006-08-08,12555443.0,146241746.55,5.15,11.74,3.01,197.35,1.0,85674267.98,9912248.0,7355481.0,115454664.54,,,27871.0,,,,,1.59,,92711.0,,,,27871.0,,,841822.0,152.4,13.48,,,62.32,62.32,5991972.0,69792555.35,,89.49,63.0,13.76,0.141,27.61,0.7894
2006-08-09,12158876.0,141718095.23,4.98,11.52,2.92,191.09,1.0,81350011.72,9540204.0,6979523.0,111196095.67,,,16244.0,0.09,,,,6.34,5787.0,404288.0,,,0.09,16244.0,,16000.0,381745.0,146.52,5.92,,,60.62,60.62,6198175.0,72242989.8,,92.25,61.36,14.26,0.1433,28.56,0.7726
2006-08-10,11986141.0,135283145.24,4.91,11.44,2.87,188.23,1.0,77229164.6,9505321.0,6842535.0,107283046.43,,,9498.0,0.53,,,,0.69,35833.0,44381.0,,,0.53,9498.0,,,172822.0,146.04,2.75,,,60.6,60.6,6180670.0,69758938.87,,91.5,61.48,14.08,0.1464,29.04,0.7641
2006-08-11,11924472.0,131404939.13,4.89,11.5,2.86,182.96,1.0,73364890.34,9890418.0,6657570.0,108990131.83,,,273074.0,2.7,,,,0.23,181328.0,5208.0,,,2.7,273074.0,,117230.0,366293.0,147.11,6.13,,,62.39,62.39,5962487.0,65705235.53,,86.09,63.08,14.14,0.1479,29.87,0.7522
2006-08-14,14251895.0,161191456.06,5.84,14.43,3.42,216.31,1.0,99590395.67,10036477.0,8805379.0,113514332.05,,,54370.0,39.4,,,,7.68,2628780.0,509082.0,,,39.4,54370.0,,600771.0,480971.0,146.84,7.94,,,61.1,61.1,6390974.0,72283047.6,,92.29,61.4,20.99,0.155,27.37,0.8676
2006-08-15,13970316.0,156142684.76,5.73,14.21,3.35,212.71,1.0,95331547.77,10223190.0,8529454.0,114262006.2,,,41786.0,4.32,,,,0.44,300000.0,50295.0,,,4.32,41786.0,,195222.0,575925.0,150.89,8.43,,,61.8,61.8,6318322.0,70618285.24,,91.21,62.33,23.62,0.1496,23.71,0.8446
2006-08-16,13289532.0,155939559.6,5.45,13.56,3.19,202.36,1.0,94345523.85,8717160.0,8040345.0,102287280.8,,,76123.0,,,,,24.03,,1591149.0,,,,76123.0,,8996.0,489109.0,127.89,7.29,,,58.28,58.28,6240034.0,73220648.69,,92.3,58.08,22.51,0.1493,24.21,0.8885
2006-08-17,13247233.0,157106828.92,5.43,13.11,3.18,206.31,1.0,95639978.87,8658563.0,8064354.0,102687057.43,,,67084.0,2.6,,,,0.67,93009.0,125680.0,,,2.6,67084.0,,,69000.0,131.79,0.97,,,58.05,58.05,6256914.0,74204471.03,,94.17,58.32,22.09,0.152,25.14,0.8882
2006-08-18,17329694.0,203618914.56,7.1,16.87,4.16,270.12,1.0,142623527.33,8602031.0,12138470.0,101071387.37,,,21184.0,64.42,,,,1.03,4137473.0,77717.0,,,64.42,21184.0,,,63357.0,131.6,0.98,,,58.23,58.23,6170262.0,72498801.83,,92.58,58.7,16.49,0.2462,44.37,1.1731
2006-08-21,13483288.0,156096532.14,5.53,13.39,3.23,208.6,1.0,95616663.75,8748682.0,8259165.0,101283820.46,,,45633.0,7.81,,,,0.16,522000.0,1982.0,,,7.81,45633.0,,103000.0,4401305.0,132.43,68.76,,,58.31,58.31,6254724.0,72411174.92,,93.19,58.69,22.55,0.1499,24.31,0.8987
2006-08-22,13572076.0,158402734.64,5.56,13.77,3.25,209.63,1.0,95691067.35,8900389.0,8198889.0,103878430.75,,,179651.0,,,,,0.44,,27944.0,,,,179651.0,,,60275.0,134.18,1.05,,,58.89,58.89,6211958.0,72501151.23,,92.26,59.25,22.06,0.147,24.17,0.8981
2006-08-23,13716280.0,158255604.91,5.62,15.78,3.29,205.26,1.0,96925875.65,8952935.0,8400729.0,103297114.39,,16433.0,361876.0,1.06,0.24,,,6.21,202613.0,400901.0,,16433.0,1.06,361876.0,,75138.0,773.0,124.27,0.01,,,59.41,59.41,6117558.0,70583120.34,,89.35,58.17,22.85,0.1514,25.01,0.9101
2006-08-24,13581538.0,155421787.89,5.57,15.84,3.26,202.36,1.0,94591862.64,8950069.0,8265913.0,102421075.26,,,3951.0,,,,,0.17,,6817.0,,,,3951.0,,,134816.0,123.57,2.31,,,59.76,59.75,6025806.0,68956957.74,,87.35,58.59,22.93,0.1529,25.11,0.9068
2006-08-25,18344514.0,230660986.83,7.52,21.46,4.4,275.19,1.0,164086426.23,8930549.0,13049826.0,112291295.66,,,3287.0,71.55,,,,0.03,4815913.0,22806.0,,,71.55,3287.0,,,32000.0,124.73,0.54,,,58.97,58.97,6213306.0,78125116.5,,96.24,56.45,17.76,0.2478,44.33,1.2114
2006-08-28,18834370.0,237559497.57,7.72,20.62,4.52,290.86,1.0,171541970.79,8895113.0,13600319.0,112194810.61,,,27465.0,12.89,,,,0.0,578428.0,62901.0,,,12.89,27465.0,,,27935.0,130.29,0.36,,,58.87,58.87,6214180.0,78379976.53,,97.22,57.27,16.6,0.2604,46.22,1.2465
2006-08-29,18596778.0,245072074.08,7.62,20.95,4.46,290.34,1.0,175964548.19,8899628.0,13352699.0,117281084.52,,,22074.0,,,,,0.0,,17559.0,,,,22074.0,,,247620.0,131.18,2.59,,,58.97,58.97,6191031.0,81586649.47,,99.47,56.88,16.65,0.2539,45.42,1.2323
2006-08-30,18795938.0,250942222.97,7.7,20.52,4.51,314.76,1.0,179866462.26,9336545.0,13472260.0,124651047.33,,1721000.0,418270.0,3.17,29.26,,,16.91,174000.0,1777714.0,,1721000.0,3.17,418270.0,,75362.0,54439.0,156.15,0.0,,,61.62,61.62,5815983.0,77648463.34,,97.39,61.59,15.43,0.2496,45.26,1.2404
2006-08-31,18693030.0,249861748.27,7.66,19.27,4.48,316.33,1.0,178854810.47,9324125.0,13380753.0,124631596.57,,,1499.0,2.44,,,,0.0,101534.0,13919.0,,,2.44,1499.0,,,193041.0,158.07,1.66,,,62.69,62.69,5548811.0,74168586.76,,94.46,62.59,15.35,0.243,44.48,1.2568
2006-09-01,15237042.0,204025811.99,6.25,15.87,3.65,258.44,1.0,125076824.31,9986426.0,9340979.0,133719436.72,,,254803.0,11.74,,45000.0,,3.86,680000.0,238421.0,,,11.74,254803.0,0.76,645919.0,4764774.0,169.77,80.53,,,66.43,66.43,5046797.0,67577214.52,,85.95,66.39,20.49,0.1295,21.39,1.0136
