,ALMEX FP Equity_DX_SI_QTY,ALMEX FP Equity_DX_SHORT_INTEREST_VALUE,ALMEX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMEX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMEX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMEX FP Equity_DX_SI_MV,ALMEX FP Equity_DX_DSS,ALMEX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMEX FP Equity_DX_SUPPLY_SI_QTY,ALMEX FP Equity_DX_BROKER_SI_QTY,ALMEX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMEX FP Equity_DX_BROKER_SI_MV_NEW_x,ALMEX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMEX FP Equity_DX_BROKER_SI_MV_INC_x,ALMEX FP Equity_DX_BROKER_SI_QTY_ADD,ALMEX FP Equity_DX_BROKER_SI_QTY_NEW,ALMEX FP Equity_DX_SUPPLY_SI_MV_DEC,ALMEX FP Equity_DX_BROKER_SI_QTY_INC,ALMEX FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMEX FP Equity_DX_BROKER_SI_MV_NEW_y,ALMEX FP Equity_DX_BROKER_SI_MV_INC_y,ALMEX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMEX FP Equity_DX_BROKER_SI_MV_ADD,ALMEX FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMEX FP Equity_DX_BROKER_SI_QTY_DEC,ALMEX FP Equity_DX_SUPPLY_SI_MV,ALMEX FP Equity_DX_BROKER_SI_MV_DEC,ALMEX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMEX FP Equity_DX_UTILIZATION_QUANTITY,ALMEX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMEX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMEX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMEX FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMEX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMEX FP Equity_DX_BROKER_SI_CON_RATIO,ALMEX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMEX FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMEX FP Equity_PX_LAST
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.76
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.21
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.17
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.89
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.88
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.98
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.98
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.27
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4
2021-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.01
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.98
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.18
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.79
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.78
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.26
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.29
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.27
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8
2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0
2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2022-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2023-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2023-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2023-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8
2023-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
2023-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
2023-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8
2023-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8
2023-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
2023-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2
2023-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
2023-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2023-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2023-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
2023-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2023-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2023-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2023-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2023-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2023-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2023-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2
2023-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2023-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2023-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4
2023-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2
2023-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6
2023-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8
2023-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2023-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8
2023-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2
2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
2023-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8
2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8
2023-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8
2023-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8
