,3297B FP Equity_PX_LAST
2010-10-06,93.65
2010-10-07,94.15
2010-10-08,94.35
2010-10-11,95.0
2010-10-12,95.9
2010-10-13,96.25
2010-10-14,96.1
2010-10-15,95.9
2010-10-18,96.1
2010-10-19,95.35
2010-10-20,94.95
2010-10-21,97.1
2010-10-22,97.25
2010-10-25,98.65
2010-10-26,99.9
2010-10-27,99.0
2010-10-28,99.1
2010-10-29,99.8
2010-11-01,99.8
2010-11-02,100.2
2010-11-03,100.05
2010-11-04,102.1
2010-11-05,103.4
2010-11-08,103.7
2010-11-09,103.8
2010-11-10,103.4
2010-11-11,103.7
2010-11-12,103.0
2010-11-15,104.1
2010-11-16,102.3
2010-11-17,103.0
2010-11-18,104.6
2010-11-19,104.7
2010-11-22,105.35
2010-11-23,105.05
2010-11-24,107.3
2010-11-25,107.9
2010-11-26,107.9
2010-11-29,106.7
2010-11-30,107.5
2010-12-01,109.6
2010-12-02,111.3
2010-12-03,109.9
2010-12-06,110.6
2010-12-07,112.2
2010-12-08,111.4
2010-12-09,111.9
2010-12-10,112.2
2010-12-13,112.1
2010-12-14,111.7
2010-12-15,111.2
2010-12-16,112.6
2010-12-17,112.9
2010-12-20,113.5
2010-12-21,115.2
2010-12-22,115.9
2010-12-23,115.1
2010-12-27,114.0
2010-12-28,114.45
2010-12-29,114.4
2010-12-30,113.0
2011-01-03,114.2
2011-01-04,113.7
2011-01-05,114.1
2011-01-06,115.3
2011-01-07,115.5
2011-01-10,115.6
2011-01-11,116.6
2011-01-12,116.2
2011-01-13,114.3
2011-01-14,114.1
2011-01-17,114.6
2011-01-18,114.6
2011-01-19,112.45
2011-01-20,110.1
2011-01-21,110.0
2011-01-24,109.4
2011-01-25,109.1
2011-01-26,111.0
2011-01-27,110.0
2011-01-28,109.8
2011-01-31,109.1
2011-02-01,109.7
2011-02-02,109.6
2011-02-03,111.9
2011-02-04,111.7
2011-02-07,113.8
2011-02-08,114.3
2011-02-09,114.4
2011-02-10,115.2
2011-02-11,116.5
2011-02-14,117.0
2011-02-15,116.3
2011-02-16,116.7
2011-02-17,115.9
2011-02-18,115.4
2011-02-21,114.9
2011-02-22,113.1
2011-02-23,110.26
2011-02-24,108.5
2011-02-25,110.8
2011-02-28,111.1
2011-03-01,110.4
2011-03-02,109.6
2011-03-03,110.0
2011-03-04,109.0
2011-03-07,109.6
2011-03-08,111.1
2011-03-09,111.6
2011-03-10,111.2
2011-03-11,109.6
2011-03-14,106.4
2011-03-15,104.1
2011-03-16,103.2
2011-03-17,103.9
2011-03-18,103.2
2011-03-21,105.2
2011-03-22,105.6
2011-03-23,104.5
2011-03-24,106.1
2011-03-25,107.1
2011-03-28,106.7
2011-03-29,106.8
2011-03-30,107.5
2011-03-31,106.8
2011-04-01,107.7
2011-04-04,107.3
2011-04-05,107.7
2011-04-06,107.0
2011-04-07,106.4
2011-04-08,105.2
2011-04-11,104.8
2011-04-12,103.65
2011-04-13,105.3
2011-04-14,105.4
2011-04-15,106.0
2011-04-18,105.0
2011-04-19,107.2
2011-04-20,108.7
2011-04-21,109.3
2011-04-26,109.4
2011-04-27,109.7
2011-04-28,109.9
2011-04-29,110.3
2011-05-02,109.9
2011-05-03,109.3
2011-05-04,107.7
2011-05-05,109.9
2011-05-06,111.7
2011-05-09,111.8
2011-05-10,112.6
2011-05-11,114.3
2011-05-12,113.6
2011-05-13,113.8
2011-05-16,113.0
2011-05-17,111.3
2011-05-18,112.1
2011-05-19,112.7
2011-05-20,112.2
2011-05-23,110.8
2011-05-24,111.1
2011-05-25,110.88
2011-05-26,110.8
2011-05-27,112.1
2011-05-30,112.1
2011-05-31,112.6
2011-06-01,111.9
2011-06-02,110.2
2011-06-03,109.2
2011-06-06,108.6
2011-06-07,107.9
2011-06-08,106.1
2011-06-09,106.6
2011-06-10,105.8
2011-06-13,106.1
2011-06-14,106.5
2011-06-15,106.3
2011-06-16,105.4
2011-06-17,105.4
2011-06-20,105.8
2011-06-21,108.3
2011-06-22,108.6
2011-06-23,107.4
2011-06-24,108.4
2011-06-27,108.2
2011-06-28,109.9
2011-06-29,111.5
2011-06-30,111.9
2011-07-01,113.7
2011-07-04,114.7
2011-07-05,114.9
2011-07-06,115.5
2011-07-07,117.2
2011-07-08,116.3
2011-07-11,115.6
2011-07-12,115.7
2011-07-13,116.3
2011-07-14,115.0
2011-07-15,116.0
2011-07-18,115.4
2011-07-19,116.1
2011-07-20,116.5
2011-07-21,117.7
2011-07-22,118.4
2011-07-25,118.4
2011-07-26,117.3
2011-07-27,116.4
2011-07-28,115.8
2011-07-29,114.0
2011-08-01,113.9
2011-08-02,111.1
2011-08-03,107.7
2011-08-04,104.4
2011-08-05,102.1
2011-08-08,97.7
2011-08-09,97.75
2011-08-10,96.6
2011-08-11,98.95
2011-08-12,102.6
2011-08-15,101.9
2011-08-16,102.0
2011-08-17,101.7
2011-08-18,95.5
2011-08-19,93.7
2011-08-22,92.75
2011-08-23,94.1
2011-08-24,96.5
2011-08-25,96.85
2011-08-26,97.0
2011-08-29,99.5
2011-08-30,101.7
2011-08-31,104.3
2011-09-01,104.9
2011-09-02,101.7
2011-09-05,99.5
2011-09-06,98.65
2011-09-07,102.5
2011-09-08,103.9
2011-09-09,101.3
2011-09-12,99.9
2011-09-13,100.9
2011-09-14,102.7
2011-09-15,104.3
2011-09-16,105.0
2011-09-19,104.8
2011-09-20,107.5
2011-09-21,105.1
2011-09-22,99.9
2011-09-23,100.1
2011-09-26,99.6
2011-09-27,103.8
2011-09-28,102.4
2011-09-29,98.55
2011-09-30,96.1
2011-10-03,94.8
2011-10-04,92.65
2011-10-05,95.6
2011-10-06,98.8
2011-10-07,100.1
2011-10-10,102.0
2011-10-11,102.4
2011-10-12,104.28
2011-10-13,103.2
2011-10-14,104.3
2011-10-17,104.4
2011-10-18,103.6
2011-10-19,104.7
2011-10-20,102.9
2011-10-21,105.6
2011-10-24,107.8
2011-10-25,107.3
2011-10-26,107.2
2011-10-27,110.4
2011-10-28,111.9
2011-10-31,110.8
2011-11-01,106.9
2011-11-02,109.1
2011-11-03,111.4
2011-11-04,110.4
2011-11-07,109.8
2011-11-08,110.2
2011-11-09,109.6
2011-11-10,108.2
2011-11-11,109.9
2011-11-14,110.3
2011-11-15,109.2
2011-11-16,109.0
2011-11-17,107.0
2011-11-18,106.2
2011-11-21,102.6
2011-11-22,103.0
2011-11-23,101.9
2011-11-24,101.8
2011-11-25,102.6
2011-11-28,106.1
2011-11-29,105.9
2011-11-30,109.6
2011-12-01,109.3
2011-12-02,110.5
2011-12-05,110.6
2011-12-06,110.1
2011-12-07,109.7
2011-12-08,108.5
2011-12-09,108.2
2011-12-12,107.7
2011-12-13,107.4
2011-12-14,106.1
2011-12-15,104.3
2011-12-16,104.5
2011-12-19,104.1
2011-12-20,105.1
2011-12-21,105.2
2011-12-22,106.3
2011-12-23,107.6
2011-12-27,108.3
2011-12-28,108.1
2011-12-29,108.3
2011-12-30,108.9
2012-01-02,109.5
2012-01-03,110.8
2012-01-04,110.7
2012-01-05,110.3
2012-01-06,110.7
2012-01-09,111.3
2012-01-10,113.6
2012-01-11,113.7
2012-01-12,113.4
2012-01-13,114.1
2012-01-16,114.1
2012-01-17,114.6
2012-01-18,115.8
2012-01-19,117.2
2012-01-20,117.0
2012-01-23,116.6
2012-01-24,117.5
2012-01-25,118.1
2012-01-26,118.7
2012-01-27,117.8
2012-01-30,116.8
2012-01-31,117.6
2012-02-01,119.5
2012-02-02,119.9
2012-02-03,121.7
2012-02-06,121.3
2012-02-07,120.0
2012-02-08,120.4
2012-02-09,120.9
2012-02-10,121.7
2012-02-13,121.1
2012-02-14,121.9
2012-02-15,123.8
2012-02-16,122.5
2012-02-17,122.9
2012-02-20,122.8
2012-02-21,123.2
2012-02-22,122.2
2012-02-23,122.4
2012-02-24,121.98
2012-02-27,121.8
2012-02-28,121.75
2012-02-29,122.9
2012-03-01,124.4
2012-03-02,125.6
2012-03-05,124.4
2012-03-06,121.7
2012-03-07,122.8
2012-03-08,125.45
2012-03-09,126.2
2012-03-12,126.5
2012-03-13,128.8
2012-03-14,129.9
2012-03-15,129.7
2012-03-16,128.9
2012-03-19,127.8
2012-03-20,126.2
2012-03-21,126.9
2012-03-22,125.8
2012-03-23,124.7
2012-03-26,126.0
2012-03-27,126.6
2012-03-28,125.5
2012-03-29,123.6
2012-03-30,124.8
2012-04-02,126.4
2012-04-03,125.9
2012-04-04,124.3
2012-04-05,125.4
2012-04-10,123.1
2012-04-11,123.3
2012-04-12,125.1
2012-04-13,124.0
2012-04-16,124.8
2012-04-17,125.1
2012-04-18,125.0
2012-04-19,124.8
2012-04-20,124.2
2012-04-23,121.2
2012-04-24,121.8
2012-04-25,123.2
2012-04-26,124.6
2012-04-27,126.6
2012-04-30,125.6
2012-05-02,127.7
2012-05-03,128.1
2012-05-04,125.2
2012-05-07,125.1
2012-05-08,121.1
2012-05-09,122.1
2012-05-10,121.0
2012-05-11,122.0
2012-05-14,120.4
2012-05-15,119.9
2012-05-16,120.0
2012-05-17,118.3
2012-05-18,115.9
2012-05-21,116.1
2012-05-22,118.5
2012-05-23,116.8
2012-05-24,117.5
2012-05-25,118.2
2012-05-28,118.7
2012-05-29,120.8
2012-05-30,119.5
2012-05-31,118.1
2012-06-01,114.6
2012-06-04,112.6
2012-06-05,113.9
2012-06-06,116.3
2012-06-07,117.1
2012-06-08,117.0
2012-06-11,117.4
2012-06-12,116.9
2012-06-13,115.8
2012-06-14,115.2
2012-06-15,115.6
2012-06-18,116.7
2012-06-19,118.4
2012-06-20,118.5
2012-06-21,118.5
2012-06-22,116.7
2012-06-25,115.2
2012-06-26,115.0
2012-06-27,116.5
2012-06-28,115.4
2012-06-29,117.4
2012-07-02,118.8
2012-07-03,119.7
2012-07-04,120.2
2012-07-05,121.2
2012-07-06,119.9
2012-07-09,118.2
2012-07-10,119.5
2012-07-11,116.6
2012-07-12,115.3
2012-07-13,117.6
2012-07-16,117.3
2012-07-17,117.0
2012-07-18,118.7
2012-07-19,122.2
2012-07-20,121.3
2012-07-23,119.2
2012-07-24,119.4
2012-07-25,118.7
2012-07-26,119.8
2012-07-27,121.3
2012-07-30,122.4
2012-07-31,119.0
2012-08-01,118.7
2012-08-02,117.8
2012-08-03,119.8
2012-08-06,121.6
2012-08-07,123.7
2012-08-08,123.7
2012-08-09,124.4
2012-08-10,124.1
2012-08-13,123.0
2012-08-14,124.1
2012-08-15,124.4
2012-08-16,124.3
2012-08-17,125.8
2012-08-20,124.9
2012-08-21,125.1
2012-08-22,124.4
2012-08-23,123.4
2012-08-24,123.2
2012-08-27,124.0
2012-08-28,124.0
2012-08-29,124.0
2012-08-30,123.2
2012-08-31,123.0
2012-09-03,123.5
2012-09-04,122.1
2012-09-05,122.3
2012-09-06,124.6
2012-09-10,125.0
2012-09-11,121.8
2012-09-12,121.1
2012-09-13,120.9
2012-09-14,122.9
2012-09-17,121.8
2012-09-18,121.8
2012-09-19,122.8
2012-09-20,122.5
2012-09-21,122.4
2012-09-24,122.0
2012-09-25,122.2
2012-09-26,120.2
2012-09-27,120.1
2012-09-28,119.6
2012-10-01,121.0
2012-10-02,120.8
2012-10-03,120.9
2012-10-04,120.7
2012-10-05,121.7
2012-10-08,120.8
2012-10-09,119.7
2012-10-10,119.7
2012-10-11,122.0
2012-10-12,121.4
2012-10-15,122.2
2012-10-16,124.2
2012-10-17,124.8
2012-10-18,123.7
2012-10-19,122.9
2012-10-22,121.75
2012-10-23,120.5
2012-10-24,120.8
2012-10-25,121.3
2012-10-26,121.6
2012-10-29,122.2
2012-10-30,121.7
2012-10-31,123.0
2012-11-01,126.2
2012-11-02,127.5
2012-11-05,126.7
2012-11-06,127.0
2012-11-07,125.3
2012-11-08,125.3
2012-11-09,125.3
2012-11-12,125.5
2012-11-13,126.1
2012-11-14,124.0
2012-11-15,122.5
2012-11-16,122.4
2012-11-19,125.6
2012-11-20,127.0
2012-11-21,127.2
2012-11-22,127.4
2012-11-23,128.3
2012-11-26,127.4
2012-11-27,128.5
2012-11-28,129.7
2012-11-29,129.7
2012-11-30,129.8
2012-12-03,129.9
2012-12-04,129.2
2012-12-05,128.8
2012-12-06,130.7
2012-12-07,131.1
2012-12-10,131.4
2012-12-11,131.25
2012-12-12,130.3
2012-12-13,129.4
2012-12-14,129.8
2012-12-17,129.8
2012-12-18,130.7
2012-12-19,131.0
2012-12-20,130.0
2012-12-21,129.6
2012-12-27,127.3
2012-12-28,127.2
2012-12-31,127.1
2013-01-02,130.6
2013-01-03,133.0
2013-01-04,133.6
2013-01-07,133.0
2013-01-08,133.5
2013-01-09,135.0
2013-01-10,132.5
2013-01-11,133.0
2013-01-14,133.8
2013-01-15,135.0
2013-01-16,136.1
2013-01-17,137.0
2013-01-18,137.2
2013-01-21,135.8
2013-01-22,135.5
2013-01-23,133.8
2013-01-24,134.3
2013-01-25,134.7
2013-01-28,134.2
2013-01-29,134.2
2013-01-30,133.1
2013-01-31,132.8
2013-02-01,132.6
2013-02-04,131.3
2013-02-05,131.4
2013-02-06,132.1
2013-02-07,131.4
2013-02-08,132.6
2013-02-11,131.3
2013-02-12,132.2
2013-02-13,132.9
2013-02-14,133.0
2013-02-15,133.9
2013-02-18,133.1
2013-02-19,134.5
2013-02-20,133.9
2013-02-21,132.2
2013-02-22,132.9
2013-02-25,133.3
2013-02-26,132.1
2013-02-27,133.5
2013-02-28,134.5
2013-03-01,135.3
2013-03-04,135.2
2013-03-05,137.1
2013-03-06,137.0
2013-03-07,136.7
2013-03-08,137.2
2013-03-11,137.8
2013-03-12,137.4
2013-03-13,138.0
2013-03-14,138.2
2013-03-15,137.5
2013-03-18,137.4
2013-03-19,135.4
2013-03-20,135.7
2013-03-21,133.9
2013-03-22,133.8
2013-03-25,133.8
2013-03-26,134.8
2013-03-27,135.1
2013-03-28,135.3
2013-04-02,136.8
2013-04-03,135.5
2013-04-04,134.0
2013-04-05,130.7
2013-04-08,132.2
2013-04-09,131.2
2013-04-10,133.4
2013-04-11,135.3
2013-04-12,134.3
2013-04-15,133.2
2013-04-16,131.4
2013-04-17,129.6
2013-04-18,129.2
2013-04-19,130.7
2013-04-22,130.4
2013-04-23,135.2
2013-04-24,136.3
2013-04-25,137.8
2013-04-26,136.7
2013-04-29,137.6
2013-04-30,138.1
2013-05-03,140.2
2013-05-06,140.2
2013-05-07,140.1
2013-05-08,140.2
2013-05-09,140.8
2013-05-10,141.7
2013-05-13,141.8
2013-05-14,142.6
2013-05-15,144.5
2013-05-16,146.1
2013-05-17,146.6
2013-05-20,147.4
2013-05-21,147.4
2013-05-22,147.9
2013-05-23,144.0
2013-05-24,143.9
2013-05-27,144.2
2013-05-28,146.4
2013-05-29,143.1
2013-05-30,142.5
2013-05-31,142.5
2013-06-03,139.45
2013-06-04,140.1
2013-06-05,137.6
2013-06-07,139.0
2013-06-10,138.5
2013-06-11,136.3
2013-06-12,135.5
2013-06-13,135.4
2013-06-14,136.1
2013-06-17,137.5
2013-06-18,137.1
2013-06-19,137.5
2013-06-20,133.2
2013-06-21,131.5
2013-06-24,129.3
2013-06-25,132.1
2013-06-26,134.0
2013-06-27,135.2
2013-06-28,135.2
2013-07-01,136.8
2013-07-02,136.1
2013-07-03,135.1
2013-07-04,137.0
2013-07-05,136.9
2013-07-08,138.6
2013-07-09,140.3
2013-07-10,140.8
2013-07-11,141.75
2013-07-12,141.6
2013-07-15,142.3
2013-07-16,140.2
2013-07-17,141.3
2013-07-18,141.9
2013-07-19,141.3
2013-07-22,141.4
2013-07-23,140.5
2013-07-24,141.1
2013-07-25,140.5
2013-07-26,141.1
2013-07-29,141.1
2013-07-30,141.2
2013-07-31,141.1
2013-08-01,143.7
2013-08-02,144.7
2013-08-05,145.4
2013-08-06,145.2
2013-08-07,143.8
2013-08-08,143.4
2013-08-09,143.8
2013-08-12,144.7
2013-08-13,145.1
2013-08-14,145.7
2013-08-15,144.4
2013-08-16,144.2
2013-08-19,143.7
2013-08-20,143.3
2013-08-21,143.2
2013-08-22,143.7
2013-08-26,144.0
2013-08-27,141.2
2013-08-28,139.0
2013-08-29,140.7
2013-08-30,139.9
2013-09-02,141.2
2013-09-03,141.4
2013-09-04,140.9
2013-09-05,142.0
2013-09-06,142.7
2013-09-09,143.6
2013-09-10,145.3
2013-09-11,144.63
2013-09-12,144.63
2013-09-13,145.7
2013-09-16,147.4
2013-09-17,146.7
2013-09-18,146.8
2013-09-19,148.5
2013-09-20,147.9
2013-09-23,146.9
2013-09-24,146.8
2013-09-25,145.6
2013-09-26,145.3
2013-09-27,144.8
2013-09-30,144.7
2013-10-01,145.3
2013-10-02,143.4
2013-10-03,143.7
2013-10-04,143.9
2013-10-07,143.2
2013-10-08,142.1
2013-10-09,140.7
2013-10-10,143.0
2013-10-11,143.5
2013-10-14,143.0
2013-10-15,143.2
2013-10-16,141.9
2013-10-17,142.0
2013-10-18,144.0
2013-10-21,143.8
2013-10-22,144.4
2013-10-23,144.3
2013-10-24,144.3
2013-10-25,143.4
2013-10-28,144.1
2013-10-29,144.0
2013-10-30,144.4
2013-10-31,145.4
2013-11-01,144.8
2013-11-04,145.5
2013-11-05,144.6
2013-11-06,145.3
2013-11-07,146.0
2013-11-08,145.9
2013-11-11,146.5
2013-11-12,145.7
2013-11-13,145.2
2013-11-14,146.65
2013-11-15,147.4
2013-11-18,147.8
2013-11-19,146.9
2013-11-20,146.9
2013-11-21,146.3
2013-11-22,146.7
2013-11-25,147.5
2013-11-26,147.7
2013-11-27,148.3
2013-11-28,148.3
2013-11-29,147.8
2013-12-02,147.4
2013-12-03,144.7
2013-12-04,143.9
2013-12-05,142.6
2013-12-06,142.8
2013-12-09,143.4
2013-12-10,142.9
2013-12-11,142.5
2013-12-12,140.8
2013-12-13,140.7
2013-12-16,141.8
2013-12-17,141.0
2013-12-18,141.4
2013-12-19,143.5
2013-12-20,144.4
2013-12-23,145.1
2013-12-27,146.7
2013-12-30,146.9
2014-01-02,147.1
2014-01-03,147.6
2014-01-06,146.0
2014-01-07,145.1
2014-01-08,144.3
2014-01-09,142.7
2014-01-10,144.6
2014-01-13,145.4
2014-01-14,144.4
2014-01-15,145.4
2014-01-16,144.6
2014-01-17,145.1
2014-01-20,145.1
2014-01-21,146.0
2014-01-22,146.2
2014-01-23,144.1
2014-01-24,142.4
2014-01-27,140.9
2014-01-28,142.1
2014-01-29,141.9
2014-01-30,141.0
2014-01-31,143.3
2014-02-03,140.5
2014-02-04,140.9
2014-02-05,140.6
2014-02-06,143.1
2014-02-07,143.6
2014-02-10,143.7
2014-02-11,144.8
2014-02-12,145.2
2014-02-13,145.3
2014-02-14,146.2
2014-02-17,146.7
2014-02-18,145.9
2014-02-19,146.1
2014-02-20,146.2
2014-02-21,147.0
2014-02-24,148.1
2014-02-25,148.2
2014-02-26,148.5
2014-02-27,148.2
2014-02-28,147.3
2014-03-03,145.3
2014-03-04,147.5
2014-03-05,146.7
2014-03-06,146.4
2014-03-07,146.5
2014-03-10,145.3
2014-03-11,145.1
2014-03-12,143.1
2014-03-13,141.6
2014-03-14,140.5
2014-03-17,141.1
2014-03-18,142.6
2014-03-19,141.9
2014-03-20,142.0
2014-03-21,142.7
2014-03-24,140.9
2014-03-25,141.3
2014-03-26,143.0
2014-03-27,142.8
2014-03-28,143.4
2014-03-31,143.4
2014-04-01,144.6
2014-04-02,145.3
2014-04-03,145.3
2014-04-04,145.6
2014-04-07,143.8
2014-04-08,143.8
2014-04-09,144.8
2014-04-10,145.6
2014-04-11,144.2
2014-04-14,145.3
2014-04-15,144.9
2014-04-16,146.7
2014-04-17,146.3
2014-04-22,147.5
2014-04-23,147.1
2014-04-24,147.7
2014-04-25,147.2
2014-04-28,146.6
2014-04-29,147.3
2014-04-30,148.0
2014-05-02,149.1
2014-05-05,148.8
2014-05-06,148.1
2014-05-07,147.4
2014-05-08,149.5
2014-05-09,149.0
2014-05-12,149.75
2014-05-13,150.4
2014-05-14,149.9
2014-05-15,149.6
2014-05-16,150.3
2014-05-19,150.8
2014-05-20,151.0
2014-05-21,151.9
2014-05-22,153.4
2014-05-23,153.3
2014-05-26,153.6
2014-05-27,154.6
2014-05-28,154.0
2014-05-29,154.8
2014-05-30,155.4
2014-06-02,155.2
2014-06-03,154.6
2014-06-04,154.7
2014-06-05,154.5
2014-06-06,153.8
2014-06-09,154.7
2014-06-10,154.4
2014-06-11,154.3
2014-06-12,154.2
2014-06-13,153.7
2014-06-16,152.8
2014-06-17,153.5
2014-06-18,153.2
2014-06-19,154.0
2014-06-20,154.3
2014-06-23,154.25
2014-06-24,154.5
2014-06-25,153.6
2014-06-26,153.2
2014-06-27,153.4
2014-06-30,153.3
2014-07-01,153.6
2014-07-02,153.6
2014-07-03,155.0
2014-07-04,155.1
2014-07-07,153.5
