,CP9 FP Equity_DX_DSS,CP9 FP Equity_PX_LAST
2010-03-15,,282.63
2010-03-16,,284.19
2010-03-17,,289.64
2010-03-18,,290.38
2010-03-19,,290.68
2010-03-22,,290.31
2010-03-23,,292.68
2010-03-24,,294.56
2010-03-25,,296.99
2010-03-26,,293.44
2010-03-29,,297.04
2010-03-30,,297.94
2010-03-31,,292.44
2010-04-01,,297.09
2010-04-06,,304.18
2010-04-07,,304.01
2010-04-08,,301.45
2010-04-09,,302.92
2010-04-12,,300.09
2010-04-13,,298.26
2010-04-14,,302.71
2010-04-15,,304.64
2010-04-16,,298.68
2010-04-19,,296.28
2010-04-20,,301.07
2010-04-21,,300.49
2010-04-22,,298.48
2010-04-23,,297.34
2010-04-26,,301.54
2010-04-27,,294.38
2010-04-28,,297.6
2010-04-29,,298.96
2010-04-30,,294.9
2010-05-03,,296.19
2010-05-04,,287.04
2010-05-05,,290.01
2010-05-06,,284.55
2010-05-07,,276.7
2010-05-10,,290.47
2010-05-11,,290.42
2010-05-12,,292.11
2010-05-13,,295.37
2010-05-14,,288.72
2010-05-17,,286.01
2010-05-18,,294.79
2010-05-19,,272.8
2010-05-20,,260.61
2010-05-21,,261.52
2010-05-24,,270.3
2010-05-25,,262.31
2010-05-26,,271.06
2010-05-27,,277.91
2010-05-28,,277.51
2010-05-31,,276.57
2010-06-01,,273.06
2010-06-02,,276.44
2010-06-03,,283.22
2010-06-04,,276.82
2010-06-07,,273.72
2010-06-08,,275.42
2010-06-09,,283.18
2010-06-10,,287.12
2010-06-11,,288.79
2010-06-14,,292.66
2010-06-15,,289.32
2010-06-16,,290.17
2010-06-17,,286.38
2010-06-18,,291.37
2010-06-21,,298.11
2010-06-22,,296.86
2010-06-23,,293.96
2010-06-24,,286.24
2010-06-25,,285.0
2010-06-28,,287.0
2010-06-29,,277.36
2010-06-30,,274.37
2010-07-01,,262.47
2010-07-02,,268.57
2010-07-05,,266.0
2010-07-06,,272.97
2010-07-07,,268.97
2010-07-08,,280.61
2010-07-09,,281.07
2010-07-12,,282.87
2010-07-13,,283.15
2010-07-14,,283.8
2010-07-15,,280.0
2010-07-16,,277.1
2010-07-19,,269.25
2010-07-20,,275.05
2010-07-21,,279.86
2010-07-22,,283.07
2010-07-23,,285.11
2010-07-26,,286.01
2010-07-27,,289.3
2010-07-28,,285.76
2010-07-29,,287.36
2010-07-30,,284.81
2010-08-02,,291.66
2010-08-03,,290.59
2010-08-04,,290.41
2010-08-05,,289.01
2010-08-06,,286.46
2010-08-09,,290.51
2010-08-11,,284.55
2010-08-12,,285.06
2010-08-13,,288.32
2010-08-16,,286.95
2010-08-17,,291.4
2010-08-18,,289.22
2010-08-19,,285.52
2010-08-20,,286.8
2010-08-23,,289.89
2010-08-24,,283.53
2010-08-25,,282.09
2010-08-26,,285.25
2010-08-27,,288.35
2010-08-30,,290.51
2010-08-31,,290.69
2010-09-01,,301.43
2010-09-02,,299.77
2010-09-03,,298.66
2010-09-06,,302.76
2010-09-07,,303.99
2010-09-08,,310.09
2010-09-09,,310.5
2010-09-10,,309.36
2010-09-13,,312.86
2010-09-14,,310.45
2010-09-15,,309.72
2010-09-16,,306.68
2010-09-17,,307.11
2010-09-20,,312.33
2010-09-21,,308.71
2010-09-22,,305.75
2010-09-23,,306.49
2010-09-24,,307.57
2010-09-27,,309.1
2010-09-28,,309.13
2010-09-29,,306.97
2010-09-30,,303.62
2010-10-01,,301.61
2010-10-04,,302.88
2010-10-05,,304.31
2010-10-06,,306.49
2010-10-07,,306.43
2010-10-08,,307.97
2010-10-11,,309.48
2010-10-12,,307.18
2010-10-13,,309.08
2010-10-14,,308.83
2010-10-15,,308.11
2010-10-18,,309.48
2010-10-19,,307.23
2010-10-20,,307.34
2010-10-21,,306.06
2010-10-22,,306.78
2010-10-25,,311.43
2010-10-26,,309.99
2010-10-27,,303.48
2010-10-28,,306.39
2010-10-29,,305.51
2010-11-01,,311.5
2010-11-02,,312.66
2010-11-03,,312.81
2010-11-04,,319.98
2010-11-05,,323.95
2010-11-08,,325.16
2010-11-09,,326.24
2010-11-10,,322.94
2010-11-11,,323.45
2010-11-12,,318.63
2010-11-15,,321.48
2010-11-16,,317.38
2010-11-17,,316.09
2010-11-18,,320.21
2010-11-19,,313.71
2010-11-22,,313.22
2010-11-23,,309.81
2010-11-24,,317.65
2010-11-25,,317.28
2010-11-26,,313.84
2010-11-29,,315.78
2010-11-30,,317.97
2010-12-01,,325.25
2010-12-02,,327.44
2010-12-03,,324.74
2010-12-06,,326.03
2010-12-07,,328.12
2010-12-08,,324.83
2010-12-09,,328.0
2010-12-10,,329.55
2010-12-13,,329.78
2010-12-14,,331.23
2010-12-15,,328.3
2010-12-16,,329.06
2010-12-17,,326.95
2010-12-20,,330.45
2010-12-21,,334.59
2010-12-22,,337.44
2010-12-23,,337.77
2010-12-27,,335.53
2010-12-28,,338.44
2010-12-29,,340.37
2010-12-30,,337.41
2011-01-03,,338.89
2011-01-04,,334.45
2011-01-05,,339.19
2011-01-06,,339.15
2011-01-07,,339.77
2011-01-10,,337.38
2011-01-11,,339.77
2011-01-12,,340.86
2011-01-13,,335.16
2011-01-14,,334.12
2011-01-17,,335.1
2011-01-18,,334.73
2011-01-19,,333.76
2011-01-20,,326.52
2011-01-21,,325.39
2011-01-24,,326.47
2011-01-25,,323.23
2011-01-26,,325.9
2011-01-27,,325.02
2011-01-28,,323.47
2011-01-31,,322.57
2011-02-01,,325.45
2011-02-02,,325.47
2011-02-03,,330.91
2011-02-04,,334.32
2011-02-07,,336.35
2011-02-08,,333.38
2011-02-09,,329.56
2011-02-10,,331.19
2011-02-11,,330.76
2011-02-14,,332.97
2011-02-15,,332.41
2011-02-16,,330.72
2011-02-17,,332.34
2011-02-18,,332.5
2011-02-21,,327.86
2011-02-22,,323.53
2011-02-23,,319.49
2011-02-24,,319.2
2011-02-25,,325.8
2011-02-28,,325.85
2011-03-01,,322.21
2011-03-02,,322.77
2011-03-03,,322.75
2011-03-04,,321.52
2011-03-07,,317.66
2011-03-08,,323.05
2011-03-09,,321.57
2011-03-10,,316.74
2011-03-11,,313.95
2011-03-14,,308.63
2011-03-15,,298.74
2011-03-16,,297.47
2011-03-17,,297.19
2011-03-18,,299.76
2011-03-21,,305.99
2011-03-22,,306.61
2011-03-23,,309.67
2011-03-24,,314.03
2011-03-25,,318.53
2011-03-28,,317.14
2011-03-29,,319.62
2011-03-30,,324.53
2011-03-31,,323.01
2011-04-01,,327.71
2011-04-04,,327.45
2011-04-05,,328.08
2011-04-06,,329.43
2011-04-07,,327.49
2011-04-08,,330.2
2011-04-11,,330.95
2011-04-12,,322.6
2011-04-13,,326.23
2011-04-14,,325.23
2011-04-15,,326.91
2011-04-18,,324.81
2011-04-19,,325.41
2011-04-20,,328.37
2011-04-21,,330.21
2011-04-26,,330.49
2011-04-27,,326.91
2011-04-28,,326.88
2011-04-29,,324.86
2011-05-02,,324.81
2011-05-03,,320.06
2011-05-04,,311.83
2011-05-05,,315.3
2011-05-06,,324.93
2011-05-09,,327.49
2011-05-10,,328.14
2011-05-11,,328.88
2011-05-12,,323.93
2011-05-13,,323.84
2011-05-16,,324.46
2011-05-17,,321.24
2011-05-18,,324.61
2011-05-19,,327.12
2011-05-20,,326.74
2011-05-23,,320.93
2011-05-24,,322.02
2011-05-25,,320.9
2011-05-26,,323.82
2011-05-27,,324.78
2011-05-30,,323.56
2011-05-31,,324.1
2011-06-01,,319.9
2011-06-02,,315.0
2011-06-03,,312.16
2011-06-06,,311.27
2011-06-07,,310.61
2011-06-08,,306.92
2011-06-09,,311.48
2011-06-10,,309.13
2011-06-13,,308.76
2011-06-14,,312.74
2011-06-15,,312.68
2011-06-16,,310.28
2011-06-17,,309.19
2011-06-20,,306.68
2011-06-21,,309.86
2011-06-22,,309.29
2011-06-23,,306.65
2011-06-24,,309.35
2011-06-27,,306.44
2011-06-28,,307.85
2011-06-29,,312.77
2011-06-30,,317.07
2011-07-01,,317.95
2011-07-04,,318.31
2011-07-05,,316.79
2011-07-06,,317.42
2011-07-07,,321.69
2011-07-08,,321.25
2011-07-11,,320.41
2011-07-12,,317.96
2011-07-13,,320.23
2011-07-14,,315.94
2011-07-15,,313.51
2011-07-18,,312.36
2011-07-19,,315.53
2011-07-20,,319.21
2011-07-21,,319.24
2011-07-22,,321.58
2011-07-25,,319.57
2011-07-26,,319.04
2011-07-27,,320.42
2011-07-28,,322.34
2011-07-29,,316.52
2011-08-01,,318.73
2011-08-02,,315.78
2011-08-03,,304.23
2011-08-04,,297.22
2011-08-05,,284.3
2011-08-08,,275.31
2011-08-09,,278.73
2011-08-10,,274.3
2011-08-11,,281.76
2011-08-12,,288.34
2011-08-15,,289.74
2011-08-16,,289.28
2011-08-17,,293.65
2011-08-18,,281.26
2011-08-19,,280.61
2011-08-22,,278.98
2011-08-23,,284.67
2011-08-24,,286.36
2011-08-25,,285.4
2011-08-26,,286.89
2011-08-29,,292.04
2011-08-30,,294.1
2011-08-31,,299.95
2011-09-01,,302.47
2011-09-02,,295.24
2011-09-05,,287.89
2011-09-06,,290.05
2011-09-07,,299.04
2011-09-08,,301.3
2011-09-09,,296.87
2011-09-12,,290.12
2011-09-13,,289.75
2011-09-14,,285.59
2011-09-15,,288.35
2011-09-16,,292.11
2011-09-19,,285.05
2011-09-20,,289.51
2011-09-21,,281.9
2011-09-22,,267.32
2011-09-23,,270.1
2011-09-26,,269.15
2011-09-27,,282.95
2011-09-28,,273.75
2011-09-29,,271.96
2011-09-30,,269.11
2011-10-03,,267.08
2011-10-04,,256.7
2011-10-05,,268.11
2011-10-06,,275.33
2011-10-07,,281.04
2011-10-10,,286.79
2011-10-11,,285.55
2011-10-12,,292.37
2011-10-13,,287.59
2011-10-14,,291.65
2011-10-17,,290.08
2011-10-18,,287.35
2011-10-19,,292.3
2011-10-20,,283.38
2011-10-21,,286.3
2011-10-24,,296.13
2011-10-25,,291.98
2011-10-26,,291.44
2011-10-27,,303.37
2011-10-28,,305.65
2011-10-31,,299.45
2011-11-01,,292.35
2011-11-02,,295.48
2011-11-03,,299.26
2011-11-04,,297.11
2011-11-07,,298.5
2011-11-08,,299.86
2011-11-09,,296.58
2011-11-10,,295.28
2011-11-11,,299.66
2011-11-14,,297.07
2011-11-15,,297.15
2011-11-16,,297.43
2011-11-17,,291.83
2011-11-18,,288.19
2011-11-21,,277.04
2011-11-22,,278.1
2011-11-23,,274.84
2011-11-24,,276.59
2011-11-25,,274.98
2011-11-28,,286.81
2011-11-29,,288.82
2011-11-30,,300.67
2011-12-01,,297.84
2011-12-02,,304.51
2011-12-05,,305.72
2011-12-06,,302.27
2011-12-07,,302.89
2011-12-08,,298.81
2011-12-09,,299.66
2011-12-12,,294.34
2011-12-13,,299.27
2011-12-14,,293.17
2011-12-15,,293.67
2011-12-16,,294.67
2011-12-19,,290.23
2011-12-20,,294.76
2011-12-21,,295.08
2011-12-22,,299.08
2011-12-23,,299.59
2011-12-27,,300.17
2011-12-28,,296.38
2011-12-29,,299.07
2011-12-30,,296.8
2012-01-02,,307.31
2012-01-03,,305.6
2012-01-04,,308.44
2012-01-05,,308.61
2012-01-06,,308.87
2012-01-09,,307.13
2012-01-10,,313.31
2012-01-11,,316.35
2012-01-12,,313.28
2012-01-13,,316.23
2012-01-16,,317.15
2012-01-17,,320.94
2012-01-18,,320.52
2012-01-19,,322.54
2012-01-20,,321.52
2012-01-23,,322.7
2012-01-24,,321.49
2012-01-25,,323.76
2012-01-26,,328.01
2012-01-27,,325.9
2012-01-30,,323.57
2012-01-31,,324.99
2012-02-01,,328.1
2012-02-02,,328.12
2012-02-03,,332.81
2012-02-06,,331.1
2012-02-07,,328.9
2012-02-08,,328.86
2012-02-09,,328.11
2012-02-10,,323.37
2012-02-13,,326.36
2012-02-14,,327.57
2012-02-15,,331.5
2012-02-16,,329.95
2012-02-17,,327.59
2012-02-20,,330.9
2012-02-21,,330.23
2012-02-22,,328.53
2012-02-23,,328.52
2012-02-24,,327.14
2012-02-27,,328.07
2012-02-28,,327.64
2012-02-29,,330.97
2012-03-01,,332.12
2012-03-02,,334.03
2012-03-05,,329.05
2012-03-06,,320.62
2012-03-07,,322.85
2012-03-08,,324.61
2012-03-09,,329.35
2012-03-12,,324.71
2012-03-13,,331.69
2012-03-14,,331.89
2012-03-15,,332.7
2012-03-16,,332.89
2012-03-19,,330.61
2012-03-20,,324.37
2012-03-21,,324.37
2012-03-22,,322.37
2012-03-23,,321.46
2012-03-26,,325.53
2012-03-27,,325.76
2012-03-28,,324.46
2012-03-29,,320.92
2012-03-30,,323.32
2012-04-02,,325.66
2012-04-03,,323.01
2012-04-04,,321.9
2012-04-05,,326.57
2012-04-10,,320.67
2012-04-11,,321.44
2012-04-12,,326.37
2012-04-13,,326.26
2012-04-16,,325.93
2012-04-17,,328.66
2012-04-18,,329.03
2012-04-19,,328.86
2012-04-20,,329.16
2012-04-23,,324.07
2012-04-24,,326.22
2012-04-25,,328.76
2012-04-26,,328.82
2012-04-27,,329.98
2012-04-30,,329.17
2012-05-02,,331.94
2012-05-03,,332.19
2012-05-04,,326.06
2012-05-07,,326.18
2012-05-08,,319.88
2012-05-09,,320.6
2012-05-10,,324.01
2012-05-11,,323.34
2012-05-14,,319.86
2012-05-15,,319.85
2012-05-16,,314.65
2012-05-17,,310.87
2012-05-18,,305.61
2012-05-21,,306.76
2012-05-22,,311.29
2012-05-23,,303.8
2012-05-24,,306.72
2012-05-25,,306.54
2012-05-28,,308.98
2012-05-29,,313.08
2012-05-30,,309.34
2012-05-31,,309.51
2012-06-01,,305.16
2012-06-04,,302.87
2012-06-05,,306.81
2012-06-06,,313.9
2012-06-07,,317.12
2012-06-08,,312.69
2012-06-11,,313.22
2012-06-12,,316.59
2012-06-13,,313.86
2012-06-14,,312.1
2012-06-15,,314.74
2012-06-18,,319.78
2012-06-19,,323.84
2012-06-20,,322.87
2012-06-21,,318.25
2012-06-22,,316.09
2012-06-25,,312.36
2012-06-26,,315.7
2012-06-27,,321.71
2012-06-28,,318.29
2012-06-29,,324.33
2012-07-02,,328.01
2012-07-03,,331.7
2012-07-04,,335.55
2012-07-05,,338.83
2012-07-06,,335.87
2012-07-09,,334.3
2012-07-10,,335.44
2012-07-11,,337.38
2012-07-12,,332.6
2012-07-13,,336.77
2012-07-16,,337.22
2012-07-17,,340.37
2012-07-18,,344.59
2012-07-19,,348.85
2012-07-20,,347.83
2012-07-23,,341.48
2012-07-24,,342.88
2012-07-25,,342.38
2012-07-26,,343.77
2012-07-27,,347.76
2012-07-30,,353.82
2012-07-31,,354.35
2012-08-01,,354.26
2012-08-02,,353.66
2012-08-03,,355.89
2012-08-06,,355.57
2012-08-07,,357.41
2012-08-08,,359.99
2012-08-09,,362.13
2012-08-10,,358.9
2012-08-13,,355.89
2012-08-14,,357.92
2012-08-15,,356.81
2012-08-16,,357.48
2012-08-17,,359.54
2012-08-20,,359.81
2012-08-21,,360.11
2012-08-22,,356.13
2012-08-23,,354.36
2012-08-24,,353.64
2012-08-27,,352.98
2012-08-28,,350.71
2012-08-29,,351.58
2012-08-30,,347.59
2012-08-31,,349.81
2012-09-03,,347.51
2012-09-04,,344.18
2012-09-05,,342.37
2012-09-06,,348.08
2012-09-07,,347.43
2012-09-10,,346.87
2012-09-11,,348.12
2012-09-12,,348.55
2012-09-13,,348.19
2012-09-14,,351.27
2012-09-17,,349.32
2012-09-18,,349.08
2012-09-19,,351.11
2012-09-20,,350.53
2012-09-21,,351.46
2012-09-24,,350.15
2012-09-25,,351.02
2012-09-26,,347.09
2012-09-27,,351.4
2012-09-28,,350.63
2012-10-01,,354.46
2012-10-02,,351.62
2012-10-03,,352.08
2012-10-04,,350.38
2012-10-05,,352.0
2012-10-08,,351.28
2012-10-09,,352.33
2012-10-10,,352.89
2012-10-11,,353.46
2012-10-12,,350.92
2012-10-15,,352.71
2012-10-16,,354.18
2012-10-17,,356.32
2012-10-18,,357.48
2012-10-19,,355.42
2012-10-22,,352.91
2012-10-23,,350.76
2012-10-24,,355.84
2012-10-25,,357.82
2012-10-26,,356.22
2012-10-29,,354.99
2012-10-30,,355.37
2012-10-31,,354.89
2012-11-01,,358.15
2012-11-02,,358.58
2012-11-05,,359.98
2012-11-06,,362.44
2012-11-07,,359.84
2012-11-08,,361.12
2012-11-09,,361.01
2012-11-12,,362.46
2012-11-13,,359.81
2012-11-14,,355.43
2012-11-15,,351.51
2012-11-16,,351.01
2012-11-19,,356.77
2012-11-20,,354.58
2012-11-21,,354.43
2012-11-22,,355.82
2012-11-23,,356.95
2012-11-26,,356.18
2012-11-27,,358.91
2012-11-28,,359.45
2012-11-29,,361.27
2012-11-30,,360.66
2012-12-03,,360.76
2012-12-04,,359.31
2012-12-05,,361.62
2012-12-06,,365.27
2012-12-07,,368.1
2012-12-10,,370.0
2012-12-11,,370.16
2012-12-12,,369.56
2012-12-13,,367.38
2012-12-14,,365.96
2012-12-17,,364.96
2012-12-18,,365.26
2012-12-19,,363.87
2012-12-20,,365.16
2012-12-21,,364.33
2012-12-24,,363.29
2012-12-27,,363.13
2012-12-28,,364.04
2012-12-31,,364.1
2013-01-02,,374.25
2013-01-03,,376.9
2013-01-04,,375.65
2013-01-07,,375.12
2013-01-08,,373.68
2013-01-09,,377.88
2013-01-10,,375.42
2013-01-11,,369.84
2013-01-14,,369.44
2013-01-15,,370.26
2013-01-16,,372.74
2013-01-17,,373.2
2013-01-18,,373.97
2013-01-21,,374.53
2013-01-22,,375.1
2013-01-23,,376.57
2013-01-24,,376.9
2013-01-25,,372.23
2013-01-28,,372.17
2013-01-29,,375.57
2013-01-30,,373.21
2013-01-31,,371.84
2013-02-01,,370.91
2013-02-04,,371.95
2013-02-05,,370.2
2013-02-06,,371.81
2013-02-07,,373.94
2013-02-08,,379.53
2013-02-11,,377.78
2013-02-12,,377.24
2013-02-13,,380.55
2013-02-14,,384.78
2013-02-15,,384.23
2013-02-18,,385.54
2013-02-19,,387.08
2013-02-20,,386.44
2013-02-21,,382.76
2013-02-22,,385.69
2013-02-25,,387.7
2013-02-26,,385.05
2013-02-27,,388.52
2013-02-28,,392.18
2013-03-01,,394.34
2013-03-04,,390.19
2013-03-05,,394.42
2013-03-06,,397.21
2013-03-07,,395.94
2013-03-08,,398.33
2013-03-11,,400.4
2013-03-12,,398.71
2013-03-13,,399.06
2013-03-14,,397.36
2013-03-15,,397.84
2013-03-18,,395.9
2013-03-19,,392.91
2013-03-20,,394.24
2013-03-21,,394.89
2013-03-22,,395.36
2013-03-25,,397.6
2013-03-26,,399.75
2013-03-27,,403.32
2013-03-28,,403.08
2013-04-02,,404.33
2013-04-03,,401.52
2013-04-04,,397.22
2013-04-05,,385.29
2013-04-08,,389.35
2013-04-09,,392.29
2013-04-10,,397.75
2013-04-11,,399.37
2013-04-12,,395.74
2013-04-15,,390.79
2013-04-16,,389.12
2013-04-17,,389.92
2013-04-18,,387.29
2013-04-19,,389.32
2013-04-22,,390.46
2013-04-23,,396.39
2013-04-24,,401.35
2013-04-25,,405.03
2013-04-26,,402.16
2013-04-29,,404.72
2013-04-30,,405.85
2013-05-02,,404.82
2013-05-03,,406.18
2013-05-06,,405.41
2013-05-07,,402.66
2013-05-08,,403.6
2013-05-09,,405.02
2013-05-10,,405.56
2013-05-13,,404.0
2013-05-14,,404.3
2013-05-15,,405.93
2013-05-16,,401.92
2013-05-17,,402.02
2013-05-20,,404.84
2013-05-21,,401.02
2013-05-22,,399.19
2013-05-23,,390.11
2013-05-24,,381.53
2013-05-27,,381.62
2013-05-28,,385.97
2013-05-29,,378.62
2013-05-30,,376.43
2013-05-31,,374.01
2013-06-03,,371.16
2013-06-04,,371.18
2013-06-05,,361.19
2013-06-06,,354.59
2013-06-07,,355.41
2013-06-10,,353.42
2013-06-11,,348.0
2013-06-12,,347.29
2013-06-13,,350.25
2013-06-14,,352.57
2013-06-17,,357.39
2013-06-18,,355.0
2013-06-19,,354.95
2013-06-20,,339.06
2013-06-21,,338.72
2013-06-24,,335.44
2013-06-25,,344.02
2013-06-26,,351.24
2013-06-27,,355.13
2013-06-28,,351.16
2013-07-01,,349.8
2013-07-02,,352.28
2013-07-03,,345.64
2013-07-04,,354.21
2013-07-05,,350.85
2013-07-08,,354.11
2013-07-09,,361.21
2013-07-10,,362.5
2013-07-11,,362.26
2013-07-12,,359.12
2013-07-15,,360.95
2013-07-16,,360.29
2013-07-17,,362.54
2013-07-18,,362.02
2013-07-19,,360.17
2013-07-22,,361.4
2013-07-23,,363.14
2013-07-24,,362.97
2013-07-25,,360.81
2013-07-26,,361.26
2013-07-29,,361.73
2013-07-30,,359.77
2013-07-31,,354.97
2013-08-01,,358.82
2013-08-02,,359.87
2013-08-05,,358.72
2013-08-06,,356.73
2013-08-07,,352.26
2013-08-08,,355.79
2013-08-09,,360.22
2013-08-12,,364.84
2013-08-13,,367.68
2013-08-14,,368.72
2013-08-15,,364.59
2013-08-16,,364.95
2013-08-19,,362.44
2013-08-20,,355.19
2013-08-21,,352.99
2013-08-22,,354.14
2013-08-23,,355.24
2013-08-26,,356.66
2013-08-27,,350.7
2013-08-28,,350.1
2013-08-29,,355.18
2013-08-30,,355.1
2013-09-02,,364.93
2013-09-03,,366.32
2013-09-04,,367.32
2013-09-05,,369.99
2013-09-06,,371.0
2013-09-09,,370.77
2013-09-10,,375.2
2013-09-11,,375.03
2013-09-12,,373.9
2013-09-13,,373.53
2013-09-16,,377.79
2013-09-17,,378.31
