,ALOBR FP Equity_DX_SI_QTY,ALOBR FP Equity_DX_SHORT_INTEREST_VALUE,ALOBR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALOBR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALOBR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALOBR FP Equity_DX_SI_MV,ALOBR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALOBR FP Equity_DX_SUPPLY_SI_QTY,ALOBR FP Equity_DX_BROKER_SI_QTY,ALOBR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALOBR FP Equity_DX_SUPPLY_SI_MV,ALOBR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALOBR FP Equity_DX_UTILIZATION_QUANTITY,ALOBR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALOBR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALOBR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALOBR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALOBR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALOBR FP Equity_DX_BROKER_SI_CON_RATIO,ALOBR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALOBR FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.0,13069.2,0.01,0.0,,0.0,,0.0
2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.0,13069.2,0.01,0.0,,0.0,,0.0
2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.0,13085.35,0.01,0.0,,0.0,,0.0
2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.0,13069.2,0.01,0.0,,0.0,,0.0
2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,11696.54,0.01,0.0,,0.0,,0.0
2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,11494.12,0.01,0.0,,0.0,,0.0
2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,11060.38,0.01,0.0,,0.0,,0.0
2016-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10062.78,0.01,0.0,,0.0,,0.0
2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10279.65,0.01,0.0,,0.0,,0.0
2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10279.65,0.01,0.0,,0.0,,0.0
2016-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10380.86,0.01,0.0,,0.0,,0.0
2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10366.4,0.01,0.0,,0.0,,0.0
2016-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10366.4,0.01,0.0,,0.0,,0.0
2016-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10265.19,0.01,0.0,,0.0,,0.0
2016-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10279.65,0.01,0.0,,0.0,,0.0
2016-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10380.86,0.01,0.0,,0.0,,0.0
2016-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,9397.71,0.01,0.0,,0.0,,0.0
2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,10636.83,0.01,0.0,,0.0,,0.0
