,3CAS FP Equity_DX_SI_QTY,3CAS FP Equity_DX_SHORT_INTEREST_VALUE,3CAS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3CAS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3CAS FP Equity_DX_SI_MV,3CAS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3CAS FP Equity_DX_SUPPLY_SI_QTY,3CAS FP Equity_DX_BROKER_SI_QTY,3CAS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3CAS FP Equity_DX_SUPPLY_SI_MV,3CAS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3CAS FP Equity_DX_UTILIZATION_QUANTITY,3CAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3CAS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3CAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3CAS FP Equity_DX_ACTIVE_UTILIZATION_MV,3CAS FP Equity_DX_BROKER_SI_CON_RATIO,3CAS FP Equity_DX_DEMAND_SUPPLY_RATIO,3CAS FP Equity_PX_LAST
2024-03-25,,,,,,,,,,,,,,,,,,,36.105
2024-03-26,,,,,,,,,,,,,,,,,,,35.66
2024-03-27,,,,,,,,,,,,,,,,,,,35.63
2024-03-28,,,,,,,,,,,,,,,,,,,35.63
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,32067.0,0.03,0.0,0.0,0.0,
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,32899.5,0.03,0.0,0.0,0.0,36.555
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,32899.5,0.03,0.0,0.0,0.0,36.555
2024-04-04,,,,,,,,,,,,,,,,,,,36.555
2024-04-05,,,,,,,,,,,,,,,,,,,37.405
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,29352.0,0.03,0.0,0.0,0.0,36.69
2024-04-09,,,,,,,,,,,,,,,,,,,37.735
2024-04-10,,,,,,,,,,,,,,,,,,,37.98
2024-04-11,,,,,,,,,,,,,,,,,,,38.16
2024-04-12,,,,,,,,,,,,,,,,,,,38.44
2024-04-15,,,,,,,,,,,,,,,,,,,38.44
2024-04-16,,,,,,,,,,,,,,,,,,,38.44
2024-04-17,,,,,,,,,,,,,,,,,,,38.485
2024-04-18,,,,,,,,,,,,,,,,,,,38.485
2024-04-19,,,,,,,,,,,,,,,,,,,38.485
2024-04-22,,,,,,,,,,,,,,,,,,,37.59
2024-04-23,,,,,,,,,,,,,,,,,,,36.815
2024-04-24,,,,,,,,,,,,,,,,,,,36.75
2024-04-25,,,,,,,,,,,,,,,,,,,37.695
2024-04-26,,,,,,,,,,,,,,,,,,,37.305
2024-04-29,,,,,,,,,,,,,,,,,,,36.95
2024-04-30,,,,,,,,,,,,,,,,,,,37.93
2024-05-02,,,,,,,,,,,,,,,,,,,37.93
2024-05-03,,,,,,,,,,,,,,,,,,,38.025
2024-05-06,,,,,,,,,,,,,,,,,,,37.36
2024-05-07,,,,,,,,,,,,,,,,,,,36.305
2024-05-08,,,,,,,,,,,,,,,,,,,35.4
2024-05-09,,,,,,,,,,,,,,,,,,,34.79
2024-05-10,,,,,,,,,,,,,,,,,,,34.52
2024-05-13,,,,,,,,,,,,,,,,,,,34.305
2024-05-14,,,,,,,,,,,,,,,,,,,34.045
2024-05-15,,,,,,,,,,,,,,,,,,,33.96
2024-05-16,,,,,,,,,,,,,,,,,,,34.545
2024-05-17,,,,,,,,,,,,,,,,,,,34.91
2024-05-20,,,,,,,,,,,,,,,,,,,34.41
2024-05-21,,,,,,,,,,,,,,,,,,,34.86
2024-05-22,,,,,,,,,,,,,,,,,,,35.415
2024-05-23,,,,,,,,,,,,,,,,,,,35.4
2024-05-24,,,,,,,,,,,,,,,,,,,35.4
2024-05-27,,,,,,,,,,,,,,,,,,,34.97
2024-05-28,,,,,,,,,,,,,,,,,,,35.645
2024-05-29,,,,,,,,,,,,,,,,,,,37.19
2024-05-30,,,,,,,,,,,,,,,,,,,36.545
2024-05-31,,,,,,,,,,,,,,,,,,,36.58
2024-06-03,,,,,,,,,,,,,,,,,,,36.255
2024-06-04,,,,,,,,,,,,,,,,,,,37.125
2024-06-05,,,,,,,,,,,,,,,,,,,36.145
2024-06-06,,,,,,,,,,,,,,,,,,,35.77
2024-06-07,,,,,,,,,,,,,,,,,,,36.64
2024-06-10,,,,,,,,,,,,,,,,,,,37.91
2024-06-11,,,,,,,,,,,,,,,,,,,39.17
2024-06-12,,,,,,,,,,,,,,,,,,,38.025
2024-06-13,,,,,,,,,,,,,,,,,,,40.545
2024-06-14,,,,,,,,,,,,,,,,,,,43.715
2024-06-17,,,,,,,,,,,,,,,,,,,42.525
2024-06-18,,,,,,,,,,,,,,,,,,,41.57
2024-06-19,,,,,,,,,,,,,,,,,,,42.39
2024-06-20,,,,,,,,,,,,,,,,,,,40.59
2024-06-21,,,,,,,,,,,,,,,,,,,41.25
2024-06-24,,,,,,,,,,,,,,,,,,,40.04
2024-06-25,,,,,,,,,,,,,,,,,,,40.915
2024-06-26,,,,,,,,,,,,,,,,,,,41.695
2024-06-27,,,,,,,,,,,,,,,,,,,43.015
2024-06-28,,,,,,,,,,,,,,,,,,,44.13
2024-07-01,,,,,,,,,,,,,,,,,,,42.16
2024-07-02,,,,,,,,,,,,,,,,,,,42.875
2024-07-03,,,,,,,,,,,,,,,,,,,41.18
2024-07-04,,,,,,,,,,,,,,,,,,,40.26
2024-07-05,,,,,,,,,,,,,,,,,,,40.595
2024-07-08,,,,,,,,,,,,,,,,,,,41.225
2024-07-09,,,,,,,,,,,,,,,,,,,43.52
2024-07-10,,,,,,,,,,,,,,,,,,,42.065
2024-07-11,,,,,,,,,,,,,,,,,,,41.29
2024-07-12,,,,,,,,,,,,,,,,,,,39.585
2024-07-15,,,,,,,,,,,,,,,,,,,41.225
2024-07-16,,,,,,,,,,,,,,,,,,,41.975
2024-07-17,,,,,,,,,,,,,,,,,,,42.055
2024-07-18,,,,,,,,,,,,,,,,,,,41.705
2024-07-19,,,,,,,,,,,,,,,,,,,43.025
2024-07-22,,,,,,,,,,,,,,,,,,,41.57
2024-07-23,,,,,,,,,,,,,,,,,,,41.865
2024-07-24,,,,,,,,,,,,,,,,,,,43.27
2024-07-25,,,,,,,,,,,,,,,,,,,44.735
2024-07-26,,,,,,,,,,,,,,,,,,,43.155
2024-07-29,,,,,,,,,,,,,,,,,,,44.245
2024-07-30,,,,,,,,,,,,,,,,,,,43.75
2024-07-31,,,,,,,,,,,,,,,,,,,42.78
2024-08-01,,,,,,,,,,,,,,,,,,,45.705
2024-08-02,,,,,,,,,,,,,,,,,,,48.19
2024-08-05,,,,,,,,,,,,,,,,,,,50.22
2024-08-06,,,,,,,,,,,,,,,,,,,50.67
2024-08-07,,,,,,,,,,,,,,,,,,,47.435
2024-08-08,,,,,,,,,,,,,,,,,,,47.785
2024-08-09,,,,,,,,,,,,,,,,,,,47.49
2024-08-12,,,,,,,,,,,,,,,,,,,47.9
2024-08-13,,,,,,,,,,,,,,,,,,,47.4
2024-08-14,,,,,,,,,,,,,,,,,,,46.43
2024-08-15,,,,,,,,,,,,,,,,,,,44.6
2024-08-16,,,,,,,,,,,,,,,,,,,44.26
2024-08-19,,,,,,,,,,,,,,,,,,,43.11
2024-08-20,,,,,,,,,,,,,,,,,,,43.495
2024-08-21,,,,,,,,,,,,,,,,,,,42.805
2024-08-22,,,,,,,,,,,,,,,,,,,42.87
2024-08-23,,,,,,,,,,,,,,,,,,,42.0
2024-08-26,,,,,,,,,,,,,,,,,,,41.815
2024-08-27,,,,,,,,,,,,,,,,,,,42.18
2024-08-28,,,,,,,,,,,,,,,,,,,41.95
2024-08-29,,,,,,,,,,,,,,,,,,,41.02
2024-08-30,,,,,,,,,,,,,,,,,,,41.17
2024-09-02,,,,,,,,,,,,,,,,,,,41.045
2024-09-03,,,,,,,,,,,,,,,,,,,42.085
2024-09-04,,,,,,,,,,,,,,,,,,,43.505
2024-09-05,,,,,,,,,,,,,,,,,,,44.37
2024-09-06,,,,,,,,,,,,,,,,,,,46.255
2024-09-09,,,,,,,,,,,,,,,,,,,44.82
2024-09-10,,,,,,,,,,,,,,,,,,,45.045
2024-09-11,,,,,,,,,,,,,,,,,,,45.26
2024-09-12,,,,,,,,,,,,,,,,,,,44.68
2024-09-13,,,,,,,,,,,,,,,,,,,44.125
2024-09-16,,,,,,,,,,,,,,,,,,,44.45
2024-09-17,,,,,,,,,,,,,,,,,,,43.63
2024-09-18,,,,,,,,,,,,,,,,,,,44.31
2024-09-19,,,,,,,,,,,,,,,,,,,41.57
2024-09-20,,,,,,,,,,,,,,,,,,,43.35
2024-09-23,,,,,,,,,,,,,,,,,,,43.35
2024-09-24,,,,,,,,,,,,,,,,,,,41.63
2024-09-25,,,,,,,,,,,,,,,,,,,42.18
2024-09-26,,,,,,,,,,,,,,,,,,,39.41
2024-09-27,,,,,,,,,,,,,,,,,,,38.31
2024-09-30,,,,,,,,,,,,,,,,,,,40.725
2024-10-01,,,,,,,,,,,,,,,,,,,41.95
2024-10-02,,,,,,,,,,,,,,,,,,,41.855
2024-10-03,,,,,,,,,,,,,,,,,,,43.62
2024-10-04,,,,,,,,,,,,,,,,,,,42.185
2024-10-07,,,,,,,,,,,,,,,,,,,41.77
2024-10-08,,,,,,,,,,,,,,,,,,,42.745
2024-10-09,,,,,,,,,,,,,,,,,,,41.91
2024-10-10,,,,,,,,,,,,,,,,,,,42.265
2024-10-11,,,,,,,,,,,,,,,,,,,41.645
2024-10-14,,,,,,,,,,,,,,,,,,,41.48
2024-10-15,,,,,,,,,,,,,,,,,,,42.53
2024-10-16,,,,,,,,,,,,,,,,,,,43.18
2024-10-17,,,,,,,,,,,,,,,,,,,41.6
2024-10-18,,,,,,,,,,,,,,,,,,,41.25
2024-10-21,,,,,,,,,,,,,,,,,,,42.455
2024-10-22,,,,,,,,,,,,,,,,,,,42.46
2024-10-23,,,,,,,,,,,,,,,,,,,43.08
2024-10-24,,,,,,,,,,,,,,,,,,,43.0
2024-10-25,,,,,,,,,,,,,,,,,,,43.32
2024-10-28,,,,,,,,,,,,,,,,,,,42.025
2024-10-29,,,,,,,,,,,,,,,,,,,42.97
2024-10-30,,,,,,,,,,,,,,,,,,,44.46
2024-10-31,,,,,,,,,,,,,,,,,,,46.055
2024-11-01,,,,,,,,,,,,,,,,,,,44.725
2024-11-04,,,,,,,,,,,,,,,,,,,45.3
2024-11-05,,,,,,,,,,,,,,,,,,,44.81
2024-11-06,,,,,,,,,,,,,,,,,,,45.76
2024-11-07,,,,,,,,,,,,,,,,,,,44.515
2024-11-08,,,,,,,,,,,,,,,,,,,46.04
2024-11-11,,,,,,,,,,,,,,,,,,,44.505
2024-11-12,,,,,,,,,,,,,,,,,,,47.96
2024-11-13,,,,,,,,,,,,,,,,,,,48.235
2024-11-14,,,,,,,,,,,,,,,,,,,46.31
2024-11-15,,,,,,,,,,,,,,,,,,,47.015
2024-11-18,,,,,,,,,,,,,,,,,,,47.075
2024-11-19,,,,,,,,,,,,,,,,,,,47.99
2024-11-20,,,,,,,,,,,,,,,,,,,48.51
2024-11-21,,,,,,,,,,,,,,,,,,,48.12
2024-11-22,,,,,,,,,,,,,,,,,,,47.58
2024-11-25,,,,,,,,,,,,,,,,,,,47.41
2024-11-26,,,,,,,,,,,,,,,,,,,48.625
2024-11-27,,,,,,,,,,,,,,,,,,,49.685
2024-11-28,,,,,,,,,,,,,,,,,,,48.915
2024-11-29,,,,,,,,,,,,,,,,,,,47.84
2024-12-02,,,,,,,,,,,,,,,,,,,48.12
2024-12-03,,,,,,,,,,,,,,,,,,,47.3
2024-12-04,,,,,,,,,,,,,,,,,,,46.415
2024-12-05,,,,,,,,,,,,,,,,,,,45.765
2024-12-06,,,,,,,,,,,,,,,,,,,44.115
2024-12-09,,,,,,,,,,,,,,,,,,,43.105
2024-12-10,,,,,,,,,,,,,,,,,,,44.795
2024-12-11,,,,,,,,,,,,,,,,,,,44.1
2024-12-12,,,,,,,,,,,,,,,,,,,44.23
2024-12-13,,,,,,,,,,,,,,,,,,,44.635
2024-12-16,,,,,,,,,,,,,,,,,,,45.43
2024-12-17,,,,,,,,,,,,,,,,,,,45.225
2024-12-18,,,,,,,,,,,,,,,,,,,44.86
2024-12-19,,,,,,,,,,,,,,,,,,,46.555
2024-12-20,,,,,,,,,,,,,,,,,,,46.765
2024-12-23,,,,,,,,,,,,,,,,,,,47.17
2024-12-24,,,,,,,,,,,,,,,,,,,46.715
2024-12-27,,,,,,,,,,,,,,,,,,,45.795
2024-12-30,,,,,,,,,,,,,,,,,,,46.325
2024-12-31,,,,,,,,,,,,,,,,,,,45.115
2025-01-02,,,,,,,,,,,,,,,,,,,44.765
2025-01-03,,,,,,,,,,,,,,,,,,,46.91
2025-01-06,,,,,,,,,,,,,,,,,,,43.615
2025-01-07,,,,,,,,,,,,,,,,,,,42.67
2025-01-08,,,,,,,,,,,,,,,,,,,43.605
2025-01-09,,,,,,,,,,,,,,,,,,,42.845
2025-01-10,,,,,,,,,,,,,,,,,,,44.02
2025-01-13,,,,,,,,,,,,,,,,,,,44.385
2025-01-14,,,,,,,,,,,,,,,,,,,44.09
2025-01-15,,,,,,,,,,,,,,,,,,,42.865
2025-01-16,,,,,,,,,,,,,,,,,,,40.435
2025-01-17,,,,,,,,,,,,,,,,,,,39.17
2025-01-20,,,,,,,,,,,,,,,,,,,38.91
2025-01-21,,,,,,,,,,,,,,,,,,,38.27
2025-01-22,,,,,,,,,,,,,,,,,,,37.355
2025-01-23,,,,,,,,,,,,,,,,,,,36.555
2025-01-24,,,,,,,,,,,,,,,,,,,36.155
2025-01-27,,,,,,,,,,,,,,,,,,,36.405
2025-01-28,,,,,,,,,,,,,,,,,,,36.325
2025-01-29,,,,,,,,,,,,,,,,,,,37.025
2025-01-30,,,,,,,,,,,,,,,,,,,35.84
2025-01-31,,,,,,,,,,,,,,,,,,,35.97
2025-02-03,,,,,,,,,,,,,,,,,,,37.235
2025-02-04,,,,,,,,,,,,,,,,,,,36.34
2025-02-05,,,,,,,,,,,,,,,,,,,36.79
2025-02-06,,,,,,,,,,,,,,,,,,,34.835
2025-02-07,,,,,,,,,,,,,,,,,,,35.72
2025-02-10,,,,,,,,,,,,,,,,,,,35.05
2025-02-11,,,,,,,,,,,,,,,,,,,34.73
2025-02-12,,,,,,,,,,,,,,,,,,,34.515
2025-02-13,,,,,,,,,,,,,,,,,,,33.08
2025-02-14,,,,,,,,,,,,,,,,,,,33.09
2025-02-17,,,,,,,,,,,,,,,,,,,32.735
2025-02-18,,,,,,,,,,,,,,,,,,,32.325
2025-02-19,,,,,,,,,,,,,,,,,,,33.81
2025-02-20,,,,,,,,,,,,,,,,,,,33.635
2025-02-21,,,,,,,,,,,,,,,,,,,33.26
2025-02-24,,,,,,,,,,,,,,,,,,,34.055
2025-02-25,,,,,,,,,,,,,,,,,,,34.555
2025-02-26,,,,,,,,,,,,,,,,,,,33.315
2025-02-27,,,,,,,,,,,,,,,,,,,34.02
2025-02-28,,,,,,,,,,,,,,,,,,,34.08
2025-03-03,,,,,,,,,,,,,,,,,,,32.54
2025-03-04,,,,,,,,,,,,,,,,,,,34.705
2025-03-05,,,,,,,,,,,,,,,,,,,32.555
2025-03-06,,,,,,,,,,,,,,,,,,,32.24
2025-03-07,,,,,,,,,,,,,,,,,,,33.685
2025-03-10,,,,,,,,,,,,,,,,,,,34.41
2025-03-11,,,,,,,,,,,,,,,,,,,35.935
2025-03-12,,,,,,,,,,,,,,,,,,,35.235
2025-03-13,,,,,,,,,,,,,,,,,,,35.85
2025-03-14,,,,,,,,,,,,,,,,,,,34.7
2025-03-17,,,,,,,,,,,,,,,,,,,34.14
2025-03-18,,,,,,,,,,,,,,,,,,,33.54
2025-03-19,,,,,,,,,,,,,,,,,,,32.79
2025-03-20,,,,,,,,,,,,,,,,,,,33.655
2025-03-21,,,,,,,,,,,,,,,,,,,34.375
2025-03-24,,,,,,,,,,,,,,,,,,,34.755
2025-03-25,,,,,,,,,,,,,,,,,,,33.555
2025-03-26,,,,,,,,,,,,,,,,,,,34.52
2025-03-27,,,,,,,,,,,,,,,,,,,35.285
2025-03-28,,,,,,,,,,,,,,,,,,,36.1
2025-03-31,,,,,,,,,,,,,,,,,,,37.73
2025-04-01,,,,,,,,,,,,,,,,,,,36.595
2025-04-02,,,,,,,,,,,,,,,,,,,36.8
2025-04-03,,,,,,,,,,,,,,,,,,,40.57
2025-04-04,,,,,,,,,,,,,,,,,,,45.295
2025-04-07,,,,,,,,,,,,,,,,,,,52.25
2025-04-08,,,,,,,,,,,,,,,,,,,48.4
2025-04-09,,,,,,,,,,,,,,,,,,,52.94
2025-04-10,,,,,,,,,,,,,,,,,,,46.52
2025-04-11,,,,,,,,,,,,,,,,,,,47.455
2025-04-14,,,,,,,,,,,,,,,,,,,44.24
2025-04-15,,,,,,,,,,,,,,,,,,,42.935
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4303.5,0.0,0.0,0.0,0.0,43.035
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4380.5,0.0,0.0,0.0,0.0,43.805
