,OBLI FP Equity_DX_SI_QTY,OBLI FP Equity_DX_SHORT_INTEREST_VALUE,OBLI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,OBLI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,OBLI FP Equity_DX_SI_MV,OBLI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,OBLI FP Equity_DX_SUPPLY_SI_QTY,OBLI FP Equity_DX_BROKER_SI_QTY,OBLI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,OBLI FP Equity_DX_SUPPLY_SI_QTY_INC_x,OBLI FP Equity_DX_BROKER_SI_MV_INC_x,OBLI FP Equity_DX_BROKER_SI_QTY_ADD,OBLI FP Equity_DX_SUPPLY_SI_MV_DEC,OBLI FP Equity_DX_BROKER_SI_QTY_INC,OBLI FP Equity_DX_SUPPLY_SI_QTY_DEC,OBLI FP Equity_DX_BROKER_SI_MV_INC_y,OBLI FP Equity_DX_SUPPLY_SI_QTY_INC_y,OBLI FP Equity_DX_BROKER_SI_MV_ADD,OBLI FP Equity_DX_SUPPLY_SI_QTY_ADD,OBLI FP Equity_DX_BROKER_SI_QTY_DEC,OBLI FP Equity_DX_SUPPLY_SI_MV,OBLI FP Equity_DX_BROKER_SI_MV_DEC,OBLI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,OBLI FP Equity_DX_UTILIZATION_QUANTITY,OBLI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,OBLI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,OBLI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,OBLI FP Equity_DX_ACTIVE_UTILIZATION_MV,OBLI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,OBLI FP Equity_DX_BROKER_SI_CON_RATIO,OBLI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,OBLI FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7743.5,0.01,0.0,,0.0,,0.0
2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7769.0,0.01,0.0,,0.0,,0.0
2024-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7733.3,0.01,0.0,,0.0,,0.0
2024-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7740.95,0.01,0.0,,0.0,,0.0
2024-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7752.85,0.01,0.0,,0.0,,0.0
2024-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7762.2,0.01,0.0,,0.0,,0.0
2024-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7784.3,0.01,0.0,,0.0,,0.0
2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7752.0,0.01,0.0,,0.0,,0.0
2024-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7809.8,0.01,0.0,,0.0,,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7824.25,0.01,0.0,,0.0,,0.0
2024-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7784.3,0.01,0.0,,0.0,,0.0
2024-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7729.05,0.01,0.0,,0.0,,0.0
2024-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7741.8,0.01,0.0,,0.0,,0.0
2024-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7739.25,0.01,0.0,,0.0,,0.0
2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7713.75,0.01,0.0,,0.0,,0.0
2024-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7692.5,0.01,0.0,,0.0,,0.0
2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7721.4,0.01,0.0,,0.0,,0.0
2024-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7705.25,0.01,0.0,,0.0,,0.0
2024-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7729.9,0.01,0.0,,0.0,,0.0
2024-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7739.25,0.01,0.0,,0.0,,0.0
2024-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7711.2,0.01,0.0,,0.0,,0.0
2024-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7709.5,0.01,0.0,,0.0,,0.0
2024-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7720.55,0.01,0.0,,0.0,,0.0
2024-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7701.85,0.01,0.0,,0.0,,0.0
2024-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7701.0,0.01,0.0,,0.0,,0.0
2024-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7770.7,0.01,0.0,,0.0,,0.0
2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7708.65,0.01,0.0,,0.0,,0.0
2024-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7695.9,0.01,0.0,,0.0,,0.0
2024-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7686.55,0.01,0.0,,0.0,,0.0
2024-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7707.8,0.01,0.0,,0.0,,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7702.7,0.01,0.0,,0.0,,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7718.0,0.01,0.0,,0.0,,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7766.45,0.01,0.0,,0.0,,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7773.25,0.01,0.0,,0.0,,0.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5966.35,0.01,0.0,,0.0,,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5974.8,0.01,0.0,,0.0,,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5961.15,0.01,0.0,,0.0,,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5959.85,0.01,0.0,,0.0,,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5946.85,0.01,0.0,,0.0,,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5926.05,0.01,0.0,,0.0,,0.0
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5915.65,0.01,0.0,,0.0,,0.0
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5917.6,0.01,0.0,,0.0,,0.0
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5915.65,0.01,0.0,,0.0,,0.0
2024-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5918.25,0.01,0.0,,0.0,,0.0
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5929.95,0.01,0.0,,0.0,,0.0
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5953.35,0.01,0.0,,0.0,,0.0
2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5936.45,0.01,0.0,,0.0,,0.0
2024-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5936.45,0.01,0.0,,0.0,,0.0
2024-03-27,438.0,4016.46,0.02,0.01,0.0,4016.46,438.0,438.0,4016.46,,,438.0,,,,,,0.0,438.0,,0.0,,100.0,40.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.4026
2024-03-28,438.0,4012.96,0.02,0.01,0.0,4012.96,438.0,438.0,4012.96,,,,,,,,,,,,0.0,,100.0,40.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.4026
2024-03-29,788.0,7219.66,0.04,0.02,0.01,4012.96,438.0,438.0,4012.96,,,,,,,,,,,,0.0,,100.0,40.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.7243
2024-04-01,788.0,7219.66,0.04,0.02,0.01,4012.96,438.0,438.0,4012.96,,,,,,,,,,,,0.0,,100.0,40.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.7243
2024-04-02,438.0,3980.54,0.02,0.01,0.0,3980.54,438.0,438.0,3980.54,,,,,,,,,,,,0.0,,100.0,40.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.4026
2024-04-03,438.0,3980.11,0.03,0.01,0.0,3980.11,438.0,438.0,3980.11,,,,,,,,,,,,0.0,,100.0,40.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.4026
2024-04-04,350.0,3195.85,0.02,0.01,0.0,3195.85,350.0,350.0,3195.85,,,,0.0,,88.0,,,,,88.0,0.0,0.0,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-05,350.0,3183.25,0.02,0.01,0.0,3183.25,350.0,350.0,3183.25,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-08,350.0,3180.8,0.02,0.01,0.0,3180.8,350.0,350.0,3180.8,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-09,350.0,3196.55,0.02,0.01,0.0,3196.55,350.0,350.0,3196.55,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-10,350.0,3185.35,0.02,0.01,0.0,3185.35,350.0,350.0,3185.35,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-11,350.0,3182.55,0.02,0.01,0.0,3182.55,350.0,350.0,3182.55,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-12,350.0,3209.5,0.02,0.01,0.0,3209.5,350.0,350.0,3209.5,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-15,350.0,3188.15,0.02,0.01,0.0,3188.15,350.0,350.0,3188.15,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-16,350.0,3174.5,0.02,0.01,0.0,3174.5,350.0,350.0,3174.5,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-17,350.0,3176.25,0.02,0.01,0.0,3176.25,350.0,350.0,3176.25,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-18,350.0,3176.25,0.02,0.01,0.0,3176.25,350.0,350.0,3176.25,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-19,511.0,4628.64,0.03,0.02,0.0,4628.64,511.0,511.0,4628.64,161.0,0.0,,,161.0,,0.0,161.0,,,,0.0,,100.0,44.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.4401
2024-04-22,511.0,4640.9,0.03,0.02,0.0,4640.9,511.0,511.0,4640.9,,,,,,,,,,,,0.0,,100.0,44.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.4401
2024-04-23,350.0,3177.3,0.02,0.01,0.0,3177.3,350.0,350.0,3177.3,,,,0.0,,161.0,,,,,161.0,0.0,0.0,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-24,350.0,3157.35,0.02,0.01,0.0,3157.35,350.0,350.0,3157.35,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-25,350.0,3148.95,0.02,0.01,0.0,3148.95,350.0,350.0,3148.95,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-26,350.0,3159.45,0.02,0.01,0.0,3159.45,350.0,350.0,3159.45,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-29,350.0,3172.05,0.02,0.01,0.0,3172.05,350.0,350.0,3172.05,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-04-30,350.0,3167.85,0.02,0.01,0.0,3167.85,350.0,350.0,3167.85,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-05-01,700.0,6335.7,0.04,0.02,0.01,3167.85,350.0,350.0,3167.85,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.7
2024-05-02,350.0,3173.45,0.02,0.01,0.0,3173.45,350.0,350.0,3173.45,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2024-05-03,350.0,3180.1,0.02,0.01,0.0,3180.1,350.0,350.0,3180.1,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2024-05-06,350.0,3191.3,0.02,0.01,0.0,3191.3,350.0,350.0,3191.3,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-05-07,350.0,3200.4,0.02,0.01,0.0,3200.4,350.0,350.0,3200.4,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-05-08,700.0,6383.3,0.04,0.02,0.01,3191.65,350.0,350.0,3191.65,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.7
2024-05-09,700.0,6367.2,0.04,0.02,0.01,3183.6,350.0,350.0,3183.6,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.7
2024-05-10,350.0,3180.1,0.02,0.01,0.0,3180.1,350.0,350.0,3180.1,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-05-13,350.0,3180.45,0.02,0.01,0.0,3180.45,350.0,350.0,3180.45,,,,,,,,,,,,0.0,,100.0,35.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.35
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,350.0,,,,,350.0,0.0,0.0,0.0,0.0,1000.0,9068.0,0.01,0.0,,0.0,,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5941.0,0.01,0.0,,0.0,,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5939.05,0.01,0.0,,0.0,,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5911.1,0.01,0.0,,0.0,,0.0
2024-05-20,89.0,808.74,0.01,0.0,0.0,808.74,89.0,89.0,808.74,,,89.0,,,,,,0.0,89.0,,0.0,,100.0,12.04,0.0,0.0,0.0,100.0,,1.0,100.0,0.1204
2024-05-21,89.0,809.46,0.01,0.0,0.0,809.46,89.0,89.0,809.46,,,,,,,,,,,,0.0,,100.0,12.04,0.0,0.0,0.0,100.0,,1.0,100.0,0.1204
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,89.0,,,,,89.0,0.0,0.0,0.0,0.0,650.0,5900.05,0.01,0.0,,0.0,,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5871.45,0.01,0.0,,0.0,,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5889.0,0.01,0.0,,0.0,,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5907.85,0.01,0.0,,0.0,,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5891.6,0.01,0.0,,0.0,,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5856.5,0.01,0.0,,0.0,,0.0
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5859.75,0.01,0.0,,0.0,,0.0
2024-05-31,300.0,2709.6,0.02,0.01,0.0,2709.6,300.0,300.0,2709.6,,,300.0,,,,,,0.0,300.0,,0.0,,100.0,31.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.3158
2024-06-03,300.0,2723.4,0.02,0.01,0.0,2723.4,300.0,300.0,2723.4,,,,,,,,,,,,0.0,,100.0,31.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.3158
2024-06-04,300.0,2726.7,0.02,0.01,0.0,2726.7,300.0,300.0,2726.7,,,,,,,,,,,,0.0,,100.0,31.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.3158
2024-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,300.0,,,,,300.0,0.0,0.0,0.0,0.0,650.0,5925.4,0.01,0.0,,0.0,100.0,0.0
2024-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5913.7,0.01,0.0,,0.0,,0.0
2024-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5880.55,0.01,0.0,,0.0,,0.0
2024-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5837.0,0.01,0.0,,0.0,,0.0
2024-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5841.55,0.01,0.0,,0.0,,0.0
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5878.6,0.01,0.0,,0.0,,0.0
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5883.15,0.01,0.0,,0.0,,0.0
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5910.45,0.01,0.0,,0.0,,0.0
2024-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5895.5,0.01,0.0,,0.0,,0.0
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,650.0,5905.9,0.01,0.0,,0.0,,0.0
