,BTC FP Equity_DX_SI_QTY,BTC FP Equity_DX_SHORT_INTEREST_VALUE,BTC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BTC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BTC FP Equity_DX_SI_MV,BTC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BTC FP Equity_DX_SUPPLY_SI_QTY,BTC FP Equity_DX_BROKER_SI_QTY,BTC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BTC FP Equity_DX_BROKER_SI_MV_NEW_x,BTC FP Equity_DX_SUPPLY_SI_QTY_INC_x,BTC FP Equity_DX_BROKER_SI_MV_INC_x,BTC FP Equity_DX_BROKER_SI_QTY_ADD,BTC FP Equity_DX_BROKER_SI_QTY_NEW,BTC FP Equity_DX_SUPPLY_SI_MV_DEC,BTC FP Equity_DX_BROKER_SI_QTY_INC,BTC FP Equity_DX_SUPPLY_SI_QTY_DEC,BTC FP Equity_DX_BROKER_SI_MV_NEW_y,BTC FP Equity_DX_BROKER_SI_MV_INC_y,BTC FP Equity_DX_SUPPLY_SI_QTY_INC_y,BTC FP Equity_DX_BROKER_SI_MV_ADD,BTC FP Equity_DX_SUPPLY_SI_QTY_ADD,BTC FP Equity_DX_BROKER_SI_QTY_DEC,BTC FP Equity_DX_SUPPLY_SI_MV,BTC FP Equity_DX_BROKER_SI_MV_DEC,BTC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BTC FP Equity_DX_UTILIZATION_QUANTITY,BTC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BTC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BTC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BTC FP Equity_DX_ACTIVE_UTILIZATION_MV,BTC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BTC FP Equity_DX_BROKER_SI_CON_RATIO,BTC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BTC FP Equity_DX_DEMAND_SUPPLY_RATIO,BTC FP Equity_PX_LAST
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.51
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.69
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.11
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.61
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.87
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.02
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.79
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.58
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.77
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.21
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.84
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.07
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.57
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.73
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.26
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.81
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.97
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.18
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.42
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.43
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.25
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.71
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66
2022-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02
2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42
2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.39
2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.11
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2022-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.63
2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.13
2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66
2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.97
2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54
2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15
2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43
2022-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69
2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43
2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03
2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09
2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04
2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69
2022-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88
2022-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43
2022-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98
2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87
2022-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86
2022-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86
2022-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53
2022-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76
2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28
2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61
2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,195.0,1314.3,0.0,0.0,,0.0,,0.0,6.74
2022-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,195.0,1357.2,0.0,0.0,,0.0,,0.0,6.96
2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,295.0,2006.0,0.0,0.0,,0.0,,0.0,6.8
2022-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,295.0,1952.9,0.0,0.0,,0.0,,0.0,6.62
2022-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,295.0,1805.4,0.0,0.0,,0.0,,0.0,6.12
2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,295.0,1743.45,0.0,0.0,,0.0,,0.0,5.91
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,295.0,1752.3,0.0,0.0,,0.0,,0.0,5.94
2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,325.0,1940.25,0.0,0.0,,0.0,,0.0,5.97
2022-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,2592.5,0.0,0.0,,0.0,,0.0,6.1
2022-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,2724.25,0.0,0.0,,0.0,,0.0,6.41
2022-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,2915.5,0.0,0.0,,0.0,,0.0,6.86
2022-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,3191.75,0.0,0.0,,0.0,,0.0,7.51
2022-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,2949.5,0.0,0.0,,0.0,,0.0,6.94
2022-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,2881.5,0.0,0.0,,0.0,,0.0,6.78
2022-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,2898.5,0.0,0.0,,0.0,,0.0,6.82
2022-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,2839.0,0.0,0.0,,0.0,,0.0,6.68
2022-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,2941.0,0.0,0.0,,0.0,,0.0,6.92
2022-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,3293.75,0.0,0.0,,0.0,,0.0,7.75
2022-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,3391.5,0.0,0.0,,0.0,,0.0,7.98
2022-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,425.0,3897.25,0.0,0.0,,0.0,,0.0,9.17
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69
2022-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85
2022-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37
2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47
2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.59
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2022-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,110.0,1096.7,0.0,0.0,,0.0,,0.0,9.97
2022-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,110.0,1155.0,0.0,0.0,,0.0,,0.0,10.5
2022-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,110.0,1172.6,0.0,0.0,,0.0,,0.0,10.66
2022-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,110.0,1224.3,0.0,0.0,,0.0,,0.0,11.13
2022-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,110.0,1162.7,0.0,0.0,,0.0,,0.0,10.57
2022-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,110.0,1127.5,0.0,0.0,,0.0,,0.0,10.25
2022-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,110.0,1084.6,0.0,0.0,,0.0,,0.0,9.86
2022-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,110.0,976.8,0.0,0.0,,0.0,,0.0,8.88
2022-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,258.0,2216.22,0.0,0.0,,0.0,,0.0,8.59
2022-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,278.0,2399.14,0.0,0.0,,0.0,,0.0,8.63
2022-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,278.0,2471.42,0.0,0.0,,0.0,,0.0,8.89
2022-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,378.0,3299.94,0.0,0.0,,0.0,,0.0,8.73
2022-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,378.0,3129.84,0.0,0.0,,0.0,,0.0,8.28
