,ALOPM FP Equity_DX_SI_QTY,ALOPM FP Equity_DX_SHORT_INTEREST_VALUE,ALOPM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALOPM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALOPM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALOPM FP Equity_DX_SI_MV,ALOPM FP Equity_DX_DSS,ALOPM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALOPM FP Equity_DX_SUPPLY_SI_QTY,ALOPM FP Equity_DX_BROKER_SI_QTY,ALOPM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALOPM FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALOPM FP Equity_DX_BROKER_SI_MV_INC_x,ALOPM FP Equity_DX_BROKER_SI_QTY_ADD,ALOPM FP Equity_DX_SUPPLY_SI_MV_DEC,ALOPM FP Equity_DX_BROKER_SI_QTY_INC,ALOPM FP Equity_DX_SUPPLY_SI_QTY_DEC,ALOPM FP Equity_DX_BROKER_SI_MV_INC_y,ALOPM FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALOPM FP Equity_DX_BROKER_SI_MV_ADD,ALOPM FP Equity_DX_SUPPLY_SI_QTY_ADD,ALOPM FP Equity_DX_BROKER_SI_QTY_DEC,ALOPM FP Equity_DX_SUPPLY_SI_MV,ALOPM FP Equity_DX_BROKER_SI_MV_DEC,ALOPM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALOPM FP Equity_DX_UTILIZATION_QUANTITY,ALOPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALOPM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALOPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALOPM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALOPM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALOPM FP Equity_DX_BROKER_SI_CON_RATIO,ALOPM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALOPM FP Equity_DX_DEMAND_SUPPLY_RATIO
2023-07-05,8374.0,10969.94,0.05,1.42,0.05,0.01,0.0,5484.97,4187.0,4187.0,5484.97,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-06,8374.0,10969.94,0.05,1.4,0.05,0.01,0.0,5484.97,4187.0,4187.0,5484.97,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-07,8374.0,11053.68,0.05,1.43,0.05,0.01,0.0,5526.84,4187.0,4187.0,5526.84,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-10,8374.0,10802.46,0.05,1.39,0.05,0.01,0.0,5401.23,4187.0,4187.0,5401.23,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-11,8374.0,10886.2,0.05,1.4,0.05,0.01,0.0,5443.1,4187.0,4187.0,5443.1,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-12,8374.0,10969.94,0.05,1.46,0.05,0.01,0.0,5484.97,4187.0,4187.0,5484.97,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-13,8374.0,10718.72,0.05,1.41,0.05,0.01,0.0,5359.36,4187.0,4187.0,5359.36,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-14,8374.0,10802.46,0.05,1.43,0.05,0.01,0.0,5401.23,4187.0,4187.0,5401.23,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-17,22574.0,29007.59,0.14,3.62,0.14,0.03,0.0,14503.8,11287.0,11287.0,14503.8,7100.0,0.01,,,7100.0,,0.01,7100.0,,,,0.01,,100.0,68.72,0.0,0.0,0.0,100.0,,1.0,100.0,1.3744
2023-07-18,22574.0,28217.5,0.14,3.49,0.14,0.03,0.0,14108.75,11287.0,11287.0,14108.75,,,,,,,,,,,,0.01,,100.0,68.72,0.0,0.0,0.0,100.0,,1.0,100.0,1.3744
2023-07-19,22574.0,32280.82,0.14,3.45,0.14,0.03,0.0,16140.41,11287.0,11287.0,16140.41,,,,,,,,,,,,0.01,,100.0,68.72,0.0,0.0,0.0,100.0,,1.0,100.0,1.3744
2023-07-20,22574.0,31603.6,0.14,2.93,0.14,0.03,0.0,15801.8,11287.0,11287.0,15801.8,,,,,,,,,,,,0.02,,100.0,68.72,0.0,0.0,0.0,100.0,,1.0,100.0,1.3744
2023-07-21,22574.0,31716.47,0.14,2.69,0.14,0.03,0.0,15858.24,11287.0,11287.0,15858.24,,,,,,,,,,,,0.02,,100.0,68.72,0.0,0.0,0.0,100.0,,1.0,100.0,1.3744
2023-07-24,22574.0,33861.0,0.14,3.02,0.14,0.03,0.0,16930.5,11287.0,11287.0,16930.5,,,,,,,,,,,,0.02,,100.0,68.72,0.0,0.0,0.0,100.0,,1.0,100.0,1.3744
2023-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.02,,11287.0,,,,,11287.0,0.0,0.02,0.0,0.0,16425.0,26937.0,0.02,0.0,,0.0,,0.0
2023-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,16425.0,29072.25,0.03,0.0,,0.0,,0.0
2023-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,16425.0,29565.0,0.03,0.0,,0.0,,0.0
2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,16425.0,31946.63,0.03,0.0,,0.0,,0.0
2023-07-31,5000.0,9400.0,0.03,0.54,0.03,0.01,0.0,9400.0,5000.0,5000.0,9400.0,,,5000.0,,,,,,0.01,5000.0,,0.01,,100.0,28.96,0.0,0.0,0.0,100.0,,1.0,100.0,0.2896
2023-08-01,5000.0,9000.0,0.03,0.51,0.03,0.01,0.0,9000.0,5000.0,5000.0,9000.0,,,,,,,,,,,,0.01,,100.0,28.96,0.0,0.0,0.0,100.0,,1.0,100.0,0.2896
2023-08-02,5000.0,8750.0,0.03,0.47,0.03,0.01,0.0,8750.0,5000.0,5000.0,8750.0,,,,,,,,,,,,0.01,,100.0,28.96,0.0,0.0,0.0,100.0,,1.0,100.0,0.2896
2023-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.01,,5000.0,,,,,5000.0,0.0,0.01,0.0,0.0,17264.0,30212.0,0.03,0.0,,0.0,,0.0
2023-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17264.0,32024.72,0.03,0.0,,0.0,,0.0
2023-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17264.0,32628.96,0.03,0.0,,0.0,,0.0
2023-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17264.0,34441.68,0.03,0.0,,0.0,,0.0
2023-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17264.0,34528.0,0.03,0.0,,0.0,,0.0
2023-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17264.0,34010.08,0.03,0.0,,0.0,,0.0
2023-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17264.0,32111.04,0.03,0.0,,0.0,,0.0
2023-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17264.0,34441.68,0.03,0.0,,0.0,,0.0
2023-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17264.0,34528.0,0.03,0.0,,0.0,,0.0
2023-08-16,952.0,1951.6,0.01,0.06,0.01,0.0,0.0,1951.6,952.0,952.0,1951.6,,,952.0,,,,,,0.0,952.0,,0.0,,100.0,5.51,0.0,0.0,0.0,100.0,,1.0,100.0,0.0551
2023-08-17,952.0,2046.8,0.01,0.05,0.01,0.0,0.0,2046.8,952.0,952.0,2046.8,,,,,,,,,,,,0.0,,100.0,5.51,0.0,0.0,0.0,100.0,,1.0,100.0,0.0551
2023-08-18,952.0,2037.28,0.01,0.05,0.01,0.0,0.0,2037.28,952.0,952.0,2037.28,,,,,,,,,,,,0.0,,100.0,5.51,0.0,0.0,0.0,100.0,,1.0,100.0,0.0551
2023-08-21,16398.0,35091.72,0.1,0.8,0.1,0.04,0.0,35091.72,16398.0,16398.0,35091.72,15446.0,,15446.0,,,,,15446.0,0.03,,,0.04,,100.0,94.98,0.0,0.0,0.0,100.0,5.83,0.8902,94.17,0.9498
2023-08-22,16398.0,33943.86,0.1,0.79,0.1,0.03,0.0,33943.86,16398.0,16398.0,33943.86,,,,,,,,,,,,0.04,,100.0,94.98,0.0,0.0,0.0,100.0,6.02,0.8869,93.98,0.9498
2023-08-23,16398.0,33615.9,0.1,0.77,0.1,0.03,0.0,33615.9,16398.0,16398.0,33615.9,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,5.89,0.8892,94.11,0.9498
2023-08-24,16398.0,34763.76,0.1,0.76,0.1,0.03,0.0,34763.76,16398.0,16398.0,34763.76,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,5.65,0.8934,94.35,0.9498
2023-08-25,16398.0,34763.76,0.1,0.74,0.1,0.03,0.0,34763.76,16398.0,16398.0,34763.76,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,5.83,0.8902,94.17,0.9498
2023-08-28,16798.0,35275.8,0.1,0.77,0.1,0.04,0.0,35275.8,16398.0,16798.0,34435.8,,0.0,,,400.0,,0.0,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.14,0.8505,91.86,0.973
2023-08-29,16798.0,35779.74,0.1,0.78,0.1,0.04,0.0,35779.74,16398.0,16798.0,34927.74,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,7.96,0.8536,92.04,0.973
2023-08-30,16798.0,34603.88,0.1,0.76,0.1,0.03,0.0,34603.88,16398.0,16798.0,33779.88,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.31,0.8476,91.69,0.973
2023-08-31,16798.0,34771.86,0.1,0.82,0.1,0.03,0.0,34771.86,16398.0,16798.0,33943.86,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.05,0.8519,91.95,0.973
2023-09-01,16798.0,35611.76,0.1,0.85,0.1,0.04,0.0,35611.76,16398.0,16798.0,34763.76,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,7.9,0.8544,92.1,0.973
2023-09-04,16798.0,34603.88,0.1,0.85,0.1,0.04,0.0,34603.88,16398.0,16798.0,33779.88,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.05,0.8519,91.95,0.973
2023-09-05,16798.0,35107.82,0.1,0.87,0.1,0.04,0.0,35107.82,16398.0,16798.0,34271.82,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,7.98,0.8532,92.02,0.973
2023-09-06,16798.0,35275.8,0.1,0.91,0.1,0.04,0.0,35275.8,16398.0,16798.0,34435.8,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.03,0.8522,91.97,0.973
2023-09-07,16798.0,33596.0,0.1,0.93,0.1,0.03,0.0,33596.0,16398.0,16798.0,32796.0,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.45,0.8453,91.55,0.973
2023-09-08,16798.0,34435.9,0.1,0.93,0.1,0.03,0.0,34435.9,16398.0,16798.0,33615.9,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,7.86,0.8551,92.14,0.973
2023-09-11,16798.0,32756.1,0.1,1.02,0.1,0.03,0.0,32756.1,16398.0,16798.0,31976.1,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.45,0.8453,91.55,0.973
2023-09-12,16798.0,32756.1,0.1,1.05,0.1,0.03,0.0,32756.1,16398.0,16798.0,31976.1,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.04,0.8521,91.96,0.973
2023-09-13,16798.0,33763.98,0.1,1.12,0.1,0.03,0.0,33763.98,16398.0,16798.0,32959.98,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,7.82,0.8558,92.18,0.973
2023-09-14,16798.0,33596.0,0.1,1.14,0.1,0.03,0.0,33596.0,16398.0,16798.0,32796.0,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.11,0.851,91.89,0.973
2023-09-15,16798.0,33596.0,0.1,1.16,0.1,0.03,0.0,33596.0,16398.0,16798.0,32796.0,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.05,0.852,91.95,0.973
2023-09-18,16798.0,33092.06,0.1,1.18,0.1,0.03,0.0,33092.06,16398.0,16798.0,32304.06,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.15,0.8502,91.85,0.973
2023-09-19,16798.0,33092.06,0.1,1.19,0.1,0.03,0.0,33092.06,16398.0,16798.0,32304.06,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.05,0.8519,91.95,0.973
2023-09-20,16798.0,33344.03,0.1,1.32,0.1,0.03,0.0,33344.03,16398.0,16798.0,32550.03,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,7.97,0.8532,92.03,0.973
2023-09-21,16798.0,32840.09,0.1,1.37,0.1,0.03,0.0,32840.09,16398.0,16798.0,32058.09,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,8.19,0.8496,91.81,0.973
2023-09-22,16398.0,31320.18,0.1,1.35,0.1,0.03,0.0,31320.18,16398.0,16398.0,31320.18,,,,,,,,,,,400.0,0.03,0.0,100.0,94.98,0.0,0.0,0.0,100.0,5.95,0.8881,94.05,0.9498
2023-09-25,16398.0,31402.17,0.1,1.38,0.1,0.03,0.0,31402.17,16398.0,16398.0,31402.17,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,5.79,0.8909,94.21,0.9498
2023-09-26,16398.0,29516.4,0.1,1.59,0.1,0.03,0.0,29516.4,16398.0,16398.0,29516.4,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,6.17,0.8842,93.83,0.9498
2023-09-27,16398.0,29434.41,0.1,1.62,0.1,0.03,0.0,29434.41,16398.0,16398.0,29434.41,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,5.81,0.8906,94.19,0.9498
2023-09-28,15446.0,30042.47,0.09,2.15,0.09,0.03,0.0,30042.47,15446.0,15446.0,30042.47,,,,0.0,,952.0,,,,,952.0,0.03,0.0,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-09-29,15446.0,28806.79,0.09,2.29,0.09,0.03,0.0,28806.79,15446.0,15446.0,28806.79,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-02,15446.0,27648.34,0.09,2.36,0.09,0.03,0.0,27648.34,15446.0,15446.0,27648.34,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-03,15446.0,29270.17,0.09,1.78,0.09,0.03,0.0,29270.17,15446.0,15446.0,29270.17,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-04,15446.0,30892.0,0.09,1.79,0.09,0.03,0.0,30892.0,15446.0,15446.0,30892.0,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-05,15446.0,29965.24,0.09,1.55,0.09,0.03,0.0,29965.24,15446.0,15446.0,29965.24,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-06,15446.0,31046.46,0.09,1.65,0.09,0.03,0.0,31046.46,15446.0,15446.0,31046.46,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-09,15446.0,31664.3,0.09,1.52,0.09,0.03,0.0,31664.3,15446.0,15446.0,31664.3,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-10,15446.0,31355.38,0.09,1.51,0.09,0.03,0.0,31355.38,15446.0,15446.0,31355.38,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-11,15446.0,31355.38,0.09,1.56,0.09,0.03,0.0,31355.38,15446.0,15446.0,31355.38,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-12,15446.0,31355.38,0.09,1.57,0.09,0.03,0.0,31355.38,15446.0,15446.0,31355.38,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-13,15446.0,32282.14,0.09,1.57,0.09,0.03,0.0,32282.14,15446.0,15446.0,32282.14,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-16,15446.0,32899.98,0.09,1.54,0.09,0.03,0.0,32899.98,15446.0,15446.0,32899.98,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-17,15446.0,32591.06,0.09,1.49,0.09,0.03,0.0,32591.06,15446.0,15446.0,32591.06,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-18,15446.0,31973.22,0.09,1.5,0.09,0.03,0.0,31973.22,15446.0,15446.0,31973.22,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-19,15446.0,32127.68,0.09,1.5,0.09,0.03,0.0,32127.68,15446.0,15446.0,32127.68,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-20,15446.0,32591.06,0.09,1.52,0.09,0.03,0.0,32591.06,15446.0,15446.0,32591.06,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-23,15446.0,32282.14,0.09,1.56,0.09,0.03,0.0,32282.14,15446.0,15446.0,32282.14,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-24,15446.0,32436.6,0.09,1.58,0.09,0.03,0.0,32436.6,15446.0,15446.0,32436.6,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-25,15446.0,32899.98,0.09,1.55,0.09,0.03,0.0,32899.98,15446.0,15446.0,32899.98,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-26,15446.0,32745.52,0.09,1.56,0.09,0.03,0.0,32745.52,15446.0,15446.0,32745.52,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-27,15446.0,36915.94,0.09,1.56,0.09,0.04,0.0,36915.94,15446.0,15446.0,36915.94,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-30,15446.0,35834.72,0.09,1.44,0.09,0.04,0.0,35834.72,15446.0,15446.0,35834.72,,,,,,,,,,,,0.04,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-10-31,15446.0,34444.58,0.09,1.42,0.09,0.03,0.0,34444.58,15446.0,15446.0,34444.58,,,,,,,,,,,,0.04,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-01,15446.0,35525.8,0.09,1.39,0.09,0.04,0.0,35525.8,15446.0,15446.0,35525.8,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-02,15446.0,34753.5,0.09,1.44,0.09,0.03,0.0,34753.5,15446.0,15446.0,34753.5,,,,,,,,,,,,0.04,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-03,15446.0,35371.34,0.09,1.43,0.09,0.04,0.0,35371.34,15446.0,15446.0,35371.34,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-06,15446.0,35216.88,0.09,1.43,0.09,0.04,0.0,35216.88,15446.0,15446.0,35216.88,,,,,,,,,,,,0.04,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-07,15446.0,34753.5,0.09,1.44,0.09,0.03,0.0,34753.5,15446.0,15446.0,34753.5,,,,,,,,,,,,0.04,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-08,15446.0,34290.12,0.09,1.45,0.09,0.03,0.0,34290.12,15446.0,15446.0,34290.12,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-09,15446.0,34444.58,0.09,1.48,0.09,0.03,0.0,34444.58,15446.0,15446.0,34444.58,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-10,15446.0,34599.04,0.09,1.51,0.09,0.03,0.0,34599.04,15446.0,15446.0,34599.04,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
