,BON FP Equity_DX_SI_QTY,BON FP Equity_DX_SHORT_INTEREST_VALUE,BON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BON FP Equity_DX_SI_MV,BON FP Equity_DX_DSS,BON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BON FP Equity_DX_SUPPLY_SI_QTY,BON FP Equity_DX_BROKER_SI_QTY,BON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BON FP Equity_DX_BROKER_SI_MV_NEW_x,BON FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BON FP Equity_DX_SUPPLY_SI_QTY_INC_x,BON FP Equity_DX_BROKER_SI_MV_INC_x,BON FP Equity_DX_SUPPLY_SI_MV_NEW,BON FP Equity_DX_BROKER_SI_QTY_ADD,BON FP Equity_DX_BROKER_SI_QTY_NEW,BON FP Equity_DX_SUPPLY_SI_MV_DEC,BON FP Equity_DX_BROKER_SI_QTY_INC,BON FP Equity_DX_SUPPLY_SI_QTY_DEC,BON FP Equity_DX_BROKER_SI_MV_NEW_y,BON FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BON FP Equity_DX_BROKER_SI_MV_INC_y,BON FP Equity_DX_SUPPLY_SI_QTY_INC_y,BON FP Equity_DX_BROKER_SI_MV_ADD,BON FP Equity_DX_SUPPLY_SI_QTY_ADD,BON FP Equity_DX_BROKER_SI_QTY_DEC,BON FP Equity_DX_SUPPLY_SI_MV,BON FP Equity_DX_BROKER_SI_MV_DEC,BON FP Equity_DX_SUPPLY_SI_MV_RMV,BON FP Equity_DX_BROKER_SI_MV_RMV,BON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BON FP Equity_DX_UTILIZATION_QUANTITY,BON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BON FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BON FP Equity_DX_ACTIVE_UTILIZATION_MV,BON FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BON FP Equity_DX_BROKER_SI_CON_RATIO,BON FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BON FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,179608.0,9341180.17,5.08,17.63,2.25,11.12,1.0,3692670.33,119338.0,71001.0,6206615.29,,,25996.0,0.07,,,,0.07,1102.0,1289.0,,,0.07,25996.0,,,,7.39,,,,65.68,65.68,62363.0,3243419.11,,3.86,65.66,28.99,0.2536,37.94,0.9885
2006-03-22,151191.0,8056063.98,4.28,14.31,1.89,9.78,1.0,2328298.46,112696.0,43696.0,6004895.71,,,88.0,0.07,,,,0.11,990.0,6730.0,,,0.07,88.0,,,28296.0,7.29,1.67,,,62.4,62.4,67920.0,3619050.51,,4.4,62.39,26.48,0.2222,34.18,0.8371
2006-03-29,150424.0,7949251.13,4.25,13.1,1.88,9.72,1.0,2353850.08,111003.0,44542.0,5866023.53,,,,0.06,,,,0.12,892.0,1693.0,,,0.06,,,,46.0,7.17,0.0,,,54.62,54.62,92220.0,4873424.05,,5.96,54.62,26.98,0.2222,33.82,0.7402
2006-04-05,141495.0,7595812.73,4.0,13.2,1.77,9.21,1.0,1848236.59,107065.0,34429.0,5747522.46,,,128.0,0.01,,,,0.22,87.0,4065.0,,,0.01,128.0,,,,6.97,,,0.66,47.12,47.12,120157.0,6450334.43,,7.82,47.11,29.08,0.225,32.19,0.6227
2006-04-12,142126.0,7414446.57,4.02,12.61,1.78,9.25,1.0,2466247.99,99904.0,47275.0,5211804.1,0.34,,1026.0,0.53,,,5000.0,0.53,8000.0,8187.0,0.34,,0.53,1026.0,,,154.0,6.5,0.01,,,42.62,42.62,134486.0,7015882.12,,8.75,42.62,27.89,0.2309,34.41,0.6064
2006-04-19,145258.0,7583626.16,4.11,12.84,1.82,9.52,1.0,2754806.05,97419.0,52766.0,5086048.8,,,,0.5,,,,0.11,7572.0,2485.0,,,0.5,,,,2081.0,6.39,0.11,,,41.07,41.07,139782.0,7297735.28,,9.16,41.07,26.57,0.2477,38.41,0.6124
2006-04-26,161338.0,8564587.56,4.56,14.02,2.02,10.6,1.0,2757434.31,114482.0,51944.0,6077248.47,,,16578.0,,,,,,,,,,,16578.0,,484.0,822.0,7.52,0.05,,,46.07,46.07,134019.0,7114365.25,,8.81,46.07,24.65,0.2258,34.64,0.6492
2006-05-03,161827.0,8538951.13,4.58,15.7,2.02,10.62,1.0,2741400.8,114982.0,51954.0,6067131.44,,,500.0,0.0,,,,,10.0,,,,0.0,500.0,,,,7.54,,,,45.48,45.48,137833.0,7272885.56,,9.04,45.48,24.68,0.2259,34.64,0.6401
2006-05-10,152034.0,7985860.0,4.3,19.2,1.9,9.94,1.0,2455523.0,110320.0,46748.0,5794756.93,,,,,,,,0.33,,4662.0,,,,,,,5206.0,7.21,0.34,,,43.81,43.81,141518.0,7433488.13,,9.26,43.8,25.92,0.2237,33.24,0.6037
2006-05-17,155480.0,7974778.67,4.4,23.46,1.94,10.08,1.0,2664277.74,108601.0,51944.0,5570291.61,,,112.0,0.66,,,,0.18,10152.0,1831.0,,,0.66,112.0,,,4956.0,7.04,0.32,,,43.3,43.3,142195.0,7293373.13,,9.22,43.3,25.5,0.201,29.44,0.6199
2006-05-24,138384.0,6794572.66,3.91,21.74,1.73,8.78,1.0,1884042.54,104906.0,38372.0,5150822.64,,,,,,,,0.38,,3696.0,,,,,,,13573.0,6.65,0.88,,,42.65,42.52,141083.0,6927091.97,,0.0,0.0,27.74,0.2192,30.43,0.5609
2006-05-31,138507.0,6933091.34,3.92,20.73,1.73,8.86,1.0,1921345.33,105023.0,38384.0,5257019.88,,,157.0,0.0,,,,0.0,13.0,39.0,,,0.0,157.0,,,,6.72,,,,41.97,41.77,145238.0,7270017.55,,0.0,0.0,27.75,0.2188,30.31,0.5509
2006-06-07,142209.0,7447114.1,4.02,19.98,1.78,9.35,1.0,2016563.44,108779.0,38508.0,5696472.27,,,3756.0,0.01,,,,,123.0,,,,0.01,3756.0,,,,7.15,,,,42.2,42.01,149006.0,7803055.24,,0.0,0.0,28.0,0.218,29.84,0.5492
2006-06-14,145028.0,7536939.16,4.1,17.66,1.81,9.5,1.0,2121836.4,109271.0,40829.0,5678688.79,,,9.0,0.13,,172.0,,0.04,2149.0,141.0,,,0.13,9.0,0.01,624.0,,7.15,,,,42.31,42.17,148965.0,7741540.54,,0.0,17584.82,27.41,0.2126,29.27,0.5596
2006-06-21,121441.0,6369227.83,3.43,13.46,1.52,7.96,1.0,2081100.78,86717.0,39680.0,4548054.86,,,2061.0,,,,,2.06,,31595.0,,,,2061.0,,6980.0,1148.0,5.68,0.07,,,33.27,33.27,173923.0,9121756.34,,11.4,33.27,22.56,0.2438,37.12,0.4659
2006-06-28,138242.0,7299976.24,3.91,14.88,1.73,9.15,1.0,1873126.53,107822.0,35472.0,5693624.5,,,30383.0,,,,,0.59,,9278.0,,,,30383.0,,,4208.0,7.14,0.27,,,39.72,39.72,163663.0,8642351.9,,10.84,39.71,27.92,0.2773,40.71,0.5092
2006-07-03,135862.0,7271760.66,3.84,14.82,1.7,9.07,1.0,1845210.2,106435.0,34475.0,5696735.26,,,,,,,,0.03,,1388.0,,,,,,,997.0,7.11,0.05,,,38.1,38.1,172900.0,9254150.67,,11.55,38.1,28.32,0.2823,41.39,0.4864
2006-07-04,135294.0,7322238.44,3.83,14.55,1.69,9.08,1.0,1865819.4,105824.0,34475.0,5727294.34,,,,,,,,0.03,,876.0,,,,,,265.0,,7.1,,,,37.35,37.35,177504.0,9606683.31,,11.91,37.35,28.23,0.2804,41.22,0.4775
2006-07-05,135724.0,7529418.66,3.84,14.53,1.7,9.23,1.0,1912533.58,106276.0,34475.0,5895762.7,,,451.0,,,,,,,,,,,451.0,,,,7.23,,,,36.25,36.25,186906.0,10368789.04,,12.71,36.25,28.11,0.2804,41.27,0.4629
2006-07-06,135885.0,7689983.77,3.84,14.32,1.7,9.36,1.0,1951004.09,106445.0,34475.0,6023919.65,,,169.0,,,,,,,,,,,169.0,,,,7.33,,,,36.21,36.21,187490.0,10610406.27,,12.91,36.21,27.99,0.28,41.28,0.4623
2006-07-07,128918.0,7192951.88,3.65,12.84,1.61,8.87,1.0,1923525.16,99592.0,34475.0,5556714.06,,,575.0,,,,,0.52,,7428.0,,,,575.0,,,,6.85,,,,33.64,33.64,196443.0,10960494.63,,13.51,33.64,30.07,0.2639,37.15,0.4355
2006-07-10,128329.0,7216346.59,3.63,12.63,1.6,8.84,1.0,1938638.57,98971.0,34475.0,5565453.16,,,,,,,,0.03,,621.0,,,,,,,,6.82,,,,33.46,33.46,196805.0,11066969.21,,13.56,33.46,30.06,0.2636,37.08,0.4339
2006-07-11,142010.0,7838523.43,4.02,15.0,1.78,9.79,1.0,2675673.71,98634.0,48475.0,5444299.13,,,,0.99,,,,0.02,14000.0,337.0,,,0.99,,,,,6.8,,,,33.37,33.37,196975.0,10872425.55,,13.59,33.36,33.26,0.2791,37.44,0.4804
2006-07-12,140888.0,7872045.18,3.98,14.64,1.76,9.73,1.0,2708515.91,97450.0,48475.0,5444969.07,,,,,,,,0.07,,1184.0,,,,,,,,6.73,,,,32.12,32.12,205949.0,11507295.38,,14.23,32.12,33.11,0.2787,37.47,0.4644
2006-07-13,141172.0,7983558.7,3.99,14.53,1.76,9.8,1.0,2741358.12,97749.0,48475.0,5527901.28,,,299.0,,,,,,,,,,,299.0,,,,6.79,,,,31.98,31.98,207893.0,11756764.58,,14.43,31.98,33.15,0.2783,37.37,0.4619
2006-07-14,142159.0,8101696.26,4.02,14.41,1.78,9.91,1.0,2762608.95,98791.0,48475.0,5630137.21,,,1042.0,,,,,,,,,,,1042.0,,,,6.89,,,,32.26,32.26,207481.0,11824422.25,,14.46,32.25,33.28,0.2782,37.23,0.4642
2006-07-17,143628.0,8122450.41,4.06,14.35,1.8,10.0,1.0,2741358.12,100340.0,48475.0,5674427.51,,,1549.0,,,,,,,,,,,1549.0,,,,6.99,,,,32.82,32.82,205402.0,11615893.55,,14.31,32.82,33.46,0.2787,37.16,0.4698
2006-07-18,139973.0,7843233.63,3.96,13.05,1.75,9.71,1.0,2730251.97,96372.0,48725.0,5400099.38,,,71.0,0.01,,,,0.32,250.0,4218.0,,,0.01,71.0,,179.0,,6.68,,,,31.2,31.2,212551.0,11910062.3,,14.74,31.2,33.2,0.2771,37.18,0.4531
2006-07-19,140445.0,7948042.61,3.97,13.69,1.76,9.79,1.0,2785733.9,96234.0,49225.0,5446060.26,,,1885.0,0.08,,500.0,,0.11,1000.0,2023.0,,,0.08,1885.0,0.04,,1000.0,6.71,0.06,,,30.48,30.48,219482.0,12420892.79,,15.29,30.48,32.81,0.2719,36.45,0.4448
2006-07-20,141870.0,7955183.95,4.01,13.8,1.77,9.87,1.0,2760230.7,97738.0,49225.0,5480536.89,,,1504.0,,,,,,,,,,,1504.0,,,,6.8,,,,30.69,30.69,220776.0,12379739.84,,15.36,30.69,33.0,0.2724,36.4,0.4454
2006-07-21,141085.0,7871807.01,3.99,13.5,1.76,9.79,1.0,2746498.21,96909.0,49225.0,5407016.66,,,,,,,,0.08,,828.0,,,,,,,,6.72,,,,30.46,30.46,221293.0,12346995.0,,15.35,30.46,32.9,0.2724,36.49,0.4434
2006-07-24,140942.0,7970551.74,3.99,13.59,1.76,9.83,1.0,2783772.12,96758.0,49225.0,5471858.25,,,2.0,,,,,0.0,,153.0,,,,2.0,,,,6.75,,,,30.25,30.25,223080.0,12615619.78,,15.56,30.25,32.88,0.2719,36.41,0.4407
2006-07-25,142026.0,8009213.22,4.02,13.38,1.78,9.92,1.0,2775924.98,97902.0,49225.0,5520946.82,,,1144.0,,,,,,,,,,,1144.0,,,,6.84,,,,30.72,30.72,220747.0,12448493.88,,15.42,30.72,33.02,0.2721,36.32,0.4457
2006-07-26,140893.0,7872324.55,3.98,14.93,1.76,9.79,1.0,2750421.78,96706.0,49225.0,5403398.45,,,,,,,,0.12,,1195.0,,,,,,,,6.72,,,,30.08,30.08,224786.0,12559803.15,,15.62,30.08,32.87,0.2722,36.48,0.4382
2006-07-27,135241.0,7572691.38,3.82,14.67,1.69,9.33,1.0,2396713.34,92438.0,42803.0,5175978.04,,,767.0,,,,,0.35,,5035.0,,,,767.0,,,6422.0,6.38,0.47,,,28.49,28.49,232032.0,12992411.51,,16.01,28.49,34.59,0.2968,38.35,0.4168
2006-07-28,134347.0,7544049.44,3.8,14.34,1.68,9.29,1.0,2381075.34,91944.0,42403.0,5162974.1,,,,,,,,0.02,,494.0,,,,,,,400.0,6.36,0.02,,,28.35,28.35,232359.0,13047762.77,,16.07,28.35,34.63,0.2961,38.2,0.4143
2006-07-31,134635.0,7672900.6,3.81,15.49,1.68,9.36,1.0,2422262.37,92132.0,42503.0,5250638.23,,,188.0,0.02,,,,,100.0,,,,0.02,188.0,,,,6.41,,,,28.24,28.24,234152.0,13344412.83,,16.28,28.24,34.59,0.2949,38.03,0.4126
2006-08-01,135648.0,7676571.5,3.84,15.19,1.7,9.42,1.0,2405323.47,93145.0,42503.0,5271248.03,,,1013.0,,,,,,,,,,,1013.0,,,,6.47,,,,28.65,28.65,231930.0,13125348.16,,16.11,28.66,34.8,0.2958,38.03,0.4173
2006-08-02,135041.0,7663747.63,3.82,15.07,1.69,9.38,1.0,2383723.4,93038.0,42003.0,5280024.23,,,0.0,,,,,0.0,,107.0,,,,0.0,,,500.0,6.47,0.04,,,28.56,28.56,232734.0,13207948.99,,16.17,28.56,34.92,0.2971,38.17,0.4145
2006-08-03,134959.0,7691365.49,3.82,15.2,1.69,9.39,1.0,2393767.18,92956.0,42003.0,5297598.31,,,,,,,,0.0,,83.0,,,,,,,,6.47,,,,28.46,28.46,233694.0,13318311.23,,16.27,28.46,34.91,0.2969,38.15,0.4132
2006-08-04,134518.0,7746647.75,3.8,15.19,1.68,9.4,1.0,2418876.62,92515.0,42003.0,5327771.13,,,,,,,,0.01,,440.0,,,,,,,,6.47,,,,27.94,27.94,238605.0,13740829.39,,16.67,27.94,34.85,0.2964,38.11,0.4063
2006-08-07,136572.0,7783290.98,3.86,14.19,1.71,9.51,1.0,2393767.18,94569.0,42003.0,5389523.8,,,2054.0,,,,,,,,,,,2054.0,,,,6.59,,,,28.65,28.65,235482.0,13420210.04,,16.4,28.65,35.11,0.2973,38.04,0.4138
2006-08-08,135549.0,7687175.18,3.83,14.25,1.69,9.42,1.0,2382049.44,93546.0,42003.0,5305125.74,,,,,,,,0.08,,1022.0,,,,,,,,6.5,,,,28.44,28.44,235435.0,13351851.27,,16.36,28.44,34.98,0.2972,38.14,0.412
2006-08-09,135480.0,7575275.27,3.83,14.52,1.69,9.37,1.0,2348570.17,93477.0,42003.0,5226705.1,,,,,,,,0.04,,69.0,,,,,,,,6.46,,,,28.6,28.6,233337.0,13046885.2,,16.13,28.6,34.97,0.2977,38.24,0.4145
2006-08-10,134711.0,7516171.06,3.81,14.42,1.68,9.31,1.0,2343548.29,92708.0,42003.0,5172622.78,,,,,,,,0.06,,770.0,,,,,,,,6.41,,,,36.42,36.42,161833.0,9029437.18,,11.18,36.42,34.88,0.2976,38.3,0.5292
2006-08-11,132893.0,7467698.55,3.76,14.58,1.66,9.31,1.0,2360287.92,90890.0,42003.0,5107410.63,,,,,,,,0.01,,1818.0,,,,,,,,6.4,,,,36.17,36.17,160377.0,9012115.69,,11.31,36.13,34.84,0.2973,38.28,0.5289
2006-08-14,107901.0,6050414.48,3.05,12.21,1.35,7.55,1.0,2355266.03,65898.0,42003.0,3695148.46,,,9.0,,,,,1.75,,25000.0,,,,9.0,,,,4.65,,,,95.42,26.22,3160.0,177193.07,,0.0,106.53,23.3,0.2873,43.33,0.4293
2006-08-15,107895.0,6019978.15,3.05,12.5,1.35,7.51,1.0,2343548.29,65892.0,42003.0,3676429.87,,,,,,,,0.0,,7.0,,,,,,,,4.61,,,,95.38,26.22,3192.0,178096.95,,0.0,106.53,23.43,0.2868,43.22,0.4293
2006-08-16,107890.0,6015399.39,3.05,12.77,1.35,7.49,1.0,2341874.32,65887.0,42003.0,3673525.07,,,,,,,,0.0,,5.0,,,,,,,,4.59,,,,94.18,26.12,4069.0,226866.81,,0.0,106.53,23.5,0.2868,43.18,0.4278
2006-08-17,107900.0,5990155.84,3.05,13.67,1.35,7.5,1.0,2331830.54,65897.0,42003.0,3658325.3,,,11.0,,,,,,,,,,,11.0,,,,4.61,,,,94.08,26.12,4148.0,230279.58,,0.0,106.53,23.45,0.2874,43.29,0.4277
2006-08-18,107889.0,6011043.89,3.05,14.19,1.35,7.48,1.0,2340200.36,65886.0,42003.0,3670843.53,,,,,,,,0.0,,11.0,,,,,,,,4.59,,,,93.08,26.04,4899.0,272948.16,,0.0,106.53,23.51,0.2868,43.17,0.4264
2006-08-21,114016.0,6334234.46,3.22,14.86,1.43,7.9,1.0,2688838.53,65617.0,48399.0,3645395.93,,,,0.22,,3198.0,,0.02,3198.0,269.0,,,0.22,,0.22,,,4.56,,,,25.93,25.93,187471.0,10415075.67,,13.07,25.87,25.15,0.2702,40.74,0.4505
2006-08-22,112056.0,6319127.46,3.17,14.73,1.4,7.83,1.0,2638270.68,65272.0,46784.0,3680856.78,,,5.0,,,,,0.02,,350.0,,,,5.0,,,1615.0,4.58,0.09,,,25.8,25.8,187723.0,10586185.16,,13.31,25.61,24.55,0.2742,41.55,0.4429
2006-08-23,112919.0,6354293.64,3.19,15.0,1.41,7.93,1.0,2632677.17,66135.0,46784.0,3721616.47,,416.0,1847.0,,0.03,,,0.07,,1400.0,,416.0,,1847.0,,,,4.68,,,,20.09,20.09,262984.0,14798905.04,,18.51,20.18,24.74,0.278,42.23,0.3431
2006-08-24,111907.0,6288425.58,3.16,14.95,1.4,7.86,1.0,2572754.85,66123.0,45784.0,3715670.74,,,,,,,,0.0,,12.0,,,,,,,1000.0,4.68,0.07,,,20.1,20.1,262854.0,14770638.29,,18.48,20.2,24.08,0.2786,42.61,0.3402
2006-08-25,95145.0,5327553.93,2.69,13.19,1.19,6.66,1.0,2563631.61,49361.0,45784.0,2763922.32,,,14.0,,,,,1.2,,16776.0,,,,14.0,,,,3.48,,,,14.99,14.99,279991.0,15677830.18,,19.62,15.06,28.73,0.242,32.91,0.2889
2006-08-28,94682.0,5309175.49,2.68,13.09,1.18,6.6,1.0,2567280.9,48898.0,45784.0,2741894.58,,,2.0,,,,,0.05,,464.0,,,,2.0,,,,3.43,,,,14.83,14.83,280725.0,15741305.51,,19.7,14.83,28.95,0.2428,32.97,0.2872
2006-08-29,93995.0,5244430.66,2.66,14.6,1.17,6.55,1.0,2554508.36,48211.0,45784.0,2689922.3,,,7.0,,,,,0.05,,694.0,,,,7.0,,,,3.38,,,,14.61,14.61,281714.0,15718171.6,,19.68,14.66,29.21,0.2445,33.26,0.2849
2006-08-30,92890.0,5142055.6,2.63,14.61,1.16,6.46,1.0,2534437.22,47106.0,45784.0,2607618.38,,,4.0,,,,,0.08,,1110.0,,,,4.0,,,,3.29,,,,14.18,14.18,285113.0,15782828.07,,19.78,14.27,29.66,0.2475,33.7,0.2796
2006-08-31,92772.0,5102248.02,2.62,15.27,1.16,6.42,1.0,2518015.38,46988.0,45784.0,2584232.63,,,3.0,,,,,0.02,,120.0,,,,3.0,,,,3.27,,,,14.12,14.12,285718.0,15713837.14,,19.71,14.21,29.85,0.2481,33.69,0.2788
2006-09-01,92256.0,4981951.28,2.61,15.61,1.15,6.33,1.0,2472399.16,46472.0,45784.0,2509552.11,,,3.0,,,,,0.05,,519.0,,,,3.0,,,,3.2,,,,13.93,13.93,287251.0,15511950.3,,19.49,14.1,30.25,0.2498,33.82,0.2764
2006-09-04,92174.0,5120787.67,2.61,15.19,1.15,6.29,1.0,2543560.47,46390.0,45784.0,2577227.2,,,1.0,,,,,0.01,,83.0,,,,1.0,,,,3.14,,,,13.89,13.89,287479.0,15971086.4,,20.0,13.56,30.41,0.2489,33.35,0.2761
2006-09-05,90854.0,5022108.3,2.57,15.75,1.14,6.3,1.0,2530787.93,45070.0,45784.0,2491320.37,,,113.0,,,,,0.07,,1434.0,,,,113.0,,,,3.15,,,,13.55,13.55,287432.0,15888289.26,,19.91,13.66,30.43,0.2542,34.57,0.2732
2006-09-06,90087.0,4997662.45,2.55,15.89,1.13,6.23,1.0,2539911.17,44303.0,45784.0,2457751.28,,,,,,,,0.06,,767.0,,,,,,,,3.07,,,,13.32,13.32,288325.0,15995105.02,,20.04,13.3,30.81,0.2566,34.71,0.2708
2006-09-07,87889.0,4903747.72,2.49,16.01,1.1,6.11,1.0,2463395.48,43738.0,44151.0,2440352.23,,,18.0,,,,,0.04,,584.0,,,,18.0,,,1633.0,3.06,0.11,,,13.19,13.19,287944.0,16065773.1,,20.11,13.21,31.48,0.2628,35.8,0.265
2006-09-08,87921.0,4888013.39,2.49,16.57,1.1,6.11,1.0,2454597.64,43769.0,44151.0,2433360.15,,,32.0,,,,,0.0,,0.0,,,,32.0,,,,3.06,,,,13.23,13.23,287172.0,15965475.6,,20.04,13.25,31.51,0.2628,35.79,0.2657
2006-09-11,88009.0,4906935.63,2.49,17.1,1.1,6.1,1.0,2472786.9,43658.0,44351.0,2434148.73,,,164.0,0.02,,,,0.02,200.0,276.0,,,0.02,164.0,,,,3.04,,,,13.18,13.18,287643.0,16037515.31,,20.08,13.13,31.61,0.2632,35.71,0.2656
2006-09-12,87640.0,4942246.12,2.48,17.93,1.1,6.14,1.0,2501067.52,43289.0,44351.0,2441178.6,,,169.0,,,,,0.03,,538.0,,,,169.0,,,,3.06,,,,13.08,13.08,287595.0,16218225.37,,20.29,13.1,31.49,0.2651,36.17,0.2649
2006-09-13,87515.0,4882880.47,2.47,17.26,1.09,6.12,1.0,2474554.44,43164.0,44351.0,2408326.03,,,78.0,,,,,0.01,,203.0,,,,78.0,,,,3.05,,,,12.99,12.99,289133.0,16132113.1,,20.21,13.11,31.59,0.266,36.29,0.2634
