,SHC FP Equity_DX_SI_QTY,SHC FP Equity_DX_SHORT_INTEREST_VALUE,SHC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SHC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SHC FP Equity_DX_SI_MV,SHC FP Equity_DX_DSS,SHC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SHC FP Equity_DX_SUPPLY_SI_QTY,SHC FP Equity_DX_BROKER_SI_QTY,SHC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SHC FP Equity_DX_BROKER_SI_MV_NEW_x,SHC FP Equity_DX_SUPPLY_SI_QTY_INC_x,SHC FP Equity_DX_BROKER_SI_MV_INC_x,SHC FP Equity_DX_BROKER_SI_QTY_ADD,SHC FP Equity_DX_BROKER_SI_QTY_NEW,SHC FP Equity_DX_SUPPLY_SI_MV_DEC,SHC FP Equity_DX_BROKER_SI_QTY_INC,SHC FP Equity_DX_SUPPLY_SI_QTY_DEC,SHC FP Equity_DX_BROKER_SI_MV_NEW_y,SHC FP Equity_DX_BROKER_SI_MV_INC_y,SHC FP Equity_DX_SUPPLY_SI_QTY_INC_y,SHC FP Equity_DX_BROKER_SI_MV_ADD,SHC FP Equity_DX_SUPPLY_SI_QTY_ADD,SHC FP Equity_DX_BROKER_SI_QTY_DEC,SHC FP Equity_DX_SUPPLY_SI_MV,SHC FP Equity_DX_BROKER_SI_MV_DEC,SHC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SHC FP Equity_DX_UTILIZATION_QUANTITY,SHC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SHC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SHC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SHC FP Equity_DX_ACTIVE_UTILIZATION_MV,SHC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SHC FP Equity_DX_BROKER_SI_CON_RATIO,SHC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SHC FP Equity_DX_DEMAND_SUPPLY_RATIO,SHC FP Equity_PX_LAST
2008-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.32
2008-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.95
2008-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.97
2008-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.41
2008-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.55
2008-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.28
2008-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.97
2008-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
2008-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
2008-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3
2008-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.52
2008-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.48
2008-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.85
2008-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.47
2008-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.62
2008-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.65
2008-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.55
2008-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.24
2008-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.52
2008-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.87
2008-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.44
2008-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.15
2008-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.79
2008-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66
2008-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.45
2008-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.11
2008-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.99
2008-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.61
2008-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.21
2008-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.97
2008-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.98
2008-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.51
2008-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.37
2008-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.45
2008-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.46
2008-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.62
2008-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.06
2008-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.81
2008-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.55
2008-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.16
2008-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.41
2008-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.62
2008-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6
2008-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.95
2008-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5
2008-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.14
2008-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.88
2008-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.78
2008-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.38
2008-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.73
2008-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.48
2008-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.49
2008-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.41
2008-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.81
2008-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7
2008-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2
2008-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.75
2008-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.77
2008-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.63
2008-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.24
2008-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.96
2008-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0
2008-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.81
2008-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.68
2008-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.41
2008-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.52
2008-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.77
2008-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2008-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.52
2008-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.38
2008-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.15
2008-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.99
2008-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3
2008-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.75
2008-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.58
2008-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.53
2008-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.82
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.74
2008-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.91
2008-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.62
2008-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.61
2008-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.58
2008-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.52
2008-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.64
2008-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.15
2008-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.91
2008-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.66
2008-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.05
2008-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.03
2008-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.32
2008-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3
2008-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.56
2008-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.51
2008-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.77
2008-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.43
2008-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.45
2008-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.26
2008-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.59
2008-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.29
2008-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.12
2008-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.61
2008-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.75
2008-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.27
2008-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.86
2008-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.46
2008-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2
2008-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.37
2008-12-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,101290.5,0.1,0.0,,0.0,,0.0,82.35
2008-12-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,102311.4,0.1,0.0,,0.0,,0.0,83.18
2008-12-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,100860.0,0.1,0.0,,0.0,,0.0,82.0
2008-12-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,101278.2,0.1,0.0,,0.0,,0.0,82.34
2008-12-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,101007.6,0.1,0.0,,0.0,,0.0,82.12
2008-12-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,101696.4,0.1,0.0,,0.0,,0.0,82.68
2008-12-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,103861.2,0.1,0.0,,0.0,,0.0,84.44
2008-12-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,104217.9,0.1,0.0,,0.0,,0.0,84.73
2008-12-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,105398.7,0.1,0.0,,0.0,,0.0,85.69
2008-12-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,105398.7,0.1,0.0,,0.0,,0.0,
2008-12-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,105398.7,0.11,0.0,,0.0,,0.0,
2008-12-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,104328.6,0.1,0.0,,0.0,,0.0,84.82
2008-12-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,101696.4,0.1,0.0,,0.0,,0.0,82.68
2008-12-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,100946.1,0.1,0.0,,0.0,,0.0,82.07
2009-01-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,100946.1,0.1,0.0,,0.0,,0.0,
2009-01-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,98166.3,0.1,0.0,,0.0,,0.0,79.81
2009-01-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,96727.2,0.1,0.0,,0.0,,0.0,78.64
2009-01-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,96099.9,0.1,0.0,,0.0,,0.0,78.13
2009-01-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,97489.8,0.1,0.0,,0.0,,0.0,79.26
2009-01-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,97416.0,0.1,0.0,,0.0,,0.0,79.2
2009-01-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,98793.6,0.1,0.0,,0.0,,0.0,80.32
2009-01-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,100306.5,0.1,0.0,,0.0,,0.0,81.55
2009-01-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,102422.1,0.1,0.0,,0.0,,0.0,83.27
2009-01-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,106960.8,0.1,0.0,,0.0,,0.0,86.96
2009-01-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,108670.5,0.11,0.0,,0.0,,0.0,88.35
2009-01-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,107551.2,0.11,0.0,,0.0,,0.0,87.44
2009-01-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,108941.1,0.11,0.0,,0.0,,0.0,88.57
2009-01-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,111327.3,0.11,0.0,,0.0,,0.0,90.51
2009-01-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,112446.6,0.11,0.0,,0.0,,0.0,91.42
2009-01-22,60.0,5557.2,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5557.2,,,,,,,,,,,,,60.0,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,92.62
2009-01-23,60.0,5554.2,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5554.2,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,92.57
2009-01-26,60.0,5378.4,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5378.4,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,89.64
2009-01-27,60.0,5362.2,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5362.2,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,89.37
2009-01-28,60.0,5151.0,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5151.0,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,85.85
2009-01-29,60.0,5252.4,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5252.4,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,87.54
2009-01-30,60.0,5322.0,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5322.0,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,88.7
2009-02-02,60.0,5404.8,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5404.8,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,90.08
2009-02-03,60.0,5299.2,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5299.2,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,88.32
2009-02-04,60.0,5151.0,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5151.0,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,85.85
2009-02-05,60.0,5168.4,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5168.4,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,86.14
2009-02-06,60.0,5074.2,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5074.2,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,84.57
2009-02-09,60.0,5024.4,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5024.4,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,83.74
2009-02-10,60.0,5251.2,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5251.2,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,87.52
2009-02-11,60.0,5216.4,0.0,0.01,0.01,0.0,0.0,60.0,0.0,5216.4,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,0.0,,0.0488,86.94
2009-02-12,9060.0,803622.0,0.29,1.1,0.79,1.0,798300.0,60.0,9000.0,5322.0,,,,9000.0,,,,,,,,0.78,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,1.0,100.0,7.3659,88.7
2009-02-13,9060.0,793384.2,0.29,1.1,0.8,1.0,788130.0,60.0,9000.0,5254.2,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,1.0,100.0,7.3659,87.57
2009-02-16,9060.0,803169.0,0.29,1.1,0.79,1.0,797850.0,60.0,9000.0,5319.0,,,,,,,,,,,,,,,0.01,,100.0,4.88,0.0,0.0,0.0,100.0,,1.0,100.0,7.3659,88.65
2009-02-17,9000.0,820800.0,0.29,1.09,0.8,1.0,820800.0,0.0,9000.0,0.0,,,,,,0.01,,60.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,7.3171,91.2
2009-02-18,9000.0,821700.0,0.28,1.09,0.8,1.0,821700.0,0.0,9000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,7.3171,91.3
2009-02-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,9000.0,0.0,0.8,0.0,0.0,1230.0,112655.7,0.11,0.0,,0.0,,0.0,91.59
2009-02-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,116505.6,0.11,0.0,,0.0,,0.0,94.72
2009-02-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,117661.8,0.12,0.0,,0.0,,0.0,95.66
2009-02-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,118990.2,0.12,0.0,,0.0,,0.0,96.74
2009-02-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,119494.5,0.12,0.0,,0.0,,0.0,97.15
2009-02-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1230.0,117169.8,0.12,0.0,,0.0,,0.0,95.26
