,EEMU FP Equity_DX_SI_QTY,EEMU FP Equity_DX_SHORT_INTEREST_VALUE,EEMU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEMU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEMU FP Equity_DX_SI_MV,EEMU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEMU FP Equity_DX_SUPPLY_SI_QTY,EEMU FP Equity_DX_BROKER_SI_QTY,EEMU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEMU FP Equity_DX_SUPPLY_SI_QTY_INC_x,EEMU FP Equity_DX_BROKER_SI_MV_INC_x,EEMU FP Equity_DX_BROKER_SI_QTY_ADD,EEMU FP Equity_DX_SUPPLY_SI_MV_DEC,EEMU FP Equity_DX_BROKER_SI_QTY_INC,EEMU FP Equity_DX_SUPPLY_SI_QTY_DEC,EEMU FP Equity_DX_BROKER_SI_MV_INC_y,EEMU FP Equity_DX_SUPPLY_SI_QTY_INC_y,EEMU FP Equity_DX_BROKER_SI_MV_ADD,EEMU FP Equity_DX_SUPPLY_SI_QTY_ADD,EEMU FP Equity_DX_BROKER_SI_QTY_DEC,EEMU FP Equity_DX_SUPPLY_SI_MV,EEMU FP Equity_DX_BROKER_SI_MV_DEC,EEMU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEMU FP Equity_DX_UTILIZATION_QUANTITY,EEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEMU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEMU FP Equity_DX_ACTIVE_UTILIZATION_MV,EEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEMU FP Equity_DX_BROKER_SI_CON_RATIO,EEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEMU FP Equity_DX_DEMAND_SUPPLY_RATIO,EEMU FP Equity_PX_LAST
2016-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.369
2016-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.139
2016-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.069
2016-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.034
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.836
2016-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.544
2016-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.941
2016-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.638
2016-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.378
2016-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.039
2016-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.513
2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.002
2016-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.555
2016-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.096
2016-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.227
2016-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.531
2016-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.451
2016-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.916
2016-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.485
2016-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.703
2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.329
2016-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.023
2016-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.693
2016-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.832
2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.736
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.87
2016-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.297
2016-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.276
2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.979
2016-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.077
2016-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.347
2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.958
2016-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.325
2016-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.442
2016-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.82
2016-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.969
2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.822
2016-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.95
2016-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.551
2016-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.832
2016-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.325
2016-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.964
2016-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.582
2016-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.856
2016-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.182
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.746
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.74
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.278
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.397
2016-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.752
2016-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.227
2016-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.387
2016-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.373
2016-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.085
2016-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.749
2016-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.663
2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.212
2016-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.247
2016-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.741
2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.318
2016-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.3
2016-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.185
2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.826
2016-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.846
2016-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.309
2016-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.51
2016-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.412
2016-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.791
2016-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.454
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.74
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.143
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.896
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.08
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.268
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.668
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.845
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.886
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.783
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.433
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.244
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.791
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.126
2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.236
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.524
2017-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.484
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.043
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.995
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.729
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.347
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.393
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.01
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.147
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.591
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.314
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.54
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.566
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.748
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.304
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.255
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.788
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.977
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.571
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.09
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.972
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.122
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.149
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.203
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.814
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.406
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.844
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.035
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.052
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.907
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.501
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.011
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.556
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.809
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.732
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.031
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.203
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.667
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.163
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.426
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.916
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.587
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.879
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.317
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.741
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.721
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.343
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.662
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.05
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.863
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.695
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.705
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.945
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.704
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.356
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.712
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.056
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.638
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.598
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.808
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.135
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.823
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.588
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.557
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.221
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.027
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.993
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.602
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.48
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.917
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.851
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.268
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.797
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.155
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.522
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.566
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.682
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.362
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.298
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.152
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.84
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.498
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.898
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.761
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.439
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.345
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.414
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.159
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.093
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.239
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.368
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.464
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.85
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.763
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.07
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.898
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.321
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.348
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.676
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.2
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.277
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.896
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.896
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.884
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.946
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.661
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.792
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.363
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.351
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.191
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.177
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.62
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.6
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.506
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.648
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.325
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.34
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.401
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.735
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.474
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.785
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.322
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.501
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.326
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.551
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.484
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.351
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.976
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.916
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.05
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.877
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.949
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.122
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.743
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.094
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.428
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.889
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.343
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.691
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.17
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.19
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.899
