,EBUY FP Equity_PX_LAST
2021-02-17,14.97
2021-02-18,14.889
2021-02-19,15.158
2021-02-22,14.709
2021-02-23,14.186
2021-02-24,14.323
2021-02-25,14.082
2021-02-26,13.926
2021-03-01,14.235
2021-03-02,14.05
2021-03-03,13.86
2021-03-04,13.29
2021-03-05,12.637
2021-03-08,13.11
2021-03-09,13.308
2021-03-10,13.371
2021-03-11,13.66
2021-03-12,13.48
2021-03-15,13.646
2021-03-16,13.736
2021-03-17,13.408
2021-03-18,13.444
2021-03-19,13.401
2021-03-22,13.488
2021-03-23,13.412
2021-03-24,13.179
2021-03-25,13.014
2021-03-26,13.151
2021-03-29,13.02
2021-03-30,13.137
2021-03-31,13.4
2021-04-01,13.684
2021-04-06,13.812
2021-04-07,13.652
2021-04-08,13.79
2021-04-09,13.778
2021-04-12,13.77
2021-04-13,13.918
2021-04-14,13.96
2021-04-15,14.008
2021-04-16,13.944
2021-04-19,13.68
2021-04-20,13.442
2021-04-21,13.609
2021-04-22,13.855
2021-04-23,13.814
2021-04-26,13.962
2021-04-27,14.022
2021-04-28,13.962
2021-04-29,13.737
2021-04-30,13.71
2021-05-03,13.492
2021-05-04,13.072
2021-05-05,13.272
2021-05-06,12.832
2021-05-07,13.004
2021-05-10,12.701
2021-05-11,12.582
2021-05-12,12.47
2021-05-13,12.344
2021-05-14,12.495
2021-05-17,12.422
2021-05-18,12.508
2021-05-19,12.366
2021-05-20,12.748
2021-05-21,12.774
2021-05-24,12.92
2021-05-25,12.95
2021-05-26,13.073
2021-05-27,13.138
2021-05-28,13.225
2021-05-31,13.135
2021-06-01,13.104
2021-06-02,13.163
2021-06-03,13.111
2021-06-04,13.186
2021-06-07,13.267
2021-06-08,13.358
2021-06-09,13.43
2021-06-10,13.442
2021-06-11,13.6
2021-06-14,13.75
2021-06-15,13.646
2021-06-16,13.667
2021-06-17,14.034
2021-06-18,13.994
2021-06-21,14.01
2021-06-22,14.112
2021-06-23,14.132
2021-06-24,14.359
2021-06-25,14.32
2021-06-28,14.472
2021-06-29,14.5
2021-06-30,14.495
2021-07-01,14.369
2021-07-02,14.475
2021-07-05,14.403
2021-07-06,14.559
2021-07-07,14.515
2021-07-08,14.227
2021-07-09,14.404
2021-07-12,14.385
2021-07-13,14.524
2021-07-14,14.326
2021-07-15,14.117
2021-07-16,14.039
2021-07-19,13.973
2021-07-20,14.139
2021-07-21,14.306
2021-07-22,14.434
2021-07-23,14.583
2021-07-26,14.438
2021-07-27,14.021
2021-07-28,14.433
2021-07-29,14.478
2021-07-30,14.232
2021-08-02,14.362
2021-08-03,14.204
2021-08-04,14.371
2021-08-05,14.494
2021-08-06,14.362
2021-08-09,14.456
2021-08-10,14.498
2021-08-11,14.266
2021-08-12,14.348
2021-08-13,14.219
2021-08-16,14.049
2021-08-17,13.96
2021-08-18,14.011
2021-08-19,13.985
2021-08-20,14.122
2021-08-23,14.277
2021-08-24,14.526
2021-08-25,14.65
2021-08-26,14.562
2021-08-27,14.644
2021-08-30,14.706
2021-08-31,14.752
2021-09-01,14.835
2021-09-02,14.861
2021-09-03,14.871
2021-09-06,14.985
2021-09-07,14.921
2021-09-08,14.753
2021-09-09,14.727
2021-09-10,14.711
2021-09-13,14.525
2021-09-14,14.568
2021-09-15,14.508
2021-09-16,14.676
2021-09-17,14.71
2021-09-20,14.352
2021-09-21,14.512
2021-09-22,14.675
2021-09-23,14.784
2021-09-24,14.732
2021-09-27,14.643
2021-09-28,14.169
2021-09-29,14.129
2021-09-30,14.205
2021-10-01,14.132
2021-10-04,13.745
2021-10-05,13.994
2021-10-06,13.989
2021-10-07,14.457
2021-10-08,14.383
2021-10-11,14.398
2021-10-12,14.311
2021-10-13,14.549
2021-10-14,14.843
2021-10-15,14.962
2021-10-18,14.914
2021-10-19,15.155
2021-10-20,15.183
2021-10-21,15.225
2021-10-22,15.204
2021-10-25,15.321
2021-10-26,15.338
2021-10-27,15.041
2021-10-28,15.085
2021-10-29,15.266
2021-11-01,15.439
2021-11-02,15.397
2021-11-03,15.434
2021-11-04,15.572
2021-11-05,15.6
2021-11-08,15.627
2021-11-09,15.65
2021-11-10,15.632
2021-11-11,15.55
2021-11-12,15.722
2021-11-15,15.859
2021-11-16,16.03
2021-11-17,16.012
2021-11-18,15.872
2021-11-19,15.888
2021-11-22,15.393
2021-11-23,14.874
2021-11-24,15.103
2021-11-25,15.208
2021-11-26,14.701
2021-11-29,14.823
2021-11-30,14.595
2021-12-01,14.51
2021-12-02,14.053
2021-12-03,13.768
2021-12-06,13.933
2021-12-07,14.624
2021-12-08,14.653
2021-12-09,14.545
2021-12-10,14.284
2021-12-13,14.19
2021-12-14,13.985
2021-12-15,13.807
2021-12-16,13.988
2021-12-17,14.046
2021-12-20,13.715
2021-12-21,14.047
2021-12-22,14.283
2021-12-23,14.382
2021-12-24,14.339
2021-12-27,14.481
2021-12-28,14.357
2021-12-29,14.272
2021-12-30,14.494
2021-12-31,14.419
2022-01-03,14.353
2022-01-04,14.059
2022-01-05,13.905
2022-01-06,13.555
2022-01-07,13.436
2022-01-10,13.197
2022-01-11,13.598
2022-01-12,13.569
2022-01-13,13.359
2022-01-14,12.992
2022-01-17,13.105
2022-01-18,12.888
2022-01-19,12.788
2022-01-20,13.089
2022-01-21,12.671
2022-01-24,11.935
2022-01-25,12.067
2022-01-26,12.326
2022-01-27,12.201
2022-01-28,12.032
2022-01-31,12.629
2022-02-01,12.84
2022-02-02,12.549
2022-02-03,12.157
2022-02-04,12.192
2022-02-07,12.308
2022-02-08,12.414
2022-02-09,12.757
2022-02-10,12.759
2022-02-11,12.581
2022-02-14,12.545
2022-02-15,12.627
2022-02-16,12.468
2022-02-17,12.359
2022-02-18,11.959
2022-02-21,11.766
2022-02-22,11.766
2022-02-23,11.659
2022-02-24,11.614
2022-02-25,11.973
2022-02-28,12.266
2022-03-01,12.256
2022-03-02,12.26
2022-03-03,12.131
2022-03-04,11.84
2022-03-07,11.684
2022-03-08,11.351
2022-03-09,11.67
2022-03-10,11.497
2022-03-11,11.425
2022-03-14,11.001
2022-03-15,11.013
2022-03-16,11.571
2022-03-17,11.731
2022-03-18,12.217
2022-03-21,12.181
2022-03-22,12.457
2022-03-23,12.514
2022-03-24,12.381
2022-03-25,12.279
2022-03-28,12.296
2022-03-29,12.598
2022-03-30,12.564
2022-03-31,12.438
2022-04-01,12.499
2022-04-04,12.817
2022-04-05,12.707
2022-04-06,12.217
2022-04-07,12.084
2022-04-08,12.096
2022-04-11,11.923
2022-04-12,12.11
2022-04-13,12.084
2022-04-14,12.02
2022-04-19,11.997
2022-04-20,11.834
2022-04-21,11.629
2022-04-22,11.378
2022-04-25,11.291
2022-04-26,11.18
2022-04-27,11.284
2022-04-28,11.318
2022-04-29,11.537
2022-05-02,11.332
2022-05-03,11.417
2022-05-04,11.069
2022-05-05,11.014
2022-05-06,10.694
2022-05-09,10.094
2022-05-10,9.863
2022-05-11,10.064
2022-05-12,10.053
2022-05-13,10.494
2022-05-16,10.413
2022-05-17,10.403
2022-05-18,10.296
2022-05-19,10.315
2022-05-20,10.34
2022-05-23,10.337
2022-05-24,9.871
2022-05-25,10.025
2022-05-26,10.293
2022-05-27,10.642
2022-05-30,10.798
2022-05-31,10.579
2022-06-01,10.504
2022-06-02,10.746
2022-06-03,10.587
2022-06-06,10.747
2022-06-07,10.753
2022-06-08,10.896
2022-06-09,10.736
2022-06-10,10.263
2022-06-13,9.796
2022-06-14,9.821
2022-06-15,9.984
2022-06-16,9.536
2022-06-17,9.691
2022-06-20,9.779
2022-06-21,9.904
2022-06-22,9.897
2022-06-23,10.068
2022-06-24,10.415
2022-06-27,10.511
2022-06-28,10.351
2022-06-29,10.215
2022-06-30,10.033
2022-07-01,10.166
2022-07-04,10.19
2022-07-05,10.357
2022-07-06,10.574
2022-07-07,10.854
2022-07-08,10.916
2022-07-11,10.662
2022-07-12,10.596
2022-07-13,10.415
2022-07-14,10.295
2022-07-15,10.458
2022-07-18,10.648
2022-07-19,10.654
2022-07-20,11.011
2022-07-21,11.105
2022-07-22,10.943
2022-07-25,10.86
2022-07-26,10.658
2022-07-27,10.848
2022-07-28,11.016
2022-07-29,10.961
2022-08-01,11.027
2022-08-02,11.066
2022-08-03,11.429
2022-08-04,11.352
2022-08-05,11.362
2022-08-08,11.499
2022-08-09,11.224
2022-08-10,11.446
2022-08-11,11.543
2022-08-12,11.596
2022-08-15,11.745
2022-08-16,11.726
2022-08-17,11.551
2022-08-18,11.616
2022-08-19,11.387
2022-08-22,11.279
2022-08-23,11.252
2022-08-24,11.346
2022-08-25,11.434
2022-08-26,11.229
2022-08-29,11.009
2022-08-30,10.855
2022-08-31,10.825
2022-09-01,10.564
2022-09-02,10.76
2022-09-05,10.674
2022-09-06,10.619
2022-09-07,10.569
2022-09-08,10.795
2022-09-09,10.999
2022-09-12,11.08
2022-09-13,10.809
2022-09-14,10.705
2022-09-15,10.625
2022-09-16,10.28
2022-09-19,10.261
2022-09-20,10.324
2022-09-21,10.396
2022-09-22,10.027
2022-09-23,9.911
2022-09-26,10.058
2022-09-27,10.061
2022-09-28,10.106
2022-09-29,9.846
2022-09-30,9.967
2022-10-03,9.861
2022-10-04,10.229
2022-10-05,10.191
2022-10-06,10.413
2022-10-07,10.078
2022-10-10,9.859
2022-10-11,9.682
2022-10-12,9.585
2022-10-13,9.515
2022-10-14,9.531
2022-10-17,9.732
2022-10-18,9.756
2022-10-19,9.721
2022-10-20,9.806
2022-10-21,9.612
2022-10-24,9.495
2022-10-25,9.731
2022-10-26,9.885
2022-10-27,9.846
2022-10-28,9.786
2022-10-31,9.942
2022-11-01,9.984
2022-11-02,9.753
2022-11-03,9.573
2022-11-04,9.373
2022-11-07,9.387
2022-11-08,9.555
2022-11-09,9.277
2022-11-10,9.801
2022-11-11,9.976
2022-11-14,9.985
2022-11-15,10.256
2022-11-16,9.982
2022-11-17,9.877
2022-11-18,9.844
2022-11-21,9.779
2022-11-22,9.742
2022-11-23,9.859
2022-11-24,9.913
2022-11-25,9.821
2022-11-28,9.822
2022-11-29,9.759
2022-11-30,9.764
2022-12-01,10.048
2022-12-02,10.022
2022-12-05,10.03
2022-12-06,9.714
2022-12-07,9.635
2022-12-08,9.705
2022-12-09,9.848
2022-12-12,9.765
2022-12-13,10.231
2022-12-14,10.039
2022-12-15,9.82
2022-12-16,9.493
2022-12-19,9.422
2022-12-20,9.318
2022-12-21,9.41
2022-12-22,9.47
2022-12-23,9.33
2022-12-27,9.284
2022-12-28,9.31
2022-12-29,9.404
2022-12-30,9.296
2023-01-02,9.567
2023-01-03,9.453
2023-01-04,9.737
2023-01-05,9.7
2023-01-06,9.7
2023-01-09,9.838
2023-01-10,9.715
2023-01-11,9.86
2023-01-12,9.967
2023-01-13,9.925
2023-01-16,9.948
2023-01-17,9.93
2023-01-18,9.994
2023-01-19,9.886
2023-01-20,10.003
2023-01-23,10.088
2023-01-24,10.201
2023-01-25,10.094
2023-01-26,10.431
2023-01-27,10.515
2023-01-30,10.319
2023-01-31,10.38
2023-02-01,10.397
2023-02-02,10.883
2023-02-03,10.92
2023-02-06,10.649
2023-02-07,10.722
2023-02-08,10.877
2023-02-09,10.783
2023-02-10,10.548
2023-02-13,10.625
2023-02-14,10.661
2023-02-15,10.768
2023-02-16,10.823
2023-02-17,10.615
2023-02-20,10.507
2023-02-21,10.356
2023-02-22,10.357
2023-02-23,10.431
2023-02-24,10.363
2023-02-27,10.343
2023-02-28,10.331
2023-03-01,10.246
2023-03-02,10.337
2023-03-03,10.579
2023-03-06,10.643
2023-03-07,10.56
2023-03-08,10.485
2023-03-09,10.481
2023-03-10,10.156
2023-03-13,9.937
2023-03-14,10.128
2023-03-15,10.027
2023-03-16,10.268
2023-03-17,10.345
2023-03-20,10.196
2023-03-21,10.32
2023-03-22,10.349
2023-03-23,10.356
2023-03-24,10.343
2023-03-27,10.326
2023-03-28,10.301
2023-03-29,10.418
2023-03-30,10.523
2023-03-31,10.699
2023-04-03,10.618
2023-04-04,10.577
2023-04-05,10.404
2023-04-06,10.371
2023-04-11,10.392
2023-04-12,10.328
2023-04-13,10.377
2023-04-14,10.384
2023-04-17,10.486
2023-04-18,10.562
2023-04-19,10.448
2023-04-20,10.445
2023-04-21,10.34
2023-04-24,10.24
2023-04-25,10.193
2023-04-26,10.018
2023-04-27,10.115
2023-04-28,10.17
2023-05-02,9.992
2023-05-03,9.972
2023-05-04,10.027
2023-05-05,10.081
2023-05-08,10.177
2023-05-09,10.212
2023-05-10,10.206
2023-05-11,10.299
2023-05-12,10.272
2023-05-15,10.395
2023-05-16,10.39
2023-05-17,10.471
2023-05-18,10.675
2023-05-19,10.641
2023-05-22,10.783
2023-05-23,10.722
2023-05-24,10.535
2023-05-25,10.702
2023-05-26,10.903
2023-05-29,10.895
2023-05-30,10.911
2023-05-31,10.827
2023-06-01,10.982
2023-06-02,11.209
2023-06-05,11.216
2023-06-06,11.317
2023-06-07,11.22
2023-06-08,11.137
2023-06-09,11.186
2023-06-12,11.312
2023-06-13,11.466
2023-06-14,11.507
2023-06-15,11.524
2023-06-16,11.569
2023-06-19,11.508
2023-06-20,11.36
2023-06-21,11.199
2023-06-22,11.18
2023-06-23,11.138
2023-06-26,11.155
2023-06-27,11.19
2023-06-28,11.313
2023-06-29,11.322
2023-06-30,11.413
2023-07-03,11.418
2023-07-04,11.46
2023-07-05,11.394
2023-07-06,11.153
2023-07-07,11.229
2023-07-10,11.23
2023-07-11,11.33
2023-07-12,11.429
2023-07-13,11.544
2023-07-14,11.526
2023-07-17,11.53
2023-07-18,11.527
2023-07-19,11.693
2023-07-20,11.546
2023-07-21,11.517
2023-07-24,11.564
2023-07-25,11.646
2023-07-26,11.589
2023-07-27,11.789
2023-07-28,11.803
2023-07-31,11.899
2023-08-01,11.903
2023-08-02,11.608
2023-08-03,11.611
2023-08-04,11.543
2023-08-07,11.443
2023-08-08,11.358
2023-08-09,11.322
2023-08-10,11.462
2023-08-11,11.281
2023-08-14,11.401
2023-08-15,11.326
2023-08-16,11.257
2023-08-17,11.078
2023-08-18,10.945
2023-08-21,11.007
2023-08-22,11.165
2023-08-23,11.307
2023-08-24,11.24
2023-08-25,11.158
2023-08-28,11.32
2023-08-29,11.496
2023-08-30,11.457
2023-08-31,11.616
2023-09-01,11.775
2023-09-04,11.756
2023-09-05,11.815
2023-09-06,11.768
2023-09-07,11.648
2023-09-08,11.677
2023-09-11,11.666
2023-09-12,11.648
2023-09-13,11.546
2023-09-14,11.68
2023-09-15,11.547
2023-09-18,11.481
2023-09-19,11.358
2023-09-20,11.379
2023-09-21,11.103
2023-09-22,11.204
2023-09-25,11.176
2023-09-26,11.047
2023-09-27,11.126
2023-09-28,11.129
2023-09-29,11.254
2023-10-02,11.345
2023-10-03,11.148
2023-10-04,11.129
2023-10-05,11.059
2023-10-06,11.24
2023-10-09,11.295
2023-10-10,11.522
2023-10-11,11.487
2023-10-12,11.553
2023-10-13,11.362
2023-10-16,11.48
2023-10-17,11.419
2023-10-18,11.314
2023-10-19,11.132
2023-10-20,10.812
2023-10-23,10.823
2023-10-24,10.999
2023-10-25,10.807
2023-10-26,10.644
2023-10-27,10.651
2023-10-30,10.648
2023-10-31,10.769
2023-11-01,10.862
2023-11-02,11.069
2023-11-03,11.192
2023-11-06,11.177
2023-11-07,11.359
2023-11-08,11.331
2023-11-09,11.414
2023-11-10,11.357
2023-11-13,11.489
2023-11-14,11.584
2023-11-15,11.757
2023-11-16,11.546
2023-11-17,11.594
2023-11-20,11.673
2023-11-21,11.626
2023-11-22,11.93
2023-11-23,11.777
2023-11-24,11.712
2023-11-27,11.786
2023-11-28,11.701
2023-11-29,11.822
2023-11-30,11.842
2023-12-01,11.936
2023-12-04,11.91
2023-12-05,11.913
2023-12-06,11.974
2023-12-07,11.98
2023-12-08,12.068
2023-12-11,12.172
2023-12-12,12.185
2023-12-13,12.21
2023-12-14,12.178
2023-12-15,12.373
2023-12-18,12.322
2023-12-19,12.401
2023-12-20,12.415
2023-12-21,12.312
2023-12-22,12.225
2023-12-27,12.205
2023-12-28,12.29
2023-12-29,12.237
2024-01-02,12.152
2024-01-03,12.066
2024-01-04,12.023
2024-01-05,11.97
2024-01-08,12.052
2024-01-09,12.169
2024-01-10,12.203
2024-01-11,12.22
2024-01-12,12.337
2024-01-15,12.317
2024-01-16,12.344
2024-01-17,12.196
2024-01-18,12.365
2024-01-19,12.376
2024-01-22,12.597
2024-01-23,12.698
2024-01-24,12.82
2024-01-25,12.911
2024-01-26,12.785
2024-01-29,12.819
2024-01-30,12.837
2024-01-31,12.616
2024-02-01,12.61
2024-02-02,12.813
2024-02-05,12.896
2024-02-06,12.972
2024-02-07,13.06
2024-02-08,13.106
2024-02-09,13.18
2024-02-12,13.327
2024-02-13,13.118
2024-02-14,13.15
2024-02-15,13.166
2024-02-16,13.188
2024-02-19,13.118
2024-02-20,12.914
2024-02-21,12.743
2024-02-22,13.022
2024-02-23,13.039
2024-02-26,13.069
2024-02-27,13.065
2024-02-28,13.001
2024-02-29,13.039
2024-03-01,13.136
2024-03-04,13.128
2024-03-05,12.861
2024-03-06,13.024
2024-03-07,12.998
2024-03-08,12.99
2024-03-11,13.01
2024-03-12,13.225
2024-03-13,13.244
2024-03-14,13.202
2024-03-15,13.029
2024-03-18,13.169
2024-03-19,13.137
2024-03-20,13.223
2024-03-21,13.525
2024-03-22,13.471
2024-03-25,13.404
2024-03-26,13.478
2024-03-27,13.387
2024-03-28,13.535
2024-04-02,13.432
2024-04-03,13.413
2024-04-04,13.429
2024-04-05,13.288
2024-04-08,13.295
2024-04-09,13.236
2024-04-10,13.341
2024-04-11,13.419
2024-04-12,13.397
2024-04-15,13.31
2024-04-16,13.088
2024-04-17,12.986
2024-04-18,13.018
2024-04-19,12.799
2024-04-22,12.817
2024-04-23,13.1
2024-04-24,13.165
2024-04-25,13.001
2024-04-26,13.396
2024-04-29,13.338
2024-04-30,13.266
2024-05-02,13.238
2024-05-03,13.434
2024-05-06,13.541
2024-05-07,13.585
2024-05-08,13.576
2024-05-09,13.626
2024-05-10,13.672
2024-05-13,13.759
2024-05-14,13.776
2024-05-15,13.905
2024-05-16,14.042
2024-05-17,13.995
2024-05-20,14.022
2024-05-21,13.956
2024-05-22,13.946
2024-05-23,13.923
2024-05-24,13.851
2024-05-27,13.9
2024-05-28,13.835
2024-05-29,13.795
2024-05-30,13.639
2024-05-31,13.36
2024-06-03,13.441
2024-06-04,13.436
2024-06-05,13.688
2024-06-06,13.772
2024-06-07,13.846
2024-06-10,13.945
2024-06-11,13.926
2024-06-12,14.054
2024-06-13,14.137
2024-06-14,14.228
2024-06-17,14.207
2024-06-18,14.293
2024-06-19,14.34
2024-06-20,14.353
2024-06-21,14.273
2024-06-24,14.249
2024-06-25,14.235
2024-06-26,14.272
2024-06-27,14.287
2024-06-28,14.371
2024-07-01,14.258
2024-07-02,14.307
2024-07-03,14.403
2024-07-04,14.389
2024-07-05,14.441
2024-07-08,14.476
2024-07-09,14.508
2024-07-10,14.459
2024-07-11,14.424
2024-07-12,14.557
2024-07-15,14.608
2024-07-16,14.566
2024-07-17,14.262
2024-07-18,14.055
2024-07-19,13.957
2024-07-22,14.007
2024-07-23,14.203
2024-07-24,13.862
2024-07-25,13.672
2024-07-26,13.669
2024-07-29,13.745
2024-07-30,13.721
2024-07-31,14.02
2024-08-01,13.846
2024-08-02,13.058
2024-08-05,12.831
2024-08-06,12.914
2024-08-07,13.15
2024-08-08,13.158
2024-08-09,13.251
2024-08-12,13.301
2024-08-13,13.489
2024-08-14,13.468
2024-08-15,13.765
2024-08-16,13.827
2024-08-19,13.874
2024-08-20,13.894
2024-08-21,13.901
2024-08-22,13.915
2024-08-23,13.882
2024-08-26,13.858
2024-08-27,13.842
2024-08-28,13.731
2024-08-29,14.046
2024-08-30,13.937
2024-09-02,14.104
2024-09-03,13.915
2024-09-04,13.694
2024-09-05,13.565
2024-09-06,13.314
2024-09-09,13.513
2024-09-10,13.668
2024-09-11,13.567
2024-09-12,13.925
2024-09-13,14.011
2024-09-16,13.952
2024-09-17,14.077
2024-09-18,13.962
2024-09-19,14.289
2024-09-20,14.189
2024-09-23,14.368
2024-09-24,14.453
2024-09-25,14.478
2024-09-26,14.638
2024-09-27,14.736
2024-09-30,14.715
2024-10-01,14.531
2024-10-02,14.861
2024-10-03,14.872
2024-10-04,15.057
2024-10-07,15.117
2024-10-08,15.072
2024-10-09,15.033
2024-10-10,15.225
2024-10-11,15.311
2024-10-14,15.373
2024-10-15,15.19
2024-10-16,15.23
2024-10-17,15.21
2024-10-18,15.378
2024-10-21,15.311
2024-10-22,15.197
2024-10-23,15.285
2024-10-24,15.197
2024-10-25,15.363
2024-10-28,15.237
2024-10-29,15.447
2024-10-30,15.55
2024-10-31,15.124
2024-11-01,15.266
2024-11-04,15.036
2024-11-05,15.314
2024-11-06,16.0
2024-11-07,16.06
2024-11-08,16.067
2024-11-11,16.297
2024-11-12,16.22
2024-11-13,16.246
2024-11-14,16.279
2024-11-15,16.017
2024-11-18,16.086
2024-11-19,15.874
2024-11-20,16.125
2024-11-21,16.198
2024-11-22,16.449
2024-11-25,16.556
2024-11-26,16.589
2024-11-27,16.21
2024-11-28,16.339
2024-11-29,16.389
2024-12-02,16.394
2024-12-03,16.333
2024-12-04,16.634
2024-12-05,16.586
2024-12-06,16.597
2024-12-09,16.692
2024-12-10,16.617
2024-12-11,16.779
2024-12-12,16.805
2024-12-13,16.697
2024-12-16,16.799
2024-12-17,16.833
2024-12-18,16.844
2024-12-19,16.456
2024-12-20,16.499
2024-12-23,16.483
2024-12-24,16.581
2024-12-27,16.458
2024-12-30,16.395
2024-12-31,16.545
2025-01-02,16.414
2025-01-03,16.546
2025-01-06,16.851
2025-01-07,16.478
2025-01-08,16.424
2025-01-09,16.425
2025-01-10,16.198
2025-01-13,16.092
2025-01-14,16.168
2025-01-15,16.477
2025-01-16,16.612
2025-01-17,16.77
2025-01-20,16.69
2025-01-21,16.685
2025-01-22,16.926
2025-01-23,16.857
2025-01-24,16.952
2025-01-27,16.473
2025-01-28,16.711
2025-01-29,16.859
2025-01-30,17.036
2025-01-31,17.201
2025-02-03,16.823
2025-02-04,16.869
2025-02-05,16.76
2025-02-06,17.162
2025-02-07,17.227
2025-02-10,17.285
2025-02-11,17.393
2025-02-12,17.474
2025-02-13,17.37
2025-02-14,17.198
2025-02-17,17.565
2025-02-18,17.591
2025-02-19,17.603
2025-02-20,17.559
2025-02-21,17.434
2025-02-24,16.683
2025-02-25,16.554
2025-02-26,16.954
2025-02-27,16.945
2025-02-28,16.561
2025-03-03,16.423
2025-03-04,15.797
2025-03-05,15.737
2025-03-06,15.822
2025-03-07,15.32
2025-03-10,15.079
2025-03-11,14.856
2025-03-12,15.261
2025-03-13,14.959
2025-03-14,15.029
2025-03-17,15.366
2025-03-18,15.257
2025-03-19,15.465
2025-03-20,15.41
2025-03-21,15.415
2025-03-24,15.677
2025-03-25,15.725
2025-03-26,15.546
2025-03-27,15.441
2025-03-28,14.87
