,DKUPL FP Equity_DX_SI_QTY,DKUPL FP Equity_DX_SHORT_INTEREST_VALUE,DKUPL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DKUPL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DKUPL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DKUPL FP Equity_DX_SI_MV,DKUPL FP Equity_DX_DSS,DKUPL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DKUPL FP Equity_DX_SUPPLY_SI_QTY,DKUPL FP Equity_DX_BROKER_SI_QTY,DKUPL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DKUPL FP Equity_DX_SUPPLY_SI_QTY_INC_x,DKUPL FP Equity_DX_BROKER_SI_MV_INC_x,DKUPL FP Equity_DX_BROKER_SI_QTY_ADD,DKUPL FP Equity_DX_SUPPLY_SI_MV_DEC,DKUPL FP Equity_DX_BROKER_SI_QTY_INC,DKUPL FP Equity_DX_SUPPLY_SI_QTY_DEC,DKUPL FP Equity_DX_BROKER_SI_MV_INC_y,DKUPL FP Equity_DX_SUPPLY_SI_QTY_INC_y,DKUPL FP Equity_DX_BROKER_SI_MV_ADD,DKUPL FP Equity_DX_SUPPLY_SI_QTY_ADD,DKUPL FP Equity_DX_BROKER_SI_QTY_DEC,DKUPL FP Equity_DX_SUPPLY_SI_MV,DKUPL FP Equity_DX_BROKER_SI_MV_DEC,DKUPL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DKUPL FP Equity_DX_UTILIZATION_QUANTITY,DKUPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DKUPL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DKUPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DKUPL FP Equity_DX_ACTIVE_UTILIZATION_MV,DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DKUPL FP Equity_DX_BROKER_SI_CON_RATIO,DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DKUPL FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-10,7941.0,54543.57,1.15,1.58,0.18,0.14,0.0,54543.57,0.0,7941.0,0.0,,,,,,,,,,,5062.0,0.0,0.1,0.0,0.0,37675.0,258774.57,0.66,0.0,,1.0,100.0,0.2108
2006-05-17,1521.0,10780.69,0.22,0.29,0.03,0.03,0.0,10780.69,0.0,1521.0,0.0,,,,,,,,,,,6421.0,0.0,0.11,0.0,0.0,35831.0,253966.39,0.66,0.0,,1.0,100.0,0.0424
2006-05-24,1523.0,9423.14,0.22,0.33,0.03,0.02,0.0,9423.14,0.0,1523.0,0.0,,0.0,,,2.0,,0.0,,,,,0.0,,0.0,0.0,36354.0,224930.33,0.58,0.0,,1.0,100.0,0.0419
2006-05-31,1607.0,10182.0,0.23,0.45,0.04,0.03,0.0,10182.0,0.0,1607.0,0.0,,0.0,,,84.0,,0.0,,,,,0.0,,0.0,0.0,55777.0,353404.77,0.9,0.0,,1.0,100.0,0.0288
2006-06-07,1521.0,9827.7,0.22,0.48,0.03,0.02,0.0,9827.7,0.0,1521.0,0.0,,,,,,,,,,,86.0,0.0,0.0,0.0,0.0,54869.0,354527.34,0.88,0.0,,1.0,100.0,0.0277
2006-06-14,1531.0,9592.55,0.22,0.49,0.03,0.02,0.0,9592.55,0.0,1531.0,0.0,,0.0,,,10.0,,0.0,,,,,0.0,,0.0,0.0,53387.0,334498.55,0.85,0.0,,1.0,100.0,0.0287
2006-06-21,1536.0,9900.56,0.22,0.64,0.03,0.02,0.0,9900.56,0.0,1536.0,0.0,,0.0,,,5.0,,0.0,,,,,0.0,,0.0,0.0,43822.0,282462.48,0.71,0.0,,1.0,100.0,0.0351
2006-06-28,1528.0,8724.08,0.22,0.72,0.03,0.02,0.0,8724.08,0.0,1528.0,0.0,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,51005.0,291211.83,0.79,0.0,,1.0,100.0,0.03
2006-07-03,1529.0,9101.01,0.22,0.94,0.03,0.02,0.0,9101.01,0.0,1529.0,0.0,,0.0,,,1.0,,0.0,,,,,0.0,,0.0,0.0,52057.0,309857.11,0.75,0.0,,1.0,100.0,0.0294
2006-07-04,1031.0,6217.53,0.15,0.73,0.02,0.02,0.0,6217.53,0.0,1031.0,0.0,,,,,,,,,,,498.0,0.0,0.01,0.0,0.0,51085.0,308072.45,0.77,0.0,,1.0,100.0,0.0202
2006-07-05,1011.0,6017.74,0.15,0.54,0.02,0.02,0.0,6017.74,0.0,1011.0,0.0,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,51939.0,309154.74,0.8,0.0,,1.0,100.0,0.0195
2006-07-06,1048.0,6242.08,0.15,0.35,0.02,0.02,0.0,6242.08,0.0,1048.0,0.0,,0.0,,,37.0,,0.0,,,,,0.0,,0.0,0.0,40477.0,241088.37,0.61,0.0,,1.0,100.0,0.0259
2006-07-07,1033.0,6148.69,0.15,0.35,0.02,0.02,0.0,6148.69,0.0,1033.0,0.0,,,,,,,,,,,15.0,0.0,0.0,0.0,0.0,40517.0,241167.96,0.61,0.0,,1.0,100.0,0.0255
2006-07-10,1022.0,6043.19,0.15,0.35,0.02,0.02,0.0,6043.19,0.0,1022.0,0.0,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,40102.0,237127.39,0.61,0.0,,1.0,100.0,0.0255
2006-07-11,461.0,2743.99,0.07,0.16,0.01,0.01,0.0,2743.99,0.0,461.0,0.0,,,,,,,,,,,561.0,0.0,0.01,0.0,0.0,40640.0,241900.09,0.61,0.0,,1.0,100.0,0.0113
2006-07-12,452.0,2690.42,0.07,0.15,0.01,0.01,0.0,2690.42,0.0,452.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,0.0,39291.0,233870.48,0.6,0.0,,1.0,100.0,0.0115
2006-07-13,457.0,2684.39,0.07,0.16,0.01,0.01,0.0,2684.39,0.0,457.0,0.0,,0.0,,,5.0,,0.0,,,,,0.0,,0.0,0.0,39421.0,231556.85,0.6,0.0,,1.0,100.0,0.0116
2006-07-14,456.0,2633.88,0.07,0.15,0.01,0.01,0.0,2633.88,0.0,456.0,0.0,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,39498.0,228142.33,0.59,0.0,,1.0,100.0,0.0115
2006-07-17,453.0,2589.94,0.07,0.16,0.01,0.01,0.0,2589.94,0.0,453.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,39628.0,226565.48,0.59,0.0,,1.0,100.0,0.0114
2006-07-18,457.0,2557.33,0.07,0.16,0.01,0.01,0.0,2557.33,0.0,457.0,0.0,,0.0,,,4.0,,0.0,,,,,0.0,,0.0,0.0,40094.0,224362.54,0.59,0.0,,1.0,100.0,0.0114
2006-07-19,460.0,2350.75,0.07,0.16,0.01,0.01,0.0,2350.75,0.0,460.0,0.0,,0.0,,,4.0,,0.0,,,,,0.0,,0.0,0.0,38127.0,194841.69,0.54,0.0,,1.0,100.0,0.0121
2006-07-20,459.0,2534.37,0.07,0.15,0.01,0.01,0.0,2534.37,0.0,459.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,40939.0,226045.09,0.53,0.0,,1.0,100.0,0.0112
2006-07-21,459.0,2516.4,0.07,0.15,0.01,0.01,0.0,2516.4,0.0,459.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,38875.0,213126.36,0.55,0.0,,1.0,100.0,0.0118
2006-07-24,455.0,2494.47,0.07,0.14,0.01,0.01,0.0,2494.47,0.0,455.0,0.0,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,38794.0,212682.29,0.55,0.0,,1.0,100.0,0.0117
2006-07-25,455.0,2410.73,0.07,0.14,0.01,0.01,0.0,2410.73,0.0,455.0,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,0.0,36761.0,194770.8,0.52,0.0,,1.0,100.0,0.0124
2006-07-26,460.0,2476.85,0.07,0.14,0.01,0.01,0.0,2476.85,0.0,460.0,0.0,,0.0,,,5.0,,0.0,,,,,0.0,,0.0,0.0,37613.0,202525.36,0.51,0.0,,1.0,100.0,0.0122
2006-07-27,460.0,2431.81,0.07,0.13,0.01,0.01,0.0,2431.81,0.0,460.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,29770.0,157380.65,0.41,0.0,,1.0,100.0,0.0155
2006-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,460.0,0.0,0.01,0.0,0.0,30091.0,159077.64,0.41,0.0,,0.0,,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30072.0,158977.19,0.41,0.0,,0.0,,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30197.0,159638.01,0.41,0.0,,0.0,,0.0
2006-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29815.0,157618.55,0.4,0.0,,0.0,,0.0
2006-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29788.0,157475.81,0.4,0.0,,0.0,,0.0
2006-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30051.0,158866.17,0.4,0.0,,0.0,,0.0
2006-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29819.0,157639.69,0.4,0.0,,0.0,,0.0
2006-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29889.0,158009.75,0.4,0.0,,0.0,,0.0
2006-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29681.0,158072.45,0.4,0.0,,0.0,,0.0
2006-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29268.0,155872.93,0.4,0.0,,0.0,,0.0
2006-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29479.0,156996.65,0.4,0.0,,0.0,,0.0
2006-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29468.0,156938.07,0.4,0.0,,0.0,,0.0
2006-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29476.0,156980.68,0.4,0.0,,0.0,,0.0
2006-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29164.0,160915.11,0.41,0.0,,0.0,,0.0
2006-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,28595.0,161806.77,0.41,0.0,,0.0,,0.0
2006-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,28719.0,157560.08,0.41,0.0,,0.0,,0.0
2006-08-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,28979.0,158986.51,0.41,0.0,,0.0,,0.0
2006-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29095.0,157344.21,0.41,0.0,,0.0,,0.0
2006-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,167590.55,0.34,0.0,,0.0,,0.0
2006-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,164701.06,0.34,0.0,,0.0,,0.0
2006-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,169786.56,0.35,0.0,,0.0,,0.0
2006-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,169902.14,0.35,0.0,,0.0,,0.0
2006-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,165047.8,0.34,0.0,,0.0,,0.0
2006-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,171404.68,0.43,0.0,,0.0,,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,171867.0,0.44,0.0,,0.0,,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,173485.12,0.44,0.0,,0.0,,0.0
2006-09-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,184927.5,0.45,0.0,,0.0,,0.0
2006-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,189550.69,0.46,0.0,,0.0,,0.0
2006-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,198797.07,0.5,0.0,,0.0,,0.0
2006-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,187585.84,0.5,0.0,,0.0,,0.0
2006-09-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,187701.42,0.5,0.0,,0.0,,0.0
2006-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,179610.84,0.49,0.0,,0.0,,0.0
2006-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,178570.62,0.49,0.0,,0.0,,0.0
2006-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,181344.53,0.47,0.0,,0.0,,0.0
2006-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,176836.93,0.46,0.0,,0.0,,0.0
2006-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,180419.9,0.47,0.0,,0.0,,0.0
2006-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,177414.82,0.46,0.0,,0.0,,0.0
2006-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,177530.4,0.46,0.0,,0.0,,0.0
2006-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,177414.82,0.46,0.0,,0.0,,0.0
2006-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,177992.72,0.46,0.0,,0.0,,0.0
2006-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,177761.56,0.46,0.0,,0.0,,0.0
2006-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,175796.71,0.46,0.0,,0.0,,0.0
2006-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,175796.71,0.46,0.0,,0.0,,0.0
2006-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,175912.29,0.45,0.0,,0.0,,0.0
2006-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,175912.29,0.45,0.0,,0.0,,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,168746.35,0.45,0.0,,0.0,,0.0
2006-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,168861.93,0.44,0.0,,0.0,,0.0
2006-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,161811.57,0.44,0.0,,0.0,,0.0
2006-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29515.0,157303.96,0.42,0.0,,0.0,,0.0
2006-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29513.0,157408.87,0.41,0.0,,0.0,,0.0
2006-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29513.0,151630.28,0.41,0.0,,0.0,,0.0
2006-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29513.0,159835.88,0.41,0.0,,0.0,,0.0
2006-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29513.0,156022.01,0.41,0.0,,0.0,,0.0
2006-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29483.0,159211.59,0.4,0.0,,0.0,,0.0
2006-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29483.0,157017.96,0.4,0.0,,0.0,,0.0
2006-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29483.0,161751.59,0.4,0.0,,0.0,,0.0
2006-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,28954.0,158169.05,0.4,0.0,,0.0,,0.0
2006-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,28246.0,154854.46,0.39,0.0,,0.0,,0.0
2006-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,24739.0,135627.86,0.35,0.0,,0.0,,0.0
2006-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,22941.0,125321.42,0.32,0.0,,0.0,,0.0
2006-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,22433.0,119735.23,0.31,0.0,,0.0,,0.0
2006-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,22433.0,116221.36,0.31,0.0,,0.0,,0.0
2006-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,22433.0,117714.75,0.31,0.0,,0.0,,0.0
2006-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21260.0,111559.56,0.29,0.0,,0.0,,0.0
2006-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21260.0,110810.28,0.29,0.0,,0.0,,0.0
