,LVE FP Equity_DX_SI_QTY,LVE FP Equity_DX_SHORT_INTEREST_VALUE,LVE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LVE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LVE FP Equity_DX_SI_MV,LVE FP Equity_DX_DSS,LVE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LVE FP Equity_DX_SUPPLY_SI_QTY,LVE FP Equity_DX_BROKER_SI_QTY,LVE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LVE FP Equity_DX_BROKER_SI_MV_NEW_x,LVE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LVE FP Equity_DX_SUPPLY_SI_QTY_INC_x,LVE FP Equity_DX_BROKER_SI_MV_INC_x,LVE FP Equity_DX_SUPPLY_SI_MV_NEW,LVE FP Equity_DX_BROKER_SI_QTY_ADD,LVE FP Equity_DX_BROKER_SI_QTY_NEW,LVE FP Equity_DX_SUPPLY_SI_MV_DEC,LVE FP Equity_DX_BROKER_SI_QTY_INC,LVE FP Equity_DX_SUPPLY_SI_QTY_DEC,LVE FP Equity_DX_BROKER_SI_MV_NEW_y,LVE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LVE FP Equity_DX_BROKER_SI_MV_INC_y,LVE FP Equity_DX_SUPPLY_SI_QTY_INC_y,LVE FP Equity_DX_BROKER_SI_MV_ADD,LVE FP Equity_DX_SUPPLY_SI_QTY_ADD,LVE FP Equity_DX_BROKER_SI_QTY_DEC,LVE FP Equity_DX_SUPPLY_SI_MV,LVE FP Equity_DX_BROKER_SI_MV_DEC,LVE FP Equity_DX_SUPPLY_SI_MV_RMV,LVE FP Equity_DX_BROKER_SI_MV_RMV,LVE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LVE FP Equity_DX_UTILIZATION_QUANTITY,LVE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LVE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LVE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LVE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LVE FP Equity_DX_ACTIVE_UTILIZATION_MV,LVE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LVE FP Equity_DX_BROKER_SI_CON_RATIO,LVE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LVE FP Equity_DX_DEMAND_SUPPLY_RATIO,LVE FP Equity_PX_LAST
2007-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.02
2007-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.32
2007-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44
2007-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.65
2007-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.61
2007-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1
2007-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.83
2007-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
2007-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.15
2007-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.32
2007-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.18
2007-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.57
2007-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.37
2007-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.84
2007-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.52
2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.25
2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.72
2007-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.39
2007-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5
2007-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.23
2007-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.53
2007-10-09,23000.0,933705.22,0.32,2.88,1.25,,933705.22,0.0,23000.0,0.0,,,,,,23000.0,,,,,,,,,1.25,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,54.9
2007-10-10,23000.0,928603.01,0.33,2.88,1.26,,928603.01,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,54.6
2007-10-11,23000.0,943059.28,0.35,2.88,1.26,,943059.28,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,55.45
2007-10-12,23000.0,930133.67,0.35,2.88,1.28,,930133.67,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,54.69
2007-10-15,23000.0,924521.24,0.35,2.88,1.26,2.0,924521.24,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,54.36
2007-10-16,23000.0,921119.76,0.35,2.88,1.25,2.0,921119.76,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,54.16
2007-10-17,23000.0,928262.86,0.36,2.88,1.25,2.0,928262.86,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,54.58
2007-10-18,23000.0,917378.14,0.36,2.88,1.26,2.0,917378.14,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.94
2007-10-19,23000.0,913806.59,0.37,2.88,1.24,2.0,913806.59,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.73
2007-10-22,23000.0,884383.82,0.42,2.88,1.24,2.0,884383.82,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,52.0
2007-10-23,23000.0,902071.49,0.41,2.88,1.2,2.0,902071.49,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.04
2007-10-24,23000.0,888805.74,0.42,2.88,1.22,2.0,888805.74,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,52.26
2007-10-25,23000.0,911425.55,0.41,2.88,1.2,2.0,911425.55,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.59
2007-10-26,23000.0,925031.46,0.42,2.88,1.23,2.0,925031.46,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,54.39
2007-10-29,23000.0,940168.03,0.42,2.88,1.25,2.0,940168.03,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,55.28
2007-10-30,23000.0,937446.85,0.42,2.88,1.27,2.0,937446.85,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,55.12
2007-10-31,23000.0,944760.02,0.43,2.88,1.27,2.0,944760.02,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,55.55
2007-11-01,23000.0,916187.62,0.46,2.88,1.28,2.0,916187.62,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.87
2007-11-02,23000.0,906833.56,0.38,2.88,1.28,2.0,906833.56,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.32
2007-11-05,23000.0,907343.78,0.38,2.88,1.23,2.0,907343.78,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.35
2007-11-06,23000.0,916697.84,0.37,2.88,1.23,2.0,916697.84,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.9
2007-11-07,23000.0,905813.12,0.37,2.88,1.24,2.0,905813.12,0.0,23000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,9.8501,53.26
2007-11-08,10000.0,388951.41,0.16,1.25,0.53,1.0,388951.41,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,13000.0,0.0,0.71,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.2827,52.6
2007-11-09,10000.0,375049.73,0.16,1.25,0.53,1.0,375049.73,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.2827,50.72
2007-11-12,10000.0,374162.38,0.16,1.25,0.51,1.0,374162.38,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.2827,50.6
2007-11-13,10000.0,373422.93,0.32,1.25,0.51,1.0,373422.93,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.2827,50.5
2007-11-14,10000.0,387398.56,0.34,1.25,0.51,1.0,387398.56,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.2827,52.39
2007-11-15,10000.0,377859.64,0.34,1.25,0.52,1.0,377859.64,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.2827,51.1
2007-11-16,10000.0,375863.12,0.37,1.25,0.51,1.0,375863.12,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.2827,50.83
2007-11-19,10000.0,366398.15,0.35,1.25,0.51,1.0,366398.15,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.2827,49.55
2007-11-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,0.51,,,0.0,0.0,2335.0,87712.24,,0.12,0.0,,0.0,,0.0,50.8
2007-11-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2335.0,83741.02,,0.12,0.0,,0.0,,0.0,48.5
2007-11-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2335.0,85191.38,,0.12,0.0,,0.0,,0.0,49.34
2007-11-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2335.0,87107.92,,0.11,0.0,,0.0,,0.0,50.45
2007-11-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2335.0,85553.97,,0.11,0.0,,0.0,,0.0,49.55
2007-11-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2335.0,85294.97,,0.12,0.0,,0.0,,0.0,49.4
2007-11-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2335.0,87764.04,,0.12,0.0,,0.0,,0.0,50.83
2007-11-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2335.0,89456.13,,0.12,0.0,,0.0,,0.0,51.81
2007-11-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2335.0,92132.38,,0.12,0.0,,0.0,,0.0,53.36
2007-12-03,2000.0,78026.91,0.06,0.25,0.11,0.0,78026.91,2000.0,2000.0,78026.91,,,,,,2000.0,,,,,,,,,0.11,2000.0,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8565,52.76
2007-12-04,2000.0,76932.52,0.05,0.25,0.11,0.0,76932.52,2000.0,2000.0,76932.52,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8565,52.02
2007-12-05,2000.0,79298.76,0.05,0.25,0.1,0.0,79298.76,2000.0,2000.0,79298.76,,,,,,,,,,,,,,,,,,0.1,,,,100.0,85.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8565,53.62
2007-12-06,2000.0,79313.55,0.05,0.25,0.11,0.0,79313.55,2000.0,2000.0,79313.55,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8565,53.63
2007-12-07,72000.0,2909060.78,1.58,9.0,3.86,5.0,2909060.78,2000.0,72000.0,80807.24,,,,,,70000.0,,,,,,,,,3.75,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,2.78,0.946,97.22,30.8351,54.64
2007-12-10,72000.0,2938875.46,1.6,9.0,3.93,5.0,2938875.46,2000.0,72000.0,81635.43,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,2.78,0.946,97.22,30.8351,55.2
2007-12-11,72000.0,2902139.51,1.59,9.0,3.94,5.0,2902139.51,2000.0,72000.0,80614.99,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,2.8,0.9455,97.2,30.8351,54.51
2007-12-12,72000.0,2926630.14,1.57,9.0,3.92,5.0,2926630.14,2000.0,72000.0,81295.28,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,2.78,0.946,97.22,30.8351,54.97
2007-12-13,72000.0,2808436.24,1.48,9.0,3.96,5.0,2808436.24,2000.0,72000.0,78012.12,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,2.76,0.9463,97.24,30.8351,52.75
2007-12-14,2000.0,78500.16,0.05,0.25,0.11,0.0,78500.16,2000.0,2000.0,78500.16,,,,,,,,,,,,,,,,,70000.0,0.11,3.85,,,100.0,85.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8565,53.08
2007-12-17,2000.0,76059.97,0.05,0.25,0.11,0.0,76059.97,2000.0,2000.0,76059.97,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8565,51.43
2007-12-18,52000.0,1987171.99,1.46,6.5,2.67,3.0,1987171.99,2000.0,52000.0,76429.69,,,,,,50000.0,,,,,,,,,2.57,,,0.1,,,,100.0,85.65,0.0,0.0,,0.0,100.0,3.85,0.926,96.15,22.2698,51.68
2007-12-19,52000.0,1983711.35,1.44,6.5,2.66,3.0,1983711.35,2000.0,52000.0,76296.59,,,,,,,,,,,,,,,,,,0.1,,,,100.0,85.65,0.0,0.0,,0.0,100.0,3.89,0.9253,96.11,22.2698,51.59
2007-12-20,52000.0,1963716.59,1.45,6.5,2.65,3.0,1963716.59,2000.0,52000.0,75527.56,,,,,,,,,,,,,,,,,,0.1,,,,100.0,85.65,0.0,0.0,,0.0,100.0,3.89,0.9252,96.11,22.2698,51.07
2007-12-21,52000.0,2022547.34,1.56,6.5,2.64,3.0,2022547.34,2000.0,52000.0,77790.28,,,,,,,,,,,,,,,,,,0.1,,,,100.0,85.65,0.0,0.0,,0.0,100.0,3.87,0.9257,96.13,22.2698,52.6
2007-12-24,52000.0,2022547.34,1.61,6.5,2.63,3.0,2022547.34,2000.0,52000.0,77790.28,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,3.87,0.9257,96.13,22.2698,
2007-12-25,52000.0,2022547.34,1.72,6.5,2.63,3.0,2022547.34,2000.0,52000.0,77790.28,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,3.87,0.9257,96.13,22.2698,
2007-12-26,52000.0,2022547.34,1.72,6.5,2.74,3.0,2022547.34,2000.0,52000.0,77790.28,,,,,,,,,,,,,,,,,,0.11,,,,100.0,85.65,0.0,0.0,,0.0,100.0,3.85,0.926,96.15,22.2698,
