,GEU3C FP Equity_PX_LAST
2023-11-10,10.076
2023-11-13,10.074
2023-11-14,10.094
2023-11-15,10.096
2023-11-16,10.112
2023-11-17,10.108
2023-11-20,10.102
2023-11-21,10.11
2023-11-22,10.106
2023-11-23,10.098
2023-11-24,10.096
2023-11-27,10.114
2023-11-28,10.126
2023-11-29,10.144
2023-11-30,10.14
2023-12-01,10.176
2023-12-04,10.176
2023-12-05,10.186
2023-12-06,10.21
2023-12-07,10.196
2023-12-08,10.176
2023-12-11,10.176
2023-12-12,10.174
2023-12-13,10.186
2023-12-14,10.212
2023-12-15,10.222
2023-12-18,10.216
2023-12-19,10.226
2023-12-20,10.236
2023-12-21,10.244
2023-12-22,10.252
2023-12-27,10.258
2023-12-28,10.26
2023-12-29,10.256
2024-01-02,10.246
2024-01-03,10.25
2024-01-04,10.234
2024-01-05,10.226
2024-01-08,10.228
2024-01-09,10.218
2024-01-10,10.214
2024-01-11,10.218
2024-01-12,10.24
2024-01-15,10.228
2024-01-16,10.228
2024-01-17,10.21
2024-01-18,10.214
2024-01-19,10.21
2024-01-22,10.216
2024-01-23,10.212
2024-01-24,10.214
2024-01-25,10.234
2024-01-26,10.234
2024-01-29,10.246
2024-01-30,10.236
2024-01-31,10.256
2024-02-01,10.256
2024-02-02,10.232
2024-02-05,10.218
2024-02-06,10.224
2024-02-07,10.222
2024-02-08,10.214
2024-02-09,10.206
2024-02-12,10.21
2024-02-13,10.198
2024-02-14,10.204
2024-02-15,10.208
2024-02-16,10.2
2024-02-19,10.2
2024-02-20,10.208
2024-02-21,10.198
2024-02-22,10.192
2024-02-23,10.2
2024-02-26,10.19
2024-02-27,10.19
2024-02-28,10.192
2024-02-29,10.194
2024-03-01,10.198
2024-03-04,10.198
2024-03-05,10.208
2024-03-06,10.208
2024-03-07,10.222
2024-03-08,10.234
2024-03-11,10.228
2024-03-12,10.224
2024-03-13,10.222
2024-03-14,10.214
2024-03-15,10.206
2024-03-18,10.208
2024-03-19,10.214
2024-03-20,10.214
2024-03-21,10.222
2024-03-22,10.23
2024-03-25,10.222
2024-03-26,10.226
2024-03-27,10.236
2024-03-28,10.234
2024-04-02,10.23
2024-04-03,10.226
2024-04-04,10.236
2024-04-05,10.23
2024-04-08,10.224
2024-04-09,10.23
2024-04-10,10.22
2024-04-11,10.218
2024-04-12,10.238
2024-04-15,10.23
2024-04-16,10.222
2024-04-17,10.224
2024-04-18,10.218
2024-04-19,10.216
2024-04-22,10.226
2024-04-23,10.228
2024-04-24,10.216
2024-04-25,10.21
2024-04-26,10.218
2024-04-29,10.226
2024-04-30,10.214
2024-05-02,10.222
2024-05-03,10.234
2024-05-06,10.238
2024-05-07,10.242
2024-05-08,10.238
2024-05-09,10.238
2024-05-10,10.232
2024-05-13,10.236
2024-05-14,10.232
2024-05-15,10.25
2024-05-16,10.25
2024-05-17,10.24
2024-05-20,10.24
2024-05-21,10.242
2024-05-22,10.236
2024-05-23,10.224
2024-05-24,10.224
2024-05-27,10.238
2024-05-28,10.232
2024-05-29,10.226
2024-05-30,10.234
2024-05-31,10.234
2024-06-03,10.244
2024-06-04,10.25
2024-06-05,10.258
2024-06-06,10.25
2024-06-07,10.236
2024-06-10,10.23
2024-06-11,10.238
2024-06-12,10.254
2024-06-13,10.258
2024-06-14,10.274
2024-06-17,10.268
2024-06-18,10.27
2024-06-19,10.27
2024-06-20,10.27
2024-06-21,10.276
2024-06-24,10.276
2024-06-25,10.28
2024-06-26,10.278
2024-06-27,10.28
2024-06-28,10.284
2024-07-01,10.266
2024-07-02,10.272
2024-07-03,10.278
2024-07-04,10.276
2024-07-05,10.286
2024-07-08,10.29
2024-07-09,10.286
2024-07-10,10.294
2024-07-11,10.312
2024-07-12,10.308
2024-07-15,10.314
2024-07-16,10.322
2024-07-17,10.32
2024-07-18,10.33
2024-07-19,10.324
2024-07-22,10.318
2024-07-23,10.332
2024-07-24,10.334
2024-07-25,10.344
2024-07-26,10.346
2024-07-29,10.35
2024-07-30,10.358
2024-07-31,10.364
2024-08-01,10.376
2024-08-02,10.394
2024-08-05,10.4
2024-08-06,10.394
2024-08-07,10.388
2024-08-08,10.392
2024-08-09,10.398
2024-08-12,10.396
2024-08-13,10.378
2024-08-14,10.404
2024-08-15,10.392
2024-08-16,10.394
2024-08-19,10.394
2024-08-20,10.402
2024-08-21,10.416
2024-08-22,10.408
2024-08-23,10.414
2024-08-26,10.412
2024-08-27,10.42
2024-08-28,10.412
2024-08-29,10.418
2024-08-30,10.414
2024-09-02,10.41
2024-09-03,10.416
2024-09-04,10.432
2024-09-05,10.422
2024-09-06,10.448
2024-09-09,10.452
2024-09-10,10.456
2024-09-11,10.466
2024-09-12,10.468
2024-09-13,10.46
2024-09-16,10.466
2024-09-17,10.46
2024-09-18,10.454
2024-09-19,10.466
2024-09-20,10.46
2024-09-23,10.476
2024-09-24,10.488
2024-09-25,10.482
2024-09-26,10.49
2024-09-27,10.494
2024-09-30,10.494
2024-10-01,10.508
2024-10-02,10.502
2024-10-03,10.5
2024-10-04,10.48
2024-10-07,10.47
2024-10-08,10.474
2024-10-09,10.472
2024-10-10,10.476
2024-10-11,10.468
2024-10-14,10.472
2024-10-15,10.484
2024-10-16,10.494
2024-10-17,10.498
2024-10-18,10.508
2024-10-21,10.492
2024-10-22,10.49
2024-10-23,10.5
2024-10-24,10.51
2024-10-25,10.5
2024-10-28,10.504
2024-10-29,10.498
2024-10-30,10.48
2024-10-31,10.472
2024-11-01,10.478
2024-11-04,10.478
2024-11-05,10.476
2024-11-06,10.49
2024-11-07,10.49
2024-11-08,10.494
2024-11-11,10.504
2024-11-12,10.506
2024-11-13,10.504
2024-11-14,10.516
2024-11-15,10.512
2024-11-18,10.506
2024-11-19,10.512
2024-11-20,10.512
2024-11-21,10.526
2024-11-22,10.538
2024-11-25,10.54
2024-11-26,10.538
2024-11-27,10.538
2024-11-28,10.548
2024-11-29,10.56
2024-12-02,10.572
2024-12-03,10.564
2024-12-04,10.574
2024-12-05,10.562
2024-12-06,10.562
2024-12-09,10.566
2024-12-10,10.572
2024-12-11,10.576
2024-12-12,10.554
2024-12-13,10.558
2024-12-16,10.552
2024-12-17,10.556
2024-12-18,10.564
2024-12-19,10.556
2024-12-20,10.564
2024-12-23,10.558
2024-12-24,10.552
2024-12-27,10.554
2024-12-30,10.558
2024-12-31,10.56
2025-01-02,10.55
2025-01-03,10.522
2025-01-06,10.536
2025-01-07,10.54
2025-01-08,10.542
2025-01-09,10.536
2025-01-10,10.526
2025-01-13,10.518
2025-01-14,10.514
2025-01-15,10.536
2025-01-16,10.542
2025-01-17,10.546
2025-01-20,10.552
2025-01-21,10.546
2025-01-22,10.548
2025-01-23,10.54
2025-01-24,10.536
2025-01-27,10.544
2025-01-28,10.542
2025-01-29,10.54
2025-01-30,10.548
2025-01-31,10.572
2025-02-03,10.578
2025-02-04,10.588
2025-02-05,10.594
2025-02-06,10.584
2025-02-07,10.59
2025-02-10,10.596
2025-02-11,10.584
2025-02-12,10.574
2025-02-13,10.586
2025-02-14,10.582
2025-02-17,10.582
2025-02-18,10.584
2025-02-19,10.578
2025-02-20,10.578
2025-02-21,10.594
2025-02-24,10.592
2025-02-25,10.6
2025-02-26,10.6
2025-02-27,10.612
2025-02-28,10.612
2025-03-03,10.6
2025-03-04,10.62
2025-03-05,10.562
2025-03-06,10.56
2025-03-07,10.572
2025-03-10,10.578
2025-03-11,10.578
2025-03-12,10.578
2025-03-13,10.584
2025-03-14,10.542
2025-03-17,10.584
2025-03-18,10.588
2025-03-19,10.59
2025-03-20,10.586
2025-03-21,10.6
2025-03-24,10.594
2025-03-25,10.648
2025-03-26,10.604
2025-03-27,10.616
2025-03-28,10.632
2025-03-31,10.588
2025-04-01,10.632
2025-04-02,10.624
2025-04-03,10.648
2025-04-04,10.664
2025-04-07,10.668
2025-04-08,10.656
2025-04-09,10.676
2025-04-10,10.664
2025-04-11,10.676
2025-04-14,10.682
2025-04-15,10.672
2025-04-16,10.692
2025-04-17,10.698
2025-04-22,10.704
2025-04-23,10.698
2025-04-24,10.706
2025-04-25,10.698
2025-04-28,10.7
2025-04-29,10.694
2025-04-30,10.712
2025-05-02,10.702
2025-05-05,10.698
2025-05-06,10.694
2025-05-07,10.706
2025-05-08,10.706
2025-05-09,10.698
2025-05-12,10.676
2025-05-13,10.674
2025-05-14,10.674
2025-05-15,10.694
2025-05-16,10.692
2025-05-19,10.692
2025-05-20,10.692
2025-05-21,10.696
2025-05-22,10.692
2025-05-23,10.756
2025-05-26,10.71
2025-05-27,10.706
2025-05-28,10.714
2025-05-29,10.714
2025-05-30,10.714
2025-06-02,10.758
2025-06-03,10.72
2025-06-04,10.716
2025-06-05,10.7
2025-06-06,10.734
2025-06-09,10.702
2025-06-10,10.708
2025-06-11,10.714
2025-06-12,10.716
2025-06-13,10.706
2025-06-16,10.718
2025-06-17,10.712
2025-06-18,10.708
2025-06-19,10.72
2025-06-20,10.71
2025-06-23,10.72
2025-06-24,10.714
2025-06-25,10.718
2025-06-26,10.73
2025-06-27,10.708
2025-06-30,10.718
2025-07-01,10.722
2025-07-02,10.72
2025-07-03,10.722
2025-07-04,10.73
2025-07-07,10.724
2025-07-08,10.718
2025-07-09,10.722
2025-07-10,10.718
2025-07-11,10.712
2025-07-14,10.726
2025-07-15,10.72
2025-07-16,10.74
2025-07-17,10.734
2025-07-18,10.732
2025-07-21,10.738
2025-07-22,10.742
2025-07-23,10.75
2025-07-24,10.714
2025-07-25,10.72
2025-07-28,10.726
2025-07-29,10.724
2025-07-30,10.72
2025-07-31,10.716
2025-08-01,10.724
2025-08-04,10.742
2025-08-05,10.736
2025-08-06,10.732
2025-08-07,10.732
2025-08-08,10.718
2025-08-11,10.682
2025-08-12,10.722
2025-08-13,10.734
2025-08-14,10.686
2025-08-15,10.728
2025-08-18,10.728
2025-08-19,10.73
2025-08-20,10.732
2025-08-21,10.728
2025-08-22,10.736
2025-08-25,10.728
2025-08-26,10.734
2025-08-27,10.74
2025-08-28,10.74
2025-08-29,10.734
