,ETZ FP Equity_DX_SI_QTY,ETZ FP Equity_DX_SHORT_INTEREST_VALUE,ETZ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ETZ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ETZ FP Equity_DX_SI_MV,ETZ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ETZ FP Equity_DX_SUPPLY_SI_QTY,ETZ FP Equity_DX_BROKER_SI_QTY,ETZ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ETZ FP Equity_DX_SUPPLY_SI_QTY_INC_x,ETZ FP Equity_DX_BROKER_SI_MV_INC_x,ETZ FP Equity_DX_BROKER_SI_QTY_ADD,ETZ FP Equity_DX_SUPPLY_SI_MV_DEC,ETZ FP Equity_DX_BROKER_SI_QTY_INC,ETZ FP Equity_DX_SUPPLY_SI_QTY_DEC,ETZ FP Equity_DX_BROKER_SI_MV_INC_y,ETZ FP Equity_DX_SUPPLY_SI_QTY_INC_y,ETZ FP Equity_DX_BROKER_SI_MV_ADD,ETZ FP Equity_DX_SUPPLY_SI_QTY_ADD,ETZ FP Equity_DX_BROKER_SI_QTY_DEC,ETZ FP Equity_DX_SUPPLY_SI_MV,ETZ FP Equity_DX_BROKER_SI_MV_DEC,ETZ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ETZ FP Equity_DX_UTILIZATION_QUANTITY,ETZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ETZ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ETZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ETZ FP Equity_DX_ACTIVE_UTILIZATION_MV,ETZ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ETZ FP Equity_DX_BROKER_SI_CON_RATIO,ETZ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ETZ FP Equity_DX_DEMAND_SUPPLY_RATIO,ETZ FP Equity_PX_LAST
2013-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63784.0,0.0,0.0,,0.0,,0.0,37.52
2013-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63852.0,0.0,0.0,,0.0,,0.0,37.56
2013-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63767.0,0.0,0.0,,0.0,,0.0,37.51
2013-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63852.0,0.0,0.0,,0.0,,0.0,37.56
2013-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64124.0,0.0,0.0,,0.0,,0.0,37.72
2013-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63750.0,0.0,0.0,,0.0,,0.0,37.5
2013-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64090.0,0.0,0.0,,0.0,,0.0,37.7
2013-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64226.0,0.0,0.0,,0.0,,0.0,37.78
2013-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64311.0,0.0,0.0,,0.0,,0.0,37.83
2013-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64107.0,0.0,0.0,,0.0,,0.0,37.71
2013-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63002.0,0.0,0.0,,0.0,,0.0,37.06
2013-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62747.0,0.0,0.0,,0.0,,0.0,36.91
2013-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62203.0,0.0,0.0,,0.0,,0.0,36.59
2013-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62594.0,0.0,0.0,,0.0,,0.0,36.82
2013-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62713.0,0.0,0.0,,0.0,,0.0,36.89
2013-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62322.0,0.0,0.0,,0.0,,0.0,36.66
2013-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62016.0,0.0,0.0,,0.0,,0.0,36.48
2013-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,61387.0,0.0,0.0,,0.0,,0.0,36.11
2013-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,61302.0,0.0,0.0,,0.0,,0.0,36.06
2013-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62084.0,0.0,0.0,,0.0,,0.0,36.52
2013-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,61574.0,0.0,0.0,,0.0,,0.0,36.22
2013-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62118.0,0.0,0.0,,0.0,,0.0,36.54
2013-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63257.0,0.0,0.0,,0.0,,0.0,37.21
2013-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63512.0,0.0,0.0,,0.0,,0.0,37.36
2013-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64005.0,0.0,0.0,,0.0,,0.0,37.65
2013-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64005.0,0.0,0.0,,0.0,,0.0,
2013-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64005.0,0.0,0.0,,0.0,,0.0,
2013-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64005.0,0.0,0.0,,0.0,,0.0,
2013-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64804.0,0.0,0.0,,0.0,,0.0,38.12
2013-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64719.0,0.0,0.0,,0.0,,0.0,38.07
2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64719.0,0.0,0.0,,0.0,,0.0,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64719.0,0.0,0.0,,0.0,,0.0,
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64362.0,0.0,0.0,,0.0,,0.0,37.86
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64770.0,0.0,0.0,,0.0,,0.0,38.1
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64685.0,0.0,0.0,,0.0,,0.0,38.05
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,65076.0,0.0,0.0,,0.0,,0.0,38.28
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,65229.0,0.0,0.0,,0.0,,0.0,38.37
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64957.0,0.0,0.0,,0.0,,0.0,38.21
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,65246.0,0.0,0.0,,0.0,,0.0,38.38
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,65433.0,0.0,0.0,,0.0,,0.0,38.49
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,65518.0,0.0,0.0,,0.0,,0.0,38.54
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,66266.0,0.0,0.0,,0.0,,0.0,38.98
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,66113.0,0.0,0.0,,0.0,,0.0,38.89
2014-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,66453.0,0.0,0.0,,0.0,,0.0,39.09
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,66402.0,0.0,0.0,,0.0,,0.0,39.06
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,66436.0,0.0,0.0,,0.0,,0.0,39.08
2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,66572.0,0.0,0.0,,0.0,,0.0,39.16
2014-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,65841.0,0.0,0.0,,0.0,,0.0,38.73
2014-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64277.0,0.0,0.0,,0.0,,0.0,37.81
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63665.0,0.0,0.0,,0.0,,0.0,37.45
2014-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64175.0,0.0,0.0,,0.0,,0.0,37.75
2014-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63869.0,0.0,0.0,,0.0,,0.0,37.57
2014-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64056.0,0.0,0.0,,0.0,,0.0,37.68
2014-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63818.0,0.0,0.0,,0.0,,0.0,37.54
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63070.0,0.0,0.0,,0.0,,0.0,37.1
2014-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62900.0,0.0,0.0,,0.0,,0.0,37.0
2014-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,62968.0,0.0,0.0,,0.0,,0.0,37.04
2014-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.57
2014-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85
2014-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.89
2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.36
2014-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.67
2014-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6
2014-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.83
2014-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.97
2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.98
2014-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.03
2014-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.99
2014-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.16
2014-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.43
2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.42
2014-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.39
2014-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.31
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.41
2014-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.54
2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.31
2014-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.32
2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.39
2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89
2014-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.69
2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.69
2014-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.34
2014-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.92
2014-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.68
2014-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.07
2014-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.31
2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.26
2014-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.27
2014-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.38
2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.93
2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4
2014-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.69
2014-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.75
2014-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.02
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.07
2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.34
2014-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4
2014-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.44
2014-04-04,75000.0,2975250.0,24.53,1.29,2.96,2975250.0,0.0,75000.0,0.0,,,75000.0,,,,,,2.96,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.67
2014-04-07,75000.0,2940750.0,20.84,1.29,2.98,2940750.0,0.0,75000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.21
2014-04-08,75000.0,2931000.0,20.86,1.29,2.94,2931000.0,0.0,75000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.08
2014-04-09,75000.0,2943000.0,17.63,1.29,2.94,2943000.0,0.0,75000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.24
2014-04-10,75000.0,2930250.0,17.61,1.29,2.92,2930250.0,0.0,75000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.07
2014-04-11,75000.0,2889000.0,17.61,1.29,2.93,2889000.0,0.0,75000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.52
2014-04-14,75000.0,2900250.0,17.61,1.29,2.89,2900250.0,0.0,75000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.67
2014-04-15,75000.0,2873250.0,19.8,1.29,2.9,2873250.0,0.0,75000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.31
2014-04-16,75000.0,2908500.0,20.75,1.29,2.87,2908500.0,0.0,75000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.78
