,ANTIN FP Equity_DX_SI_QTY,ANTIN FP Equity_DX_SHORT_INTEREST_VALUE,ANTIN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ANTIN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ANTIN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ANTIN FP Equity_DX_SI_MV,ANTIN FP Equity_DX_DSS,ANTIN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ANTIN FP Equity_DX_SUPPLY_SI_QTY,ANTIN FP Equity_DX_BROKER_SI_QTY,ANTIN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ANTIN FP Equity_DX_BROKER_SI_MV_NEW_x,ANTIN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ANTIN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ANTIN FP Equity_DX_BROKER_SI_MV_INC_x,ANTIN FP Equity_DX_SUPPLY_SI_MV_NEW,ANTIN FP Equity_DX_BROKER_SI_QTY_ADD,ANTIN FP Equity_DX_BROKER_SI_QTY_NEW,ANTIN FP Equity_DX_SUPPLY_SI_MV_DEC,ANTIN FP Equity_DX_BROKER_SI_QTY_INC,ANTIN FP Equity_DX_SUPPLY_SI_QTY_DEC,ANTIN FP Equity_DX_BROKER_SI_MV_NEW_y,ANTIN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ANTIN FP Equity_DX_BROKER_SI_MV_INC_y,ANTIN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ANTIN FP Equity_DX_BROKER_SI_MV_ADD,ANTIN FP Equity_DX_SUPPLY_SI_QTY_ADD,ANTIN FP Equity_DX_BROKER_SI_QTY_DEC,ANTIN FP Equity_DX_SUPPLY_SI_MV,ANTIN FP Equity_DX_BROKER_SI_MV_DEC,ANTIN FP Equity_DX_SUPPLY_SI_MV_RMV,ANTIN FP Equity_DX_BROKER_SI_MV_RMV,ANTIN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ANTIN FP Equity_DX_UTILIZATION_QUANTITY,ANTIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ANTIN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ANTIN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ANTIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ANTIN FP Equity_DX_ACTIVE_UTILIZATION_MV,ANTIN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ANTIN FP Equity_DX_BROKER_SI_CON_RATIO,ANTIN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ANTIN FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-10-18,102400.0,3143680.0,0.3,0.39,0.06,3.14,0.0,0.0,102400.0,0.0,3143680.0,,,97000.0,,,,,,,,,,,97000.0,,,,3.14,,,,1.39,1.39,7265925.0,223063897.5,,217.37,1.42,,0.0,,0.0139
2021-10-19,198578.0,6259178.56,0.58,0.75,0.11,6.24,0.0,0.0,198578.0,0.0,6259178.56,,,,,,,,,,,,,,,,96178.0,,6.24,,,,2.31,2.31,8408885.0,265048055.2,,253.12,2.41,,0.0,,0.0231
2021-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,6.24,,198578.0,,,,,,,,0.0,,,,0.0,0.0,8330338.0,263905107.84,,256.7,0.0,,0.0,,0.0
2021-10-21,8071.0,261177.56,0.02,0.03,0.0,0.26,0.0,0.0,8071.0,0.0,261177.56,,,,,,,,,,,,,,,,8071.0,,0.26,,,,2.65,0.1,296244.0,9586455.84,,9.38,2.67,,0.0,,0.001
2021-10-22,8071.0,259079.1,0.02,0.03,0.0,0.26,0.0,0.0,8071.0,0.0,259079.1,,,,,,,,,,,,,,,,,,0.26,,,,2.65,0.1,296244.0,9509432.4,,9.59,2.64,,0.0,,0.001
2021-10-25,8071.0,262468.92,0.02,0.03,0.0,0.26,0.0,0.0,8071.0,0.0,262468.92,,,,,,,,,,,,,,,,,,0.26,,,,2.65,0.1,296244.0,9633854.88,,9.51,2.66,,0.0,,0.001
2021-10-26,8814.0,286455.0,0.03,0.03,0.01,0.29,0.0,91455.0,7814.0,2814.0,253955.0,,,1000.0,,,2814.0,,0.1,,3071.0,,,,1000.0,0.09,1814.0,,0.25,,,,0.1,0.1,8143221.0,264654682.5,,258.65,0.1,35.51,0.542,64.49,0.0011
2021-10-27,8814.0,290862.0,0.03,0.03,0.01,0.29,0.0,92862.0,7814.0,2814.0,257862.0,,,,,,,,,,,,,,,,,,0.25,,,,0.09,0.09,8405416.0,277378728.0,,267.67,0.09,35.19,0.5439,64.81,0.001
2021-10-28,8814.0,293858.76,0.03,0.03,0.01,0.29,0.0,93818.76,7814.0,2814.0,260518.76,,,,,,,,,,,,,,,,,,0.26,,,,0.09,0.09,8325786.0,277581705.24,,267.96,0.1,35.48,0.5422,64.52,0.0011
2021-10-29,8814.0,289980.6,0.03,0.03,0.01,0.29,0.0,92580.6,7814.0,2814.0,257080.6,,,,,,,,,,,,,,,,,,0.26,,,,0.09,0.09,8371232.0,275413532.8,,272.88,0.1,35.69,0.541,64.31,0.0011
2021-11-01,3814.0,122048.0,0.01,0.01,0.0,0.12,0.0,90048.0,2814.0,2814.0,90048.0,,,,,,,,0.17,,5000.0,,,,,,,,0.09,,,,0.03,0.03,8412462.0,269198784.0,,268.21,0.03,36.25,0.5378,63.75,0.0005
2021-11-02,3814.0,125328.04,0.01,0.01,0.0,0.12,0.0,92468.04,2814.0,2814.0,92468.04,,,,,,,,,,,,,,,,,,0.09,,,,0.03,0.03,8330186.0,273729911.96,,262.24,0.03,34.88,0.5457,65.12,0.0005
2021-11-03,3814.0,125862.0,0.01,0.01,0.0,0.13,0.0,92862.0,2814.0,2814.0,92862.0,,,,,,,,,,,,,,,,,,0.09,,,,0.03,0.03,8438560.0,278472480.0,,270.85,0.03,35.49,0.5421,64.51,0.0005
2021-11-04,3814.0,126777.36,0.01,0.01,0.0,0.13,0.0,93537.36,2814.0,2814.0,93537.36,,,,,,,,,,,,,,,,,,0.09,,,,0.03,0.03,8459422.0,281191187.28,,273.43,0.03,34.46,0.5483,65.54,0.0005
2021-11-05,3814.0,128074.12,0.01,0.01,0.0,0.13,0.0,94494.12,2814.0,2814.0,94494.12,,,,,,,,,,,,,,,,,,0.09,,,,0.03,0.03,8506029.0,285632453.82,,276.8,0.03,35.4,0.5426,64.6,0.0004
2021-11-08,3814.0,128608.08,0.01,0.04,0.0,0.13,0.0,94888.08,2814.0,2814.0,94888.08,,,,,,,,,,,,,,,,,,0.09,,,,0.03,0.03,8581471.0,289367202.12,,281.6,0.03,35.46,0.5423,64.54,0.0004
2021-11-09,3814.0,126243.4,0.01,0.06,0.0,0.13,0.0,93143.4,2814.0,2814.0,93143.4,,,,,,,,,,,,,,,,,,0.09,,,,0.03,0.03,8580054.0,283999787.4,,281.5,0.03,36.01,0.5392,63.99,0.0004
2021-11-10,3814.0,125862.0,0.01,0.07,0.0,0.13,0.0,92862.0,1000.0,2814.0,33000.0,,,,,,,,0.06,,1814.0,,,,,,,,0.03,,,,0.01,0.01,8591736.0,283527288.0,,279.04,0.01,35.61,0.5414,64.39,0.0004
2021-11-11,2000.0,65600.0,0.01,0.04,0.0,0.07,0.0,32800.0,1000.0,1000.0,32800.0,,,,,,,,,,,,,,,,,1814.0,0.03,0.06,,,0.33,0.01,304903.0,10000818.4,,10.06,0.33,35.54,1.0,100.0,0.0002
2021-11-12,2000.0,67000.0,0.01,0.05,0.0,0.07,0.0,33500.0,1000.0,1000.0,33500.0,,,,,,,,,,,,,,,,,,0.03,,,,0.33,0.01,304903.0,10214250.5,,10.01,0.33,,1.0,100.0,0.0002
2021-11-15,2000.0,68440.0,0.01,0.05,0.0,0.07,0.0,34220.0,1000.0,1000.0,34220.0,,,,,,,,,,,,,,,,,,0.03,,,,0.33,0.01,304956.0,10435594.32,,10.21,0.33,,1.0,100.0,0.0003
2021-11-16,2000.0,67080.0,0.01,0.06,0.0,0.07,0.0,33540.0,1000.0,1000.0,33540.0,,,,,,,,,,,,,,,,,,0.03,,,,0.33,0.01,304996.0,10229565.84,,10.43,0.33,,1.0,100.0,0.0002
2021-11-17,2000.0,67560.0,0.01,0.06,0.0,0.07,0.0,33780.0,1000.0,1000.0,33780.0,,,,,,,,,,,,,,,,,,0.03,,,,0.33,0.01,304996.0,10302764.88,,10.23,0.33,,1.0,100.0,0.0002
2021-11-18,2000.0,68000.0,0.01,0.06,0.0,0.07,0.0,34000.0,1000.0,1000.0,34000.0,,,,,,,,,,,,,,,,,,0.03,,,,0.33,0.01,304996.0,10369864.0,,10.3,0.33,,1.0,100.0,0.0002
2021-11-19,2000.0,70120.0,0.01,0.06,0.0,0.07,0.0,35060.0,1000.0,1000.0,35060.0,,,,,,,,,,,,,,,,,,0.03,,,,0.33,0.01,304996.0,10693159.76,,10.36,0.33,,1.0,100.0,0.0002
2021-11-22,2000.0,70120.0,0.01,0.06,0.0,0.07,0.0,35060.0,1000.0,1000.0,35060.0,,,,,,,,,,,,,,,,,,0.04,,,,0.33,0.01,304996.0,10693159.76,,10.69,0.33,,1.0,100.0,0.0002
2021-11-23,2000.0,67560.0,0.01,0.06,0.0,0.07,0.0,33780.0,1000.0,1000.0,33780.0,,,,,,,,,,,,,,,,,,0.04,,,,0.33,0.01,304996.0,10302764.88,,10.69,0.33,,1.0,100.0,0.0002
2021-11-24,2000.0,68520.0,0.01,0.06,0.0,0.07,0.0,34260.0,1000.0,1000.0,34260.0,,,,,,,,,,,,,,,,,,0.03,,,,0.31,0.01,325359.0,11146799.34,,10.98,0.31,,1.0,100.0,0.0002
2021-11-25,2000.0,70120.0,0.01,0.06,0.0,0.07,0.0,35060.0,1000.0,1000.0,35060.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-11-26,2000.0,69920.0,0.01,0.07,0.0,0.07,0.0,34960.0,1000.0,1000.0,34960.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-11-29,2000.0,68000.0,0.01,0.07,0.0,0.07,0.0,34000.0,1000.0,1000.0,34000.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-11-30,10000.0,330800.0,0.03,0.34,0.01,0.33,0.0,297720.0,1000.0,9000.0,33080.0,,,,,,8000.0,,,,,,,,,0.26,,,0.03,,,,0.01,0.01,9418686.0,311570132.88,,311.27,0.01,11.38,0.7982,88.62,0.0011
2021-12-01,26000.0,852280.0,0.08,0.9,0.01,0.86,0.0,557260.0,9000.0,17000.0,295020.0,,,,,,8000.0,,,,,,,,,0.27,8000.0,,0.3,,,,0.1,0.1,9412764.0,308550403.92,,304.38,0.1,31.68,0.3089,32.7,0.0028
2021-12-02,26000.0,839800.0,0.08,0.89,0.01,0.85,0.0,549100.0,9000.0,17000.0,290700.0,,,,,,,,,,,,,,,,,,0.29,,,,0.1,0.1,9360071.0,302330293.3,,300.19,0.1,31.5,0.309,33.04,0.0028
2021-12-03,26000.0,841360.0,0.08,0.89,0.01,0.84,0.0,550120.0,9000.0,17000.0,291240.0,,,,,,,,,,,,,,,,,,0.29,,,,0.1,0.1,9283148.0,300402669.28,,293.95,0.1,32.03,0.3088,32.04,0.0028
2021-12-06,26000.0,852800.0,0.08,0.93,0.01,0.85,0.0,557600.0,9000.0,17000.0,295200.0,,,,,,,,,,,,,,,,,,0.29,,,,0.1,0.1,9111249.0,298848967.2,,289.0,0.1,32.1,0.309,32.15,0.0029
2021-12-07,18000.0,601560.0,0.05,0.67,0.01,0.59,0.0,300780.0,9000.0,9000.0,300780.0,,,,,,,,,,,,,,,,,8000.0,0.3,0.26,,,0.1,0.1,9129743.0,305116011.06,,294.14,0.1,46.44,0.4466,47.7,0.002
2021-12-08,18000.0,608040.0,0.05,0.67,0.01,0.59,0.0,304020.0,9000.0,9000.0,304020.0,,,,,,,,,,,,,,,,,,0.3,,,,0.1,0.1,9140847.0,308777811.66,,298.06,0.1,45.97,0.446,48.08,0.002
2021-12-09,2000.0,67520.0,0.01,0.08,0.0,0.07,0.0,33760.0,1000.0,1000.0,33760.0,,,,,,,,0.27,,8000.0,,,,,,,8000.0,0.03,0.26,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-10,2000.0,69280.0,0.01,0.08,0.0,0.07,0.0,34640.0,1000.0,1000.0,34640.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-13,2000.0,67800.0,0.01,0.07,0.0,0.07,0.0,33900.0,1000.0,1000.0,33900.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-14,2000.0,67240.0,0.01,0.07,0.0,0.07,0.0,33620.0,1000.0,1000.0,33620.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-15,2000.0,68360.0,0.01,0.08,0.0,0.07,0.0,34180.0,1000.0,1000.0,34180.0,0.03,,,,,,1000.0,,,,0.03,,,,,,,0.03,,,0.03,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-16,2000.0,69160.0,0.01,0.08,0.0,0.07,0.0,34580.0,1000.0,1000.0,34580.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-17,2000.0,68000.0,0.01,0.08,0.0,0.07,0.0,34000.0,1000.0,1000.0,34000.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-20,26034.0,833088.0,0.08,0.99,0.01,0.86,0.0,416544.0,13017.0,13017.0,416544.0,,,,,,12017.0,,,,,,,,,0.41,12017.0,,0.42,,,,0.14,0.14,9042863.0,289371616.0,,296.82,0.14,4.11,0.9212,95.89,0.0029
2021-12-21,26034.0,850791.12,0.08,0.99,0.01,0.84,0.0,425395.56,13017.0,13017.0,425395.56,,,,,,,,,,,,,,,,,,0.42,,,,0.14,0.14,8985533.0,293647218.44,,282.42,0.15,3.96,0.924,96.04,0.0029
2021-12-22,26034.0,867452.88,0.08,1.0,0.01,0.86,0.0,433726.44,13017.0,13017.0,433726.44,,,,,,,,,,,,,,,,,,0.43,,,,0.14,0.14,8970540.0,298898392.8,,287.02,0.15,3.96,0.924,96.04,0.0029
2021-12-23,26034.0,883593.96,0.08,1.02,0.01,0.87,0.0,441796.98,13017.0,13017.0,441796.98,,,,,,,,,,,,,,,,,,0.44,,,,0.15,0.15,8946807.0,303654629.58,,292.04,0.15,3.96,0.9239,96.04,0.0029
2021-12-24,26034.0,878907.84,0.08,0.99,0.01,0.87,0.0,439453.92,13017.0,13017.0,439453.92,,,,,,,,,,,,,,,,,,0.44,,,,0.15,0.15,8920729.0,301163811.04,,294.55,0.15,4.04,0.9225,95.96,0.0029
2021-12-27,14017.0,479661.74,0.04,0.55,0.01,0.47,0.0,445441.74,1000.0,13017.0,34220.0,,,,,,,,0.41,,12017.0,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,7.68,0.8582,92.32,0.0016
2021-12-28,2000.0,67800.0,0.01,0.08,0.0,0.07,0.0,33900.0,1000.0,1000.0,33900.0,,,,,,,,,,,,,,,,,12017.0,0.03,0.41,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-29,2000.0,67640.0,0.01,0.08,0.0,0.07,0.0,33820.0,1000.0,1000.0,33820.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-30,2000.0,69120.0,0.01,0.09,0.0,0.07,0.0,34560.0,1000.0,1000.0,34560.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2021-12-31,2000.0,69000.0,0.0,0.09,0.0,0.07,0.0,34500.0,1000.0,1000.0,34500.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-03,2000.0,70080.0,0.0,0.1,0.0,0.07,0.0,35040.0,1000.0,1000.0,35040.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-04,2000.0,67520.0,0.0,0.1,0.0,0.07,0.0,33760.0,1000.0,1000.0,33760.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-05,2000.0,65640.0,0.0,0.1,0.0,0.07,0.0,32820.0,1000.0,1000.0,32820.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-06,2000.0,64200.0,0.0,0.1,0.0,0.07,0.0,32100.0,1000.0,1000.0,32100.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-07,2000.0,63800.0,0.0,0.09,0.0,0.06,0.0,31900.0,1000.0,1000.0,31900.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-10,2000.0,60200.0,0.0,0.09,0.0,0.06,0.0,30100.0,1000.0,1000.0,30100.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-11,2000.0,61760.0,0.0,0.09,0.0,0.06,0.0,30880.0,1000.0,1000.0,30880.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-12,2000.0,61680.0,0.0,0.09,0.0,0.06,0.0,30840.0,1000.0,1000.0,30840.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-13,18617.0,552552.56,0.03,0.87,0.01,0.56,0.0,484288.56,16317.0,16317.0,484288.56,,,,,,15317.0,,,,,,,,,0.46,15317.0,,0.49,,,,0.2,0.2,8270636.0,245472476.48,,243.19,0.2,5.86,0.8896,94.14,0.0022
2022-01-14,18617.0,549201.5,0.03,0.9,0.01,0.56,0.0,481351.5,16317.0,16317.0,481351.5,,,,,,,,,,,,,,,,,,0.48,,,,0.2,0.2,8267726.0,243897917.0,,236.09,0.2,5.64,0.8936,94.36,0.0022
2022-01-17,18617.0,553669.58,0.03,0.84,0.01,0.55,0.0,485267.58,16317.0,16317.0,485267.58,,,,,,,,,,,,,,,,,,0.48,,,,0.2,0.2,8263438.0,245754646.12,,234.21,0.21,5.62,0.8939,94.38,0.0022
2022-01-18,18617.0,554414.26,0.03,0.82,0.01,0.56,0.0,485920.26,16317.0,16317.0,485920.26,,,,,,,,,,,,,,,,,,0.49,,,,0.2,0.2,8250547.0,245701289.66,,235.49,0.21,5.63,0.8938,94.37,0.0023
2022-01-19,18617.0,565584.46,0.03,0.82,0.01,0.56,0.0,69874.0,16317.0,2300.0,495710.46,,,,,,,,,,,,,,,,,14017.0,0.49,0.42,,,0.2,0.2,8327259.0,252982128.42,,238.24,0.21,5.58,0.8947,94.42,0.0022
2022-01-20,2000.0,60320.0,0.0,0.09,0.0,0.06,0.0,30160.0,1000.0,1000.0,30160.0,,,,,,,,0.46,,15317.0,,,,,,,1300.0,0.03,0.04,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2022-01-21,11854.0,355857.08,0.02,0.5,0.01,0.36,0.0,313829.08,10454.0,10454.0,313829.08,,,,,,9454.0,,,,,,,,,0.28,9454.0,,0.31,,,,0.12,0.12,8417672.0,252698513.44,,242.94,0.13,9.25,0.832,90.75,0.0014
2022-01-24,16372.0,445645.84,0.03,0.77,0.01,0.48,0.0,284557.88,14972.0,10454.0,407537.84,,,4518.0,,,,,,,,,,,4518.0,,,,0.41,,,,0.18,0.18,8524590.0,232039339.8,,240.92,0.17,6.67,0.8755,93.33,0.0019
2022-01-25,23855.0,648856.0,0.04,1.05,0.01,0.65,0.0,578136.0,21255.0,21255.0,578136.0,,,6283.0,0.27,,,,,10801.0,,,,0.27,6283.0,,,,0.58,,,,0.25,0.25,8565447.0,232980158.4,,223.79,0.26,4.38,0.9162,95.62,0.0028
