,ALPAT FP Equity_DX_SI_QTY,ALPAT FP Equity_DX_SHORT_INTEREST_VALUE,ALPAT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPAT FP Equity_DX_SI_MV,ALPAT FP Equity_DX_DSS,ALPAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPAT FP Equity_DX_SUPPLY_SI_QTY,ALPAT FP Equity_DX_BROKER_SI_QTY,ALPAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALPAT FP Equity_DX_BROKER_SI_QTY_ADD,ALPAT FP Equity_DX_SUPPLY_SI_MV_DEC,ALPAT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALPAT FP Equity_DX_BROKER_SI_MV_ADD,ALPAT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPAT FP Equity_DX_BROKER_SI_QTY_DEC,ALPAT FP Equity_DX_SUPPLY_SI_MV,ALPAT FP Equity_DX_BROKER_SI_MV_DEC,ALPAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPAT FP Equity_DX_UTILIZATION_QUANTITY,ALPAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPAT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPAT FP Equity_DX_BROKER_SI_CON_RATIO,ALPAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPAT FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPAT FP Equity_PX_LAST
2009-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2010-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2010-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2010-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2010-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2010-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2010-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2010-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2010-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2010-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2010-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2010-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74
