,LWCE FP Equity_DX_SI_QTY,LWCE FP Equity_DX_SHORT_INTEREST_VALUE,LWCE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LWCE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LWCE FP Equity_DX_SI_MV,LWCE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LWCE FP Equity_DX_SUPPLY_SI_QTY,LWCE FP Equity_DX_BROKER_SI_QTY,LWCE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LWCE FP Equity_DX_SUPPLY_SI_QTY_INC_x,LWCE FP Equity_DX_BROKER_SI_QTY_ADD,LWCE FP Equity_DX_SUPPLY_SI_MV_DEC,LWCE FP Equity_DX_SUPPLY_SI_QTY_DEC,LWCE FP Equity_DX_SUPPLY_SI_QTY_INC_y,LWCE FP Equity_DX_BROKER_SI_MV_ADD,LWCE FP Equity_DX_SUPPLY_SI_QTY_ADD,LWCE FP Equity_DX_BROKER_SI_QTY_DEC,LWCE FP Equity_DX_SUPPLY_SI_MV,LWCE FP Equity_DX_BROKER_SI_MV_DEC,LWCE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LWCE FP Equity_DX_UTILIZATION_QUANTITY,LWCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LWCE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LWCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LWCE FP Equity_DX_ACTIVE_UTILIZATION_MV,LWCE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LWCE FP Equity_DX_BROKER_SI_CON_RATIO,LWCE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LWCE FP Equity_DX_DEMAND_SUPPLY_RATIO,LWCE FP Equity_PX_LAST
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.26
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.34
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.67
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.33
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.23
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.65
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.04
2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.16
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.07
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.49
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.54
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.22
2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.84
2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.12
2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.41
2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.46
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.29
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.09
2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.84
2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94
2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.35
2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.28
2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.37
2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.34
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1
2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.46
2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.84
2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.57
2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.56
2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.97
2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.54
2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.83
2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.48
2021-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.19
2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.45
2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.24
2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.42
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4
2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.53
2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.26
2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.09
2021-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.53
2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.76
2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.27
2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.55
2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.86
2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.67
2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.73
2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.34
2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.99
2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.21
2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.81
2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.02
2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.01
2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.96
2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.03
2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.51
2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.65
2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.05
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.95
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4
2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.64
2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.48
2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.08
2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.22
2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.92
2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.94
2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0
2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.36
