,INFU FP Equity_DX_SI_QTY,INFU FP Equity_DX_SHORT_INTEREST_VALUE,INFU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,INFU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,INFU FP Equity_DX_SI_MV,INFU FP Equity_DX_DSS,INFU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,INFU FP Equity_DX_SUPPLY_SI_QTY,INFU FP Equity_DX_BROKER_SI_QTY,INFU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,INFU FP Equity_DX_BROKER_SI_QTY_ADD,INFU FP Equity_DX_SUPPLY_SI_MV_DEC,INFU FP Equity_DX_SUPPLY_SI_QTY_DEC,INFU FP Equity_DX_BROKER_SI_MV_ADD,INFU FP Equity_DX_SUPPLY_SI_QTY_ADD,INFU FP Equity_DX_BROKER_SI_QTY_DEC,INFU FP Equity_DX_SUPPLY_SI_MV,INFU FP Equity_DX_BROKER_SI_MV_DEC,INFU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,INFU FP Equity_DX_UTILIZATION_QUANTITY,INFU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,INFU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,INFU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,INFU FP Equity_DX_ACTIVE_UTILIZATION_MV,INFU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,INFU FP Equity_DX_BROKER_SI_CON_RATIO,INFU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,INFU FP Equity_DX_DEMAND_SUPPLY_RATIO,INFU FP Equity_PX_LAST
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.61
2016-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.99
2016-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.55
2016-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2
2016-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.49
2016-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7
2016-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.59
2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4
2016-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.87
2016-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.37
2016-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.06
2016-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.27
2016-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.32
2016-10-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,5250.0,485625.0,0.2,0.0,0.0,0.0,0.0,0.0,92.5
2016-10-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,5250.0,486885.0,0.2,0.0,0.0,0.0,0.0,0.0,92.74
2016-10-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,5250.0,491505.0,0.19,0.0,,0.0,,0.0,93.62
2016-10-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,5250.0,489720.0,0.19,0.0,,0.0,,0.0,93.28
2016-10-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,5250.0,490402.5,0.19,0.0,,0.0,,0.0,93.41
2016-10-26,2000.0,186520.0,0.36,0.07,0.07,0.0,186520.0,0.0,2000.0,0.0,2000.0,,,0.07,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.002,93.26
2016-10-27,6000.0,560880.0,1.08,0.2,0.18,0.0,0.0,6000.0,0.0,560880.0,,,,,6000.0,2000.0,0.18,0.07,100.0,0.59,0.0,0.0,0.0,100.0,,1.0,100.0,0.0059,93.48
2016-10-28,6000.0,559920.0,1.08,0.19,0.19,0.0,0.0,6000.0,0.0,559920.0,,0.0,107.0,,107.0,,0.19,,100.0,0.6,0.0,0.0,0.0,100.0,,1.0,100.0,0.006,93.32
2016-10-31,6000.0,558780.0,1.04,0.17,0.19,0.0,0.0,6000.0,0.0,558780.0,,,,,,,0.19,,100.0,53.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.5333,93.13
2016-11-01,6000.0,553620.0,1.03,0.17,0.19,0.0,0.0,6000.0,0.0,553620.0,,,,,,,0.19,,100.0,0.6,0.0,0.0,0.0,100.0,,1.0,100.0,0.006,92.27
2016-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.36
2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.32
2016-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.07
2016-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02
2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.16
2016-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.91
2016-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.01
2016-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.31
2016-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.59
2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.07
2016-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.52
2016-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.21
2016-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.68
2016-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.54
2016-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.52
2016-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.02
2016-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.79
2016-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.41
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.76
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.24
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.03
2016-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.28
2016-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97
2016-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.72
2016-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.53
2016-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.97
2016-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.63
2016-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.41
2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.58
2016-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.52
2016-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.59
2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.85
2016-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.49
2016-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.61
2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43
2016-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.13
2016-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.58
2016-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.58
2016-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.17
2016-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.15
2016-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.39
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.98
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.02
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.38
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.02
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.39
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.01
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.19
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.17
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.52
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.02
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.12
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.53
2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.03
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.99
2017-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.16
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.53
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.37
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.14
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.86
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.56
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.79
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.07
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.17
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.16
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.93
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.52
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.87
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.14
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.27
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.37
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.03
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.98
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.78
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.46
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.18
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.97
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.11
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.61
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.57
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.84
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.37
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.75
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.78
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.12
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.89
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.72
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.22
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.02
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.31
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.45
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.68
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.59
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.99
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.23
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.51
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.62
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.55
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.47
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.71
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.91
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.35
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.47
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.46
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.22
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.77
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.13
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.21
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.65
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.31
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.23
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.12
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.88
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.57
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.25
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.85
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.37
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.81
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.16
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.27
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.91
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.73
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.08
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.05
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.96
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.58
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.55
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.01
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.87
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.87
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.82
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.35
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.54
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.95
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.11
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.82
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.08
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.35
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.75
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.39
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.24
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.27
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.99
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.61
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.93
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.95
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.98
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.91
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.87
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.85
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.36
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.43
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.49
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.11
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.17
