,ALATI FP Equity_DX_SI_QTY,ALATI FP Equity_DX_SHORT_INTEREST_VALUE,ALATI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALATI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALATI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALATI FP Equity_DX_SI_MV,ALATI FP Equity_DX_DSS,ALATI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALATI FP Equity_DX_SUPPLY_SI_QTY,ALATI FP Equity_DX_BROKER_SI_QTY,ALATI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALATI FP Equity_DX_BROKER_SI_MV_NEW_x,ALATI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALATI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALATI FP Equity_DX_BROKER_SI_MV_INC_x,ALATI FP Equity_DX_SUPPLY_SI_MV_NEW,ALATI FP Equity_DX_BROKER_SI_QTY_ADD,ALATI FP Equity_DX_BROKER_SI_QTY_NEW,ALATI FP Equity_DX_SUPPLY_SI_MV_DEC,ALATI FP Equity_DX_BROKER_SI_QTY_INC,ALATI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALATI FP Equity_DX_BROKER_SI_MV_NEW_y,ALATI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALATI FP Equity_DX_BROKER_SI_MV_INC_y,ALATI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALATI FP Equity_DX_BROKER_SI_MV_ADD,ALATI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALATI FP Equity_DX_BROKER_SI_QTY_DEC,ALATI FP Equity_DX_SUPPLY_SI_MV,ALATI FP Equity_DX_BROKER_SI_MV_DEC,ALATI FP Equity_DX_SUPPLY_SI_MV_RMV,ALATI FP Equity_DX_BROKER_SI_MV_RMV,ALATI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALATI FP Equity_DX_UTILIZATION_QUANTITY,ALATI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALATI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALATI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALATI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALATI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALATI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALATI FP Equity_DX_BROKER_SI_CON_RATIO,ALATI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALATI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,1082.0,3676.75,0.02,0.05,0.01,0.0,0.0,3676.75,1077.0,1082.0,3659.76,,,13.0,,,,,,,,,,,13.0,,,,0.0,,,,0.38,0.38,281238.0,955676.7,,1.14,0.38,,1.0,100.0,0.0038
2006-03-22,1082.0,3704.54,0.02,0.06,0.01,0.0,0.0,3704.54,1037.0,1082.0,3550.47,,,,,,,,0.0,,40.0,,,,,,,,0.0,,,,0.37,0.37,278774.0,954462.23,,1.13,0.37,,1.0,100.0,0.0039
2006-03-29,1082.0,3778.63,0.02,0.05,0.01,0.0,0.0,3778.63,1156.0,1082.0,4037.05,,,120.0,,,,,,,,,,,120.0,,,,0.0,,,,0.38,0.38,304967.0,1065024.26,,1.24,0.38,,1.0,100.0,0.0035
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,1156.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.1,0.37,,1.0,100.0,0.0
2006-04-12,1082.0,3343.34,0.02,0.04,0.01,0.0,0.0,3343.34,1082.0,1082.0,3343.34,0.0,,1082.0,,,,1082.0,,,,0.0,,,1082.0,,,,0.0,,,,1.73,1.73,61599.0,190338.81,,0.23,1.73,,1.0,100.0,0.0173
2006-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,1082.0,,,,,,,1082.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.21,0.0,,0.0,,0.0
2006-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.21,0.0,,0.0,,0.0
2006-05-03,448.0,1418.82,0.01,0.01,0.0,0.0,0.0,1418.82,443.0,448.0,1402.98,,,,,,448.0,,,,,,,,,0.0,443.0,,0.0,,,,0.76,0.76,57657.0,182599.78,,0.21,0.76,,1.0,100.0,0.0077
2006-05-10,448.0,1368.97,0.01,0.01,0.0,0.0,0.0,1368.97,458.0,448.0,1399.52,,,15.0,,,,,,,,,,,15.0,,,,0.0,,,,0.79,0.79,57891.0,176899.15,,0.21,0.79,,1.0,100.0,0.0077
2006-05-17,448.0,1269.27,0.01,0.02,0.0,0.0,0.0,1269.27,452.0,448.0,1280.6,,,,,,,,0.0,,6.0,,,,,,,,0.0,,,,0.78,0.78,57796.0,163746.59,,0.2,0.78,,1.0,100.0,0.0077
2006-05-24,448.0,1253.93,0.01,0.03,0.0,0.0,0.0,1253.93,433.0,448.0,1211.94,,,,,,,,0.0,,19.0,,,,,,,,0.0,,,,0.75,0.75,57501.0,160942.09,,0.19,0.75,,1.0,100.0,0.0077
2006-05-31,448.0,1219.42,0.01,0.04,0.0,0.0,0.0,1219.42,454.0,448.0,1235.75,,,20.0,,,,,,,,,,,20.0,,,,0.0,,,,0.18,0.18,250978.0,683139.29,,0.82,0.18,,1.0,100.0,0.0018
2006-06-07,448.0,1169.56,0.01,0.04,0.0,0.0,0.0,1169.56,460.0,448.0,1200.89,,,6.0,,,,,,,,,,,6.0,,,,0.0,,,,0.18,0.18,252560.0,659342.24,,0.77,0.18,,1.0,100.0,0.0018
2006-06-14,448.0,1050.69,0.01,0.04,0.0,0.0,0.0,1050.69,469.0,448.0,1099.94,,,9.0,,,,,,,,,,,9.0,,,,0.0,,,,0.19,0.19,242413.0,568529.44,,0.68,0.19,,1.0,100.0,0.0018
2006-06-21,448.0,1092.87,0.01,0.03,0.0,0.0,0.0,1092.87,443.0,448.0,1080.67,,,,,,,,0.0,,26.0,,,,,,,,0.0,,,,0.26,0.26,169297.0,412991.02,,0.48,0.26,,1.0,100.0,0.0026
2006-06-28,448.0,1188.74,0.01,0.03,0.0,0.0,0.0,1188.74,445.0,448.0,1180.78,,,2.0,,,,,,,,,,,2.0,,,,0.0,,,,0.18,0.18,242964.0,644688.78,,0.75,0.18,,1.0,100.0,0.0018
2006-07-03,448.0,1150.39,0.01,0.04,0.0,0.0,0.0,1150.39,439.0,448.0,1127.28,,,,,,,,0.0,,6.0,,,,,,,,0.0,,,,0.18,0.18,245246.0,629752.18,,0.74,0.18,,1.0,100.0,0.0018
2006-07-04,448.0,1131.22,0.01,0.04,0.0,0.0,0.0,1131.22,444.0,448.0,1121.12,,,5.0,,,,,,,,,,,5.0,,,,0.0,,,,0.18,0.18,245324.0,619453.26,,0.74,0.18,,1.0,100.0,0.0018
2006-07-05,448.0,1131.22,0.01,0.04,0.0,0.0,0.0,1131.22,448.0,448.0,1131.22,,,4.0,,,,,,,,,,,4.0,,,,0.0,,,,0.18,0.18,245580.0,620099.67,,0.72,0.18,,1.0,100.0,0.0018
2006-07-06,448.0,1115.88,0.01,0.04,0.0,0.0,0.0,1115.88,448.0,448.0,1115.88,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.18,0.18,244866.0,609913.1,,0.72,0.18,,1.0,100.0,0.0018
2006-07-07,448.0,1100.54,0.01,0.04,0.0,0.0,0.0,1100.54,448.0,448.0,1100.54,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.18,0.18,249375.0,612606.07,,0.73,0.18,,1.0,100.0,0.0018
2006-07-10,448.0,1104.38,0.01,0.04,0.0,0.0,0.0,1104.38,448.0,448.0,1104.38,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.18,0.18,252961.0,623580.53,,0.73,0.18,,1.0,100.0,0.0018
2006-07-11,448.0,1112.05,0.01,0.04,0.0,0.0,0.0,1112.05,448.0,448.0,1112.05,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,252019.0,625572.68,,0.73,0.18,,1.0,100.0,0.0018
2006-07-12,448.0,1069.86,0.01,0.04,0.0,0.0,0.0,1069.86,448.0,448.0,1069.86,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,234922.0,561014.88,,0.68,0.19,,1.0,100.0,0.0019
2006-07-13,448.0,1062.2,0.01,0.04,0.0,0.0,0.0,1062.2,448.0,448.0,1062.2,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,245325.0,581658.48,,0.68,0.18,,1.0,100.0,0.0018
2006-07-14,448.0,1043.02,0.01,0.04,0.0,0.0,0.0,1043.02,448.0,448.0,1043.02,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,247061.0,575200.94,,0.68,0.18,,1.0,100.0,0.0018
2006-07-17,448.0,1043.02,0.01,0.05,0.0,0.0,0.0,1043.02,448.0,448.0,1043.02,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,251383.0,585263.31,,0.68,0.18,,1.0,100.0,0.0018
2006-07-18,448.0,997.01,0.01,0.05,0.0,0.0,0.0,997.01,448.0,448.0,997.01,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,252692.0,562356.0,,0.69,0.18,,1.0,100.0,0.0018
2006-07-19,448.0,1008.51,0.01,0.05,0.0,0.0,0.0,1008.51,448.0,448.0,1008.51,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,244388.0,550151.26,,0.64,0.18,,1.0,100.0,0.0018
2006-07-20,448.0,1008.51,0.01,0.05,0.0,0.0,0.0,1008.51,448.0,448.0,1008.51,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,241801.0,544327.57,,0.64,0.18,,1.0,100.0,0.0018
2006-07-21,448.0,1012.34,0.01,0.05,0.0,0.0,0.0,1012.34,448.0,448.0,1012.34,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,241800.0,546394.99,,0.64,0.18,,1.0,100.0,0.0018
2006-07-24,448.0,1031.52,0.01,0.05,0.0,0.0,0.0,1031.52,448.0,448.0,1031.52,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,241080.0,555085.59,,0.64,0.19,,1.0,100.0,0.0019
2006-07-25,448.0,1020.01,0.01,0.05,0.0,0.0,0.0,1020.01,448.0,448.0,1020.01,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,236287.0,537982.26,,0.64,0.19,,1.0,100.0,0.0019
2006-07-26,448.0,1023.85,0.01,0.05,0.0,0.0,0.0,1023.85,448.0,448.0,1023.85,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,241453.0,551811.0,,0.64,0.19,,1.0,100.0,0.0019
2006-07-27,448.0,1039.19,0.01,0.06,0.0,0.0,0.0,1039.19,448.0,448.0,1039.19,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,241234.0,559569.84,,0.64,0.19,,1.0,100.0,0.0019
2006-07-28,448.0,1039.19,0.01,0.06,0.0,0.0,0.0,1039.19,448.0,448.0,1039.19,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,237447.0,550785.46,,0.64,0.19,,1.0,100.0,0.0019
2006-07-31,448.0,1085.2,0.01,0.05,0.0,0.0,0.0,1085.2,448.0,448.0,1085.2,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,237834.0,576111.92,,0.64,0.19,,1.0,100.0,0.0019
2006-08-01,448.0,1000.84,0.01,0.07,0.0,0.0,0.0,1000.84,448.0,448.0,1000.84,,,,,,,,,,,,,,,,,,0.0,,,,0.2,0.2,228045.0,509457.02,,0.65,0.2,,1.0,100.0,0.002
2006-08-02,448.0,1077.53,0.01,0.07,0.0,0.0,0.0,1077.53,448.0,448.0,1077.53,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,254941.0,613186.37,,0.67,0.18,,1.0,100.0,0.0018
2006-08-03,448.0,1054.53,0.01,0.06,0.0,0.0,0.0,1054.53,448.0,448.0,1054.53,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,238321.0,560972.4,,0.67,0.19,,1.0,100.0,0.0019
2006-08-04,448.0,1062.2,0.01,0.06,0.0,0.0,0.0,1062.2,448.0,448.0,1062.2,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,244591.0,579918.19,,0.67,0.18,,1.0,100.0,0.0018
2006-08-07,448.0,1046.86,0.01,0.06,0.0,0.0,0.0,1046.86,448.0,448.0,1046.86,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,243364.0,568676.75,,0.67,0.18,,1.0,100.0,0.0018
2006-08-08,448.0,1058.36,0.01,0.07,0.0,0.0,0.0,1058.36,448.0,448.0,1058.36,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,247045.0,583621.98,,0.67,0.18,,1.0,100.0,0.0018
2006-08-09,448.0,1054.53,0.01,0.07,0.0,0.0,0.0,1054.53,448.0,448.0,1054.53,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,240344.0,565734.24,,0.66,0.19,,1.0,100.0,0.0019
2006-08-10,448.0,1035.35,0.01,0.07,0.0,0.0,0.0,1035.35,448.0,448.0,1035.35,,,,,,,,,,,,,,,,,,0.0,,,,0.23,0.23,191309.0,442125.59,,0.53,0.23,,1.0,100.0,0.0023
2006-08-11,448.0,1004.68,0.01,0.07,0.0,0.0,0.0,1004.68,448.0,448.0,1004.68,,,,,,,,,,,,,,,,,,0.0,,,,0.23,0.23,195449.0,438309.85,,0.53,0.23,,1.0,100.0,0.0023
2006-08-14,448.0,1016.18,0.01,0.07,0.0,0.0,0.0,1016.18,448.0,448.0,1016.18,,,,,,,,,,,,,,,,,,0.0,,,,0.22,0.22,201057.0,456049.06,,0.53,0.22,,1.0,100.0,0.0022
2006-08-15,448.0,1054.53,0.01,0.07,0.0,0.0,0.0,1054.53,448.0,448.0,1054.53,,,,,,,,,,,,,,,,,,0.0,,,,0.23,0.23,198437.0,467091.36,,0.53,0.23,,1.0,100.0,0.0023
2006-08-16,448.0,1062.2,0.01,0.07,0.0,0.0,0.0,1062.2,448.0,448.0,1062.2,,,,,,,,,,,,,,,,,,0.0,,,,0.23,0.23,190572.0,451840.7,,0.52,0.23,,1.0,100.0,0.0023
2006-08-17,448.0,1035.35,0.01,0.07,0.0,0.0,0.0,1035.35,448.0,448.0,1035.35,,,,,,,,,,,,,,,,,,0.0,,,,0.24,0.24,188440.0,435495.18,,0.52,0.24,,1.0,100.0,0.0024
2006-08-18,448.0,1050.69,0.01,0.07,0.0,0.0,0.0,1050.69,448.0,448.0,1050.69,,,,,,,,,,,,,,,,,,0.0,,,,0.23,0.23,192792.0,452153.67,,0.52,0.23,,1.0,100.0,0.0023
2006-08-21,448.0,1054.53,0.01,0.07,0.0,0.0,0.0,1054.53,448.0,448.0,1054.53,,,,,,,,,,,,,,,,,,0.0,,,,0.23,0.23,190382.0,448131.08,,0.52,0.23,,1.0,100.0,0.0023
2006-08-22,448.0,1073.7,0.01,0.07,0.0,0.0,0.0,1073.7,448.0,448.0,1073.7,,,,,,,,,,,,,,,,,,0.0,,,,0.23,0.23,190369.0,456247.76,,0.52,0.23,,1.0,100.0,0.0023
2006-08-23,448.0,1077.53,0.01,0.07,0.0,0.0,0.0,1077.53,448.0,448.0,1077.53,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,242008.0,582079.8,,0.52,0.24,,1.0,100.0,0.0018
2006-08-24,448.0,1100.54,0.01,0.07,0.0,0.0,0.0,1100.54,448.0,448.0,1100.54,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,241740.0,593850.19,,0.52,0.24,,1.0,100.0,0.0019
2006-08-25,448.0,1169.56,0.01,0.07,0.0,0.0,0.0,1169.56,448.0,448.0,1169.56,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,240739.0,628481.91,,0.52,0.25,,1.0,100.0,0.0019
2006-08-28,448.0,1150.39,0.01,0.06,0.0,0.0,0.0,1150.39,448.0,448.0,1150.39,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.19,0.19,237866.0,610801.53,,0.52,0.26,,1.0,100.0,0.0019
2006-08-29,448.0,1123.55,0.01,0.06,0.0,0.0,0.0,1123.55,448.0,448.0,1123.55,,,,,,,,,,,,,,,,,,0.0,,,,0.19,0.19,238610.0,598415.38,,0.52,0.26,,1.0,100.0,0.0019
2006-08-30,448.0,1119.71,0.01,0.05,0.0,0.0,0.0,1119.71,448.0,448.0,1119.71,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.18,0.18,242008.0,604865.85,,0.71,0.18,,1.0,100.0,0.0018
2006-08-31,448.0,1096.71,0.01,0.05,0.0,0.0,0.0,1096.71,448.0,448.0,1096.71,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,242266.0,593068.68,,0.71,0.18,,1.0,100.0,0.0018
2006-09-01,448.0,1112.05,0.01,0.05,0.0,0.0,0.0,1112.05,448.0,448.0,1112.05,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,243264.0,603840.63,,0.71,0.18,,1.0,100.0,0.0018
2006-09-04,448.0,1119.71,0.01,0.05,0.0,0.0,0.0,1119.71,454.0,448.0,1134.71,,,6.0,,,,,,,,,,,6.0,,,,0.0,,,,0.19,0.19,243256.0,607985.05,,0.71,0.18,,1.0,100.0,0.0018
2006-09-05,448.0,1092.87,0.01,0.05,0.0,0.0,0.0,1092.87,448.0,448.0,1092.87,,,,,,,,0.0,,6.0,,,,,,,,0.0,,,,0.18,0.18,241983.0,590304.65,,0.71,0.18,,1.0,100.0,0.0018
2006-09-06,448.0,1096.71,0.01,0.05,0.0,0.0,0.0,1096.71,448.0,448.0,1096.71,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,242008.0,592437.1,,0.7,0.18,,1.0,100.0,0.0018
2006-09-07,448.0,1062.2,0.01,0.05,0.0,0.0,0.0,1062.2,448.0,448.0,1062.2,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,241904.0,573547.39,,0.7,0.18,,1.0,100.0,0.0018
2006-09-08,448.0,1058.36,0.01,0.05,0.0,0.0,0.0,1058.36,448.0,448.0,1058.36,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,243485.0,575211.79,,0.7,0.18,,1.0,100.0,0.0018
2006-09-11,448.0,1035.35,0.01,0.06,0.0,0.0,0.0,1035.35,448.0,448.0,1035.35,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,243564.0,562889.76,,0.7,0.18,,1.0,100.0,0.0018
2006-09-12,448.0,1016.18,0.01,0.06,0.0,0.0,0.0,1016.18,448.0,448.0,1016.18,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,245045.0,555825.17,,0.7,0.17,,1.0,100.0,0.0018
2006-09-13,448.0,1008.51,0.01,0.06,0.0,0.0,0.0,1008.51,448.0,448.0,1008.51,,,,,,,,,,,,,,,,,,0.0,,,,0.18,0.18,242008.0,544793.55,,0.65,0.18,,1.0,100.0,0.0018
2006-09-14,448.0,1012.34,0.01,0.06,0.0,0.0,0.0,1012.34,0.0,448.0,0.0,,,,,,,,0.0,,448.0,,,,,,,,0.0,,,,0.0,0.0,242550.0,548089.77,,0.65,0.0,,1.0,100.0,0.0018
2006-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,448.0,0.0,0.0,,,0.0,0.0,241512.0,558147.48,,0.65,0.0,,0.0,,0.0
2006-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,241705.0,571006.7,,0.65,0.0,,0.0,,0.0
2006-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,241848.0,558923.99,,0.65,0.0,,0.0,,0.0
2006-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,240246.0,616912.98,,0.67,0.0,,0.0,,0.0
2006-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,241065.0,612825.88,,0.68,0.0,,0.0,,0.0
2006-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,240980.0,591983.2,,0.68,0.0,,0.0,,0.0
2006-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,243754.0,577933.69,,0.69,0.0,,0.0,,0.0
2006-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,243366.0,602010.73,,0.68,0.0,,0.0,,0.0
2006-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,248209.0,573624.61,,0.69,0.0,,0.0,,0.0
2006-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,247556.0,614494.42,,0.68,0.0,,0.0,,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,248323.0,673787.11,,0.68,0.0,,0.0,,0.0
2006-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,249321.0,670092.87,,0.69,0.0,,0.0,,0.0
2006-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,249198.0,671895.29,,0.69,0.0,,0.0,,0.0
2006-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,245635.0,653878.6,,0.77,0.0,,0.0,,0.0
