,ALGEN FP Equity_DX_SI_QTY,ALGEN FP Equity_DX_SHORT_INTEREST_VALUE,ALGEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALGEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALGEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALGEN FP Equity_DX_SI_MV,ALGEN FP Equity_DX_DSS,ALGEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALGEN FP Equity_DX_SUPPLY_SI_QTY,ALGEN FP Equity_DX_BROKER_SI_QTY,ALGEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALGEN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALGEN FP Equity_DX_BROKER_SI_MV_INC_x,ALGEN FP Equity_DX_BROKER_SI_QTY_ADD,ALGEN FP Equity_DX_SUPPLY_SI_MV_DEC,ALGEN FP Equity_DX_BROKER_SI_QTY_INC,ALGEN FP Equity_DX_SUPPLY_SI_QTY_DEC,ALGEN FP Equity_DX_BROKER_SI_MV_INC_y,ALGEN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALGEN FP Equity_DX_BROKER_SI_MV_ADD,ALGEN FP Equity_DX_SUPPLY_SI_QTY_ADD,ALGEN FP Equity_DX_BROKER_SI_QTY_DEC,ALGEN FP Equity_DX_SUPPLY_SI_MV,ALGEN FP Equity_DX_BROKER_SI_MV_DEC,ALGEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALGEN FP Equity_DX_UTILIZATION_QUANTITY,ALGEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALGEN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALGEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALGEN FP Equity_DX_ACTIVE_UTILIZATION_MV,ALGEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALGEN FP Equity_DX_BROKER_SI_CON_RATIO,ALGEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALGEN FP Equity_DX_DEMAND_SUPPLY_RATIO,ALGEN FP Equity_PX_LAST
2007-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2007-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2007-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2007-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2007-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58
2007-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61
2007-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2007-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2007-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2007-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2007-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31
2007-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2007-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2007-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2007-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2007-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93
2007-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2007-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.69
2007-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2007-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53
2007-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59
2007-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2007-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2007-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62
2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
2007-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39
2007-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39
2007-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43
2007-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67
2007-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2007-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2007-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27
2007-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2007-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2007-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2007-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2007-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2007-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01
2007-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2007-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2007-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2007-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2007-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
2007-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07
2007-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2007-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03
2007-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2007-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2007-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2007-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2007-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2007-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
2007-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
2007-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2007-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2007-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21
2007-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2007-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2007-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2007-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2007-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2007-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
2007-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17
2007-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2007-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03
2007-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2007-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94
2007-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
2007-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2007-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
2007-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2007-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97
2007-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2007-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2007-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2007-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2007-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83
2007-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77
2007-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2007-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2007-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83
2007-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85
2007-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85
2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2007-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92
2007-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74
2007-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2007-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2007-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
2007-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2007-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2007-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2007-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2007-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2007-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
2007-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2007-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2007-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2007-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2007-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67
2007-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07
2007-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2007-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2007-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2007-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2007-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2007-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2007-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2007-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91
2007-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91
2007-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
2007-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
2007-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78
2007-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51
2007-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2007-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21
2007-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2007-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2007-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2007-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2007-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2008-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2008-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
2008-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73
2008-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2008-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44
2008-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2008-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2008-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2008-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2008-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2008-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2008-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2008-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2008-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2008-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28
2008-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2008-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47
2008-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2008-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47
2008-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47
2008-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2008-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35
2008-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18
2008-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2008-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2008-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2008-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87
2008-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2008-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2008-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83
2008-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2008-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88
2008-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2008-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2008-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2008-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2008-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2008-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2008-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13
2008-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2008-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65
2008-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63
2008-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2008-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52
2008-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2008-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2008-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2008-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2008-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2008-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2008-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2008-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2008-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46
2008-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2008-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2008-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2008-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2008-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2008-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42
2008-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2008-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48
2008-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
2008-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2008-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2008-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68
2008-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2008-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06
2008-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2008-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2008-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97
2008-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2008-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2008-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2008-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2008-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82
2008-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2008-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2008-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2008-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2008-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2008-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2008-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2008-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2008-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2008-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2008-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
2008-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07
2008-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07
2008-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
