,GOLD FP Equity_PX_LAST
2020-07-15,63.247
2020-07-16,63.053
2020-07-17,63.235
2020-07-20,63.32
2020-07-21,63.935
2020-07-22,64.192
2020-07-23,65.198
2020-07-24,65.187
2020-07-27,65.747
2020-07-28,66.533
2020-07-29,66.395
2020-07-30,65.959
2020-07-31,66.703
2020-08-03,67.019
2020-08-04,67.677
2020-08-05,68.712
2020-08-06,69.212
2020-08-07,68.835
2020-08-10,69.034
2020-08-11,65.894
2020-08-12,65.691
2020-08-13,65.694
2020-08-14,65.61
2020-08-17,66.741
2020-08-18,66.891
2020-08-19,65.808
2020-08-20,65.617
2020-08-21,65.663
2020-08-24,65.37
2020-08-25,64.782
2020-08-26,65.657
2020-08-27,64.97
2020-08-28,66.075
2020-08-31,65.722
2020-09-01,65.955
2020-09-02,65.542
2020-09-03,64.977
2020-09-04,65.068
2020-09-07,65.165
2020-09-08,65.221
2020-09-09,65.703
2020-09-10,65.813
2020-09-11,65.769
2020-09-14,65.86
2020-09-15,65.762
2020-09-16,66.379
2020-09-17,65.71
2020-09-18,65.696
2020-09-21,64.288
2020-09-22,64.789
2020-09-23,63.803
2020-09-24,63.891
2020-09-25,64.072
2020-09-28,64.11
2020-09-29,64.324
2020-09-30,64.542
2020-10-01,64.886
2020-10-02,64.933
2020-10-05,64.837
2020-10-06,64.711
2020-10-07,64.049
2020-10-08,64.111
2020-10-09,65.01
2020-10-12,64.948
2020-10-13,64.344
2020-10-14,64.814
2020-10-15,64.913
2020-10-16,64.69
2020-10-19,64.561
2020-10-20,64.458
2020-10-21,64.708
2020-10-22,64.136
2020-10-23,63.985
2020-10-26,64.342
2020-10-27,64.363
2020-10-28,63.938
2020-10-29,63.937
2020-10-30,64.398
2020-11-02,64.895
2020-11-03,64.848
2020-11-04,64.735
2020-11-05,65.637
2020-11-06,65.525
2020-11-09,62.633
2020-11-10,63.571
2020-11-11,63.222
2020-11-12,63.425
2020-11-13,63.817
2020-11-16,63.823
2020-11-17,63.454
2020-11-18,63.23
2020-11-19,62.666
2020-11-20,63.017
2020-11-23,61.882
2020-11-24,60.614
2020-11-25,60.691
2020-11-26,60.672
2020-11-27,59.649
2020-11-30,59.449
2020-12-01,59.99
2020-12-02,60.315
2020-12-03,60.105
2020-12-04,60.276
2020-12-07,61.294
2020-12-08,61.572
2020-12-09,61.035
2020-12-10,60.462
2020-12-11,60.74
2020-12-14,60.007
2020-12-15,60.655
2020-12-16,60.811
2020-12-17,61.476
2020-12-18,61.44
2020-12-21,61.419
2020-12-22,61.149
2020-12-23,61.247
2020-12-24,61.356
2020-12-28,61.39
2020-12-29,61.356
2020-12-30,61.264
2020-12-31,61.578
2021-01-04,63.089
2021-01-05,63.26
2021-01-06,61.945
2021-01-07,62.19
2021-01-08,60.581
2021-01-11,60.61
2021-01-12,60.518
2021-01-13,60.944
2021-01-14,60.646
2021-01-15,60.329
2021-01-18,60.73
2021-01-19,60.65
2021-01-20,61.469
2021-01-21,61.25
2021-01-22,60.748
2021-01-25,60.915
2021-01-26,60.82
2021-01-27,60.927
2021-01-28,61.05
2021-01-29,61.05
2021-02-01,61.421
2021-02-02,60.906
2021-02-03,60.971
2021-02-04,59.579
2021-02-05,60.017
2021-02-08,60.782
2021-02-09,60.612
2021-02-10,60.47
2021-02-11,60.39
2021-02-12,60.122
2021-02-15,59.826
2021-02-16,59.448
2021-02-17,58.805
2021-02-18,58.647
2021-02-19,58.694
2021-02-22,59.42
2021-02-23,59.295
2021-02-24,59.116
2021-02-25,58.025
2021-02-26,56.81
2021-03-01,57.443
2021-03-02,57.119
2021-03-03,56.876
2021-03-04,56.85
2021-03-05,56.78
2021-03-08,56.499
2021-03-09,57.52
2021-03-10,57.526
2021-03-11,57.421
2021-03-12,57.182
2021-03-15,57.77
2021-03-16,57.972
2021-03-17,57.899
2021-03-18,57.97
2021-03-19,58.293
2021-03-22,58.119
2021-03-23,58.067
2021-03-24,58.502
2021-03-25,58.65
2021-03-26,58.605
2021-03-29,57.959
2021-03-30,57.247
2021-03-31,57.894
2021-04-01,58.57
2021-04-06,58.743
2021-04-07,58.354
2021-04-08,58.783
2021-04-09,58.492
2021-04-12,58.038
2021-04-13,58.278
2021-04-14,57.772
2021-04-15,58.912
2021-04-16,59.182
2021-04-19,58.8
2021-04-20,58.826
2021-04-21,59.441
2021-04-22,59.13
2021-04-23,58.74
2021-04-26,58.71
2021-04-27,58.728
2021-04-28,58.493
2021-04-29,58.191
2021-04-30,58.557
2021-05-03,59.213
2021-05-04,59.227
2021-05-05,59.225
2021-05-06,60.051
2021-05-07,60.159
2021-05-10,60.301
2021-05-11,60.003
2021-05-12,60.133
2021-05-13,60.26
2021-05-14,60.423
2021-05-17,61.23
2021-05-18,61.028
2021-05-19,61.48
2021-05-20,61.311
2021-05-21,61.387
2021-05-24,61.49
2021-05-25,61.66
2021-05-26,62.146
2021-05-27,61.878
2021-05-28,61.938
2021-05-31,62.138
2021-06-01,61.84
2021-06-02,62.158
2021-06-03,61.437
2021-06-04,61.989
2021-06-07,61.895
2021-06-08,61.943
2021-06-09,61.885
2021-06-10,61.99
2021-06-11,61.862
2021-06-14,61.31
2021-06-15,61.172
2021-06-16,61.151
2021-06-17,59.255
2021-06-18,59.712
2021-06-21,59.703
2021-06-22,59.501
2021-06-23,59.628
2021-06-24,59.446
2021-06-25,59.43
2021-06-28,59.463
2021-06-29,58.987
2021-06-30,59.377
2021-07-01,59.559
2021-07-02,60.022
2021-07-05,60.192
2021-07-06,60.79
2021-07-07,60.877
2021-07-08,60.5
2021-07-09,60.796
2021-07-12,60.651
2021-07-13,61.181
2021-07-14,61.463
2021-07-15,61.577
2021-07-16,61.154
2021-07-19,61.016
2021-07-20,61.245
2021-07-21,60.972
2021-07-22,61.197
2021-07-23,61.03
2021-07-26,60.759
2021-07-27,60.692
2021-07-28,60.78
2021-07-29,61.372
2021-07-30,61.261
2021-08-02,60.92
2021-08-03,60.835
2021-08-04,60.9
2021-08-05,60.72
2021-08-06,59.69
2021-08-09,58.67
2021-08-10,58.73
2021-08-11,59.42
2021-08-12,59.44
2021-08-13,60.017
2021-08-16,60.4
2021-08-17,60.62
2021-08-18,60.677
2021-08-19,60.78
2021-08-20,60.872
2021-08-23,61.282
2021-08-24,61.3
2021-08-25,60.61
2021-08-26,60.827
2021-08-27,61.135
2021-08-30,61.137
2021-08-31,61.074
2021-09-01,61.002
2021-09-02,60.855
2021-09-03,61.39
2021-09-06,61.222
2021-09-07,60.444
2021-09-08,60.439
2021-09-09,60.387
2021-09-10,60.472
2021-09-13,60.5
2021-09-14,60.864
2021-09-15,60.494
2021-09-16,59.44
2021-09-17,59.56
2021-09-20,59.86
2021-09-21,60.57
2021-09-22,60.39
2021-09-23,59.384
2021-09-24,59.6
2021-09-27,59.675
2021-09-28,59.34
2021-09-29,59.412
2021-09-30,60.55
2021-10-01,60.48
2021-10-04,60.515
2021-10-05,60.369
2021-10-06,60.765
2021-10-07,60.602
2021-10-08,60.505
2021-10-11,60.547
2021-10-12,60.845
2021-10-13,61.74
2021-10-14,61.802
2021-10-15,60.877
2021-10-18,60.74
2021-10-19,60.667
2021-10-20,61.057
2021-10-21,60.932
2021-10-22,61.477
2021-10-25,62.045
2021-10-26,61.472
2021-10-27,61.625
2021-10-28,61.486
2021-10-29,61.304
2021-11-01,61.63
2021-11-02,61.52
2021-11-03,60.652
2021-11-04,61.87
2021-11-05,62.505
2021-11-08,62.697
2021-11-09,62.845
2021-11-10,64.229
2021-11-11,64.67
2021-11-12,64.82
2021-11-15,65.04
2021-11-16,65.179
2021-11-17,65.68
2021-11-18,65.309
2021-11-19,65.38
2021-11-22,64.2
2021-11-23,63.107
2021-11-24,63.705
2021-11-25,63.58
2021-11-26,63.2
2021-11-29,63.115
2021-11-30,62.705
2021-12-01,62.78
2021-12-02,62.23
2021-12-03,62.645
2021-12-06,62.865
2021-12-07,63.275
2021-12-08,62.67
2021-12-09,62.74
2021-12-10,62.89
2021-12-13,63.107
2021-12-14,62.655
2021-12-15,62.537
2021-12-16,63.34
2021-12-17,63.73
2021-12-20,63.269
2021-12-21,63.125
2021-12-22,63.225
2021-12-23,63.632
2021-12-24,63.655
2021-12-27,63.737
2021-12-28,63.74
2021-12-29,63.3
2021-12-30,63.76
2021-12-31,63.975
2022-01-03,63.487
2022-01-04,63.96
2022-01-05,64.107
2022-01-06,63.107
2022-01-07,62.882
2022-01-10,63.198
2022-01-11,63.669
2022-01-12,63.559
2022-01-13,63.11
2022-01-14,63.477
2022-01-17,63.532
2022-01-18,63.669
2022-01-19,64.57
2022-01-20,64.65
2022-01-21,64.508
2022-01-24,64.54
2022-01-25,65.215
2022-01-26,64.72
2022-01-27,64.05
2022-01-28,63.73
2022-01-31,63.837
2022-02-01,64.012
2022-02-02,63.75
2022-02-03,62.9
2022-02-04,62.787
2022-02-07,63.324
2022-02-08,63.725
2022-02-09,63.767
2022-02-10,63.78
2022-02-11,64.09
2022-02-14,65.53
2022-02-15,64.842
2022-02-16,65.376
2022-02-17,66.4
2022-02-18,66.56
2022-02-21,66.614
2022-02-22,66.772
2022-02-23,67.15
2022-02-24,68.691
2022-02-25,66.772
2022-02-28,67.409
2022-03-01,69.219
2022-03-02,68.761
2022-03-03,69.455
2022-03-04,71.539
2022-03-07,72.544
2022-03-08,75.46
2022-03-09,71.869
2022-03-10,72.125
2022-03-11,72.1
2022-03-14,70.945
2022-03-15,70.029
2022-03-16,69.05
2022-03-17,69.632
2022-03-18,69.474
2022-03-21,69.799
2022-03-22,69.487
2022-03-23,69.955
2022-03-24,71.12
2022-03-25,70.91
2022-03-28,70.28
2022-03-29,68.55
2022-03-30,69.034
2022-03-31,69.768
2022-04-01,69.56
2022-04-04,69.959
2022-04-05,70.214
2022-04-06,70.37
2022-04-07,70.57
2022-04-08,71.218
2022-04-11,71.417
2022-04-12,72.484
2022-04-13,72.51
2022-04-14,72.48
2022-04-19,72.15
2022-04-20,71.68
2022-04-21,71.217
2022-04-22,71.315
2022-04-25,70.515
2022-04-26,71.07
2022-04-27,71.135
2022-04-28,71.505
2022-04-29,72.028
2022-05-02,70.62
2022-05-03,70.742
2022-05-04,70.45
2022-05-05,71.32
2022-05-06,71.12
2022-05-09,70.275
2022-05-10,69.75
2022-05-11,69.94
2022-05-12,70.28
2022-05-13,69.381
2022-05-16,69.414
2022-05-17,68.89
2022-05-18,68.986
2022-05-19,69.481
2022-05-20,69.59
2022-05-23,69.11
2022-05-24,69.31
2022-05-25,69.04
2022-05-26,68.59
2022-05-27,69.057
2022-05-30,68.719
2022-05-31,68.362
2022-06-01,69.028
2022-06-02,69.35
2022-06-03,68.859
2022-06-06,68.69
2022-06-07,68.95
2022-06-08,68.969
2022-06-09,68.888
2022-06-10,70.6
2022-06-13,69.723
2022-06-14,69.32
2022-06-15,69.662
2022-06-16,69.94
2022-06-17,70.11
2022-06-20,69.487
2022-06-21,69.42
2022-06-22,69.2
2022-06-23,69.445
2022-06-24,69.07
2022-06-27,68.36
2022-06-28,68.817
2022-06-29,69.057
2022-06-30,68.814
2022-07-01,69.1
2022-07-04,68.975
2022-07-05,68.634
2022-07-06,68.217
2022-07-07,68.245
2022-07-08,68.26
2022-07-11,68.699
2022-07-12,68.56
2022-07-13,68.679
2022-07-14,67.91
2022-07-15,67.312
2022-07-18,67.01
2022-07-19,66.754
2022-07-20,66.61
2022-07-21,66.91
2022-07-22,67.36
2022-07-25,66.965
2022-07-26,67.546
2022-07-27,67.578
2022-07-28,68.745
2022-07-29,68.854
2022-08-01,68.57
2022-08-02,69.48
2022-08-03,69.019
2022-08-04,69.638
2022-08-05,69.716
2022-08-08,69.74
2022-08-09,69.906
2022-08-10,69.25
2022-08-11,68.925
2022-08-12,69.816
2022-08-15,69.58
2022-08-16,69.45
2022-08-17,69.078
2022-08-18,69.225
2022-08-19,69.32
2022-08-22,69.53
2022-08-23,69.772
2022-08-24,69.98
2022-08-25,70.131
2022-08-26,69.152
2022-08-29,69.33
2022-08-30,68.53
2022-08-31,68.07
2022-09-01,67.84
2022-09-02,68.005
2022-09-05,68.65
2022-09-06,68.407
2022-09-07,68.495
2022-09-08,68.271
2022-09-09,68.11
2022-09-12,68.05
2022-09-13,67.845
2022-09-14,67.8
2022-09-15,66.46
2022-09-16,66.59
2022-09-19,66.57
2022-09-20,66.36
2022-09-21,67.155
2022-09-22,67.71
2022-09-23,67.455
2022-09-26,67.79
2022-09-27,67.6
2022-09-28,68.294
2022-09-29,67.475
2022-09-30,67.93
2022-10-03,68.358
2022-10-04,68.985
2022-10-05,68.945
2022-10-06,69.33
2022-10-07,69.22
2022-10-10,68.459
2022-10-11,68.6
2022-10-12,68.44
2022-10-13,67.695
2022-10-14,67.28
2022-10-17,67.368
2022-10-18,66.72
2022-10-19,66.38
2022-10-20,66.525
2022-10-21,66.7
2022-10-24,66.44
2022-10-25,66.115
2022-10-26,66.04
2022-10-27,66.28
2022-10-28,65.673
2022-10-31,65.94
2022-11-01,66.36
2022-11-02,66.45
2022-11-03,66.356
2022-11-04,67.2
2022-11-07,66.8
2022-11-08,67.709
2022-11-09,67.864
2022-11-10,68.475
2022-11-11,67.895
2022-11-14,68.085
2022-11-15,67.86
2022-11-16,67.96
2022-11-17,67.765
2022-11-18,67.47
2022-11-21,67.363
2022-11-22,67.43
2022-11-23,66.92
2022-11-24,67.174
2022-11-25,66.993
2022-11-28,66.85
2022-11-29,67.34
2022-11-30,67.66
2022-12-01,68.233
2022-12-02,67.92
2022-12-05,67.223
2022-12-06,67.11
2022-12-07,67.489
2022-12-08,67.48
2022-12-09,68.0
2022-12-12,67.429
2022-12-13,67.766
2022-12-14,67.687
2022-12-15,66.4
2022-12-16,67.14
2022-12-19,67.061
2022-12-20,67.938
2022-12-21,68.077
2022-12-22,67.395
2022-12-23,67.6
2022-12-27,67.99
2022-12-28,67.449
2022-12-29,67.62
2022-12-30,67.64
2023-01-02,68.4
2023-01-03,69.01
2023-01-04,69.72
2023-01-05,69.21
2023-01-06,69.79
2023-01-09,69.43
2023-01-10,69.565
2023-01-11,69.18
2023-01-12,69.6
2023-01-13,70.305
2023-01-16,70.4
2023-01-17,70.42
2023-01-18,70.24
2023-01-19,70.72
2023-01-20,70.7
2023-01-23,70.42
2023-01-24,70.77
2023-01-25,70.68
2023-01-26,70.507
2023-01-27,70.738
2023-01-30,70.43
2023-01-31,70.58
2023-02-01,70.265
2023-02-02,69.9
2023-02-03,68.52
2023-02-06,69.261
2023-02-07,69.74
2023-02-08,69.53
2023-02-09,69.31
2023-02-10,69.24
2023-02-13,68.77
2023-02-14,68.61
2023-02-15,68.3
2023-02-16,68.41
2023-02-17,68.478
2023-02-20,68.61
2023-02-21,68.48
2023-02-22,68.685
2023-02-23,68.315
2023-02-24,68.36
2023-02-27,68.134
2023-02-28,68.499
2023-03-01,68.58
2023-03-02,68.95
2023-03-03,69.2
2023-03-06,68.915
2023-03-07,68.41
2023-03-08,68.592
2023-03-09,68.82
2023-03-10,69.239
2023-03-13,70.63
2023-03-14,70.62
2023-03-15,72.986
2023-03-16,71.87
2023-03-17,73.027
2023-03-20,73.489
2023-03-21,71.749
2023-03-22,71.805
2023-03-23,72.76
2023-03-24,73.46
2023-03-27,72.155
2023-03-28,72.225
2023-03-29,72.19
2023-03-30,71.968
2023-03-31,72.351
2023-04-03,72.66
2023-04-04,73.255
2023-04-05,73.587
2023-04-06,73.21
2023-04-11,72.932
2023-04-12,72.78
2023-04-13,73.458
2023-04-14,72.311
2023-04-17,72.468
2023-04-18,72.966
2023-04-19,72.3
2023-04-20,72.599
2023-04-21,71.67
2023-04-24,71.557
2023-04-25,71.916
2023-04-26,71.87
2023-04-27,71.59
2023-04-28,71.737
2023-05-02,72.9
2023-05-03,72.82
2023-05-04,74.02
2023-05-05,72.64
2023-05-08,73.14
2023-05-09,73.52
2023-05-10,73.36
2023-05-11,73.5
2023-05-12,73.63
2023-05-15,73.733
2023-05-16,73.214
2023-05-17,72.786
2023-05-18,72.146
2023-05-19,72.84
2023-05-22,72.586
2023-05-23,72.561
2023-05-24,72.799
2023-05-25,72.153
2023-05-26,72.156
2023-05-29,72.284
2023-05-30,72.72
2023-05-31,73.54
2023-06-01,73.34
2023-06-02,72.77
2023-06-05,72.676
2023-06-06,72.906
2023-06-07,72.56
2023-06-08,72.568
2023-06-09,72.586
2023-06-12,72.376
2023-06-13,71.659
2023-06-14,71.77
2023-06-15,71.164
2023-06-16,71.305
2023-06-19,71.062
2023-06-20,70.51
2023-06-21,70.106
2023-06-22,69.484
2023-06-23,70.244
2023-06-26,70.226
2023-06-27,69.517
2023-06-28,69.631
2023-06-29,69.822
2023-06-30,69.858
2023-07-03,70.2
2023-07-04,70.318
2023-07-05,70.337
2023-07-06,69.88
2023-07-07,70.12
2023-07-10,69.623
2023-07-11,69.88
2023-07-12,69.88
2023-07-13,69.664
2023-07-14,69.319
2023-07-17,69.096
2023-07-18,70.184
2023-07-19,70.167
2023-07-20,70.292
2023-07-21,70.089
2023-07-24,70.382
2023-07-25,70.666
2023-07-26,70.852
2023-07-27,70.342
2023-07-28,70.744
2023-07-31,71.046
2023-08-01,70.484
2023-08-02,70.288
2023-08-03,70.361
2023-08-04,69.923
2023-08-07,69.874
2023-08-08,70.051
2023-08-09,69.42
2023-08-10,69.138
2023-08-11,69.51
2023-08-14,69.539
2023-08-15,69.414
2023-08-16,69.382
2023-08-17,69.227
2023-08-18,69.16
2023-08-21,68.997
2023-08-22,69.501
2023-08-23,70.212
2023-08-24,70.516
2023-08-25,70.29
2023-08-28,70.67
2023-08-29,70.944
2023-08-30,70.735
2023-08-31,71.192
2023-09-01,71.374
2023-09-04,71.444
2023-09-05,71.521
2023-09-06,71.112
2023-09-07,71.277
2023-09-08,71.298
2023-09-11,71.157
2023-09-12,70.831
2023-09-13,70.779
2023-09-14,71.134
2023-09-15,71.766
2023-09-18,71.722
2023-09-19,71.91
2023-09-20,72.136
2023-09-21,71.487
2023-09-22,71.885
2023-09-25,72.009
2023-09-26,71.586
2023-09-27,71.051
2023-09-28,69.97
2023-09-29,69.704
2023-10-02,69.337
2023-10-03,69.353
2023-10-04,68.994
2023-10-05,68.6
2023-10-06,68.867
2023-10-09,69.819
2023-10-10,69.755
2023-10-11,70.096
2023-10-12,70.522
2023-10-13,72.754
2023-10-16,72.429
2023-10-17,72.31
2023-10-18,73.37
2023-10-19,73.569
2023-10-20,74.915
2023-10-23,73.891
2023-10-24,73.766
2023-10-25,74.184
2023-10-26,74.656
2023-10-27,74.282
2023-10-30,75.002
2023-10-31,74.883
2023-11-01,74.592
2023-11-02,74.211
2023-11-03,73.71
2023-11-06,73.332
2023-11-07,73.052
2023-11-08,72.62
2023-11-09,72.803
2023-11-10,72.231
2023-11-13,72.193
2023-11-14,71.949
2023-11-15,71.809
2023-11-16,72.624
2023-11-17,72.39
2023-11-20,71.704
2023-11-21,72.723
2023-11-22,72.884
2023-11-23,72.57
2023-11-24,72.704
2023-11-27,73.039
2023-11-28,73.664
2023-11-29,73.972
2023-11-30,74.29
2023-12-01,75.212
2023-12-04,74.393
2023-12-05,74.213
2023-12-06,74.624
2023-12-07,74.724
2023-12-08,74.096
2023-12-11,73.269
2023-12-12,72.966
2023-12-13,73.017
2023-12-14,73.698
2023-12-15,74.128
2023-12-18,73.631
2023-12-19,74.042
2023-12-20,73.71
2023-12-21,73.911
2023-12-22,74.301
2023-12-27,74.45
2023-12-28,74.463
2023-12-29,74.25
2024-01-02,74.876
2024-01-03,74.085
2024-01-04,74.143
2024-01-05,74.314
2024-01-08,73.665
2024-01-09,73.789
2024-01-10,73.476
2024-01-11,73.122
2024-01-12,74.492
2024-01-15,74.52
2024-01-16,74.339
2024-01-17,73.568
2024-01-18,73.766
2024-01-19,73.951
2024-01-22,73.812
2024-01-23,74.233
2024-01-24,73.421
2024-01-25,73.938
2024-01-26,73.834
2024-01-29,74.519
2024-01-30,74.487
2024-01-31,75.129
2024-02-01,75.445
2024-02-02,74.905
2024-02-05,74.841
2024-02-06,75.274
2024-02-07,75.297
2024-02-08,74.858
2024-02-09,74.506
2024-02-12,74.296
2024-02-13,73.942
2024-02-14,73.749
2024-02-15,73.855
2024-02-16,74.082
2024-02-19,74.394
2024-02-20,74.479
2024-02-21,74.401
2024-02-22,74.302
2024-02-23,74.744
2024-02-26,74.254
2024-02-27,74.469
2024-02-28,74.575
2024-02-29,75.167
2024-03-01,76.136
2024-03-04,77.436
2024-03-05,77.788
2024-03-06,78.118
2024-03-07,78.368
2024-03-08,79.004
2024-03-11,79.31
2024-03-12,78.748
2024-03-13,78.899
2024-03-14,78.766
2024-03-15,78.924
2024-03-18,78.869
2024-03-19,78.851
2024-03-20,78.948
2024-03-21,79.678
2024-03-22,79.594
2024-03-25,79.838
2024-03-26,79.849
2024-03-27,80.464
2024-03-28,81.613
2024-04-02,83.21
2024-04-03,83.934
2024-04-04,83.782
2024-04-05,85.277
2024-04-08,85.279
2024-04-09,85.902
2024-04-10,86.409
2024-04-11,86.768
2024-04-12,89.384
2024-04-15,87.81
2024-04-16,89.217
2024-04-17,89.047
2024-04-18,88.797
2024-04-19,89.122
2024-04-22,87.192
2024-04-23,86.229
2024-04-24,86.541
2024-04-25,86.477
2024-04-26,86.795
2024-04-29,86.654
2024-04-30,85.375
2024-05-02,85.545
2024-05-03,84.523
2024-05-06,85.645
2024-05-07,85.313
