,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_y,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity
2006-03-08,307.0,170937.47,0.08,0.86,0.0,0.2,0.0,170937.47,0.0,307.0,0.0,,,,,,307.0,,,,,,,,,0.2,,,0.0,,,,0.0,0.0,686.0,381964.51,,0.45,0.0,,1.0,100.0,0.4475
2006-03-15,307.0,181193.72,0.08,0.78,0.0,0.2,0.0,181193.72,0.0,307.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,741.0,437343.8,,0.49,0.0,,1.0,100.0,0.4143
2006-03-22,662.0,387882.0,0.18,1.78,0.01,0.43,0.0,179878.81,355.0,307.0,208003.19,,355.0,,,0.23,,,,,,,355.0,,,,,,0.23,,,,30.14,30.14,823.0,482215.85,,0.54,29.85,,1.0,100.0,0.562
2006-03-29,407.0,239865.83,0.11,1.24,0.0,0.27,0.0,239865.83,103.0,407.0,60703.15,,,,,,100.0,,,,,,,,,0.07,103.0,,0.07,,0.23,,13.5,11.43,661.0,389560.97,355.0,0.0,0.0,25.6,0.619,74.4,0.4512
2006-04-05,407.0,235856.45,0.11,1.24,0.0,0.27,0.0,235856.45,103.0,407.0,59688.49,,,,,,,,0.0,,0.0,,,,,,,,0.07,,,,13.64,11.53,652.0,377833.91,,0.0,0.0,25.3,0.622,74.7,0.4558
2006-04-12,407.0,233415.95,0.11,1.38,0.0,0.27,0.0,233415.95,103.0,407.0,59070.87,,,,,,,,0.0,,1.0,,,,,,,,0.07,,,,13.55,11.46,654.0,375071.33,,0.0,0.0,25.59,0.6192,74.41,0.4547
2006-04-19,759.0,438214.97,0.21,2.58,0.01,0.5,0.0,234984.84,452.0,407.0,260965.97,,352.0,,,0.23,,,0.0,,3.0,,352.0,,,,,,0.3,,,,41.97,37.21,625.0,360848.96,,0.0,0.0,13.51,0.7663,86.49,0.6247
2006-04-26,26029.0,14715904.44,7.2,127.16,0.26,16.97,0.0,14715904.44,100.0,26029.0,56536.57,,,0.0,,,25622.0,,,,,,,,0.0,16.7,,,0.07,,0.23,,13.44,11.45,646.0,365226.26,352.0,0.0,0.0,1.18,0.9691,98.44,29.7135
2006-05-03,29936.0,17194555.26,8.28,211.76,0.3,20.18,0.0,17194555.26,97.0,29936.0,55714.59,,,,,,5000.0,,0.0,,3.0,,,,,3.38,,1092.0,0.07,0.16,,,13.46,11.41,627.0,360134.49,,0.0,0.0,16.75,0.6995,81.94,35.0539
2006-05-10,5407.0,3150326.22,1.5,38.9,0.05,3.61,0.0,3150326.22,97.0,5407.0,56515.93,,,,,,,,0.0,,1.0,,,,,,,24529.0,0.06,16.54,,,13.41,11.37,626.0,364731.68,,0.0,0.0,5.53,0.8621,92.67,6.3388
2006-05-17,407.0,207226.68,0.11,1.83,0.0,0.26,0.0,207226.68,95.0,407.0,48369.86,,,,,,,,0.0,,2.0,,,,,,,5000.0,0.06,3.34,,,13.62,10.82,600.0,305493.87,,0.0,0.0,23.31,0.6424,76.69,0.4651
2006-05-24,771.0,389207.28,0.21,2.85,0.01,0.49,0.0,205457.02,364.0,407.0,183750.26,,364.0,,,0.23,,,0.06,,95.0,,364.0,,,,,,0.23,,,,79.42,64.63,94.0,47451.99,,0.0,0.0,11.94,0.7898,88.06,1.367
2006-05-31,407.0,205987.92,0.11,0.96,0.0,0.26,0.0,205987.92,91.0,407.0,46056.27,,,,,,,,,,,,,,,,91.0,,0.06,,0.23,,13.46,11.66,588.0,297594.34,364.0,0.0,0.0,22.54,0.6508,77.46,0.5191
2006-06-07,407.0,212358.68,0.11,0.95,0.0,0.26,0.0,212358.68,94.0,407.0,49045.98,,,3.0,,,,,,,,,,,3.0,,,,0.06,,,,17.73,14.73,436.0,227489.89,,0.0,0.0,23.91,0.6362,76.09,0.6379
2006-06-14,407.0,202802.54,0.11,0.92,0.0,0.26,0.0,202802.54,92.0,407.0,45842.34,,,,,,,,0.0,,2.0,,,,,,,,0.06,,,,17.93,14.88,421.0,209778.55,,0.0,0.0,24.18,0.6334,75.82,0.6586
2006-06-21,778.0,388343.32,0.22,1.63,0.01,0.49,0.0,205153.09,462.0,411.0,230610.05,,367.0,3.0,,0.23,4.0,,,,,,367.0,,3.0,0.0,,,0.29,,,,45.01,45.01,564.0,281523.95,,0.35,45.42,11.61,0.7865,87.92,0.7583
2006-06-28,534.0,275836.71,0.15,1.37,0.01,0.34,0.0,243810.72,156.0,472.0,80581.51,,,61.0,,,61.0,,,,,,,,61.0,0.04,,,0.1,,0.23,,25.37,25.37,460.0,237612.14,367.0,0.29,25.65,19.8,0.4975,66.44,0.8669
2006-07-03,913.0,476372.17,0.25,2.65,0.01,0.58,0.0,248360.52,536.0,476.0,279666.47,,359.0,21.0,0.0,0.23,,,,4.0,,,359.0,0.0,21.0,,,,0.34,,,,52.26,52.26,490.0,255665.24,,0.31,52.64,11.15,0.6684,80.65,0.8899
2006-07-04,916.0,471166.69,0.25,2.57,0.01,0.58,0.0,244842.08,541.0,476.0,278276.4,,,5.0,0.0,,,,,1.0,,,,0.0,5.0,,,,0.34,,,,52.42,52.42,491.0,252557.69,,0.31,52.79,11.15,0.6675,80.58,0.8876
2006-07-05,916.0,481920.28,0.25,2.69,0.01,0.58,0.0,251482.42,539.0,478.0,283575.36,,,,0.0,,,,0.0,1.0,2.0,,,0.0,,,,,0.34,,,,58.6,58.6,381.0,200449.37,,0.24,58.6,11.19,0.6652,80.43,0.9967
2006-07-06,557.0,290623.55,0.15,1.55,0.01,0.35,0.0,248360.52,182.0,476.0,94961.37,,,2.0,,,,,,,,,,,2.0,,,1.0,0.12,0.0,0.23,,34.22,34.22,350.0,182618.03,359.0,0.22,34.22,19.6,0.49,65.89,1.047
2006-07-07,557.0,295467.27,0.15,1.51,0.01,0.35,0.0,253030.32,181.0,477.0,96013.6,,,,0.0,,,,0.0,1.0,1.0,,,0.0,,,,,0.11,,,,34.19,34.19,348.0,184600.74,,0.22,34.19,19.64,0.4881,65.7,1.0549
2006-07-10,559.0,296528.2,0.15,1.56,0.01,0.36,0.0,253030.32,185.0,477.0,98135.45,,,5.0,0.0,,,,,0.0,,,,0.0,5.0,,,,0.12,,,,34.55,34.55,351.0,186192.12,,0.22,34.55,19.65,0.4876,65.66,1.0429
2006-07-11,560.0,294623.75,0.15,1.59,0.01,0.36,0.0,251482.42,184.0,478.0,96804.95,,,,0.0,,,,0.0,1.0,2.0,,,0.0,,,,,0.12,,,,34.27,34.27,352.0,185192.07,,0.22,34.27,19.61,0.4864,65.55,1.0448
2006-07-12,559.0,287049.02,0.15,2.75,0.01,0.36,0.0,245455.15,183.0,478.0,93971.32,,,,,,,,0.0,,1.0,,,,,,,0.0,0.12,0.0,,,34.59,34.59,346.0,177672.56,,0.22,34.59,19.89,0.4842,65.31,1.0587
2006-07-13,556.0,292277.55,0.15,2.76,0.01,0.36,0.0,251274.58,178.0,478.0,93570.87,,,,,,,,0.0,,5.0,,,,,,,0.0,0.11,0.0,,,34.29,34.29,340.0,178730.87,,0.22,34.29,20.0,0.4843,65.29,1.0734
2006-07-14,557.0,291834.48,0.15,2.78,0.01,0.36,0.0,249395.35,182.0,476.0,95357.05,,,5.0,,,,,,,,,,,5.0,,,2.0,0.12,0.0,,,34.46,34.46,346.0,181283.18,,0.22,34.46,20.07,0.4865,65.5,1.0549
2006-07-17,559.0,284375.4,0.15,2.99,0.01,0.36,0.0,243168.95,183.0,478.0,93096.06,,,1.0,0.0,,,,,2.0,,,,0.0,1.0,,,,0.12,,,,36.25,36.25,321.0,163299.65,,0.21,36.25,19.97,0.4834,65.21,1.1091
2006-07-18,556.0,290101.78,0.15,2.98,0.01,0.36,0.0,249404.05,176.0,478.0,91830.78,,,,,,,,0.0,,7.0,,,,,,,0.0,0.11,0.0,,,34.29,34.29,337.0,175835.07,,0.22,34.29,20.07,0.4834,65.19,1.0859
2006-07-19,555.0,289580.02,0.15,3.0,0.01,0.35,0.0,247838.75,180.0,475.0,93917.84,,,4.0,,,,,,,,,,,4.0,,,3.0,0.11,0.0,,,34.13,34.13,348.0,181574.5,,0.22,34.13,19.71,0.4912,65.99,1.0511
2006-07-20,557.0,284084.52,0.15,3.06,0.01,0.35,0.0,243282.43,181.0,477.0,92314.72,,,1.0,0.0,,,,,1.0,,,,0.0,1.0,,,,0.11,,,,34.34,34.34,346.0,176469.02,,0.22,34.34,19.66,0.4892,65.81,1.0589
2006-07-21,555.0,284753.68,0.15,3.18,0.01,0.35,0.0,244734.25,176.0,477.0,90300.27,,,,0.0,,,,0.0,0.0,5.0,,,0.0,,,,,0.11,,,,34.14,34.14,340.0,174443.7,,0.22,34.14,19.66,0.4893,65.81,1.0756
2006-07-24,555.0,284753.68,0.15,3.18,0.01,0.35,0.0,244221.18,179.0,476.0,91839.48,,,3.0,,,,,,,,,,,3.0,,,1.0,0.11,0.0,,,34.51,34.51,340.0,174443.7,,0.22,34.51,19.71,0.4906,65.93,1.0694
2006-07-25,556.0,290101.78,0.15,3.18,0.01,0.35,0.0,248882.28,179.0,477.0,93396.08,,,,0.0,,,,0.0,1.0,0.0,,,0.0,,,,,0.11,,,,34.41,34.41,341.0,177922.14,,0.22,34.41,19.66,0.4898,65.86,1.0692
2006-07-26,555.0,284753.68,0.15,2.01,0.01,0.35,0.0,244221.18,179.0,476.0,91839.48,,,0.0,,,,,,,,,,,0.0,,,1.0,0.11,0.0,,,33.27,33.27,360.0,184705.09,,0.23,33.27,19.7,0.4905,65.93,1.0297
2006-07-27,556.0,283090.99,0.15,2.07,0.01,0.35,0.0,242867.63,178.0,477.0,90629.85,,,,0.0,,,,0.0,1.0,1.0,,,0.0,,,,,0.11,,,,31.34,31.34,391.0,199080.17,,0.25,31.34,19.71,0.4891,65.79,0.9772
2006-07-28,554.0,286649.43,0.15,2.08,0.01,0.35,0.0,246290.85,176.0,476.0,91065.52,,,,,,,,0.0,,2.0,,,,,,,1.0,0.11,0.0,,,30.58,30.58,400.0,206967.1,,0.25,30.58,19.72,0.4905,65.92,0.9618
2006-07-31,555.0,282340.52,0.15,2.07,0.01,0.35,0.0,241642.78,180.0,475.0,91569.9,,,3.0,,,,,,,,,,,3.0,,,1.0,0.11,0.0,,,29.16,29.16,436.0,221802.64,,0.28,29.16,19.77,0.4909,65.96,0.901
2006-08-01,589.0,307320.05,0.16,2.35,0.01,0.37,0.0,248360.52,211.0,476.0,110092.58,,,31.0,0.0,,,,,1.0,,,,0.0,31.0,,,,0.13,,,,34.66,34.66,397.0,207141.02,,0.25,34.66,19.74,0.4901,65.87,0.9688
2006-08-02,592.0,306826.12,0.16,2.5,0.01,0.38,0.0,246704.78,218.0,476.0,112986.64,,,7.0,,,,,,,,,,,7.0,,,0.0,0.14,0.0,,,35.02,35.02,404.0,209388.09,,0.26,35.02,19.76,0.4904,65.91,0.9533
2006-08-03,592.0,304766.88,0.16,2.55,0.01,0.38,0.0,245563.85,215.0,477.0,110683.92,,,,0.0,,,,0.0,2.0,3.0,,,0.0,,,,,0.14,,,,34.87,34.87,402.0,206953.19,,0.26,34.87,19.76,0.4874,65.62,0.961
2006-08-04,590.0,303737.26,0.16,2.56,0.01,0.38,0.0,245049.05,212.0,476.0,109139.49,,,,,,,,0.0,,3.0,,,,,,,1.0,0.14,0.0,,,30.22,30.22,490.0,252256.37,,0.31,30.22,19.88,0.4881,65.67,0.8393
2006-08-07,597.0,307340.92,0.17,2.54,0.01,0.38,0.0,247623.09,216.0,481.0,111198.73,,,4.0,0.0,,,,,5.0,,,,0.0,4.0,,,,0.14,,,,30.36,30.36,496.0,255345.22,,0.31,30.36,19.93,0.4882,65.68,0.8385
2006-08-08,596.0,305789.54,0.16,2.56,0.01,0.38,0.0,246786.53,216.0,481.0,110823.05,,,,,,,,0.0,,1.0,,,,,,,,0.14,,,,30.63,30.63,488.0,250378.01,,0.31,30.63,19.94,0.4881,65.66,0.8466
2006-08-09,596.0,295942.08,0.16,2.37,0.01,0.37,0.0,238839.16,216.0,481.0,107254.18,,,,,,,,0.0,,0.0,,,,,,,,0.14,,,,30.29,30.29,496.0,246287.37,,0.31,30.29,19.5,0.4913,66.02,0.8383
2006-08-10,593.0,291874.05,0.16,2.34,0.01,0.37,0.0,236747.75,210.0,481.0,103361.8,,,,,,,,0.0,,5.0,,,,,,,,0.13,,,,30.49,30.49,480.0,236255.55,,0.3,30.49,19.49,0.4915,66.03,0.8594
2006-08-11,593.0,284138.87,0.16,2.4,0.01,0.37,0.0,230473.52,209.0,481.0,100143.38,,,,,,,,0.0,,1.0,,,,,,,,0.13,,,,30.22,30.22,483.0,231431.83,,0.3,30.53,19.62,0.4937,66.22,0.8569
2006-08-14,589.0,288624.75,0.16,2.37,0.01,0.37,0.0,235702.05,203.0,481.0,99475.08,,,,,,,,0.0,,6.0,,,,,,,,0.13,,,,29.99,29.99,473.0,231781.85,,0.29,30.25,19.62,0.4942,66.26,0.8726
2006-08-15,592.0,293955.89,0.16,2.43,0.01,0.37,0.0,238839.16,207.0,481.0,102785.25,,,5.0,,,,,,,,,,,5.0,,,,0.13,,,,30.74,30.74,467.0,231887.5,,0.29,30.96,19.69,0.4983,66.64,0.877
2006-08-16,594.0,301405.84,0.16,2.47,0.01,0.37,0.0,244067.69,211.0,481.0,107065.04,,,4.0,,,,,,,,,,,4.0,,,,0.13,,,,29.98,29.98,494.0,250664.11,,0.3,30.13,19.1,0.5012,66.99,0.8426
2006-08-17,597.0,303706.83,0.17,2.7,0.01,0.37,0.0,244695.11,217.0,481.0,110392.6,,,5.0,,,,,,,,,,,5.0,,,,0.13,,,,30.19,30.19,501.0,254869.55,,0.31,30.33,18.98,0.4996,66.86,0.8315
2006-08-18,597.0,303187.67,0.17,2.73,0.01,0.37,0.0,244276.83,216.0,481.0,109696.04,,,,,,,,0.0,,0.0,,,,,,,,0.13,,,,30.16,30.16,501.0,254433.87,,0.31,30.31,18.89,0.4973,66.66,0.8326
2006-08-21,631.0,318808.47,0.17,2.91,0.01,0.39,0.0,243021.98,250.0,481.0,126310.8,,,34.0,,,,,,,,,,,34.0,,,,0.16,,,,34.96,34.96,466.0,235443.34,,0.29,35.15,18.92,0.4975,66.67,0.8813
2006-08-22,632.0,320687.69,0.17,2.93,0.01,0.39,0.0,244067.69,252.0,481.0,127869.14,,,1.0,,,,,,,,,,,1.0,,,,0.16,,,,35.34,35.34,461.0,233919.35,,0.28,35.53,18.97,0.4966,66.58,0.8876
2006-08-23,631.0,319082.83,0.17,2.92,0.01,0.4,0.0,243231.13,250.0,481.0,126419.5,,,,,,,,0.0,,2.0,,,,,,,,0.16,,,,35.15,35.15,461.0,233117.57,,0.29,35.36,19.41,0.493,66.2,0.8875
2006-08-24,631.0,323472.62,0.17,2.89,0.01,0.39,0.0,246577.38,249.0,481.0,127646.09,,,,,,,,0.0,,1.0,,,,,,,,0.16,,,,35.14,35.14,460.0,235812.05,,0.29,35.32,19.39,0.4935,66.24,0.89
2006-08-25,668.0,338083.36,0.18,3.06,0.01,0.42,0.0,243440.27,288.0,481.0,145760.49,,,39.0,,,,,,,,,,,39.0,,,,0.18,,,,40.1,40.1,430.0,217628.51,,0.27,40.33,19.41,0.4934,66.24,0.9304
2006-08-28,665.0,336565.03,0.18,3.02,0.01,0.42,0.0,243440.27,284.0,481.0,143736.04,,,,,,,,0.0,,5.0,,,,,,,,0.18,,,,39.98,39.98,426.0,215604.06,,0.26,40.22,19.4,0.4926,66.15,0.9379
2006-08-29,666.0,341704.42,0.18,3.02,0.01,0.42,0.0,246786.53,277.0,481.0,142120.31,,,,,,,,0.0,,6.0,,,,,,,,0.17,,,,39.02,39.02,433.0,222159.18,,0.27,39.2,19.44,0.4942,66.3,0.9367
2006-08-30,661.0,341150.91,0.18,2.8,0.01,0.41,0.0,244637.72,281.0,474.0,145027.85,,,4.0,,,,,,,,,,,4.0,,,7.0,0.18,0.0,,,39.18,39.18,437.0,225541.53,,0.27,39.35,19.75,0.5072,67.16,0.9206
2006-08-31,662.0,341954.87,0.18,2.82,0.01,0.42,0.0,244843.82,283.0,474.0,146183.12,,,2.0,,,,,,,,,,,2.0,,,,0.18,,,,39.29,39.29,437.0,225731.54,,0.27,39.46,19.73,0.5051,66.97,0.9194
2006-09-01,665.0,355648.61,0.18,2.84,0.01,0.42,0.0,253499.91,286.0,474.0,152955.64,,,3.0,,,,,,,,,,,3.0,,,,0.18,,,,39.65,39.65,435.0,232642.32,,0.27,39.72,19.7,0.5049,66.95,0.9223
2006-09-04,672.0,356470.39,0.19,2.66,0.01,0.42,0.0,251438.94,296.0,474.0,157016.72,,,10.0,,,,,,,,,,,10.0,,,,0.19,,,,39.71,39.71,449.0,238177.39,,0.28,39.8,19.67,0.5055,67.01,0.902
2006-09-05,671.0,358857.47,0.19,2.64,0.01,0.42,0.0,253499.91,294.0,474.0,157234.12,,,,,,,,0.0,,2.0,,,,,,,,0.19,,,,39.95,39.95,442.0,236385.99,,0.28,40.03,19.54,0.5019,66.69,0.9117
2006-09-06,670.0,355409.47,0.19,4.61,0.01,0.43,0.0,251438.94,293.0,474.0,155425.33,,,,,,,,0.0,,1.0,,,,,,,,0.19,,,,39.85,39.85,442.0,234464.16,,0.28,39.99,20.37,0.4962,66.05,0.9116
2006-09-07,669.0,353133.7,0.19,4.58,0.01,0.43,0.0,250202.35,291.0,474.0,153605.24,,,,,,,,0.0,,2.0,,,,,,,,0.19,,,,40.01,40.01,437.0,230671.79,,0.28,40.17,20.36,0.4948,65.92,0.919
2006-09-08,668.0,352024.95,0.18,4.58,0.01,0.43,0.0,249790.16,290.0,474.0,152825.2,,,,,,,,0.0,,2.0,,,,,,,,0.18,,,,39.95,39.95,436.0,229764.79,,0.28,40.11,20.35,0.4954,65.97,0.9214
2006-09-11,667.0,356138.2,0.18,4.65,0.01,0.42,0.0,253087.72,288.0,474.0,153774.82,,,,,,,,0.0,,2.0,,,,,,,,0.18,,,,39.68,39.68,438.0,233865.86,,0.28,39.8,20.36,0.4969,66.12,0.9187
2006-09-12,670.0,361235.85,0.19,4.69,0.01,0.43,0.0,255560.89,292.0,474.0,157434.13,,,4.0,,,,,,,,,,,4.0,,,,0.19,,,,39.84,39.84,441.0,237768.67,,0.28,39.93,20.46,0.4963,66.04,0.9128
2006-09-13,671.0,357106.95,0.19,4.55,0.01,0.43,0.0,252263.33,294.0,474.0,156467.13,,,2.0,,,,,,,,,,,2.0,,,,0.19,,,,39.81,39.81,445.0,236829.49,,0.28,39.94,20.49,0.4948,65.9,0.908
2006-09-14,668.0,350863.15,0.18,4.54,0.01,0.43,0.0,248965.77,289.0,474.0,151795.58,,,,,,,,0.0,,5.0,,,,,,,,0.19,,,,39.69,39.69,440.0,231107.46,,0.28,39.86,20.52,0.4938,65.8,0.9163
2006-09-15,667.0,348017.79,0.18,4.11,0.01,0.43,0.0,247316.99,288.0,474.0,150268.55,,,,,,,,0.0,,2.0,,,,,,,,0.18,,,,39.91,39.91,433.0,225924.59,,0.27,40.11,20.57,0.4945,65.86,0.9251
2006-09-18,664.0,337791.18,0.18,3.79,0.01,0.42,0.0,241134.06,284.0,474.0,144476.95,,,,,,,,0.0,,4.0,,,,,,,,0.18,,,,39.56,39.56,434.0,220785.2,,0.27,39.83,20.55,0.4962,66.03,0.9248
2006-09-19,758.0,402090.11,0.21,4.2,0.01,0.48,0.0,251438.94,376.0,474.0,199453.67,,,92.0,,,,,,,,,,,92.0,,,,0.24,,,,53.58,53.58,326.0,172930.58,,0.21,53.78,20.62,0.4963,66.02,1.0798
2006-09-20,769.0,403912.82,0.21,4.73,0.01,0.49,0.0,248965.77,391.0,474.0,205370.5,,,15.0,,,,,,,,,,,15.0,,,,0.25,,,,53.31,53.31,343.0,180158.77,,0.22,53.5,20.38,0.5012,66.52,1.0477
2006-09-21,763.0,408723.5,0.21,4.75,0.01,0.48,0.0,253912.11,383.0,474.0,205165.27,,,,,,,,0.0,,8.0,,,,,,,,0.24,,,,52.89,52.89,341.0,182666.73,,0.22,53.02,20.25,0.4981,66.25,1.0524
2006-09-22,771.0,415690.81,0.21,4.85,0.01,0.49,0.0,255560.89,394.0,474.0,212428.25,,,11.0,,,,,,,,,,,11.0,,,,0.25,,,,53.34,53.34,345.0,186009.51,,0.22,53.44,20.29,0.4991,66.34,1.0433
2006-09-25,773.0,414080.29,0.21,4.8,0.01,0.49,0.0,253912.11,396.0,474.0,212129.1,,,2.0,,,,,,,,,,,2.0,,,,0.25,,,,53.51,53.51,344.0,184273.77,,0.22,53.65,20.26,0.4959,66.03,1.0446
2006-09-26,771.0,435134.41,0.21,5.16,0.01,0.49,0.0,267514.54,394.0,474.0,222364.41,,,,,,,,0.0,,2.0,,,,,,,,0.25,,,,53.58,53.58,341.0,192452.44,,0.22,53.51,20.25,0.4946,65.92,1.049
2006-09-27,782.0,435222.24,0.22,4.24,0.01,0.5,0.0,263804.79,408.0,474.0,227072.47,,,14.0,,,,,,,,,,,14.0,,,,0.26,,,,53.44,53.44,355.0,197575.31,,0.23,53.47,21.19,0.489,65.24,1.0236
2006-09-28,701.0,396237.64,0.19,3.46,0.01,0.45,0.0,267926.74,326.0,474.0,184270.29,,,,,,,,0.05,,82.0,,,,,,,,0.21,,,,43.43,43.43,424.0,239664.42,,0.28,43.42,20.94,0.4852,64.91,0.9347
2006-09-29,705.0,396965.94,0.2,3.55,0.01,0.46,0.0,266896.25,332.0,474.0,186939.99,,,6.0,,,,,,,,,,,6.0,,,,0.21,,,,43.58,43.58,430.0,242121.07,,0.28,43.57,20.97,0.4863,65.01,0.9252
2006-10-02,703.0,394311.46,0.19,3.45,0.01,0.46,0.0,265865.76,328.0,474.0,183974.62,,,,,,,,0.0,,4.0,,,,,,,,0.21,,,,44.05,44.05,417.0,233894.56,,0.27,44.07,21.01,0.4857,64.95,0.9436
2006-10-03,703.0,385752.76,0.19,3.4,0.01,0.46,0.0,260095.03,328.0,474.0,179981.37,,,0.0,,,,,,,,,,,0.0,,,,0.21,,,,43.47,43.47,427.0,234305.02,,0.28,43.56,21.01,0.4852,64.9,0.9299
2006-10-04,699.0,390244.29,0.19,3.28,0.01,0.45,0.0,264629.18,323.0,474.0,180327.48,,,,,,,,0.0,,6.0,,,,,,,,0.21,,,,43.44,43.44,421.0,235039.84,,0.27,43.45,20.66,0.4876,65.18,0.9408
2006-10-05,704.0,388750.3,0.19,3.29,0.01,0.45,0.0,261743.81,330.0,474.0,182226.7,,,7.0,,,,,,,,,,,7.0,,,,0.21,,,,43.54,43.54,428.0,236342.51,,0.27,43.58,20.69,0.4899,65.4,0.9288
