,CRAV FP Equity_DX_SI_QTY,CRAV FP Equity_DX_SHORT_INTEREST_VALUE,CRAV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CRAV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CRAV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CRAV FP Equity_DX_SI_MV,CRAV FP Equity_DX_DSS,CRAV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CRAV FP Equity_DX_SUPPLY_SI_QTY,CRAV FP Equity_DX_BROKER_SI_QTY,CRAV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CRAV FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CRAV FP Equity_DX_SUPPLY_SI_QTY_INC_x,CRAV FP Equity_DX_BROKER_SI_MV_INC_x,CRAV FP Equity_DX_SUPPLY_SI_MV_NEW,CRAV FP Equity_DX_BROKER_SI_QTY_ADD,CRAV FP Equity_DX_SUPPLY_SI_MV_DEC,CRAV FP Equity_DX_BROKER_SI_QTY_INC,CRAV FP Equity_DX_SUPPLY_SI_QTY_DEC,CRAV FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CRAV FP Equity_DX_BROKER_SI_MV_INC_y,CRAV FP Equity_DX_SUPPLY_SI_QTY_INC_y,CRAV FP Equity_DX_BROKER_SI_MV_ADD,CRAV FP Equity_DX_SUPPLY_SI_QTY_ADD,CRAV FP Equity_DX_BROKER_SI_QTY_DEC,CRAV FP Equity_DX_SUPPLY_SI_MV,CRAV FP Equity_DX_BROKER_SI_MV_DEC,CRAV FP Equity_DX_SUPPLY_SI_MV_RMV,CRAV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CRAV FP Equity_DX_UTILIZATION_QUANTITY,CRAV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CRAV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CRAV FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CRAV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CRAV FP Equity_DX_ACTIVE_UTILIZATION_MV,CRAV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CRAV FP Equity_DX_BROKER_SI_CON_RATIO,CRAV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CRAV FP Equity_DX_DEMAND_SUPPLY_RATIO,CRAV FP Equity_PX_LAST
2002-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.95
2002-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5
2002-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5
2002-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.05
2002-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
2002-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
2002-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0
2002-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
2002-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5
2002-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7
2002-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.85
2002-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6
2002-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
2002-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5
2002-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9
2002-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
2002-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
2002-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
2002-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
2002-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5
2002-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5
2002-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5
2002-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
2002-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.95
2002-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
2002-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
2002-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4
2002-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9
2002-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5
2002-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0
2002-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0
2002-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0
2002-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0
2002-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5
2002-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
2002-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
2002-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2002-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2002-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2002-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2002-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.75
2002-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1
2002-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8
2002-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9
2002-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5
2002-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.95
2002-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4
2002-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.45
2002-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2002-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6
2002-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2002-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2002-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2002-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1
2002-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2002-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.45
2002-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2002-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.55
2002-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2002-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2002-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1
2002-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1
2002-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2002-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.95
2002-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.95
2002-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2002-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2002-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2002-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.95
2002-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2002-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2002-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9
2002-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2002-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9
2002-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9
2002-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.85
2002-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.25
2002-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2002-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2002-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2003-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.55
2003-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1
2003-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.95
2003-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8
2003-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2003-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.55
2003-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.55
2003-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5
2003-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
2003-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5
2003-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
2003-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5
2003-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5
2003-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2003-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2003-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2003-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4
2003-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2003-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4
2003-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
2003-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2003-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
2003-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9
2003-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2003-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
2003-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2003-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
2003-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
2003-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
2003-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.05
2003-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.95
2003-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2003-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
2003-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.95
2003-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
2003-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2003-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2003-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2003-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2003-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2003-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2003-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2003-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5
2003-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3
2003-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8
2003-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5
2003-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5
2003-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5
2003-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0
2003-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5
2003-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5
2003-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2003-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.4
2003-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5
2003-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2003-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6
2003-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5
2003-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5
2003-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4
2003-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2
2003-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5
2003-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5
2003-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5
2003-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9
2003-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8
2003-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
2003-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8
2003-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8
2003-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5
2003-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7
2003-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2003-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.75
2003-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2003-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2003-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2003-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2003-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6
2003-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2003-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2003-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2003-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5
2003-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4
2003-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4
2003-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2003-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2003-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2003-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2003-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.45
2003-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.55
2003-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.55
2003-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5
2003-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2003-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2003-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2003-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5
2003-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
2003-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2003-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2003-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6
2003-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2003-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8
2003-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0
