,SMCP FP Equity_DX_SI_QTY,SMCP FP Equity_DX_SHORT_INTEREST_VALUE,SMCP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SMCP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SMCP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SMCP FP Equity_DX_SI_MV,SMCP FP Equity_DX_DSS,SMCP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SMCP FP Equity_DX_SUPPLY_SI_QTY,SMCP FP Equity_DX_BROKER_SI_QTY,SMCP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SMCP FP Equity_DX_BROKER_SI_MV_NEW_x,SMCP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SMCP FP Equity_DX_SUPPLY_SI_QTY_INC_x,SMCP FP Equity_DX_BROKER_SI_MV_INC_x,SMCP FP Equity_DX_SUPPLY_SI_MV_NEW,SMCP FP Equity_DX_BROKER_SI_QTY_ADD,SMCP FP Equity_DX_BROKER_SI_QTY_NEW,SMCP FP Equity_DX_SUPPLY_SI_MV_DEC,SMCP FP Equity_DX_BROKER_SI_QTY_INC,SMCP FP Equity_DX_SUPPLY_SI_QTY_DEC,SMCP FP Equity_DX_BROKER_SI_MV_NEW_y,SMCP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SMCP FP Equity_DX_BROKER_SI_MV_INC_y,SMCP FP Equity_DX_SUPPLY_SI_QTY_INC_y,SMCP FP Equity_DX_BROKER_SI_MV_ADD,SMCP FP Equity_DX_SUPPLY_SI_QTY_ADD,SMCP FP Equity_DX_BROKER_SI_QTY_DEC,SMCP FP Equity_DX_SUPPLY_SI_MV,SMCP FP Equity_DX_BROKER_SI_MV_DEC,SMCP FP Equity_DX_SUPPLY_SI_MV_RMV,SMCP FP Equity_DX_BROKER_SI_MV_RMV,SMCP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SMCP FP Equity_DX_UTILIZATION_QUANTITY,SMCP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SMCP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SMCP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SMCP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SMCP FP Equity_DX_ACTIVE_UTILIZATION_MV,SMCP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SMCP FP Equity_DX_BROKER_SI_CON_RATIO,SMCP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SMCP FP Equity_DX_DEMAND_SUPPLY_RATIO,SMCP FP Equity_PX_LAST
2017-11-02,3701846.0,77905349.07,12.74,12.47,5.06,77.91,0.0,77905349.07,3001.0,3701846.0,63156.05,,,,,,,,0.13,,6024.0,,,,,,,6024.0,0.06,0.14,,,100.0,0.06,0.0,0.0,,0.0,100.0,0.28,0.9944,99.72,0.79,21.045
2017-11-03,3711866.0,78171897.96,12.78,12.25,5.07,78.12,0.0,78171897.96,13021.0,3711866.0,274222.26,,,10020.0,,,10020.0,,,,,,,,10020.0,0.21,,,0.27,,,,100.0,0.28,0.0,0.0,,0.0,100.0,0.28,0.9891,99.45,0.7907,21.06
2017-11-06,3724553.0,79128128.49,12.82,11.96,5.09,79.14,0.0,79128128.49,25708.0,3724553.0,546166.46,,,2687.0,0.28,,,,,12687.0,,,,0.28,2687.0,,10000.0,,0.54,,,,43.8,0.55,32982.0,700702.59,,0.69,43.93,0.62,0.9823,99.11,0.7963,21.245
2017-11-07,3746846.0,78683766.0,12.9,11.92,5.12,78.72,0.0,78683766.0,48001.0,3746846.0,1008021.0,,,,0.48,,,,,22293.0,,,,0.48,,,22293.0,,1.02,,,,1.03,1.03,4623201.0,97087221.0,,98.06,1.03,1.23,0.9703,98.49,0.8021,21.0
2017-11-08,3746846.0,77709586.04,12.9,11.84,5.12,77.74,0.0,77709586.04,48001.0,3746846.0,995540.74,,,,,,,,,,,,,,,,,,1.0,,,,1.04,1.04,4570222.0,94786404.28,,95.8,1.04,1.23,0.9703,98.49,0.8113,20.74
2017-11-09,3742857.0,75156568.56,12.88,11.65,5.12,75.2,0.0,75156568.56,47991.0,3742857.0,963659.28,,,,,,,,0.01,,10.0,,,,,,,3989.0,0.98,0.09,,,1.04,1.04,4573822.0,91842345.76,,94.43,1.03,1.25,0.9719,98.58,0.8098,20.08
2017-11-10,3750369.0,75607439.04,12.91,11.35,5.13,75.62,0.0,75607439.04,47991.0,3750369.0,967498.56,,,,0.15,,,,,7512.0,,,,0.15,,,,,0.96,,,,6.26,1.04,718634.0,14487661.44,,14.43,6.26,1.21,0.9689,98.43,0.8126,20.16
2017-11-13,3700927.0,75869003.5,12.74,10.96,5.06,75.87,0.0,75869003.5,1513.0,3700927.0,31016.5,,,,,,,,0.93,,46478.0,,,,,,,49442.0,0.03,1.01,,,100.0,0.03,0.0,0.0,,0.0,100.0,0.24,0.9952,99.76,0.804,20.5
2017-11-14,3700927.0,75850498.86,12.74,10.91,5.06,75.85,0.0,75850498.86,1513.0,3700927.0,31008.94,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.03,0.0,0.0,,0.0,100.0,0.24,0.9951,99.76,0.8026,20.495
2017-11-15,3700927.0,74740220.77,12.74,10.84,5.06,75.85,0.0,74740220.77,1513.0,3700927.0,30555.04,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.03,0.0,0.0,,0.0,100.0,0.24,0.9951,99.76,0.8023,20.195
2017-11-16,3701869.0,75906823.85,12.74,10.71,5.06,74.76,0.0,75906823.85,2455.0,3701869.0,50339.78,,,,0.02,,,,,942.0,,,,0.02,,,942.0,,0.05,,,,5.52,0.06,42040.0,862030.2,,0.85,5.56,0.27,0.9946,99.73,0.8801,20.505
2017-11-17,3701869.0,76073407.95,12.74,10.67,5.06,75.91,0.0,76073407.95,2455.0,3701869.0,50450.25,,,,,,,,,,,,,,,,,,0.05,,,,5.52,0.06,42040.0,863922.0,,0.86,5.53,0.27,0.9946,99.73,0.8785,20.55
2017-11-20,3701869.0,75147940.7,12.74,10.61,5.06,75.15,0.0,75147940.7,2455.0,3701869.0,49836.5,,,,,,,,,,,,,,,,,,0.05,,,,5.52,0.06,42040.0,853412.0,,0.87,5.47,0.27,0.9945,99.73,0.9265,20.3
2017-11-21,3698424.0,74745149.04,12.73,10.58,5.05,74.75,0.0,74745149.04,2455.0,3698424.0,49615.55,,,,,,,,,,,,,,,,,3445.0,0.05,0.07,,,5.52,0.06,42040.0,849628.4,,0.85,5.5,0.18,0.9964,99.82,0.8912,20.21
2017-11-22,7522.0,153975.34,0.03,0.02,0.01,0.15,0.0,153975.34,2455.0,7522.0,50253.85,,,,0.02,,,,,1000.0,,,,0.02,,,,3691902.0,0.05,74.61,,,5.52,0.06,42040.0,860558.8,,0.84,5.59,,1.0,100.0,0.0018,20.47
2017-11-23,14899.0,304535.56,0.05,0.04,0.02,0.31,0.0,304535.56,9832.0,14899.0,200966.08,,,7377.0,0.16,,,,,7377.0,,,,0.16,7377.0,,,,0.2,,,,22.1,0.24,34663.0,708511.72,,0.71,22.11,,1.0,100.0,0.0036,20.44
2017-11-24,14377.0,291134.25,0.05,0.04,0.02,0.3,0.0,291134.25,7377.0,14377.0,149384.25,,,,,,6000.0,,0.05,,2455.0,,,,,0.12,,6522.0,0.15,0.13,,,17.16,0.18,35605.0,721001.25,,0.72,17.16,40.61,0.5176,59.39,0.0035,20.25
2017-11-27,11869.0,240940.7,0.04,0.03,0.02,0.25,0.0,240940.7,4869.0,11869.0,98840.7,,,,,,,,0.05,,2508.0,,,,,,,2508.0,0.1,0.05,,,11.33,0.12,38113.0,773693.9,,0.77,11.33,49.41,0.5001,50.59,0.0029,20.3
2017-11-28,11869.0,240347.25,0.04,0.03,0.02,0.25,0.0,240347.25,4869.0,11869.0,98597.25,,,,,,,,,,,,,,,,,,0.1,,,,11.33,0.12,38113.0,771788.25,,0.78,11.33,49.36,0.5001,50.64,0.0029,20.25
2017-11-29,11869.0,251622.8,0.04,0.03,0.02,0.25,0.0,251622.8,4869.0,11869.0,103222.8,,,,,,,,,,,,,,,,,,0.1,,,,11.33,0.12,38113.0,807995.6,,0.77,11.33,49.49,0.5001,50.51,0.0029,21.2
2017-11-30,5869.0,119903.67,0.02,0.02,0.01,0.13,0.0,119903.67,4869.0,5869.0,99473.67,,,,,,,,,,,,,,,,,6000.0,0.1,0.12,,,11.33,0.12,38113.0,778648.59,,0.8,11.33,,1.0,100.0,0.0014,20.43
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.1,,4869.0,,,,,,,5869.0,0.0,0.13,,,0.0,0.0,4569778.0,90961431.09,,93.23,0.0,,0.0,,0.0,19.905
2017-12-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4958649.0,94734989.15,,98.33,0.0,,0.0,,0.0,19.105
2017-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4965557.0,93352471.6,,94.7,0.0,,0.0,,0.0,18.8
2017-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4963151.0,93605027.86,,93.41,0.0,,0.0,,0.0,18.86
2017-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5175040.0,98325760.0,,97.73,0.0,,0.0,,0.0,19.0
2017-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5161259.0,100696163.09,,98.39,0.0,,0.0,,0.0,19.51
2017-12-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5159759.0,100924886.04,,100.51,0.0,,0.0,,0.0,19.56
2017-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5159759.0,100615300.5,,101.02,0.0,,0.0,,0.0,19.5
2017-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5234378.0,104425841.1,,102.13,0.0,,0.0,,0.0,19.95
2017-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5234322.0,104163007.8,,104.19,0.0,,0.0,,0.0,19.9
2017-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5287922.0,104013425.74,,105.17,0.0,,0.0,,0.0,19.67
2017-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5281493.0,103992597.17,,103.84,0.0,,0.0,,0.0,19.69
2017-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255854.0,104223584.82,,103.43,0.0,,0.0,,0.0,19.83
2017-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255854.0,104302422.63,,104.07,0.0,,0.0,,0.0,19.845
2017-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255854.0,103881954.31,,104.35,0.0,,0.0,,0.0,19.765
2017-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255854.0,103461485.99,,103.93,0.0,,0.0,,0.0,19.685
2017-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255854.0,103461485.99,,103.64,0.0,,0.0,,0.0,
2017-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255658.0,103457627.73,,103.45,0.0,,0.0,,0.0,
2017-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255658.0,100488180.96,,103.3,0.0,,0.0,,0.0,19.12
2017-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255658.0,101040025.05,,100.37,0.0,,0.0,,0.0,19.225
2017-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255658.0,101171416.5,,100.82,0.0,,0.0,,0.0,19.25
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5255658.0,101171416.5,,100.99,0.0,,0.0,,0.0,
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5350048.0,102720921.6,,102.81,0.0,,0.0,,0.0,19.2
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5350048.0,103095424.96,,102.8,0.0,,0.0,,0.0,19.27
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5350048.0,103523428.8,,103.03,0.0,,0.0,,0.0,19.35
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5350048.0,103362927.36,,103.53,0.0,,0.0,,0.0,19.32
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5353043.0,104277277.64,,103.66,0.0,,0.0,,0.0,19.48
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5353964.0,104295218.72,,104.41,0.0,,0.0,,0.0,19.48
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5353964.0,104134599.8,,104.19,0.0,,0.0,,0.0,19.45
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5352995.0,104383402.5,,104.03,0.0,,0.0,,0.0,19.5
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5352592.0,104107914.4,,103.88,0.0,,0.0,,0.0,19.45
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5352419.0,103826223.76,,103.76,0.0,,0.0,,0.0,19.398
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5352419.0,104372170.5,,103.93,0.0,,0.0,,0.0,19.5
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5352419.0,102670101.26,,104.25,0.0,,0.0,,0.0,19.182
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5387350.0,102736764.5,,103.26,0.0,,0.0,,0.0,19.07
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5435039.0,102722237.1,,103.59,0.0,,0.0,,0.0,18.9
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5434230.0,101533153.32,,102.45,0.0,,0.0,,0.0,18.684
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5448100.0,100789850.0,,101.54,0.0,,0.0,,0.0,18.5
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5427559.0,97696062.0,,99.76,0.0,,0.0,,0.0,18.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5330256.0,98897569.82,,96.01,0.0,,0.0,,0.0,18.554
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5272338.0,99383571.3,,98.17,0.0,,0.0,,0.0,18.85
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5301493.0,98713799.66,,99.88,0.0,,0.0,,0.0,18.62
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5410212.0,103876070.4,,101.06,0.0,,0.0,,0.0,19.2
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5508568.0,108254378.34,,106.13,0.0,,0.0,,0.0,19.652
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5792492.0,115849840.0,,113.96,0.0,,0.0,,0.0,20.0
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5844960.0,116314704.0,,116.84,0.0,,0.0,,0.0,19.9
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5867462.0,117935986.2,,117.15,0.0,,0.0,,0.0,20.1
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6129892.0,120624014.78,,122.98,0.0,,0.0,,0.0,19.678
2018-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6140006.0,123444820.63,,121.47,0.0,,0.0,,0.0,20.105
2018-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6140213.0,125045437.75,,123.82,0.0,,0.0,,0.0,20.365
2018-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6340459.0,127126202.95,,128.87,0.0,,0.0,,0.0,20.05
2018-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6363393.0,129272328.8,,127.63,0.0,,0.0,,0.0,20.315
2018-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6367448.0,127539983.44,,128.81,0.0,,0.0,,0.0,20.03
2018-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6454420.0,131896072.7,,129.27,0.0,,0.0,,0.0,20.435
2018-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6465638.0,131899015.2,,131.7,0.0,,0.0,,0.0,20.4
2018-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6502067.0,131569325.75,,132.7,0.0,,0.0,,0.0,20.235
2018-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6518782.0,132070523.32,,132.12,0.0,,0.0,,0.0,20.26
2018-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6519182.0,132209010.96,,132.29,0.0,,0.0,,0.0,20.28
2018-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6690172.0,136780566.54,,136.06,0.0,,0.0,,0.0,20.445
2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6788953.0,138223083.08,,138.7,0.0,,0.0,,0.0,20.36
2018-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6788948.0,140123886.72,,138.6,0.0,,0.0,,0.0,20.64
2018-02-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6814306.0,140374703.6,,140.5,0.0,,0.0,,0.0,20.6
