,VRLA FP Equity_DX_SI_QTY,VRLA FP Equity_DX_SHORT_INTEREST_VALUE,VRLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VRLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VRLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VRLA FP Equity_DX_SI_MV,VRLA FP Equity_DX_DSS,VRLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VRLA FP Equity_DX_SUPPLY_SI_QTY,VRLA FP Equity_DX_BROKER_SI_QTY,VRLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VRLA FP Equity_DX_BROKER_SI_MV_NEW_x,VRLA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VRLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,VRLA FP Equity_DX_BROKER_SI_MV_INC_x,VRLA FP Equity_DX_SUPPLY_SI_MV_NEW,VRLA FP Equity_DX_BROKER_SI_QTY_ADD,VRLA FP Equity_DX_BROKER_SI_QTY_NEW,VRLA FP Equity_DX_SUPPLY_SI_MV_DEC,VRLA FP Equity_DX_BROKER_SI_QTY_INC,VRLA FP Equity_DX_SUPPLY_SI_QTY_DEC,VRLA FP Equity_DX_BROKER_SI_MV_NEW_y,VRLA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VRLA FP Equity_DX_BROKER_SI_MV_INC_y,VRLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,VRLA FP Equity_DX_BROKER_SI_MV_ADD,VRLA FP Equity_DX_SUPPLY_SI_QTY_ADD,VRLA FP Equity_DX_BROKER_SI_QTY_DEC,VRLA FP Equity_DX_SUPPLY_SI_MV,VRLA FP Equity_DX_BROKER_SI_MV_DEC,VRLA FP Equity_DX_SUPPLY_SI_MV_RMV,VRLA FP Equity_DX_BROKER_SI_MV_RMV,VRLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VRLA FP Equity_DX_UTILIZATION_QUANTITY,VRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VRLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VRLA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VRLA FP Equity_DX_ACTIVE_UTILIZATION_MV,VRLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VRLA FP Equity_DX_BROKER_SI_CON_RATIO,VRLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VRLA FP Equity_DX_DEMAND_SUPPLY_RATIO,VRLA FP Equity_PX_LAST
2019-11-12,135000.0,3685500.0,0.11,1.75,0.11,3.68,0.0,1911000.0,70000.0,70000.0,1911000.0,,,,,,,,,,,,,,,,,,1.91,,,,0.77,0.77,9070674.0,247629400.2,,247.25,0.77,11.11,0.5751,74.1,0.0148,27.3
2019-11-13,145000.0,4100600.0,0.12,1.86,0.12,3.97,0.0,2262400.0,70000.0,80000.0,1979600.0,,,,,,10000.0,,,,,,,,,0.28,,,1.92,,,,0.76,0.76,9083549.0,256882765.72,,248.7,0.76,10.32,0.4992,68.67,0.0158,28.28
2019-11-14,155000.0,4358600.0,0.13,1.92,0.13,4.33,0.0,2530800.0,80000.0,90000.0,2249600.0,,,10000.0,,,10000.0,,,,,,,,10000.0,0.28,,,2.26,,,,0.87,0.87,9073781.0,255154721.72,,255.84,0.87,9.8,0.4405,64.18,0.0169,28.12
2019-11-15,162645.0,4669537.95,0.14,1.96,0.14,4.59,0.0,2803387.95,80000.0,97645.0,2296800.0,,,,,,7645.0,,,,,,,,,0.22,,,2.25,,,,0.88,0.88,9030167.0,259256094.57,,253.86,0.88,9.19,0.4031,61.33,0.0179,28.71
2019-11-18,162645.0,4643514.75,0.14,2.98,0.14,4.66,0.0,2787764.75,80000.0,97645.0,2284000.0,,,,,,,,,,,,,,,,,,2.29,,,,0.88,0.88,9040359.0,258102249.45,,259.39,0.88,9.24,0.4054,61.53,0.0178,28.55
2019-11-19,172645.0,5049866.25,0.15,3.15,0.15,4.96,0.0,3002366.25,85000.0,102645.0,2486250.0,,,5000.0,0.14,,,,,5000.0,,,,0.14,5000.0,,,,2.44,,,,0.93,0.93,9053989.0,264829178.25,,259.68,0.93,11.53,0.3696,57.79,0.0189,29.25
2019-11-20,157000.0,4537300.0,0.13,3.02,0.13,4.56,0.0,2514300.0,85000.0,87000.0,2456500.0,,,,,,,,,,,,,,,,,15645.0,2.48,0.45,,,0.93,0.93,9066008.0,262007631.2,,264.97,0.93,12.84,0.4408,63.44,0.0172,28.9
2019-11-21,171867.0,5087263.2,0.54,3.27,0.15,4.99,0.0,2902783.2,93800.0,98067.0,2776480.0,,,,0.16,,6067.0,,,5000.0,,,,0.16,,0.18,8800.0,,2.72,,,,1.02,1.02,9086959.0,268973986.4,,263.19,1.02,11.59,0.3968,60.13,0.0187,29.6
2019-11-22,161867.0,4896476.75,0.5,3.01,0.14,4.82,0.0,2664026.75,83800.0,88067.0,2534950.0,,,,,,,,0.29,,10000.0,,,,,,,10000.0,2.5,0.3,,,0.91,0.91,9108593.0,275534938.25,,270.85,0.91,12.36,0.4446,63.94,0.0176,30.25
2019-11-25,161867.0,5030826.36,0.5,3.27,0.14,4.92,0.0,2737122.36,83800.0,88067.0,2604504.0,,,,,,,,,,,,,,,,,,2.54,,,,0.91,0.91,9099126.0,282800836.08,,275.86,0.91,12.33,0.4444,63.92,0.0176,31.08
2019-11-26,159400.0,4786782.0,0.5,3.3,0.13,4.95,0.0,2570568.0,83800.0,85600.0,2516514.0,,,,,,3000.0,,,,,,,,,0.09,,5467.0,2.6,0.17,,,0.92,0.92,9028585.0,271128407.55,,279.56,0.92,12.56,0.4605,65.16,0.0175,30.03
2019-11-27,171191.0,5026167.76,0.53,3.68,0.14,5.14,0.0,2668559.76,93300.0,90891.0,2739288.0,,,3000.0,,,5291.0,,,,,,,,3000.0,0.16,6500.0,,2.8,,,,1.02,1.02,9027088.0,265035303.68,,270.73,1.02,11.69,0.401,60.62,0.0188,29.36
2019-11-28,167391.0,4949751.87,0.52,3.63,0.14,4.95,0.0,2687646.87,89500.0,90891.0,2646515.0,,,,,,,,0.11,,3800.0,,,,,,,,2.63,,,,1.04,1.04,8512687.0,251720154.59,,249.96,1.04,11.85,0.3931,59.86,0.0195,29.57
2019-11-29,117391.0,3547556.02,0.37,2.61,0.1,3.49,0.0,1235726.02,89500.0,40891.0,2704690.0,,,,,,,,,,,,,,,,,50000.0,2.65,1.5,,,1.04,1.04,8537794.0,258012134.68,,253.26,1.04,16.96,0.2509,42.35,0.0136,30.22
2019-12-02,117391.0,3553425.57,0.37,2.68,0.1,3.54,0.0,1237770.57,89500.0,40891.0,2709165.0,,,,,,,,,,,,,,,,,,2.69,,,,1.04,1.04,8480627.0,256708579.29,,255.37,1.04,17.06,0.2515,42.41,0.0137,30.27
2019-12-03,155600.0,4622876.0,0.49,3.73,0.13,4.71,0.0,2543176.0,83000.0,85600.0,2465930.0,,,,,,50000.0,,0.2,,6500.0,,,,,1.51,,5291.0,2.51,0.16,,,0.96,0.96,8520438.0,253142212.98,,257.48,0.96,12.85,0.4504,64.24,0.0181,29.71
2019-12-04,159409.0,4764735.01,0.5,4.14,0.13,4.75,0.0,2558584.0,86809.0,85600.0,2594721.01,,,3809.0,,,,,,,,,,,3809.0,,,,2.58,,,,1.01,1.01,8543332.0,255360193.48,,254.3,1.0,12.52,0.4285,62.6,0.0185,29.89
2019-12-05,109409.0,3277893.64,0.34,3.16,0.09,3.28,0.0,2564576.0,36809.0,85600.0,1102797.64,,,,,,,,1.49,,50000.0,,,,,,,,1.1,,,,0.43,0.43,8608332.0,257905626.72,,257.21,0.43,18.24,0.2855,45.6,0.0127,29.96
2019-12-06,59409.0,1772764.56,0.19,1.82,0.05,1.79,0.0,1062304.0,36809.0,35600.0,1098380.56,,,,,,,,,,,,,,,,,50000.0,1.1,1.49,,,0.43,0.43,8608332.0,256872626.88,,258.21,0.43,33.52,0.2624,33.61,0.0069,29.84
2019-12-09,59409.0,1782270.0,0.19,1.83,0.05,1.78,0.0,1068000.0,36809.0,35600.0,1104270.0,,,,,,,,,,,,,,,,,,1.1,,,,0.43,0.43,8610273.0,258308190.0,,257.09,0.43,33.45,0.2618,33.5,0.0069,30.0
2019-12-10,59409.0,1784052.27,0.19,1.8,0.05,1.79,0.0,1069068.0,36809.0,35600.0,1105374.27,,,,,,,,,,,,,,,,,,1.1,,,,0.43,0.43,8610915.0,258585777.45,,258.04,0.43,33.48,0.262,33.55,0.0069,30.03
2019-12-11,59409.0,1797122.25,0.19,1.82,0.05,1.79,0.0,1076900.0,36809.0,35600.0,1113472.25,,,,,,,,,,,,,,,,,,1.1,,,,0.42,0.42,8634571.0,261195772.75,,258.99,0.42,33.39,0.2616,33.52,0.0069,30.25
2019-12-12,59409.0,1800092.7,0.19,1.84,0.05,1.8,0.0,1078680.0,36809.0,35600.0,1115312.7,,,,,,,,,,,,,,,,,,1.11,,,,0.42,0.42,8651812.0,262149903.6,,260.92,0.42,33.42,0.2618,33.55,0.0068,30.3
2019-12-13,58809.0,1793674.5,0.18,1.81,0.05,1.79,0.0,1067500.0,36809.0,35000.0,1122674.5,,,,,,,,,,,,,,,,,600.0,1.12,0.02,,,0.42,0.42,8654325.0,263956912.5,,262.26,0.42,33.81,0.2669,33.81,0.0068,30.5
2019-12-16,63971.0,1951115.5,0.2,1.92,0.05,1.96,0.0,1224941.0,36809.0,40162.0,1122674.5,,,,,,5162.0,,,,,,,,,0.16,,,1.12,,,,0.42,0.42,8675906.0,264615133.0,,264.41,0.42,31.13,0.2326,31.15,0.0073,30.5
2019-12-17,63971.0,1947916.95,0.2,1.93,0.05,1.96,0.0,1222932.9,36809.0,40162.0,1120834.05,,,,,,,,,,,,,,,,,,1.12,,,,0.42,0.42,8685475.0,264472713.75,,264.73,0.42,31.13,0.2326,31.17,0.0073,30.45
2019-12-18,63971.0,1951115.5,0.2,1.94,0.05,1.96,0.0,1224941.0,36809.0,40162.0,1122674.5,,,,,,,,,,,,,,,,,,1.12,,,,0.42,0.42,8686853.0,264949016.5,,264.91,0.42,31.09,0.2326,31.2,0.0073,30.5
2019-12-19,58809.0,1796614.95,0.18,1.81,0.05,1.8,0.0,1069250.0,36809.0,35000.0,1124514.95,,,,,,,,,,,,,,,,,5162.0,1.12,0.16,,,0.42,0.42,8681911.0,265232381.05,,264.2,0.42,33.85,0.2673,33.86,0.0067,30.55
2019-12-20,62859.0,1895198.85,0.2,1.89,0.05,1.93,0.0,1177357.5,40859.0,39050.0,1231898.85,,,,,,4050.0,,,,,,,,,0.13,4050.0,,1.25,,,,0.47,0.47,8664485.0,261234222.75,,264.94,0.47,31.64,0.2379,31.75,0.0072,30.15
2019-12-23,61509.0,1885250.85,0.19,1.86,0.05,1.87,0.0,1155505.0,39509.0,37700.0,1210950.85,,,,,,,,0.04,,1350.0,,,,,,,1350.0,1.2,0.04,,,0.45,0.45,8675354.0,265899600.1,,262.58,0.45,32.17,0.2445,32.18,0.0071,30.65
2019-12-24,61509.0,1876024.5,0.06,1.8,0.05,1.9,0.0,1149850.0,39509.0,37700.0,1205024.5,,,,,,,,,,,,,,,,,,1.21,,,,0.45,0.45,8676231.0,264625045.5,,263.58,0.46,32.34,0.2456,32.34,0.0071,30.5
2019-12-25,61509.0,1876024.5,0.16,1.83,0.05,1.89,0.0,1149850.0,39509.0,37700.0,1205024.5,,,,,,,,,,,,,,,,,,1.2,,,,0.45,0.45,8676231.0,264625045.5,,263.52,0.45,32.28,0.2453,32.3,0.0071,
2019-12-26,61509.0,1876024.5,0.16,1.83,0.05,1.89,0.0,1149850.0,39509.0,37700.0,1205024.5,,,,,,,,,,,,,,,,,,1.2,,,,0.45,0.45,8697130.0,265262465.0,,265.05,0.45,32.29,0.2454,32.32,0.007,
2019-12-27,58809.0,1781912.7,0.15,1.75,0.05,1.79,0.0,1060500.0,36809.0,35000.0,1115312.7,,,,,,,,0.08,,2700.0,,,,,,,2700.0,1.11,0.09,,,0.42,0.42,8698204.0,263555581.2,,264.14,0.42,33.76,0.2676,34.03,0.0067,30.3
2019-12-30,58809.0,1796614.95,0.15,1.84,0.05,1.79,0.0,1069250.0,36809.0,35000.0,1124514.95,,,,,,,,,,,,,,,,,,1.11,,,,0.42,0.42,8711938.0,266149705.9,,263.89,0.42,33.73,0.2668,33.84,0.0067,30.55
2019-12-31,58809.0,1779560.34,0.15,1.96,0.05,1.8,0.0,1059100.0,36809.0,35000.0,1113840.34,,,,,,,,,,,,,,,,,,1.12,,,,0.42,0.42,8711938.0,263623243.88,,266.04,0.42,33.9,0.2677,33.93,0.0067,30.26
2020-01-01,58809.0,1779560.34,0.15,2.13,0.05,1.79,0.0,1059100.0,36809.0,35000.0,1113840.34,,,,,,,,,,,,,,,,,,1.12,,,,0.42,0.42,8711938.0,263623243.88,,264.92,0.42,33.84,0.2672,33.86,0.0067,
2020-01-02,58809.0,1799555.4,0.15,2.13,0.05,1.8,0.0,1071000.0,36809.0,35000.0,1126355.4,,,,,,,,,,,,,,,,,,1.12,,,,0.42,0.42,8711938.0,266585302.8,,264.88,0.42,33.71,0.2668,33.86,0.0067,30.6
2020-01-03,58809.0,1805436.3,0.15,2.31,0.05,1.81,0.0,1074500.0,36809.0,35000.0,1130036.3,,,,,,,,,,,,,,,,,,1.13,,,,0.42,0.42,8711938.0,267456496.6,,266.94,0.42,33.81,0.2673,33.9,0.0067,30.7
2020-01-06,58809.0,1798379.22,0.15,2.43,0.05,1.81,0.0,1070300.0,36809.0,35000.0,1125619.22,,,,,,,,,,,,,,,,,,1.13,,,,0.42,0.42,8711938.0,266411064.04,,267.09,0.42,33.85,0.2676,33.93,0.0067,30.58
2020-01-07,55809.0,1717242.93,0.15,2.5,0.05,1.72,0.0,984640.0,33809.0,32000.0,1040302.93,,,,,,,,0.09,,3000.0,,,,,,,3000.0,1.04,0.09,,,0.39,0.39,8714938.0,268158642.26,,267.08,0.39,35.58,0.2935,35.69,0.0064,30.77
2020-01-08,50809.0,1558820.12,0.13,2.49,0.04,1.57,0.0,828360.0,33809.0,27000.0,1037260.12,,,,,,,,,,,,,,,,,5000.0,1.04,0.15,,,0.39,0.39,8715342.0,267386692.56,,268.58,0.39,29.36,0.2875,39.27,0.0058,30.68
2020-01-09,49809.0,1535113.38,0.13,2.5,0.04,1.54,0.0,893780.0,30809.0,29000.0,949533.38,,,,0.06,,,,0.1,2000.0,3000.0,,,0.06,,,,,0.95,,,,0.35,0.35,8708465.0,268394891.3,,267.52,0.35,33.9,0.2797,33.94,0.0057,30.82
2020-01-10,51809.0,1588463.94,0.13,2.7,0.04,1.6,0.0,919800.0,31809.0,30000.0,975263.94,,,,0.03,,,,,1000.0,,,,0.03,,,1000.0,,0.98,,,,0.36,0.36,8720711.0,267376999.26,,268.66,0.36,34.59,0.285,34.64,0.0059,30.66
2020-01-13,51809.0,1596235.29,0.13,2.88,0.04,1.6,0.0,924300.0,31809.0,30000.0,980035.29,,,,,,,,,,,,,,,,,,0.98,,,,0.36,0.36,8715700.0,268530717.0,,267.14,0.36,34.49,0.2843,34.56,0.0059,30.81
2020-01-14,51809.0,1593644.84,0.13,2.97,0.04,1.6,0.0,922800.0,31809.0,30000.0,978444.84,,,,,,,,,,,,,,,,,,0.98,,,,0.36,0.36,8721360.0,268269033.6,,268.82,0.36,34.59,0.2848,34.6,0.0059,30.76
2020-01-15,51809.0,1594162.93,0.13,2.96,0.04,1.6,0.0,923100.0,31809.0,30000.0,978762.93,,,,,,,,,,,,,,,,,,0.98,,,,0.36,0.36,8721360.0,268356247.2,,268.02,0.36,34.52,0.2846,34.61,0.0059,30.77
2020-01-16,61809.0,1883320.23,0.16,3.63,0.05,1.91,0.0,1066450.0,36809.0,35000.0,1121570.23,,,5000.0,0.15,,,,,5000.0,,,,0.15,5000.0,,,,1.13,,,,0.42,0.42,8717690.0,265628014.3,,268.21,0.42,37.12,0.3076,37.17,0.0071,30.47
2020-01-17,61809.0,1888264.95,0.16,3.82,0.05,1.9,0.0,1069250.0,36809.0,35000.0,1124514.95,,,,,,,,,,,,,,,,,,1.13,,,,0.42,0.42,8712690.0,266172679.5,,266.23,0.42,36.97,0.3067,37.14,0.0071,30.55
2020-01-20,61809.0,1882702.14,0.16,3.79,0.05,1.89,0.0,1066100.0,36809.0,35000.0,1121202.14,,,,,,,,,,,,,,,,,,1.12,,,,0.42,0.42,8695102.0,264852806.92,,265.77,0.42,37.09,0.307,37.09,0.0071,30.46
2020-01-21,61809.0,1866631.8,0.16,3.58,0.05,1.89,0.0,1057000.0,36809.0,35000.0,1111631.8,,,,,,,,,,,,,,,,,,1.12,,,,0.42,0.42,8695102.0,262592080.4,,264.6,0.42,37.13,0.3074,37.14,0.0071,30.2
2020-01-22,61809.0,1888264.95,0.16,3.61,0.05,1.88,0.0,1069250.0,36809.0,35000.0,1124514.95,,,,,,,,,,,,,,,,,,1.12,,,,0.42,0.42,8695102.0,265635366.1,,263.11,0.42,37.03,0.3065,37.05,0.0071,30.55
2020-01-23,61809.0,1929676.98,0.16,3.62,0.05,1.91,0.0,1092700.0,36809.0,35000.0,1149176.98,,,,,,,,,,,,,,,,,,1.13,,,,0.42,0.42,8687161.0,271213166.42,,265.89,0.42,36.85,0.3052,36.92,0.0071,31.22
2020-01-24,61809.0,1953164.4,0.16,3.7,0.05,1.94,0.0,1106000.0,36809.0,35000.0,1163164.4,,,,,,,,,,,,,,,,,,1.15,,,,0.42,0.42,8625731.0,272573099.6,,269.86,0.43,36.94,0.3059,37.0,0.0071,31.6
2020-01-27,61809.0,1966144.29,0.16,3.62,0.05,1.96,0.0,1113350.0,36809.0,35000.0,1170894.29,,,,,,,,,,,,,,,,,,1.17,,,,0.43,0.43,8619958.0,274200863.98,,272.42,0.43,37.0,0.3063,37.02,0.0071,31.81
2020-01-28,61809.0,1993340.25,0.16,3.61,0.05,1.98,0.0,1128750.0,36809.0,35000.0,1187090.25,,,,,,,,,,,,,,,,,,1.17,,,,0.42,0.42,8635820.0,278505195.0,,274.93,0.43,36.92,0.3057,36.96,0.0071,32.25
2020-01-29,61809.0,2069983.41,0.16,3.59,0.05,2.02,0.0,1172150.0,36809.0,35000.0,1232733.41,,,,,,,,,,,,,,,,,,1.2,,,,0.42,0.42,8636041.0,289221013.09,,279.44,0.43,36.72,0.3038,36.76,0.0071,33.49
2020-01-30,211809.0,7029940.71,0.55,12.47,0.18,7.15,0.0,6140150.0,186809.0,185000.0,6200190.71,,,42946.0,,,150000.0,,,,,,,,42946.0,5.08,107054.0,,6.23,,,,2.1,2.1,8702519.0,288836605.61,,290.63,2.1,10.77,0.5304,71.04,0.0238,33.19
2020-01-31,203073.0,6733900.68,0.53,12.09,0.17,6.84,0.0,5844914.24,178073.0,176264.0,5904900.68,,,,,,,,0.31,,8736.0,,,,,,,8736.0,5.88,0.3,,,2.06,2.06,8482588.0,281282618.08,,280.6,2.05,11.16,0.5171,69.95,0.0234,33.16
2020-02-03,203073.0,6742023.6,0.53,11.86,0.17,6.78,0.0,5851964.8,178073.0,176264.0,5912023.6,,,,0.21,,,,,2168.0,,,,0.21,,,2168.0,,5.91,,,,2.0,2.0,8723816.0,289630691.2,,285.91,2.02,11.27,0.5134,69.65,0.0228,33.2
2020-02-04,219275.0,7374218.25,0.57,11.95,0.19,7.55,0.0,6472631.58,194275.0,192466.0,6533468.25,,,14034.0,0.49,,,,,14034.0,,,,0.49,14034.0,,,,6.46,,,,2.18,2.18,8707823.0,292844087.49,,289.68,2.18,10.12,0.5505,72.63,0.0246,33.63
2020-02-05,133302.0,4582922.76,0.35,7.58,0.11,4.59,0.0,3661229.34,108302.0,106493.0,3723422.76,,,,,,,,2.84,,85973.0,,,,,,,85973.0,3.66,3.0,,,1.22,1.22,8802228.0,302620598.64,,296.97,1.22,16.9,0.3583,54.26,0.015,34.38
2020-02-06,124118.0,4249800.32,0.32,7.28,0.1,4.31,0.0,3331860.16,99118.0,97309.0,3393800.32,,,,,,,,0.29,,9184.0,,,,,,,9184.0,3.41,0.32,,,1.11,1.11,8811528.0,301706718.72,,302.96,1.11,18.4,0.33,50.45,0.0139,34.24
2020-02-07,140118.0,4762610.82,0.37,8.87,0.12,4.91,0.0,3579452.91,107118.0,105309.0,3640940.82,,,,,,8000.0,,,,,,,,,0.27,8000.0,,3.67,,,,1.2,1.2,8809853.0,299446903.47,,301.8,1.2,16.08,0.2719,45.64,0.0157,33.99
