,IPN FP Equity_DX_SI_QTY,IPN FP Equity_DX_SHORT_INTEREST_VALUE,IPN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,IPN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IPN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IPN FP Equity_DX_SI_MV,IPN FP Equity_DX_DSS,IPN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IPN FP Equity_DX_SUPPLY_SI_QTY,IPN FP Equity_DX_BROKER_SI_QTY,IPN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IPN FP Equity_DX_BROKER_SI_MV_NEW_x,IPN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,IPN FP Equity_DX_SUPPLY_SI_QTY_INC_x,IPN FP Equity_DX_BROKER_SI_MV_INC_x,IPN FP Equity_DX_SUPPLY_SI_MV_NEW,IPN FP Equity_DX_BROKER_SI_QTY_ADD,IPN FP Equity_DX_BROKER_SI_QTY_NEW,IPN FP Equity_DX_SUPPLY_SI_MV_DEC,IPN FP Equity_DX_BROKER_SI_QTY_INC,IPN FP Equity_DX_SUPPLY_SI_QTY_DEC,IPN FP Equity_DX_BROKER_SI_MV_NEW_y,IPN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,IPN FP Equity_DX_BROKER_SI_MV_INC_y,IPN FP Equity_DX_SUPPLY_SI_QTY_INC_y,IPN FP Equity_DX_BROKER_SI_MV_ADD,IPN FP Equity_DX_SUPPLY_SI_QTY_ADD,IPN FP Equity_DX_BROKER_SI_QTY_DEC,IPN FP Equity_DX_SUPPLY_SI_MV,IPN FP Equity_DX_BROKER_SI_MV_DEC,IPN FP Equity_DX_SUPPLY_SI_MV_RMV,IPN FP Equity_DX_BROKER_SI_MV_RMV,IPN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IPN FP Equity_DX_UTILIZATION_QUANTITY,IPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IPN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IPN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,IPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IPN FP Equity_DX_ACTIVE_UTILIZATION_MV,IPN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,IPN FP Equity_DX_BROKER_SI_CON_RATIO,IPN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,IPN FP Equity_DX_DEMAND_SUPPLY_RATIO,IPN FP Equity_PX_LAST
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39
2006-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2
2006-01-11,10000.0,202449.17,0.01,0.1,0.01,0.24,0.0,202449.17,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,981339.0,19867126.41,,23.65,0.0,,1.0,100.0,0.0102,26.15
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.48
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7
2006-01-18,10000.0,204384.63,0.01,0.09,0.01,0.24,0.0,204384.63,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1016413.0,20773919.34,,24.48,0.0,,1.0,100.0,0.0098,26.4
2006-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15
2006-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4
2006-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.98
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,0.24,,,0.0,0.0,901084.0,18130753.81,,23.42,0.0,,0.0,,0.0,25.99
2006-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.69
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4
2006-02-01,9440.0,184169.13,0.01,0.21,0.01,0.24,0.0,0.0,9440.0,0.0,184169.13,,,,,,,,,,,,,,,,9440.0,,0.24,,,,1.02,1.02,912503.0,17802424.18,,23.09,1.02,,1.0,100.0,0.0102,25.2
2006-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6
2006-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2
2006-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.82
2006-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
2006-02-08,10000.0,196487.95,0.01,0.21,0.01,0.24,0.0,196487.95,0.0,10000.0,0.0,,,,,,10000.0,,0.24,,9440.0,,,,,0.24,,,0.0,,,,0.0,0.0,933527.0,18342680.62,,22.65,0.0,,1.0,100.0,0.0107,25.38
2006-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.89
2006-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.15
2006-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05
2006-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.34
2006-02-15,10000.0,202449.17,0.01,0.18,0.01,0.24,0.0,202449.17,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,901345.0,18247654.54,,21.99,0.0,,1.0,100.0,0.0111,26.15
2006-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4
2006-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2006-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8
2006-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1
2006-02-22,10000.0,203533.03,0.01,0.24,0.01,0.24,0.0,203533.03,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,862103.0,17546643.22,,20.95,0.0,,1.0,100.0,0.0116,26.29
2006-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.99
2006-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
2006-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.65
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5
2006-03-01,21000.0,470665.28,0.02,0.47,0.02,0.55,0.0,470665.28,0.0,21000.0,0.0,,,,0.31,,,,,11000.0,,,,0.31,,,,,0.0,,,,0.0,0.0,925221.0,20736638.31,,24.57,0.0,,1.0,100.0,0.0227,28.95
2006-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.65
2006-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.87
2006-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.35
2006-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2
2006-03-08,55550.0,1271685.42,0.07,1.16,0.07,1.55,0.0,1271685.42,0.0,55550.0,0.0,,,,1.0,,,,,34550.0,,,,1.0,,,,,0.0,,,,0.0,0.0,881858.0,20188046.05,,24.79,0.0,,1.0,100.0,0.063,29.57
2006-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6
2006-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5
2006-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7
2006-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
2006-03-15,57321.0,1320216.12,0.07,0.95,0.07,1.6,0.0,1279426.48,1771.0,55550.0,40789.64,,,,,,,,,,,,,,,,1771.0,,0.05,,,,0.2,0.2,879069.0,20246699.56,,24.93,0.2,,1.0,100.0,0.0651,29.75
2006-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.98
2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9
2006-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2006-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0
2006-03-22,57307.0,1419717.56,0.07,0.61,0.07,1.6,0.0,1376189.83,1757.0,55550.0,43527.73,,,,,,,,0.0,,14.0,,,,,,,,0.05,,,,0.19,0.19,934728.0,23156852.73,,26.67,0.18,,1.0,100.0,0.0612,32.0
2006-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25
2006-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.02
2006-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.55
2006-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
2006-03-29,57501.0,1500201.52,0.07,0.61,0.07,1.6,0.0,1449299.92,1951.0,55550.0,50901.6,,,194.0,,,,,,,,,,,194.0,,,,0.05,,,,0.2,0.2,964287.0,25158255.07,,27.79,0.2,,1.0,100.0,0.0595,33.7
2006-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.09
2006-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.75
2006-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7
2006-04-05,58852.0,1517224.21,0.07,0.62,0.07,1.64,0.0,1462208.97,3292.0,56718.0,84868.86,,,1090.0,,,1168.0,,,,,,,,1090.0,0.03,251.0,,0.09,,,,0.34,0.34,967438.0,24940874.6,,27.77,0.33,2.05,0.9496,97.42,0.0606,33.3
2006-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.12
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.54
2006-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.42
2006-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.75
2006-04-12,762684.0,18953698.64,0.91,8.02,0.91,23.47,0.0,2997465.94,643155.0,120616.0,15983246.08,,,,2.13,,,,0.0,64000.0,188.0,,,2.13,,,640051.0,102.0,19.79,0.0,,,70.9,70.9,263924.0,6558857.88,,8.45,70.07,0.14,0.9965,99.83,0.8408,32.1
2006-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.75
2006-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5
2006-04-19,733477.0,18029120.14,0.87,8.18,0.87,22.57,0.0,2963554.28,613929.0,120566.0,15090588.66,,,,,,,,0.9,,29226.0,,,,,,,50.0,18.89,0.0,,,68.65,68.65,280369.0,6891567.68,,8.74,68.36,0.14,0.9965,99.83,0.8202,31.75
2006-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1
2006-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
2006-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.15
2006-04-26,926247.0,25098002.71,1.1,10.62,1.1,30.61,1.0,8280078.07,621691.0,305578.0,16845617.21,,,7762.0,6.39,,,,,185012.0,,,,6.39,7762.0,,,,20.54,,,,67.71,67.71,296435.0,8032335.26,,10.04,67.16,0.11,0.9972,99.86,1.0088,35.0
2006-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.11
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5
2006-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.25
2006-05-03,1648462.0,43455060.59,1.96,21.41,1.96,55.57,1.0,25741436.41,672989.0,976498.0,17740644.17,,,6.0,0.02,,670316.0,,0.0,632.0,9622.0,,,0.02,6.0,22.8,60913.0,28.0,22.69,0.0,,,96.82,75.61,22087.0,582234.79,,0.0,266032.75,40.74,0.4716,55.16,1.852,34.05
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.27
2006-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.01
2006-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5
2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5
2006-05-10,1433166.0,37069546.7,1.71,21.63,1.71,47.48,1.0,21371623.15,607910.0,826260.0,15723892.51,,,,,,,,2.55,,65078.0,,,,,,,150238.0,20.14,5.14,,,85.03,60.16,107052.0,2768952.87,,0.0,0.0,46.82,0.4975,52.75,1.4182,33.41
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.69
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5
2006-05-17,1422644.0,33867696.55,1.69,24.1,1.69,44.53,1.0,19323701.48,611855.0,811710.0,14565920.55,,,4166.0,,,,,0.01,,221.0,,,,4166.0,,,14550.0,19.15,0.42,,,86.05,56.11,99155.0,2360500.2,,0.0,0.0,46.48,0.498,53.1,1.3047,30.75
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.38
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5
2006-05-24,1728351.0,44423659.55,2.06,27.49,2.06,57.14,1.0,28959731.82,602598.0,1126710.0,15488525.42,,,,,,315000.0,,0.0,,15608.0,,,,,10.26,6352.0,,19.92,,,,84.73,64.19,108589.0,2791053.88,,0.0,0.0,38.94,0.3636,42.4,1.8411,33.2
2006-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.06
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.14
2006-05-31,2189966.0,55949423.43,2.61,37.21,2.61,73.05,1.0,39812643.85,636624.0,1558342.0,16264519.97,,,20685.0,0.21,,420072.0,,0.19,12560.0,6100.0,,,0.21,20685.0,14.01,19441.0,1000.0,21.23,0.03,,,88.2,68.13,85191.0,2176466.36,,0.0,4284.74,30.55,0.2721,34.73,2.3437,33.0
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.39
2006-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.32
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.41
2006-06-07,2157751.0,54464812.42,2.57,38.7,2.57,69.44,1.0,39040303.92,617004.0,1546673.0,15574089.47,,,,0.06,,,,1.4,1496.0,20545.0,,,0.06,,,926.0,13166.0,19.86,0.92,,,86.82,53.91,93700.0,2365125.97,,0.0,12419.05,31.02,0.2768,35.1,1.8854,32.0
2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69
2006-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9
2006-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
2006-06-14,1670556.0,43221475.58,1.99,35.54,1.99,53.78,1.0,28207606.71,586194.0,1090254.0,15166309.7,,,5050.0,0.18,,,,1.15,3840.0,35860.0,,,0.18,5050.0,,,460259.0,18.88,14.37,,,80.82,50.43,139106.0,3599021.27,,0.0,5717.23,37.72,0.3661,43.72,1.4372,32.8
2006-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.98
2006-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.28
2006-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.33
2006-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.75
2006-06-21,1382451.0,35789285.74,1.65,34.09,1.65,45.28,1.0,20220148.7,607341.0,781054.0,15723017.01,,,21147.0,0.03,,5000.0,,,800.0,,,,0.03,21147.0,0.16,,315000.0,19.89,9.73,,,48.15,48.15,654014.0,16931300.95,,21.51,48.05,45.06,0.497,54.22,1.096,32.82
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.12
2006-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.11
2006-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.01
2006-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.98
2006-06-28,1323763.0,32891637.81,1.58,29.67,1.58,41.82,1.0,18082532.97,596893.0,727753.0,14831044.81,,,807.0,,,16179.0,,0.92,,12446.0,,,,807.0,0.51,1191.0,69480.0,18.86,3.09,,,39.33,39.33,920650.0,22875459.09,,28.98,39.42,46.51,0.481,51.43,0.8723,31.5
2006-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6
2006-07-03,1312600.0,33131956.74,1.56,28.4,1.56,41.94,1.0,18016403.86,599736.0,713762.0,15138219.72,,,2843.0,0.01,,,,,338.0,,,,0.01,2843.0,,,14329.0,19.16,0.47,,,39.43,39.43,921355.0,23256356.85,,29.37,39.48,46.8,0.4805,51.12,0.8629,32.0
2006-07-04,1282643.0,32820965.17,1.53,28.69,1.53,41.55,1.0,17494528.4,599846.0,683686.0,15349184.98,,,119.0,,,,,0.0,,9.0,,,,119.0,,,30076.0,19.43,0.94,,,39.75,39.75,909032.0,23260804.15,,29.38,39.81,47.91,0.492,51.23,0.8501,32.44
2006-07-05,1288493.0,32523460.56,1.53,29.25,1.53,41.46,1.0,17331426.02,602775.0,686625.0,15214928.56,,,7979.0,0.1,,,,0.16,2940.0,5050.0,,,0.1,7979.0,,,,19.39,,,,38.75,38.75,952646.0,24046187.77,,30.87,38.58,47.65,0.4938,51.64,0.8284,32.0
2006-07-06,1296001.0,32273392.96,1.54,30.27,1.54,40.9,1.0,17150008.02,633475.0,688692.0,15774978.26,,,30700.0,0.84,,,,,25067.0,,,,0.84,30700.0,,,23000.0,19.99,0.75,,,40.53,40.53,929361.0,23143217.29,,29.58,40.33,47.22,0.4738,50.02,0.8293,31.57
2006-07-07,1287270.0,31883354.18,1.53,21.68,1.53,40.44,1.0,16956727.25,628617.0,684617.0,15569708.34,,,,,,,,0.24,,4858.0,,,,,,,4075.0,19.75,0.14,,,40.04,40.04,941476.0,23318661.01,,29.75,39.9,47.55,0.4751,49.85,0.8199,31.4
2006-07-10,1289189.0,31585135.91,1.53,21.61,1.53,40.26,1.0,16669704.86,635013.0,680396.0,15557821.17,,,6396.0,,,,,,,,,,,6396.0,,,4221.0,19.83,0.14,,,40.28,40.28,941377.0,23063740.45,,29.67,40.06,47.45,0.475,49.93,0.8178,31.06
2006-07-11,1278082.0,31252525.61,1.52,21.3,1.52,39.63,1.0,16566028.06,626473.0,677473.0,15318941.57,,,295.0,0.0,,,,0.41,3.0,8836.0,,,0.0,295.0,,,2926.0,19.43,0.11,,,39.58,39.58,956469.0,23388226.98,,29.85,39.42,47.89,0.4771,49.73,0.8074,31.0
