,ATO FP Equity_DX_SI_QTY,ATO FP Equity_DX_SHORT_INTEREST_VALUE,ATO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ATO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ATO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ATO FP Equity_DX_SI_MV,ATO FP Equity_DX_DSS,ATO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ATO FP Equity_DX_SUPPLY_SI_QTY,ATO FP Equity_DX_BROKER_SI_QTY,ATO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ATO FP Equity_DX_BROKER_SI_MV_NEW_x,ATO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ATO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ATO FP Equity_DX_BROKER_SI_MV_INC_x,ATO FP Equity_DX_SUPPLY_SI_MV_NEW,ATO FP Equity_DX_BROKER_SI_QTY_ADD,ATO FP Equity_DX_BROKER_SI_QTY_NEW,ATO FP Equity_DX_SUPPLY_SI_MV_DEC,ATO FP Equity_DX_BROKER_SI_QTY_INC,ATO FP Equity_DX_SUPPLY_SI_QTY_DEC,ATO FP Equity_DX_BROKER_SI_MV_NEW_y,ATO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ATO FP Equity_DX_BROKER_SI_MV_INC_y,ATO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ATO FP Equity_DX_BROKER_SI_MV_ADD,ATO FP Equity_DX_SUPPLY_SI_QTY_ADD,ATO FP Equity_DX_BROKER_SI_QTY_DEC,ATO FP Equity_DX_SUPPLY_SI_MV,ATO FP Equity_DX_BROKER_SI_MV_DEC,ATO FP Equity_DX_SUPPLY_SI_MV_RMV,ATO FP Equity_DX_BROKER_SI_MV_RMV,ATO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ATO FP Equity_DX_UTILIZATION_QUANTITY,ATO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ATO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ATO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ATO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ATO FP Equity_DX_ACTIVE_UTILIZATION_MV,ATO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ATO FP Equity_DX_BROKER_SI_CON_RATIO,ATO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ATO FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-02-01,1300514.0,49045850.57,2.58,5.34,1.86,52.32,1.0,31335982.45,666835.0,830914.0,25148125.87,,,,,,,,2.21,,55906.0,,,,,,25000.0,54314.0,27.04,2.23,,,5.85,5.85,10724072.0,404433349.26,,434.77,5.85,21.62,0.1771,26.96,0.1142
2011-02-02,1285514.0,49844883.59,2.55,5.4,1.84,52.3,1.0,32218094.55,651835.0,830914.0,25274434.74,,,,,,,,0.62,,15000.0,,,,,,,,26.85,,,,5.75,5.75,10689347.0,414471765.28,,440.65,5.74,21.57,0.1773,27.05,0.1133
2011-02-03,1288067.0,49482143.6,2.56,5.31,1.84,54.16,1.0,32304396.67,644388.0,840914.0,24754690.21,,,1234.0,0.42,,,,0.36,10000.0,8681.0,,,0.42,1234.0,,,,27.31,,,,5.68,5.68,10702762.0,411155325.16,,450.2,5.72,21.25,0.176,26.92,0.1135
2011-02-04,1283179.0,50007923.55,2.55,5.27,1.84,53.55,1.0,32629612.92,643154.0,837260.0,25064933.31,,,,0.38,,,,0.06,6346.0,1234.0,,,0.38,,,,10000.0,27.0,0.42,,,5.67,5.67,10709564.0,417372056.28,,447.81,5.69,21.3,0.1768,26.79,0.113
2011-02-07,1284364.0,50242988.67,2.54,4.96,1.84,53.98,1.0,33026928.35,638585.0,844269.0,24980783.42,,,7518.0,0.21,,5850.0,,0.75,3600.0,17937.0,,,0.21,7518.0,0.25,5850.0,2441.0,27.06,0.19,,,5.62,5.62,10724651.0,419537232.98,,452.9,5.64,21.28,0.1765,26.95,0.113
2011-02-08,1280063.0,49815893.03,2.54,4.71,1.83,53.79,1.0,32689876.25,619862.0,839995.0,24123015.1,,,,0.12,,11093.0,,1.16,2553.0,27416.0,,,0.12,,0.49,8693.0,17920.0,26.28,0.73,,,5.45,5.45,10762920.0,418857877.61,,454.66,5.46,21.24,0.1755,27.28,0.1125
2011-02-09,1256121.0,48162547.03,2.49,4.58,1.8,52.48,1.0,31289335.18,607025.0,816053.0,23274724.42,,,,0.93,,,,0.54,21000.0,12837.0,,,0.93,,,,44942.0,25.59,1.95,,,5.31,5.31,10814850.0,414666040.71,,453.43,5.34,21.66,0.1773,27.66,0.11
2011-02-10,1261552.0,47912760.24,2.5,4.63,1.8,52.6,1.0,31014666.14,617354.0,816622.0,23446623.04,,,4862.0,0.47,,,,0.21,10569.0,5102.0,,,0.47,4862.0,,10569.0,10000.0,25.82,0.44,,,5.4,5.4,10823940.0,411084792.47,,449.67,5.43,21.8,0.1756,27.42,0.1103
2011-02-11,971588.0,36967131.39,1.92,3.55,1.39,40.02,1.0,20223355.66,578499.0,531520.0,22010819.96,,,,,,,,1.64,,38855.0,,,,,,,285102.0,23.96,12.04,,,5.05,5.05,10880898.0,413998099.99,,449.11,5.06,26.3,0.1908,31.64,0.0848
2011-02-14,851220.0,32532094.56,1.69,3.06,1.22,35.07,1.0,18608440.64,494627.0,486900.0,18903752.66,,,7949.0,,,,,3.78,,91821.0,,,,7949.0,,,44620.0,20.54,1.86,,,4.33,4.33,10923306.0,417469072.3,,451.8,4.35,27.48,0.1715,27.48,0.0746
2011-02-15,810529.0,30809333.63,1.61,2.93,1.16,33.42,1.0,18997066.23,459583.0,499773.0,17469388.49,,,,0.96,,,,2.82,22997.0,68041.0,,,0.96,,,32997.0,10124.0,19.08,0.43,,,4.02,4.02,10979476.0,417345140.28,,454.04,4.03,28.85,0.1873,29.02,0.0709
2011-02-16,523769.0,19914001.76,1.04,1.9,0.75,21.65,0.0,11763605.82,289826.0,309401.0,11019352.95,,,,,,,,7.08,,169757.0,,,,,,,190372.0,11.96,7.69,,,2.55,2.55,11060561.0,420528956.8,,455.35,2.56,19.74,0.1155,19.8,0.0461
2011-02-17,523769.0,20498928.92,1.04,1.82,0.75,21.64,0.0,12109134.19,289826.0,309401.0,11343020.63,,,,,,,,,,,,,,,,,,11.99,,,,2.58,2.58,10964061.0,429104256.1,,454.89,2.57,19.71,0.1153,19.77,0.0465
2011-02-18,472769.0,18268269.96,0.94,1.61,0.68,19.91,0.0,9984874.7,289826.0,258401.0,11199168.33,,,,,,,,,,,,,,,,,51000.0,12.28,2.14,,,2.59,2.59,10918362.0,421896496.13,,460.34,2.6,22.21,0.1364,22.22,0.0422
2011-02-21,472769.0,17835897.73,0.94,1.6,0.68,19.78,0.0,9748553.33,289826.0,258401.0,10934107.14,,,,,,,,,,,,,,,,,,12.15,,,,2.59,2.59,10909140.0,411563163.8,,454.01,2.61,22.14,0.1363,22.2,0.0422
2011-02-22,500528.0,18811837.12,0.99,1.69,0.72,20.59,0.0,10452143.97,280010.0,278101.0,10523891.79,,,21043.0,0.75,,,,1.38,19700.0,32050.0,,,0.75,21043.0,,1191.0,,11.5,,,,2.5,2.5,10914711.0,410218340.5,,447.02,2.51,24.39,0.1514,24.45,0.0447
2011-02-23,493281.0,18226620.99,0.98,1.67,0.71,20.12,0.0,9633470.92,290146.0,260718.0,10720828.84,,,,,,2892.0,,0.03,,759.0,,,,,0.12,10895.0,20275.0,11.83,0.85,,,2.58,2.58,10946334.0,404464556.78,,444.04,2.59,24.77,0.154,24.85,0.0439
2011-02-24,492081.0,17876981.76,0.97,1.66,0.7,19.8,0.0,9428119.67,290146.0,259518.0,10540814.93,,,,,,,,,,,,,,,,,1200.0,11.64,0.06,,,2.59,2.59,10917158.0,396613229.25,,435.91,2.6,24.82,0.1546,24.85,0.0439
2011-02-25,760708.0,28856135.88,1.51,2.53,1.09,30.37,1.0,20447545.55,336665.0,539040.0,12770801.65,,,,10.9,,9449.0,,0.06,272965.0,1446.0,,,10.9,,0.38,47965.0,2892.0,13.39,0.12,,,3.0,3.0,10880497.0,412732743.51,,435.75,2.98,15.65,0.2395,42.52,0.0678
2011-02-28,762795.0,29408559.91,1.51,2.54,1.09,31.38,1.0,20781979.6,338752.0,539040.0,13060138.68,,,2087.0,,,,,,,,,,,2087.0,,,,13.97,,,,3.04,3.04,10786248.0,415849632.58,,445.96,3.04,15.74,0.2383,42.35,0.0686
2011-03-01,761720.0,29237589.93,1.51,2.5,1.09,31.9,1.0,20729164.15,336665.0,540052.0,12922429.78,,,,0.01,,731.0,,0.07,281.0,2087.0,,,0.01,,0.03,,,14.13,,,,3.02,3.02,10809060.0,414891119.84,,452.25,3.03,15.9,0.2391,42.34,0.0683
2011-03-02,764823.0,29233671.83,1.52,2.53,1.09,31.84,1.0,20614355.38,340499.0,539321.0,13014823.07,,,13528.0,,,,,0.41,,9694.0,,,,13528.0,,,731.0,14.2,0.03,,,3.05,3.05,10812936.0,413300623.26,,449.73,3.06,15.71,0.2372,42.23,0.0686
2011-03-03,665803.0,25886410.69,1.32,2.23,0.95,27.61,0.0,21102345.17,238519.0,542756.0,9273615.15,,,475.0,0.23,,,,4.28,5935.0,102455.0,,,0.23,475.0,,,,9.93,,,0.1,2.12,2.12,11022611.0,428558950.9,,458.7,2.12,18.83,0.2816,48.24,0.0591
2011-03-04,655996.0,25155399.15,1.3,2.2,0.94,27.59,0.0,20970680.96,231235.0,546868.0,8867140.54,,,6635.0,0.43,,,,0.57,10000.0,13919.0,,,0.43,6635.0,,,5888.0,9.75,0.26,,,2.04,2.04,11095778.0,425488454.97,,465.82,2.05,19.13,0.2916,49.12,0.0579
2011-03-07,664886.0,26116598.87,1.32,2.26,0.95,27.67,0.0,21830071.25,243514.0,555758.0,9565184.79,,,12279.0,0.38,,,,,8890.0,,,,0.38,12279.0,,,,10.19,,,,2.14,2.14,11158050.0,438286136.24,,468.35,2.13,18.83,0.2834,48.29,0.0583
2011-03-08,668055.0,25915634.44,1.32,2.23,0.95,28.42,0.0,22305744.12,224832.0,574999.0,8721832.67,0.11,,1890.0,0.87,,,2500.0,0.86,16741.0,20572.0,0.11,,0.87,1890.0,,,,9.58,,,,2.02,2.02,10911045.0,423268523.69,,464.38,2.02,19.58,0.2842,48.15,0.06
2011-03-09,702586.0,27239039.47,1.39,2.35,1.0,29.64,1.0,23382541.14,275227.0,603114.0,10670464.7,,,23049.0,1.27,,,,,28115.0,,,,1.27,23049.0,,27346.0,,11.62,,,,2.47,2.47,10888628.0,422148701.83,,458.44,2.47,18.5,0.2609,45.52,0.0629
2011-03-10,769054.0,29321170.61,1.52,2.58,1.1,32.54,1.0,25310857.51,324796.0,663869.0,12383264.28,,,10213.0,2.64,,,,,60755.0,,,,2.64,10213.0,,39356.0,,13.69,,,,2.9,2.9,10859665.0,414038663.39,,456.06,2.92,18.14,0.2379,41.72,0.0688
2011-03-11,785289.0,29467373.61,1.55,2.64,1.12,32.62,1.0,25472092.63,331348.0,678817.0,12433582.17,,,8237.0,0.69,,,,0.08,16633.0,1685.0,,,0.69,8237.0,,,1685.0,13.71,0.19,,,2.97,2.97,10838093.0,406691212.54,,445.19,2.99,17.76,0.2292,40.9,0.0703
2011-03-14,811762.0,30128725.03,1.61,2.68,1.16,33.18,1.0,25532190.64,350221.0,687917.0,12998529.38,,,5705.0,0.31,,,,,9100.0,,,,0.31,5705.0,,13168.0,,14.28,,,,3.15,3.15,10756493.0,399229601.67,,435.39,3.17,17.5,0.224,40.35,0.0731
2011-03-15,829595.0,29604880.49,1.64,2.77,1.19,33.6,1.0,24703951.4,362950.0,692260.0,12952213.28,,,19460.0,0.49,,,,0.34,12621.0,8278.0,,,0.49,19460.0,,1547.0,8278.0,14.61,0.36,,,3.28,3.28,10718602.0,382503427.79,,426.69,3.31,17.42,0.2207,40.12,0.0749
2011-03-16,840353.0,29490585.89,1.66,2.66,1.2,32.98,1.0,24948662.34,355040.0,710928.0,12459451.7,,,11957.0,0.55,,,,1.03,18668.0,24513.0,,,0.55,11957.0,,12854.0,,13.77,,0.33,,3.23,3.23,10623996.0,372828878.49,8208.0,410.75,3.24,17.28,0.2128,38.9,0.0765
2011-03-17,837147.0,30636148.59,1.66,2.68,1.2,32.19,1.0,25688712.16,359834.0,701956.0,13168449.38,,,6609.0,0.29,,,,0.42,9528.0,11343.0,,,0.29,6609.0,,9528.0,18500.0,13.78,0.88,,,3.32,3.32,10468921.0,383119594.64,,403.76,3.3,17.52,0.2194,39.49,0.0773
2011-03-18,882740.0,32304665.49,1.75,2.8,1.26,35.02,1.0,27383944.07,372362.0,748279.0,13626922.82,,,14374.0,1.55,,7910.0,,0.07,38413.0,2338.0,,,1.55,14374.0,0.32,492.0,,14.81,,,,3.44,3.44,10462330.0,382878391.06,,414.48,3.45,16.73,0.2086,37.74,0.0815
2011-03-21,861091.0,32640246.4,1.7,2.78,1.23,34.38,1.0,27553682.19,372355.0,726901.0,14114372.29,,,6783.0,0.06,,,,0.52,1532.0,13097.0,,,0.06,6783.0,,6307.0,22910.0,14.85,0.89,,,3.45,3.45,10426363.0,395218458.2,,418.34,3.43,17.13,0.2193,38.6,0.0797
2011-03-22,815151.0,30561698.92,1.61,2.67,1.17,33.43,1.0,26267844.54,352692.0,700624.0,13223153.4,,,3700.0,0.5,,,,0.93,11520.0,23363.0,,,0.5,3700.0,,,37797.0,14.53,1.5,,,3.27,3.27,10439921.0,391414256.14,,428.1,3.28,16.19,0.2372,41.4,0.0755
2011-03-23,819218.0,30495814.08,1.62,2.65,1.17,33.67,1.0,26218825.46,356359.0,704324.0,13265648.23,,,3667.0,,,3700.0,,,,,,,,3667.0,0.15,,,14.54,,,,3.28,3.28,10522694.0,391712730.72,,428.7,3.28,16.03,0.2318,40.6,0.0753
2011-03-24,898712.0,35049295.61,1.78,2.92,1.28,36.55,1.0,29572326.43,408124.0,758275.0,15916621.48,,,13222.0,2.09,,,,,53951.0,,,,2.09,13222.0,,38543.0,,16.58,,,,3.75,3.75,10473054.0,408443601.02,,429.31,3.72,15.33,0.2034,37.05,0.0826
2011-03-25,886503.0,35269828.94,1.76,2.75,1.27,37.51,1.0,29801850.29,405124.0,749066.0,16117998.68,,,,,,,,0.08,,3000.0,,,,,,,9209.0,17.24,0.4,,,3.72,3.72,10477695.0,416858725.1,,447.47,3.71,15.82,0.2076,37.88,0.0815
2011-03-28,916708.0,35953351.95,1.81,2.71,1.31,39.62,1.0,30563063.19,358843.0,779271.0,14073847.59,,8208.0,,1.53,0.36,,,2.04,30205.0,47965.0,,8208.0,1.53,,,1684.0,,15.52,,0.35,,3.32,3.32,10447905.0,409767565.73,8208.0,449.38,3.34,16.37,0.2036,36.49,0.0848
2011-03-29,914194.0,35846349.9,1.81,2.65,1.31,39.1,1.0,28996679.95,382836.0,739506.0,15011335.9,,,21288.0,0.27,,,,0.76,8200.0,16958.0,,,0.27,21288.0,,19663.0,47965.0,16.33,2.24,,,3.56,3.56,10368100.0,406542309.8,,440.87,3.57,17.47,0.1829,32.1,0.085
2011-03-30,916695.0,35695855.53,1.81,2.68,1.31,39.11,1.0,28783508.35,398920.0,739181.0,15533836.98,,,24184.0,0.07,,,,0.35,3375.0,8100.0,,,0.07,24184.0,,,3700.0,17.0,0.16,,,3.7,3.7,10382241.0,404281658.31,,439.81,3.72,17.72,0.1845,32.2,0.085
2011-03-31,962760.0,36613543.88,1.91,2.92,1.38,40.98,1.0,29958752.0,367493.0,787771.0,13975675.23,,,,,,78711.0,,1.35,,31427.0,,,,,3.5,,30121.0,15.53,1.32,,,3.44,3.44,10324608.0,392642494.55,,432.17,3.47,14.47,0.1624,30.23,0.09
2011-04-01,992244.0,38674193.95,1.96,3.02,1.42,41.43,1.0,32158921.92,329883.0,825085.0,12857683.32,,,,2.26,,,,1.62,54612.0,37610.0,,,2.26,,,,17298.0,13.67,0.82,,,3.08,3.08,10376424.0,404436644.92,,430.93,3.07,19.71,0.165,28.95,0.0927
2011-04-04,963533.0,37285022.64,1.91,2.9,1.38,40.86,1.0,30789486.0,323705.0,795673.0,12526138.96,,,727.0,,,,,0.26,,6905.0,,,,727.0,,,29412.0,13.72,1.26,,,3.02,3.02,10388636.0,402000272.37,,437.36,3.04,17.38,0.165,30.21,0.0899
2011-04-05,915265.0,36595006.95,1.81,2.74,1.31,38.85,1.0,30655417.8,293414.0,766712.0,11731561.21,,,,,,,,1.3,,30291.0,,,,,,,28961.0,12.41,1.03,,,2.74,2.74,10404414.0,415999303.64,,441.13,2.74,16.03,0.1671,30.98,0.0856
2011-04-06,824735.0,32406808.77,1.63,2.42,1.18,35.59,1.0,25410622.25,319100.0,646686.0,12538588.37,,,3000.0,,,,,0.43,,11371.0,,,,3000.0,,34057.0,120026.0,13.79,5.21,,,3.04,3.04,10163838.0,399373804.28,,436.6,3.06,14.12,0.1881,35.04,0.0787
2011-04-07,814981.0,32068484.3,1.61,2.35,1.16,34.89,1.0,25132322.6,317325.0,638707.0,12486342.36,,,,,,,,0.1,,1775.0,,,,,,,7979.0,13.54,0.22,,,3.04,3.04,10104282.0,397590874.72,,430.86,3.05,14.12,0.1877,35.06,0.0782
2011-04-08,802893.0,31183258.83,1.59,2.32,1.15,34.23,1.0,24453535.2,321520.0,629619.0,12487394.18,,,876.0,0.05,,,,0.17,1000.0,3985.0,,,0.05,876.0,,7304.0,10088.0,13.69,0.51,,,3.21,3.21,9688900.0,376303537.92,,409.39,3.23,14.58,0.1917,35.85,0.0802
2011-04-11,770118.0,29538700.19,1.52,2.22,1.1,32.6,1.0,24350006.06,280523.0,634841.0,10759759.93,,,3728.0,,,8222.0,,1.87,,44725.0,,,,3728.0,0.35,,3000.0,11.84,0.13,,,2.81,2.81,9715391.0,372644220.76,,407.4,2.82,14.99,0.1984,36.86,0.077
2011-04-12,703982.0,26565214.88,1.39,2.02,1.01,29.56,1.0,22848518.0,249824.0,605489.0,9427269.79,,,359.0,0.41,,1683.0,,1.66,11613.0,38581.0,,,0.41,359.0,0.07,7523.0,42648.0,10.41,1.69,,,2.52,2.52,9681599.0,365341383.53,,400.35,2.53,16.47,0.2375,40.51,0.0709
2011-04-13,745760.0,28367937.87,1.48,2.12,1.07,30.97,1.0,24911907.78,276637.0,654905.0,10522984.91,,116.0,1633.0,2.04,0.0,3693.0,,0.55,48773.0,12784.0,,116.0,2.04,1633.0,0.16,37848.0,3050.0,11.39,0.17,,,2.79,2.79,9633464.0,366446991.23,,396.15,2.79,20.91,0.227,37.33,0.0753
2011-04-14,792230.0,30099199.67,1.57,2.25,1.13,32.99,1.0,25824834.45,333734.0,679726.0,12679558.09,,,24819.0,1.56,,,,0.21,37948.0,5095.0,,,1.56,24819.0,,37373.0,13127.0,13.77,0.59,,,3.33,3.33,9674855.0,367576830.53,,398.91,3.34,25.27,0.2316,36.07,0.0792
2011-04-15,853771.0,32621741.76,1.69,2.42,1.22,35.56,1.0,28388031.0,366550.0,742967.0,14005511.36,,,35816.0,2.82,,,,0.13,68002.0,3000.0,,,2.82,35816.0,,,4761.0,15.17,0.18,,,3.68,3.68,9598856.0,366762752.12,,396.45,3.69,27.94,0.2217,33.25,0.0857
2011-04-18,842369.0,31543444.98,1.67,2.37,1.2,35.43,1.0,27281927.51,390937.0,728565.0,14639071.18,,,24387.0,,,,,,,,,,,24387.0,,,14402.0,16.18,0.58,,,3.91,3.91,9617598.0,360141664.02,,397.81,3.91,28.56,0.2273,33.6,0.0842
2011-04-19,887481.0,33249028.58,1.76,2.51,1.27,36.45,1.0,28448815.07,405260.0,759354.0,15182861.74,,,14323.0,0.14,,28646.0,,,3473.0,,,,0.14,14323.0,1.23,,1330.0,16.49,0.08,,,4.05,4.05,9606960.0,359919916.74,,389.56,4.06,26.96,0.2109,32.42,0.0886
2011-04-20,882311.0,33679787.81,1.75,2.5,1.26,35.98,1.0,29335634.14,385964.0,768507.0,14733110.69,,,,1.37,,5000.0,,0.79,37799.0,19323.0,,,1.37,,0.2,27.0,33646.0,15.79,1.44,,,3.87,3.87,9584080.0,365845808.1,,390.33,3.89,26.74,0.2141,32.32,0.0885
2011-04-21,915819.0,34958863.25,1.81,2.6,1.31,38.57,1.0,30635475.28,408080.0,802559.0,15577327.96,,,1582.0,0.39,,25000.0,,0.23,9052.0,6125.0,,,0.39,1582.0,1.51,26659.0,,16.95,,,,4.08,4.08,9604914.0,366641088.56,,397.34,4.09,25.65,0.1963,30.65,0.0915
2011-04-22,935882.0,35724712.92,1.85,2.65,1.34,39.57,1.0,31438848.25,409437.0,823605.0,15629127.69,,,,1.0,,,,0.04,21046.0,983.0,,,1.0,,,2340.0,,17.02,,,,4.1,4.1,9580314.0,365702051.44,,397.04,4.11,24.97,0.1929,29.79,0.0937
2011-04-25,938422.0,35821670.41,1.86,2.66,1.34,39.65,1.0,31498282.43,410420.0,825162.0,15666651.0,,,,0.07,,,,,1557.0,,,,0.07,,,983.0,,17.04,,,,4.26,4.26,9220006.0,351948287.76,,381.43,4.28,24.94,0.1922,29.75,0.0974
2011-04-26,1006068.0,38302149.94,1.99,2.85,1.44,42.41,1.0,33756418.43,463648.0,886667.0,17651605.28,,,20834.0,2.03,,17510.0,,0.19,50007.0,4456.0,,,2.03,20834.0,0.76,36850.0,6012.0,19.22,0.25,,,4.81,4.81,9166739.0,348988151.55,,378.26,4.84,27.78,0.1916,28.14,0.1045
2011-04-27,1010409.0,39131448.68,2.0,2.89,1.44,42.44,1.0,34519447.3,457661.0,891323.0,17724444.19,,,259.0,0.31,,,,0.26,7656.0,6246.0,,,0.31,259.0,,,3000.0,18.99,0.12,,,4.46,4.46,9797003.0,379421521.45,,405.17,4.48,27.67,0.1901,27.9,0.0985
2011-04-28,955920.0,36507180.93,1.89,2.71,1.37,40.74,1.0,32293571.23,429842.0,845589.0,16415934.04,,,,,,,,1.13,,27819.0,,,,,,,45734.0,18.02,1.75,,,4.12,4.12,9993969.0,381675908.49,,416.2,4.15,28.4,0.2011,29.18,0.0917
2011-04-29,932399.0,35656034.99,1.85,2.73,1.33,39.54,1.0,31483693.16,424344.0,823293.0,16227413.92,,,,0.03,,,,0.25,663.0,5498.0,,,0.03,,,,22959.0,17.65,0.85,,,4.21,4.21,9653758.0,369171066.33,,400.36,4.22,29.27,0.2074,29.68,0.0925
2011-05-02,939076.0,36131474.68,1.86,2.8,1.34,39.81,1.0,32001854.38,422569.0,831745.0,16258578.78,,,,0.53,,,,0.07,12725.0,1775.0,,,0.53,,,,4273.0,17.64,0.23,,,4.19,4.19,9660561.0,371695491.25,,401.72,4.21,29.09,0.2043,29.51,0.0931
2011-05-03,1001813.0,38158573.56,1.98,3.06,1.43,42.69,1.0,33956119.03,480697.0,891482.0,18309516.68,,,10479.0,2.57,,,,,59737.0,,,,2.57,10479.0,,47649.0,,20.07,,,,4.73,4.73,9673720.0,368467325.0,,402.9,4.74,27.56,0.2055,31.47,0.0987
2011-05-04,1003313.0,37962104.57,1.99,3.08,1.43,42.37,1.0,33825450.37,475082.0,893984.0,17975559.53,,,508.0,0.15,,,,0.29,3076.0,6554.0,,,0.15,508.0,,431.0,574.0,19.67,0.03,,,4.68,4.68,9668374.0,365819863.57,,398.93,4.7,27.48,0.2049,31.28,0.0989
2011-05-05,970254.0,37246343.96,1.92,2.98,1.39,41.13,1.0,33126095.71,474720.0,862923.0,18223665.56,,,,,,,,0.09,,1998.0,,,,,,1636.0,31061.0,19.69,1.23,,,4.69,4.69,9643001.0,370177842.1,,401.06,4.68,28.18,0.2135,32.78,0.0959
2011-05-06,1005514.0,39085127.12,1.99,3.08,1.44,43.31,1.0,34913085.98,490713.0,898183.0,19074403.72,,,6039.0,1.93,,1636.0,,0.06,40169.0,1730.0,,,1.93,6039.0,0.07,11684.0,6545.0,20.69,0.13,,,4.82,4.82,9680251.0,376279038.28,,408.04,4.82,27.08,0.199,30.73,0.0989
2011-05-09,1007454.0,39169796.46,1.99,3.09,1.44,43.61,1.0,35033821.41,494660.0,901076.0,19232373.41,,,4900.0,0.39,,,,0.07,9168.0,1936.0,,,0.39,4900.0,,983.0,6275.0,20.88,0.25,,,4.84,4.84,9728473.0,378242884.81,,411.35,4.83,27.26,0.1957,29.94,0.0985
2011-05-10,1013524.0,39811034.9,2.01,3.17,1.45,43.63,1.0,35272762.95,503151.0,897987.0,19763678.04,,,16214.0,0.21,,,,0.32,4900.0,7723.0,,,0.21,16214.0,,,7989.0,21.32,0.5,,,4.9,4.9,9757564.0,383275305.69,,411.32,4.93,27.37,0.194,29.44,0.0988
2011-05-11,1029377.0,39544356.41,2.04,3.17,1.47,44.95,1.0,35257228.29,499212.0,917779.0,19177635.85,,,,0.95,,,,0.16,21015.0,3939.0,,,0.95,,,,1223.0,21.25,0.0,,,4.65,4.65,10240561.0,393399497.04,,435.32,4.66,26.79,0.1917,29.41,0.0958
2011-05-12,1027124.0,39707986.67,2.03,3.08,1.47,44.03,1.0,35355673.95,479480.0,914543.0,18536404.03,,,,0.71,,,,0.87,17479.0,20715.0,,,0.71,,,983.0,20715.0,20.06,1.05,,,4.51,4.51,10153214.0,392517053.6,,424.52,4.51,26.76,0.182,27.1,0.0966
2011-05-13,1081072.0,41579945.26,2.14,3.23,1.54,46.39,1.0,36070911.75,549143.0,937838.0,21121013.11,,,68834.0,1.04,,,,0.11,26809.0,2602.0,,,1.04,68834.0,,3431.0,3514.0,23.1,0.15,,,5.16,5.16,10089870.0,388074283.95,,423.55,5.17,25.46,0.1761,25.77,0.1016
2011-05-16,1196797.0,45475416.57,2.37,3.57,1.71,51.02,1.0,39378967.25,601355.0,1036354.0,22850048.2,,,13198.0,2.52,,37914.0,,0.31,61602.0,7068.0,,,2.52,13198.0,1.63,46082.0,1000.0,25.12,0.05,,,5.63,5.63,10084910.0,383202400.54,,420.22,5.64,23.32,0.1615,25.0,0.112
2011-05-17,1277065.0,47609834.39,2.53,3.93,1.82,53.66,1.0,39937883.3,640835.0,1071276.0,23890755.93,,,27575.0,1.3,,5000.0,,0.36,36390.0,8095.0,,,1.3,27575.0,0.2,20000.0,6468.0,26.33,0.28,,,5.99,5.99,10065084.0,375233040.07,,413.05,5.99,22.14,0.1535,23.71,0.1193
2011-05-18,1257392.0,46916862.39,2.49,3.96,1.8,51.95,1.0,39507801.65,619160.0,1058826.0,23102615.98,,,1181.0,0.35,,,,0.95,11959.0,22856.0,,,0.35,1181.0,,,24409.0,25.11,1.19,,,5.78,5.78,10096183.0,376717227.75,,408.38,5.79,22.39,0.152,22.45,0.1173
2011-05-19,1251859.0,47222447.23,2.48,4.0,1.79,52.1,1.0,40372233.29,689615.0,1070261.0,26013558.99,,,96145.0,1.37,,,,1.03,23212.0,25690.0,,,1.37,96145.0,,,11777.0,28.02,0.48,,,6.43,6.43,10028720.0,378301950.13,,407.11,6.44,21.3,0.1474,22.21,0.1168
2011-05-20,2173854.0,82091725.81,4.3,7.03,3.11,90.06,1.0,75443246.67,1125340.0,1997797.0,42496461.46,,,,40.93,,,,2.03,994311.0,50849.0,,,40.93,,,486574.0,66775.0,46.34,3.01,,,10.54,10.54,9547201.0,360533047.19,,392.05,10.57,11.65,0.3753,58.97,0.2037
2011-05-23,2139651.0,78892452.95,4.23,7.11,3.06,88.64,1.0,72402305.92,1119967.0,1963631.0,41295026.08,,,945.0,0.02,,,,0.25,421.0,6318.0,,,0.02,945.0,,,34587.0,46.03,1.37,,,10.46,10.46,9587602.0,353510661.16,,391.16,10.53,11.83,0.3871,60.0,0.1998
