,NRAM FP Equity_PX_LAST
2017-06-05,55.001
2017-06-06,54.769
2017-06-07,54.88
2017-06-08,55.087
2017-06-09,55.535
2017-06-12,55.036
2017-06-13,55.257
2017-06-14,54.952
2017-06-15,55.351
2017-06-16,55.113
2017-06-19,55.758
2017-06-20,55.832
2017-06-21,55.546
2017-06-22,55.635
2017-06-23,55.384
2017-06-26,55.388
2017-06-27,54.916
2017-06-28,54.66
2017-06-29,54.012
2017-06-30,54.079
2017-07-03,54.657
2017-07-04,54.532
2017-07-05,54.573
2017-07-06,54.082
2017-07-07,54.15
2017-07-10,54.279
2017-07-11,53.914
2017-07-12,54.521
2017-07-13,54.733
2017-07-14,54.555
2017-07-17,54.714
2017-07-18,54.116
2017-07-19,54.636
2017-07-20,54.146
2017-07-21,54.02
2017-07-24,54.066
2017-07-25,54.276
2017-07-26,54.36
2017-07-27,54.283
2017-07-28,53.556
2017-07-31,53.487
2017-08-01,53.414
2017-08-02,53.122
2017-08-03,53.091
2017-08-04,53.704
2017-08-07,53.537
2017-08-08,53.971
2017-08-09,53.55
2017-08-10,53.23
2017-08-11,52.749
2017-08-14,53.361
2017-08-15,53.62
2017-08-16,53.85
2017-08-17,53.308
2017-08-18,52.867
2017-08-21,52.384
2017-08-22,53.009
2017-08-23,52.891
2017-08-24,52.712
2017-08-25,52.511
2017-08-28,52.128
2017-08-29,51.75
2017-08-30,52.522
2017-08-31,52.986
2017-09-01,53.317
2017-09-04,52.916
2017-09-05,52.825
2017-09-06,52.688
2017-09-07,52.399
2017-09-08,52.43
2017-09-11,53.009
2017-09-12,53.3
2017-09-13,53.661
2017-09-14,53.741
2017-09-15,53.417
2017-09-18,53.645
2017-09-19,53.583
2017-09-20,53.497
2017-09-21,53.697
2017-09-22,53.449
2017-09-25,53.858
2017-09-26,54.301
2017-09-27,54.46
2017-09-28,54.451
2017-09-29,54.475
2017-10-02,55.025
2017-10-03,55.05
2017-10-04,55.201
2017-10-05,55.602
2017-10-06,55.523
2017-10-09,55.526
2017-10-10,55.218
2017-10-11,55.088
2017-10-12,55.171
2017-10-13,55.211
2017-10-16,55.34
2017-10-17,55.595
2017-10-18,55.652
2017-10-19,55.206
2017-10-20,55.798
2017-10-23,56.053
2017-10-24,55.846
2017-10-25,55.288
2017-10-26,56.018
2017-10-27,56.908
2017-10-30,56.529
2017-10-31,56.535
2017-11-01,56.774
2017-11-02,56.527
2017-11-03,56.953
2017-11-06,57.176
2017-11-07,57.282
2017-11-08,57.126
2017-11-09,56.775
2017-11-10,56.607
2017-11-13,56.7
2017-11-14,56.023
2017-11-15,55.75
2017-11-16,56.169
2017-11-17,56.021
2017-11-20,56.274
2017-11-21,56.669
2017-11-22,56.405
2017-11-23,56.174
2017-11-24,55.848
2017-11-27,55.875
2017-11-28,56.271
2017-11-29,56.617
2017-11-30,56.758
2017-12-01,56.187
2017-12-04,57.267
2017-12-05,57.296
2017-12-06,57.094
2017-12-07,57.211
2017-12-08,57.563
2017-12-11,57.541
2017-12-12,58.207
2017-12-13,58.061
2017-12-14,57.861
2017-12-15,58.137
2017-12-18,58.325
2017-12-19,58.15
2017-12-20,57.725
2017-12-21,57.966
2017-12-22,57.929
2017-12-27,57.807
2017-12-28,57.532
2017-12-29,57.275
2018-01-02,57.21
2018-01-03,57.71
2018-01-04,57.854
2018-01-05,58.259
2018-01-08,58.692
2018-01-09,59.225
2018-01-10,58.799
2018-01-11,58.615
2018-01-12,58.723
2018-01-15,58.334
2018-01-16,58.569
2018-01-17,58.437
2018-01-18,58.543
2018-01-19,58.663
2018-01-22,58.849
2018-01-23,59.186
2018-01-24,58.59
2018-01-25,58.219
2018-01-26,58.801
2018-01-29,59.22
2018-01-30,58.382
2018-01-31,58.146
2018-02-01,57.955
2018-02-02,57.396
2018-02-05,56.67
2018-02-06,54.374
2018-02-07,56.5
2018-02-08,55.329
2018-02-09,54.121
2018-02-12,55.026
2018-02-13,54.747
2018-02-14,55.157
2018-02-15,55.426
2018-02-16,56.392
2018-02-19,56.29
2018-02-20,56.644
2018-02-21,56.87
2018-02-22,56.617
2018-02-23,56.689
2018-02-26,57.394
2018-02-27,57.876
2018-02-28,57.361
2018-03-01,56.771
2018-03-02,55.304
2018-03-05,56.083
2018-03-06,55.945
2018-03-07,56.075
2018-03-08,56.643
2018-03-09,57.477
2018-03-12,57.865
2018-03-13,57.329
2018-03-14,56.959
2018-03-15,57.196
2018-03-16,57.383
2018-03-19,56.289
2018-03-20,56.767
2018-03-21,56.993
2018-03-22,55.796
2018-03-23,54.714
2018-03-26,53.819
2018-03-27,55.028
2018-03-28,54.054
2018-03-29,54.814
2018-04-03,54.216
2018-04-04,54.32
2018-04-05,55.986
2018-04-06,55.037
2018-04-09,54.997
2018-04-10,55.3
2018-04-11,54.894
2018-04-12,55.557
2018-04-13,55.401
2018-04-16,55.396
2018-04-17,56.211
2018-04-18,56.256
2018-04-19,55.971
2018-04-20,55.847
2018-04-23,56.273
2018-04-24,56.049
2018-04-25,55.413
2018-04-26,56.284
2018-04-27,56.589
2018-04-30,56.844
2018-05-02,56.797
2018-05-03,55.906
2018-05-04,57.168
2018-05-07,57.689
2018-05-08,57.803
2018-05-09,58.058
2018-05-10,58.683
2018-05-11,58.714
2018-05-14,58.765
2018-05-15,58.717
2018-05-16,59.239
2018-05-17,59.477
2018-05-18,59.346
2018-05-21,59.652
2018-05-22,59.763
2018-05-23,59.679
2018-05-24,59.602
2018-05-25,60.061
2018-05-28,60.162
2018-05-29,60.093
2018-05-30,59.96
2018-05-31,59.819
2018-06-01,60.162
2018-06-04,60.347
2018-06-05,60.414
2018-06-06,60.321
2018-06-07,60.32
2018-06-08,60.511
2018-06-11,60.65
2018-06-12,60.755
2018-06-13,60.958
2018-06-14,61.537
2018-06-15,61.286
2018-06-18,61.435
2018-06-19,61.264
2018-06-20,61.511
2018-06-21,61.208
2018-06-22,61.098
2018-06-25,59.683
2018-06-26,60.033
2018-06-27,60.686
2018-06-28,60.254
2018-06-29,60.446
2018-07-02,60.154
2018-07-03,60.356
2018-07-04,60.193
2018-07-05,60.097
2018-07-06,60.437
2018-07-09,60.927
2018-07-10,61.297
2018-07-11,61.042
2018-07-12,61.526
2018-07-13,61.894
2018-07-16,61.556
2018-07-17,61.742
2018-07-18,62.219
2018-07-19,62.345
2018-07-20,61.783
2018-07-23,61.657
2018-07-24,62.119
2018-07-25,62.244
2018-07-26,62.679
2018-07-27,62.576
2018-07-30,61.729
2018-07-31,61.918
2018-08-01,62.093
2018-08-02,62.449
2018-08-03,62.891
2018-08-06,63.323
2018-08-07,63.423
2018-08-08,63.386
2018-08-09,63.621
2018-08-10,64.085
2018-08-13,63.907
2018-08-14,64.326
2018-08-15,63.979
2018-08-16,64.301
2018-08-17,64.094
2018-08-20,64.24
2018-08-21,64.003
2018-08-22,63.642
2018-08-23,63.54
2018-08-24,63.652
2018-08-27,63.87
2018-08-28,63.676
2018-08-29,64.122
2018-08-30,64.253
2018-08-31,64.249
2018-09-03,64.397
2018-09-04,64.398
2018-09-05,63.771
2018-09-06,63.623
2018-09-07,64.004
2018-09-10,63.882
2018-09-11,64.013
2018-09-12,63.941
2018-09-13,63.919
2018-09-14,64.143
2018-09-17,63.795
2018-09-18,63.983
2018-09-19,64.095
2018-09-20,64.102
2018-09-21,64.318
2018-09-24,63.77
2018-09-25,63.906
2018-09-26,64.028
2018-09-27,64.464
2018-09-28,64.62
2018-10-01,65.231
2018-10-02,65.093
2018-10-03,65.461
2018-10-04,64.85
2018-10-05,64.495
2018-10-08,64.37
2018-10-09,64.617
2018-10-10,63.217
2018-10-11,61.399
2018-10-12,61.371
2018-10-15,61.405
2018-10-16,61.95
2018-10-17,62.239
2018-10-18,62.037
2018-10-19,62.192
2018-10-22,61.812
2018-10-23,60.61
2018-10-24,61.006
2018-10-25,61.033
2018-10-26,60.084
2018-10-29,60.285
2018-10-30,60.045
2018-10-31,61.631
2018-11-01,61.601
2018-11-02,61.25
2018-11-05,61.429
2018-11-06,61.736
2018-11-07,62.436
2018-11-08,63.247
2018-11-09,62.963
2018-11-12,62.407
2018-11-13,62.486
2018-11-14,61.59
2018-11-15,61.382
2018-11-16,61.383
2018-11-19,60.703
2018-11-20,59.752
2018-11-21,60.192
2018-11-22,59.431
2018-11-23,59.991
2018-11-26,60.385
2018-11-27,60.805
2018-11-28,61.312
2018-11-29,61.8
2018-11-30,62.174
2018-12-03,63.038
2018-12-04,62.679
2018-12-05,61.392
2018-12-06,59.633
2018-12-07,60.021
2018-12-10,58.665
2018-12-11,60.114
2018-12-12,60.51
2018-12-13,60.095
2018-12-14,59.727
2018-12-17,58.813
2018-12-18,57.891
2018-12-19,57.697
2018-12-20,56.015
2018-12-21,55.851
2018-12-27,55.018
2018-12-28,55.979
2018-12-31,56.408
2019-01-02,56.762
2019-01-03,55.786
2019-01-04,56.863
2019-01-07,57.33
2019-01-08,57.509
2019-01-09,57.898
2019-01-10,58.017
2019-01-11,58.259
2019-01-14,58.134
2019-01-15,58.864
2019-01-16,59.354
2019-01-17,59.587
2019-01-18,60.682
2019-01-21,60.496
2019-01-22,60.185
2019-01-23,59.669
2019-01-24,60.066
2019-01-25,60.431
2019-01-28,59.567
2019-01-29,59.706
2019-01-30,60.342
2019-01-31,61.064
2019-02-01,61.078
2019-02-04,61.402
2019-02-05,61.954
2019-02-06,62.156
2019-02-07,61.324
2019-02-08,61.364
2019-02-11,62.118
2019-02-12,62.651
2019-02-13,63.001
2019-02-14,62.889
2019-02-15,63.541
2019-02-18,63.524
2019-02-19,63.399
2019-02-20,63.44
2019-02-21,63.391
2019-02-22,63.799
2019-02-25,64.101
2019-02-26,63.809
2019-02-27,63.531
2019-02-28,63.632
2019-03-01,63.589
2019-03-04,63.855
2019-03-05,64.029
2019-03-06,63.628
2019-03-07,63.65
2019-03-08,63.044
2019-03-11,64.055
2019-03-12,64.147
2019-03-13,64.514
2019-03-14,64.564
2019-03-15,64.745
2019-03-18,64.594
2019-03-19,65.119
2019-03-20,64.298
2019-03-21,64.921
2019-03-22,64.501
2019-03-25,64.064
2019-03-26,64.629
2019-03-27,64.465
2019-03-28,64.826
2019-03-29,65.261
2019-04-01,65.993
2019-04-02,66.306
2019-04-03,66.5
2019-04-04,66.348
2019-04-05,66.729
2019-04-08,66.491
2019-04-09,66.265
2019-04-10,66.376
2019-04-11,66.555
2019-04-12,66.47
2019-04-15,66.553
2019-04-16,66.808
2019-04-17,66.52
2019-04-18,66.857
2019-04-23,67.745
2019-04-24,67.934
2019-04-25,68.137
2019-04-26,68.047
2019-04-29,68.305
2019-04-30,67.792
2019-05-02,67.475
2019-05-03,68.009
2019-05-06,67.558
2019-05-07,67.006
2019-05-08,66.768
2019-05-09,65.638
2019-05-10,65.258
2019-05-13,64.949
2019-05-14,65.766
2019-05-15,66.008
2019-05-16,67.035
2019-05-17,66.912
2019-05-20,66.15
2019-05-21,66.579
2019-05-22,66.495
2019-05-23,65.536
2019-05-24,65.409
2019-05-27,65.599
2019-05-28,65.592
2019-05-29,64.776
2019-05-30,64.9
2019-05-31,64.466
2019-06-03,63.884
2019-06-04,64.389
2019-06-05,64.946
2019-06-06,65.236
2019-06-07,65.893
2019-06-10,66.561
2019-06-11,66.321
2019-06-12,66.11
2019-06-13,66.493
2019-06-14,66.801
2019-06-17,66.892
2019-06-18,67.827
2019-06-19,67.596
2019-06-20,67.826
2019-06-21,67.909
2019-06-24,67.306
2019-06-25,66.935
2019-06-26,66.661
2019-06-27,66.685
2019-06-28,66.98
2019-07-01,68.098
2019-07-02,68.088
2019-07-03,68.856
2019-07-04,69.065
2019-07-05,68.996
2019-07-08,68.889
2019-07-09,68.946
2019-07-10,69.067
2019-07-11,69.241
2019-07-12,69.412
2019-07-15,69.465
2019-07-16,69.789
2019-07-17,69.328
2019-07-18,68.934
2019-07-19,69.437
2019-07-22,69.041
2019-07-23,69.694
2019-07-24,70.097
2019-07-25,70.049
2019-07-26,70.584
2019-07-29,70.393
2019-07-30,70.203
2019-07-31,70.344
2019-08-01,70.713
2019-08-02,68.359
2019-08-05,66.607
2019-08-06,66.104
2019-08-07,66.167
2019-08-08,67.759
2019-08-09,67.359
2019-08-12,66.941
2019-08-13,67.733
2019-08-14,66.842
2019-08-15,66.608
2019-08-16,67.58
2019-08-19,68.517
2019-08-20,68.329
2019-08-21,68.534
2019-08-22,68.32
2019-08-23,67.126
2019-08-26,67.088
2019-08-27,67.43
2019-08-28,67.61
2019-08-29,68.706
2019-08-30,69.033
2019-09-02,69.045
2019-09-03,68.839
2019-09-04,69.062
2019-09-05,70.031
2019-09-06,70.079
2019-09-09,70.087
2019-09-10,69.62
2019-09-11,70.658
2019-09-12,70.839
2019-09-13,70.67
2019-09-16,70.762
2019-09-17,70.532
2019-09-18,70.411
2019-09-19,71.053
2019-09-20,71.162
2019-09-23,70.772
2019-09-24,70.695
2019-09-25,70.58
2019-09-26,70.588
2019-09-27,70.859
2019-09-30,70.987
2019-10-01,70.416
2019-10-02,68.432
2019-10-03,68.362
2019-10-04,69.519
2019-10-07,69.848
2019-10-08,68.762
2019-10-09,68.968
2019-10-10,69.559
2019-10-11,70.421
2019-10-14,70.054
2019-10-15,70.577
2019-10-16,70.241
2019-10-17,70.018
2019-10-18,69.78
2019-10-21,70.1
2019-10-22,70.235
2019-10-23,70.168
2019-10-24,70.61
2019-10-25,70.949
2019-10-28,71.215
2019-10-29,71.262
2019-10-30,71.024
2019-10-31,70.589
2019-11-01,71.238
2019-11-04,71.859
2019-11-05,72.299
2019-11-06,72.25
2019-11-07,72.937
2019-11-08,72.818
2019-11-11,72.685
2019-11-12,73.249
2019-11-13,73.155
2019-11-14,73.119
2019-11-15,73.435
2019-11-18,73.331
2019-11-19,73.337
2019-11-20,73.354
2019-11-21,72.976
2019-11-22,73.317
2019-11-25,74.081
2019-11-26,74.225
2019-11-27,74.635
2019-11-28,74.648
2019-11-29,74.426
2019-12-02,73.177
2019-12-03,72.389
2019-12-04,73.294
2019-12-05,73.057
2019-12-06,74.284
2019-12-09,74.023
2019-12-10,73.74
2019-12-11,73.674
2019-12-12,74.054
2019-12-13,74.004
2019-12-16,74.751
2019-12-17,74.595
2019-12-18,74.895
2019-12-19,75.057
2019-12-20,75.874
2019-12-23,75.784
2019-12-24,75.864
2019-12-27,75.693
2019-12-30,74.882
2019-12-31,74.756
2020-01-02,75.465
2020-01-03,75.587
2020-01-06,75.394
2020-01-07,75.917
2020-01-08,76.223
2020-01-09,76.889
2020-01-10,76.895
2020-01-13,76.748
2020-01-14,77.075
2020-01-15,77.114
2020-01-16,77.468
2020-01-17,78.148
2020-01-20,78.267
2020-01-21,78.225
2020-01-22,78.412
2020-01-23,78.205
2020-01-24,78.48
2020-01-27,76.887
2020-01-28,77.75
2020-01-29,77.959
2020-01-30,77.095
2020-01-31,76.318
2020-02-03,76.821
2020-02-04,78.223
2020-02-05,78.881
2020-02-06,79.564
2020-02-07,79.609
2020-02-10,79.889
2020-02-11,80.474
2020-02-12,80.936
2020-02-13,81.405
2020-02-14,81.483
2020-02-17,81.772
2020-02-18,81.264
2020-02-19,82.194
2020-02-20,81.307
2020-02-21,80.734
2020-02-24,78.211
2020-02-25,76.856
2020-02-26,76.33
2020-02-27,72.772
2020-02-28,69.545
2020-03-02,70.729
2020-03-03,71.545
2020-03-04,72.048
2020-03-05,71.89
2020-03-06,68.347
2020-03-09,64.091
2020-03-10,63.457
2020-03-11,64.069
2020-03-12,58.808
2020-03-13,59.59
2020-03-16,58.352
2020-03-17,59.033
2020-03-18,56.665
2020-03-19,57.899
2020-03-20,57.746
2020-03-23,53.846
2020-03-24,58.425
2020-03-25,60.352
2020-03-26,61.28
2020-03-27,59.764
2020-03-30,61.239
2020-03-31,62.369
2020-04-01,59.474
2020-04-02,60.104
2020-04-03,60.066
2020-04-06,62.65
2020-04-07,64.931
2020-04-08,64.979
2020-04-09,66.423
2020-04-14,66.999
2020-04-15,66.105
2020-04-16,66.982
2020-04-17,67.876
2020-04-20,68.458
2020-04-21,65.475
2020-04-22,67.105
2020-04-23,68.043
2020-04-24,67.412
2020-04-27,69.137
2020-04-28,69.4
2020-04-29,70.668
2020-04-30,69.541
2020-05-04,67.31
2020-05-05,69.56
2020-05-06,69.364
2020-05-07,70.145
2020-05-08,70.393
2020-05-11,70.753
2020-05-12,70.626
2020-05-13,68.61
2020-05-14,68.03
2020-05-15,68.562
2020-05-18,71.141
2020-05-19,70.915
2020-05-20,71.005
2020-05-21,70.442
2020-05-22,70.672
2020-05-25,72.06
2020-05-26,71.862
2020-05-27,71.455
2020-05-28,72.421
2020-05-29,71.078
2020-06-01,71.998
2020-06-02,71.933
2020-06-03,72.955
2020-06-04,72.308
2020-06-05,74.411
2020-06-08,74.526
2020-06-09,74.096
2020-06-10,73.81
2020-06-11,71.087
2020-06-12,70.848
2020-06-15,70.23
2020-06-16,72.941
2020-06-17,73.219
2020-06-18,72.93
2020-06-19,73.634
2020-06-22,72.545
2020-06-23,73.196
2020-06-24,71.31
2020-06-25,71.51
2020-06-26,71.136
2020-06-29,71.096
2020-06-30,72.034
2020-07-01,72.654
2020-07-02,73.716
2020-07-03,73.261
2020-07-06,74.182
2020-07-07,74.239
2020-07-08,73.35
2020-07-09,73.156
2020-07-10,73.784
2020-07-13,75.166
2020-07-14,73.396
2020-07-15,74.513
2020-07-16,74.079
2020-07-17,74.382
2020-07-20,74.766
2020-07-21,75.371
2020-07-22,74.501
2020-07-23,74.719
2020-07-24,73.114
2020-07-27,72.444
2020-07-28,73.072
2020-07-29,72.913
2020-07-30,72.578
2020-07-31,72.52
2020-08-03,74.17
2020-08-04,74.191
2020-08-05,74.027
2020-08-06,74.26
2020-08-07,75.075
2020-08-10,75.201
2020-08-11,75.65
2020-08-12,75.678
2020-08-13,75.586
2020-08-14,75.498
2020-08-17,75.487
2020-08-18,75.298
2020-08-19,75.703
2020-08-20,75.55
2020-08-21,76.212
2020-08-24,76.771
2020-08-25,76.903
2020-08-26,77.561
2020-08-27,78.506
2020-08-28,77.78
2020-08-31,77.595
2020-09-01,78.026
2020-09-02,79.454
2020-09-03,77.86
2020-09-04,75.756
2020-09-07,76.899
2020-09-08,75.264
2020-09-09,76.022
2020-09-10,75.819
2020-09-11,74.934
2020-09-14,75.769
2020-09-15,76.453
2020-09-16,76.629
2020-09-17,75.43
2020-09-18,74.589
2020-09-21,73.128
2020-09-22,74.396
2020-09-23,74.959
2020-09-24,73.95
2020-09-25,74.736
2020-09-28,76.333
2020-09-29,75.628
2020-09-30,76.376
2020-10-01,76.583
2020-10-02,76.115
2020-10-05,76.655
2020-10-06,76.91
2020-10-07,77.011
2020-10-08,77.785
2020-10-09,78.189
2020-10-12,79.58
2020-10-13,79.94
2020-10-14,79.516
2020-10-15,78.879
2020-10-16,79.607
2020-10-19,76.99
2020-10-20,77.584
2020-10-21,77.292
2020-10-22,77.321
2020-10-23,77.624
2020-10-26,76.322
2020-10-27,76.503
2020-10-28,74.858
2020-10-29,75.426
2020-10-30,74.637
2020-11-02,75.684
2020-11-03,76.817
2020-11-04,78.802
2020-11-05,79.308
2020-11-06,78.711
2020-11-09,81.274
2020-11-10,79.572
2020-11-11,80.751
2020-11-12,80.209
2020-11-13,80.023
2020-11-16,81.381
2020-11-17,81.05
2020-11-18,81.218
2020-11-19,80.353
2020-11-20,80.65
2020-11-23,80.369
2020-11-24,81.735
2020-11-25,81.556
2020-11-26,81.654
2020-11-27,81.612
2020-11-30,80.824
2020-12-01,81.66
2020-12-02,81.164
2020-12-03,81.16
2020-12-04,81.635
2020-12-07,81.793
2020-12-08,82.03
2020-12-09,82.202
2020-12-10,81.549
2020-12-11,80.985
2020-12-14,81.435
2020-12-15,81.26
2020-12-16,81.853
2020-12-17,81.748
2020-12-18,81.605
2020-12-21,80.92
2020-12-22,81.807
2020-12-23,82.047
2020-12-24,81.986
2020-12-28,82.436
2020-12-29,82.221
2020-12-30,82.026
2020-12-31,81.972
2021-01-04,81.349
2021-01-05,81.453
2021-01-06,82.728
2021-01-07,83.509
2021-01-08,83.901
2021-01-11,84.525
2021-01-12,84.401
2021-01-13,84.577
2021-01-14,84.943
2021-01-15,84.34
2021-01-18,84.444
2021-01-19,84.348
2021-01-20,85.529
2021-01-21,85.679
2021-01-22,85.105
2021-01-25,85.114
2021-01-26,85.456
2021-01-27,84.321
2021-01-28,84.602
2021-01-29,82.935
2021-02-01,83.959
2021-02-02,86.056
2021-02-03,86.045
2021-02-04,86.995
2021-02-05,87.213
2021-02-08,87.459
2021-02-09,87.368
2021-02-10,87.059
2021-02-11,87.479
2021-02-12,87.659
2021-02-15,88.278
2021-02-16,87.943
2021-02-17,87.785
2021-02-18,87.296
2021-02-19,87.582
2021-02-22,86.448
2021-02-23,85.698
2021-02-24,86.807
2021-02-25,85.83
2021-02-26,85.572
2021-03-01,87.197
2021-03-02,86.657
2021-03-03,86.258
2021-03-04,85.372
2021-03-05,84.252
2021-03-08,87.637
2021-03-09,87.929
2021-03-10,88.2
2021-03-11,88.896
2021-03-12,88.431
2021-03-15,89.008
2021-03-16,89.882
2021-03-17,89.206
2021-03-18,89.37
2021-03-19,88.658
2021-03-22,88.902
2021-03-23,89.28
2021-03-24,89.302
2021-03-25,88.712
2021-03-26,89.597
2021-03-29,90.062
2021-03-30,90.558
2021-03-31,91.031
2021-04-01,91.419
2021-04-06,92.589
2021-04-07,92.035
2021-04-08,92.353
2021-04-09,92.759
2021-04-12,92.951
2021-04-13,93.137
2021-04-14,93.031
2021-04-15,93.596
2021-04-16,93.711
2021-04-19,92.988
2021-04-20,91.981
2021-04-21,92.747
2021-04-22,93.374
2021-04-23,93.015
2021-04-26,93.31
2021-04-27,93.272
2021-04-28,93.217
2021-04-29,93.094
2021-04-30,93.488
2021-05-03,93.509
2021-05-04,92.435
2021-05-05,93.519
2021-05-06,92.842
2021-05-07,93.47
2021-05-10,93.163
2021-05-11,91.44
2021-05-12,91.0
2021-05-13,91.246
2021-05-14,91.982
2021-05-17,91.613
2021-05-18,91.556
2021-05-19,89.773
2021-05-20,91.522
2021-05-21,92.052
2021-05-24,92.507
2021-05-25,92.054
2021-05-26,92.44
2021-05-27,92.812
2021-05-28,93.014
2021-05-31,92.396
2021-06-01,92.512
2021-06-02,92.929
2021-06-03,93.15
2021-06-04,93.354
2021-06-07,93.137
2021-06-08,93.225
2021-06-09,93.502
2021-06-10,93.744
2021-06-11,94.383
2021-06-14,94.251
2021-06-15,94.266
2021-06-16,94.465
2021-06-17,95.685
2021-06-18,95.107
2021-06-21,95.532
2021-06-22,96.16
2021-06-23,95.989
2021-06-24,96.63
2021-06-25,96.791
2021-06-28,97.132
2021-06-29,97.468
2021-06-30,97.792
2021-07-01,98.114
2021-07-02,98.769
2021-07-05,99.017
2021-07-06,98.793
2021-07-07,99.468
2021-07-08,98.218
2021-07-09,99.168
2021-07-12,99.458
2021-07-13,100.154
2021-07-14,99.596
2021-07-15,99.537
2021-07-16,99.185
2021-07-19,97.378
2021-07-20,98.892
2021-07-21,99.433
2021-07-22,99.862
2021-07-23,101.092
2021-07-26,100.946
2021-07-27,99.894
2021-07-28,100.65
2021-07-29,100.548
2021-07-30,100.065
2021-08-02,100.287
2021-08-03,99.998
2021-08-04,100.504
2021-08-05,100.891
2021-08-06,101.729
2021-08-09,101.806
2021-08-10,102.19
2021-08-11,102.063
2021-08-12,102.313
2021-08-13,102.093
2021-08-16,101.827
2021-08-17,102.369
2021-08-18,102.295
2021-08-19,101.407
2021-08-20,102.256
2021-08-23,102.928
2021-08-24,102.978
2021-08-25,103.142
2021-08-26,102.776
2021-08-27,103.042
2021-08-30,103.7
2021-08-31,103.492
2021-09-01,103.157
2021-09-02,103.327
2021-09-03,103.082
2021-09-06,103.491
2021-09-07,103.046
2021-09-08,102.782
2021-09-09,103.037
2021-09-10,102.255
2021-09-13,101.97
2021-09-14,101.846
2021-09-15,101.697
2021-09-16,102.233
2021-09-17,102.109
2021-09-20,100.248
2021-09-21,100.856
2021-09-22,101.315
2021-09-23,102.358
2021-09-24,102.348
2021-09-27,102.554
2021-09-28,100.634
2021-09-29,101.46
2021-09-30,101.235
2021-10-01,100.597
2021-10-04,99.386
2021-10-05,101.245
2021-10-06,100.719
2021-10-07,103.211
2021-10-08,102.629
2021-10-11,102.841
2021-10-12,102.088
2021-10-13,101.473
2021-10-14,103.399
2021-10-15,104.182
2021-10-18,104.445
2021-10-19,104.983
2021-10-20,105.376
2021-10-21,105.369
2021-10-22,105.487
2021-10-25,106.188
2021-10-26,107.017
2021-10-27,106.538
2021-10-28,106.094
2021-10-29,107.44
2021-11-01,107.436
2021-11-02,107.952
2021-11-03,107.882
