,AEME FP Equity_DX_SI_QTY,AEME FP Equity_DX_SHORT_INTEREST_VALUE,AEME FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AEME FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AEME FP Equity_DX_SI_MV,AEME FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AEME FP Equity_DX_SUPPLY_SI_QTY,AEME FP Equity_DX_BROKER_SI_QTY,AEME FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AEME FP Equity_DX_SUPPLY_SI_QTY_INC_x,AEME FP Equity_DX_BROKER_SI_MV_INC_x,AEME FP Equity_DX_BROKER_SI_QTY_ADD,AEME FP Equity_DX_SUPPLY_SI_MV_DEC,AEME FP Equity_DX_BROKER_SI_QTY_INC,AEME FP Equity_DX_SUPPLY_SI_QTY_DEC,AEME FP Equity_DX_BROKER_SI_MV_INC_y,AEME FP Equity_DX_SUPPLY_SI_QTY_INC_y,AEME FP Equity_DX_BROKER_SI_MV_ADD,AEME FP Equity_DX_SUPPLY_SI_QTY_ADD,AEME FP Equity_DX_BROKER_SI_QTY_DEC,AEME FP Equity_DX_SUPPLY_SI_MV,AEME FP Equity_DX_BROKER_SI_MV_DEC,AEME FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AEME FP Equity_DX_UTILIZATION_QUANTITY,AEME FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AEME FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AEME FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AEME FP Equity_DX_ACTIVE_UTILIZATION_MV,AEME FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AEME FP Equity_DX_BROKER_SI_CON_RATIO,AEME FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AEME FP Equity_DX_DEMAND_SUPPLY_RATIO,AEME FP Equity_PX_LAST
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.832
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.514
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.741
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.721
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.986
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.56
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.899
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.522
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.172
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.148
2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.05
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.61
2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.251
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.131
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.449
2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.722
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.846
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.894
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.939
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.453
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.169
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.382
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.952
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.233
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.354
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.745
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.526
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.873
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.129
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.769
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.903
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.069
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.438
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.666
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.974
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.59
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.761
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.401
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.172
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.928
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.216
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.632
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.551
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.228
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.133
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.958
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.159
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.541
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.461
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.655
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.314
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.301
2018-02-16,6000.0,336258.0,0.48,0.06,0.34,336258.0,0.0,6000.0,0.0,,,6000.0,,,,,,0.34,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,56.043
2018-02-19,6000.0,333714.0,0.48,0.06,0.33,333714.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.81,0.5,50.19,0.0,55.619
2018-02-20,6000.0,332670.0,0.46,0.06,0.33,332670.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.92,0.5,50.08,0.0,55.445
2018-02-21,6000.0,337632.0,0.45,0.06,0.33,337632.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.63,0.5,50.37,0.0,56.272
2018-02-22,6000.0,335640.0,0.45,0.06,0.34,335640.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.85,0.5,50.15,0.0,55.94
2018-02-23,22600.0,1272764.2,1.39,0.21,1.27,1272764.2,0.0,22600.0,0.0,,0.93,,,16600.0,,0.93,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.83,0.5,50.17,0.0,56.317
2018-02-26,22600.0,1281284.4,1.39,0.21,1.28,1281284.4,0.0,22600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.83,0.5,50.17,0.0,56.694
2018-02-27,22600.0,1269351.6,1.33,0.21,1.28,1269351.6,0.0,22600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.77,0.5,50.23,0.0,56.166
2018-02-28,52600.0,2922982.0,4.34,0.5,2.93,2922982.0,0.0,52600.0,0.0,,1.66,,,30000.0,,1.66,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.73,0.5,50.27,0.0,55.57
2018-03-01,52600.0,2928610.2,4.34,0.5,2.94,2928610.2,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.95,0.5,50.05,0.0,55.677
2018-03-02,52600.0,2842188.4,5.11,0.5,2.89,2842188.4,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.25,0.5001,50.75,0.0,54.034
2018-03-05,52600.0,2873064.6,6.46,0.5,2.86,2873064.6,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.73,0.5,50.27,0.0,54.621
2018-03-06,52600.0,2883532.0,6.41,0.5,2.88,2883532.0,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.91,0.5,50.09,0.0,54.82
2018-03-07,52600.0,2878798.0,6.37,0.49,2.88,2878798.0,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.96,0.5,50.04,0.0,54.73
2018-03-08,52600.0,2908464.4,3.62,0.49,2.89,2908464.4,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.74,0.5,50.26,0.0,55.294
2018-03-09,52600.0,2959170.8,3.62,0.49,2.93,2959170.8,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.57,0.5,50.43,0.0,56.258
2018-03-12,52600.0,2976791.8,3.61,0.49,2.97,2976791.8,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.85,0.5,50.15,0.0,56.593
2018-03-13,52600.0,2947704.0,3.67,0.49,2.96,2947704.0,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.75,0.5,50.25,0.0,56.04
2018-03-14,52600.0,2940866.0,3.35,0.49,2.94,2940866.0,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.94,0.5,50.06,0.0,55.91
2018-03-15,52600.0,2953490.0,3.34,0.49,2.94,2953490.0,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.89,0.5,50.11,0.0,56.15
2018-03-16,52600.0,2952964.0,3.37,0.47,2.96,2952964.0,0.0,52600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.96,0.5,50.04,0.0,56.14
2018-03-19,26300.0,1451155.1,0.52,0.23,1.48,1451155.1,0.0,26300.0,0.0,,,,,,,,,,,26300.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,55.177
2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.268
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.253
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.909
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.841
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.789
2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.594
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.528
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.565
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.407
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86
2018-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.205
2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.102
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.049
2018-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.299
2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.248
2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.587
2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.111
2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.64
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.072
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.376
2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.374
2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.943
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.17
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.04
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.191
