,ALDAR FP Equity_DX_SI_QTY,ALDAR FP Equity_DX_SHORT_INTEREST_VALUE,ALDAR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDAR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDAR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDAR FP Equity_DX_SI_MV,ALDAR FP Equity_DX_DSS,ALDAR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDAR FP Equity_DX_SUPPLY_SI_QTY,ALDAR FP Equity_DX_BROKER_SI_QTY,ALDAR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDAR FP Equity_DX_BROKER_SI_MV_NEW_x,ALDAR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALDAR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDAR FP Equity_DX_BROKER_SI_MV_INC_x,ALDAR FP Equity_DX_SUPPLY_SI_MV_NEW,ALDAR FP Equity_DX_BROKER_SI_QTY_ADD,ALDAR FP Equity_DX_BROKER_SI_QTY_NEW,ALDAR FP Equity_DX_SUPPLY_SI_MV_DEC,ALDAR FP Equity_DX_BROKER_SI_QTY_INC,ALDAR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDAR FP Equity_DX_BROKER_SI_MV_NEW_y,ALDAR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALDAR FP Equity_DX_BROKER_SI_MV_INC_y,ALDAR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDAR FP Equity_DX_BROKER_SI_MV_ADD,ALDAR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDAR FP Equity_DX_BROKER_SI_QTY_DEC,ALDAR FP Equity_DX_SUPPLY_SI_MV,ALDAR FP Equity_DX_BROKER_SI_MV_DEC,ALDAR FP Equity_DX_SUPPLY_SI_MV_RMV,ALDAR FP Equity_DX_BROKER_SI_MV_RMV,ALDAR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDAR FP Equity_DX_UTILIZATION_QUANTITY,ALDAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDAR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDAR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALDAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDAR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDAR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDAR FP Equity_DX_BROKER_SI_CON_RATIO,ALDAR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDAR FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109908.0,2839691.04,,3.91,0.0,,0.0,,0.0
2006-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109582.0,2846997.46,,3.94,0.0,,0.0,,0.0
2006-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109379.0,2822883.25,,3.94,0.0,,0.0,,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110158.0,2844569.1,,3.96,0.0,,0.0,,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110218.0,2843745.37,,3.96,0.0,,0.0,,0.0
2006-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,111605.0,2906764.89,,4.01,0.0,,0.0,,0.0
2006-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110227.0,2867710.35,,4.0,0.0,,0.0,,0.0
2006-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110623.0,2878012.85,,4.0,0.0,,0.0,,0.0
2006-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110536.0,2776585.65,,4.01,0.0,,0.0,,0.0
2006-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,112181.0,2890367.34,,3.93,0.0,,0.0,,0.0
2006-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,112784.0,2905094.32,,4.05,0.0,,0.0,,0.0
2006-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86773.0,2235102.05,,3.12,0.0,,0.0,,0.0
2006-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86834.0,2243528.52,,3.13,0.0,,0.0,,0.0
2006-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86799.0,2248853.73,,3.13,0.0,,0.0,,0.0
2006-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86759.0,2244704.06,,3.13,0.0,,0.0,,0.0
2006-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,89912.0,2300469.49,,3.23,0.0,,0.0,,0.0
2006-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86994.0,2297610.49,,3.1,0.0,,0.0,,0.0
2006-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86275.0,2287908.74,,3.19,0.0,,0.0,,0.0
2006-08-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86344.0,2311427.53,,3.18,0.0,,0.0,,0.0
2006-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86115.0,2348560.16,,3.22,0.0,,0.0,,0.0
2006-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,116064.0,3248638.8,,4.1,0.0,,0.0,,0.0
2006-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,112583.0,3159285.4,,4.05,0.0,,0.0,,0.0
2006-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,113307.0,3179602.17,,4.08,0.0,,0.0,,0.0
2006-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,113381.0,3071825.38,,4.08,0.0,,0.0,,0.0
2006-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,114109.0,3091549.05,,3.99,0.0,,0.0,,0.0
2006-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,114839.0,3131931.72,,4.35,0.0,,0.0,,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,111705.0,3085743.41,,4.26,0.0,,0.0,,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,111922.0,3091737.83,,4.3,0.0,,0.0,,0.0
2006-09-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,115828.0,3163060.54,,4.45,0.0,,0.0,,0.0
2006-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,115903.0,3135162.82,,4.42,0.0,,0.0,,0.0
2006-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,119197.0,3248218.3,,4.5,0.0,,0.0,,0.0
2006-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,116068.0,3165449.46,,4.42,0.0,,0.0,,0.0
2006-09-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,116035.0,3164549.47,,4.42,0.0,,0.0,,0.0
2006-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,116065.0,3165367.64,,4.4,0.0,,0.0,,0.0
2006-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,116140.0,3092395.39,,4.42,0.0,,0.0,,0.0
2006-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,119259.0,3174587.36,,4.42,0.0,,0.0,,0.0
2006-09-14,47.0,1247.73,0.0,0.02,0.0,0.0,0.0,0.0,47.0,0.0,1247.73,,,,,,,,,,,,,,,,47.0,,0.0,,,,0.04,0.04,116307.0,3087660.0,,4.31,0.04,,1.0,100.0,0.0004
2006-09-15,47.0,1248.07,0.0,0.02,0.0,0.0,0.0,1248.07,47.0,47.0,1248.07,,,,,,47.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.04,0.04,116406.0,3091123.64,,4.27,0.04,,1.0,100.0,0.0004
2006-09-18,47.0,1211.98,0.0,0.02,0.0,0.0,0.0,1211.98,59.0,47.0,1521.42,,,12.0,,,,,,,,,,,12.0,,,,0.0,,,,0.05,0.05,116301.0,2999024.08,,4.3,0.05,,1.0,100.0,0.0004
2006-09-19,59.0,1520.15,0.0,0.03,0.0,0.0,0.0,1520.15,59.0,59.0,1520.15,,,0.0,0.0,,,,,12.0,,,,0.0,0.0,,,,0.0,,,,0.05,0.05,117104.0,3017209.49,,4.24,0.05,,1.0,100.0,0.0005
2006-09-20,59.0,1503.63,0.0,0.03,0.0,0.0,0.0,1503.63,59.0,59.0,1503.63,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.05,0.05,119200.0,3037849.22,,4.28,0.05,,1.0,100.0,0.0005
2006-09-21,59.0,1485.0,0.0,0.03,0.0,0.0,0.0,1485.0,59.0,59.0,1485.0,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.05,0.05,116423.0,2930311.83,,4.14,0.05,,1.0,100.0,0.0005
2006-09-22,59.0,1486.27,0.0,0.03,0.0,0.0,0.0,1486.27,59.0,59.0,1486.27,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.05,0.05,116742.0,2940854.46,,4.11,0.05,,1.0,100.0,0.0005
2006-09-25,59.0,1486.27,0.0,0.03,0.0,0.0,0.0,1486.27,59.0,59.0,1486.27,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.05,0.05,116792.0,2942114.01,,4.12,0.05,,1.0,100.0,0.0005
2006-09-26,59.0,1486.27,0.0,0.03,0.0,0.0,0.0,1486.27,59.0,59.0,1486.27,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.05,0.05,116826.0,2942970.51,,4.12,0.05,,1.0,100.0,0.0005
2006-09-27,59.0,1490.51,0.0,0.03,0.0,0.0,0.0,1490.51,59.0,59.0,1490.51,,,,,,,,,,,,,,,,,,0.0,,,,0.05,0.05,119200.0,3011328.99,,4.2,0.05,,1.0,100.0,0.0005
2006-09-28,59.0,1521.84,0.0,0.03,0.0,0.0,0.0,1521.84,59.0,59.0,1521.84,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.05,0.05,115981.0,2991604.71,,4.09,0.05,,1.0,100.0,0.0005
2006-09-29,59.0,1521.42,0.0,0.09,0.0,0.0,0.0,1521.42,60.0,59.0,1547.2,,,1.0,,,,,,,,,,,1.0,,,,0.0,,,,0.05,0.05,116417.0,3002015.34,,4.15,0.05,,1.0,100.0,0.0005
2006-10-02,59.0,1511.68,0.0,0.09,0.0,0.0,0.0,1511.68,59.0,59.0,1511.68,,,,,,,,0.0,,1.0,,,,,,,,0.0,,,,0.05,0.05,115859.0,2968501.53,,4.15,0.05,,1.0,100.0,0.0005
2006-10-03,59.0,1448.16,0.0,0.09,0.0,0.0,0.0,1448.16,59.0,59.0,1448.16,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.05,0.05,116029.0,2847947.25,,4.14,0.05,,1.0,100.0,0.0005
2006-10-04,59.0,1480.34,0.0,0.09,0.0,0.0,0.0,1480.34,59.0,59.0,1480.34,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.05,0.05,119505.0,2998449.83,,4.09,0.05,,1.0,100.0,0.0005
2006-10-05,59.0,1482.04,0.0,0.09,0.0,0.0,0.0,1482.04,60.0,59.0,1507.16,,,1.0,,,,,,,,,,,1.0,,,,0.0,,,,0.05,0.05,116664.0,2930516.65,,4.04,0.05,,1.0,100.0,0.0005
2006-10-06,59.0,1439.27,0.0,0.1,0.0,0.0,0.0,1439.27,59.0,59.0,1439.27,,,,,,,,0.0,,1.0,,,,,,,,0.0,,,,0.05,0.05,115980.0,2829264.53,,4.01,0.05,,1.0,100.0,0.0005
2006-10-09,59.0,1422.76,0.0,0.1,0.0,0.0,0.0,1422.76,59.0,59.0,1422.76,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.05,0.05,116648.0,2812910.15,,3.97,0.05,,1.0,100.0,0.0005
2006-10-10,59.0,1435.04,0.0,0.1,0.0,0.0,0.0,1435.04,59.0,59.0,1435.04,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.05,0.05,116870.0,2842587.87,,3.94,0.05,,1.0,100.0,0.0005
