,ALCWE FP Equity_DX_SI_QTY,ALCWE FP Equity_DX_SHORT_INTEREST_VALUE,ALCWE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCWE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCWE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCWE FP Equity_DX_SI_MV,ALCWE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCWE FP Equity_DX_SUPPLY_SI_QTY,ALCWE FP Equity_DX_BROKER_SI_QTY,ALCWE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCWE FP Equity_DX_SUPPLY_SI_MV,ALCWE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCWE FP Equity_DX_UTILIZATION_QUANTITY,ALCWE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCWE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCWE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCWE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCWE FP Equity_DX_BROKER_SI_CON_RATIO,ALCWE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCWE FP Equity_PX_LAST
2022-12-28,,,,,,,,,,,,,,,,,,,,7.674
2022-12-29,,,,,,,,,,,,,,,,,,,,7.85
2022-12-30,,,,,,,,,,,,,,,,,,,,7.999
2023-01-02,,,,,,,,,,,,,,,,,,,,8.0
2023-01-03,,,,,,,,,,,,,,,,,,,,8.0
2023-01-04,,,,,,,,,,,,,,,,,,,,8.151
2023-01-05,,,,,,,,,,,,,,,,,,,,8.51
2023-01-06,,,,,,,,,,,,,,,,,,,,8.402
2023-01-09,,,,,,,,,,,,,,,,,,,,8.451
2023-01-10,,,,,,,,,,,,,,,,,,,,8.4
2023-01-11,,,,,,,,,,,,,,,,,,,,8.5
2023-01-12,,,,,,,,,,,,,,,,,,,,8.451
2023-01-13,,,,,,,,,,,,,,,,,,,,8.4
2023-01-16,,,,,,,,,,,,,,,,,,,,8.5
2023-01-17,,,,,,,,,,,,,,,,,,,,8.48
2023-01-18,,,,,,,,,,,,,,,,,,,,8.399
2023-01-19,,,,,,,,,,,,,,,,,,,,8.1
2023-01-20,,,,,,,,,,,,,,,,,,,,8.55
2023-01-23,,,,,,,,,,,,,,,,,,,,8.52
2023-01-24,,,,,,,,,,,,,,,,,,,,8.61
2023-01-25,,,,,,,,,,,,,,,,,,,,8.79
2023-01-26,,,,,,,,,,,,,,,,,,,,8.32
2023-01-27,,,,,,,,,,,,,,,,,,,,8.1
2023-01-30,,,,,,,,,,,,,,,,,,,,8.209
2023-01-31,,,,,,,,,,,,,,,,,,,,8.289
2023-02-01,,,,,,,,,,,,,,,,,,,,8.29
2023-02-02,,,,,,,,,,,,,,,,,,,,8.15
2023-02-03,,,,,,,,,,,,,,,,,,,,8.195
2023-02-06,,,,,,,,,,,,,,,,,,,,8.249
2023-02-07,,,,,,,,,,,,,,,,,,,,8.249
2023-02-08,,,,,,,,,,,,,,,,,,,,8.2
2023-02-09,,,,,,,,,,,,,,,,,,,,8.1
2023-02-10,,,,,,,,,,,,,,,,,,,,8.2
2023-02-13,,,,,,,,,,,,,,,,,,,,8.151
2023-02-14,,,,,,,,,,,,,,,,,,,,8.499
2023-02-15,,,,,,,,,,,,,,,,,,,,8.501
2023-02-16,,,,,,,,,,,,,,,,,,,,8.69
2023-02-17,,,,,,,,,,,,,,,,,,,,8.65
2023-02-20,,,,,,,,,,,,,,,,,,,,8.6
2023-02-21,,,,,,,,,,,,,,,,,,,,8.499
2023-02-22,,,,,,,,,,,,,,,,,,,,8.45
2023-02-23,,,,,,,,,,,,,,,,,,,,8.101
2023-02-24,,,,,,,,,,,,,,,,,,,,8.2
2023-02-27,,,,,,,,,,,,,,,,,,,,8.3
2023-02-28,,,,,,,,,,,,,,,,,,,,8.25
2023-03-01,,,,,,,,,,,,,,,,,,,,8.25
2023-03-02,,,,,,,,,,,,,,,,,,,,8.24
2023-03-03,,,,,,,,,,,,,,,,,,,,8.24
2023-03-06,,,,,,,,,,,,,,,,,,,,8.25
2023-03-07,,,,,,,,,,,,,,,,,,,,8.25
2023-03-08,,,,,,,,,,,,,,,,,,,,8.1
2023-03-09,,,,,,,,,,,,,,,,,,,,8.0
2023-03-10,,,,,,,,,,,,,,,,,,,,8.08
2023-03-13,,,,,,,,,,,,,,,,,,,,7.9
2023-03-14,,,,,,,,,,,,,,,,,,,,7.75
2023-03-15,,,,,,,,,,,,,,,,,,,,7.621
2023-03-16,,,,,,,,,,,,,,,,,,,,7.545
2023-03-17,,,,,,,,,,,,,,,,,,,,7.579
2023-03-20,,,,,,,,,,,,,,,,,,,,7.599
2023-03-21,,,,,,,,,,,,,,,,,,,,7.261
2023-03-22,,,,,,,,,,,,,,,,,,,,7.599
2023-03-23,,,,,,,,,,,,,,,,,,,,7.599
2023-03-24,,,,,,,,,,,,,,,,,,,,7.303
2023-03-27,,,,,,,,,,,,,,,,,,,,7.302
2023-03-28,,,,,,,,,,,,,,,,,,,,7.3
2023-03-29,,,,,,,,,,,,,,,,,,,,7.499
2023-03-30,,,,,,,,,,,,,,,,,,,,7.349
2023-03-31,,,,,,,,,,,,,,,,,,,,7.2
2023-04-03,,,,,,,,,,,,,,,,,,,,7.1
2023-04-04,,,,,,,,,,,,,,,,,,,,6.64
2023-04-05,,,,,,,,,,,,,,,,,,,,6.86
2023-04-06,,,,,,,,,,,,,,,,,,,,6.88
2023-04-11,,,,,,,,,,,,,,,,,,,,7.0
2023-04-12,,,,,,,,,,,,,,,,,,,,6.9
2023-04-13,,,,,,,,,,,,,,,,,,,,6.66
2023-04-14,,,,,,,,,,,,,,,,,,,,6.78
2023-04-17,,,,,,,,,,,,,,,,,,,,6.84
2023-04-18,,,,,,,,,,,,,,,,,,,,6.8
2023-04-19,,,,,,,,,,,,,,,,,,,,6.68
2023-04-20,,,,,,,,,,,,,,,,,,,,6.68
2023-04-21,,,,,,,,,,,,,,,,,,,,6.62
2023-04-24,,,,,,,,,,,,,,,,,,,,6.48
2023-04-25,,,,,,,,,,,,,,,,,,,,6.34
2023-04-26,,,,,,,,,,,,,,,,,,,,6.3
2023-04-27,,,,,,,,,,,,,,,,,,,,6.2
2023-04-28,,,,,,,,,,,,,,,,,,,,6.2
2023-05-02,,,,,,,,,,,,,,,,,,,,6.14
2023-05-03,,,,,,,,,,,,,,,,,,,,6.0
2023-05-04,,,,,,,,,,,,,,,,,,,,6.0
2023-05-05,,,,,,,,,,,,,,,,,,,,6.08
2023-05-08,,,,,,,,,,,,,,,,,,,,6.0
2023-05-09,,,,,,,,,,,,,,,,,,,,6.0
2023-05-10,,,,,,,,,,,,,,,,,,,,6.0
2023-05-11,,,,,,,,,,,,,,,,,,,,5.9
2023-05-12,,,,,,,,,,,,,,,,,,,,6.0
2023-05-15,,,,,,,,,,,,,,,,,,,,6.08
2023-05-16,,,,,,,,,,,,,,,,,,,,6.1
2023-05-17,,,,,,,,,,,,,,,,,,,,5.9
2023-05-18,,,,,,,,,,,,,,,,,,,,5.8
2023-05-19,,,,,,,,,,,,,,,,,,,,5.6
2023-05-22,,,,,,,,,,,,,,,,,,,,5.24
2023-05-23,,,,,,,,,,,,,,,,,,,,5.06
2023-05-24,,,,,,,,,,,,,,,,,,,,5.06
2023-05-25,,,,,,,,,,,,,,,,,,,,5.06
2023-05-26,,,,,,,,,,,,,,,,,,,,5.6
2023-05-29,,,,,,,,,,,,,,,,,,,,5.4
2023-05-30,,,,,,,,,,,,,,,,,,,,5.54
2023-05-31,,,,,,,,,,,,,,,,,,,,5.4
2023-06-01,,,,,,,,,,,,,,,,,,,,5.42
2023-06-02,,,,,,,,,,,,,,,,,,,,5.7
2023-06-05,,,,,,,,,,,,,,,,,,,,5.6
2023-06-06,,,,,,,,,,,,,,,,,,,,5.62
2023-06-07,,,,,,,,,,,,,,,,,,,,5.62
2023-06-08,,,,,,,,,,,,,,,,,,,,5.8
2023-06-09,,,,,,,,,,,,,,,,,,,,5.88
2023-06-12,,,,,,,,,,,,,,,,,,,,5.88
2023-06-13,,,,,,,,,,,,,,,,,,,,5.9
2023-06-14,,,,,,,,,,,,,,,,,,,,5.8
2023-06-15,,,,,,,,,,,,,,,,,,,,5.9
2023-06-16,,,,,,,,,,,,,,,,,,,,5.9
2023-06-19,,,,,,,,,,,,,,,,,,,,5.96
2023-06-20,,,,,,,,,,,,,,,,,,,,5.82
2023-06-21,,,,,,,,,,,,,,,,,,,,6.08
2023-06-22,,,,,,,,,,,,,,,,,,,,6.08
2023-06-23,,,,,,,,,,,,,,,,,,,,6.0
2023-06-26,,,,,,,,,,,,,,,,,,,,6.06
2023-06-27,,,,,,,,,,,,,,,,,,,,6.06
2023-06-28,,,,,,,,,,,,,,,,,,,,6.08
2023-06-29,,,,,,,,,,,,,,,,,,,,6.08
2023-06-30,,,,,,,,,,,,,,,,,,,,6.14
2023-07-03,,,,,,,,,,,,,,,,,,,,6.2
2023-07-04,,,,,,,,,,,,,,,,,,,,6.14
2023-07-05,,,,,,,,,,,,,,,,,,,,6.0
2023-07-06,,,,,,,,,,,,,,,,,,,,5.96
2023-07-07,,,,,,,,,,,,,,,,,,,,5.66
2023-07-10,,,,,,,,,,,,,,,,,,,,5.7
2023-07-11,,,,,,,,,,,,,,,,,,,,5.5
2023-07-12,,,,,,,,,,,,,,,,,,,,5.48
2023-07-13,,,,,,,,,,,,,,,,,,,,5.42
2023-07-14,,,,,,,,,,,,,,,,,,,,5.5
2023-07-17,,,,,,,,,,,,,,,,,,,,5.56
2023-07-18,,,,,,,,,,,,,,,,,,,,5.5
2023-07-19,,,,,,,,,,,,,,,,,,,,5.5
2023-07-20,,,,,,,,,,,,,,,,,,,,5.32
2023-07-21,,,,,,,,,,,,,,,,,,,,5.38
2023-07-24,,,,,,,,,,,,,,,,,,,,5.24
2023-07-25,,,,,,,,,,,,,,,,,,,,5.38
2023-07-26,,,,,,,,,,,,,,,,,,,,5.24
2023-07-27,,,,,,,,,,,,,,,,,,,,5.32
2023-07-28,,,,,,,,,,,,,,,,,,,,5.14
2023-07-31,,,,,,,,,,,,,,,,,,,,5.26
2023-08-01,,,,,,,,,,,,,,,,,,,,5.28
2023-08-02,,,,,,,,,,,,,,,,,,,,5.2
2023-08-03,,,,,,,,,,,,,,,,,,,,5.12
2023-08-04,,,,,,,,,,,,,,,,,,,,5.12
2023-08-07,,,,,,,,,,,,,,,,,,,,5.14
2023-08-08,,,,,,,,,,,,,,,,,,,,5.2
2023-08-09,,,,,,,,,,,,,,,,,,,,5.1
2023-08-10,,,,,,,,,,,,,,,,,,,,5.1
2023-08-11,,,,,,,,,,,,,,,,,,,,5.1
2023-08-14,,,,,,,,,,,,,,,,,,,,5.2
2023-08-15,,,,,,,,,,,,,,,,,,,,5.2
2023-08-16,,,,,,,,,,,,,,,,,,,,4.95
2023-08-17,,,,,,,,,,,,,,,,,,,,5.0
2023-08-18,,,,,,,,,,,,,,,,,,,,5.0
2023-08-21,,,,,,,,,,,,,,,,,,,,4.99
2023-08-22,,,,,,,,,,,,,,,,,,,,4.95
2023-08-23,,,,,,,,,,,,,,,,,,,,5.0
2023-08-24,,,,,,,,,,,,,,,,,,,,5.0
2023-08-25,,,,,,,,,,,,,,,,,,,,4.99
2023-08-28,,,,,,,,,,,,,,,,,,,,5.0
2023-08-29,,,,,,,,,,,,,,,,,,,,5.0
2023-08-30,,,,,,,,,,,,,,,,,,,,4.97
2023-08-31,,,,,,,,,,,,,,,,,,,,5.0
2023-09-01,,,,,,,,,,,,,,,,,,,,4.98
2023-09-04,,,,,,,,,,,,,,,,,,,,4.81
2023-09-05,,,,,,,,,,,,,,,,,,,,4.81
2023-09-06,,,,,,,,,,,,,,,,,,,,4.65
2023-09-07,,,,,,,,,,,,,,,,,,,,4.7
2023-09-08,,,,,,,,,,,,,,,,,,,,4.7
2023-09-11,,,,,,,,,,,,,,,,,,,,4.8
2023-09-12,,,,,,,,,,,,,,,,,,,,4.75
2023-09-13,,,,,,,,,,,,,,,,,,,,4.53
2023-09-14,,,,,,,,,,,,,,,,,,,,4.7
2023-09-15,,,,,,,,,,,,,,,,,,,,4.7
2023-09-18,,,,,,,,,,,,,,,,,,,,4.77
2023-09-19,,,,,,,,,,,,,,,,,,,,4.7
2023-09-20,,,,,,,,,,,,,,,,,,,,4.6
2023-09-21,,,,,,,,,,,,,,,,,,,,4.6
2023-09-22,,,,,,,,,,,,,,,,,,,,4.55
2023-09-25,,,,,,,,,,,,,,,,,,,,4.5
2023-09-26,,,,,,,,,,,,,,,,,,,,4.6
2023-09-27,,,,,,,,,,,,,,,,,,,,4.4
2023-09-28,,,,,,,,,,,,,,,,,,,,4.4
2023-09-29,,,,,,,,,,,,,,,,,,,,4.5
2023-10-02,,,,,,,,,,,,,,,,,,,,4.5
2023-10-03,,,,,,,,,,,,,,,,,,,,4.3
2023-10-04,,,,,,,,,,,,,,,,,,,,4.32
2023-10-05,,,,,,,,,,,,,,,,,,,,4.49
2023-10-06,,,,,,,,,,,,,,,,,,,,4.29
2023-10-09,,,,,,,,,,,,,,,,,,,,4.29
2023-10-10,,,,,,,,,,,,,,,,,,,,4.25
2023-10-11,,,,,,,,,,,,,,,,,,,,4.23
2023-10-12,,,,,,,,,,,,,,,,,,,,4.25
2023-10-13,,,,,,,,,,,,,,,,,,,,4.2
2023-10-16,,,,,,,,,,,,,,,,,,,,4.3
2023-10-17,,,,,,,,,,,,,,,,,,,,4.3
2023-10-18,,,,,,,,,,,,,,,,,,,,4.25
2023-10-19,,,,,,,,,,,,,,,,,,,,4.24
2023-10-20,,,,,,,,,,,,,,,,,,,,4.2
2023-10-23,,,,,,,,,,,,,,,,,,,,4.19
2023-10-24,,,,,,,,,,,,,,,,,,,,4.18
2023-10-25,,,,,,,,,,,,,,,,,,,,4.1
2023-10-26,,,,,,,,,,,,,,,,,,,,4.1
2023-10-27,,,,,,,,,,,,,,,,,,,,4.0
2023-10-30,,,,,,,,,,,,,,,,,,,,4.17
2023-10-31,,,,,,,,,,,,,,,,,,,,4.0
2023-11-01,,,,,,,,,,,,,,,,,,,,4.05
2023-11-02,,,,,,,,,,,,,,,,,,,,4.0
2023-11-03,,,,,,,,,,,,,,,,,,,,4.06
2023-11-06,,,,,,,,,,,,,,,,,,,,4.18
2023-11-07,,,,,,,,,,,,,,,,,,,,4.18
2023-11-08,,,,,,,,,,,,,,,,,,,,4.17
2023-11-09,,,,,,,,,,,,,,,,,,,,4.18
2023-11-10,,,,,,,,,,,,,,,,,,,,4.16
2023-11-13,,,,,,,,,,,,,,,,,,,,4.15
2023-11-14,,,,,,,,,,,,,,,,,,,,4.1
2023-11-15,,,,,,,,,,,,,,,,,,,,4.1
2023-11-16,,,,,,,,,,,,,,,,,,,,4.11
2023-11-17,,,,,,,,,,,,,,,,,,,,4.2
2023-11-20,,,,,,,,,,,,,,,,,,,,4.2
2023-11-21,,,,,,,,,,,,,,,,,,,,4.26
2023-11-22,,,,,,,,,,,,,,,,,,,,4.23
2023-11-23,,,,,,,,,,,,,,,,,,,,4.2
2023-11-24,,,,,,,,,,,,,,,,,,,,4.13
2023-11-27,,,,,,,,,,,,,,,,,,,,4.1
2023-11-28,,,,,,,,,,,,,,,,,,,,4.1
2023-11-29,,,,,,,,,,,,,,,,,,,,4.18
2023-11-30,,,,,,,,,,,,,,,,,,,,4.18
2023-12-01,,,,,,,,,,,,,,,,,,,,4.18
2023-12-04,,,,,,,,,,,,,,,,,,,,4.1
2023-12-05,,,,,,,,,,,,,,,,,,,,4.18
2023-12-06,,,,,,,,,,,,,,,,,,,,4.1
2023-12-07,,,,,,,,,,,,,,,,,,,,4.18
2023-12-08,,,,,,,,,,,,,,,,,,,,4.1
2023-12-11,,,,,,,,,,,,,,,,,,,,4.18
2023-12-12,,,,,,,,,,,,,,,,,,,,4.07
2023-12-13,,,,,,,,,,,,,,,,,,,,4.17
2023-12-14,,,,,,,,,,,,,,,,,,,,4.15
2023-12-15,,,,,,,,,,,,,,,,,,,,4.01
2023-12-18,,,,,,,,,,,,,,,,,,,,4.13
2023-12-19,,,,,,,,,,,,,,,,,,,,4.13
2023-12-20,,,,,,,,,,,,,,,,,,,,4.1
2023-12-21,,,,,,,,,,,,,,,,,,,,4.05
2023-12-22,,,,,,,,,,,,,,,,,,,,3.9
2023-12-27,,,,,,,,,,,,,,,,,,,,4.0
2023-12-28,,,,,,,,,,,,,,,,,,,,4.07
2023-12-29,,,,,,,,,,,,,,,,,,,,3.9
2024-01-02,,,,,,,,,,,,,,,,,,,,3.9
2024-01-03,,,,,,,,,,,,,,,,,,,,3.83
2024-01-04,,,,,,,,,,,,,,,,,,,,4.0
2024-01-05,,,,,,,,,,,,,,,,,,,,3.83
2024-01-08,,,,,,,,,,,,,,,,,,,,3.83
2024-01-09,,,,,,,,,,,,,,,,,,,,3.83
2024-01-10,,,,,,,,,,,,,,,,,,,,3.82
2024-01-11,,,,,,,,,,,,,,,,,,,,3.9
2024-01-12,,,,,,,,,,,,,,,,,,,,3.9
2024-01-15,,,,,,,,,,,,,,,,,,,,3.91
2024-01-16,,,,,,,,,,,,,,,,,,,,3.83
2024-01-17,,,,,,,,,,,,,,,,,,,,3.83
2024-01-18,,,,,,,,,,,,,,,,,,,,3.83
2024-01-19,,,,,,,,,,,,,,,,,,,,3.82
2024-01-22,,,,,,,,,,,,,,,,,,,,3.81
2024-01-23,,,,,,,,,,,,,,,,,,,,3.8
2024-01-24,,,,,,,,,,,,,,,,,,,,4.04
2024-01-25,,,,,,,,,,,,,,,,,,,,4.03
2024-01-26,,,,,,,,,,,,,,,,,,,,4.04
2024-01-29,,,,,,,,,,,,,,,,,,,,4.05
2024-01-30,,,,,,,,,,,,,,,,,,,,4.04
2024-01-31,,,,,,,,,,,,,,,,,,,,4.04
2024-02-01,,,,,,,,,,,,,,,,,,,,4.04
2024-02-02,,,,,,,,,,,,,,,,,,,,3.9
2024-02-05,,,,,,,,,,,,,,,,,,,,4.04
2024-02-06,,,,,,,,,,,,,,,,,,,,4.0
2024-02-07,,,,,,,,,,,,,,,,,,,,3.96
2024-02-08,,,,,,,,,,,,,,,,,,,,3.9
2024-02-09,,,,,,,,,,,,,,,,,,,,4.01
2024-02-12,,,,,,,,,,,,,,,,,,,,3.94
2024-02-13,,,,,,,,,,,,,,,,,,,,3.9
2024-02-14,,,,,,,,,,,,,,,,,,,,3.8
2024-02-15,,,,,,,,,,,,,,,,,,,,3.9
2024-02-16,,,,,,,,,,,,,,,,,,,,3.8
2024-02-19,,,,,,,,,,,,,,,,,,,,3.8
2024-02-20,,,,,,,,,,,,,,,,,,,,3.84
