,ELLE FP Equity_PX_LAST
2019-05-16,9.381
2019-05-17,9.327
2019-05-20,9.273
2019-05-21,9.34
2019-05-22,9.353
2019-05-23,9.25
2019-05-24,9.246
2019-05-27,9.268
2019-05-28,9.265
2019-05-29,9.155
2019-05-30,9.168
2019-05-31,9.118
2019-06-03,9.106
2019-06-04,9.169
2019-06-05,9.215
2019-06-06,9.241
2019-06-07,9.329
2019-06-10,9.371
2019-06-11,9.382
2019-06-12,9.365
2019-06-13,9.373
2019-06-14,9.37
2019-06-17,9.361
2019-06-18,9.503
2019-06-19,9.492
2019-06-20,9.502
2019-06-21,9.487
2019-06-24,9.441
2019-06-25,9.412
2019-06-26,9.381
2019-06-27,9.393
2019-06-28,9.448
2019-07-01,9.556
2019-07-02,9.584
2019-07-03,9.71
2019-07-04,9.709
2019-07-05,9.673
2019-07-08,9.634
2019-07-09,9.601
2019-07-10,9.601
2019-07-11,9.584
2019-07-12,9.617
2019-07-15,9.622
2019-07-16,9.668
2019-07-17,9.618
2019-07-18,9.601
2019-07-19,9.64
2019-07-22,9.616
2019-07-23,9.708
2019-07-24,9.778
2019-07-25,9.804
2019-07-26,9.795
2019-07-29,9.799
2019-07-30,9.714
2019-07-31,9.717
2019-08-01,9.79
2019-08-02,9.503
2019-08-05,9.269
2019-08-06,9.19
2019-08-07,9.203
2019-08-08,9.407
2019-08-09,9.347
2019-08-12,9.308
2019-08-13,9.388
2019-08-14,9.254
2019-08-15,9.229
2019-08-16,9.348
2019-08-19,9.472
2019-08-20,9.438
2019-08-21,9.497
2019-08-22,9.477
2019-08-23,9.356
2019-08-26,9.358
2019-08-27,9.421
2019-08-28,9.417
2019-08-29,9.533
2019-08-30,9.64
2019-09-02,9.627
2019-09-03,9.633
2019-09-04,9.656
2019-09-05,9.753
2019-09-06,9.772
2019-09-09,9.762
2019-09-10,9.741
2019-09-11,9.85
2019-09-12,9.885
2019-09-13,9.91
2019-09-16,9.888
2019-09-17,9.877
2019-09-18,9.87
2019-09-19,9.946
2019-09-20,9.959
2019-09-23,9.897
2019-09-24,9.898
2019-09-25,9.866
2019-09-26,9.909
2019-09-27,9.946
2019-09-30,9.974
2019-10-01,9.857
2019-10-02,9.571
2019-10-03,9.549
2019-10-04,9.662
2019-10-07,9.729
2019-10-08,9.59
2019-10-09,9.627
2019-10-10,9.616
2019-10-11,9.83
2019-10-14,9.759
2019-10-15,9.876
2019-10-16,9.811
2019-10-17,9.78
2019-10-18,9.733
2019-10-21,9.812
2019-10-22,9.841
2019-10-23,9.836
2019-10-24,9.846
2019-10-25,9.87
2019-10-28,9.917
2019-10-29,9.905
2019-10-30,9.879
2019-10-31,9.828
2019-11-01,9.909
2019-11-04,9.986
2019-11-05,10.05
2019-11-06,10.042
2019-11-07,10.136
2019-11-08,10.11
2019-11-11,10.114
2019-11-12,10.172
2019-11-13,10.128
2019-11-14,10.088
2019-11-15,10.136
2019-11-18,10.094
2019-11-19,10.108
2019-11-20,10.08
2019-11-21,10.024
2019-11-22,10.084
2019-11-25,10.196
2019-11-26,10.218
2019-11-27,10.282
2019-11-28,10.284
2019-11-29,10.234
2019-12-02,10.086
2019-12-03,9.98
2019-12-04,10.106
2019-12-05,10.092
2019-12-06,10.256
2019-12-09,10.23
2019-12-10,10.19
2019-12-11,10.208
2019-12-12,10.246
2019-12-13,10.28
2019-12-16,10.398
2019-12-17,10.328
2019-12-18,10.388
2019-12-19,10.4
2019-12-20,10.494
2019-12-23,10.508
2019-12-24,10.502
2019-12-27,10.49
2019-12-30,10.396
2019-12-31,10.36
2020-01-02,10.47
2020-01-03,10.428
2020-01-06,10.404
2020-01-07,10.456
2020-01-08,10.48
2020-01-09,10.52
2020-01-10,10.524
2020-01-13,10.52
2020-01-14,10.564
2020-01-15,10.56
2020-01-16,10.632
2020-01-17,10.724
2020-01-20,10.69
2020-01-21,10.674
2020-01-22,10.692
2020-01-23,10.662
2020-01-24,10.694
2020-01-27,10.536
2020-01-28,10.594
2020-01-29,10.626
2020-01-30,10.532
2020-01-31,10.462
2020-02-03,10.532
2020-02-04,10.668
2020-02-05,10.716
2020-02-06,10.812
2020-02-07,10.772
2020-02-10,10.846
2020-02-11,10.864
2020-02-12,10.936
2020-02-13,10.952
2020-02-14,10.986
2020-02-17,11.01
2020-02-18,10.954
2020-02-19,11.058
2020-02-20,10.994
2020-02-21,10.94
2020-02-24,10.608
2020-02-25,10.408
2020-02-26,10.36
2020-02-27,9.921
2020-02-28,9.525
2020-03-02,9.565
2020-03-03,9.654
2020-03-04,9.737
2020-03-05,9.69
2020-03-06,9.314
2020-03-09,8.665
2020-03-10,8.518
2020-03-11,8.534
2020-03-12,7.647
2020-03-13,8.17
2020-03-16,7.439
2020-03-17,7.631
2020-03-18,7.241
2020-03-19,7.411
2020-03-20,7.437
2020-03-23,7.043
2020-03-24,7.561
2020-03-25,7.843
2020-03-26,8.011
2020-03-27,7.742
2020-03-30,7.91
2020-03-31,8.069
2020-04-01,7.728
2020-04-02,7.784
2020-04-03,7.715
2020-04-06,8.015
2020-04-07,8.268
2020-04-08,8.305
2020-04-09,8.519
2020-04-14,8.571
2020-04-15,8.325
2020-04-16,8.417
2020-04-17,8.559
2020-04-20,8.619
2020-04-21,8.257
2020-04-22,8.418
2020-04-23,8.521
2020-04-24,8.447
2020-04-27,8.648
2020-04-28,8.721
2020-04-29,8.919
2020-04-30,8.771
2020-05-04,8.464
2020-05-05,8.702
2020-05-06,8.619
2020-05-07,8.74
2020-05-08,8.772
2020-05-11,8.778
2020-05-12,8.779
2020-05-13,8.57
2020-05-14,8.478
2020-05-15,8.553
2020-05-18,8.872
2020-05-19,8.824
2020-05-20,8.857
2020-05-21,8.776
2020-05-22,8.8
2020-05-25,8.995
2020-05-26,9.018
2020-05-27,9.053
2020-05-28,9.18
2020-05-29,8.977
2020-06-01,9.14
2020-06-02,9.189
2020-06-03,9.398
2020-06-04,9.367
2020-06-05,9.649
2020-06-08,9.656
2020-06-09,9.537
2020-06-10,9.451
2020-06-11,9.02
2020-06-12,9.04
2020-06-15,8.983
2020-06-16,9.301
2020-06-17,9.294
2020-06-18,9.272
2020-06-19,9.33
2020-06-22,9.209
2020-06-23,9.278
2020-06-24,9.018
2020-06-25,9.001
2020-06-26,8.993
2020-06-29,9.027
2020-06-30,9.102
2020-07-01,9.138
2020-07-02,9.298
2020-07-03,9.223
2020-07-06,9.302
2020-07-07,9.261
2020-07-08,9.182
2020-07-09,9.081
2020-07-10,9.157
2020-07-13,9.272
2020-07-14,9.176
2020-07-15,9.334
2020-07-16,9.293
2020-07-17,9.314
2020-07-20,9.337
2020-07-21,9.409
2020-07-22,9.314
2020-07-23,9.361
2020-07-24,9.213
2020-07-27,9.121
2020-07-28,9.179
2020-07-29,9.168
2020-07-30,9.022
2020-07-31,8.962
2020-08-03,9.136
2020-08-04,9.136
2020-08-05,9.147
2020-08-06,9.125
2020-08-07,9.181
2020-08-10,9.268
2020-08-11,9.379
2020-08-12,9.411
2020-08-13,9.413
2020-08-14,9.32
2020-08-17,9.324
2020-08-18,9.265
2020-08-19,9.334
2020-08-20,9.25
2020-08-21,9.269
2020-08-24,9.392
2020-08-25,9.378
2020-08-26,9.481
2020-08-27,9.476
2020-08-28,9.426
2020-08-31,9.375
2020-09-01,9.374
2020-09-02,9.567
2020-09-03,9.421
2020-09-04,9.215
2020-09-07,9.398
2020-09-08,9.276
2020-09-09,9.375
2020-09-10,9.316
2020-09-11,9.275
2020-09-14,9.334
2020-09-15,9.375
2020-09-16,9.436
2020-09-17,9.355
2020-09-18,9.27
2020-09-21,9.036
2020-09-22,9.116
2020-09-23,9.195
2020-09-24,9.056
2020-09-25,9.121
2020-09-28,9.305
2020-09-29,9.209
2020-09-30,9.249
2020-10-01,9.289
2020-10-02,9.339
2020-10-05,9.399
2020-10-06,9.458
2020-10-07,9.453
2020-10-08,9.53
2020-10-09,9.578
2020-10-12,9.661
2020-10-13,9.66
2020-10-14,9.654
2020-10-15,9.561
2020-10-16,9.638
2020-10-19,9.601
2020-10-20,9.51
2020-10-21,9.448
2020-10-22,9.485
2020-10-23,9.546
2020-10-26,9.353
2020-10-27,9.306
2020-10-28,9.109
2020-10-29,9.101
2020-10-30,9.103
2020-11-02,9.26
2020-11-03,9.416
2020-11-04,9.54
2020-11-05,9.61
2020-11-06,9.558
2020-11-09,10.202
2020-11-10,10.1
2020-11-11,10.19
2020-11-12,10.066
2020-11-13,10.104
2020-11-16,10.286
2020-11-17,10.286
2020-11-18,10.34
2020-11-19,10.228
2020-11-20,10.254
2020-11-23,10.31
2020-11-24,10.458
2020-11-25,10.464
2020-11-26,10.426
2020-11-27,10.404
2020-11-30,10.276
2020-12-01,10.372
2020-12-02,10.332
2020-12-03,10.364
2020-12-04,10.45
2020-12-07,10.406
2020-12-08,10.446
2020-12-09,10.494
2020-12-10,10.416
2020-12-11,10.384
2020-12-14,10.396
2020-12-15,10.394
2020-12-16,10.444
2020-12-17,10.434
2020-12-18,10.398
2020-12-21,10.188
2020-12-22,10.326
2020-12-23,10.436
2020-12-24,10.46
2020-12-28,10.494
2020-12-29,10.526
2020-12-30,10.506
2020-12-31,10.468
2021-01-04,10.434
2021-01-05,10.462
2021-01-06,10.732
2021-01-07,10.776
2021-01-08,10.81
2021-01-11,10.816
2021-01-12,10.89
2021-01-13,10.892
2021-01-14,10.93
2021-01-15,10.858
2021-01-18,10.876
2021-01-19,10.886
2021-01-20,10.942
2021-01-21,10.938
2021-01-22,10.852
2021-01-25,10.792
2021-01-26,10.83
2021-01-27,10.732
2021-01-28,10.734
2021-01-29,10.532
2021-02-01,10.622
2021-02-02,10.81
2021-02-03,10.84
2021-02-04,10.95
2021-02-05,10.97
2021-02-08,10.998
2021-02-09,10.948
2021-02-10,10.972
2021-02-11,10.986
2021-02-12,11.0
2021-02-15,11.126
2021-02-16,11.1
2021-02-17,11.07
2021-02-18,11.056
2021-02-19,11.064
2021-02-22,11.072
2021-02-23,11.11
2021-02-24,11.21
2021-02-25,11.128
2021-02-26,10.986
2021-03-01,11.244
2021-03-02,11.228
2021-03-03,11.294
2021-03-04,11.19
2021-03-05,11.178
2021-03-08,11.528
2021-03-09,11.57
2021-03-10,11.582
2021-03-11,11.608
2021-03-12,11.664
2021-03-15,11.698
2021-03-16,11.794
2021-03-17,11.7
2021-03-18,11.804
2021-03-19,11.684
2021-03-22,11.632
2021-03-23,11.594
2021-03-24,11.614
2021-03-25,11.59
2021-03-26,11.78
2021-03-29,11.764
2021-03-30,11.884
2021-03-31,11.826
2021-04-01,11.842
2021-04-06,11.924
2021-04-07,11.858
2021-04-08,11.92
2021-04-09,11.938
2021-04-12,11.948
2021-04-13,11.946
2021-04-14,11.98
2021-04-15,12.066
2021-04-16,12.106
2021-04-19,12.064
2021-04-20,11.848
2021-04-21,11.916
2021-04-22,12.062
2021-04-23,11.992
2021-04-26,12.016
2021-04-27,12.058
2021-04-28,12.052
2021-04-29,11.98
2021-04-30,12.042
2021-05-03,12.106
2021-05-04,12.026
2021-05-05,12.162
2021-05-06,12.138
2021-05-07,12.216
2021-05-10,12.28
2021-05-11,12.034
2021-05-12,12.05
2021-05-13,12.026
2021-05-14,12.168
2021-05-17,12.144
2021-05-18,12.146
2021-05-19,11.918
2021-05-20,12.072
2021-05-21,12.12
2021-05-24,12.136
2021-05-25,12.076
2021-05-26,12.116
2021-05-27,12.156
2021-05-28,12.15
2021-05-31,12.108
2021-06-01,12.18
2021-06-02,12.24
2021-06-03,12.248
2021-06-04,12.272
2021-06-07,12.332
2021-06-08,12.32
2021-06-09,12.334
2021-06-10,12.354
2021-06-11,12.402
2021-06-14,12.374
2021-06-15,12.376
2021-06-16,12.414
2021-06-17,12.41
2021-06-18,12.228
2021-06-21,12.326
2021-06-22,12.336
2021-06-23,12.3
2021-06-24,12.374
2021-06-25,12.432
2021-06-28,12.344
2021-06-29,12.358
2021-06-30,12.364
2021-07-01,12.46
2021-07-02,12.498
2021-07-05,12.552
2021-07-06,12.414
2021-07-07,12.508
2021-07-08,12.308
2021-07-09,12.514
2021-07-12,12.566
2021-07-13,12.556
2021-07-14,12.526
2021-07-15,12.46
2021-07-16,12.41
2021-07-19,12.09
2021-07-20,12.236
2021-07-21,12.392
2021-07-22,12.406
2021-07-23,12.524
2021-07-26,12.506
2021-07-27,12.432
2021-07-28,12.472
2021-07-29,12.504
2021-07-30,12.44
2021-08-02,12.494
2021-08-03,12.506
2021-08-04,12.54
2021-08-05,12.57
2021-08-06,12.672
2021-08-09,12.68
2021-08-10,12.744
2021-08-11,12.794
2021-08-12,12.802
2021-08-13,12.784
2021-08-16,12.76
2021-08-17,12.716
2021-08-18,12.742
2021-08-19,12.566
2021-08-20,12.616
2021-08-23,12.708
2021-08-24,12.706
2021-08-25,12.674
2021-08-26,12.642
2021-08-27,12.684
2021-08-30,12.692
2021-08-31,12.66
2021-09-01,12.624
2021-09-02,12.654
2021-09-03,12.586
2021-09-06,12.654
2021-09-07,12.584
2021-09-08,12.538
2021-09-09,12.516
2021-09-10,12.44
2021-09-13,12.482
2021-09-14,12.428
2021-09-15,12.426
2021-09-16,12.468
2021-09-17,12.402
2021-09-20,12.194
2021-09-21,12.282
2021-09-22,12.378
2021-09-23,12.536
2021-09-24,12.476
2021-09-27,12.554
2021-09-28,12.364
2021-09-29,12.398
2021-09-30,12.364
2021-10-01,12.342
2021-10-04,12.266
2021-10-05,12.422
2021-10-06,12.288
2021-10-07,12.542
2021-10-08,12.504
2021-10-11,12.54
2021-10-12,12.528
2021-10-13,12.482
2021-10-14,12.656
2021-10-15,12.738
2021-10-18,12.672
2021-10-19,12.714
2021-10-20,12.78
2021-10-21,12.724
2021-10-22,12.788
2021-10-25,12.81
2021-10-26,12.918
2021-10-27,12.838
2021-10-28,12.852
2021-10-29,12.914
2021-11-01,12.944
2021-11-02,12.968
2021-11-03,13.0
2021-11-04,13.098
2021-11-05,13.13
2021-11-08,13.122
2021-11-09,13.064
2021-11-10,13.15
2021-11-11,13.16
2021-11-12,13.206
2021-11-15,13.314
2021-11-16,13.35
2021-11-17,13.268
2021-11-18,13.218
2021-11-19,13.222
2021-11-22,13.262
2021-11-23,13.202
2021-11-24,13.212
2021-11-25,13.246
2021-11-26,12.764
2021-11-29,12.852
2021-11-30,12.648
2021-12-01,12.774
2021-12-02,12.628
2021-12-03,12.578
2021-12-06,12.784
2021-12-07,13.006
2021-12-08,12.912
2021-12-09,12.918
2021-12-10,12.882
2021-12-13,12.86
2021-12-14,12.794
2021-12-15,12.756
2021-12-16,12.928
2021-12-17,12.878
2021-12-20,12.638
2021-12-21,12.846
2021-12-22,12.916
2021-12-23,13.048
2021-12-24,13.064
2021-12-27,13.13
2021-12-28,13.206
2021-12-29,13.168
2021-12-30,13.234
2021-12-31,13.172
2022-01-03,13.244
2022-01-04,13.426
2022-01-05,13.396
2022-01-06,13.236
2022-01-07,13.214
2022-01-10,13.094
2022-01-11,13.148
2022-01-12,13.158
2022-01-13,13.216
2022-01-14,13.046
2022-01-17,13.18
2022-01-18,13.002
2022-01-19,13.02
2022-01-20,13.064
2022-01-21,12.78
2022-01-24,12.332
2022-01-25,12.468
2022-01-26,12.644
2022-01-27,12.664
2022-01-28,12.546
2022-01-31,12.702
2022-02-01,12.8
2022-02-02,12.806
2022-02-03,12.604
2022-02-04,12.434
2022-02-07,12.508
2022-02-08,12.58
2022-02-09,12.752
2022-02-10,12.746
2022-02-11,12.688
2022-02-14,12.534
2022-02-15,12.674
2022-02-16,12.606
2022-02-17,12.534
2022-02-18,12.438
2022-02-21,12.322
2022-02-22,12.346
2022-02-23,12.288
2022-02-24,11.966
2022-02-25,12.35
2022-02-28,12.342
2022-03-01,12.2
2022-03-02,12.37
2022-03-03,12.222
2022-03-04,12.046
2022-03-07,11.922
2022-03-08,11.75
2022-03-09,12.002
2022-03-10,11.9
2022-03-11,11.992
2022-03-14,12.006
2022-03-15,12.078
2022-03-16,12.344
2022-03-17,12.39
2022-03-18,12.504
2022-03-21,12.52
2022-03-22,12.632
2022-03-23,12.552
2022-03-24,12.534
2022-03-25,12.598
2022-03-28,12.57
2022-03-29,12.79
2022-03-30,12.724
2022-03-31,12.648
2022-04-01,12.66
2022-04-04,12.766
2022-04-05,12.892
2022-04-06,12.702
2022-04-07,12.654
2022-04-08,12.846
2022-04-11,12.766
2022-04-12,12.782
2022-04-13,12.772
2022-04-14,12.896
2022-04-19,12.866
2022-04-20,12.946
2022-04-21,12.936
2022-04-22,12.698
2022-04-25,12.492
2022-04-26,12.524
2022-04-27,12.624
2022-04-28,12.658
2022-04-29,12.716
2022-05-02,12.44
2022-05-03,12.656
2022-05-04,12.528
2022-05-05,12.52
2022-05-06,12.27
2022-05-09,12.058
2022-05-10,12.006
2022-05-11,12.144
2022-05-12,12.076
2022-05-13,12.342
2022-05-16,12.342
2022-05-17,12.436
2022-05-18,12.266
2022-05-19,12.034
2022-05-20,12.064
2022-05-23,12.202
2022-05-24,11.926
2022-05-25,12.106
2022-05-26,12.236
2022-05-27,12.388
2022-05-30,12.43
2022-05-31,12.332
2022-06-01,12.288
2022-06-02,12.306
2022-06-03,12.28
2022-06-06,12.376
2022-06-07,12.294
2022-06-08,12.286
2022-06-09,12.138
2022-06-10,11.876
2022-06-13,11.534
2022-06-14,11.424
2022-06-15,11.536
2022-06-16,11.212
2022-06-17,11.276
2022-06-20,11.386
2022-06-21,11.42
2022-06-22,11.396
2022-06-23,11.402
2022-06-24,11.696
2022-06-27,11.71
2022-06-28,11.754
2022-06-29,11.638
2022-06-30,11.53
2022-07-01,11.63
2022-07-04,11.692
2022-07-05,11.606
2022-07-06,11.848
2022-07-07,12.034
2022-07-08,12.052
2022-07-11,12.014
2022-07-12,12.088
2022-07-13,11.938
2022-07-14,11.826
2022-07-15,11.952
2022-07-18,12.012
2022-07-19,12.09
2022-07-20,12.156
2022-07-21,12.152
2022-07-22,12.146
2022-07-25,12.192
2022-07-26,12.166
2022-07-27,12.256
2022-07-28,12.386
2022-07-29,12.47
2022-08-01,12.472
2022-08-02,12.456
2022-08-03,12.568
2022-08-04,12.542
2022-08-05,12.51
2022-08-08,12.622
2022-08-09,12.548
2022-08-10,12.636
2022-08-11,12.704
2022-08-12,12.77
2022-08-15,12.85
2022-08-16,12.922
2022-08-17,12.772
2022-08-18,12.832
2022-08-19,12.76
2022-08-22,12.706
2022-08-23,12.63
2022-08-24,12.672
2022-08-25,12.692
2022-08-26,12.51
2022-08-29,12.366
2022-08-30,12.274
2022-08-31,12.144
2022-09-01,12.078
2022-09-02,12.216
2022-09-05,12.132
2022-09-06,12.14
2022-09-07,12.082
2022-09-08,12.218
2022-09-09,12.332
2022-09-12,12.454
2022-09-13,12.276
2022-09-14,12.11
2022-09-15,12.082
2022-09-16,11.904
2022-09-19,11.912
2022-09-20,11.832
2022-09-21,11.96
2022-09-22,11.74
2022-09-23,11.578
2022-09-26,11.544
2022-09-27,11.506
2022-09-28,11.57
2022-09-29,11.362
2022-09-30,11.404
2022-10-03,11.468
2022-10-04,11.65
2022-10-05,11.596
2022-10-06,11.6
2022-10-07,11.4
2022-10-10,11.404
2022-10-11,11.314
2022-10-12,11.268
2022-10-13,11.28
2022-10-14,11.45
2022-10-17,11.542
2022-10-18,11.592
2022-10-19,11.586
2022-10-20,11.606
