,SCR FP Equity_DX_SI_QTY,SCR FP Equity_DX_SHORT_INTEREST_VALUE,SCR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SCR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SCR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SCR FP Equity_DX_SI_MV,SCR FP Equity_DX_DSS,SCR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SCR FP Equity_DX_SUPPLY_SI_QTY,SCR FP Equity_DX_BROKER_SI_QTY,SCR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SCR FP Equity_DX_BROKER_SI_MV_NEW_x,SCR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SCR FP Equity_DX_SUPPLY_SI_QTY_INC_x,SCR FP Equity_DX_BROKER_SI_MV_INC_x,SCR FP Equity_DX_SUPPLY_SI_MV_NEW,SCR FP Equity_DX_BROKER_SI_QTY_ADD,SCR FP Equity_DX_BROKER_SI_QTY_NEW,SCR FP Equity_DX_SUPPLY_SI_MV_DEC,SCR FP Equity_DX_BROKER_SI_QTY_INC,SCR FP Equity_DX_SUPPLY_SI_QTY_DEC,SCR FP Equity_DX_BROKER_SI_MV_NEW_y,SCR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SCR FP Equity_DX_BROKER_SI_MV_INC_y,SCR FP Equity_DX_SUPPLY_SI_QTY_INC_y,SCR FP Equity_DX_BROKER_SI_MV_ADD,SCR FP Equity_DX_SUPPLY_SI_QTY_ADD,SCR FP Equity_DX_BROKER_SI_QTY_DEC,SCR FP Equity_DX_SUPPLY_SI_MV,SCR FP Equity_DX_BROKER_SI_MV_DEC,SCR FP Equity_DX_SUPPLY_SI_MV_RMV,SCR FP Equity_DX_BROKER_SI_MV_RMV,SCR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SCR FP Equity_DX_UTILIZATION_QUANTITY,SCR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SCR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SCR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SCR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SCR FP Equity_DX_ACTIVE_UTILIZATION_MV,SCR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SCR FP Equity_DX_BROKER_SI_CON_RATIO,SCR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SCR FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-02-13,1865759.0,22320810.26,1.58,1.83,1.58,39.18,1.0,7832254.68,1251074.0,654685.0,14967091.35,,,,,,,,1.05,,36738.0,,,,,,,326211.0,26.2,7.39,,,15.14,15.14,7015018.0,83923425.15,,145.56,15.25,24.68,0.2178,33.56,0.2257
2007-02-14,1773536.0,21452126.87,1.5,1.93,1.5,37.06,1.0,6866537.04,1245851.0,567685.0,15069417.09,,,,,,,,0.15,,6094.0,,,,,,871.0,87000.0,25.96,1.82,,,15.34,15.34,6874743.0,83154702.82,,142.21,15.44,26.03,0.2045,29.24,0.2184
2007-02-15,1777355.0,21416538.74,1.5,1.89,1.5,37.31,1.0,6840416.12,1249670.0,567685.0,15058109.37,,,4691.0,,,,,0.02,,871.0,,,,4691.0,,,,26.23,,,,16.08,16.08,6523065.0,78600771.54,,135.43,16.23,26.39,0.2051,29.09,0.2287
2007-02-16,1770046.0,21491358.16,1.49,1.86,1.49,37.23,1.0,6842634.18,1246481.0,563565.0,15134391.77,,263.0,,,0.01,,,0.04,,3189.0,,263.0,,,,,4120.0,26.19,0.09,0.01,,16.95,16.95,6108093.0,74162600.49,263.0,126.87,17.11,26.37,0.204,28.82,0.2407
2007-02-19,1779835.0,20033722.05,1.5,1.86,1.5,36.88,1.0,6343455.75,1256270.0,563565.0,14140504.04,,,9790.0,,,,,,,,,,,9790.0,,,,25.99,,,,17.17,17.17,6060331.0,68214742.83,,124.16,17.31,26.93,0.2068,29.29,0.2433
2007-02-20,2997951.0,34658651.67,2.53,2.45,2.53,60.41,1.0,20617090.25,1354586.0,1783365.0,15660070.6,,,72367.0,21.06,,175800.0,,0.75,1044000.0,21685.0,,,21.06,72367.0,3.45,47633.0,,26.99,,,,16.66,16.66,6776251.0,78338746.37,,134.14,16.75,17.12,0.2509,43.38,0.3687
2007-02-21,3980929.0,46022643.98,3.36,2.99,3.36,81.1,1.0,29114263.48,1772564.0,2518365.0,20492222.27,,,247914.0,14.85,,20000.0,,,715000.0,,,,14.85,247914.0,0.44,170064.0,,35.78,,,,21.81,21.81,6354136.0,73458767.77,,126.96,21.99,25.23,0.2278,36.89,0.4899
2007-02-22,6581379.0,77637874.49,5.56,4.67,5.56,135.23,2.0,53053601.59,2464014.0,4497365.0,29066979.68,,,653156.0,19.89,,1021000.0,,0.0,958000.0,1776.0,,,19.89,653156.0,21.41,40070.0,,50.19,,,,25.23,25.23,7301341.0,86130975.92,,147.58,25.38,19.1,0.1522,26.71,0.674
2007-02-23,8517684.0,103958015.2,7.19,5.78,7.19,179.07,2.0,70475909.23,3226288.0,5774365.0,39376724.58,,,752361.0,28.94,,,,0.0,1342700.0,87.0,,,28.94,752361.0,,10000.0,65700.0,67.46,0.26,,,32.82,32.79,6605396.0,80618611.56,,137.13,32.98,15.51,0.1462,26.77,0.8658
2007-02-26,9453892.0,112285006.45,7.98,6.11,7.98,199.09,2.0,79010935.07,3413827.0,6652365.0,40546431.75,,,133207.0,19.51,,,,,878000.0,,,,19.51,133207.0,,54331.0,,71.48,,,,31.56,31.56,7402348.0,87918572.89,,152.07,31.98,17.45,0.1387,23.31,0.8741
2007-02-27,10239181.0,115192749.98,8.65,6.32,8.65,211.33,2.0,83682357.81,4219445.0,7438305.0,47469565.48,,,68425.0,16.47,,,,1.09,785940.0,8273.0,,,16.47,68425.0,,745467.0,,85.13,,,,35.56,35.56,7646512.0,86024726.49,,152.09,35.89,18.12,0.1495,25.95,0.8629
2007-02-28,10827981.0,119574834.75,9.14,6.37,9.14,218.42,2.0,86753837.2,5061520.0,7855908.0,55895038.75,,,396570.0,4.44,,120000.0,,1.2,297603.0,18803.0,,,4.44,396570.0,2.66,464307.0,,98.86,,,,41.35,41.35,7179613.0,79285421.54,,138.62,41.63,18.04,0.1476,25.88,0.8846
2007-03-01,11389748.0,123027097.73,9.62,6.37,9.62,224.87,2.0,87739358.63,5773904.0,8122838.0,62367196.51,,,669396.0,4.64,,,,1.46,315000.0,74318.0,,,4.64,669396.0,,117306.0,48070.0,110.34,1.61,,,44.48,44.48,7207888.0,77856467.18,,136.76,44.65,18.99,0.1438,24.63,0.8774
2007-03-02,11437420.0,124199868.2,9.66,6.24,9.66,224.35,2.0,89335290.66,5717633.0,8226782.0,62088238.87,,,129886.0,12.18,,,,3.84,629944.0,186157.0,,,12.18,129886.0,,,526000.0,108.59,9.99,,,46.05,46.05,6698109.0,72735307.0,,126.28,46.23,19.99,0.1443,24.2,0.9212
2007-03-05,11921095.0,127120898.65,10.07,6.37,10.07,232.55,3.0,92498937.79,5756759.0,8674330.0,61387345.49,,,22038.0,6.96,,60000.0,,0.4,387548.0,21200.0,,,6.96,22038.0,1.16,38288.0,,108.69,,,,43.46,43.46,7489481.0,79864270.45,,140.13,43.68,18.86,0.146,25.73,0.9
2007-03-06,12623784.0,133670144.96,10.66,7.02,10.66,243.46,3.0,89565008.57,6595275.0,8458503.0,69835745.39,,,1059312.0,0.67,,,,5.19,26800.0,259645.0,,,0.67,1059312.0,,38850.0,242627.0,122.88,5.82,,,51.31,51.31,6259590.0,66281259.46,,115.92,51.46,16.33,0.1319,24.33,0.982
2007-03-07,12924328.0,139900306.49,10.92,7.29,10.92,247.78,3.0,96537886.77,6737919.0,8918403.0,72935082.83,,,528971.0,10.78,,,,7.34,597900.0,387057.0,,,10.78,528971.0,,729.0,138000.0,124.63,2.67,,,50.71,50.71,6548428.0,70883924.04,,121.33,50.67,20.68,0.1391,23.27,0.9728
2007-03-08,12717196.0,142266303.06,10.74,7.23,10.74,247.73,3.0,99993233.58,6490787.0,8938403.0,72611939.8,,,125502.0,1.59,,,,6.42,40000.0,372633.0,,,1.59,125502.0,,,20000.0,123.2,0.33,,,47.88,47.88,7064563.0,79030728.22,,134.05,47.89,21.57,0.1452,24.07,0.9382
2007-03-09,12397117.0,141109927.84,10.47,6.87,10.47,246.51,3.0,99355419.61,6120152.0,8728803.0,69662503.56,,,52664.0,2.55,,,,6.22,125400.0,423300.0,,,2.55,52664.0,,,335000.0,119.75,5.46,,,45.34,45.34,7376719.0,83965351.44,,143.46,45.5,22.16,0.1428,22.19,0.9185
2007-03-12,13119072.0,146384778.9,11.08,7.13,11.08,261.28,3.0,106736937.45,5803252.0,9565814.0,64753647.28,,,16830.0,16.62,,,,6.08,842511.0,333729.0,,,16.62,16830.0,,,5500.0,114.31,0.1,,,42.9,42.9,7722649.0,86170597.01,,150.57,43.16,20.22,0.1419,21.22,0.9699
2007-03-13,12854458.0,140105137.13,10.86,6.87,10.86,254.1,3.0,101284001.61,5862403.0,9292671.0,63896336.68,,,136887.0,,,,,2.71,,111471.0,,,,136887.0,,33735.0,273143.0,113.76,4.78,,,41.92,41.92,8122454.0,88529406.03,,156.2,42.14,20.37,0.1461,22.22,0.9192
2007-03-14,13813692.0,148335521.23,11.67,7.39,11.67,267.87,3.0,108955621.31,6967233.0,10146453.0,74816214.13,,,1063535.0,18.29,,,,1.09,1005600.0,33705.0,,,18.29,1063535.0,,75000.0,151818.0,132.08,3.31,,,72.32,49.24,2666147.0,28629877.15,,50.63,72.29,21.02,0.1607,26.35,0.9763
2007-03-15,12639644.0,135946341.37,10.67,6.78,10.67,242.69,3.0,96837101.98,6336185.0,9003453.0,68149163.77,,,80.0,,,,,12.94,,631128.0,,,,80.0,,,1143000.0,118.7,23.77,,,64.73,44.73,3452528.0,37133842.54,,64.67,64.73,17.78,0.1676,29.38,0.8924
2007-03-16,12342573.0,133319098.43,10.42,6.89,10.42,236.78,3.0,94010909.0,6339115.0,8703453.0,68472359.58,,,7255.0,,,,,0.08,,4325.0,,,,7255.0,,,300000.0,118.56,5.41,,,61.83,43.31,3913138.0,42268012.53,,73.17,61.84,18.27,0.1618,27.74,0.8432
2007-03-19,12705181.0,140670381.71,10.73,7.02,10.73,246.46,3.0,99403051.68,6202210.0,8977965.0,68670194.32,,,169776.0,6.06,,,,5.45,305512.0,306680.0,,,6.06,169776.0,,,31000.0,117.33,0.47,,,41.82,41.82,8627733.0,95525321.08,,162.83,41.88,17.64,0.159,27.45,0.8567
2007-03-20,12778063.0,143314691.12,10.79,7.1,10.79,263.07,3.0,99400013.52,6390134.0,8862592.0,71669710.85,,,199372.0,,,,,0.0,,11448.0,,,,199372.0,,,115373.0,124.28,2.27,,,42.55,42.55,8626650.0,96753763.08,,167.93,42.53,20.29,0.1614,26.3,0.8509
2007-03-21,12075762.0,136132459.8,10.2,6.69,10.2,238.7,3.0,90737172.82,6293964.0,8048929.0,70953104.35,,,77432.0,0.11,,,,3.83,5200.0,202720.0,,,0.11,77432.0,,29118.0,818863.0,122.49,26.45,,,42.27,42.27,8597380.0,96919969.71,,166.36,42.41,17.25,0.1455,23.18,0.8109
2007-03-22,12058141.0,140441823.94,10.18,6.62,10.18,242.1,3.0,93746313.76,6026344.0,8048929.0,70189156.28,,,29118.0,,,,,4.83,,296738.0,,,,29118.0,,,,118.94,,,,40.66,40.66,8793464.0,102417953.39,,172.66,40.79,17.23,0.1466,23.7,0.8136
2007-03-23,11849687.0,138763654.27,10.01,6.37,10.01,241.48,3.0,91901778.21,6018889.0,7847929.0,70483130.25,,,52545.0,,,,,0.98,,60000.0,,,,52545.0,,,201000.0,122.53,3.97,,,40.11,40.11,8986829.0,105238664.31,,181.04,40.36,16.65,0.1443,24.03,0.7897
2007-03-26,11267130.0,130192005.68,9.52,6.04,9.52,229.06,2.0,86269020.66,5818332.0,7465929.0,67230990.75,,,3993.0,,,,,4.25,,204550.0,,,,3993.0,,,382000.0,118.09,7.25,,,38.27,38.27,9383676.0,108428641.46,,188.63,38.5,16.9,0.1542,24.99,0.7412
2007-03-27,11012884.0,127760922.39,9.3,5.97,9.3,223.53,2.0,83834101.46,6354709.0,7226429.0,73721241.72,,,650000.0,,,,,2.44,,113623.0,,,,650000.0,,,239500.0,127.79,5.03,,,42.1,42.1,8738683.0,101377822.61,,174.22,42.31,17.44,0.1555,25.81,0.7296
2007-03-28,9787322.0,113599420.06,8.27,5.35,8.27,198.96,2.0,72405147.62,6117406.0,6238170.0,71003464.87,,,1146.0,4.59,,,,4.8,227541.0,238449.0,,,4.59,1146.0,,,1215800.0,123.78,24.99,,,39.55,39.55,9349372.0,108516225.08,,187.55,39.76,16.11,0.1718,29.04,0.6328
2007-03-29,10594306.0,124367410.85,8.95,5.84,8.95,216.67,2.0,83325988.95,6064390.0,7098170.0,71190362.32,,,100000.0,17.39,,35000.0,,3.22,825000.0,164005.0,,,17.39,100000.0,0.71,10989.0,,122.89,,,,39.5,39.5,9287212.0,109023329.18,,186.98,39.66,19.18,0.1647,26.21,0.6901
2007-03-30,10625122.0,123568038.35,8.97,5.88,8.97,217.06,2.0,82219658.6,6051443.0,7069740.0,70377068.68,,,59247.0,0.89,,,,1.45,43764.0,72194.0,,,0.89,59247.0,,,72194.0,123.19,1.46,,,38.82,38.82,9535930.0,110900953.79,,192.48,39.03,19.95,0.165,25.88,0.6816
2007-04-02,10606594.0,124938697.23,8.96,5.85,8.96,217.05,2.0,82354656.44,6111207.0,6991448.0,71985996.74,,,70061.0,0.44,,,,0.2,21800.0,10297.0,,,0.44,70061.0,,,100092.0,123.58,1.89,,,39.45,39.45,9378758.0,110475597.18,,188.78,39.56,19.69,0.1656,26.23,0.6847
2007-04-03,9894608.0,119511298.08,8.36,6.34,8.36,204.73,2.0,74782951.23,6399220.0,6191448.0,77292510.12,,,295561.0,5.0,,,,0.0,200000.0,7548.0,,,5.0,295561.0,,,1000000.0,131.72,20.43,,,41.31,41.3,9091546.0,109811572.53,,185.8,41.49,19.6,0.1501,20.91,0.6386
2007-04-04,11348050.0,140003732.07,9.58,7.6,9.58,238.62,2.0,90208591.65,6741854.0,7311888.0,83175939.57,,,341379.0,1.64,,1048125.0,,,80000.0,,,,1.64,341379.0,22.1,1255.0,7685.0,141.91,0.0,,,43.45,43.44,8773569.0,108241715.85,,183.58,43.6,17.35,0.131,18.51,0.7313
2007-04-05,11505733.0,142147636.91,9.72,7.63,9.72,243.48,2.0,91966688.8,6767444.0,7443980.0,83608421.34,,,23044.0,3.0,,,,0.01,140000.0,454.0,,,3.0,23044.0,,3000.0,7907.0,142.56,0.08,,,43.42,43.42,8820256.0,108969897.65,,185.19,43.5,16.99,0.1316,18.53,0.7381
2007-04-06,11490455.0,141958884.78,9.7,7.87,9.7,244.71,2.0,91861626.09,6760670.0,7435476.0,83524731.93,,,,,,,,0.0,,6774.0,,,,,,,8504.0,143.19,0.0,,,43.32,43.32,8846242.0,109290941.81,,186.14,43.48,16.95,0.1319,18.76,0.7362
2007-04-09,11537041.0,142534431.76,9.74,7.9,9.74,245.99,2.0,92435295.18,6760822.0,7481910.0,83526609.81,,,1111.0,1.13,,,,0.0,47000.0,960.0,,,1.13,1111.0,,,566.0,143.22,0.0,,,43.37,43.37,8826120.0,109042344.46,,185.84,43.52,16.88,0.1318,18.68,0.7402
2007-04-10,13002343.0,161385359.67,10.98,8.9,10.98,277.83,3.0,97988639.28,7821592.0,7894656.0,97081767.35,,,1224780.0,8.81,,,,4.1,417058.0,196775.0,,,8.81,1224780.0,,32766.0,4312.0,167.3,0.0,,,50.27,50.27,7738011.0,96044358.18,,160.3,51.07,16.93,0.1387,20.21,0.8356
2007-04-11,14569531.0,184440669.51,12.3,10.4,12.3,313.97,3.0,111411421.86,8851494.0,8800728.0,112054085.99,,,914306.0,20.65,,,,0.5,910000.0,35517.0,,,20.65,914306.0,,151113.0,3928.0,191.28,0.0,,,56.6,56.6,6786089.0,85907418.61,,141.45,57.49,17.84,0.1342,18.65,0.9317
2007-04-12,16280852.0,205543017.8,13.75,11.79,13.75,353.87,3.0,119363832.95,9985891.0,9454687.0,126070194.09,,,1110655.0,17.76,,,,1.84,801959.0,92560.0,,,17.76,1110655.0,,116303.0,148000.0,218.75,2.97,,,62.58,62.58,5970298.0,75374007.95,,124.83,63.67,16.24,0.1163,16.25,1.0203
2007-04-13,16442279.0,208810415.67,13.89,11.99,13.89,358.59,3.0,128513823.03,9482490.0,10119515.0,120423858.43,,,192.0,14.69,,48000.0,,10.98,669972.0,503593.0,,,14.69,192.0,1.44,,53144.0,207.7,0.66,,,60.68,60.68,6143282.0,78017242.5,,129.13,61.66,15.98,0.1121,16.13,1.0523
