,ANX FP Equity_DX_SI_QTY,ANX FP Equity_DX_SHORT_INTEREST_VALUE,ANX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ANX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ANX FP Equity_DX_SI_MV,ANX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ANX FP Equity_DX_SUPPLY_SI_QTY,ANX FP Equity_DX_BROKER_SI_QTY,ANX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ANX FP Equity_DX_BROKER_SI_MV_NEW_x,ANX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ANX FP Equity_DX_BROKER_SI_MV_INC_x,ANX FP Equity_DX_BROKER_SI_QTY_ADD,ANX FP Equity_DX_BROKER_SI_QTY_NEW,ANX FP Equity_DX_SUPPLY_SI_MV_DEC,ANX FP Equity_DX_BROKER_SI_QTY_INC,ANX FP Equity_DX_SUPPLY_SI_QTY_DEC,ANX FP Equity_DX_BROKER_SI_MV_NEW_y,ANX FP Equity_DX_BROKER_SI_MV_INC_y,ANX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ANX FP Equity_DX_BROKER_SI_MV_ADD,ANX FP Equity_DX_SUPPLY_SI_QTY_ADD,ANX FP Equity_DX_BROKER_SI_QTY_DEC,ANX FP Equity_DX_SUPPLY_SI_MV,ANX FP Equity_DX_BROKER_SI_MV_DEC,ANX FP Equity_DX_BROKER_SI_MV_RMV,ANX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ANX FP Equity_DX_UTILIZATION_QUANTITY,ANX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ANX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ANX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ANX FP Equity_DX_ACTIVE_UTILIZATION_MV,ANX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ANX FP Equity_DX_BROKER_SI_CON_RATIO,ANX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ANX FP Equity_DX_DEMAND_SUPPLY_RATIO,ANX FP Equity_PX_LAST
2010-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2010-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.07
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06
2010-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01
2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.69
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.77
2010-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.945
2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87
2010-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02
2010-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.995
2010-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.685
2010-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2010-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01
2010-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.86
2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81
2010-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.805
2010-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.765
2010-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.935
2010-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.905
2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.695
2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.855
2010-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.865
2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.64
2010-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.585
2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.61
2010-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53
2010-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.495
2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.79
2010-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.825
2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.985
2010-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.085
2010-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2010-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.325
2010-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.47
2010-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
2010-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.505
2010-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.435
2010-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.415
2010-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.385
2010-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.56
2010-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.715
2010-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.715
2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.33
2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.58
2010-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.545
2010-09-27,20000.0,310600.0,2.07,1.31,0.31,310600.0,0.0,20000.0,0.0,,,,20000.0,,,,,,,,0.31,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,15.53
2010-09-28,20000.0,307800.0,2.07,1.31,0.31,307800.0,0.0,20000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,15.39
2010-09-29,20000.0,306500.0,1.83,1.31,0.31,306500.0,0.0,20000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,15.325
2010-09-30,20000.0,304400.0,1.83,1.31,0.31,304400.0,0.0,20000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,15.22
2010-10-01,20000.0,301000.0,1.62,1.31,0.3,301000.0,0.0,20000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,15.05
2010-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.945
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.125
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.995
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.105
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.185
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.245
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.31
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.575
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.57
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.585
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.67
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.73
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.845
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88
2010-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.82
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.89
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.945
2010-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.875
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.87
2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.965
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.135
2010-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.335
2010-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.39
2010-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.47
2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.425
2010-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.28
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.315
2010-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.115
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.185
2010-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.355
2010-11-19,28000.0,454580.0,0.81,1.32,0.46,454580.0,0.0,28000.0,0.0,,,,28000.0,,,,,,,,0.46,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.235
2010-11-22,28000.0,457520.0,0.84,1.32,0.45,457520.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.34
2010-11-23,28000.0,458220.0,0.84,1.32,0.46,458220.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.365
2010-11-24,28000.0,470400.0,0.84,1.26,0.46,470400.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.8
2010-11-25,28000.0,470960.0,0.82,1.26,0.47,470960.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.82
2010-11-26,28000.0,474040.0,0.77,1.22,0.47,474040.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.93
2010-11-29,28000.0,472080.0,0.77,1.13,0.47,472080.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.86
2010-11-30,28000.0,472920.0,0.78,1.1,0.47,472920.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.89
2010-12-01,28000.0,482160.0,0.86,1.1,0.47,482160.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.22
2010-12-02,28000.0,479360.0,0.88,1.1,0.48,479360.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.12
2010-12-03,28000.0,474880.0,0.91,1.1,0.48,474880.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,16.96
2010-12-06,28000.0,479500.0,0.99,1.1,0.47,479500.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.125
2010-12-07,28000.0,481040.0,1.02,1.1,0.48,481040.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.18
2010-12-08,28000.0,482440.0,1.06,1.1,0.48,482440.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.23
2010-12-09,28000.0,485380.0,1.09,1.1,0.48,485380.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.335
2010-12-10,28000.0,485660.0,1.06,1.1,0.49,485660.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.345
2010-12-13,28000.0,482860.0,1.09,1.1,0.49,482860.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.245
2010-12-14,28000.0,482580.0,1.06,1.1,0.48,482580.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.235
2010-12-15,28000.0,484260.0,1.04,1.1,0.48,484260.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.295
2010-12-16,28000.0,489720.0,1.04,1.1,0.48,489720.0,0.0,28000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.49
2010-12-17,63000.0,1107225.0,2.38,2.47,1.1,1107225.0,0.0,63000.0,0.0,,,0.62,,,,35000.0,,,0.62,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.575
2010-12-20,63000.0,1106280.0,2.43,2.47,1.11,1106280.0,0.0,63000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.56
2010-12-21,35000.0,618625.0,1.4,1.37,0.61,618625.0,0.0,35000.0,0.0,,,,,,,,,,,,,,28000.0,0.0,0.49,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.675
2010-12-22,35000.0,621425.0,1.4,1.37,0.62,621425.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,17.755
2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.68
2010-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.505
2010-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66
2010-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.635
2010-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.415
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.285
2011-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.605
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.545
2011-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18
2011-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.23
2011-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.255
2011-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.365
2011-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.325
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97
2011-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.045
2011-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.92
2011-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.845
2011-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.585
2011-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.51
2011-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.405
2011-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.475
2011-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.575
2011-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.605
2011-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.45
2011-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.27
2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.475
2011-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.515
2011-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64
2011-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.835
2011-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09
2011-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.885
2011-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.925
2011-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04
2011-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19
2011-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.415
2011-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35
2011-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.415
2011-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.345
2011-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.28
2011-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.03
2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.895
2011-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.425
2011-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.405
2011-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.73
2011-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.73
2011-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.615
2011-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.485
2011-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.68
2011-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.61
2011-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.32
2011-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.53
2011-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.325
2011-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.255
2011-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.18
2011-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2011-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.78
2011-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.58
2011-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.625
2011-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.375
2011-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.605
2011-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.56
2011-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.665
2011-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.875
2011-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
2011-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.095
2011-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.145
2011-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.225
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11
2011-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.315
2011-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.115
2011-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11
2011-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.895
2011-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.895
2011-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.805
