,EAPI FP Equity_DX_SI_QTY,EAPI FP Equity_DX_SHORT_INTEREST_VALUE,EAPI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EAPI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EAPI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EAPI FP Equity_DX_SI_MV,EAPI FP Equity_DX_DSS,EAPI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EAPI FP Equity_DX_SUPPLY_SI_QTY,EAPI FP Equity_DX_BROKER_SI_QTY,EAPI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EAPI FP Equity_DX_BROKER_SI_MV_NEW_x,EAPI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EAPI FP Equity_DX_SUPPLY_SI_QTY_INC_x,EAPI FP Equity_DX_BROKER_SI_MV_INC_x,EAPI FP Equity_DX_SUPPLY_SI_MV_NEW,EAPI FP Equity_DX_BROKER_SI_QTY_ADD,EAPI FP Equity_DX_BROKER_SI_QTY_NEW,EAPI FP Equity_DX_SUPPLY_SI_MV_DEC,EAPI FP Equity_DX_BROKER_SI_QTY_INC,EAPI FP Equity_DX_SUPPLY_SI_QTY_DEC,EAPI FP Equity_DX_BROKER_SI_MV_NEW_y,EAPI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EAPI FP Equity_DX_BROKER_SI_MV_INC_y,EAPI FP Equity_DX_SUPPLY_SI_QTY_INC_y,EAPI FP Equity_DX_BROKER_SI_MV_ADD,EAPI FP Equity_DX_SUPPLY_SI_QTY_ADD,EAPI FP Equity_DX_BROKER_SI_QTY_DEC,EAPI FP Equity_DX_SUPPLY_SI_MV,EAPI FP Equity_DX_BROKER_SI_MV_DEC,EAPI FP Equity_DX_SUPPLY_SI_MV_RMV,EAPI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EAPI FP Equity_DX_UTILIZATION_QUANTITY,EAPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EAPI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EAPI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EAPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EAPI FP Equity_DX_ACTIVE_UTILIZATION_MV,EAPI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EAPI FP Equity_DX_BROKER_SI_CON_RATIO,EAPI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EAPI FP Equity_DX_DEMAND_SUPPLY_RATIO
2023-01-25,1984831.0,27539530.13,3.98,8.4,2.1,27.57,1.0,9033721.13,1946822.0,651079.0,27012155.25,,,23328.0,0.43,,5000.0,,1.22,31400.0,87614.0,,,0.43,23328.0,0.07,,163539.0,26.85,2.33,,10.9,10.9,15917758.0,220858892.25,,219.72,10.89,15.79,0.2192,39.79,0.1111
2023-01-26,1937858.0,26713372.53,3.89,8.57,2.05,27.07,1.0,9154287.66,1890956.0,664076.0,26066828.46,,,135001.0,0.36,,,,2.75,24869.0,202703.0,,,0.36,135001.0,,11836.0,11872.0,26.25,0.15,,10.59,10.59,15963026.0,220050313.41,,221.36,10.6,16.21,0.2276,40.83,0.1085
2023-01-27,2019357.0,27786352.32,4.05,9.2,2.14,28.03,1.0,10398555.84,1975600.0,755709.0,27184256.0,,,128700.0,1.64,,,,0.65,119692.0,44056.0,,,1.64,128700.0,,,28059.0,27.25,0.4,,11.12,11.12,15793264.0,217315312.64,,217.55,11.13,15.55,0.2155,38.76,0.1136
2023-01-30,2022771.0,27894012.09,4.06,9.28,2.14,27.98,1.0,9795147.32,1969227.0,710308.0,27155640.33,,,41077.0,0.09,,,,1.46,9787.0,106067.0,,,0.09,41077.0,,58617.0,55188.0,27.1,0.78,,11.11,11.11,15750601.0,217200787.79,,216.7,11.12,15.48,0.2194,39.27,0.1142
2023-01-31,1981556.0,29257674.34,3.98,10.24,2.1,27.88,1.0,10433598.66,1930863.0,706644.0,28509192.2,,,,0.11,,,,0.61,6936.0,45300.0,,,0.11,,,6936.0,10600.0,26.83,0.1,,10.89,10.89,15799843.0,233284681.9,,219.31,10.9,15.65,0.2214,39.96,0.1118
2023-02-01,1919114.0,28748327.72,3.85,9.14,2.03,28.35,1.0,8888008.5,1858494.0,593325.0,27840240.12,,,130470.0,0.65,,,,2.66,46893.0,232338.0,,,0.65,130470.0,,37499.0,160212.0,27.32,2.04,0.11,10.5,10.5,15845590.0,237366938.2,8000.0,233.61,10.47,16.33,0.2256,41.36,0.1084
2023-02-02,2346526.0,36406350.89,4.71,11.06,2.48,35.55,1.0,13275440.78,2176342.0,855652.0,33765946.13,,8000.0,219832.0,4.14,0.12,6002.0,,0.15,265645.0,12320.0,,8000.0,4.14,219832.0,0.09,102336.0,9320.0,32.73,0.13,,12.25,12.25,15591506.0,241902215.59,,234.4,12.25,13.17,0.1762,34.65,0.1321
2023-02-03,2420045.0,38781221.13,4.86,11.12,2.56,38.05,1.0,15399704.5,2259104.0,960980.0,36202141.6,,,84606.0,2.45,,,,0.86,144089.0,75948.0,,,2.45,84606.0,,74104.0,38761.0,35.29,0.51,,12.66,12.66,15579928.0,249668346.2,,243.24,12.67,12.71,0.1693,33.47,0.1357
2023-02-06,2909455.0,45038363.4,5.84,12.81,3.08,46.41,1.0,17366114.16,2604564.0,1121842.0,40318650.72,,,369901.0,2.45,,,,0.59,160862.0,51765.0,,,2.45,369901.0,,27324.0,,41.67,,,14.57,14.57,15268774.0,236360621.52,,244.76,14.55,19.99,0.1597,28.57,0.1628
2023-02-07,2827416.0,44503527.84,5.67,11.98,2.99,44.16,1.0,17361707.94,2594603.0,1103031.0,40839051.22,,,122659.0,1.27,,,,2.32,81977.0,133293.0,,,1.27,122659.0,,673.0,100788.0,40.24,1.56,,14.44,14.44,15374617.0,241996471.58,,238.41,14.44,14.52,0.1493,29.16,0.1573
2023-02-08,2936072.0,46742266.24,5.89,12.45,3.11,46.51,1.0,18827819.84,2657442.0,1182652.0,42306476.64,,,75334.0,1.43,,23478.0,,1.48,88519.0,102838.0,,,1.43,75334.0,0.38,90343.0,32376.0,41.9,0.49,,14.75,14.75,15364142.0,244597140.64,,241.95,14.76,13.86,0.148,28.67,0.1629
2023-02-09,3001748.0,47892889.34,6.02,12.76,3.17,47.99,1.0,19058359.18,2708231.0,1194507.0,43209825.61,,,53136.0,0.7,,,,0.68,42770.0,44236.0,,,0.7,53136.0,,41889.0,30915.0,43.18,0.45,,15.02,15.02,15318077.0,244399918.54,,243.96,15.04,13.5,0.1503,29.28,0.1665
2023-02-10,2749638.0,42756870.9,5.52,11.68,2.91,43.76,1.0,16944477.35,2552496.0,1089677.0,39691312.8,,,36990.0,0.57,,,,3.06,42120.0,192725.0,,,0.57,36990.0,,,146950.0,40.7,2.35,,14.17,14.17,15466456.0,240503390.8,,246.69,14.16,15.13,0.1657,32.1,0.1526
2023-02-13,2876629.0,45709634.81,5.77,12.36,3.04,45.12,1.0,18959948.0,2643420.0,1193200.0,42003943.8,,,63633.0,1.52,,5838.0,,0.27,102823.0,8262.0,,,1.52,63633.0,0.09,35553.0,5138.0,41.18,0.03,,14.56,14.56,15513528.0,246509959.92,,241.47,14.57,14.69,0.1536,30.26,0.1584
2023-02-14,2751705.0,43807143.6,5.52,11.83,2.91,43.82,1.0,17597983.92,2517841.0,1105401.0,40084028.72,,,18788.0,0.15,,,,2.05,8780.0,144367.0,,,0.15,18788.0,,,96579.0,40.0,1.5,,13.74,13.74,15803923.0,251598454.16,,251.07,13.74,15.21,0.1623,31.4,0.1502
2023-02-15,2745832.0,42683958.44,5.51,11.88,2.9,43.42,1.0,16732358.19,2486686.0,1076382.0,38655533.87,,,10471.0,0.24,,,,0.72,15000.0,47563.0,,,0.24,10471.0,,5937.0,44019.0,39.46,0.69,,13.56,13.56,15851734.0,246415205.03,,252.08,13.54,15.12,0.1651,31.69,0.1497
2023-02-16,2729668.0,42582820.8,5.48,12.09,2.89,42.6,1.0,16829092.8,2461622.0,1078788.0,38401303.2,,,31052.0,0.21,,,,1.09,12440.0,56116.0,,,0.21,31052.0,,,10034.0,38.23,0.14,,13.43,13.43,15861742.0,247443175.2,,246.71,13.42,15.24,0.1659,31.51,0.149
2023-02-17,2885098.0,45541271.93,5.79,13.0,3.05,45.24,1.0,17598412.37,2502493.0,1114882.0,39501852.01,,,56193.0,0.61,,,,0.26,36094.0,17073.0,,,0.61,56193.0,,1751.0,,39.05,,,13.69,13.69,15776919.0,249038666.42,,246.23,13.69,18.01,0.1633,30.07,0.1578
2023-02-20,3050954.0,48479659.06,6.12,13.92,3.23,48.3,1.0,19448867.41,2635234.0,1223969.0,41873868.26,,,61115.0,2.94,,,,0.56,186098.0,41124.0,,,2.94,61115.0,,112750.0,77011.0,41.63,1.19,,14.47,14.47,15580122.0,247568138.58,,245.95,14.48,14.44,0.1542,28.49,0.1675
2023-02-21,3100745.0,48030540.05,6.22,14.41,3.28,49.22,1.0,19212107.59,2649737.0,1240291.0,41044426.13,,,60929.0,0.28,,,,0.88,16322.0,57974.0,,,0.28,60929.0,,11548.0,,42.12,,,14.54,14.54,15573479.0,241233189.71,,247.12,14.56,13.34,0.1522,28.3,0.1702
2023-02-22,3108098.0,47165387.15,6.24,14.47,3.29,48.29,1.0,18688042.85,2654421.0,1231502.0,40280838.67,,,12957.0,0.18,,,,0.31,10936.0,12199.0,,,0.18,12957.0,,3926.0,19725.0,41.18,0.44,,14.55,14.55,15583609.0,236481266.58,,241.4,14.57,13.26,0.1519,28.13,0.1704
2023-02-23,3140219.0,48045350.7,6.3,14.45,3.32,48.05,1.0,18746799.3,2669020.0,1225281.0,40836006.0,,,42780.0,0.69,,,,0.93,48362.0,48698.0,,,0.69,42780.0,,20517.0,54583.0,40.56,0.88,,14.63,14.63,15572546.0,238259953.8,,236.68,14.63,13.34,0.1559,28.17,0.1721
2023-02-24,2879156.0,44295815.06,5.78,13.32,3.05,44.42,1.0,16984593.84,2445640.0,1103971.0,37626171.4,,,39010.0,0.19,,18736.0,,3.89,11273.0,262390.0,,,0.19,39010.0,0.29,,151319.0,37.5,2.29,,13.4,13.4,15808212.0,243209341.62,,242.29,13.4,13.32,0.1644,30.71,0.1577
2023-02-27,2880148.0,45002312.5,5.78,13.61,3.05,44.65,1.0,17236156.25,2432219.0,1103114.0,38003421.88,,,9772.0,0.0,,,,0.35,1768.0,23193.0,,,0.0,9772.0,,,2625.0,37.45,0.03,,13.34,13.34,15806917.0,246983078.13,,243.13,13.35,13.39,0.1643,30.61,0.1579
2023-02-28,2856922.0,44282291.0,5.73,13.63,3.02,44.8,1.0,16665414.0,2410615.0,1075188.0,37364532.5,,,12726.0,0.1,,,,0.51,5713.0,40043.0,,,0.1,12726.0,,5713.0,33639.0,37.7,0.51,,13.23,13.23,15806287.0,244997448.5,,246.93,13.24,12.97,0.1674,31.19,0.1568
2023-03-01,2837198.0,43834709.1,5.69,13.43,3.0,44.04,1.0,16644686.7,2400398.0,1077326.0,37086149.1,,,25464.0,0.24,,,,0.67,16919.0,42835.0,,,0.24,25464.0,,7154.0,14781.0,37.1,0.23,,13.18,13.18,15816946.0,244371815.7,,244.79,13.16,12.8,0.1669,31.34,0.1557
2023-03-02,2825819.0,43870839.98,5.67,13.63,2.99,43.95,1.0,16411135.95,2402586.0,1057078.0,37300147.65,,,23789.0,0.03,,,,0.44,2243.0,27604.0,,,0.03,23789.0,,6003.0,22491.0,37.19,0.33,,13.22,13.22,15766962.0,244782085.05,,244.21,13.22,12.74,0.1674,31.63,0.1555
2023-03-03,2804597.0,44256540.66,5.63,13.62,2.97,43.87,1.0,16767496.62,2387400.0,1062579.0,37673172.0,,,990.0,0.33,,,,0.23,20948.0,16176.0,,,0.33,990.0,,,15447.0,37.14,0.23,,13.14,13.14,15785140.0,249089509.2,,245.26,13.15,12.77,0.1688,31.75,0.1543
2023-03-06,2800971.0,44255341.8,5.62,13.96,2.96,44.28,1.0,16712829.2,2389284.0,1057774.0,37750687.2,,,2943.0,0.05,,8000.0,,0.13,2943.0,9059.0,,,0.05,2943.0,0.13,8000.0,15748.0,37.66,0.23,,13.15,13.15,15785304.0,249407803.2,,248.69,13.15,12.71,0.1687,31.79,0.1541
2023-03-07,2277934.0,36446944.0,4.57,11.48,2.41,36.35,1.0,15495904.0,2268635.0,968494.0,36298160.0,,,1.0,0.1,,,,1.98,6555.0,129704.0,,,0.1,1.0,,9054.0,95835.0,36.04,1.5,,12.49,12.49,15899935.0,254398960.0,,252.29,12.5,14.55,0.2138,39.25,0.1254
2023-03-08,2304645.0,28854155.4,4.63,11.8,2.44,35.23,1.0,12056972.84,2261967.0,963017.0,28319826.84,,,43868.0,0.65,,,,1.04,39565.0,50707.0,,,0.65,43868.0,,171.0,45042.0,35.07,0.85,,12.45,12.45,15903757.0,199115037.64,,249.98,12.3,14.67,0.2083,38.61,0.1269
2023-03-09,2503694.0,30532548.33,5.02,8.9,2.65,32.05,1.0,10142752.23,2204773.0,831714.0,26887206.74,,,60497.0,0.2,,,,2.28,26225.0,122890.0,,,0.2,60497.0,,5199.0,157528.0,27.55,2.83,,12.22,12.22,15844743.0,193226640.89,,197.81,12.23,14.86,0.177,33.66,0.1387
2023-03-10,3270873.0,36617423.24,6.56,10.11,3.46,40.35,1.0,14851634.05,2839905.0,1326631.0,31792736.48,,,715743.0,7.51,,,,2.39,617554.0,176062.0,,,7.51,715743.0,,95451.0,122637.0,34.28,1.74,,17.03,17.03,13835365.0,154886911.18,,168.08,16.94,20.57,0.1632,28.66,0.1962
2023-03-13,2900112.0,33264284.64,5.82,8.0,3.07,33.8,1.0,17323267.17,2874487.0,1510311.0,32970365.89,,,294474.0,1.9,,116000.0,,6.16,223742.0,470846.0,,,1.9,294474.0,1.44,210954.0,156062.0,32.25,2.04,,18.45,18.45,12701203.0,145682798.41,,142.37,18.47,12.25,0.152,30.8,0.1862
2023-03-14,2877521.0,33465569.23,5.77,7.56,3.04,34.11,1.0,17948102.17,2863209.0,1543259.0,33299120.67,,,68679.0,1.06,,,,0.67,92283.0,79957.0,,,1.06,68679.0,,,59335.0,32.93,0.63,,18.45,18.45,12651535.0,147137352.05,,145.29,18.48,12.55,0.1515,31.15,0.1855
2023-03-15,2834895.0,31410636.6,5.69,7.73,3.0,33.88,1.0,16993130.08,2809756.0,1533676.0,31132096.48,,,56205.0,0.98,,,,1.5,76312.0,137313.0,,,0.98,56205.0,,27655.0,85895.0,32.73,0.94,,18.2,18.2,12630041.0,139940854.28,,146.99,18.21,12.7,0.1566,31.62,0.1836
2023-03-16,3406967.0,38158030.4,6.84,9.17,3.6,38.9,1.0,18045328.0,2926268.0,1611190.0,32774201.6,,,179699.0,1.2,,,,0.85,126339.0,66571.0,,,1.2,179699.0,,3384.0,48825.0,32.48,0.77,,18.98,18.98,12487584.0,139860940.8,,138.21,19.03,22.29,0.1559,26.18,0.221
2023-03-17,3423477.0,36460030.05,6.87,9.34,3.62,39.12,1.0,17224394.1,2942644.0,1617314.0,31339158.6,,,33716.0,0.12,,,,0.36,6335.0,31731.0,,,0.12,33716.0,,14391.0,211.0,32.86,0.0,,19.14,19.14,12430664.0,132386571.6,,138.64,19.16,22.94,0.1589,26.29,0.2227
2023-03-20,2906051.0,29787022.75,5.83,7.89,3.07,32.12,1.0,16164157.75,2765580.0,1576991.0,28347195.0,,,20197.0,0.0,,,,2.9,9414.0,223442.0,,,0.0,20197.0,,26181.0,49737.0,29.42,0.61,,18.08,18.08,12527684.0,128408761.0,,132.82,18.13,15.67,0.1601,30.27,0.19
2023-03-21,2720004.0,28111241.34,5.46,7.19,2.88,29.39,1.0,14329064.1,2717883.0,1386460.0,28089320.81,,,262320.0,0.83,,9000.0,,3.76,86469.0,331199.0,,,0.83,262320.0,0.1,21182.0,286000.0,28.01,3.12,,17.8,17.8,12549071.0,129694648.79,,128.49,17.9,16.98,0.1726,30.6,0.1782
2023-03-22,3105502.0,31427680.24,6.23,7.95,3.28,33.28,1.0,13354088.88,2728608.0,1319574.0,27613512.96,,,46779.0,,,,,0.7,,69285.0,,,,46779.0,,33231.0,66886.0,28.22,0.73,,17.9,17.9,12510820.0,126609498.4,,128.81,17.97,26.08,0.18,27.0,0.2038
2023-03-23,2764633.0,27646330.0,5.55,6.89,2.92,29.33,1.0,13969360.0,2458447.0,1396936.0,24584470.0,,,140523.0,1.55,,,,5.11,154118.0,481072.0,,,1.55,140523.0,,70388.0,76756.0,24.92,0.89,,16.59,16.59,12363222.0,123632220.0,,124.84,16.64,28.26,0.2049,28.42,0.1865
2023-03-24,2613786.0,25526234.08,5.25,6.3,2.76,27.56,1.0,12267941.77,2316991.0,1256189.0,22627734.11,,,67437.0,0.15,,,,2.11,14839.0,208893.0,,,0.15,67437.0,,,155586.0,23.28,1.6,,16.2,16.2,11985980.0,117055080.68,,120.08,16.24,29.17,0.2193,31.68,0.1827
2023-03-27,2460112.0,24497795.3,4.94,5.7,2.6,25.63,1.0,11016366.11,2184913.0,1106283.0,21757363.65,,,18964.0,,,,,1.67,,165027.0,,,,18964.0,,13985.0,149906.0,21.44,1.54,,15.78,15.78,11664123.0,116151336.83,,113.87,15.84,30.54,0.2335,33.05,0.1776
2023-03-28,2257509.0,21965562.57,4.53,5.05,2.39,23.8,1.0,9613998.94,1982430.0,988078.0,19289043.9,,,3907.0,0.18,,,,1.87,18844.0,206390.0,,,0.18,3907.0,,,137049.0,19.74,1.35,,14.94,14.94,11282714.0,109780807.22,,111.92,14.99,31.41,0.2596,36.0,0.1702
2023-03-29,2305828.0,23115925.7,4.63,5.09,2.44,24.07,1.0,9926855.25,2009653.0,990210.0,20146771.33,,,30160.0,0.01,,,,0.17,2132.0,16621.0,,,0.01,30160.0,,13684.0,,19.69,,,15.42,15.42,11026203.0,110537685.08,,107.37,15.5,30.57,0.2571,36.51,0.1769
2023-03-30,2316535.0,24346782.85,4.65,5.04,2.45,24.78,1.0,10251149.21,2035199.0,975371.0,21389941.49,,,25546.0,,,,,0.1,,10300.0,,,,25546.0,,10300.0,14839.0,20.53,0.15,,15.65,15.65,10972601.0,115322036.51,,110.01,15.73,30.6,0.2607,36.95,0.1781
2023-03-31,2288109.0,24082347.23,4.59,4.85,2.42,25.25,1.0,10066183.68,2025737.0,956407.0,21320881.93,,,44721.0,,,,,0.6,,54183.0,,,,44721.0,,,18964.0,21.34,0.2,,15.83,15.83,10767348.0,113326337.7,,113.41,15.84,31.34,0.2723,37.79,0.1789
2023-04-03,2306958.0,24280732.95,4.63,4.85,2.44,25.4,1.0,10300354.4,2039169.0,978656.0,21462253.73,,,38967.0,0.22,,1750.0,,0.13,20499.0,11164.0,,,0.22,38967.0,0.02,,,21.43,,0.15,15.97,15.97,10731445.0,112948458.63,14371.0,112.82,15.96,31.85,0.2716,37.33,0.1806
2023-04-04,2381416.0,24969146.76,4.78,4.94,2.52,26.2,1.0,10822732.34,2117081.0,1032211.0,22197594.29,,14371.0,14776.0,0.59,0.15,,,0.18,53555.0,17319.0,,14371.0,0.59,14776.0,,66084.0,,22.24,,,16.51,16.51,10704865.0,112240509.53,,112.43,16.52,31.89,0.2608,36.02,0.1857
2023-04-05,2132774.0,22372799.26,4.28,4.38,2.26,23.61,1.0,7913005.62,1847895.0,754338.0,19384418.55,,,70003.0,0.07,,,,3.7,8576.0,348870.0,,,0.07,70003.0,,9681.0,286449.0,19.43,3.01,,14.45,14.45,10935958.0,114718199.42,,114.9,14.46,35.91,0.3026,40.32,0.1668
2023-04-06,2500251.0,27102720.84,5.02,5.11,2.64,27.55,1.0,10949213.0,2145076.0,1010075.0,23252623.84,,,229008.0,1.92,,76219.0,,,179518.0,,,,1.92,229008.0,0.8,68173.0,,22.45,,,16.64,16.64,10748623.0,116515073.32,,112.95,16.58,30.79,0.2349,34.93,0.1939
2023-04-07,2543751.0,27574260.84,5.11,5.14,2.69,28.52,1.0,10949213.0,2145076.0,1010075.0,23252623.84,,,,,,,,,,,,,,,,,,23.2,,,16.54,16.54,10820222.0,117291206.48,,117.33,16.51,30.55,0.2289,34.25,0.1962
2023-04-10,2500691.0,27107490.44,5.02,5.05,2.64,28.18,1.0,11274413.0,2145516.0,1040075.0,23257393.44,,,440.0,0.36,,,,,30000.0,,,,0.36,440.0,,,,23.28,,,16.55,16.55,10819862.0,117287304.08,,117.56,16.53,31.05,0.2349,34.74,0.1929
2023-04-11,2324201.0,25240822.86,4.66,4.7,2.46,25.69,1.0,14071117.38,2172404.0,1295683.0,23592307.44,,,23367.0,2.52,,,,0.12,282776.0,10689.0,,,2.52,23367.0,,14210.0,27168.0,23.49,0.28,,17.55,17.55,10204037.0,110815841.82,,110.43,17.54,28.76,0.2195,33.82,0.1878
2023-04-12,2598924.0,27899449.14,5.22,5.18,2.75,28.61,1.0,16215056.48,2398666.0,1510485.0,25749679.51,,,164514.0,2.32,,9333.0,,0.12,215882.0,10206.0,,,2.32,164514.0,0.1,71954.0,10413.0,25.93,0.11,,18.54,18.54,10537449.0,113119515.02,,114.18,18.51,27.18,0.2033,31.03,0.2009
2023-04-13,2582600.0,27995384.0,5.18,5.09,2.73,28.35,1.0,16345419.2,2367844.0,1507880.0,25667428.96,,,,0.22,,,,0.35,20000.0,30822.0,,,0.22,,,,22605.0,25.37,0.24,,18.3,18.3,10569247.0,114570637.48,,113.37,18.29,27.4,0.2033,31.13,0.1996
2023-04-14,2474850.0,26839748.25,4.97,4.86,2.62,27.42,1.0,15151191.62,2263624.0,1397067.0,24549002.28,,,13317.0,0.09,,,,1.21,9787.0,117537.0,,,0.09,13317.0,,,120600.0,24.59,1.26,,17.48,17.48,10683336.0,115860778.92,,116.03,17.49,28.23,0.2118,32.82,0.1912
2023-04-17,2350490.0,25949409.6,4.72,4.6,2.49,26.19,1.0,14598633.6,2168509.0,1322340.0,23940339.36,,,,0.13,,,,1.14,11928.0,105398.0,,,0.13,,,10283.0,86655.0,23.62,0.91,,16.72,16.72,10799309.0,119224371.36,,117.56,16.73,27.98,0.22,34.55,0.1813
2023-04-18,2342270.0,25952351.6,4.7,4.55,2.48,26.19,1.0,14560449.6,2152574.0,1314120.0,23850519.92,,,5000.0,0.17,,,,0.1,13229.0,20935.0,,,0.17,5000.0,,,21449.0,23.72,0.28,,16.6,16.6,10815555.0,119836349.4,,119.28,16.59,27.3,0.2179,34.77,0.1806
2023-04-19,2376357.0,26163690.57,4.77,4.51,2.51,26.69,1.0,14941043.43,2203589.0,1357043.0,24261514.89,,,45944.0,0.56,,20224.0,,0.16,46270.0,15199.0,,,0.56,45944.0,0.22,20270.0,23571.0,24.41,0.24,0.05,16.99,16.99,10768184.0,118557705.84,4410.0,119.34,16.98,26.11,0.2101,34.26,0.1832
2023-04-20,2424088.0,26277113.92,4.86,4.58,2.56,27.02,1.0,15213755.72,2221188.0,1403483.0,24077677.92,,,69275.0,0.71,,24000.0,,0.63,66971.0,52484.0,,,0.71,69275.0,0.28,808.0,44531.0,24.4,0.51,,17.2,17.2,10692617.0,115907968.28,,117.55,17.19,24.82,0.1994,33.55,0.1877
2023-04-21,2470403.0,27162080.99,4.96,4.63,2.61,27.37,1.0,16006608.96,2264437.0,1455808.0,24897484.82,,,34362.0,0.62,,,,0.16,59675.0,14244.0,,,0.62,34362.0,,23131.0,7350.0,24.56,0.09,,17.72,17.72,10517235.0,115636998.83,,114.14,17.71,24.5,0.1934,32.78,0.1933
2023-04-24,2320346.0,25198957.56,4.66,5.13,2.45,25.8,1.0,14450478.9,2139167.0,1330615.0,23231353.62,,,27369.0,,,,,1.57,,152649.0,,,,27369.0,,10.0,125193.0,23.43,1.35,,16.92,16.92,10506744.0,114103239.84,,115.28,16.89,25.29,0.2089,34.96,0.1835
2023-04-25,2297829.0,24770596.62,4.61,5.58,2.43,25.46,1.0,14163453.92,2114643.0,1313864.0,22795851.54,,,2007.0,0.02,,,,0.41,2007.0,29461.0,,,0.02,2007.0,,2930.0,18758.0,23.01,0.23,,16.94,16.94,10371205.0,111801589.9,,112.81,16.94,25.64,0.2103,35.01,0.184
2023-04-26,2198772.0,23339964.78,4.41,5.95,2.33,24.11,1.0,12875124.57,2119957.0,1212918.0,22503343.56,,,20165.0,0.2,,,,0.18,18600.0,14851.0,,,0.2,20165.0,,,119546.0,22.76,1.37,,17.07,17.07,10297440.0,109307325.6,,110.76,17.05,27.07,0.2269,36.72,0.1771
2023-04-27,2106383.0,22812127.89,4.23,5.95,2.23,23.08,1.0,13131494.13,2038575.0,1212511.0,22077767.25,,,943.0,0.1,,,,1.0,10600.0,92925.0,,,0.1,943.0,,10600.0,11007.0,21.69,0.13,,16.61,16.61,10234523.0,110839884.09,,108.83,16.62,28.3,0.2447,38.15,0.1716
2023-04-28,1961015.0,21365258.43,3.94,5.56,2.07,21.76,1.0,11700238.56,1894376.0,1073909.0,20639226.52,,,398.0,,,,,1.39,,144597.0,,,,398.0,,,138602.0,20.53,1.45,,15.55,15.55,10287732.0,112084840.14,,111.4,15.56,30.03,0.2733,40.87,0.161
2023-05-01,1961015.0,21365258.43,3.94,5.62,2.07,21.88,1.0,11700238.56,1894375.0,1073909.0,20639215.63,,,,,,,,0.0,,1.0,,,,,,,,20.69,,,15.55,15.55,10285033.0,112055434.54,,112.24,15.56,29.87,0.2735,41.01,0.161
2023-05-02,1932550.0,20291775.0,3.88,5.53,2.04,21.32,1.0,10923370.5,1868061.0,1040321.0,19614640.5,,,7249.0,0.07,,,,0.39,8349.0,33563.0,,,0.07,7249.0,,,41937.0,20.27,0.46,,15.53,15.53,10158694.0,106666287.0,,110.41,15.51,30.65,0.2849,41.86,0.1607
2023-05-03,1915003.0,20136256.55,3.84,5.47,2.03,20.74,1.0,10851185.58,1858863.0,1031972.0,19545944.45,,,,,,,,0.1,,9198.0,,,,,,,8349.0,19.46,0.07,,15.63,15.63,10037473.0,105544028.6,,105.16,15.62,31.51,0.2846,41.13,0.161
2023-05-04,1950838.0,20366748.72,3.92,5.79,2.06,21.2,1.0,11055072.6,1880779.0,1058915.0,19635332.76,,,22918.0,0.24,,5000.0,,0.01,21943.0,1002.0,,,0.24,22918.0,0.05,,,19.8,,,15.81,15.81,10012651.0,104532076.44,,105.34,15.82,31.28,0.2784,40.55,0.164
2023-05-05,1950811.0,20590810.11,3.92,6.02,2.06,21.1,1.0,11176562.84,1880779.0,1058888.0,19851622.35,,,,,,,,,,,,,,,,,27.0,19.63,0.0,,15.88,15.88,9965323.0,105183984.27,,103.99,15.88,31.42,0.278,40.38,0.1647
2023-05-08,1963105.0,20857990.63,3.94,6.29,2.08,21.4,1.0,11345183.75,1880328.0,1067782.0,19978485.0,,,9390.0,0.12,,,,0.09,12349.0,9873.0,,,0.12,9390.0,,32.0,3455.0,19.87,0.02,,15.99,15.99,9881895.0,104995134.38,,104.34,16.0,31.18,0.2773,40.51,0.1669
2023-05-09,1928769.0,20444951.4,3.87,6.41,2.04,21.14,1.0,11000489.2,1858737.0,1037782.0,19702612.2,,,,,,,,0.2,,21591.0,,,,,,,30000.0,19.79,0.3,,15.89,15.89,9841017.0,104314780.2,,104.67,15.9,31.59,0.2841,41.09,0.1649
2023-05-10,2130236.0,22591152.78,4.28,7.36,2.25,23.19,1.0,10078164.81,1889314.0,950322.0,20036174.97,,,,,,,,0.14,,12901.0,,,,,,43478.0,87460.0,20.01,0.95,,16.14,16.14,9816147.0,104100238.94,,103.97,16.14,37.18,0.2906,37.55,0.182
2023-05-11,1822321.0,19316602.6,3.66,6.63,1.93,19.98,1.0,9429166.4,1726996.0,889544.0,18306157.6,,,6630.0,0.07,,,,1.77,6600.0,168948.0,,,0.07,6630.0,,,67378.0,18.36,0.72,,14.93,14.93,9841097.0,104315628.2,,104.52,14.94,33.73,0.3119,43.14,0.1575
