,IQEC FP Equity_DX_SI_QTY,IQEC FP Equity_DX_SHORT_INTEREST_VALUE,IQEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IQEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IQEC FP Equity_DX_SI_MV,IQEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IQEC FP Equity_DX_SUPPLY_SI_QTY,IQEC FP Equity_DX_BROKER_SI_QTY,IQEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IQEC FP Equity_DX_SUPPLY_SI_MV,IQEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IQEC FP Equity_DX_UTILIZATION_QUANTITY,IQEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IQEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IQEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IQEC FP Equity_DX_ACTIVE_UTILIZATION_MV,IQEC FP Equity_DX_BROKER_SI_CON_RATIO,IQEC FP Equity_DX_DEMAND_SUPPLY_RATIO,IQEC FP Equity_PX_LAST
2017-11-20,,,,,,,,,,,,,,,,,,,25.385
2017-11-21,,,,,,,,,,,,,,,,,,,25.4
2017-11-22,,,,,,,,,,,,,,,,,,,25.39
2017-11-23,,,,,,,,,,,,,,,,,,,25.39
2017-11-24,,,,,,,,,,,,,,,,,,,25.38
2017-11-27,,,,,,,,,,,,,,,,,,,25.415
2017-11-28,,,,,,,,,,,,,,,,,,,25.415
2017-11-29,,,,,,,,,,,,,,,,,,,25.365
2017-11-30,,,,,,,,,,,,,,,,,,,25.385
2017-12-01,,,,,,,,,,,,,,,,,,,25.465
2017-12-04,,,,,,,,,,,,,,,,,,,25.42
2017-12-05,,,,,,,,,,,,,,,,,,,25.465
2017-12-06,,,,,,,,,,,,,,,,,,,25.495
2017-12-07,,,,,,,,,,,,,,,,,,,25.5
2017-12-08,,,,,,,,,,,,,,,,,,,25.48
2017-12-11,,,,,,,,,,,,,,,,,,,25.485
2017-12-12,,,,,,,,,,,,,,,,,,,25.46
2017-12-13,,,,,,,,,,,,,,,,,,,25.465
2017-12-14,,,,,,,,,,,,,,,,,,,25.475
2017-12-15,,,,,,,,,,,,,,,,,,,25.47
2017-12-18,,,,,,,,,,,,,,,,,,,25.46
2017-12-19,,,,,,,,,,,,,,,,,,,25.39
2017-12-20,,,,,,,,,,,,,,,,,,,25.375
2017-12-21,,,,,,,,,,,,,,,,,,,25.355
2017-12-22,,,,,,,,,,,,,,,,,,,25.345
2017-12-27,,,,,,,,,,,,,,,,,,,25.39
2017-12-28,,,,,,,,,,,,,,,,,,,25.335
2017-12-29,,,,,,,,,,,,,,,,,,,25.37
2018-01-02,,,,,,,,,,,,,,,,,,,25.315
2018-01-03,,,,,,,,,,,,,,,,,,,25.36
2018-01-04,,,,,,,,,,,,,,,,,,,25.38
2018-01-05,,,,,,,,,,,,,,,,,,,25.38
2018-01-08,,,,,,,,,,,,,,,,,,,25.405
2018-01-09,,,,,,,,,,,,,,,,,,,25.415
2018-01-10,,,,,,,,,,,,,,,,,,,25.39
2018-01-11,,,,,,,,,,,,,,,,,,,25.315
2018-01-12,,,,,,,,,,,,,,,,,,,25.335
2018-01-15,,,,,,,,,,,,,,,,,,,25.33
2018-01-16,,,,,,,,,,,,,,,,,,,25.36
2018-01-17,,,,,,,,,,,,,,,,,,,25.365
2018-01-18,,,,,,,,,,,,,,,,,,,25.37
2018-01-19,,,,,,,,,,,,,,,,,,,25.39
2018-01-22,,,,,,,,,,,,,,,,,,,25.415
2018-01-23,,,,,,,,,,,,,,,,,,,25.42
2018-01-24,,,,,,,,,,,,,,,,,,,25.405
2018-01-25,,,,,,,,,,,,,,,,,,,25.37
2018-01-26,,,,,,,,,,,,,,,,,,,25.345
2018-01-29,,,,,,,,,,,,,,,,,,,25.29
2018-01-30,,,,,,,,,,,,,,,,,,,25.31
2018-01-31,,,,,,,,,,,,,,,,,,,25.3
2018-02-01,,,,,,,,,,,,,,,,,,,25.295
2018-02-02,,,,,,,,,,,,,,,,,,,25.255
2018-02-05,,,,,,,,,,,,,,,,,,,25.29
2018-02-06,,,,,,,,,,,,,,,,,,,25.245
2018-02-07,,,,,,,,,,,,,,,,,,,25.225
2018-02-08,,,,,,,,,,,,,,,,,,,25.225
2018-02-09,,,,,,,,,,,,,,,,,,,25.215
2018-02-12,,,,,,,,,,,,,,,,,,,25.21
2018-02-13,,,,,,,,,,,,,,,,,,,25.175
2018-02-14,,,,,,,,,,,,,,,,,,,25.14
2018-02-15,,,,,,,,,,,,,,,,,,,25.155
2018-02-16,,,,,,,,,,,,,,,,,,,25.225
2018-02-19,,,,,,,,,,,,,,,,,,,25.195
2018-02-20,,,,,,,,,,,,,,,,,,,25.18
2018-02-21,,,,,,,,,,,,,,,,,,,25.18
2018-02-22,,,,,,,,,,,,,,,,,,,25.2
2018-02-23,,,,,,,,,,,,,,,,,,,25.23
2018-02-26,,,,,,,,,,,,,,,,,,,25.23
2018-02-27,,,,,,,,,,,,,,,,,,,25.205
2018-02-28,,,,,,,,,,,,,,,,,,,25.23
2018-03-01,,,,,,,,,,,,,,,,,,,25.23
2018-03-02,,,,,,,,,,,,,,,,,,,25.17
2018-03-05,,,,,,,,,,,,,,,,,,,25.195
2018-03-06,,,,,,,,,,,,,,,,,,,25.175
2018-03-07,,,,,,,,,,,,,,,,,,,25.185
2018-03-08,,,,,,,,,,,,,,,,,,,25.22
2018-03-09,,,,,,,,,,,,,,,,,,,25.2
2018-03-12,,,,,,,,,,,,,,,,,,,25.24
2018-03-13,,,,,,,,,,,,,,,,,,,25.235
2018-03-14,,,,,,,,,,,,,,,,,,,25.225
2018-03-15,,,,,,,,,,,,,,,,,,,25.195
2018-03-16,,,,,,,,,,,,,,,,,,,25.195
2018-03-19,,,,,,,,,,,,,,,,,,,25.175
2018-03-20,,,,,,,,,,,,,,,,,,,25.185
2018-03-21,,,,,,,,,,,,,,,,,,,25.15
2018-03-22,,,,,,,,,,,,,,,,,,,25.21
2018-03-23,,,,,,,,,,,,,,,,,,,25.16
2018-03-26,,,,,,,,,,,,,,,,,,,25.16
2018-03-27,,,,,,,,,,,,,,,,,,,25.225
2018-03-28,,,,,,,,,,,,,,,,,,,25.22
2018-03-29,,,,,,,,,,,,,,,,,,,25.23
2018-04-03,,,,,,,,,,,,,,,,,,,25.215
2018-04-04,,,,,,,,,,,,,,,,,,,25.215
2018-04-05,,,,,,,,,,,,,,,,,,,25.195
2018-04-06,,,,,,,,,,,,,,,,,,,25.235
2018-04-09,,,,,,,,,,,,,,,,,,,25.31
2018-04-10,,,,,,,,,,,,,,,,,,,25.215
2018-04-11,,,,,,,,,,,,,,,,,,,25.24
2018-04-12,,,,,,,,,,,,,,,,,,,25.24
2018-04-13,,,,,,,,,,,,,,,,,,,25.255
2018-04-16,,,,,,,,,,,,,,,,,,,25.25
2018-04-17,,,,,,,,,,,,,,,,,,,25.28
2018-04-18,,,,,,,,,,,,,,,,,,,25.255
2018-04-19,,,,,,,,,,,,,,,,,,,25.185
2018-04-20,,,,,,,,,,,,,,,,,,,25.2
2018-04-23,,,,,,,,,,,,,,,,,,,25.15
2018-04-24,,,,,,,,,,,,,,,,,,,25.17
2018-04-25,,,,,,,,,,,,,,,,,,,25.155
2018-04-26,,,,,,,,,,,,,,,,,,,25.205
2018-04-27,,,,,,,,,,,,,,,,,,,25.115
2018-04-30,,,,,,,,,,,,,,,,,,,25.12
2018-05-02,,,,,,,,,,,,,,,,,,,25.075
2018-05-03,,,,,,,,,,,,,,,,,,,25.12
2018-05-04,,,,,,,,,,,,,,,,,,,25.085
2018-05-07,,,,,,,,,,,,,,,,,,,25.09
2018-05-08,,,,,,,,,,,,,,,,,,,25.05
2018-05-09,,,,,,,,,,,,,,,,,,,25.055
2018-05-10,,,,,,,,,,,,,,,,,,,25.065
2018-05-11,,,,,,,,,,,,,,,,,,,25.065
2018-05-14,,,,,,,,,,,,,,,,,,,25.005
2018-05-15,,,,,,,,,,,,,,,,,,,24.985
2018-05-16,,,,,,,,,,,,,,,,,,,25.0
2018-05-17,,,,,,,,,,,,,,,,,,,24.975
2018-05-18,,,,,,,,,,,,,,,,,,,25.02
2018-05-21,,,,,,,,,,,,,,,,,,,25.06
2018-05-22,,,,,,,,,,,,,,,,,,,25.0
2018-05-23,,,,,,,,,,,,,,,,,,,24.99
2018-05-24,,,,,,,,,,,,,,,,,,,25.01
2018-05-25,,,,,,,,,,,,,,,,,,,25.045
2018-05-28,,,,,,,,,,,,,,,,,,,25.08
2018-05-29,,,,,,,,,,,,,,,,,,,25.11
2018-05-30,,,,,,,,,,,,,,,,,,,24.975
2018-05-31,,,,,,,,,,,,,,,,,,,25.025
2018-06-01,,,,,,,,,,,,,,,,,,,25.045
2018-06-04,,,,,,,,,,,,,,,,,,,25.035
2018-06-05,,,,,,,,,,,,,,,,,,,25.09
2018-06-06,,,,,,,,,,,,,,,,,,,24.97
2018-06-07,,,,,,,,,,,,,,,,,,,24.975
2018-06-08,,,,,,,,,,,,,,,,,,,24.985
2018-06-11,,,,,,,,,,,,,,,,,,,24.94
2018-06-12,,,,,,,,,,,,,,,,,,,24.96
2018-06-13,,,,,,,,,,,,,,,,,,,24.98
2018-06-14,,,,,,,,,,,,,,,,,,,25.06
2018-06-15,,,,,,,,,,,,,,,,,,,25.09
2018-06-18,,,,,,,,,,,,,,,,,,,25.085
2018-06-19,,,,,,,,,,,,,,,,,,,25.09
2018-06-20,,,,,,,,,,,,,,,,,,,25.085
2018-06-21,,,,,,,,,,,,,,,,,,,25.125
2018-06-22,,,,,,,,,,,,,,,,,,,25.12
2018-06-25,,,,,,,,,,,,,,,,,,,25.125
2018-06-26,,,,,,,,,,,,,,,,,,,25.07
2018-06-27,,,,,,,,,,,,,,,,,,,25.07
2018-06-28,,,,,,,,,,,,,,,,,,,25.045
2018-06-29,,,,,,,,,,,,,,,,,,,25.045
2018-07-02,,,,,,,,,,,,,,,,,,,25.05
2018-07-03,,,,,,,,,,,,,,,,,,,25.06
2018-07-04,,,,,,,,,,,,,,,,,,,25.045
2018-07-05,,,,,,,,,,,,,,,,,,,25.06
2018-07-06,,,,,,,,,,,,,,,,,,,25.08
2018-07-09,,,,,,,,,,,,,,,,,,,25.075
2018-07-10,,,,,,,,,,,,,,,,,,,25.08
2018-07-11,,,,,,,,,,,,,,,,,,,25.085
2018-07-12,,,,,,,,,,,,,,,,,,,25.11
2018-07-13,,,,,,,,,,,,,,,,,,,25.125
2018-07-16,,,,,,,,,,,,,,,,,,,25.105
2018-07-17,,,,,,,,,,,,,,,,,,,25.125
2018-07-18,,,,,,,,,,,,,,,,,,,25.115
2018-07-19,,,,,,,,,,,,,,,,,,,25.12
2018-07-20,,,,,,,,,,,,,,,,,,,25.09
2018-07-23,,,,,,,,,,,,,,,,,,,25.05
2018-07-24,,,,,,,,,,,,,,,,,,,25.085
2018-07-25,,,,,,,,,,,,,,,,,,,25.085
2018-07-26,,,,,,,,,,,,,,,,,,,25.125
2018-07-27,,,,,,,,,,,,,,,,,,,25.14
2018-07-30,,,,,,,,,,,,,,,,,,,25.095
2018-07-31,,,,,,,,,,,,,,,,,,,25.12
2018-08-01,,,,,,,,,,,,,,,,,,,25.085
2018-08-02,,,,,,,,,,,,,,,,,,,25.08
2018-08-03,,,,,,,,,,,,,,,,,,,25.11
2018-08-06,,,,,,,,,,,,,,,,,,,25.14
2018-08-07,,,,,,,,,,,,,,,,,,,25.115
2018-08-08,,,,,,,,,,,,,,,,,,,25.14
2018-08-09,,,,,,,,,,,,,,,,,,,25.155
2018-08-10,,,,,,,,,,,,,,,,,,,25.195
2018-08-13,,,,,,,,,,,,,,,,,,,25.165
2018-08-14,,,,,,,,,,,,,,,,,,,25.17
2018-08-15,,,,,,,,,,,,,,,,,,,25.175
2018-08-16,,,,,,,,,,,,,,,,,,,25.17
2018-08-17,,,,,,,,,,,,,,,,,,,25.19
2018-08-20,,,,,,,,,,,,,,,,,,,25.2
2018-08-21,,,,,,,,,,,,,,,,,,,25.175
2018-08-22,,,,,,,,,,,,,,,,,,,25.16
2018-08-23,,,,,,,,,,,,,,,,,,,25.15
2018-08-24,,,,,,,,,,,,,,,,,,,25.135
2018-08-27,,,,,,,,,,,,,,,,,,,25.1
2018-08-28,,,,,,,,,,,,,,,,,,,25.1
2018-08-29,,,,,,,,,,,,,,,,,,,25.065
2018-08-30,,,,,,,,,,,,,,,,,,,25.13
2018-08-31,,,,,,,,,,,,,,,,,,,25.11
2018-09-03,,,,,,,,,,,,,,,,,,,25.095
2018-09-04,,,,,,,,,,,,,,,,,,,25.065
2018-09-05,,,,,,,,,,,,,,,,,,,25.04
2018-09-06,,,,,,,,,,,,,,,,,,,25.09
2018-09-07,,,,,,,,,,,,,,,,,,,25.04
2018-09-10,,,,,,,,,,,,,,,,,,,25.04
2018-09-11,,,,,,,,,,,,,,,,,,,25.035
2018-09-12,,,,,,,,,,,,,,,,,,,25.055
2018-09-13,,,,,,,,,,,,,,,,,,,25.055
2018-09-14,,,,,,,,,,,,,,,,,,,25.03
2018-09-17,,,,,,,,,,,,,,,,,,,25.025
2018-09-18,,,,,,,,,,,,,,,,,,,25.015
2018-09-19,,,,,,,,,,,,,,,,,,,25.02
2018-09-20,,,,,,,,,,,,,,,,,,,25.045
2018-09-21,,,,,,,,,,,,,,,,,,,25.06
2018-09-24,,,,,,,,,,,,,,,,,,,24.99
2018-09-25,,,,,,,,,,,,,,,,,,,24.99
2018-09-26,,,,,,,,,,,,,,,,,,,25.0
2018-09-27,,,,,,,,,,,,,,,,,,,24.995
2018-09-28,,,,,,,,,,,,,,,,,,,25.045
2018-10-01,,,,,,,,,,,,,,,,,,,25.05
2018-10-02,,,,,,,,,,,,,,,,,,,25.09
2018-10-03,,,,,,,,,,,,,,,,,,,25.025
2018-10-04,,,,,,,,,,,,,,,,,,,24.975
2018-10-05,,,,,,,,,,,,,,,,,,,24.975
2018-10-08,,,,,,,,,,,,,,,,,,,25.01
2018-10-09,,,,,,,,,,,,,,,,,,,25.0
2018-10-10,,,,,,,,,,,,,,,,,,,24.985
2018-10-11,,,,,,,,,,,,,,,,,,,25.0
2018-10-12,,,,,,,,,,,,,,,,,,,25.02
2018-10-15,,,,,,,,,,,,,,,,,,,25.015
2018-10-16,,,,,,,,,,,,,,,,,,,25.025
2018-10-17,,,,,,,,,,,,,,,,,,,25.055
2018-10-18,,,,,,,,,,,,,,,,,,,25.085
2018-10-19,,,,,,,,,,,,,,,,,,,25.035
2018-10-22,,,,,,,,,,,,,,,,,,,25.03
2018-10-23,,,,,,,,,,,,,,,,,,,25.05
2018-10-24,,,,,,,,,,,,,,,,,,,25.04
2018-10-25,,,,,,,,,,,,,,,,,,,25.025
2018-10-26,,,,,,,,,,,,,,,,,,,25.035
2018-10-29,,,,,,,,,,,,,,,,,,,25.005
2018-10-30,,,,,,,,,,,,,,,,,,,25.015
2018-10-31,,,,,,,,,,,,,,,,,,,25.015
2018-11-01,,,,,,,,,,,,,,,,,,,25.005
2018-11-02,,,,,,,,,,,,,,,,,,,25.005
2018-11-05,,,,,,,,,,,,,,,,,,,25.005
2018-11-06,,,,,,,,,,,,,,,,,,,25.01
2018-11-07,,,,,,,,,,,,,,,,,,,25.005
2018-11-08,,,,,,,,,,,,,,,,,,,25.0
2018-11-09,,,,,,,,,,,,,,,,,,,25.03
2018-11-12,,,,,,,,,,,,,,,,,,,25.01
2018-11-13,,,,,,,,,,,,,,,,,,,24.985
2018-11-14,,,,,,,,,,,,,,,,,,,24.98
2018-11-15,,,,,,,,,,,,,,,,,,,24.95
2018-11-16,,,,,,,,,,,,,,,,,,,24.895
2018-11-19,,,,,,,,,,,,,,,,,,,24.885
2018-11-20,,,,,,,,,,,,,,,,,,,24.855
2018-11-21,,,,,,,,,,,,,,,,,,,24.87
2018-11-22,,,,,,,,,,,,,,,,,,,24.87
2018-11-23,,,,,,,,,,,,,,,,,,,24.895
2018-11-26,,,,,,,,,,,,,,,,,,,24.905
2018-11-27,,,,,,,,,,,,,,,,,,,24.89
2018-11-28,,,,,,,,,,,,,,,,,,,24.865
2018-11-29,,,,,,,,,,,,,,,,,,,24.89
2018-11-30,,,,,,,,,,,,,,,,,,,24.875
2018-12-03,,,,,,,,,,,,,,,,,,,24.895
2018-12-04,,,,,,,,,,,,,,,,,,,24.895
2018-12-05,,,,,,,,,,,,,,,,,,,24.85
2018-12-06,,,,,,,,,,,,,,,,,,,24.875
2018-12-07,,,,,,,,,,,,,,,,,,,24.86
2018-12-10,,,,,,,,,,,,,,,,,,,24.85
2018-12-11,,,,,,,,,,,,,,,,,,,24.875
2018-12-12,,,,,,,,,,,,,,,,,,,24.875
2018-12-13,,,,,,,,,,,,,,,,,,,24.93
2018-12-14,,,,,,,,,,,,,,,,,,,24.95
2018-12-17,,,,,,,,,,,,,,,,,,,24.93
2018-12-18,,,,,,,,,,,,,,,,,,,24.91
2018-12-19,,,,,,,,,,,,,,,,,,,24.935
2018-12-20,,,,,,,,,,,,,,,,,,,24.915
2018-12-21,,,,,,,,,,,,,,,,,,,24.88
2018-12-24,,,,,,,,,,,,,,,,,,,24.9
2018-12-27,,,,,,,,,,,,,,,,,,,24.935
2018-12-28,,,,,,,,,,,,,,,,,,,24.915
2018-12-31,,,,,,,,,,,,,,,,,,,24.925
2019-01-02,,,,,,,,,,,,,,,,,,,24.965
2019-01-03,,,,,,,,,,,,,,,,,,,24.92
2019-01-04,,,,,,,,,,,,,,,,,,,24.865
2019-01-07,,,,,,,,,,,,,,,,,,,24.85
2019-01-08,,,,,,,,,,,,,,,,,,,24.81
2019-01-09,,,,,,,,,,,,,,,,,,,24.86
2019-01-10,,,,,,,,,,,,,,,,,,,24.87
2019-01-11,,,,,,,,,,,,,,,,,,,24.895
2019-01-14,,,,,,,,,,,,,,,,,,,24.895
2019-01-15,,,,,,,,,,,,,,,,,,,24.945
2019-01-16,,,,,,,,,,,,,,,,,,,24.98
2019-01-17,,,,,,,,,,,,,,,,,,,24.965
2019-01-18,,,,,,,,,,,,,,,,,,,25.0
2019-01-21,,,,,,,,,,,,,,,,,,,25.015
2019-01-22,,,,,,,,,,,,,,,,,,,25.02
2019-01-23,,,,,,,,,,,,,,,,,,,25.015
2019-01-24,,,,,,,,,,,,,,,,,,,25.07
2019-01-25,,,,,,,,,,,,,,,,,,,25.05
2019-01-28,,,,,,,,,,,,,,,,,,,25.035
2019-01-29,,,,,,,,,,,,,,,,,,,25.04
2019-01-30,,,,,,,,,,,,,,,,,,,25.06
2019-01-31,,,,,,,,,,,,,,,,,,,25.165
2019-02-01,,,,,,,,,,,,,,,,,,,25.15
2019-02-04,,,,,,,,,,,,,,,,,,,25.155
2019-02-05,,,,,,,,,,,,,,,,,,,25.225
2019-02-06,,,,,,,,,,,,,,,,,,,25.215
2019-02-07,,,,,,,,,,,,,,,,,,,25.22
2019-02-08,,,,,,,,,,,,,,,,,,,25.215
2019-02-11,,,,,,,,,,,,,,,,,,,25.175
2019-02-12,,,,,,,,,,,,,,,,,,,25.18
2019-02-13,,,,,,,,,,,,,,,,,,,25.23
2019-02-14,,,,,,,,,,,,,,,,,,,25.245
2019-02-15,,,,,,,,,,,,,,,,,,,25.265
2019-02-18,,,,,,,,,,,,,,,,,,,25.27
2019-02-19,,,,,,,,,,,,,,,,,,,25.295
2019-02-20,,,,,,,,,,,,,,,,,,,25.285
2019-02-21,,,,,,,,,,,,,,,,,,,25.225
2019-02-22,,,,,,,,,,,,,,,,,,,25.25
2019-02-25,,,,,,,,,,,,,,,,,,,25.24
2019-02-26,,,,,,,,,,,,,,,,,,,25.25
2019-02-27,,,,,,,,,,,,,,,,,,,25.25
2019-02-28,,,,,,,,,,,,,,,,,,,25.24
2019-03-01,,,,,,,,,,,,,,,,,,,25.24
2019-03-04,,,,,,,,,,,,,,,,,,,25.28
2019-03-05,,,,,,,,,,,,,,,,,,,25.245
2019-03-06,,,,,,,,,,,,,,,,,,,25.265
2019-03-07,,,,,,,,,,,,,,,,,,,25.34
2019-03-08,,,,,,,,,,,,,,,,,,,25.245
2019-03-11,,,,,,,,,,,,,,,,,,,25.28
2019-03-12,,,,,,,,,,,,,,,,,,,25.3
2019-03-13,,,,,,,,,,,,,,,,,,,25.335
2019-03-14,,,,,,,,,,,,,,,,,,,25.355
2019-03-15,,,,,,,,,,,,,,,,,,,25.38
2019-03-18,,,,,,,,,,,,,,,,,,,25.41
2019-03-19,,,,,,,,,,,,,,,,,,,25.385
2019-03-20,,,,,,,,,,,,,,,,,,,25.38
2019-03-21,,,,,,,,,,,,,,,,,,,25.435
2019-03-22,,,,,,,,,,,,,,,,,,,25.425
2019-03-25,,,,,,,,,,,,,,,,,,,25.41
